"TID","HE"
"TID_GAME_MODE_6","קרב מכריע סולו"
"TID_GAME_MODE_6_COMBINED","קרב מכריע"
"TID_GAME_MODE_6_DESC","יש להביס את תשעת השחקנים האחרים ולהיות האחרונים ששרדו. חשוב להשתמש בכל האמצעים הדרושים כדי להישאר בחיים."
"TID_GAME_MODE_6_DESC_COMBINED","צריך להביס את כולם ולהיות האחרונים שנשארו. אפשר לשחק במצב סולו או בצוות של שניים."
"TID_GAME_MODE_5","כדור-בראולר"
"TID_GAME_MODE_5_DESC","יש להביא את הכדור לשער הנבחרת היריבה כדי להבקיע גול! התחרות מסתיימת כשקבוצה אחת מבקיעה פעמיים, או כשנגמר הזמן."
"TID_GAME_MODE_3_OG","חיסול"
"TID_GAME_MODE_3_OG_DESC","יש לצבור כוכבים עבור הקבוצה שלך באמצעות הבסת השחקנים שבקבוצה היריבה. בכל פעם שאויב מובס על ידך, הפרס על ראשך עולה בכוכב אחד, עד שבעה כוכבים. זהירות לא לתת אותם לאויב!\n\nהקבוצה שצברה יותר כוכבים כשהזמן נגמר מנצחת."
"TID_GAME_MODE_11","מצור"
"TID_GAME_MODE_11_DESC","יש לשים מצור על צריח ההרכבה של האויב IKE! גם לצוות שלך יש IKE: האכילו אותו בברגים, והוא ירכיב רובוט מצור עוצמתי שיילחם בשבילכם. ברגים מופיעים באקראי סביב מרכז המפה. יש לתפוס בורג ולהחזיק אותו למשך מספר שניות כדי להאכיל את IKE.\n\nיש עד שלושה מצורים במשך כל משחק. צוות שיש לו יותר ברגים בתחילת כל מצור, יבנה רובוט מצור. ככל שיש יותר ברגים, הרובוט חזק יותר.\nזהירות, יש לרובוטי IKE הגנות בליסטיות חזקות - אין להתקרב לבסיס האויב ללא רובוט מצור שיעזור לך!"
"TID_BATTLE_END_GAIN_LABEL_FIRST_WIN","טוקן כוכב"
"TID_BATTLE_END_GAIN_LABEL_RANK_UP","עלייה בדירוג"
"TID_BATTLE_END_GAIN_LABEL_LEVEL_UP","עלייה ברמה"
"TID_BATTLE_END_GAIN_LABEL_VICTORY","ניצחון"
"TID_BATTLE_END_GAIN_LABEL_DEFEAT","תבוסה"
"TID_BATTLE_END_GAIN_LABEL_DRAW","תיקו"
"TID_BATTLE_END_GAIN_LABEL_MVP","שחקן כוכב"
"TID_BATTLE_END_GAIN_LABEL_SURVIVAL","תוצאת דירוג"
"TID_BATTLE_END_GAIN_LABEL_COOP_SURVIVAL","פרס זמן"
"TID_BATTLE_END_GAIN_LABEL_COIN_DOUBLER","טוקנים שנותרו:"
"TID_BATTLE_END_GAIN_LABEL_1VS5_BOSS","פרס זמן"
"TID_BATTLE_END_GAIN_LABEL_1VS5_TEAM","פרס זמן"
"TID_BATTLE_END_COIN_REWARDS","פרסי טוקנים"
"TID_BATTLE_END_MVP","שחקן כוכב"
"TID_BATTLE_END_DEFEAT_INFO","בהצלחה בפעם הבאה!"
"TID_TUTORIAL_1","היי, אני שלי! הבה נאסוף את כל <ce662f9>היהלומים</c> האלה! <c0066ff>צריך לגרור</c> את <c0066ff>הסמן הכחול</c> עם האגודל השמאלי שלך כדי להזיז אותי."
"TID_TUTORIAL_2","חייבים לאסוף את כולם! <ce662f9>היהלומים</c> האלה שלי!"
"TID_TUTORIAL_3","מטרות רובוט! <ccc0033>יש לגרור</c> את <ccc0033>הסמן האדום</c> עם האגודל הימני שלך כדי לכוון ולשחרר כדי לירות. מוות לרובוטים!"
"TID_TUTORIAL_GOOD_JOB_1","כל הכבוד!"
"TID_TUTORIAL_5","עוד מטרות! אפשר <ccc0033>להקיש</c> על <ccc0033>הסמן האדום</c> כדי לירות באויב הקרוב ביותר. מוות לרובוטים!"
"TID_TUTORIAL_6","כעת צריך להשתמש בתכונת הסופר שלך כדי לירות בבוס שמאחורי הקיר! <cff9900>יש לגרור</c> את <cff9900>הסמן הצהוב</c> כדי לכוון את תכונת הסופר ולשחרר כדי לירות!"
"TID_TUTORIAL_555","יפה, בדיוק כך!"
"TID_TUTORIAL_7","כל הכבוד! השגנו את <ce662f9>היהלומים</c>, הבה נצא מפה!"
"TID_TUTORIAL_8","פגיעה באויבים טוענת את תכונת הסופר שלך. יש להשתמש <cff9900>בסמן הצהוב</c> כדי לתקוף את האויבים עם תכונת הסופר!"
"TID_TUTORIAL_9","אני עם בראולר מלידה!\n\nעכשיו הבה נכסח אותם!"
"TID_TUTORIAL_10","תקיפת מטרות טוענת את מד ההתקפה של תכונת הסופר. תכונת הסופר שלי מוכנה!\nיש להקיש על לחצן תכונת הסופר!"
"TID_TUTORIAL_11","<cff6633>המד הכתום</c> מציג את התחמושת שלך. אני אטען מחדש הכי מהר שאפשר!"
"TID_FIGHT_TUTORIAL","משחק"
"TID_HERO_SCORE_INFO","יש לנצח במשחקים נגד שחקנים אחרים כדי לצבור גביעים לבראולר הזה.\n\nצריך לקבל <PROGRESS> גביעים כדי להגיע לדירוג הבא ולהרוויח <COINS> טוקנים."
"TID_HERO_SCORE_INFO_LEG_TROS","יש לנצח במשחקים נגד שחקנים אחרים כדי לצבור גביעים לבראולר הזה.\n\nצריך לקבל <PROGRESS> גביעים כדי להגיע לדירוג הבא ולהרוויח <COINS> טוקנים ו-<cff00ff> <LEGTROS> נקודות כוכב</c>"
"TID_HERO_SCORE_INFO_MAXED","הגעת לדירוג הסופי.\n\n"
"TID_XP_INFO_ME","רמת הניסיון שלך.\n\nיש לצבור ניסיון באמצעות קרבות. צריך לצבור עוד <REMPROGRESS> נקודות ניסיון כדי להגיע לשלב <LEVEL> ולהרוויח <COINS> טוקנים."
"TID_XP_INFO_OTHER","רמת הניסיון של השחקן הזה"
"TID_TUTORIAL_WIN_ONE_GAME_PROMPT","צריך לשחק משחק אימון אחד כדי לפתוח את המשחק המלא"
"TID_SOCIAL_TAB_CLANS","מועדון"
"TID_SOCIAL_TAB_FRIENDS","חברים"
"TID_FRIEND_STATUS_YOU","<EMPTY>"
"TID_FRIEND_STATUS_OFFLINE","<EMPTY>"
"TID_FRIEND_STATUS_BATTLE","<cffffff>נלחמים</c> עבור <TIME>"
"TID_FRIEND_STATUS_BATTLE_END_SCREEN","<cffffff>מסך סיום משחק</c>"
"TID_FRIEND_STATUS_SPECTATING","<cffffff>צופה</c>"
"TID_FRIEND_STATUS_PRACTICING","<cffffff>באימון</c>"
"TID_FRIEND_STATUS_MATCHMAKE","<cffffff>בהתאמת שחקן</c>"
"TID_FRIEND_STATUS_HOME_AD_FULL","<cffffff>בקבוצה</c>"
"TID_FRIEND_STATUS_HOME_WITH_AD","<cffffff>בקבוצה</c>"
"TID_FRIEND_STATUS_HOME_IN_GAMEROOM","<cffffff>בקבוצה</c>"
"TID_FRIEND_STATUS_BATTLE_NO_TIME","<cffffff>נלחם</c>"
"TID_FRIEND_STATUS_MENUS","בתפריטים"
"TID_FRIEND_STATUS_HOME_NO_GAMEROOM","<EMPTY>"
"TID_ONLINE_FRIENDS_POPUP_TITLE_INVITE","יצירת קבוצה!"
"TID_ONLINE_FRIENDS_POPUP_TITLE","שחקנים מחוברים"
"TID_ONLINE_FRIENDS_POPUP_NO_ONLINE_FRIENDS","אין חברים או חברי מועדון מחוברים"
"TID_ONLINE_FRIENDS_POPUP_NO_FRIENDS","אין חברים או חברי מועדון שזמינים להזמנה. שיחקת עם מישהו מעולה לאחרונה? אפשר להוסיף אותו כחבר!"
"TID_CLAN_CREATE_BUTTON","יצירה"
"TID_CLAN_SAVE_BUTTON","שמירה"
"TID_CLAN_CREATE_TITLE","יצירת מועדון חדש"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_LESS_THAN_HOUR","התחברות אחרונה: <cf7f7f7><less_than_h_ago></c>"
"TID_LESS_THAN_H_AGO","לפני פחות משעה"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_HOURS","התחברות אחרונה: <cf7f7f7>לפני <HOURS> שעות</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_DAYS","התחברות אחרונה: <cf7f7f7>לפני <DAYS> ימים</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_LONG","התחברות אחרונה <cf7f7f7>> לפני חודש</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_1","<cff1e00>בקרב</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_2","<cffffff>בתפריטים</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_3","<cffffff>בתפריטים</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_4","<cff1e00>התאמת שחקן</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_5","<cffffff>בתפריטים</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_7","<cff1e00>צופה</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_8","<cff1e00>באימון</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_9","<cffffff>בתפריטים</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_10","<cffffff>בתפריטים</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_11","<cffffff>בתפריטים</c>"
"TID_CLAN_ENTRY_ONLINE_MEMBERS","<COUNT> חברי צוות מחוברים"
"TID_CLAN_ENTRY_ONLINE_MEMBER","חבר צוות <COUNT> מחובר"
"TID_ALLIANCE_TYPE_OPEN","פתוח"
"TID_ALLIANCE_TYPE_INVITE_ONLY","בהזמנה בלבד"
"TID_ALLIANCE_TYPE_CLOSED","סגור"
"TID_CLAN_SEARCH_TITLE","חיפוש מועדונים"
"TID_CLAN_INTRO_AD_TITLE","מחפשים מועדון?"
"TID_CLAN_INTRO_AD_DESC","כדאי להצטרף לקבוצה ולשוחח עם שחקנים אחרים!"
"TID_CLAN_INTRO_CREATE_GO","יצירת מועדון"
"TID_CLAN_INTRO_SEARCH_GO","חיפוש מועדונים"
"TID_CLAN_INTRO_REFRESH","ריענון"
"TID_CLAN_NOT_ENOUGH_SCORE_TO_JOIN","כדי להצטרף למועדון הזה דרושים <REQ> גביעים. יש לך רק <SCORE> גביעים."
"TID_CLAN_CANNOT_JOIN_CLOSED_CLAN","מועדון זה סגור"
"TID_STREAM_ENTRY_AGE","לפני <time>"
"TID_ALLIANCE_ROLE_LEADER","נשיא"
"TID_ALLIANCE_ROLE_CO_LEADER","סגן נשיא"
"TID_ALLIANCE_ROLE_MEMBER","חבר צוות"
"TID_ALLIANCE_ROLE_ELDER","בכיר"
"TID_STREAM_SENDER_YOU","אתם"
"TID_GOLDRUSH_1","מכרה קשה כאבן"
"TID_BANKHEIST_1","סליק השודדים"
"TID_WANTED_1","הריסות המקדש"
"TID_BATTLE_ROYALE_1","נחל הגולגולות"
"TID_GOLDRUSH_2","מערת הקריסטלים"
"TID_BANKHEIST_2","קניון פיצוץ"
"TID_WANTED_2","מחנה הפושעים"
"TID_BATTLE_ROYALE_2","אבנים חרוכות"
"TID_GOLDRUSH_3","מערת הפטריות הרעילות"
"TID_BANKHEIST_3","אזור בטוח"
"TID_WANTED_3","מבצר האבן"
"TID_BATTLE_ROYALE_3","קרב בין קירות"
"TID_WANTED_4","מלכודת הפטריות הרעילות"
"TID_GOLDRUSH_4","מבצר האבן"
"TID_WANTED_5","קרחת יער של קריסטלים"
"TID_GOLDRUSH_5","מכרה תחתי"
"TID_WANTED_6","נחשים בערבה"
"TID_WANTED_7","כוכב היריות"
"TID_GOLDRUSH_6","מצור עמוק"
"TID_GOLDRUSH_7","מערת הקרח"
"TID_BATTLE_ROYALE_4","הכול או כלום"
"TID_WANTED_8","מסתור"
"TID_BANKHEIST_4","ג‘י.ג‘י. קוראל"
"TID_CLAN_MEMBERS_ONLINE","חברי צוות מחוברים: <COUNT>/<TOTAL>"
"TID_CLAN_TOTAL_TROPHIES","גביעי מועדון"
"TID_CLAN_SEARCH_OK","חיפוש"
"TID_CLAN_INFO_NAME","שם מועדון"
"TID_CLAN_INFO_BADGE","תג"
"TID_CLAN_INFO_DESC","תיאור"
"TID_CLAN_INFO_TOTAL_TROPHIES","גביעי מועדון"
"TID_CLAN_INFO_TYPE","סוג"
"TID_CLAN_INFO_TAG","תג מועדון"
"TID_CLAN_INFO_MIN_TROPHIES","גביעים דרושים"
"TID_CLAN_INFO_LEAVE","עזיבה"
"TID_CLAN_INFO_SETTINGS","הגדרות"
"TID_CLAN_INFO_JOIN","הצטרפות"
"TID_CLAN_INFO_MESSAGE","הודעה"
"TID_CLAN_INFO_REQUEST_JOIN","בקשה להצטרף"
"TID_CLAN_SEARCH_NO_RESULTS","לא נמצאו מועדונים"
"TID_CLAN_SEARCH_INITIAL","אין רצף חיפוש"
"TID_CLAN_INFO_MEMBERS","חברי צוות"
"TID_CLAN_INFO_SELECT_BADGE","עיון"
"TID_SELECT_BADGE","בחירת תג"
"TID_ALLIANCE_CREATE_OK","המועדון נוצר בהצלחה"
"TID_CLAN_CHANGE_SETTINGS_TITLE","הגדרות מועדון"
"TID_TITLE_ALLIANCE","פרטי מועדון"
"TID_ALLIANCE_LEFT","עזבת את המועדון"
"TID_CLAN_MEMBER_DEMOTE","הורדה בדרגה"
"TID_CLAN_MEMBER_PROMOTE","קידום"
"TID_CLAN_MEMBER_KICK","סילוק"
"TID_CLAN_MEMBER_VIEW_ALLIANCE","הצגת מועדון"
"TID_BUTTON_INVITE","הזמנה"
"TID_PLAYER_INFO_GOTO_CLAN","הצגת מועדון"
"TID_PLAYER_INFO_HEROES","בראולרים (<FOUND>/<TOTAL>)"
"TID_SELECT_PLAYER_THUMBNAIL","בחירת סמל"
"TID_SELECT_PLAYER_THUMBNAIL_FAIL_2","ניתן לפתוח סמל זה ברמת ניסיון <LEVEL>"
"TID_SELECT_PLAYER_THUMBNAIL_FAIL_3","ניתן לפתוח סמל זה כשמספר הגביעים הכולל הוא <TROPHIES>"
"TID_PLAYER_INFO_WINS_AMOUNT","<AMOUNT> ניצחונות"
"TID_PLAYER_INFO_STATS_HEADER","נתונים"
"TID_PLAYER_STAT_1","ניצחונות ב-3 נגד 3"
"TID_PLAYER_STAT_4","מספר הגביעים הגבוה ביותר"
"TID_PLAYER_STAT_8","ניצחונות סולו"
"TID_PLAYER_STAT_10","הזמן הטוב ביותר בתור הבראולר הגדול"
"TID_PLAYER_STAT_9","הזמן הטוב ביותר ברובו-קרב"
"TID_PLAYER_STAT_11","ניצחונות בצמד"
"TID_NO_CLAN","לא במועדון"
"TID_ULTIMATE_NOT_READY","צריך לפגוע באויבים כדי לטעון את תכונת הסופר שלך!"
"TID_CANT_ACTIVATE_ULTI","לא ניתן להפעיל תכונת סופר לאחר תבוסה!"
"TID_NAME_TOO_SHORT","השם שלך קצר מדי"
"TID_ALLIANCE_JOINED","הצטרפת למועדון"
"TID_COIN_RUSH_INTRO_TEXT","צריך לתפוס 10 יהלומים כדי לנצח"
"TID_BOUNTY_HUNTER_INTRO_TEXT","יש להביס בראולרים כדי לקבל כוכבים"
"TID_ATTACK_DEFEND_INTRO_TEXT_ATTACK","יש לירות לפתיחת כספת האויב"
"TID_ATTACK_DEFEND_INTRO_TEXT_DEFEND","יש לירות לפתיחת כספת האויב"
"TID_GO","הילחמו!"
"TID_ALLIANCE_LEAVE_CONFIRMATION_TITLE","אישור עזיבה"
"TID_ALLIANCE_LEAVE_CONFIRMATION","\n\nהאם באמת ברצונך לעזוב את המועדון?"
"TID_ALLIANCE_LEAVE_CONFIRMATION_LEAVE","עזיבה"
"TID_ALLIANCE_PROMOTE_TITLE","אישור קידום"
"TID_ALLIANCE_PROMOTE_CONFIRMATION","האם באמת ברצונך לקדם את <NAME> לתפקיד <ROLE>?"
"TID_ALLIANCE_PROMOTE_BUTTON","קידום"
"TID_ALLIANCE_KICK_TITLE","אישור סילוק"
"TID_ALLIANCE_KICK_CONFIRMATION","האם באמת ברצונך לסלק את <NAME> מהמועדון?"
"TID_ALLIANCE_KICK_BUTTON","סילוק"
"TID_ALLIANCE_DEMOTE_TITLE","אישור הורדה בדרגה"
"TID_ALLIANCE_DEMOTE_CONFIRMATION","האם באמת ברצונך להוריד את <NAME> בדרגה לתפקיד <ROLE>?"
"TID_ALLIANCE_DEMOTE_BUTTON","הורדה בדרגה"
"TID_CLAN_RESPONSE_10","הגדרות נשמרו"
"TID_CLAN_RESPONSE_20","מועדון נוצר"
"TID_CLAN_RESPONSE_21","יצירת מועדון נכשלה! נא לנסות שוב מאוחר יותר."
"TID_CLAN_RESPONSE_22","השם לא אושר"
"TID_CLAN_RESPONSE_23","התיאור לא אושר"
"TID_CLAN_RESPONSE_24","השם קצר מדי"
"TID_CLAN_RESPONSE_40","הצטרפת למועדון"
"TID_CLAN_RESPONSE_42","ההצטרפות נכשלה: המועדון מלא"
"TID_CLAN_RESPONSE_43","ההצטרפות נכשלה: המועדון לא פתוח"
"TID_CLAN_RESPONSE_45","ההצטרפות נכשלה: אין לך מספיק גביעים כדי להצטרף למועדון הזה"
"TID_CLAN_RESPONSE_46","ההצטרפות נכשלה: נחסמת מהצטרפות למועדון הזה כי סולקת/בקשת ההצטרפות שלך נדחתה בעבר"
"TID_CLAN_RESPONSE_47","ההצטרפות נכשלה: הצטרפת ליותר מדי מועדונים היום. הצטרפות למועדונים חסומה עבורך היום."
"TID_CLAN_RESPONSE_48","ההצטרפות נכשלה: לא ניתן להצטרף למועדון באזור אחר."
"TID_CLAN_RESPONSE_50","בקשת הצטרפות נשלחה בהצלחה"
"TID_CLAN_RESPONSE_51","שליחת בקשת הצטרפות נכשלה: המועדון כבר לא פתוח לבקשות חברות"
"TID_CLAN_RESPONSE_52","שליחת בקשת הצטרפות נכשלה: יש לך כבר בקשה בהמתנה למועדון הזה"
"TID_CLAN_RESPONSE_53","שליחת בקשת הצטרפות נכשלה: אין לך מספיק גביעים כדי להצטרף למועדון"
"TID_CLAN_RESPONSE_54","בקשת הצטרפות נכשלה: נחסמת מהצטרפות למועדון הזה כי סולקת/בקשת ההצטרפות שלך נדחתה בעבר"
"TID_CLAN_RESPONSE_55","בקשת הצטרפות נכשלה: לא ניתן להצטרף למועדון באזור אחר."
"TID_CLAN_RESPONSE_70","סולק בהצלחה"
"TID_CLAN_RESPONSE_80","עזבת את המועדון"
"TID_CLAN_RESPONSE_81","קודם בהצלחה"
"TID_CLAN_RESPONSE_82","הורד בדרגה בהצלחה"
"TID_CLAN_RESPONSE_90","אושר בהצלחה"
"TID_CLAN_RESPONSE_91","נדחה בהצלחה"
"TID_CLAN_RESPONSE_92","אישור נכשל: היעד כבר נמצא במועדון"
"TID_CLAN_RESPONSE_93","פעולה נכשלה: לא ניתן למצוא בקשה"
"TID_CLAN_RESPONSE_94","פעולה נכשלה: הבקשה כבר טופלה"
"TID_CLAN_RESPONSE_95","פעולה נכשלה: אין הרשאות"
"TID_CLAN_RESPONSE_96","אישור נכשל: היעד חסום מהצטרפות למועדון הזה"
"TID_CLAN_RESPONSE_100","סולקת ממועדון"
"TID_CLAN_RESPONSE_101","קודמת"
"TID_CLAN_RESPONSE_102","הורדת בדרגה"
"TID_CLAN_RESPONSE_112","שליחת דואר מועדון עדיין נמצאת ברגיעה למשך <TIME>"
"TID_CLAN_RESPONSE_113","דואר מועדון נשלח בהצלחה"
"TID_CLAN_NO_RIGHTS","אין לך הרשאות לעשות זאת"
"TID_ALLIANCE_NAME_TOO_SHORT","שם המועדון קצר מדי"
"TID_CLAN_JOIN_REQUEST_TITLE","בקשת חברות במועדון"
"TID_CLAN_JOIN_REQUEST_SEND","שליחה"
"TID_CLAN_JOIN_REQUEST_DEFAULT_MESSAGE","ברצוני להצטרף למועדון שלכם..."
"TID_CLAN_JOIN_REQUEST_ENTRY_TITLE","האם לקבל את השחקן למועדון?"
"TID_CLAN_JOIN_REQUEST_ENTRY_ACCEPT","אישור"
"TID_CLAN_JOIN_REQUEST_ENTRY_REJECT","דחיה"
"TID_CLAN_JOIN_REQUEST_ENTRY_ACCEPTED_BY","אושר על-ידי <name>"
"TID_CLAN_JOIN_REQUEST_ENTRY_REJECTED_BY","נדחה על-ידי <name>"
"TID_HINT_DRAG_TO_AIM","גרירה לכיוון"
"TID_HINT_RELEASE_TO_SHOOT","שחרור כדי לירות"
"TID_HINT_ACTIVATE_ULTI","יש לגרור את <cff9900>הסמן הצהוב</c> לכיוון תכונת הסופר!"
"TID_HINT_DRAG_TO_ULTI","יש לגרור לכיוון תכונת הסופר, לשחרר לירי!"
"TID_HINT_COLLECT_GOLD","בראולרים מפילים את <ce662f9>היהלומים</c> שלהם כשהם מובסים"
"TID_HINT_HOLD_GOLD","יש לשמור על <ce662f9>היהלומים</c>!"
"TID_HINT_GO_AFTER_ENEMY","יש לתקוף את האויב!"
"TID_HINT_ATTACK_BASE","יש לירות לפתיחת כספת האויב ולהגן על שלך!"
"TID_HINT_DEFEND_BASE","יש לירות לפתיחת כספת האויב ולהגן על שלך!"
"TID_HINT_SHOOT_ENEMIES","יש להביס אויבים להשגת כוכבים!"
"TID_HINT_YOU_ARE_WINNING","הקבוצה שלך מנצחת! עברו להגנה!"
"TID_HINT_YOU_ARE_LOSING","הקבוצה שלך מפסידה! עברו להתקפה!"
"TID_HINT_TAP_TO_MOVE","הקשה כדי לזוז\nזוזו עם הקבוצה"
"TID_BOUNTY_1","<EMPTY>"
"TID_BOUNTY_2","זהירות: יש פרס גדול על ראשך!"
"TID_BOUNTY_3","זהירות: יש פרס ענק על ראשך!"
"TID_BOUNTY_4","מבוקש - חי או מת!"
"TID_NO_CLAN_TITLE","מציאת מועדון"
"TID_NO_CLAN_BODY","כדאי להצטרף למועדון לשיחה ומשחק עם אנשים מגניבים!"
"TID_NO_CLAN_SUGGESTIONS","מועדונים מומלצים עבורך"
"TID_NO_CLAN_RESULTS","תוצאות חיפוש"
"TID_NO_CLAN_EMPTY","אין מועדונים מומלצים :-("
"TID_NO_CLAN_WAITING_FOR_DATA","ממתין לנתונים..."
"TID_CONNECTING_TO_SERVER","מתחבר לשרת..."
"TID_TEAM_ADVERTISE","פרסום"
"TID_TEAM_AD_BUTTON_SUBLABEL_CLAN","למועדון"
"TID_TEAM_AD_BUTTON_SUBLABEL_FRIENDS","לחברים"
"TID_TEAM_AD_INFO_0","מחפשים שחקנים למשחק קבוצתי"
"TID_TEAM_AD_JOIN","הצטרפות לקבוצה"
"TID_TEAM_AD_JOIN_FAIL_ALREADY_IN_A_TEAM","לא ניתן להצטרף. הצטרפת כבר לקבוצה"
"TID_TEAM_MEMBER_STATUS_0","<c999999>לא מחובר</c>"
"TID_TEAM_MEMBER_STATUS_1","<cff1e00>בקרב</c>"
"TID_TEAM_MEMBER_STATUS_2","<c006cff>לא זמין</c>"
"TID_TEAM_MEMBER_STATUS_3","<c999999>לא מוכן</c>"
"TID_TEAM_MEMBER_STATUS_4","<cff1e00>התאמת שחקן</c>"
"TID_TEAM_MEMBER_STATUS_5","<cff1e00>מסך סיום</c>"
"TID_TEAM_MEMBER_STATUS_6","<c999999>לא מחובר</c>"
"TID_TEAM_MEMBER_STATUS_7","<cff1e00>צופה</c>"
"TID_TEAM_MEMBER_STATUS_8","<cff1e00>באימון</c>"
"TID_TEAM_MEMBER_STATUS_9","<c999999>בהקלדה...</c>"
"TID_TEAM_MEMBER_STATUS_10","<c999999>בראולרים</c>"
"TID_TEAM_MEMBER_STATUS_11","<c999999>אירועים</c>"
"TID_TEAM_MEMBER_STATUS_READY","<c2edd1b>מוכן</c>"
"TID_TEAM_STATUS_IN_MATCH","בקרב"
"TID_TEAM_STATUS_IN_MATCHMAKING","התאמת שחקן"
"TID_TEAM_STATUS_FULL","<cff1e00>מלא</c>"
"TID_TEAM_STATUS_WAITING_FOR_PLAYERS","פתוח"
"TID_TEAM_AD_POST_FAIL_NOT_IN_ALLIANCE","יש להצטרף למועדון כדי להשתמש במאפיין הזה"
"TID_TEAM_AD_POST_FAIL_NO_FRIENDS","צריך חברים כדי להשתמש במאפיין הזה"
"TID_TEAM_AD_POST_FAIL_TEAM_FULL","לא ניתן לפרסם. הקבוצה כבר מלאה"
"TID_TEAM_AD_POST_FAIL_NOT_CRETOR","רק ליוצר הקבוצה מותר לעשות זאת"
"TID_TEAM_LOC_INFO","<MODE> ב-<LOC>"
"TID_TEAM_DISPLAY_TITLE_EVENT","קבוצות"
"TID_STREAM_EVENT_1","ביי! <target> סולק מהמועדון על-ידי <sender>"
"TID_STREAM_EVENT_2","ברוכים הבאים! <target> התקבלו למועדון על-ידי <sender>"
"TID_STREAM_EVENT_3","ברוכים הבאים! <sender> הצטרפו למועדון!"
"TID_STREAM_EVENT_4","ביי! <sender> עזבו את המועדון!"
"TID_STREAM_EVENT_5","מזל טוב! ניתן קידום ל<target> על-ידי <sender>"
"TID_STREAM_EVENT_6","זה לא אישי! <target> הורד בדרגה על-ידי <sender>"
"TID_STREAM_EVENT_101","הקבוצה נוצרה על-ידי <sender>"
"TID_STREAM_EVENT_102","שחקן <sender> הצטרף"
"TID_STREAM_EVENT_103","שחקן <sender> עזב"
"TID_STREAM_EVENT_104","ביי! <sender> סילק את <target>"
"TID_STREAM_EVENT_105","התאמת שחקן החלה"
"TID_STREAM_EVENT_106","התאמת שחקן בוטלה"
"TID_STREAM_EVENT_107","המשחק התחיל"
"TID_STREAM_EVENT_108","ניצחת במשחק"
"TID_STREAM_EVENT_109","הפסדת במשחק"
"TID_STREAM_EVENT_110","האימון התחיל"
"TID_STREAM_EVENT_111","האימון הסתיים"
"TID_STREAM_EVENT_112","המשחק הסתיים בתיקו"
"TID_STREAM_EVENT_113","הקרב המכריע הסתיים"
"TID_CHAT_BOTTOM_BUTTON","גלילה למטה"
"TID_CHAT_BOTTOM_NEW_MESSAGES","<count> הודעות חדשות!"
"TID_CHAT_BOTTOM_NEW_MESSAGE","הודעה חדשה!"
"TID_HERO_INFO_UPGRADE_TITLE","<c<COLOR>><NAME></c>"
"TID_HERO_INFO_UPGRADE_INFO","שידרוג לרמה <LVL>"
"TID_HERO_INFO_ITEMS","שדרוגים"
"TID_HERO_INFO_SKINS","בראולר"
"TID_HERO_INFO_SKIN_OWNED","הסקין הזה כבר בבעלותך"
"TID_HERO_INFO_SKIN_ACTIVE","נבחר"
"TID_HERO_INFO_SKIN_ACTIVATE","בחירה"
"TID_HERO_INFO_LEADERBOARD","לוח המובילים"
"TID_HERO_INFO_LEADERBOARD_LABEL","<HERO> השחקנים המובילים"
"TID_HERO_INFO_ABILITY_POWER","<BASEPOW>"
"TID_HERO_INFO_ABILITY_POWER_UPG","<BASEPOW> <c00ff00>+<UPGPOW></c>"
"TID_CLAN_SEARCH_GO","חיפוש"
"TID_CANT_DEACTIVATE_ULTI_DURING_TUTORIAL","יש לגרור לכיוון תכונת הסופר!"
"TID_HINT_SHOOT","יש לגרור לכיוון, לשחרר לירי!"
"TID_HERO_SCORE_SUM_LEADERBOARD","השחקנים המובילים"
"TID_ALLIANCE_LEADERBOARD","המועדונים המובילים"
"TID_HINT_MAKE_GOAL","יש לגרור לכיוון, לשחרר לבעיטה בכדור!"
"TID_BATTLE_ROYALE_INTRO_TEXT","להיות האדם האחרון ששרד!"
"TID_HINT_COLLECT_BUFFS","כדאי לצבור <c50d050>קוביות כוח</c> מארגזים\nומאויבים כדי להתחזק!"
"TID_PLAYERS_LEFT","בראולרים שנותרו: <num>"
"TID_AVOID_POISON","חשוב להתרחק <c90ee90>מענני הרעל</c> המתקרבים!"
"TID_CLAN_CREATE_COOLDOWN","לא ניתן ליצור מועדון עדיין. אפשר לנסות שוב בעוד <TIME>"
"TID_CLAN_CREATE_XP_LEVEL_REQUIRED","עליך להגיע לרמת ניסיון <LEVEL> כדי ליצור מועדון"
"TID_PLAYER_DATA_MISSING","נתוני שחקן חסרים"
"TID_ALLIANCE_DATA_MISSING","נתוני מועדון חסרים"
"TID_BATTLE_END_PLAYER_NAME_YOU","<c00ff00><NAME></c>"
