TID,TH
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_HOUR,ขออภัย เซิร์ฟเวอร์อยู่ระหว่างการซ่อมบำรุง โปรดลองใหม่อีกครั้งในอีกประมาณหนึ่งชั่วโมง
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_MINUTES,ขออภัย เซิร์ฟเวอร์อยู่ระหว่างการซ่อมบำรุง โปรดลองใหม่อีกครั้งในอีก <value> นาที
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_SOON,ขออภัย เซิร์ฟเวอร์อยู่ระหว่างการซ่อมบำรุง โปรดลองใหม่อีกครั้งในอีกประมาณสองหรือสามนาที
TID_SHUTDOWN_BATTLE_DISABLED,เกมกำลังจะปิดเพื่อหยุดพักทำการซ่อมบำรุงในอีกไม่กี่นาที การเริ่มการต่อสู้ใหม่จะถูกปิดใช้งานจนกว่าการซ่อมบำรุงจะสิ้นสุด
TID_TEAM_SEARCH_NO_TEAM_CODE,ป้อนรหัสทีม
TID_NO_RIGHTS_TO_ACCEPT_TO_JOIN_REQ,คุณไม่มีสิทธิ์การเข้าถึงเพื่อยอมรับหรือปฏิเสธคำขอเข้าร่วม
TID_CLAN_RESPONSE_71,สมาชิกอาวุโสมีคูลดาวน์การไล่ออก
TID_STAT_MAX_DAMAGE,ความเสียหายที่ระยะไกลสุด
TID_STAT_DAMAGE_PER_BOMB,ความเสียหายต่อลูกระเบิด
TID_ELDER_KICK_FAIL_COOLDOWN,คุณเพิ่งไล่สมาชิกคลับคนหนึ่งออก ลองอีกครั้งใน <time>
TID_LUCHADOR_KING_SKIN,ราชันย์ปริโม่
TID_PLAYER_DEFEATED_BR,บรอว์เลอร์พ่ายแพ้
TID_BALL_1,สวนหลังบ้าน
TID_HINT_VOLLEYBALL_PUSH_BALL,โยน<cdaa520>บอล</c>!
TID_HINT_VOLLEYBALL_RETURN_BALL,ไปยังจุดที่<cdaa520>บอล</c>ตกและส่งคืนกลับไป!
TID_HINT_VOLLEYBALL_PREVENT_RETURN,กันคู่ต่อสู้ให้อยู่ห่างจาก<cdaa520>บอล</c>เพื่อแย่งและทำคะแนน!
TID_HINT_HOLD_THE_BALL_TAKE_BALL,คว้า<cdaa520>ถ้วยรางวัล</c>!
TID_HINT_HOLD_THE_BALL_PROTECT,ปกป้องคนถือ<cdaa520>ถ้วยรางวัล</c>!
TID_HINT_HOLD_THE_BALL_HOLD_ON,ถือ<cdaa520>ถ้วยรางวัล</c>ให้มั่น!
TID_HINT_GET_BALL,ชิง<cdaa520>บอล</c>!
TID_LASER_BALL_INTRO_TEXT,ทำสองประตูเพื่อชนะ!
TID_AFK_WARNING,คำเตือนการเพิกเฉย! โปรดเคลื่อนที่!
TID_AFK_DISCONNECTED_MSG,คุณถูกตัดการเชื่อมต่อออกจากการต่อสู้เนื่องจากเพิกเฉยหรือเครือข่ายไม่ดี
TID_AFK_BANNED_MSG,คุณถูกแบนจากการต่อสู้ปัจจุบันเนื่องจากเพิกเฉยหรือเครือข่ายไม่ดี คุณจะเข้าเกมได้อีกครั้งหลังการต่อสู้จบลง
TID_AFK_DISCONNECTED_TITLE,ตัดการเชื่อมต่อจากการเพิกเฉย
TID_AFK_BANNED_TITLE,ถูกแบนจากการต่อสู้
TID_AFK_RELOAD,โหลดใหม่
TID_GAME_MODE_7,เกมล่ายักษ์
TID_GAME_MODE_7_DESC,ผู้เล่น 5 คนจะต้องพยายามปราบบรอว์เลอร์ยักษ์\n\nเมื่อเป็นบรอว์เลอร์ยักษ์ คุณจะแข็งแกร่งเป็นอย่างมาก และจะมีพลังชีวิตที่สูง ต้านทานเหล่านักล่าแล้วอยู่ในเกมให้นานที่สุดเท่าที่ทำได้!\n\nเมื่อเป็น 1 ในนักล่าจาก 5 คน คุณจำเป็นต้องร่วมมือกันกับทีมเพื่อโค่นบรอว์เลอร์ยักษ์ให้ได้ก่อนหมดเวลา!
TID_BOSS_INTRO_TEXT_ATTACK,เอาชนะบรอว์เลอร์ยักษ์!
TID_BOSS_INTRO_TEXT_DEFEND,คุณเป็นบรอว์เลอร์ยักษ์!
TID_BOSS_1,หุบเหวหายนะ
TID_SEASON_END_POPUP_TITLE,ลีกถ้วยรางวัลสิ้นสุดแล้ว
TID_SEASON_END_POPUP_REWARD,รางวัลลีกถ้วยรางวัล
TID_SEASON_END_POPUP_GOLD_VALUE,<VALUE>
TID_COIN_META_MIGRATION_TITLE,การเปลี่ยนแปลงที่สำคัญ!
TID_COIN_META_MIGRATION_OK,เล่นการฝึกสอน
TID_COIN_META_MIGRATION_TXT_1,Brawl Stars มีระบบอัปเกรดใหม่โดยบรอว์เลอร์จะมีเลเวลเพิ่มขึ้นเมื่อมีค่าพลังเพียงพอ ความคืบหน้าที่มีอยู่ของคุณจะถูกแปลงเป็นเลเวลของบรอว์เลอร์
TID_COIN_META_MIGRATION_TXT_2,คุณจะได้รับกล่องบรอว์สำหรับโทเค็นอัปเกรดที่ไม่ได้ใช้ และได้รับเพิ่มเติมเพื่อให้มั่นใจว่าคุณจะไม่สูญเสียความคืบหน้าของคุณ
TID_COIN_META_MIGRATION_TXT_3,เกมจะเล่นในแนวนอนและใช้แป้นควบคุมคู่ในการควบคุม
TID_COIN_META_MIGRATION_TXT_4,บูสเตอร์เหรียญถูกนำออกและแทนที่ด้วยอัญมณี
TID_BOLTS_MIGRATION_TITLE,การเปลี่ยนแปลงที่สำคัญ!
TID_BOLTS_MIGRATION_OK,ตกลง
TID_BOLTS_MIGRATION_INFO,ระบบอัปเกรดบรอว์เลอร์แบบใหม่จะไม่ใช้อีลิคเซอร์อีกต่อไป คุณได้รับโทเค็นอัปเกรดคืน <BOLTS> ชิ้นสำหรับอีลิคเซอร์และการอัปเกรดบรอว์เลอร์ก่อนหน้า ใช้โทเค็นอัปเกรดเพื่ออัปเกรดบรอว์เลอร์ของคุณ!\n\nบรอว์เลอร์ที่ซ้ำและชิพถูกนำออกจากเกม คุณได้รับ <GEMS> คืน อัญมณีสำหรับชิพของคุณ เล่นให้สนุก!
TID_BOLTS_MIGRATION_ELIXER_TOKEN,อีลิคเซอร์ของคุณเปลี่ยนเป็นโทเค็นอัปเกรด
TID_BOLTS_MIGRATION_CHIP_GEM,ชิพของคุณเปลี่ยนเป็นอัญมณี
TID_STAT_HEALING_PER_SEC,การฟื้นฟูต่อวินาที
TID_STAT_DAMAGE_PER_CARD,ความเสียหายต่อไพ่
TID_OVERTIME,ต่อเวลา!
TID_VALUE,มูลค่า
TID_SHOP_ONE_TIME_PURCHASE,ข้อเสนอนี้สามารถซื้อได้ครั้งเดียว!
TID_HINT_MAKE_GOAL_1,ลาก<ccc0033>แป้นควบคุมสีแดง</c>เพื่อเล็งบอล!
TID_BALL_2,สามพลังเท้าไว
TID_BALL_3,สนามประตูเล็ก
TID_STARTER_PACK_1,แพ็คเลเวล 5
TID_STARTER_PACK_2,แพ็คเลเวล 15
TID_STARTER_PACK_3,แพ็คเลเวล 25
TID_IAP_XMAS2018_PACK,แพ็ควันเทศกาล
TID_IAP_XMAS2018_PACK_DESC,โฮ่ โฮ่ โฮ่!
TID_STARTER_PACK_0,แพ็คต้อนรับนักสู้มือใหม่
TID_STARTER_PACK_0_DESC,เฉลิมฉลองการเริ่มต้นบนเส้นทางนักสู้ของคุณใน Brawl Stars
TID_IAP_LNY2019_PACK,ข้อเสนอศึกตรุษจีน
TID_IAP_LNY2019_PACK_DESC,สุขสันต์วันตรุษจีน!
TID_IAP_MARCH2019_PACK,ข้อเสนอมีนาคม
TID_IAP_MARCH2019_PACK_DESC,นี่คือข้อเสนอครั้งเดียวเท่านั้น!
TID_IAP_REFRESHER_PACK_DESC,นี่คือข้อเสนอครั้งเดียวเท่านั้น!
TID_BLACKHOLE_DEFAULT_SKIN,ค่าเริ่มต้น
TID_GOLD_CAP_HIT,ครบขีดจำกัดโทเค็นแล้ว
TID_GATCHA_BUTTON_BOX_STACK_FULL,พื้นที่เก็บกล่องเต็ม
TID_COOP_1,สวนปาจิงโกะ
TID_GAME_MODE_8,หุ่นยนต์ตะลุมบอน
TID_GAME_MODE_8_DESC,ป้องกันตู้นิรภัยจากโจรหุ่นยนต์จอมโลภ!\n\nหุ่นยนต์จะบุกตะลุยตู้นิรภัยจากรอบทิศและจะเพิ่มจำนวนมากขึ้นเรื่อยๆ ป้องกันให้ดีที่สุดจนกว่าจะหมดเวลา!\n\nความยากของหุ่นยนต์ตะลุมบอนจะเพิ่มขึ้นในทุกๆ ด่าน เริ่มจากธรรมดาไปจนถึงบ้าคลั่งทุกๆ ครั้งที่คุณป้องกันตู้นิรภัยได้สำเร็จ
TID_COOP_INTRO_TEXT,ปกป้องตู้นิรภัย!
TID_SELECT_EVENT_POPUP_TITLE,เลือกอีเวนท์
TID_BARREL_BOT,ดารีล
TID_BARREL_BOT_DESC,ดารีลโจมตีด้วยปืนลูกซองคู่ที่รุนแรง ท่าไม้ตายของเขาคือการหลบเข้าถังไม้แล้วกลิ้งไปมา!
TID_BARREL_BOT_WEAPON,ระเบิดปืนคู่
TID_BARREL_BOT_WEAPON_DESC,ปืนลูกซองแฝดของดารีลจะยิงระเบิดสองระลอกที่จะสร้างความเสียหายได้อย่างรุนแรงในระยะใกล้
TID_BARREL_BOT_ULTI,ถังกลิ้งสังหาร
TID_BARREL_BOT_ULTI_DESC,ดารีลจะอยู่ในถังไม้ของตัวเองแล้วกลิ้งไปข้างหน้า ทำให้ศัตรูกระเด็นถอยหลัง ลดความเสียหายที่ได้รับ และกระดอนจากกำแพง ท่าไม้ตายของเขาจะชาร์จใหม่เรื่อยๆ เมื่อเวลาผ่านไป!
TID_ARTILLERY_DUDE,เพนนี
TID_ARTILLERY_DUDE_DESC,เพนนีคือสาวหัวขบถที่ชอบต่อสู้โดยไม่มีเหตุผล สาวเจ้าเล่ห์ผู้นี้คือคนคุม\qน่านน้ำทะเลหลวง\q เธอคือตัวอันตรายอย่างแท้จริงที่คอยมองหาการผจญภัยและปล้นสะดมอย่างไม่หยุดหย่อน
TID_ARTILLERY_DUDE_WEAPON,ปืนปล้นสะดม
TID_ARTILLERY_DUDE_WEAPON_DESC,ยิงเหรียญทองออกไปหนึ่งถุง หากถุงนั้นยิงถูกศัตรู\nถุงทองจะระเบิดและเหรียญจะกระจายไปถูกเป้าหมาย\nที่อยู่ด้านหลังศัตรูตัวแรก
TID_ARTILLERY_DUDE_ULTI,ปืนใหญ่เก่าเก็บ
TID_ARTILLERY_DUDE_ULTI_DESC,เพนนีตั้งปืนใหญ่ของเธอให้พร้อมยิง! ปืนใหญ่สามารถยิงศัตรูได้ในระยะไกล ข้ามสิ่งกีดขวาง และจุดพื้นดินให้ลุกเป็นไฟ
TID_ITEM_NAME_SPECIAL,พลังดวงดาว
TID_HERO_INFO_ITEM_LOCKED,คุณสามารถหาสิ่งนี้ได้หลังจากเลเวล <LEVEL>
TID_HERO_INFO_LOCKED_INFO,ปลดล็อคบรอว์\nเลอร์จากกล่องบรอว์
TID_HERO_INFO_LOCKED_INFO_RANK_TRACK,เก็บถ้วยรางวัลให้ได้ <SCORE> ถ้วยเพื่อปลดล็อค
TID_SPEC_ABI_FREEZE,ระเบิดสะท้านใจ
TID_SPEC_ABI_BERSERKER,บ้าระห่ำ
TID_SPEC_SELF_DESTRUCT,แก้แค้น
TID_SPEC_ABI_CACTUS_HEAL,ใส่ปุ๋ยบำรุง
TID_SPEC_ABI_HEAL_SELF_MAIN_ATTACK,ใช้เพื่อการแพทย์
TID_SPEC_ABI_REPAIR_TURRET,เพิ่มพลัง
TID_SPEC_ABI_PET_LIFESTEAL,เคียงบ่าเคียงไหล่
TID_SPEC_ABI_STEAL_SOULS,เก็บเกี่ยววิญญาณ
TID_SPEC_ABI_SPOT,อินทรีสำรวจ
TID_SPEC_ABI_AMBUSH,ซุ่มโจมตี
TID_SPEC_ABI_BLACK_HOLE_MONSTER,ประตูมิติมืด
TID_SPEC_ABI_SPEED,พริ้วไหวว่องไว
TID_SPEC_ABI_HEAL_OTHERS_MAIN_ATTACK,อ้อมกอดของแม่
TID_SPEC_BOUNCED_BULLETS_STRONGER,ที่สุดแห่งสะท้อน
TID_SPEC_ABI_FIRE_DOT_ULTI,เอล ฟูเอโก้
TID_SPEC_LAST_STAND,เพลงกล่อมหงส์
TID_SPEC_BURN,จรวดเสริม!
TID_SPEC_CRIPPLE,พิษแรงพิเศษ
TID_SPEC_ABI_BARREL_DEFENSE,ห่วงเหล็กกล้า
TID_SPEC_HEAL_MAIN_ATTACK,ดา คาโป!
TID_SPEC_ABI_FREEZE_DESC,ซูเปอร์กระสุนลูกปรายของ\nเชลลี่จะทำให้ศัตรูช้าลงเป็นเวลา <c00cc00><VALUE1></c> วินาที!
TID_SPEC_ABI_PREY_ON_THE_WEAK_DESC,โครวสร้างความเสียหาย <c00cc00>+<VALUE2></c> หน่วยด้วยพลังโจมตีและท่าไม้ตายของเขาเมื่อเป้าหมายมีพลังชีวิต <VALUE1>% หรือน้อยกว่า
TID_SPEC_ABI_BERSERKER_DESC,เมื่อบูลมีพลังชีวิตต่ำกว่า <c00cc00><VALUE1>%</c> ความเร็วในการบรรจุกระสุนของเขาจะเพิ่มขึ้นเป็นสองเท่า!
TID_SPEC_SELF_DESTRUCT_DESC,เมื่อไดนาไมค์พ่ายแพ้ เขาจะโยนไดนาไมต์หกแท่ง แต่ละแท่งสร้างความเสียหาย <c00cc00><VALUE1></c> หน่วย
TID_SPEC_ABI_CACTUS_HEAL_DESC,หลังจากใช้ท่าไม้ตาย สไปค์จะฟื้นฟูพลังชีวิต <c00cc00><VALUE1></c> หน่วยต่อวินาทีเมื่ออยู่ในบริเวณพื้นที่แสดงผล
TID_SPEC_ABI_HEAL_SELF_MAIN_ATTACK_DESC,บาร์ลีย์ได้รับพลังชีวิต <c00cc00><VALUE1></c> หน่วยจากการโจมตีในแต่ละครั้ง
TID_SPEC_ABI_REPAIR_TURRET_DESC,เจสซี่สามารถยิงป้อมปืนของเธอเพื่อเพิ่มพลังชีวิต <c00cc00><VALUE1></c> หน่วยให้กับป้อมปืน
TID_SPEC_ABI_PET_LIFESTEAL_DESC,นิต้าฟื้นฟูพลังชีวิต <c00cc00><VALUE1></c> หน่วยเมื่อหมีของเธอโจมตีถูกบรอว์เลอร์ศัตรู และเมื่อนิต้าสร้างความเสียหายได้ หมีของนิต้าก็จะได้รับพลังชีวิต <c00cc00><VALUE2></c> หน่วยเมื่อเธอสร้างความเสียหายให้กับบรอว์เลอร์ศัตรู
TID_SPEC_ABI_STEAL_SOULS_DESC,มอร์ติสเกี่ยวเก็บเอสเซนส์แห่งชีวิตของบรอว์เลอร์ที่เขาเอาชนะ และฟื้นฟูพลังชีวิตให้เขา <c00cc00><VALUE1></c> หน่วย
TID_SPEC_SPOT_FROM_AIR_DESC,เมื่อใช้ท่าไม้ตาย ไพเพอร์สามารถมองเห็นศัตรูที่ซ่อนอยู่ในพุ่มไม้ได้เมื่อเธอลอยอยู่กลางอากาศ
TID_SPEC_HEAL_MAIN_ATTACK_DESC,เมื่อการโจมตีของโปโค่โดนตัวบรอว์เลอร์พันธมิตร พวกเขาจะได้รับพลังชีวิต <c00cc00><VALUE1></c> หน่วย
TID_SPEC_ABI_SPOT_DESC,โบมองเห็นศัตรูที่ซ่อนอยู่ในพุ่มไม้มากกว่าระยะปกติ <c00cc00><VALUE1>%</c>
TID_SPEC_ABI_AMBUSH_DESC,การโจมตีของไพเพอร์สร้างความเสียหายเพิ่มเติม <c00cc00>+<VALUE1></c> หน่วย (ที่ระยะไกลสุด) เมื่อเธอซ่อนอยู่ในพุ่มไม้
TID_SPEC_ABI_BLACK_HOLE_MONSTER_DESC,ท่าไม้ตายของทาร่าจะสร้างรอยแยกระหว่างมิติ! ร่างเงาแยกของทาร่าจะปรากฏขึ้นมาและโจมตีศัตรู
TID_SPEC_ABI_TODO_DESC,ยังไม่ได้กำหนดความสามารถพิเศษ
TID_SPEC_ABI_SPEED_DESC,ความเร็วในการเคลื่อนที่ของโคลท์เพิ่มขึ้น <c00cc00><VALUE1>%</c>
TID_SPEC_ABI_PUSHBACK_SELF_DESC,ไดนาไมค์จะปลิวไปตามแรงระเบิดของเขาเพื่อกระโดดข้ามสิ่งกีดขวาง!
TID_SPEC_ABI_HEAL_OTHERS_MAIN_ATTACK_DESC,เมื่อใดก็ตามที่แพมโจมตีถูกบรอว์เลอร์ศัตรูด้วยเศษเหล็กสลาตัน เธอจะเพิ่มพลังชีวิตให้กับตนเองและบรอว์เลอร์พันธมิตรที่อยู่ใกล้เคียงเป็นจำนวน <c00cc00><VALUE1></c> หน่วย
TID_SPEC_BOUNCED_BULLETS_STRONGER_DESC,กระสุนของริโค ทั้งจากการโจมตีปกติหรือท่าไม้ตายก็ตาม จะได้รับซูเปอร์ชาร์จเมื่อกระดอนครั้งแรกและสร้างความเสียหาย +<c00cc00><VALUE1></c> หน่วย!
TID_SPEC_ABI_FIRE_DOT_ULTI_DESC,ศัตรูที่ถูกโจมตีจากท่าไม้ตายของเอล ปริโม่จะถูกเผาไหม้และได้รับความเสียหาย <c00cc00><VALUE1></c> หน่วยเป็นเวลา 4 วินาที
TID_SPEC_LAST_STAND_DESC,โปโค่จะเล่นเพลงกล่อมหงส์ทันทีที่เขาพ่ายแพ้ บรอว์เลอร์พันธมิตรที่อยู่รอบตัวเขาจะฟื้นฟูพลังชีวิต <c00cc00><VALUE1></c> หน่วย!
TID_SPEC_BURN_DESC,จรวดโปรยปรายจะมีจรวดเพิ่มอีก <c00cc00><VALUE1>%</c>
TID_SPEC_ABI_BARREL_DEFENSE_DESC,หลังใช้ท่าถังกลิ้งสังหาร ความเสียหายทั้งหมดที่ดารีลได้รับจะลดลง <c00cc00><VALUE2>%</c> เป็นเวลา <c00cc00><VALUE1></c> วินาที
TID_SPEC_CRIPPLE_DESC,พิษของโครวจะทำให้ศัตรูอ่อนแอลง ศัตรูจะสร้างความเสียหายน้อยลง <c00cc00><VALUE1>%</c> เมื่อถูกพิษ
TID_BATTLE_ROYALE_7,คู่หูคู่ปัญหา
TID_GAME_MODE_9,ศึกประจันหน้าแบบคู่
TID_GAME_MODE_9_COMBINED,ศึกประจันหน้า
TID_GAME_MODE_9_DESC,เอาชนะทีมอื่นอีกสี่ทีม หากคุณพ่ายแพ้ คุณจะเกิดใหม่อีกครั้งในเวลาไม่นานหากเพื่อนร่วมทีมของคุณยังรอดชีวิตอยู่!
TID_WAVE_APPROACHING,ระลอก <number>
TID_TEAMS_LEFT,ทีมที่เหลือ: <num>
TID_TEAM_MATE_RESPAWNING,เพื่อนร่วมทีมจะกลับมาใน: <num>
TID_BOSS_APPROACHING,ระลอก <number>: <ccc0000>หุ่นยนต์ยักษ์กำลังจะมา!</c>
TID_COOP_2,ชุมทางหุ่นเหล็ก
TID_BOSS_2,โถงพระโรงของราชาตุ่น
TID_BEAR_DAMAGE,พลังโจมตีของหมี
TID_BEAR_HEALTH,พลังชีวิตของหมี
TID_EVENT_POPUP_GMV_LABEL_BATTLE_ROYALE_TEAM,ทีมสองคน
TID_SPEC_ABI_PUSHBACK_SELF,ระเบิดตัวลอย
TID_VIEW_PROFILE_BUTTON,ดูประวัติ
TID_REPORT_PLAYER_BUTTON,รายงาน
TID_CHAT_REPORT_CONFIRMATION_TITLE,รายงาน <name> หรือไม่?
TID_CHAT_REPORT_CONFIRMATION,\n\nแน่ใจหรือไม่ว่าจะรายงานว่า <name> มีพฤติกรรมไม่เหมาะสม?
TID_PLAYER_ALREADY_REPORTED,ผู้เล่นคนนี้ถูกรายงานแล้ว!
TID_STARTER_PACK_4,แพ็คเลเวล 35
TID_NEED_HERO,ไม่สามารถซื้อสกินได้ ต้องปลดล็อคบรอว์เลอร์ก่อน
TID_EVENT_ENDING,<GAMEMODE> กำลังจะจบลงในอีกไม่ช้า!
TID_TEAM_DISPLAY_TITLE_CLAN,ทีมคลับ
TID_TEAM_DISPLAY_TITLE_FRIENDS,ทีมเพื่อน
TID_TICKETS_REVEIVED,รับตั๋วอีเวนท์ <AMOUNT> ใบแล้ว!
TID_TUTORIAL_12,เราได้อัญมณีแล้ว มุ่งหน้าไปยังทางออกกัน!
TID_NO_TARGET_HINT,ไม่มีเป้าหมายให้ใช้โจมตีทันใจ!
TID_CAN_NOT_AUTOSHOOT,ท่าไม้ตายนี้ใช้โจมตีทันใจไม่ได้
TID_VS,VS
TID_VS_SHOWDOWN,บรอว์เลอร์ทุกคนเตรียมพร้อม!
TID_HAS_LASER_BALL_HINT,ไม่สามารถใช้โจมตีทันใจได้ในขณะเลี้ยงลูกบอล
TID_CLAN_RESPONSE_44,การเข้าร่วมล้มเหลว: คุณอยู่ในคลับอยู่แล้ว
TID_SHOTGUN_GIRL_SHORT_DESC,ตัวทำดาเมจ
TID_GUNSLINGER_SHORT_DESC,ตัวทำดาเมจ
TID_BULL_DUDE_SHORT_DESC,ตัวแทงก์
TID_ROCKET_GIRL_SHORT_DESC,นักแม่นปืน
TID_TNT_DUDE_SHORT_DESC,มือขว้าง
TID_LUCHADOR_SHORT_DESC,ตัวแทงก์
TID_TRICKSHOT_DUDE_SHORT_DESC,ตัวทำดาเมจ
TID_CACTUS_SHORT_DESC,ตัวทำดาเมจ
TID_BARKEEP_SHORT_DESC,มือขว้าง
TID_MECHANIC_SHORT_DESC,ตัวลดค่าสถานะ
TID_SHAMAN_SHORT_DESC,ตัวทำดาเมจ
TID_UNDERTAKER_SHORT_DESC,นักฆ่า
TID_CROW_SHORT_DESC,นักฆ่า
TID_DEAD_MARIACHI_SHORT_DESC,สายสนับสนุน
TID_BOW_DUDE_SHORT_DESC,ตัวลดค่าสถานะ
TID_SNIPER_SHORT_DESC,นักแม่นปืน
TID_MINIGUN_DUDE_SHORT_DESC,สายสนับสนุน
TID_BLACK_HOLE_SHORT_DESC,ตัวทำดาเมจ
TID_BARREL_BOT_SHORT_DESC,ตัวแทงก์
TID_CLAN_INTRO_SUGGESTED_CLANS,คลับที่ดีที่สุดสำหรับคุณ
TID_CLAN_INTRO_CREATE_TITLE,ทำไมคุณไม่สร้างเองล่ะ?
TID_CLAN_INTRO_HEADER,คลับ
TID_CLAN_INFO_TITLE,ข้อมูลคลับ
TID_CLAN_INFO_NO_DESCRIPTION,ไม่มีคำอธิบายคลับ
TID_EVENT_POPUP_TITLE,ลุยเลย!
TID_GOLDRUSH_8,ที่ราบแซฟไฟร์
TID_USE_AUTOFIRE_TUTORIAL,แตะ<ccc0033>แป้นควบคุมสีแดง</c>เพื่อโจมตีศัตรูที่อยู่ใกล้ที่สุด!
TID_BRAWL_BOX_INFO_1,รางวัลจากกล่องใหญ่หนึ่งกล่องจะเทียบเท่ากับการเปิดกล่องบรอว์ 3 กล่อง อย่างไรก็ตามบรอว์เลอร์ที่จะได้รับค่าพลังจะมีจำนวนน้อยกว่า\n\nคุณจะได้รับการสุ่มสามครั้ง โดยแต่ละครั้งจะมีความเป็นไปได้ของรางวัลดังต่อไปนี้:
TID_BRAWL_BOX_INFO_2,"กล่องบรอว์แต่ละกล่องจะมีหนึ่งในรางวัลดังต่อไปนี้: บรอว์เลอร์ใหม่, ค่าพลังและเหรียญ, อุปกรณ์เสริม หรือพลังดวงดาว นอกจากนี้ คุณยังมีโอกาสได้รับแพ็คทวีคูณโทเค็นเป็นโบนัส\n\nความเป็นไปได้ของรางวัล ได้แก่:"
TID_BRAWL_BOX_INFO_3,รางวัลจากกล่องยักษ์หนึ่งกล่องจะเทียบเท่ากับการเปิดกล่องบรอว์ 10 กล่อง อย่างไรก็ตามบรอว์เลอร์ที่จะได้รับค่าพลังจะมีจำนวนน้อยกว่า\n\nคุณจะได้รับการสุ่ม 10 ครั้ง โดยแต่ละครั้งจะมีความเป็นไปได้ของรางวัลดังต่อไปนี้:
TID_BRAWL_BOX_INFO_CATEGORIES,\n\n<CATEGORY1> : <NUM1>%\nบรอวเลอร์ระดับแรร์ : <NUM2>%<GAR_HERO_1>\nบรอว์เลอร์ระดับซูเปอร์แรร์ : <NUM3>%<GAR_HERO_2>\nบรอว์เลอร์ระดับอีปิค : <NUM4>%<GAR_HERO_3>\nบรอว์เลอร์ระดับมีธิค : <NUM5>%<GAR_HERO_4>\nบรอว์เลอร์ระดับเลเจนดารี : <NUM6>%<GAR_HERO_5>\nพลังดวงดาว : <NUM7>%<GAR_STAR_POWER>\nอุปกรณ์เสริม : <NUM8>%<GAR_ACCESSORY>
TID_BRAWL_BOX_INFO_FOOTER,\n\nนอกจากนี้ การสุ่มแต่ละครั้งจะมีโอกาส <TOKEN_DOUBLER>% ที่จะได้รับแพ็คทวีคูณโทเค็น อุปกรณ์เสริมสามารถใช้ได้กับบรอว์เลอร์ที่ไปถึงเลเวลพลัง 7 แล้วเท่านั้น พลังดวงดาวสามารถใช้ได้กับบรอว์เลอร์ที่ไปถึงเลเวลพลัง 9 แล้วเท่านั้น หลังจากปลดล็อคบรอว์เลอร์ <WCPP_BRAWLERS> ตัว คุณจะมีโอกาส <WCPP_CHANCE>% ที่จะมอบค่าพลังนั้นให้กับบรอว์เลอร์ตัวใดก็ได้ เมื่อคุณปลดล็อครางวัลประเภทหนึ่งได้ครบทั้งหมดแล้ว เช่น บรอว์เลอร์ระดับแรร์ ความเป็นไปได้ที่จะได้รับรางวัลประเภทอื่นจะเพิ่มขึ้น โชค: เพื่อให้การเปิดกล่องบรอว์ยุติธรรมมากขึ้น จึงมีระบบโชคที่จะส่งผลต่อความเป็นไปได้ในการได้รับบรอว์เลอร์ระดับเลเจนดารี การสุ่มแต่ละครั้งที่คุณไม่ได้บรอว์เลอร์ตัวใหม่ โชคของคุณก็จะเพิ่มขึ้น และเมื่อคุณได้บรอว์เลอร์ตัวใหม่แต่ละครั้ง โชคของคุณก็จะลดลงตามระดับความหายากของบรอว์เลอร์ที่คุณได้ เมื่อโชคสูงพอ คุณจะมีโอกาสได้รับบรอว์เลอร์ระดับเลเจนดารีสูงขึ้น โดยโอกาสจะไม่มากไปกว่า <MAX_LEGENDARY>% ในทางกลับกัน โชคที่น้อยลงก็หมายถึงโอกาสที่จะได้รับบรอว์เลอร์ระดับเลเจนดารีตัวใหม่น้อยลง การสุ่มในตอนต้นเกมได้ถูกกำหนดไว้แล้วเพื่อให้ทุกคนเริ่มต้นอย่างเท่าเทียมกัน
TID_BRAWL_BOX_INFO_POWER_POINTS_AND_COINS,ค่าพลัง + เหรียญ
TID_BRAWL_BOX_INFO_POWER_POINTS_COINS_AND_SCRAP,ค่าพลัง + เหรียญ + เศษเครื่องมือ
TID_BRAWL_BOX_INFO_COINS_AND_SCRAP,เหรียญ + เศษเครื่องมือ
TID_BRAWL_BOX_INFO_COINS,เหรียญ
TID_BRAWL_BOX_INFO_GUARANTEED_HERO_IN,(การันตีได้รับแน่นอนจากการสุ่ม <DRAWS> ครั้ง)
TID_BRAWL_BOX_INFO_GUARANTEED_STARPOWER_IN,(การันตีได้รับแน่นอนจากการสุ่ม <DRAWS> ครั้ง)
TID_BRAWL_BOX_INFO_GUARANTEED_ACCESSORY_IN,(การันตีได้รับแน่นอนจากการสุ่ม <DRAWS> ครั้ง)
TID_POWER_DROP_VALUE,+<VALUE>
TID_COLLECT,เก็บ
TID_PAGE_FRIENDS_TITLE,เพื่อน
TID_PAGE_FRIENDS_TITLE2,การต่อสู้กับเพื่อนของคุณ!
TID_PAGE_FRIENDS_ADD_FRIENDS,เพิ่มเพื่อน
TID_PAGE_FRIENDS_NO_FRIENDS_NO_LOGIN,เชื่อมต่อกับโซเชียลเน็ตเวิร์คหรือค้นหาเพื่อนในเกมเพื่อเล่นกับพวกเขา!
