TID,RU
TID_ACCOUNT_LOCKED_TEXT2,Введи код разблокировки:
TID_HERO_LIST_CONFIRM_GEM_GATCHA,Нажми для подтверждения
TID_NOT_ENOUGH_GEMS_TITLE,Не хватает кристаллов
TID_NOT_ENOUGH_GEMS_INFO,"\n\nУ тебя недостаточно кристаллов. Загляни в магазин, чтобы пополнить запас!"
TID_NOT_ENOUGH_GEMS_GO_TO_SHOP,В магазин
TID_NOT_ENOUGH_CHROMATIC_COINS,Нужно больше хромакредитов
TID_COIN_DOUBLER_TITLE,Купить удвоитель жетонов
TID_COIN_DOUBLER_TITLE_WITH_COINS,Добавить жетоны к удвоителю жетонов
TID_COIN_DOUBLER_INFO,Следующие заработанные в бою жетоны (<c2edd1b><AMOUNT></c>) удваиваются.
TID_COIN_DOUBLER_INFO_WITH_COINS,Добавить жетоны (<c2edd1b><AMOUNT></c>) к удвоителю жетонов.\n\nУдвоитель жетонов удваивает заработанные в бою жетоны.
TID_GEM_PRICE_OK,<COST>
TID_GEM_PRICE_WARN,<COST>
TID_STAT_PER_DYNAMITE,Урон от динамитной шашки
TID_STARS_1,Берегись: у тебя есть <ce662f9>КРИСТАЛЛ</c>!
TID_STARS_2,Берегись: у тебя есть <ce662f9>КРИСТАЛЛЫ</c>!
TID_STARS_3,Берегись: у тебя много <ce662f9>КРИСТАЛЛОВ</c>!
TID_STARS_4,Берегись: у тебя тонна <ce662f9>КРИСТАЛЛОВ</c>!
TID_GATCHA_BUTTON_TITLE,ЯЩИК
TID_1ST_WIN_CHEST_BUTTON_TITLE,БОЛЬШОЙ ЯЩИК
TID_EVENT_LOCKED,Заблокировано
TID_SPECIAL_EVENT_TITLE_TOP,ОСОБОЕ СОБЫТИЕ:
TID_SPECIAL_EVENT_STATUS_ACTIVE,активно
TID_SPECIAL_EVENT_STATUS_FUTURE,начало через
TID_EVENT_COMING_UP_INFO,Событие начнётся через <TIME>
TID_ROCKET_BEACH_SKIN,ПЛЯЖНЫЙ БРОК
TID_CACTUS_PINK_SKIN_OLD,РОЗОВЫЙ СПАЙК
TID_SHAMAN_PANDA_SKIN,ПАНДА НИТА
TID_CROW_WHITE_SKIN,БЕЛЫЙ ВОРОН
TID_BULL_HAIR_SKIN,ВИКИНГ БУЛЛ
TID_TRICKSHOT_GOLD_SKIN_OLD,ЗОЛОТОЙ МЕДАЛИСТ РИКОШЕТ
TID_BARKEEP_GOLD_SKIN,ПОЗОЛОЧЕННЫЙ БАРЛИ
TID_GUNSLINGER_ROCKSTAR_SKIN,РОК-ЗВЕЗДА КОЛЬТ
TID_STAT_HEAL,Лечение
TID_LUCHADOR_RUDO_SKIN,ЭЛЬ РУДО ПРИМО
TID_HERO_INFO_PURCHASE_SKIN_LABEL,Купить
TID_EVENTS_NEW_EVENT,Новое событие!
TID_SETTINGS_BRAWLHINTS,Боевые подсказки
TID_COLLECTED_COINS_INFO,"Тобой собрано <CURRENT> жетонов из <MAX>, существующих в режиме «<PLANET>»."
TID_COLLECTED_COINS_INFO_CAPPED,"Тобой собраны все жетоны, существующие в режиме «<PLANET>»."
TID_TICKET_COUNTER_INFO,"Используй билеты, чтобы сражаться здесь!"
TID_NOT_ENOUGH_TICKETS,Не хватает билетов
TID_EVENT_LIST_GAME_ROOMS,НОВАЯ КОМАНДА
TID_EVENT_LIST_WELCOME,Добро пожаловать в Brawl Stars!
TID_COOP,Кооперативный бой
TID_COOP_NOT_SUPPORTED,В этом событии кооперативный бой недоступен
TID_PRACTISE_NOT_SUPPORTED,В этом событии тренировка недоступна
TID_BIND_TO_NEW_FACEBOOK_ACCOUNT_TITLE,Новая учётная запись Facebook
TID_BIND_TO_NEW_FACEBOOK_ACCOUNT,Хочешь привязать игру к этой учётной записи Facebook?
TID_BUTTON_OKAY,OK
TID_SELECT_PLAYER_THUMBNAIL_FAIL_4,Для этой иконки необходим боец <HERO>
TID_HERO_PORTRAIT_CRAFT_COST,<cffffff><COST></c>
TID_HERO_PORTRAIT_CRAFT_COST_NEG,<c999999><COST></c>
TID_EVENT_POPUP_CREATE_TEAM_INFO,Пригласи друзей\nи играй вместе с ними
TID_EVENT_POPUP_HIGHSTAKES_INFO,"Можно потратить сразу несколько билетов, и тогда награда будет больше."
TID_EVENT_POPUP_GMV_LABEL_TEAM,3 на 3
TID_EVENT_POPUP_GMV_LABEL_BATTLE_ROYALE,Бой на выживание
TID_EVENT_POPUP_GMV_LABEL_BOSS_FIGHT,5 на 1
TID_EVENT_POPUP_GMV_LABEL_COOP_SURVIVAL,Три игрока против роботов
TID_HIGHSTAKES_REWARDS,Награда x<COUNT>
TID_HIGHSTAKES_COST,Билетов: <COUNT>
TID_POPUP_ANDROID_EXIT_TITLE,Выйти из Brawl Stars?
TID_POPUP_ANDROID_EXIT,Точно хочешь выйти из Brawl Stars?
TID_ROOM_NOT_SUPPORTED,В этом событии команды недоступны
TID_ERROR_POP_UP_PURCHASE_FAILED_TITLE,Покупка не удалась
TID_ERROR_POP_UP_PURCHASE_FAILED,"Сервер оплаты не отвечает. Пожалуйста, попробуй позже."
TID_ERROR_POP_UP_PURCHASE_FAILED_BUTTON,OK
TID_IAP_NOT_AVAILABLE,"Пожалуйста, активируй возможность встроенных покупок в настройках ограничений устройства."
TID_NEWS_TITLE,НОВОСТИ
TID_STAT_DAMAGE_PER_ARROW,Урон от стрелы
TID_STAT_DAMAGE_PER_MINE,Урон от ловушки
TID_STAT_DAMAGE_PER_SPIKE,Урон от шипа
TID_STAT_DAMAGE_PER_DAGGER,Урон от кинжала
TID_FRIENDS_FACEBOOK_CONNECTED,Facebook подключён
TID_FRIENDS_FACEBOOK_NOT_CONNECTED,"Подключись к Facebook, чтобы видеть в игре друзей оттуда!"
TID_FRIENDS_CONNECT_INFO,"Подключись к соцсетям, чтобы найти своих друзей в игре!"
TID_FRIENDS_NO_FRIENDS,Друзей нет
TID_FRIENDS_SUGGESTIONS_SEND_REQUEST,ПРЕДЛОЖИТЬ ДРУЖИТЬ
TID_FRIENDS_TITLE_1_NO_COUNT,ДРУЗЬЯ
TID_FRIENDS_TITLE_1,ДРУЗЬЯ (<COUNT>)
TID_FRIENDS_TITLE_2,ВОЗМОЖНЫЕ ДРУЗЬЯ
TID_FRIENDS_TITLE_3,ПРЕДЛОЖЕНИЯ ДРУЖИТЬ
TID_FRIEND_SUGGESTIONS_GAMES_PLAYED_MULT,БОЁВ ВМЕСТЕ НЕДАВНО: <COUNT>
TID_FRIEND_SUGGESTIONS_GAMES_PLAYED_ONE,НЕДАВНО СЫГРАН ОДИН БОЙ ВМЕСТЕ
TID_FRIENDS_NO_ENTRIES_TAB_2,ВОЗМОЖНЫХ ДРУЗЕЙ НЕТ
TID_FRIENDS_NO_ENTRIES_TAB_3,ПРЕДЛОЖЕНИЙ ДРУЖИТЬ НЕТ
TID_FRIENDS_CANNOT_REMOVE_FRIEND,Друзей из социальных сетей удалить нельзя.
TID_FRIEND_REQUEST_ACCEPT,ПРИНЯТЬ
TID_FRIEND_REQUEST_REJECT,ОТКЛОНИТЬ
TID_FRIEND_REQUEST_REASON_0,<EMPTY>
TID_FRIEND_REQUEST_REASON_1,ИЗ КЛУБА
TID_FRIEND_REQUEST_REASON_2,ИЗ КОМАНДЫ
TID_FRIEND_REQUEST_REASON_3,БОЁВ ВМЕСТЕ НЕДАВНО: <AMOUNT>
TID_FRIEND_REQUEST_REASON_4,БОЁВ ВМЕСТЕ НЕДАВНО: <AMOUNT>
TID_FRIEND_POPOVER_PROFILE,ПРОФИЛЬ
TID_FRIEND_POPOVER_REMOVE,УДАЛИТЬ
TID_FRIEND_POPOVER_SPECTATE,НАБЛЮДАТЬ
TID_FRIEND_POPOVER_YOU,Это ты.
TID_REMOVE_FRIEND_POPUP_REMOVE,УДАЛИТЬ
TID_REMOVE_FRIEND_POPUP_CANCEL,ОТМЕНА
TID_REMOVE_FRIEND_POPUP_TITLE,УДАЛИТЬ ДРУГА?
TID_REMOVE_FRIEND_POPUP_BODY,Точно хочешь удалить игрока <NAME> из друзей?
TID_UNLOCK_SKIN_CONTENT,\n\nКУПИТЬ СКИН «<NAME>»
TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE_TITLE,Подключение прервано
TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE,Другое устройство подключается к этой игре.
TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE_BUTTON,Перезагрузить
TID_BAD_CONNECTION,Нестабильное соединение
TID_FACEBOOK_BOUND_TO_OTHER_ACCOUNT_TITLE,Уведомление Facebook
TID_FACEBOOK_BOUND_TO_OTHER_ACCOUNT,Эта учётная запись Facebook уже привязана к другой игре Brawl Stars. Привязать её к этой игре?
TID_KAKAO_BOUND_TO_OTHER_ACCOUNT_TITLE,Уведомление Kakao
TID_KAKAO_BOUND_TO_OTHER_ACCOUNT,Эта учётная запись Kakao уже привязана к другой игре Brawl Stars. Привязать её к этой игре?
TID_LINE_BOUND_TO_OTHER_ACCOUNT_TITLE,Уведомление LINE
TID_LINE_BOUND_TO_OTHER_ACCOUNT,Эта учётная запись LINE уже привязана к другой игре Brawl Stars. Привязать её к этой игре?
TID_TEAM_FREE_EVENT_REWARD_CLAIMED,Бесплатная награда события получена
TID_GEM_BUY_CONFIRMATION,Получены кристаллы (<AMOUNT>)!
TID_BLOCKED_TEAM_READY,Нельзя показать в режиме готовности!
TID_TEAM_CANNOT_INVITE_WHILE_READY,Нельзя пригласить в режиме готовности!
TID_SHOTGUN_BANDITA_SKIN,ШЕЛЛИ-БАНДИТКА
TID_SHUTDOWN_STARTED,Игра закроется на короткий технический перерыв через 5 минут.
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_LONG,"Прости, на сервере ведутся технические работы. Пожалуйста, попробуй снова через несколько часов."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_TWO_HOURS,"Прости, на сервере ведутся технические работы. Пожалуйста, попробуй снова через пару часов."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_HOUR_AND_HALF,"Прости, на сервере ведутся технические работы. Пожалуйста, попробуй снова примерно через полтора часа."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_HOUR,"Прости, на сервере ведутся технические работы. Пожалуйста, попробуй снова примерно через час."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_MINUTES,"Прости, на сервере ведутся технические работы. Пожалуйста, попробуй снова примерно через <value> минут."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_SOON,"Прости, на сервере ведутся технические работы. Пожалуйста, попробуй снова через несколько минут."
TID_SHUTDOWN_BATTLE_DISABLED,Игра закроется на технический перерыв через несколько минут. Новый бой нельзя будет начать до окончания технического перерыва.
TID_TEAM_SEARCH_NO_TEAM_CODE,Введи код команды.
TID_NO_RIGHTS_TO_ACCEPT_TO_JOIN_REQ,Ты не можешь принимать или отклонять запросы.
TID_CLAN_RESPONSE_71,Между повторным исключением из клуба ветераном должно пройти какое-то время.
TID_STAT_MAX_DAMAGE,Урон на макс. дистанции
TID_STAT_DAMAGE_PER_BOMB,Урон от гранаты
TID_ELDER_KICK_FAIL_COOLDOWN,Нельзя исключать несколько участников клуба подряд. Попробуй снова через <time>
TID_LUCHADOR_KING_SKIN,ЭЛЬ РЕЙ ПРИМО
TID_PLAYER_DEFEATED_BR,Боец побеждён
TID_BALL_1,Дворовый чемпионат
TID_HINT_VOLLEYBALL_PUSH_BALL,Коснись <cdaa520>мяча!</c>
TID_HINT_VOLLEYBALL_RETURN_BALL,"Чтобы отбить <cdaa520>мяч</c>, жди там, куда он упадёт!"
TID_HINT_VOLLEYBALL_PREVENT_RETURN,"Чтобы заработать очко, не дай противникам отбить <cdaa520>мяч</c>!"
TID_HINT_HOLD_THE_BALL_TAKE_BALL,Забери <cdaa520>трофей!</c>
TID_HINT_HOLD_THE_BALL_PROTECT,Защищай бойца с <cdaa520>трофеем</c>!
TID_HINT_HOLD_THE_BALL_HOLD_ON,Удерживай <cdaa520>трофей!</c>
TID_HINT_GET_BALL,Забери <cdaa520>мяч!</c>
TID_LASER_BALL_INTRO_TEXT,"Забей два гола, чтобы победить!"
TID_AFK_WARNING,Предупреждение за неактивность! Двигайся!
TID_AFK_DISCONNECTED_MSG,Тебя отключило от битвы из-за неактивности или плохого соединения.
TID_AFK_BANNED_MSG,"Тебе запрещено участвовать в текущей битве из-за неактивности или плохого соединения. Ты сможешь вернуться в игру, когда битва будет окончена."
TID_AFK_DISCONNECTED_TITLE,Отключение из-за неактивности
TID_AFK_BANNED_TITLE,Тебя выгнали с поля боя
TID_AFK_RELOAD,Перезагрузить
TID_GAME_MODE_7,БОЛЬШАЯ ИГРА
TID_GAME_MODE_7_DESC,"Пять игроков сражаются против МЕГАБОЙЦА.\n\nЕсли ты МЕГАБОЕЦ, у тебя огромное преимущество в силе и здоровье. Не дай охотникам одолеть тебя и оставайся в живых как можно дольше!\n\nЕсли ты один из пяти охотников, действуй сообща с командой, чтобы победить МЕГАБОЙЦА, пока не закончилось время!"
TID_BOSS_INTRO_TEXT_ATTACK,Одолей МЕГАБОЙЦА!
TID_BOSS_INTRO_TEXT_DEFEND,МЕГАБОЕЦ — это ты!
TID_BOSS_1,Смертельный каньон
TID_SEASON_END_POPUP_TITLE,ТРОФЕЙНАЯ ЛИГА ЗАКОНЧИЛАСЬ
TID_SEASON_END_POPUP_REWARD,НАГРАДА ТРОФЕЙНОЙ ЛИГИ
TID_SEASON_END_POPUP_GOLD_VALUE,<VALUE>
TID_COIN_META_MIGRATION_TITLE,Важные изменения!
TID_COIN_META_MIGRATION_OK,ПРОЙТИ ОБУЧЕНИЕ
TID_COIN_META_MIGRATION_TXT_1,"В Brawl Stars действует новая система улучшения, где уровень бойцов может быть повышен после того, как будет собрано достаточное количество очков силы. Твои достижения были преобразованы в уровни."
TID_COIN_META_MIGRATION_TXT_2,"Ты получишь ящики в обмен на свои неиспользованные жетоны для улучшения и ещё несколько сверх этого, чтобы убедиться, что твои достижения не потеряются."
TID_COIN_META_MIGRATION_TXT_3,Игра перешла на альбомную ориентацию и управляется двумя джойстиками.
TID_COIN_META_MIGRATION_TXT_4,УСИЛИТЕЛЬ МОНЕТ был убран и преобразован в кристаллы.
TID_BOLTS_MIGRATION_TITLE,Важные изменения!
TID_BOLTS_MIGRATION_OK,OK
TID_BOLTS_MIGRATION_INFO,"В новой системе улучшения бойцов эликсир больше не нужен. Мы компенсировали твой эликсир и предыдущие улучшения бойцов жетонами для улучшения (<BOLTS>). Используй эти жетоны для улучшения своих бойцов!\n\nКопии бойцов и, следовательно, фишки были убраны из игры. Мы компенсировали твои фишки кристаллами (<GEMS>). Удачи!"
TID_BOLTS_MIGRATION_ELIXER_TOKEN,ТВОЙ ЭЛИКСИР ПРЕВРАТИЛСЯ В ЖЕТОНЫ ДЛЯ УЛУЧШЕНИЯ
TID_BOLTS_MIGRATION_CHIP_GEM,ТВОИ ФИШКИ БЫЛИ ЗАМЕНЕНЫ КРИСТАЛЛАМИ
TID_STAT_HEALING_PER_SEC,Исцеление в секунду
TID_STAT_DAMAGE_PER_CARD,Урон от карты
TID_OVERTIME,Дополнительное время!
TID_VALUE,выгоды
TID_SHOP_ONE_TIME_PURCHASE,РАЗОВОЕ предложение!
TID_HINT_MAKE_GOAL_1,"ЗАЖМИ И ПОТЯНИ <ccc0033>КРАСНЫЙ ДЖОЙСТИК</c>, чтобы прицелиться перед ударом по мячу!"
TID_BALL_2,Трипл-дриблинг
TID_BALL_3,Игольное ушко
TID_STARTER_PACK_1,Набор 5-го уровня
TID_STARTER_PACK_2,Набор 15-го уровня
TID_STARTER_PACK_3,Набор 25-го уровня
TID_IAP_XMAS2018_PACK,С праздником!
TID_IAP_XMAS2018_PACK_DESC,Хо-хо-хо!
TID_STARTER_PACK_0,Приветственный набор
TID_STARTER_PACK_0_DESC,Отпразднуй начало своих приключений в Brawl Stars!
TID_IAP_LNY2019_PACK,Акция к лунному Новому году
TID_IAP_LNY2019_PACK_DESC,С лунным Новым годом!
TID_IAP_MARCH2019_PACK,Мартовская акция
TID_IAP_MARCH2019_PACK_DESC,Это единовременное предложение!
TID_IAP_REFRESHER_PACK_DESC,Уникальная акция!
TID_BLACKHOLE_DEFAULT_SKIN,По умолчанию
TID_GOLD_CAP_HIT,Лимит жетонов исчерпан.
TID_GATCHA_BUTTON_BOX_STACK_FULL,Достигнут предел количества ящиков
TID_COOP_1,Парк патинко
TID_GAME_MODE_8,РОБОРУБКА
TID_GAME_MODE_8_DESC,"Защищай сейф от жадных робобандитов!\n\nРоботы наступают со всех сторон, и их становится всё больше. Продержись до конца отведённого времени!\n\nСложность в роборубке возрастает поэтапно с каждой успешной обороной, начиная с НОРМАЛЬНОЙ и постепенно достигая БЕЗУМНОЙ."
TID_COOP_INTRO_TEXT,Защищай сейф!
TID_SELECT_EVENT_POPUP_TITLE,Выбрать событие
TID_BARREL_BOT,ДЭРРИЛ
TID_BARREL_BOT_DESC,"Атака из пары дробовиков Дэррила невероятно мощна. Его Супер — усиленная бочка, в которой он катится вперёд, отскакивая от стен по пути!"
TID_BARREL_BOT_WEAPON,ДВАЖДЫ ДВА
TID_BARREL_BOT_WEAPON_DESC,"Дэррил дважды стреляет из обеих двустволок, нанося огромный урон на короткой дистанции."
TID_BARREL_BOT_ULTI,УКАТИВШАЯСЯ БОЧКА
TID_BARREL_BOT_ULTI_DESC,"Дэррил катится вперёд в бочке, которая отбрасывает врагов, уменьшает наносимый ему урон и отскакивает от стен. Супер заряжается с течением времени!"
TID_ARTILLERY_DUDE,ПЕННИ
TID_ARTILLERY_DUDE_DESC,"Бунтарка и гроза морей Пенни всегда готова к очередному приключению и не остановится ни перед чем, почуяв добычу."
TID_ARTILLERY_DUDE_WEAPON,МУШКЕТОН
TID_ARTILLERY_DUDE_WEAPON_DESC,"Стреляет мешочком фальшивого золота. Задев врага, мешочек рвётся и осыпает монетами тех, кто находится позади."
TID_ARTILLERY_DUDE_ULTI,СТАРЫЙ ПРОЙДОХА
TID_ARTILLERY_DUDE_ULTI_DESC,"Пенни устанавливает дальнобойную пушку, которая поджигает землю и достаёт врагов даже в укрытии."
TID_ITEM_NAME_SPECIAL,ЗВЁЗДНАЯ СИЛА
TID_HERO_INFO_ITEM_LOCKED,Можно найти после получения <LEVEL>-го уровня.
TID_HERO_INFO_LOCKED_INFO,Бойца можно найти в ящике
TID_HERO_INFO_LOCKED_INFO_RANK_TRACK,"Набери <SCORE> трофеев, чтобы разблокировать."
TID_SPEC_ABI_FREEZE,КОНТУЗИЯ
TID_SPEC_ABI_BERSERKER,БЕРСЕРК
TID_SPEC_SELF_DESTRUCT,ОТМЩЕНИЕ
TID_SPEC_ABI_CACTUS_HEAL,УДОБРЕНИЕ
TID_SPEC_ABI_HEAL_SELF_MAIN_ATTACK,ЛЕКАРСТВО
TID_SPEC_ABI_REPAIR_TURRET,ПОДЗАРЯДКА
TID_SPEC_ABI_PET_LIFESTEAL,МЕДВЕЖЬЯ УСЛУГА
TID_SPEC_ABI_STEAL_SOULS,ЖУТКАЯ ЖАТВА
TID_SPEC_ABI_SPOT,ПАРЯЩИЙ ОРЁЛ
TID_SPEC_ABI_AMBUSH,ЗАСАДА
TID_SPEC_ABI_BLACK_HOLE_MONSTER,ЧЁРНЫЙ ПОРТАЛ
TID_SPEC_ABI_SPEED,МОДНЫЕ САПОГИ
TID_SPEC_ABI_HEAL_OTHERS_MAIN_ATTACK,МАМИНА ЗАБОТА
TID_SPEC_BOUNCED_BULLETS_STRONGER,СУПЕРОТСКОК
TID_SPEC_ABI_FIRE_DOT_ULTI,ЭЛЬ ФУЭГО
TID_SPEC_LAST_STAND,ЛЕБЕДИНАЯ ПЕСНЯ
TID_SPEC_BURN,БОЛЬШЕ РАКЕТ
TID_SPEC_CRIPPLE,СМЕРТЕЛЬНЫЙ ЯД
TID_SPEC_ABI_BARREL_DEFENSE,СТАЛЬНЫЕ ОБРУЧИ
TID_SPEC_HEAL_MAIN_ATTACK,ДА-КАПО!
TID_SPEC_ABI_FREEZE_DESC,Супер Шелли контузит и замедляет врагов на <c00cc00><VALUE1></c> с.
TID_SPEC_ABI_PREY_ON_THE_WEAK_DESC,"Атака и Супер Ворона наносят <c00cc00><VALUE2></c> очк. дополнительного урона бойцам, уровень здоровья которых не выше <VALUE1> %."
TID_SPEC_ABI_BERSERKER_DESC,"Когда здоровье Булла становится меньше <c00cc00><VALUE1> %</c>, его скорость перезарядки увеличивается вдвое!"
TID_SPEC_SELF_DESTRUCT_DESC,"Пав в бою, Динамайк бросает 6 динамитных шашек, каждая из которых наносит <c00cc00><VALUE1></c> очков урона."
TID_SPEC_ABI_CACTUS_HEAL_DESC,"Используя Супер и находясь в зоне его действия, Спайк восстанавливает <c00cc00><VALUE1></c> очков здоровья в секунду."
TID_SPEC_ABI_HEAL_SELF_MAIN_ATTACK_DESC,Барли восстанавливает <c00cc00><VALUE1></c> очков здоровья с каждой атакой.
TID_SPEC_ABI_REPAIR_TURRET_DESC,"Выстрелив по турели, Джесси восстанавливает ей <c00cc00><VALUE1></c> очков здоровья."
TID_SPEC_ABI_PET_LIFESTEAL_DESC,"Нита восстанавливает <c00cc00><VALUE1></c> очков здоровья, когда её медведь наносит урон вражескому бойцу. Когда Нита наносит урон, её медведь восстанавливает <c00cc00><VALUE2></c> очков здоровья."
TID_SPEC_ABI_STEAL_SOULS_DESC,"Мортис собирает жизненную энергию поверженных им врагов, что восстанавливает <c00cc00><VALUE1></c> очков его здоровья."
TID_SPEC_SPOT_FROM_AIR_DESC,"Используя Супер, Пайпер может с воздуха разглядеть врагов, которые прячутся в кустах."
TID_SPEC_HEAL_MAIN_ATTACK_DESC,"Если товарищи по команде попадают в радиус действия атаки Поко, то восстанавливают <c00cc00><VALUE1></c> очков здоровья."
TID_SPEC_ABI_SPOT_DESC,"Бо видит врагов, прячущихся в кустах, с расстояния на <c00cc00><VALUE1> %</c> больше обычного."
TID_SPEC_ABI_AMBUSH_DESC,"Атаки Пайпер наносят <c00cc00><VALUE1></c> очк. дополнительного урона на максимальной дистанции, когда она прячется в кустах."
TID_SPEC_ABI_BLACK_HOLE_MONSTER_DESC,"Супер Тары открывает пространственный портал, из которого появляется готовый к сражению с врагами теневой клон Тары."
TID_SPEC_ABI_TODO_DESC,Особая способность не определена
TID_SPEC_ABI_SPEED_DESC,Кольт движется на <c00cc00><VALUE1> %</c> быстрее обычного.
TID_SPEC_ABI_PUSHBACK_SELF_DESC,"Динамайк может перенестись через препятствие, оседлав взрывную волну!"
TID_SPEC_ABI_HEAL_OTHERS_MAIN_ATTACK_DESC,"Каждый раз, когда буря лома задевает вражеских бойцов, Пэм восстанавливает <c00cc00><VALUE1></c> очков здоровья себе и союзникам по команде рядом с собой."
TID_SPEC_BOUNCED_BULLETS_STRONGER_DESC,При атаке или использовании Супера пули Рико набирают энергию после первого отскока и наносят <c00cc00><VALUE1></c> очк. дополнительного урона!
TID_SPEC_ABI_FIRE_DOT_ULTI_DESC,"Враги, задетые Супером Эль Примо, получают <c00cc00><VALUE1></c> ед. урона от огня в течение 4 с."
TID_SPEC_LAST_STAND_DESC,"Перед тем, как исчезнуть, Поко исполняет свою лебединую песню. Находящиеся рядом соратники восстанавливают <c00cc00><VALUE1></c> очков здоровья!"
TID_SPEC_BURN_DESC,Ракетный дождь содержит на <c00cc00><VALUE1> %</c> больше ракет.
TID_SPEC_ABI_BARREL_DEFENSE_DESC,После использования Супера весь наносимый Дэррилу урон уменьшается на <c00cc00><VALUE2> %</c> на <c00cc00><VALUE1></c> с.
TID_SPEC_CRIPPLE_DESC,"Яд Ворона ослабляет врагов. Пока действует яд, они наносят на <c00cc00><VALUE1> %</c> меньше урона."
TID_BATTLE_ROYALE_7,Двойная проблема
TID_GAME_MODE_9,ПАРНОЕ СТОЛКНОВЕНИЕ
TID_GAME_MODE_9_COMBINED,СТОЛКНОВЕНИЕ
TID_GAME_MODE_9_DESC,"Победи четыре другие команды. Павший боец сможет через некоторое время возродиться, если его товарищ по команде будет всё ещё жив."
TID_WAVE_APPROACHING,<number>-я волна
TID_TEAMS_LEFT,Осталось команд: <num>
TID_TEAM_MATE_RESPAWNING,Напарник вернётся через <num>
TID_BOSS_APPROACHING,<number>-я волна: <ccc0000>приближается большой робот!</c>
TID_COOP_2,Стальной перекрёсток
TID_BOSS_2,Зал Кротовьего Короля
TID_BEAR_DAMAGE,Урон медведя
TID_BEAR_HEALTH,Здоровье медведя
TID_EVENT_POPUP_GMV_LABEL_BATTLE_ROYALE_TEAM,Команды по двое
TID_SPEC_ABI_PUSHBACK_SELF,ДИНАПРЫЖОК
TID_VIEW_PROFILE_BUTTON,Посмотреть профиль
TID_REPORT_PLAYER_BUTTON,ПОЖАЛОВАТЬСЯ
TID_CHAT_REPORT_CONFIRMATION_TITLE,Пожаловаться на игрока <name>?
TID_CHAT_REPORT_CONFIRMATION,\n\nТочно хочешь сообщить о неприемлемом поведении игрока <name>?
TID_PLAYER_ALREADY_REPORTED,Жалоба на игрока была уже отправлена!
TID_STARTER_PACK_4,Набор 35-го уровня
TID_NEED_HERO,Невозможно купить скин. Боец ещё не разблокирован.
TID_EVENT_ENDING,<GAMEMODE> скоро закончится!
TID_TEAM_DISPLAY_TITLE_CLAN,КОМАНДЫ КЛУБА
TID_TEAM_DISPLAY_TITLE_FRIENDS,КОМАНДЫ ДРУЗЕЙ
TID_TICKETS_REVEIVED,Получены билеты событий (<AMOUNT>)!
TID_TUTORIAL_12,"КРИСТАЛЛЫ у нас, пора на выход!"
TID_NO_TARGET_HINT,"Нет целей, по которым можно открыть БЫСТРЫЙ ОГОНЬ!"
TID_CAN_NOT_AUTOSHOOT,У этого Супера нет режима БЫСТРОГО ОГНЯ.
TID_VS,ПРОТИВ
TID_VS_SHOWDOWN,Каждый сам за себя!
TID_HAS_LASER_BALL_HINT,С мячом открыть БЫСТРЫЙ ОГОНЬ невозможно.
TID_CLAN_RESPONSE_44,Вступить не удалось: ты уже в клубе
TID_SHOTGUN_GIRL_SHORT_DESC,УРОН
TID_GUNSLINGER_SHORT_DESC,УРОН
TID_BULL_DUDE_SHORT_DESC,ТАНК
TID_ROCKET_GIRL_SHORT_DESC,СТРЕЛОК
TID_TNT_DUDE_SHORT_DESC,АРТИЛЛЕРИЯ
TID_LUCHADOR_SHORT_DESC,ТАНК
TID_TRICKSHOT_DUDE_SHORT_DESC,УРОН
TID_CACTUS_SHORT_DESC,УРОН
TID_BARKEEP_SHORT_DESC,АРТИЛЛЕРИЯ
TID_MECHANIC_SHORT_DESC,КОНТРОЛЬ
TID_SHAMAN_SHORT_DESC,УРОН
TID_UNDERTAKER_SHORT_DESC,УБИЙЦА
TID_CROW_SHORT_DESC,УБИЙЦА
TID_DEAD_MARIACHI_SHORT_DESC,ПОДДЕРЖКА
TID_BOW_DUDE_SHORT_DESC,КОНТРОЛЬ
TID_SNIPER_SHORT_DESC,СТРЕЛОК
TID_MINIGUN_DUDE_SHORT_DESC,ПОДДЕРЖКА
TID_BLACK_HOLE_SHORT_DESC,УРОН
TID_BARREL_BOT_SHORT_DESC,ТАНК
TID_CLAN_INTRO_SUGGESTED_CLANS,ЛУЧШИЕ КЛУБЫ ДЛЯ ТЕБЯ
TID_CLAN_INTRO_CREATE_TITLE,ПОЧЕМУ БЫ НЕ СОЗДАТЬ СВОЙ?
TID_CLAN_INTRO_HEADER,КЛУБЫ
TID_CLAN_INFO_TITLE,ИНФОРМАЦИЯ О КЛУБЕ
TID_CLAN_INFO_NO_DESCRIPTION,ОПИСАНИЕ КЛУБА ОТСУТСТВУЕТ
TID_EVENT_POPUP_TITLE,ПОРА В БОЙ!
