TID,ES
TID_SKINS_AD_OK,Vale
TID_SKINS_AD_INFO,Echa un vistazo a los nuevos aspectos en la pantalla de los brawlers.
TID_TERMS_OF_SERVICE_BUTTON,Condiciones del servicio
TID_IMMUNE,Inmune
TID_BATTLE_END_PROCEED,SIGUIENTE
TID_HINT_TAP_TO_MOVE_1,¡Recoge las <ce662f9>gemas</c> del centro del mapa!
TID_CANT_DEACTIVATE_ULTI_DURING_TUTORIAL_1,¡Apunta con el súper al enemigo!
TID_HINT_SHOOT_1,¡Las <ce662f9>gemas</c> salen del agujero en el suelo!
TID_HINT_DRAG_TO_ULTI_1,¡Ahora dispara tu súper con el control rojo!
TID_BIND_TO_NEW_GAMECENTER_ACCOUNT_TITLE,Nuevo inicio de sesión en Game Center
TID_BIND_TO_NEW_GAMECENTER_ACCOUNT,¿Quieres guardar la partida actual en esta cuenta de Game Center?
TID_GOOGLE_SERVICE_BOUND_TO_OTHER_ACCOUNT_TITLE,Aviso de cuenta de Google
TID_GOOGLE_SERVICE_BOUND_TO_OTHER_ACCOUNT,¿Quieres cargar la partida de <name> con un nivel <number> de experiencia? Aviso: Perderás el progreso de la partida actual.
TID_BOUND_TO_OTHER_ACCOUNT_LOAD_VILLAGE_TITLE,Cargar partida
TID_BUTTON_VILLAGE_LOAD,Cargar
TID_GAMECENTER_BOUND_TO_OTHER_ACCOUNT_TITLE,Aviso de Game Center
TID_GAMECENTER_BOUND_TO_OTHER_ACCOUNT,¿Quieres cargar la partida de <name> con un nivel <number> de experiencia? Aviso: Perderás el progreso de la partida actual.
TID_BUTTON_AVATAR_LOAD,Cargar
TID_SETTINGS_SCREEN_TITLE,Ajustes
TID_SETTINGS_MUSIC,MÚSICA
TID_SETTINGS_SFX,EFECTOS DE SONIDO
TID_SETTINGS_OFF,NO
TID_SETTINGS_ON,SÍ
TID_SETTINGS_LANGUAGE,IDIOMA
TID_ACCOUNT,Dispositivos
TID_LINK_DEVICE_BUTTON,Enlazar dispositivo
TID_SETTINGS_FACEBOOK,AMIGOS
TID_CHANGE_NAME_BUTTON,Cambiar nombre
TID_CREDITS_BUTTON,Créditos
TID_PRIVACY_POLICY_BUTTON,Política de privacidad
TID_PARENTS_GUIDE_BUTTON,Guía para padres
TID_MULTIDEVICE_INFO,Conéctate con tu cuenta de Game Center para guardar tu progreso y poder jugar en varios dispositivos iOS.
TID_SETTINGS_GOOGLE,Iniciar ses. en Google Play
TID_SETTINGS_BUTTON_FACEBOOK_CONNECTED,Conectado
TID_SETTINGS_BUTTON_FACEBOOK_DISCONNECTED,Conectar
TID_SETTINGS_BUTTON_FACEBOOK_CONNECTED_UP,CONECTADO
TID_SETTINGS_BUTTON_FACEBOOK_DISCONNECTED_UP,CONECTAR
TID_FAQ_BUTTON,Ayuda y asistencia
TID_ABOUT_TERMS,El uso de este software está sujeto a las Condiciones del servicio y a la Política de privacidad que encontrarás en www.supercell.com.
TID_ABOUT,Créditos\n\n<names>\n\nBrawl Stars ™ <version>\nCopyright 2016-2022 Supercell Ltd. Todos los derechos reservados.\n<extracopyright>\n<terms>
TID_IAP_TRANSACTION_PENDING,Espera. La transacción aún no se ha completado.
TID_RATE_APP_TITLE,Valora Brawl Stars
TID_RATE_APP_MESSAGE,¡Valora o deja un comentario sobre Brawl Stars en el App Store para que sepamos tu opinión!
TID_BUTTON_RATE_APP_LATER,Más tarde
TID_BUTTON_RATE_APP_REVIEW,Valorar
TID_BUTTON_RATE_APP_NEVER,Nunca
TID_ERROR_POP_UP_UNLOCK_UNAVAILABLE_TITLE,Desbloqueo de cuenta no disponible
TID_ERROR_POP_UP_UNLOCK_UNAVAILABLE,El desbloqueo de la cuenta no está disponible en este momento. ¡Inténtalo más tarde!
TID_ERROR_POP_UP_UNLOCK_UNAVAILABLE_BUTTON,Reintentar
TID_ACCOUNT_LOCKED_INVALID_CODE,Código incorrecto
TID_ACCOUNT_LOCKED_TITLE,Cuenta bloqueada
TID_ACCONT_LOCKED_TEXT,Tu cuenta ha sido bloqueada por motivos de seguridad. Contacta con el equipo de asistencia para recuperarla.
TID_ACCOUNT_LOCKED_TEXT2,Introduce el código de desbloqueo:
TID_HERO_LIST_CONFIRM_GEM_GATCHA,Toca para confirmar
TID_NOT_ENOUGH_GEMS_TITLE,¡Necesitas más gemas!
TID_NOT_ENOUGH_GEMS_INFO,\n\nNo tienes gemas. ¡Ve a la tienda a comprar más!
TID_NOT_ENOUGH_GEMS_GO_TO_SHOP,A la tienda
TID_COIN_DOUBLER_TITLE,Comprar duplicador de fichas
TID_COIN_DOUBLER_TITLE_WITH_COINS,Añadir fichas al duplicador de fichas
TID_COIN_DOUBLER_INFO,Duplica las próximas <c2edd1b><AMOUNT></c> fichas que ganes en las batallas.
TID_COIN_DOUBLER_INFO_WITH_COINS,Añade <c2edd1b><AMOUNT></c> fichas a tu duplicador de fichas.\n\nLos duplicadores de fichas duplican las fichas ganadas en las batallas.
TID_GEM_PRICE_OK,<COST>
TID_GEM_PRICE_WARN,<COST>
TID_STAT_PER_DYNAMITE,Daño por cartucho
TID_STARS_1,"¡Cuidado, tienes una <ce662f9>gema</c>!"
TID_STARS_2,¡Cuidado: Tienes <ce662f9>gemas</c>!
TID_STARS_3,¡Cuidado: Tienes muchas <ce662f9>gemas</c>!
TID_STARS_4,¡Cuidado: Tienes muchísimas <ce662f9>gemas</c>!
TID_GATCHA_BUTTON_TITLE,CAJA BRAWL
TID_1ST_WIN_CHEST_BUTTON_TITLE,CAJA GRANDE
TID_EVENT_LOCKED,Bloqueado
TID_SPECIAL_EVENT_TITLE_TOP,EVENTO ESPECIAL:
TID_SPECIAL_EVENT_STATUS_ACTIVE,Activo durante
TID_SPECIAL_EVENT_STATUS_FUTURE,Comienza dentro de
TID_EVENT_COMING_UP_INFO,Este evento empezará dentro de <TIME>.
TID_ROCKET_BEACH_SKIN,BROCK PLAYERO
TID_CACTUS_PINK_SKIN_OLD,SPIKE ROSA
TID_SHAMAN_PANDA_SKIN,NITA PANDA
TID_CROW_WHITE_SKIN,CROW BLANCO
TID_BULL_HAIR_SKIN,BULL VIKINGO
TID_TRICKSHOT_GOLD_SKIN_OLD,RICOCHET MEDALLISTA DE ORO
TID_BARKEEP_GOLD_SKIN,BARLEY DORADO
TID_GUNSLINGER_ROCKSTAR_SKIN,COLT ROCKERO
TID_STAT_HEAL,Curación
TID_LUCHADOR_RUDO_SKIN,EL PRIMO RUDO
TID_HERO_INFO_PURCHASE_SKIN_LABEL,Comprar
TID_EVENTS_NEW_EVENT,¡Nuevo evento!
TID_SETTINGS_BRAWLHINTS,Consejos de batalla
TID_COLLECTED_COINS_INFO,Has conseguido <CURRENT> fichas de las <MAX> disponibles en <PLANET>.
TID_COLLECTED_COINS_INFO_CAPPED,Has conseguido todas las fichas disponibles en <PLANET>.
TID_TICKET_COUNTER_INFO,¡Usa tus tiques para jugar!
TID_NOT_ENOUGH_TICKETS,No tienes suficientes tiques
TID_EVENT_LIST_GAME_ROOMS,NUEVO EQUIPO
TID_EVENT_LIST_WELCOME,¡Esto es Brawl Stars!
TID_COOP,Cooperación
TID_COOP_NOT_SUPPORTED,El modo Cooperación no es compatible con este evento.
TID_PRACTISE_NOT_SUPPORTED,En este evento no se puede practicar.
TID_BIND_TO_NEW_FACEBOOK_ACCOUNT_TITLE,Nuevo inicio de sesión en Facebook
TID_BIND_TO_NEW_FACEBOOK_ACCOUNT,¿Quieres enlazar la partida actual a esta cuenta de Facebook?
TID_BUTTON_OKAY,Vale
TID_SELECT_PLAYER_THUMBNAIL_FAIL_4,Este icono requiere a <HERO>.
TID_HERO_PORTRAIT_CRAFT_COST,<cffffff><COST></c>
TID_HERO_PORTRAIT_CRAFT_COST_NEG,<c999999><COST></c>
TID_EVENT_POPUP_CREATE_TEAM_INFO,Invita a amigos\npara jugar juntos
TID_EVENT_POPUP_HIGHSTAKES_INFO,Puedes gastar varios tiques por partida para conseguir mejores recompensas.
TID_EVENT_POPUP_GMV_LABEL_TEAM,3 contra 3
TID_EVENT_POPUP_GMV_LABEL_BATTLE_ROYALE,Último superviviente
TID_EVENT_POPUP_GMV_LABEL_BOSS_FIGHT,5 contra 1
TID_EVENT_POPUP_GMV_LABEL_COOP_SURVIVAL,3 contra robots bandidos
TID_HIGHSTAKES_REWARDS,Recompensas x<COUNT>
TID_HIGHSTAKES_COST,Tiques: <COUNT>
TID_POPUP_ANDROID_EXIT_TITLE,Salir de Brawl Stars
TID_POPUP_ANDROID_EXIT,¿Seguro que quieres salir de Brawl Stars?
TID_ROOM_NOT_SUPPORTED,Este evento no es compatible con los equipos.
TID_ERROR_POP_UP_PURCHASE_FAILED_TITLE,Error en la compra
TID_ERROR_POP_UP_PURCHASE_FAILED,El servidor de facturación no responde. Inténtalo de nuevo más tarde.
TID_ERROR_POP_UP_PURCHASE_FAILED_BUTTON,Vale
TID_IAP_NOT_AVAILABLE,Activa las compras integradas en los ajustes de restricciones de tu dispositivo.
TID_NEWS_TITLE,NOVEDADES
TID_STAT_DAMAGE_PER_ARROW,Daño por flecha
TID_STAT_DAMAGE_PER_MINE,Daño por trampa
TID_STAT_DAMAGE_PER_SPIKE,Daño por espina
TID_STAT_DAMAGE_PER_DAGGER,Daño por daga
TID_FRIENDS_FACEBOOK_CONNECTED,Facebook conectado
TID_FRIENDS_FACEBOOK_NOT_CONNECTED,Conecta con Facebook para ver a tus amigos.
TID_FRIENDS_CONNECT_INFO,¡Conecta tus redes sociales para ver a tus amigos aquí!
TID_FRIENDS_NO_FRIENDS,Sin amigos
TID_FRIENDS_SUGGESTIONS_SEND_REQUEST,ENVIAR SOLICITUD DE AMISTAD
TID_FRIENDS_TITLE_1_NO_COUNT,AMIGOS
TID_FRIENDS_TITLE_1,AMIGOS (<COUNT>)
TID_FRIENDS_TITLE_2,AMIGOS SUGERIDOS
TID_FRIENDS_TITLE_3,INVITACIONES DE AMIGOS
TID_FRIEND_SUGGESTIONS_GAMES_PLAYED_MULT,BATALLAS JUGADAS JUNTOS RECIENTEMENTE: <COUNT>
TID_FRIEND_SUGGESTIONS_GAMES_PLAYED_ONE,UNA BATALLA JUGADA JUNTOS RECIENTEMENTE
TID_FRIENDS_NO_ENTRIES_TAB_2,NO HAY SUGERENCIAS DE AMIGOS
TID_FRIENDS_NO_ENTRIES_TAB_3,NO HAY INVITACIONES DE AMIGOS
TID_FRIENDS_CANNOT_REMOVE_FRIEND,No es posible eliminar amigos de tus redes sociales.
TID_FRIEND_REQUEST_ACCEPT,ACEPTAR
TID_FRIEND_REQUEST_REJECT,RECHAZAR
TID_FRIEND_REQUEST_REASON_0,<EMPTY>
TID_FRIEND_REQUEST_REASON_1,DE UN CLUB
TID_FRIEND_REQUEST_REASON_2,DE UN EQUIPO
TID_FRIEND_REQUEST_REASON_3,BATALLAS JUGADAS JUNTOS RECIENTEMENTE: <AMOUNT>
TID_FRIEND_REQUEST_REASON_4,BATALLAS JUGADAS JUNTOS RECIENTEMENTE: <AMOUNT>
TID_FRIEND_POPOVER_PROFILE,PERFIL
TID_FRIEND_POPOVER_REMOVE,ELIMINAR
TID_FRIEND_POPOVER_SPECTATE,VISIONAR
TID_FRIEND_POPOVER_YOU,Eres tú.
TID_REMOVE_FRIEND_POPUP_REMOVE,ELIMINAR
TID_REMOVE_FRIEND_POPUP_CANCEL,CANCELAR
TID_REMOVE_FRIEND_POPUP_TITLE,ELIMINAR AMIGO
TID_REMOVE_FRIEND_POPUP_BODY,¿Seguro que quieres eliminar a <NAME> de tu lista de amigos?
TID_UNLOCK_SKIN_CONTENT,\n\nCOMPRAR ASPECTO: <NAME>
TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE_TITLE,Conexión perdida
TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE,Hay otro dispositivo conectándose a esta partida.
TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE_BUTTON,Volver a cargar
TID_BAD_CONNECTION,Mala conexión a Internet
TID_FACEBOOK_BOUND_TO_OTHER_ACCOUNT_TITLE,Aviso de Facebook
TID_FACEBOOK_BOUND_TO_OTHER_ACCOUNT,Esta cuenta de Facebook ya está enlazada a otra partida de Brawl Stars. ¿Quieres enlazarla a la partida actual?
TID_KAKAO_BOUND_TO_OTHER_ACCOUNT_TITLE,Aviso de Kakao
TID_KAKAO_BOUND_TO_OTHER_ACCOUNT,Esta cuenta de Kakao ya está enlazada a otra partida de Brawl Stars. ¿Quieres reemplazarla por la partida actual?
TID_LINE_BOUND_TO_OTHER_ACCOUNT_TITLE,Aviso de LINE
TID_LINE_BOUND_TO_OTHER_ACCOUNT,Esta cuenta de LINE ya está enlazada a otra partida de Brawl Stars. ¿Quieres reemplazarla por la partida actual?
TID_TEAM_FREE_EVENT_REWARD_CLAIMED,Recompensa de evento gratis reclamada
TID_GEM_BUY_CONFIRMATION,¡Has recibido <AMOUNT> gemas!
TID_BLOCKED_TEAM_READY,No se puede mostrar mientras alguien esté listo.
TID_TEAM_CANNOT_INVITE_WHILE_READY,No se puede invitar mientras alguien esté listo.
TID_SHOTGUN_BANDITA_SKIN,SHELLY BANDIDA
TID_SHUTDOWN_STARTED,Vamos a realizar una pausa de mantenimiento en 5 minutos.
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_LONG,Los servidores se encuentran en mantenimiento. Regresa dentro de unas horas.
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_TWO_HOURS,Los servidores se encuentran en mantenimiento. Regresa dentro de un par de horas.
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_HOUR_AND_HALF,Los servidores se encuentran en mantenimiento. Regresa dentro de una hora y media.
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_HOUR,Los servidores se encuentran en mantenimiento. Regresa dentro de una hora.
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_MINUTES,Los servidores se encuentran en mantenimiento. Regresa dentro de <value> minutos.
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_SOON,Los servidores se encuentran en mantenimiento. Regresa dentro de unos minutos.
TID_SHUTDOWN_BATTLE_DISABLED,Vamos a realizar una pausa de mantenimiento dentro de unos minutos. No es posible iniciar una batalla hasta que termine la pausa.
TID_TEAM_SEARCH_NO_TEAM_CODE,Escribe el código
TID_NO_RIGHTS_TO_ACCEPT_TO_JOIN_REQ,No puedes aceptar o rechazar solicitudes de unión.
TID_CLAN_RESPONSE_71,Los veteranos deben esperar un tiempo antes de volver a expulsar a alguien.
TID_STAT_MAX_DAMAGE,Daño en el alcance máx.
TID_STAT_DAMAGE_PER_BOMB,Daño por granada
TID_ELDER_KICK_FAIL_COOLDOWN,Has expulsado a un miembro del club hace poco. Vuelve a intentarlo dentro de <time>.
TID_LUCHADOR_KING_SKIN,EL PRIMO REY
TID_PLAYER_DEFEATED_BR,Brawler derrotado
TID_BALL_1,Estadio Brawl
TID_HINT_VOLLEYBALL_PUSH_BALL,¡Toca la <cdaa520>pelota</c>!
TID_HINT_VOLLEYBALL_RETURN_BALL,¡Posiciónate donde aterrizará la <cdaa520>pelota</c> para mandarla de vuelta!
TID_HINT_VOLLEYBALL_PREVENT_RETURN,¡Mantén a los rivales lejos de la <cdaa520>pelota</c> para lanzarla y anotar!
TID_HINT_HOLD_THE_BALL_TAKE_BALL,¡Hazte con el <cdaa520>trofeo</c>!
TID_HINT_HOLD_THE_BALL_PROTECT,¡Protege al brawler que tiene el <cdaa520>trofeo</c>!
TID_HINT_HOLD_THE_BALL_HOLD_ON,¡No sueltes el <cdaa520>trofeo</c>!
TID_HINT_GET_BALL,¡Hazte con la <cdaa520>pelota</c>!
TID_LASER_BALL_INTRO_TEXT,¡Marca dos goles para ganar!
TID_AFK_WARNING,¡Aviso de inactividad! ¡Muévete!
TID_AFK_DISCONNECTED_MSG,Has perdido la conexión con la batalla por inactividad o mala conexión.
TID_AFK_BANNED_MSG,Te han expulsado de la batalla por inactividad o mala conexión. Podrás volver a entrar en el juego cuando termine la batalla.
TID_AFK_DISCONNECTED_TITLE,Desconexión por inactividad
TID_AFK_BANNED_TITLE,Expulsión de la batalla
TID_AFK_RELOAD,Volver a cargar
TID_GAME_MODE_7,MEGABRAWL
TID_GAME_MODE_7_DESC,"Cinco jugadores deben derrotar al megabrawler.\n\nSi eres el megabrawler, tendrás muchísima más fuerza y salud que los demás. ¡Tendrás que desafiar a los cazadores y hacer lo posible por sobrevivir!\n\nSi eres uno de los cinco cazadores, tendrás que trabajar en equipo para derrotar al megabrawler antes de que termine el tiempo."
TID_BOSS_INTRO_TEXT_ATTACK,¡Derrota al megabrawler!
TID_BOSS_INTRO_TEXT_DEFEND,¡Eres el megabrawler!
TID_BOSS_1,Cañón Calamidad
TID_SEASON_END_POPUP_TITLE,¡LA LIGA DE TROFEOS HA TERMINADO!
TID_SEASON_END_POPUP_REWARD,RECOMPENSA DE LA LIGA DE TROFEOS
TID_SEASON_END_POPUP_GOLD_VALUE,<VALUE>
TID_COIN_META_MIGRATION_TITLE,¡Cambios importantes!
TID_COIN_META_MIGRATION_OK,JUGAR AL TUTORIAL
TID_COIN_META_MIGRATION_TXT_1,Brawl Stars tiene un nuevo sistema de mejora en el que los brawlers pueden mejorarse cuando tienen ciertos puntos de fuerza. Tu progreso anterior se ha traspasado a los nuevos niveles de brawlers.
TID_COIN_META_MIGRATION_TXT_2,Has recibido cajas brawl a cambio de tus fichas de mejora sin usar y algunas más para que no pierdas tu progreso.
TID_COIN_META_MIGRATION_TXT_3,El juego ahora se juega en modo paisaje y se controla con dos joysticks.
TID_COIN_META_MIGRATION_TXT_4,Los potenciadores de monedas ya no existen y se han convertido en gemas.
TID_BOLTS_MIGRATION_TITLE,¡Cambios importantes!
TID_BOLTS_MIGRATION_OK,Vale
TID_BOLTS_MIGRATION_INFO,El nuevo sistema de mejora de brawlers ya no usa elixir. Has recibido <BOLTS> tiques de mejora por tu elixir y por tus mejoras de brawlers anteriores. Las fichas de mejora sirven para mejorar a tus brawlers.\n\nLos brawlers duplicados y las chips ya no existen en el juego. Te hemos reembolsado <GEMS> gemas por tus chips. ¡Disfruta!
TID_BOLTS_MIGRATION_ELIXER_TOKEN,TU ELIXIR SE HA CONVERTIDO EN FICHAS DE MEJORA.
TID_BOLTS_MIGRATION_CHIP_GEM,TUS CHIPS SE HAN CONVERTIDO EN GEMAS.
TID_STAT_HEALING_PER_SEC,Curación por segundo
TID_STAT_DAMAGE_PER_CARD,Daño por carta
TID_OVERTIME,¡Tiempo extra!
TID_STARTER_PACK_XP_REQ,Oferta especial por alcanzar el nivel <XPLEVEL>
TID_VALUE,valor
TID_SHOP_ONE_TIME_PURCHASE,¡Esta es una oferta única!
TID_HINT_MAKE_GOAL_1,¡Arrastra el <ccc0033>control rojo</c> para apuntar la pelota!
TID_BALL_2,Triple drible
TID_BALL_3,Cancha peleona
TID_STARTER_PACK_1,Lote de nivel 5
TID_STARTER_PACK_2,Lote de nivel 15
TID_STARTER_PACK_3,Lote de nivel 25
TID_IAP_XMAS2018_PACK,Lote festivo
TID_IAP_XMAS2018_PACK_DESC,"¡Jo, jo, jo!"
TID_STARTER_PACK_0,Lote de bienvenida
TID_STARTER_PACK_0_DESC,¡Celebra el comienzo de tu aventura en Brawl Stars!
TID_IAP_LNY2019_PACK,Oferta de Brawl lunar
TID_IAP_LNY2019_PACK_DESC,¡Feliz Año Nuevo lunar!
TID_IAP_MARCH2019_PACK,Oferta de marzo
TID_IAP_MARCH2019_PACK_DESC,¡Esta es una oferta única!
TID_IAP_REFRESHER_PACK_DESC,¡Esta es una oferta única!
TID_BLACKHOLE_DEFAULT_SKIN,Por defecto
TID_GOLD_CAP_HIT,Límite de fichas alcanzado
TID_GATCHA_BUTTON_BOX_STACK_FULL,Montón de cajas lleno
TID_COOP_1,Pachinko
TID_GAME_MODE_8,PELEA ROBÓTICA
TID_GAME_MODE_8_DESC,"Defiende la caja fuerte de los malhechores robots.\n\nLos robots aparecerán por todas partes ¡y cada vez serán más! Haz lo posible para defenderla antes de que termine el tiempo.\n\nLa dificultad aumentará progresivamente por fases, comenzando desde el nivel normal hasta llegar al demencial, cada vez que consigas defender la caja fuerte."
TID_COOP_INTRO_TEXT,¡Defiende la caja fuerte!
TID_SELECT_EVENT_POPUP_TITLE,Elegir evento
TID_BARREL_BOT,DARRYL
TID_BARREL_BOT_DESC,Darryl realiza un poderoso ataque con dos escopetas de doble cañón. Su súper consiste en rodar como un loco dentro de su barril.
TID_BARREL_BOT_WEAPON,CARGA DOBLE
TID_BARREL_BOT_WEAPON_DESC,Las escopetas de doble cañón de Darryl disparan dos ráfagas de balas letales a corta distancia.
TID_BARREL_BOT_ULTI,TONEL LOCO
TID_BARREL_BOT_ULTI_DESC,Darryl se refugia en su barril y empieza a empujar a los enemigos. Reduce el daño que recibe y rebota en las paredes. ¡Su súper se recarga a medida que pasa el tiempo!
TID_ARTILLERY_DUDE,PENNY
TID_ARTILLERY_DUDE_DESC,Penny lanza bolsas de monedas que dañan al objetivo y a todos los que estén detrás. Su súper es un cañón parecido a un mortero.
TID_ARTILLERY_DUDE_WEAPON,LANZAMONEDAS
TID_ARTILLERY_DUDE_WEAPON_DESC,"Dispara una bolsa de monedas de oro. Si la bolsa alcanza al enemigo, las monedas salen disparadas e impactan a los enemigos que se encuentren detrás del objetivo principal."
TID_ARTILLERY_DUDE_ULTI,CAÑONAZO
TID_ARTILLERY_DUDE_ULTI_DESC,"Penny despliega su cañón, que dispara a los enemigos a larga distancia aunque haya obstáculos de por medio."
TID_ITEM_NAME_SPECIAL,HABILIDAD ESTELAR
TID_HERO_INFO_ITEM_LOCKED,Disponible tras alcanzar el nivel <LEVEL>.
TID_HERO_INFO_LOCKED_INFO,Se desbloquea en las cajas brawl.
TID_HERO_INFO_LOCKED_INFO_RANK_TRACK,Se desbloquea con <SCORE> trofeos.
TID_SPEC_ABI_FREEZE,CHOQUE MATE
TID_SPEC_ABI_BERSERKER,TORO FURIOSO
TID_SPEC_SELF_DESTRUCT,VENGANZA
TID_SPEC_ABI_CACTUS_HEAL,FERTILIZANTE
TID_SPEC_ABI_HEAL_SELF_MAIN_ATTACK,LICOR CURATIVO
TID_SPEC_ABI_REPAIR_TURRET,ENERGIZANTE
TID_SPEC_ABI_PET_LIFESTEAL,HERMANO OSO
TID_SPEC_ABI_STEAL_SOULS,RECOLECTOR DE ALMAS
TID_SPEC_ABI_SPOT,OJO DE ÁGUILA
TID_SPEC_ABI_AMBUSH,EMBOSCADA
TID_SPEC_ABI_BLACK_HOLE_MONSTER,PORTAL OSCURO
TID_SPEC_ABI_SPEED,BOTAS VELOCES
TID_SPEC_ABI_HEAL_OTHERS_MAIN_ATTACK,ZONA DE CONFORT
TID_SPEC_BOUNCED_BULLETS_STRONGER,SUPERREBOTE
TID_SPEC_ABI_FIRE_DOT_ULTI,EL FUEGO
TID_SPEC_LAST_STAND,CANTO DEL CISNE
TID_SPEC_BURN,¡MÁS COHETES!
TID_SPEC_CRIPPLE,EXTRATÓXICO
TID_SPEC_ABI_BARREL_DEFENSE,AROS DE ACERO
TID_SPEC_HEAL_MAIN_ATTACK,MUSICOTERAPIA
TID_SPEC_ABI_FREEZE_DESC,¡Las superbalas de Shelly ralentizan a los enemigos durante <c00cc00><VALUE1></c> segundos!
TID_SPEC_ABI_PREY_ON_THE_WEAK_DESC,Crow inflige <c00cc00><VALUE2></c> puntos más de daño con su ataque y su súper a los objetivos que tengan menos del <VALUE1> % de salud.
TID_SPEC_ABI_BERSERKER_DESC,"Cuando Bull tiene menos del <c00cc00><VALUE1> %</c> de salud, es capaz de recargar su arma el doble de rápido."
TID_SPEC_SELF_DESTRUCT_DESC,"Cuando Dynamike es derrotado, tira seis cartuchos de dinamita que causan <c00cc00><VALUE1></c> puntos de daño cada uno."
TID_SPEC_ABI_CACTUS_HEAL_DESC,"Tras usar su súper, Spike regenera <c00cc00><VALUE1></c> puntos de salud por segundo mientras esté en su área de efecto."
TID_SPEC_ABI_HEAL_SELF_MAIN_ATTACK_DESC,Barley recupera <c00cc00><VALUE1></c> puntos de salud con cada uno de sus ataques.
TID_SPEC_ABI_REPAIR_TURRET_DESC,Jessie puede recuperar <c00cc00><VALUE1></c> puntos de la salud de su torreta con solo dispararle.
TID_SPEC_ABI_PET_LIFESTEAL_DESC,"Nita recupera <c00cc00><VALUE1></c> puntos de salud cuando su oso golpea a un brawler enemigo. Cuando es Nita quien inflige el daño, su oso recupera <c00cc00><VALUE2></c> puntos."
TID_SPEC_ABI_STEAL_SOULS_DESC,Mortis recolecta las almas de los enemigos que derrota. Cada alma que recolecte le hará recuperar <c00cc00><VALUE1></c> puntos de salud.
TID_SPEC_SPOT_FROM_AIR_DESC,"Al volar con su súper, Piper puede ver a todos los enemigos que estén escondidos en los arbustos."
TID_SPEC_HEAL_MAIN_ATTACK_DESC,"Cuando el ataque de Poco alcanza a los brawlers aliados, estos recuperan <c00cc00><VALUE1></c> puntos de salud."
TID_SPEC_ABI_SPOT_DESC,Bo puede detectar a los enemigos escondidos en los arbustos a una distancia <c00cc00><VALUE1> %</c> mayor a la habitual.
TID_SPEC_ABI_AMBUSH_DESC,El ataque de Piper inflige <c00cc00><VALUE1></c> puntos más de daño (desde su alcance máximo) cuando está escondida en un arbusto.
TID_SPEC_ABI_BLACK_HOLE_MONSTER_DESC,¡El súper de Tara abre un portal a otra dimensión! La sombra de Tara cobra vida y ataca a sus enemigos.
TID_SPEC_ABI_TODO_DESC,Habilidad especial por definir.
TID_SPEC_ABI_SPEED_DESC,La velocidad de movimiento de Colt aumenta en un <c00cc00><VALUE1> %</c>.
TID_SPEC_ABI_PUSHBACK_SELF_DESC,Dynamike aprovecha la onda expansiva de sus explosivos para saltar los obstáculos.
TID_SPEC_ABI_HEAL_OTHERS_MAIN_ATTACK_DESC,"Cuando Pam alcanza a los brawlers enemigos con su ataque, ella y los aliados más cercanos recuperan <c00cc00><VALUE1></c> puntos de salud."
TID_SPEC_BOUNCED_BULLETS_STRONGER_DESC,Las balas del ataque y del súper de Rico se sobrecargan tras rebotar por primera vez e infligen <c00cc00><VALUE1></c> puntos más de daño.
TID_SPEC_ABI_FIRE_DOT_ULTI_DESC,"Cuando El Primo realiza su superataque, los enemigos que se encuentren dentro de su alcance arden durante 4 segundos y reciben <c00cc00><VALUE1></c> puntos de daño."
TID_SPEC_LAST_STAND_DESC,Poco toca una melodía curativa en el momento en el que se desvanece. Los brawlers aliados que se encuentren cerca recuperan <c00cc00><VALUE1></c> puntos de salud.
TID_SPEC_BURN_DESC,En Lluvia explosiva ahora caen un <c00cc00><VALUE1> %</c> más de cohetes.
TID_SPEC_ABI_BARREL_DEFENSE_DESC,"Después de usar su súper, todo el daño que recibe Darryl se reduce en un <c00cc00><VALUE2> %</c> durante <c00cc00><VALUE1></c> segundos."
TID_SPEC_CRIPPLE_DESC,"El veneno de Crow debilita la fuerza de los rivales, que infligen un <c00cc00><VALUE1> %</c> menos de daño mientras están bajo el efecto del veneno."
TID_BATTLE_ROYALE_7,Doble dilema
TID_GAME_MODE_9,SUPERVIVENCIA (DÚO)
TID_GAME_MODE_9_COMBINED,SUPERVIVENCIA
TID_GAME_MODE_9_DESC,"¡Derrota a los otros cuatro equipos! Si te derrotan y tu aliado sigue vivo, volverás a aparecer en el campo de batalla."
TID_WAVE_APPROACHING,Oleada <number>
TID_TEAMS_LEFT,Equipos restantes: <num>
TID_TEAM_MATE_RESPAWNING,Aliado disponible en <num>.
TID_BOSS_APPROACHING,Oleada <number>: <ccc0000>¡Viene un gran robot!</c>
TID_COOP_2,Cruce de acero
TID_BOSS_2,Palacio del Rey Topo
TID_BEAR_DAMAGE,Daño del oso
