TID,TR
TID_CLAN_RESPONSE_48,Katılamadın: Başka bir bölgedeki kulübe katılamazsın.
TID_CLAN_RESPONSE_50,Katılma isteği gönderildi
TID_CLAN_RESPONSE_51,Katılma isteği gönderilemedi: Kulüp artık üyelik isteklerine açık değil.
TID_CLAN_RESPONSE_52,Katılma isteği gönderilemedi: Bu kulüp için bekleyen bir isteğin zaten var.
TID_CLAN_RESPONSE_53,Katılma isteği gönderilemedi: Bu kulübe katılmak için yeterli kupan yok.
TID_CLAN_RESPONSE_54,Katılma isteği gönderilemedi: Daha önce kulüpten atıldığından veya katılma isteğin reddedildiğinden bu kulüpte engellendin.
TID_CLAN_RESPONSE_55,Katılma isteği gönderilemedi: Başka bir bölgedeki kulübe katılamazsın.
TID_CLAN_RESPONSE_56,Katılamadın: Bu kulüp aile dostu değil.
TID_CLAN_RESPONSE_70,Atıldı
TID_CLAN_RESPONSE_80,Kulüpten ayrıldın.
TID_CLAN_RESPONSE_81,Terfi ettirildi
TID_CLAN_RESPONSE_82,Rütbe düşürüldü
TID_CLAN_RESPONSE_90,Kabul edildi
TID_CLAN_RESPONSE_91,Reddedildi
TID_CLAN_RESPONSE_92,Kabul edilemedi: hedef zaten bir kulüpte
TID_CLAN_RESPONSE_93,Yapılamadı: istek bulunamadı
TID_CLAN_RESPONSE_94,Yapılamadı: istek zaten yerine getirilmiş
TID_CLAN_RESPONSE_95,Yapılamadı: işlem yetkisi yok
TID_CLAN_RESPONSE_96,Kabul edilemedi: hedef bu kulüpte engellenmiş
TID_CLAN_RESPONSE_100,Bir kulüpten atıldın
TID_CLAN_RESPONSE_101,Terfi ettin
TID_CLAN_RESPONSE_102,Rütben düşürüldü
TID_CLAN_RESPONSE_112,Kulüp postası göndermek için <TIME> beklemelisin.
TID_CLAN_RESPONSE_113,Kulüp postası başarıyla gönderildi.
TID_CLAN_NO_RIGHTS,Bunu yapma yetkin yok
TID_ALLIANCE_NAME_TOO_SHORT,Kulüp adı çok kısa
TID_CLAN_JOIN_REQUEST_TITLE,Kulübe katılma isteği gönder
TID_CLAN_JOIN_REQUEST_SEND,Gönder
TID_CLAN_JOIN_REQUEST_DEFAULT_MESSAGE,Kulübünüze katılmak istiyorum...
TID_CLAN_JOIN_REQUEST_ENTRY_TITLE,Bu oyuncuyu kulübe kabul edelim mi?
TID_CLAN_JOIN_REQUEST_ENTRY_ACCEPT,Kabul et
TID_CLAN_JOIN_REQUEST_ENTRY_REJECT,Reddet
TID_CLAN_JOIN_REQUEST_ENTRY_ACCEPTED_BY,<name> tarafından kabul edildi
TID_CLAN_JOIN_REQUEST_ENTRY_REJECTED_BY,<name> tarafından reddedildi
TID_HINT_DRAG_TO_AIM,Nişan almak için çek
TID_HINT_RELEASE_TO_SHOOT,Ateş etmek için bırak
TID_HINT_ACTIVATE_ULTI,Süper atışını hedeflemek için <cff9900>sarı düğmeyi</c> sürükle!
TID_HINT_DRAG_TO_ULTI,"Süper atışı hedeflemek için çek, ateşlemek için bırak!"
TID_HINT_COLLECT_GOLD,Yok edilen savaşçılar taşıdıkları <ce662f9>elmasları</c> düşürür.
TID_HINT_HOLD_GOLD,<ce662f9>Elmaslarını</c> koru!
TID_HINT_GO_AFTER_ENEMY,Düşmanı yakala!
TID_HINT_ATTACK_BASE,"Düşmanın kasasını patlat, kendi kasanı koru!"
TID_HINT_DEFEND_BASE,"Düşmanın kasasını patlat, kendi kasanı koru!"
TID_HINT_SHOOT_ENEMIES,Düşmanları yok ederek yıldız kazan!
TID_HINT_BLUE_STAR_TIEBREAKER,Mavi yıldız beraberliği bozup kazananı belirler!
TID_HINT_YOU_ARE_WINNING,Takımın kazanıyor! Savunmaya geç!
TID_HINT_YOU_ARE_LOSING,Takımın kaybediyor! Saldırıya geç!
TID_HINT_TAP_TO_MOVE,Hareket etmek için dokun\nTakımınla birlikte ilerle
TID_BOUNTY_1,<EMPTY>
TID_BOUNTY_2,Dikkat: Başında büyük bir ödül var!
TID_BOUNTY_3,Dikkat: Başında dev bir ödül var!
TID_BOUNTY_4,Ölü ya da diri aranıyor!
TID_NO_CLAN_TITLE,Kulüp bul
TID_NO_CLAN_BODY,Bir kulübe katılıp kulüp arkadaşlarınla birlikte oyna!
TID_NO_CLAN_SUGGESTIONS,Senin için önerilen kulüpler
TID_NO_CLAN_RESULTS,Arama sonuçları
TID_NO_CLAN_EMPTY,Önerilen kulüp yok :(
TID_NO_CLAN_WAITING_FOR_DATA,Veri bekleniyor...
TID_CONNECTING_TO_SERVER,Sunucuya bağlanılıyor...
TID_TEAM_ADVERTISE,İLAN ET
TID_TEAM_AD_BUTTON_SUBLABEL_CLAN,Kulübe
TID_TEAM_AD_BUTTON_SUBLABEL_FRIENDS,Arkadaşlarına
TID_TEAM_AD_INFO_0,Bir takım savaşı için oyuncu aranıyor
TID_TEAM_AD_JOIN,Takıma Katıl
TID_TEAM_AD_JOIN_FAIL_ALREADY_IN_A_TEAM,Katılamadın. Zaten bir takımdasın.
TID_TEAM_MEMBER_STATUS_0,<c999999>ÇEVRİMDIŞI</c>
TID_TEAM_MEMBER_STATUS_1,<cff1e00>SAVAŞIYOR</c>
TID_TEAM_MEMBER_STATUS_2,<c006cff>UZAKTA</c>
TID_TEAM_MEMBER_STATUS_3,<c999999>HAZIR DEĞİL</c>
TID_TEAM_MEMBER_STATUS_4,<cff1e00>EŞLEŞTİRMEDE</c>
TID_TEAM_MEMBER_STATUS_5,<cff1e00>SON EKRANDA</c>
TID_TEAM_MEMBER_STATUS_6,<c999999>ÇEVRİMDIŞI</c>
TID_TEAM_MEMBER_STATUS_7,<cff1e00>İZLİYOR</c>
TID_TEAM_MEMBER_STATUS_8,<cff1e00>ALIŞTIRMA YAPIYOR</c>
TID_TEAM_MEMBER_STATUS_9,<c999999>YAZIYOR...</c>
TID_TEAM_MEMBER_STATUS_10,<c999999>SAVAŞÇILAR</c>
TID_TEAM_MEMBER_STATUS_11,<c999999>ETKİNLİKLER</c>
TID_TEAM_MEMBER_STATUS_13,<c999999>GÖREVLER</c>
TID_TEAM_MEMBER_STATUS_READY,<c2edd1b>HAZIR</c>
TID_TEAM_STATUS_IN_MATCH,SAVAŞIYOR
TID_TEAM_STATUS_IN_MATCHMAKING,EŞLEŞTİRMEDE
TID_TEAM_STATUS_FULL,<cff1e00>DOLU</c>
TID_TEAM_STATUS_WAITING_FOR_PLAYERS,AÇIK
TID_TEAM_AD_POST_FAIL_NOT_IN_ALLIANCE,Bu özelliği kullanmak için bir kulübe katılman gerekir.
TID_TEAM_AD_POST_FAIL_NO_FRIENDS,Bu özelliği kullanmak için arkadaşın olması gerekir.
TID_TEAM_AD_POST_FAIL_TEAM_FULL,İlan verilemiyor. Takım zaten dolu.
TID_TEAM_AD_POST_FAIL_NOT_CRETOR,Bunu yalnızca takımı oluşturan oyuncu yapabilir.
TID_TEAM_LOC_INFO,<MODE> - <LOC>
TID_TEAM_DISPLAY_TITLE_EVENT,TAKIMLAR
TID_STREAM_EVENT_1,"Güle güle! <target>, <sender> tarafından kulüpten atıldı."
TID_STREAM_EVENT_2,"Hoş geldin! <target>, <sender> tarafından kulübe kabul edildi."
TID_STREAM_EVENT_3,Hoş geldin! <sender> kulübe katıldı!
TID_STREAM_EVENT_4,Güle güle! <sender> kulüpten ayrıldı!
TID_STREAM_EVENT_5,"Tebrikler! <target>, <sender> tarafından terfi ettirildi."
TID_STREAM_EVENT_6,"Kusura bakma! <target>, <sender> tarafından alt rütbeye düşürüldü."
TID_STREAM_EVENT_7,Yeni kulübüne hoş geldin!
TID_STREAM_EVENT_101,<sender> bir takım oluşturdu.
TID_STREAM_EVENT_102,<sender> adlı oyuncu katıldı
TID_STREAM_EVENT_103,<sender> adlı oyuncu ayrıldı
TID_STREAM_EVENT_104,"Güle güle! <sender>, <target> adlı oyuncuyu attı."
TID_STREAM_EVENT_105,eşleştirme başladı
TID_STREAM_EVENT_106,eşleştirme iptal edildi
TID_STREAM_EVENT_107,savaş başladı
TID_STREAM_EVENT_108,savaş kazanıldı
TID_STREAM_EVENT_109,savaş kaybedildi
TID_STREAM_EVENT_110,alıştırma başladı
TID_STREAM_EVENT_111,alıştırma sona erdi
TID_STREAM_EVENT_112,savaş berabere
TID_STREAM_EVENT_113,hesaplaşma sona erdi
TID_STREAM_EVENT_114,Sohbet sessize alındı.
TID_STREAM_EVENT_115,Sohbet sesi açıldı.
TID_CHAT_BOTTOM_BUTTON,Aşağı kaydır
TID_CHAT_BOTTOM_NEW_MESSAGES,<count> yeni mesaj!
TID_CHAT_BOTTOM_NEW_MESSAGE,Yeni mesaj!
TID_HERO_INFO_UPGRADE_TITLE,<c<COLOR>><NAME></c>
TID_HERO_INFO_UPGRADE_INFO,<LVL>. seviyeye yükselt
TID_HERO_INFO_ITEMS,YÜKSELTMELER
TID_HERO_INFO_SKINS,SAVAŞÇI
TID_HERO_INFO_SKIN_OWNED,Bu kostüm sende var.
TID_HERO_INFO_SKIN_ACTIVE,SEÇİLDİ
TID_HERO_INFO_SKIN_ACTIVATE,SEÇ
TID_HERO_INFO_LEADERBOARD,Liderlik Tablosu
TID_HERO_INFO_LEADERBOARD_LABEL,En iyi <HERO> oyuncuları
TID_HERO_INFO_ABILITY_POWER,<BASEPOW>
TID_HERO_INFO_ABILITY_POWER_UPG,<BASEPOW> <c00ff00>+<UPGPOW></c>
TID_CLAN_SEARCH_GO,ARA
TID_CANT_DEACTIVATE_ULTI_DURING_TUTORIAL,Süper'i hedeflemek için sürükle!
TID_HINT_SHOOT,"Nişan almak için sürükle, ateş etmek için bırak."
TID_HERO_SCORE_SUM_LEADERBOARD,En iyi oyuncular
TID_ALLIANCE_LEADERBOARD,En İyi Kulüpler
TID_HINT_MAKE_GOAL,"Nişan almak için sürükle, topa vurmak için bırak."
TID_BATTLE_ROYALE_INTRO_TEXT,Hayatta kalan tek kişi ol!
TID_HINT_COLLECT_BUFFS,Güçlenmek için kutulardan ve düşmanlardan\n<c50d050>güç küpleri</c> topla!
TID_PLAYERS_LEFT,Kalan savaşçı: <num>
TID_AVOID_POISON,Yaklaşan <c90ee90>zehir bulutlarından</c> uzak dur!
TID_CLAN_CREATE_COOLDOWN,Henüz bir kulüp oluşturamazsın. <TIME> içinde tekrar dene.
TID_PLAYER_DATA_MISSING,Oyuncu verileri eksik
TID_ALLIANCE_DATA_MISSING,Kulüp verileri eksik
TID_BATTLE_END_PLAYER_NAME_YOU,<c00ff00><NAME></c>
TID_BATTLE_END_PLAYER_NAME_OTHER,<NAME>
TID_RECHARGE_HINT,Cephanenin dolmasını bekle!
TID_EVENT_EXPIRED,Etkinliğin süresi doldu
TID_DOUBLE_COINS_INFO,Buradaki savaşlar iki kat jeton verir
TID_SETTINGS_TITLE,AYARLAR
TID_SETTINGS_CONTROL_MODE_TITLE,KONTROL MODU
TID_SETTINGS_CONTROL_MODE_VALUE_0,Hareket etmek için dokun
TID_SETTINGS_CONTROL_MODE_INFO_0,Ekranda bir yere dokunarak savaşçının oraya gitmesini sağlarsın. Ekranda sürükleyerek nişan alır ve parmağını kaldırınca ateş edersin.
TID_SETTINGS_CONTROL_MODE_VALUE_1,Joystick ile hareket (sağ el)
TID_SETTINGS_CONTROL_MODE_INFO_1,Sol alt köşedeki sanal joystick ile hareket edersin. Hedeflere ateş etmek için dokun.
TID_SETTINGS_CONTROL_MODE_VALUE_2,Joystick ile hareket (sol el)
TID_SETTINGS_CONTROL_MODE_INFO_2,Sağ alt köşedeki sanal joystick ile hareket edersin. Hedeflere ateş etmek için dokun.
TID_CHANGE_NAME_TITLE,ADINI DEĞİŞTİR
TID_SETTINGS_PLAYERNAME_CURRENT,Şu anki adın:
TID_SETTINGS_PLAYERNAME_ENTERNEW,Yeni adını yaz:
TID_ERROR_NAMES_DONT_MATCH,Adlar eşleşmiyor. Tekrar dene.
TID_CONTINUE,Devam
TID_NAMECHANGE_WARNING,NOT: Adını yalnızca bir kez değiştirebilirsin.
TID_CONFIRM,Onayla
TID_INVALID_NAME,Geçersiz ad! Başka bir ad dene.
TID_SETTINGS_PLAYERNAME_REENTERNEW,Yeni adını tekrar yaz:
TID_NAME_ALREADY_CHANGED,Ad yalnızca bir kez değiştirilebilir.
TID_NAME_CHANGE_ALREADY_USED,Adını zaten bir kez değiştirdin.
TID_NAME_CHANGED_SUCCESS,Adın değiştirildi!
TID_NAME_CHANGE_IN_PROGRESS,Adın değiştirilemiyor. Bir önceki ad değişikliği isteğin işleniyor.
TID_CONFIRM_CONFIRM,İşlemi tamamlamak için \q<confirmword>\q yazıp Tamam düğmesine dokun.
TID_CONFIRM_WORD,ONAYLA
TID_SETTINGS_PLAYERNAME_CONFIRM_NEW,Ad değişikliğini onaylamak için yeni adını tekrar gir.\nYeni adın şu olacak:
TID_BUTTON_CONFIRM,Onayla
TID_EVENTS_TIME,<cFFFFFF><TIME></c>
TID_EVENTS_TEASER_TIME,<TIME>
TID_EVENTS_TIME_ENDING,<cFFFF00><TIME></c>
TID_EVENTS_TIME_ENDING_SOON,<cff0000><TIME></c>
TID_EVENTS_NEXT_EVENT_STARTING_AT,Sonraki etkinliğe:
TID_EVENTS_TIME_LEFT,Kalan süre
TID_EVENTS_NEW,YENİ!
TID_EVENTS_FREE_REWARD,<AMOUNT>
TID_EVENTS_EVENT_LOCKED,KİLİTLİ
TID_EVENTS_TROPHY_REQ,<c00ffff><COUNT></c> kupaya ulaştığında açılır.
TID_EVENTS_PRO_LEAGUE_REQ,Açmak için bir savaşçının yıldız gücü olmalı.
TID_GAME_STARTING,Şurada bir savaş başlıyor: <LOCATION>. Katılabilirsin!
TID_WEEKEND_EVENT,Hafta sonu etkinliği
TID_PLAYER_KILLED_SOMEONE,<name>
TID_SHOP_TEMPORARILY_DISABLED,Dükkan geçici olarak kapalı.
TID_GATCHA_TEMPORARILY_DISABLED,Savaş kutuları geçici bir süreliğine açılamıyor.
TID_SHOP_WELCOME_TITLE,DÜKKANA HOŞ GELDİN
TID_SHOP_WELCOME,Oyunda ilerledikçe dükkanın yeni bölümleri açılır.\n\nYeni fırsatlar için arada sırada yoklamayı unutma!
TID_SHOP_SPECIAL_OFFER,ÖZEL TEKLİF
TID_SHOP_COIN_BOOSTERS,GÜÇLENDİRİCİLER
TID_SHOP_GEM_PACKS,ELMAS PAKETLERİ
TID_SHOP_PURCHASED,Satın alındı
TID_SHOP_OBTAINED,Alındı
TID_SHOP_INVALIDATED,Süresi dolmuş
TID_SHOP_NEED_HERO,Savaşçı gerekiyor
TID_SHOP_EXCLUSIVE,Özel
TID_SHOP_ACTIVE,Etkin
TID_SHOP_CHALLENGE,Mücadele
TID_SHOP_CHALLENGE_SOON,Başlamasına:
TID_SHOP_DOUBLE_COINS_TITLE,JETON KATLAYICI
TID_SHOP_DOUBLE_COINS_INFO,Savaşlardan kazanılan
TID_SHOP_DOUBLE_COINS_INFO_2,iki katına çıkar.
TID_SHOP_DOUBLE_COINS_INFO_COMBINED,Savaşlardan alacağın sonraki <AMOUNT> jetonu ikiye katlar.
TID_SHOP_DOUBLE_COINS_COINS_REMAINING,Jeton:
TID_SHOP_DOUBLE_COINS_PURCHASE_ERROR_2,Elmas yetersiz
TID_SHOP_OFFER_PURCHASE_ERROR_3,Bu teklifi zaten satın aldın.
TID_SHOP_OFFER_PURCHASE_ERROR_4,Bu teklifi satın alamazsın. Bu teklifteki bir veya daha fazla öğeye zaten sahipsin.
TID_SHOP_OFFER_TITLE,Sınırlı Süreli Teklif
TID_SHOP_GEM_PACK_1_TITLE,Bir Avuç Elmas
TID_SHOP_GEM_PACK_2_TITLE,Taş Kesesi
TID_SHOP_GEM_PACK_3_TITLE,Taş Çantası
TID_SHOP_GEM_PACK_4_TITLE,Elmas Kovası
TID_SHOP_GEM_PACK_5_TITLE,Taş Sandığı
TID_SHOP_GEM_PACK_6_TITLE,Taş Yığını
TID_SHOP_HEROES_OF_RARITY,GARANTİLİ SAVAŞÇILAR
TID_SHOP_HERO_OF_RARITY_TITLE,<c<COLOR>><NAME></c> SAVAŞÇI
TID_SHOP_HERO_OF_RARITY_BOX,Savaşçı Kutusu
TID_SHOP_HERO_POWER_TITLE,<cffffff>+<AMOUNT></c> GÜÇ
TID_SHOP_GATCHA_BOXES,KUTULAR
TID_SHOP_GATCHA_BOX_1,BÜYÜK KUTU
TID_SHOP_GATCHA_BOX_2,SAVAŞ KUTUSU
TID_SHOP_GATCHA_BOX_3,MEGA KUTU
TID_SHOP_GATCHA_BOX_PURCHASE_ERROR_3,Bugün başka kutu satın alamazsın.
TID_SHOP_TICKETS,ETKİNLİK BİLETLERİ
TID_SHOP_TICKET_PACK_0,Bilet Paketi
TID_SHOP_TICKET_PACK_1,Bilet Yığını
TID_SHOP_TICKET_PACK_2,Bilet Tomarı
TID_SHOP_HERO_LVL_UP_MATERIAL_PACKS,ALTIN PAKETLERİ
TID_SHOP_HERO_LVL_UP_MATERIAL_PACK_0,Bir Avuç Altın
TID_SHOP_HERO_LVL_UP_MATERIAL_PACK_1,Altın Kesesi
TID_SHOP_HERO_LVL_UP_MATERIAL_PACK_2,Altın Çantası
TID_HERO_LVL_MATERIAL_RECEIVED,<AMOUNT> altın alındı
TID_SHOP_DAILY_OFFERS,GÜNLÜK HEDİYE
TID_SHOP_SKINS,KOSTÜMLER
TID_SHOP_BRAWLIDAYS_SKINS,BRAWL YENİ YILI KOSTÜMLERİ
TID_SHOP_LUNAR_BRAWL_SKINS,YENİ AY YILI KOSTÜMLERİ
TID_SHOP_BRAWLOWEEN_SKINS,CADILAR BAYRAMI KOSTÜMLERİ
TID_SHOP_ARCHIVE_SKINS,ARŞİVDEN KOSTÜMLER
TID_SHOP_ARCHIVE_SKINS_RARE,ENDER ŞANS!
TID_SHOP_ARCHIVE_SKINS_LAST,SON ŞANS!
TID_SHOP_LEGENDARY_SKINS,YILDIZ DÜKKANI
TID_SHOP_STAR_BOXES,YILDIZ KUTULARI
TID_SHOP_FREE,ÜCRETSİZ
TID_SHOP_CLAIM,AL
TID_SHOP_NEW_DAILY_OFFERS_AVAILABLE_IN,<TIME>
TID_SHOP_TICKETS_AVAILABLE_FOR,<TIME>
TID_SHOP_DISCOUNT,-%<AMOUNT>
TID_SHOP_OFFER_TITLE_0,ÜCRETSİZ KUTU
TID_SHOP_OFFER_TITLE_1,ALTIN
TID_SHOP_OFFER_TITLE_6,SAVAŞ KUTUSU
TID_SHOP_OFFER_TITLE_7,BİLETLER
TID_SHOP_OFFER_TITLE_8,GÜÇ PUANI
TID_SHOP_OFFER_TITLE_9,JETON KATLAYICI
TID_SHOP_OFFER_TITLE_10,MEGA KUTU
TID_SHOP_OFFER_TITLE_12,GÜÇ PUANI
TID_SHOP_OFFER_TITLE_14,BÜYÜK KUTU
TID_SHOP_OFFER_TITLE_15,SAVAŞ KUTUSU
TID_SHOP_OFFER_TITLE_16,ELMASLAR
TID_SHOP_OFFER_TITLE_17,YILDIZ PUANLARI
TID_SHOP_OFFER_TITLE_19,YENİ ROZET
TID_SHOP_OFFER_TITLE_20,ROZET SETİ
TID_SHOP_OFFER_TITLE_21,ROZET PAKETİ
TID_SHOP_OFFER_TITLE_22,ROZET PAKETİ
TID_SHOP_OFFER_TITLE_23,<RARITY> ROZET
TID_SHOP_OFFER_TITLE_25,OYUNCU SİMGESİ
TID_SHOP_OFFER_TITLE_27,<RARITY> ROZET PAKETİ
TID_SHOP_OFFER_TITLE_35,YENİ SPREY
TID_SHOP_OFFER_TITLE_36,SPREYLER
TID_SHOP_OFFER_INFO_36,Spreylerle savaşta kendini ifade et!
TID_SHOP_OFFER_TITLE_37,EKSTRA SPREY BÖLMESİ
TID_SHOP_OFFER_TITLE_38,KREDİLER
TID_SHOP_OFFER_TITLE_39,KROMA KREDİLERİ
TID_SHOP_OFFER_EMOTE_OF_RARITY_TITLE,<c<COLOR>><RARITY> ROZET</c>
TID_EMOTE_RARITY_0,SIRADAN
TID_EMOTE_RARITY_1,ENDER
TID_EMOTE_RARITY_2,DESTANSI
TID_EMOTE_RARITY_3,EFSANEVİ
TID_SHOP_OFFER_DESC_GOLD,"Altın, savaşçılarını yükseltmek için kullanılır."
TID_SHOP_OFFER_ANY_BRAWLER,İSTEDİĞİN\nSAVAŞÇIYA VER
TID_SHOP_OFFER_ANY_BRAWLER_DESC,İstediğin savaşçıya ver!
TID_PURCHASE_OFFER_POPUP_TITLE,Satın alma onayı
TID_PURCHASE_OFFER_POPUP_TITLE_FREE,Ücretsiz Ödül
TID_SHOP_OFFER_NEW_HERO_LABEL,SAVAŞÇI
TID_SHOP_OFFER_NEW_SKIN_LABEL,KOSTÜM
TID_SHOP_OFFER_CLUB_SKIN_LABEL,KULÜP KOSTÜMÜ
TID_SHOP_OFFER_HERO_POWER_TITLE,GÜÇ PUANI
TID_SHOP_TICKET_PURCHASE_ERROR_4,Satın alamazsın. Bir etkinlikte her paket yalnızca bir kez alınabilir.
TID_SHOP_OFFER_NEW,YENİ
TID_GATCHA_BOX_TITLE_2,SAVAŞ KUTUSU
TID_GATCHA_BOX_TITLE_3,MEGA KUTU
TID_SHOP_HERO_PURCHASE_CONFIRM_LABEL,YENİ SAVAŞÇI
TID_GATCHA_BOX_INFO_2,"İçinden yeni bir savaşçı, aksesuar, yıldız gücü veya altın + iki savaşçı için güç puanı çıkabilir. Bazı kutulardan bonus jeton katlayıcı çıkar!"
TID_GATCHA_BOX_INFO_3,Bir Savaş Kutusunun\n\n<AMOUNT> katı.
TID_SHOP_OFFER_INFO_0,Ücretsizdir. Keyfini çıkar!
TID_SHOP_OFFER_INFO_1,"<AMOUNT> altın içerir. Altın, savaşçıları yükseltmek için kullanılır."
TID_SHOP_OFFER_INFO_2,Rastgele bir <RARITY> savaşçı aç!
TID_SHOP_OFFER_INFO_3,Yeni bir savaşçı aç!
TID_SHOP_OFFER_INFO_6,"Savaş kutularından savaşçı, güç puanı, altın ve daha fazlası çıkabilir."
TID_SHOP_OFFER_INFO_7,<AMOUNT> etkinlik bileti içerir. Bunlarla biletli etkinliklere katılabilirsin.
TID_SHOP_OFFER_INFO_8,<AMOUNT> güç puanı içerir. Güç puanlarını biriktirip savaşçıları yükseltmek için kullanırsın.
TID_SHOP_OFFER_INFO_9,Savaşlardan alacağın sonraki <AMOUNT> jetonu ikiye katlar.
TID_SHOP_OFFER_INFO_10,Mega kutularda normal savaş kutularına göre on kat fazla ödül vardır!
TID_SHOP_OFFER_INFO_12,Güç puanlarını hangi savaşçının alacağını sen seçersin.
TID_SHOP_OFFER_INFO_13,Yeni etkinlik slotu aç
TID_SHOP_OFFER_INFO_14,Büyük kutularda normal savaş kutularına göre üç kat fazla ödül vardır!
TID_SHOP_OFFER_INFO_16,<AMOUNT> elmas içerir.
TID_SHOP_OFFER_INFO_18,Sezon görevlerini açarak Brawl Pass için daha fazla jeton kazan.
TID_SHOP_OFFER_INFO_19,<BRAWLER> için yeni bir rozet!
TID_SHOP_OFFER_INFO_20,<AMOUNT> rozetli bir set. Rozetleri kullanarak diğer oyuncularla iletişim kurabilirsin.
TID_SHOP_OFFER_INFO_21,"Bu pakette, açtığın herhangi bir savaşçı için 2 sıradan rozet ve 1 ender ya da destansı rozet bulunur. Çıkma ihtimalleri şöyledir:\nEnder rozet: %<Rare>\nDestansı rozet: %<Epic>"
TID_SHOP_OFFER_INFO_22,"Bu pakette, <BRAWLER> için 2 sıradan rozet ve 1 ender ya da destansı rozet bulunur. Çıkma ihtimalleri şöyledir:\n\nEnder rozet: %<Rare>\nDestansı rozet: %<Epic>"
TID_SHOP_OFFER_INFO_23,1 yeni <RARITY> rozet içerir. Rozetleri kullanarak diğer oyuncularla iletişim kurabilirsin!
TID_SHOP_OFFER_INFO_27,3 yeni <RARITY> rozet içerir. Rozetleri kullanarak diğer oyuncularla iletişim kurabilirsin!
TID_SHOP_OFFER_INFO_30,<LVL>. seviyeye yükseltilmiş yeni bir savaşçı aç!
TID_SHOP_OFFER_INFO_31,<LVL>. seviyeye yükseltilmiş rastgele bir <RARITY> savaşçı aç!
TID_SHOP_OFFER_INFO_32,Eşya jetonları eşya üretip yükseltmek için kullanılır.
TID_SHOP_OFFER_INFO_33,Parçalar eşya üretip yükseltmek için kullanılır.
TID_SHOP_OFFER_INFO_35,Spreyler savaş alanını süslemek için kullanılır.
TID_SHOP_OFFER_INFO_37,Spreyler için ekstra bölme
TID_SHOP_OFFER_INFO_38,"Krediler, yeni savaşçı açmak için kullanılır!"
TID_SHOP_OFFER_INFO_39,Kroma kredilerini kullanarak kromatik savaşçı alabilirsin!
TID_SHOP_OFFER_HOR_NEW,YENİ
TID_SHOP_OFFER_HOR_RARITY,<c<COLOR>><NAME></c>
TID_SHOP_OFFER_HOR_BRAWLER,SAVAŞÇI
TID_SHOP_OFFER_HOR_POPUP_RARITY,YENİ <c<COLOR>><NAME></c>
TID_SHOP_OFFER_HOR_POPUP_BRAWLER,SAVAŞÇI
TID_SHOP_SKIN_OFFER,KOSTÜM TEKLİFİ
TID_SHOP_OFFER_EXPIRED,Teklifin süresi doldu.
TID_SKINS_AD_TITLE,YENİ KOSTÜMLER GELDİ
TID_SKINS_AD_OK,Tamam
TID_SKINS_AD_INFO,Savaşçılar ekranından yeni kostümlere bakabilirsin!
TID_TERMS_OF_SERVICE_BUTTON,Hizmet Koşulları
TID_IMMUNE,Etkisiz
TID_BATTLE_END_PROCEED,DEVAM
TID_HINT_TAP_TO_MOVE_1,Haritanın ortasından <ce662f9>elmasları</c> topla
TID_CANT_DEACTIVATE_ULTI_DURING_TUTORIAL_1,Süper atışını düşmana doğru hedefle!
TID_HINT_SHOOT_1,<ce662f9>Elmaslar</c> ortadaki delikten çıkar!
TID_HINT_DRAG_TO_ULTI_1,Şimdi kırmızı düğmeyi kullanarak süper atışını yap!
TID_BIND_TO_NEW_GAMECENTER_ACCOUNT_TITLE,Yeni Game Center girişi
TID_BIND_TO_NEW_GAMECENTER_ACCOUNT,Şu anki oyununu bu Game Center hesabı ile ilişkilendirmek istiyor musun?
TID_GOOGLE_SERVICE_BOUND_TO_OTHER_ACCOUNT_TITLE,Google Hesabı Uyarısı
TID_GOOGLE_SERVICE_BOUND_TO_OTHER_ACCOUNT,<name> oyuncusunun (<trophies> kupalı) oyununu yüklemek istiyor musun? Uyarı: Mevcut oyundaki ilerleme kaybedilir.
TID_BOUND_TO_OTHER_ACCOUNT_LOAD_VILLAGE_TITLE,Oyun yüklensin mi?
TID_BUTTON_VILLAGE_LOAD,Yükle
TID_GAMECENTER_BOUND_TO_OTHER_ACCOUNT_TITLE,Game Center Uyarısı
TID_GAMECENTER_BOUND_TO_OTHER_ACCOUNT,<name> oyuncusunun (<trophies> kupalı) oyununu yüklemek istiyor musun? Uyarı: Mevcut oyundaki ilerleme kaybedilir.
TID_BUTTON_AVATAR_LOAD,Yükle
TID_SETTINGS_SCREEN_TITLE,Ayarlar
TID_SETTINGS_MUSIC,MÜZİK
TID_SETTINGS_SFX,SES EFEKTLERİ
TID_SETTINGS_OFF,KAPALI
TID_SETTINGS_ON,AÇIK
TID_SETTINGS_LANGUAGE,DİL
TID_ACCOUNT,Cihazlar
TID_LINK_DEVICE_BUTTON,Bir cihazı bağla
TID_SETTINGS_FACEBOOK,ARKADAŞLAR
TID_CHANGE_NAME_BUTTON,Adını Değiştir
TID_CREDITS_BUTTON,Hazırlayanlar
TID_PRIVACY_POLICY_BUTTON,Gizlilik Politikası
TID_PARENTS_GUIDE_BUTTON,Ebeveyn Kılavuzu
TID_MULTIDEVICE_INFO,İlerlemeni kaybetmemek ve birden çok iOS cihazı ile oynamak için Game Center hesabını kullanarak giriş yap.
TID_SETTINGS_GOOGLE,Google Play ile Giriş
TID_SETTINGS_BUTTON_FACEBOOK_CONNECTED,Bağlandı
