"Name","Character","Model","ModelCNOverride","GadgetModel","PortraitCameraFile","MirrorIntro","IdleAnim","WalkAnim","PrimarySkillAnim","SecondarySkillAnim","OverchargeSkillAnim","PrimarySkillRecoilAnim","PrimarySkillRecoilAnim2","SecondarySkillRecoilAnim","SecondarySkillRecoilAnim2","ReloadingAnim","PushbackAnim","DeployAnim","HappyAnim","HappyLoopAnim","RecruitRoadOverrideAnim","SadAnim","SadLoopAnim","LobbyAnim","LobbyLoopAnim","HeroScreenIdleAnim","HeroScreenAnim","HeroScreenLoopAnim","SignatureAnim","GachaOverrideAnim","HappyEnterAnim","SadEnterAnim","ProfileAnim","ShopGroupProfileAnim","BrawlPassPopupProfileAnim","IntroAnim","EnvAnim","BossAutoAttackAnim","BossAutoAttackRecoilAnim","BossAutoAttackRecoilAnim2","GadgetActiveAnim","GadgetRecoilAnim","IdleFace","WalkFace","HappyFace","HappyLoopFace","RecruitRoadOverrideFace","SadFace","SadLoopFace","LobbyFace","LobbyLoopFace","HeroScreenIdleFace","HeroScreenFace","HeroScreenLoopFace","SignatureFace","ProfileFace","IntroFace","LobbyEffect","HeroScreenEffect","SignatureEffect","HappyEffect","SadEffect","PetInSameSprite","AttackLocksAttackAngle","UltiLocksAttackAngle","MainAttackProjectile","MainAttackOverchargedProjectile","SecondaryProjectile","ThirdProjectile","UltiProjectile","OverchargedUltiProjectile","MainAttackEffect","MainAttackEffect2","UltiAttackEffect","UltiAttackEffect2","OverchargedUltiAttackEffect","OverchargedUltiAttackEffect2","ShieldEffect","UseBlueTextureInMenus","MainAttackUseEffect","UltiUseEffect","OverchargedUltiUseEffect","UltiEndEffect","MeleeHitEffect","SpawnEffect","ReloadEffect","UltiLoopEffect","UltiLoopEffect2","OverchargedUltiLoopEffect","OverchargedUltiLoopEffect2","StarPower1Effect","StarPower2Effect","AreaEffect","AreaEffectStarPower","AreaEffectStarPower2","AreaEffectAttack","AreaEffectAttack2","AreaEffectUlti","AreaEffectUlti2","OverchargedAreaEffectUlti","OverchargedAreaEffectUlti2","PetrolEffect","SpawnedItem","SpawnedItem2","KillCelebrationSoundVO","InLeadCelebrationSoundVO","StartSoundVO","UseUltiSoundVO","TakeDamageSoundVO","DeathSoundVO","AttackSoundVO","UnlockVO","UnlockVOIndex","BoneEffect1","BoneEffectUse1","BoneEffect2","BoneEffectUse2","BoneEffect3","BoneEffectUse3","BoneEffect4","BoneEffectUse4","BoneEffect5","BoneEffectUse5","BoneEffect6","BoneEffectUse6","AutoAttackProjectile","ProjectileForShockyStarPower","OverchargedProjectileForShockyStarPower","IncendiaryStarPowerAreaEffect","KillEffect","DeathEffect","MoveEffect","MoveEffect2","ChargeMoveEffect","StillEffect","StillEffect2","LoopingEffect","ChargedShotEffect","DisableHeadRotation","PoisonEffect","BuffEffect","AttackBuildUpEffect","SpecialMaterialSetup","FaceCoversWholeTexture","CustomEffect1","CustomEffect2"
"BossKaijuDefault","RaidBoss_TownCrush","kaiju_boss_geo.glb","","","portrait_cam.scw","","BossKaijuIdle","BossKaijuWalk","BossKaijuSecondary","BossKaijuJump","BossKaijuJump","BossKaijuSecondaryRecoil","","BossKaijuSecondaryRecoil","","","BossKaijuIdle","","BossKaijuIdle","BossKaijuIdle","","BossKaijuIdle","BossKaijuIdle","BossKaijuIdle","BossKaijuIdle","BossKaijuIdle","BossKaijuIdle","BossKaijuIdle","BossKaijuIdle","","BossKaijuIdle","BossKaijuIdle","BossKaijuIdle","","","BossKaijuIdle","BossKaijuIdle","BossKaijuPrimary","BossKaijuPrimary","BossKaijuPrimary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SafeBank","","heist_safe_minicity.scw","","","portrait_cam.scw","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BeeSniperMonsterAddonBee","","bee_bug_geo.glb","","","","","BeeSmallIdle","","","","","","","","","","","","BeeBugSmallIdle","BeeBugSmallIdle","","BeeBugSmallIdle","BeeBugSmallIdle","BeeBugSmallIdle","BeeBugSmallIdle","BeeBugSmallIdle","BeeBugSmallIdle","BeeBugSmallIdle","BeeBugSmallIdle","","BeeBugSmallIdle","BeeBugSmallIdle","BeeBugSmallIdle","","","BeeBugSmallIdle","BeeSmallIdle","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ControllerRetro","Controller","nani_retro_geo.scw","","","nani_base_cam.scw","","NaniIdle","NaniWalk","NaniAttack","NaniSecondary","NaniSecondary","NaniRecoil","","","","NaniReload","NaniPushback","","NaniWin","NaniWinloop","","NaniLose","NaniLoseloop","NaniWin","NaniWinloop","NaniIdle","NaniWin","NaniWinloop","NaniWin","","NaniIdle","NaniIdle","NaniPortrait","","","NaniIdle","NaniIdle","","","","","","Nani003Still","Nani003Still","Nani003Win","Nani003WinLoop","","Nani003Lose","Nani003LoseLoop","Nani003Win","Nani003WinLoop","Nani003WinLoop","Nani003Win","Nani003WinLoop","Nani003Win","Nani003Still","Nani003Win","","","","","","true","true","","","","","","Nani002UltiProjectile","","jessie_003_atk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ShotgunGirlGold","ShotgunGirl","shelly_geo.scw","","","shelly_base_cam.scw","","ShellyIdle","ShellyWalk","ShellyPrimary","ShellySecondary","ShellySecondary","ShellyRecoil","","ShellyRecoil","","ShellyReload","ShellyPushback","","ShellyWin","ShellyWinloop","","ShellyLose","ShellyLoseloop","ShellyWin","ShellyWinloop","ShellyIdle","ShellyWin","ShellyWinloop","ShellyWin","","ShellyIdle","ShellyIdle","ShellyProfile","","","ShellyIntro","ShellyIdle","","","","","","","","","","","","","","","","","","","","","gen_gold_lobby_aura","gen_gold_lobby_aura","gen_gold_lobby_aura","gen_gold_lobby_aura","gen_gold_lobby_aura","","true","","","","","","","","shelly_def_atk","gen_gold_atk_single","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gen_gold_moving","","","gen_gold_moving","","","","","","","","","","",""
"ShotgunGirlSilver","ShotgunGirl","shelly_geo.scw","","","shelly_base_cam.scw","","ShellyIdle","ShellyWalk","ShellyPrimary","ShellySecondary","ShellySecondary","ShellyRecoil","","ShellyRecoil","","ShellyReload","ShellyPushback","","ShellyWin","ShellyWinloop","","ShellyLose","ShellyLoseloop","ShellyWin","ShellyWinloop","ShellyIdle","ShellyWin","ShellyWinloop","ShellyWin","","ShellyIdle","ShellyIdle","ShellyProfile","","","ShellyIntro","ShellyIdle","","","","","","","","","","","","","","","","","","","","","gen_silver_lobby_aura","gen_silver_lobby_aura","gen_silver_lobby_aura","gen_silver_lobby_aura","gen_silver_lobby_aura","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gen_silver_moving","","","gen_silver_moving","","","","","","","","","","",""
"SniperGold","Sniper","piper_geo.scw","","piper_gadget_pistol_geo.scw","piper_portrait.scw","","SniperIdle","SniperWalk","SniperAttack","SniperSecondary","SniperSecondary","SniperRecoil","","SniperRecoil","","SniperReload","SniperPushback","","SniperWin","SniperWinloop","","SniperLose","SniperLoseloop","SniperWin","SniperWinloop","SniperIdle","SniperWin","SniperWinloop","SniperWin","","SniperIdle","SniperIdle","SniperProfile","","","SniperProfile","SniperIdle","","","","SniperGadgetPistolAttack","SniperGadgetPistolRecoil","","","","","","","","","","","","","","","","gen_gold_lobby_aura","gen_gold_lobby_aura","gen_gold_lobby_aura","gen_gold_lobby_aura","gen_gold_lobby_aura","","true","","","","","","","","piper_def_atk","gen_gold_atk_single","","","","","","","","piper_def_ulti","","","","","","","","","","","","","","","","","","","","","","PiperdefBomb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gen_gold_moving","","","gen_gold_moving","","","","","","","","","","",""
"SniperSilver","Sniper","piper_geo.scw","","piper_gadget_pistol_geo.scw","piper_portrait.scw","","SniperIdle","SniperWalk","SniperAttack","SniperSecondary","SniperSecondary","SniperRecoil","","SniperRecoil","","SniperReload","SniperPushback","","SniperWin","SniperWinloop","","SniperLose","SniperLoseloop","SniperWin","SniperWinloop","SniperIdle","SniperWin","SniperWinloop","SniperWin","","SniperIdle","SniperIdle","SniperProfile","","","SniperProfile","SniperIdle","","","","SniperGadgetPistolAttack","SniperGadgetPistolRecoil","","","","","","","","","","","","","","","","gen_silver_lobby_aura","gen_silver_lobby_aura","gen_silver_lobby_aura","gen_silver_lobby_aura","gen_silver_lobby_aura","","true","","","","","","","","piper_def_atk","","","","","","","","","piper_def_ulti","","","","","","","","","","","","","","","","","","","","","","PiperdefBomb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gen_silver_moving","","","gen_silver_moving","","","","","","","","","","",""
"NinjaGold","Ninja","leon_geo.scw","","","leon_base_cam.scw","","LeonIdle","LeonWalk","LeonAttack","LeonSecondary","LeonSecondary","LeonRecoil","LeonRecoil2","LeonRecoil","","LeonReload","LeonPushback","","LeonWin","LeonWinloop","","LeonLose","LeonLoseloop","LeonWin","LeonWinloop","LeonIdle","LeonWin","LeonWinloop","LeonWin","","LeonIdle","LeonIdle","LeonProfile","","","LeonIntro","LeonIdle","","","","","","","","","","","","","","","","","","","","","gen_gold_lobby_aura","gen_gold_lobby_aura","gen_gold_lobby_aura","gen_gold_lobby_aura","gen_gold_lobby_aura","","","","","","","","","","ninja_attack","gen_gold_atk_multiple","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gen_gold_moving","","","gen_gold_moving","","","","","","","","","","",""
"NinjaSilver","Ninja","leon_geo.scw","","","leon_base_cam.scw","","LeonIdle","LeonWalk","LeonAttack","LeonSecondary","LeonSecondary","LeonRecoil","LeonRecoil2","LeonRecoil","","LeonReload","LeonPushback","","LeonWin","LeonWinloop","","LeonLose","LeonLoseloop","LeonWin","LeonWinloop","LeonIdle","LeonWin","LeonWinloop","LeonWin","","LeonIdle","LeonIdle","LeonProfile","","","LeonIntro","LeonIdle","","","","","","","","","","","","","","","","","","","","","gen_silver_lobby_aura","gen_silver_lobby_aura","gen_silver_lobby_aura","gen_silver_lobby_aura","gen_silver_lobby_aura","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gen_silver_moving","","","gen_silver_moving","","","","","","","","","","",""
"RocketGirlRanger","RocketGirl","brock_ranger_geo.glb","","","brock_ranger_portrait.scw","","BrockIdle","BrockWalk","BrockPrimary","BrockSecondary","BrockSecondary","BrockRecoil","","BrockRecoil2","","BrockIdle","BrockPushback","","BrockRangerWin","BrockWinloop","","BrockLose","BrockLoseloop","BrockRangerWin","BrockWinloop","BrockIdle","BrockRangerWin","BrockWinloop","BrockRangerWin","","BrockIdle","BrockIdle","BrockRangerProfile","","","BrockProfile","BrockIdle","","","","","","BrockStill","BrockStill","BrockWin","BrockWinLoop","","BrockLose","BrockLoseLoop","BrockWin","BrockWinLoop","BrockWinLoop","BrockWin","BrockWinLoop","BrockWin","BrockStill","BrockStill","","","","","","","","","Brock005Projectile","","","","Brock005UltiProjectile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SpeedyTracksuit","Speedy","max_tracksuit_geo.glb","","","max_portrait.scw","","MaxTracksuitIdle","MaxTracksuitWalk","MaxTracksuitPrimary","MaxSecondary","MaxSecondary","MaxTracksuitRecoil","","MaxSecondaryRecoil","","MaxTracksuitReload","MaxTracksuitPushback","","MaxTracksuitWin","MaxTracksuitWinloop","","MaxTracksuitLose","MaxTracksuitLoseloop","MaxTracksuitWin","MaxTracksuitWinloop","MaxTracksuitIdle","MaxTracksuitWin","MaxTracksuitWinloop","MaxTracksuitWin","","MaxTracksuitIdle","MaxTracksuitIdle","MaxTracksuitPortrait","","","MaxTracksuitPortrait","MaxTracksuitIdle","","","","","","Max003Still","Max003Still","Max003Win","Max003WinLoop","","Max003Lose","Max003LoseLoop","Max003Win","Max003WinLoop","Max003WinLoop","Max003Win","Max003WinLoop","Max003Win","Max003Still","Max003Still","","","","","","","","","","","","","","","max_def_atk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PowerLevelerKnight","PowerLeveler","surge_knight_geo.glb","","","surge_portrait.scw","","SurgeIdle","SurgeKnightWalk","","SurgeSecondary","SurgeSecondary","SurgeAttackRecoil","","","","SurgeReload","SurgePushback","","SurgeKnightWin","SurgeKnightWinloop","","SurgeKnightLose","SurgeKnightLoseloop","SurgeKnightWin","SurgeKnightWinloop","SurgeIdle","SurgeKnightWin","SurgeKnightWinloop","SurgeKnightWin","","SurgeIdle","SurgeIdle","SurgeProfile","","","SurgeIdle","SurgeIdle","","","","","","","","","","","","","","","","","","","","","","","","","","","true","true","Surge004Projectile","","","","","","surge_004_atk","","","","","","","","","surge_004_ulti_use","","surge_004_ulti_ground","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ClusterBombPetMonster","ClusterBombPet","bombhead_crab_geo.glb","","","portrait_cam.scw","","BombheadMonsterIdle","BombheadMonsterIdle","BombheadMonsterIdle","BombheadMonsterIdle","BombheadMonsterIdle","BombheadMonsterIdle","","BombheadMonsterIdle","","BombheadMonsterIdle","BombheadMonsterIdle","","BombheadMonsterIdle","BombheadMonsterIdle","","BombheadMonsterIdle","BombheadMonsterIdle","BombheadMonsterIdle","BombheadMonsterIdle","BombheadMonsterIdle","BombheadMonsterIdle","BombheadMonsterIdle","BombheadMonsterIdle","","BombheadMonsterIdle","BombheadMonsterIdle","BombheadMonsterIdle","","","BombheadMonsterIdle","BombheadMonsterIdle","","","","","","Tick002Still","Tick002Still","Tick002Still","Tick002Still","","Tick002Still","Tick002Still","Tick002Still","Tick002Still","Tick002Still","Tick002Still","Tick002Still","Tick002Still","Tick002Still","Tick002Still","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ControllerRetroAddon","","peep_geo.scw","","","","","PeepIdle","","","","","","","","","","","","PeepIdle","PeepIdle","","PeepIdle","PeepIdle","PeepIdle","PeepIdle","PeepIdle","PeepIdle","PeepIdle","PeepIdle","","PeepIdle","PeepIdle","PeepPortrait","","","PeepPortrait","PeepIdle","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PercenterDefault","Percenter","colette_geo.scw","","","colette_portrait.scw","","ColetteIdle","ColetteWalk","ColetteAttack","ColetteSuper","ColetteSuper","ColetteRecoil","","ColetteIdle","","ColetteIdle","ColetteIdle","","ColetteWin","ColetteIdle","","ColetteLose","ColetteLoseloop","ColetteWin","ColetteIdle","ColetteIdle","ColetteWin","ColetteIdle","ColetteWin","","ColetteIdle","ColetteIdle","ColettePortrait","","","ColetteIdle","ColetteIdle","","","","","","ColetteStill","ColetteStill","ColetteWin","ColetteWinLoop","","ColetteLose","ColetteLoseLoop","ColetteWin","ColetteWinLoop","ColetteWinLoop","ColetteWin","ColetteWinLoop","ColetteWin","ColetteStill","ColetteStill","","","","","","","true","","","","","","","","colette_def_atk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FireDudeDefault","FireDude","amber_geo.scw","","","amber_portrait.scw","","AmberIdle","AmberWalk","AmberAttack","AmberAttack","AmberAttack","AmberRecoil","","AmberRecoil","","","AmberPushback","","AmberWin","AmberWinloop","","AmberLose","AmberLoseloop","AmberWin","AmberWinloop","AmberIdle","AmberWin","AmberWinloop","AmberWin","","AmberIdle","AmberIdle","AmberPortrait","","","AmberIdle","AmberIdle","","","","","","AmberStill","AmberStill","AmberWin","AmberWinLoop","","AmberLose","AmberLoseLoop","AmberWin","AmberWinLoop","AmberWinLoop","AmberWin","AmberWinLoop","AmberWin","AmberStill","AmberStill","amber_def_lobby_fire","amber_def_lobby_fire","amber_def_lobby_fire","amber_def_lobby_fire","amber_def_lose","","","","","","","","","","amber_def_atk","","amber_def_ulti","","","","","true","","","","","","","","","","","","","","","","","","","","","","","amber_def_ulti_oil","","","","","","","","","","","","amber_def_ingame_fire","always","","","","","","","","","","always","","","","","","","","","","","","","","","","","","1","","",""
"MummyGiftShop","Mummy","emz_giftshop_geo.scw","","","emz_giftshop_cam.scw","","EmzGiftshopIdle","EmzGiftshopWalk","EmzGiftshopPrimary","EmzGiftshopPrimary","EmzGiftshopPrimary","EmzGiftshopRecoil","EmzGiftshopSecondary","EmzGiftshopRecoil","EmzGiftshopSecondaryRecoil","EmzGiftshopReload","EmzGiftshopPushback","","EmzGiftshopWin","EmzGiftshopWinloop","","EmzGiftshopLose","EmzGiftshopLoseloop","EmzGiftshopWin","EmzGiftshopWinloop","EmzGiftshopIdle","EmzGiftshopWin","EmzGiftshopWinloop","EmzGiftshopWin","","EmzGiftshopIdle","EmzGiftshopIdle","EmzGiftshopProfile","","","EmzIntro","EmzGiftshopIdle","","","","","","Emz002Still","Emz002Still","Emz002Win","Emz002WinLoop","","Emz002Lose","Emz002LoseLoop","Emz002Win","Emz002WinLoop","Emz002WinLoop","Emz002Win","Emz002WinLoop","Emz002Win","Emz002Still","Emz002Still","","","","","","","true","","Emz002Projectile","","","","","","emz_002_atk","","","","","","","","","","","","","","","","","","","","","","","","","","Emz_002_Ulti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SandstormGiftShop","Sandstorm","sandy_sugar_addict_geo.scw","","","sandy_sugar_addict_cam.scw","","SandyGiftshopIdle","SandyGiftshopWalk","SandyGiftshopAttack","SandyGiftshopAttack","SandyGiftshopAttack","SandyGiftshopRecoil","","SandyGiftshopRecoil","","SandyGiftshopReload","SandyGiftshopPushBack","","SandyGiftshopWin","SandyGiftshopWinloop","","SandyGiftshopLose","SandyGiftshopLose","SandyGiftshopWin","SandyGiftshopWinloop","SandyGiftshopIdle","SandyGiftshopWin","SandyGiftshopWinloop","SandyGiftshopWin","","SandyGiftshopIdle","SandyGiftshopIdle","SandyGiftshopProfile","","","SandyGiftshopProfile","SandyGiftshopIdle","","","","","","SandyIdle","SandyWalk","SandyWin","SandyWinloop","","SandyWinloop","SandyWinloop","SandyWin","SandyWinloop","SandyIdle","SandyWin","SandyWinloop","SandyIdle","SandyProfile","SandyIdle","","","","","","","","true","Sandy002Projectile","","","","Sandy002UltiProjectile","","","","","","","","","","","","","","","","","","","","","sandy_002_ulti_starP1","sandy_002_ulti_starP2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WallyMoon","Wally","sprout_moon_geo.scw","","","sprout_moon_cam.scw","","SproutMoonIdle","SproutMoonWalk","SproutMoonPrimary","SproutMoonPrimary","SproutMoonPrimary","SproutMoonRecoil","","SproutMoonRecoil","","SproutMoonReload","SproutMoonPushback","","SproutMoonWin","SproutMoonWinloop","","SproutMoonLose","SproutMoonLoseloop","SproutMoonWin","SproutMoonWinloop","SproutMoonIdle","SproutMoonWin","SproutMoonWinloop","SproutMoonWin","","SproutMoonIdle","SproutMoonIdle","SproutMoonPortrait","","","SproutMoonPortrait","SproutMoonIdle","","","","","","","","","","","","","","","","","","","","","","","","","","","true","true","Sprout002Projectile","","Sprout002SecondaryProjectile","","Sprout002UltiProjectile","","","","","","","","","","","","","","","","","","","","","","","","Sprout_002_sp1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CactusMask","Cactus","spike_mask_geo.scw","","","spike_base_cam.scw","","SpikeIdle","SpikeWalk","SpikePrimary","SpikeSecondary","SpikeSecondary","SpikeRecoil","","SpikeRecoil2","","SpikeReload","SpikeIdle","","SpikeWin","SpikeWinloop","","SpikeLose","SpikeLoseloop","SpikeWin","SpikeWinloop","SpikeIdle","SpikeWin","SpikeWinloop","SpikeWin","","SpikeIdle","SpikeIdle","SpikeProfile","","","SpikeProfile","SpikeIdle","","","","","","","","","","","","","","","","","","","","","","","","","","","true","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PercenterTrixie","Percenter","colette_trixie_geo.scw","","","colette_demon_portrait.scw","","ColetteTrixieIdle","ColetteTrixieWalk","ColetteTrixieAttack","ColetteTrixieSuper","ColetteTrixieSuper","ColetteTrixieRecoil","","ColetteTrixieIdle","","ColetteTrixieIdle","ColetteTrixieIdle","","ColetteTrixieWin","ColetteTrixieWinloop","","ColetteTrixieLose","ColetteTrixieLoseloop","ColetteTrixieWin","ColetteTrixieWinloop","ColetteTrixieIdle","ColetteTrixieWin","ColetteTrixieWinloop","ColetteTrixieWin","","ColetteTrixieIdle","ColetteTrixieIdle","ColetteTrixiePortrait","","","ColetteTrixiePortrait","ColetteTrixieIdle","","","","","","Colette002Still","Colette002Still","Colette002Win","Colette002WinLoop","","Colette002Lose","Colette002LoseLoop","Colette002Win","Colette002WinLoop","Colette002WinLoop","Colette002Win","Colette002WinLoop","Colette002Win","Colette002Still","Colette002Still","","","","","","","true","","Colette002Projectile","","","","","","colette_002_atk","","","","","","","","","","","","","","","colette_002_ulti","colette_002_ulti_cover","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PocoStarr","DeadMariachi","poco_starr_geo.scw","","","poco_starr_portrait.scw","","PocoIdle","PocoWalk","PocoAttack","PocoSecondary","PocoSecondary","PocoRecoil","","PocoRecoil","","PocoReload","PocoPushback","","PocoWin","PocoWinloop","","PocoLose","PocoLoseloop","PocoWin","PocoWinloop","PocoIdle","PocoWin","PocoWinloop","PocoWin","","PocoIdle","PocoIdle","PocoStarrPortrait","","","PocoProfile","PocoIdle","","","","","","PocoStill","PocoStill","PocoWin","PocoWinLoop","","PocoLose","PocoLoseLoop","PocoWin","PocoWinLoop","PocoWinLoop","PocoWin","PocoWinLoop","PocoWin","PocoStill","PocoStill","","","","","","","","","Poco005Projectile","","","","Poco005UltiProjectile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LuchadorAtomic","Luchador","primo_geo.scw:torsoGeo+braceletGeo_02+legsGeo+beltGeo","","","primo_portrait.scw","","LouchadorIdle","LouchadorWalk","LouchadorPrimary","LouchadorSecondary","LouchadorSecondary","LouchadorRecoil","LouchadorRecoil2","LouchadorRecoil","","","LouchadorPushback","","LouchadorWin","LouchadorWinloop","","LouchadorLose","LouchadorLoseloop","LouchadorWin","LouchadorWinloop","LouchadorIdle","LouchadorWin","LouchadorWinloop","LouchadorWin","","LouchadorIdle","LouchadorIdle","LouchadorProfile","","","LouchadorIntro","LouchadorIdle","","","","LouchadorGadgetFlipPrimary","LouchadorGadgetFlipRecoil","Primo005Still","Primo005Still","Primo005Win","Primo005WinLoop","","Primo005Lose","Primo005LoseLoop","Primo005Win","Primo005WinLoop","Primo005WinLoop","Primo005Win","Primo005WinLoop","Primo005Win","Primo005Still","Primo005Still","primo_004_lobby_aura","primo_004_lobby_aura","primo_004_lobby_aura","primo_004_lobby_aura","primo_004_lobby_aura","","","","","","","","","","primo_def_atk","","","","","","","","","primo_def_ulti","","primo_def_ulti_ground_hit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","primo_004_moving","","","primo_004_still","","","","","","","","","","",""
"RosaRosaBrawloween","Rosa","rosa_brawloween_geo.scw","","","rosa_base_cam.scw","","RosaBrawloweenIdle","RosaBrawloweenWalk","RosaBrawloweenAttack","RosaBrawloweenIdle","RosaBrawloweenIdle","RosaBrawloweenAttackRecoil","RosaBrawloweenAttackRecoil2","RosaBrawloweenUltRecoil","RosaBrawloweenUltRecoil2","","RosaBrawloweenIdle","","RosaBrawloweenWin","RosaBrawloweenWinloop","","RosaBrawloweenLose","RosaBrawloweenLoseloop","RosaBrawloweenWin","RosaBrawloweenWinloop","RosaBrawloweenIdle","RosaBrawloweenWin","RosaBrawloweenWinloop","RosaBrawloweenWin","","RosaBrawloweenIdle","RosaBrawloweenIdle","RosaBrawloweenProfile","RosaBrawloweenWinloop","","RosaBrawloweenProfile","RosaBrawloweenIdle","","","","","","Rosa002Still","Rosa002Still","Rosa002Win","Rosa002WinLoop","","Rosa002Lose","Rosa002LoseLoop","Rosa002Win","Rosa002WinLoop","Rosa002WinLoop","Rosa002Win","Rosa002WinLoop","Rosa002Win","Rosa002Still","Rosa002WinLoop","","","","","","","","","Rosa002Projectile","","","","","","rosa_002_atk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BowDudeDemonic","BowDude","bo_demonic_geo.scw","","","bo_base_cam.scw","","BoDemonIdle","BoDemonWalk","BoDemonAttack","BoDemonSecondary","BoDemonSecondary","BoDemonRecoil","","BoDemonRecoil2","","","BoDemonIdle","","BoDemonWin","BoDemonWinloop","","BoDemonLose","BoDemonLoseloop","BoDemonWin","BoDemonWinloop","BoDemonIdle","BoDemonWin","BoDemonWinloop","BoDemonWin","","BoDemonIdle","BoDemonIdle","BoDemonProfile","BoDemonWinloop","","BoDemonProfile","BoDemonIdle","","","","","","Bo002Still","Bo002Still","Bo002Win","Bo002WinLoop","","Bo002Lose","Bo002LoseLoop","Bo002Win","Bo002WinLoop","Bo002WinLoop","Bo002Win","Bo002WinLoop","Bo002Win","Bo002Still","Bo002Still","","","","","","","","","Bo004Projectile","","","","Bo004UltiProjectile","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","MineDemon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
