"TID","UK"
"TID_TEAM_ERROR_29","Не вдалося запросити: гравець уже в команді"
"TID_TEAM_ERROR_30","Не вдалося розпочати гру через нерозглянуте запрошення"
"TID_TEAM_ERROR_31","Не можна змінити подію, поки є нерозглянуте запрошення"
"TID_TEAM_ERROR_32","У команді забагато учасників для цього режиму гри"
"TID_TEAM_ERROR_33","Цей режим гри не підтримує командну гру"
"TID_TEAM_ERROR_34","Останнього боса вже здолано"
"TID_TEAM_ERROR_40","Запит на приєднання до команди вже очікує на розгляд"
"TID_TEAM_ERROR_41","Запит на приєднання до команди відхилено"
"TID_TEAM_ERROR_42","Не вдалося надіслати запит на приєднання до команди: команду не знайдено"
"TID_TEAM_ERROR_43","Одержувач запиту вже не в команді"
"TID_TEAM_ERROR_44","Одержувач запиту не в мережі"
"TID_TEAM_ERROR_45","Не вдалося надіслати запит на приєднання до команди: команда вже набрана"
"TID_TEAM_ERROR_46","Одержувач запиту вимкнув твої повідомлення"
"TID_TEAM_ERROR_47","Приймати запити на приєднання може лише власник кімнати дружнього бою"
"TID_TEAM_ERROR_49","Не вдалося приєднатися. Ця подія не підтримує командну гру."
"TID_TEAM_ERROR_60","Не вдалося запропонувати подію: забагато гравців"
"TID_TEAM_ERROR_61","Не можна запропонувати зміну події, поки є нерозглянуте запрошення"
"TID_TEAM_ERROR_62","Не вдалося запропонувати подію: вона доступна не всім учасникам команди"
"TID_TEAM_ERROR_102","Не вдалося створити команду. У тебе є нерозглянутий запит на приєднання."
"TID_TEAM_ERROR_120","Не вдалося розпочати гру. Можна грати лише на мапі поточного рівня випробування."
"TID_TEAM_ERROR_121","Не вдалося розпочати гру. Спроб не залишилося."
"TID_TEAM_ERROR_122","Цей боєць недоступний у такому матчі"
"TID_TEAM_ERROR_123","Не вдалося розпочати бій. Вибраний боєць цього сезону недоступний у СИЛОВИХ ПЕРЕГОНАХ і випробуваннях."
"TID_TEAM_ERROR_124","Не вдалося почати гру. Вибрану мапу не схвалено для гри з друзями."
"TID_TEAM_ERROR_125","Ця подія не підтримує командну гру"
"TID_SELECT_LOCATION_TITLE","ВИБІР МАПИ"
"TID_SELECT_LOCATION_LOCATIONS","ДРУЖНІЙ БІЙ"
"TID_SELECT_LOCATION_EVENTS","РАНГОВИЙ БІЙ"
"TID_TEAM_SEARCH_INVALID_CODE","Неправильний код команди. Перевір код."
"TID_TEAM_LEAVE","ПОКИНУТИ"
"TID_TEAM_JOIN","ПРИЄДНАТИСЯ ДО КОМАНДИ"
"TID_TEAM_READY_BUTTON_LABEL","Я НАПОГОТОВІ"
"TID_TEAM_CANCEL_READY","Скасувати"
"TID_TEAM_QUIT","ВИЙТИ"
"TID_TEAM_TEAMCODE","Код команди"
"TID_TEAM_TEAMCODE_DESC","Друзі можуть приєднатися до команди за цим кодом"
"TID_TEAM_WAITING_FOR_PLAYER","Запросити за кодом команди"
"TID_TEAM_NO_MEMBER","БОТ"
"TID_TEAM_NO_MEMBER_INVITE","ЗАПРОСИТИ"
"TID_TEAM_NO_MEMBER_CHOOSE_BOT","ВИБРАТИ"
"TID_CONTEXT_MENU_CHOOSE_BOT","ВИБРАТИ"
"TID_CONTEXT_MENU_DISABLE_SLOT","ВИМКНУТИ"
"TID_TEAM_NO_MEMBER_KNOWN_BOT","БОТ"
"TID_TEAMCREATE_EVENT","Мапа"
"TID_TEAM_KICK","Вилучити"
"TID_TEAM_PROFILE","Профіль"
"TID_TEAM_SWAP","Поміняти сторону"
"TID_TEAM_SWAP_HERE","Перейти сюди"
"TID_TEAM_CREATOR_ONLY_FEATURE","Доступно лише засновнику команди"
"TID_TEAM_CREATOR_ONLY_FEATURE_MODES","Змінювати події може лише засновник команди"
"TID_TEAM_PROFILE_BLOCKED","Не можна переглянути зі статусом «Напоготові»"
"TID_TEAM_FEATURE_BLOCKED_WHILE_READY","Недоступно зі статусом «Напоготові»"
"TID_TEAM_PRACTISE_BUTTON_LABEL","ТРЕНУВАННЯ"
"TID_TEAM_PRACTISE_BUTTON_SUBLABEL","з ботами"
"TID_TEAM_LOOT_UNLOCKS","НАГОРОДИ"
"TID_BONUS_REWARD","Бонусна нагорода за три перемоги:"
"TID_BONUS_REWARD_COLLECTED","Бонусну нагороду отримано"
"TID_INFO_SERVER_ERROR_TITLE","Помилка сервера"
"TID_INFO_SERVER_ERROR_BUTTON","Перезавантажити гру"
"TID_RARITY_NAME_0","Шлях трофеїв"
"TID_RARITY_NAME_1","Рідкісний"
"TID_RARITY_NAME_2","Суперрідкісний"
"TID_RARITY_NAME_3","Епічний"
"TID_RARITY_NAME_4","Міфічний"
"TID_RARITY_NAME_5","Легендарний"
"TID_RARITY_NAME_6","Ультрарідкісний"
"TID_RARITY_COLOR_0","B9EAFF"
"TID_RARITY_COLOR_1","68FD58"
"TID_RARITY_COLOR_2","5AB3FF"
"TID_RARITY_COLOR_3","D850FF"
"TID_RARITY_COLOR_4","FE5E72"
"TID_RARITY_COLOR_5","FFF11Ev"
"TID_RARITY_COLOR_6","e1fb2a"
"TID_HERO_SCREEN_DIM_COLOR","164382"
"TID_RANK_UP_POPUP_TITLE","РАНГ ПІДВИЩЕНО!"
"TID_RANK_UP_POPUP_REWARD_BONUS","БОНУС ЗА ПІДВИЩЕННЯ РАНГУ"
"TID_RANK_UP_POPUP_RANK","РАНГ <RANK>"
"TID_NAME_FAILED_TOO_SHORT","Імʼя закоротке!"
"TID_NAME_FAILED_PROFANITIES","Імʼя не прийнято!"
"TID_NAME_FAILED","Імʼя не прийнято!"
"TID_EVENT_STARTED","Відкрито нову мапу для режиму «<GAMEMODE>»! Доступні нові нагороди!"
"TID_SELECT_HERO_INFO_1","<cFF8000>Гравці проти гравців</c>"
"TID_SELECT_HERO_INFO_2","<c2288ff>Гравці проти ботів</c>"
"TID_SELECT_HERO_INFO_3","<c40E0D0>Грати соло з ботами</c>"
"TID_SELECT_HERO_INFO_1_6","<cFF8000>Гравці проти гравців</c>"
"TID_SELECT_HERO_INFO_3_6","<c40E0D0>Грати соло з ботами</c>"
"TID_SELECT_HERO_INFO_FRIENDLY","<c40E0D0>У дружніх боях усі бійці повністю покращені</c>"
"TID_SELECT_HERO_INFO_RANK_REWARD","Щоб отримати очки сили"
"TID_SELECT_HERO_POW_INFO_TITLE","НАГОРОДА В ОЧКАХ СИЛИ"
"TID_SELECT_HERO_POW_INFO_PURCHASE_TITLE","КУПІВЛЯ ОЧОК СИЛИ"
"TID_SELECT_HERO_POW_INFO_BODY","ВИБЕРИ БІЙЦЯ,\nЯКИЙ ОТРИМАЄ ОЧКИ СИЛИ"
"TID_SELECT_HERO_WILD_CARD_POWER_NOT_ASSIGNABLE","Цей боєць уже має максимум очок сили"
"TID_WILDCARD_POWER_PURCHASE_CONFIRM_TITLE","ПІДТВЕРДЬ КУПІВЛЮ"
"TID_WILDCARD_POWER_PURCHASE_CONFIRM_INFO","Очки сили отримає герой <HERO>"
"TID_WILDCARD_POWER_RANKUP_REWARD_CONFIRM_TITLE","ПІДТВЕРДЬ НАГОРОДУ"
"TID_WILDCARD_POWER_RANKUP_REWARD_CONFIRM_INFO","Очки сили отримає герой <HERO>"
"TID_NAVI_1","Магазин"
"TID_NAVI_2","Новини"
"TID_NAVI_3","Бій"
"TID_NAVI_4","Бійці"
"TID_NAVI_5","Клуб"
"TID_NAVI_6","Профіль"
"TID_NAVI_7","Друзі"
"TID_LEADERBOARD_TITLE","ТАБЛИЦІ ЛІДЕРІВ"
"TID_LEADERBOARD_TAB_TOTAL","УСЬОГО\nТРОФЕЇВ"
"TID_LEADERBOARD_TAB_HEROES","БІЙЦІ"
"TID_LEADERBOARD_TAB_CLANS","КЛУБИ"
"TID_LEADERBOARD_TAB_FRIENDS","ДРУЗІ"
"TID_LEADERBOARD_SUBTITLE_1","НАЙКРАЩІ ГРАВЦІ"
"TID_LEADERBOARD_SUBTITLE_2","НАЙКРАЩІ КЛУБИ"
"TID_LEADERBOARD_SUBTITLE_0","НАЙКРАЩІ ГРАВЦІ: <HERO>"
"TID_BATTLE_MAIN_NEXT_REWARD","Наступна нагорода: <VALUE>/<MAX>"
"TID_BATTLE_MAIN_NEXT_PLANET","Нова мапа за: <TIME>"
"TID_BATTLE_MAIN_COLLECTED_COINS","Зібрано: <VALUE>"
"TID_GATCHA_ERROR_NOT_ENOUGH_GOLD","Збери 100 жетонів, щоб отримати скриньку Brawl!"
"TID_GATCHA_INFO","<c0000ff>Скриньки Brawl</c>\n\nВідчиняй скриньки Brawl, щоб знаходити бійців, очки сили, монети або подвоювачі жетонів."
"TID_HERO_INFO_ABILITY_COLOR_1","12b400"
"TID_HERO_INFO_ABILITY_COLOR_2","df1800"
"TID_HERO_INFO_ABILITY_COLOR_3","005bd6"
"TID_HERO_INFO_ARMOR","МІЦНІСТЬ"
"TID_HERO_INFO_ABILITY","АТАКА: <NAME>"
"TID_HERO_INFO_ULTI","СУПЕРДІЯ: <NAME>"
"TID_HERO_INFO_ARMOR_LABEL","МІЦНІСТЬ"
"TID_HERO_INFO_ABILITY_LABEL","АТАКА"
"TID_HERO_INFO_ULTI_LABEL","СУПЕРДІЯ"
"TID_HERO_INFO_BACK","НАЗАД"
"TID_HERO_INFO_UPGRADE","ПОКРАЩЕННЯ"
"TID_HERO_INFO_ABILITY_LEVEL","РІВ. <LEVEL>/<MAXLEVEL>"
"TID_HERO_INFO_CRAFT_HERO","Придбати бійця"
"TID_HERO_INFO_RARITY","<c<COLOR>><NAME></c>"
"TID_HERO_INFO_ITEM_RARITY","<c<COLOR>><NAME></c>"
"TID_HERO_INFO_POWER_BAR_TOOL_TIP","Збирай очки сили в Brawl Pass, на Шляху трофеїв і в пропозиціях магазину, щоб розблокувати наступне покращення"
"TID_HERO_INFO_STAR_POWER_CAN_DROP","Зоряну силу тепер можна знайти в скриньках Brawl"
"TID_HERO_INFO_STAR_POWER_BLOCKED","Доступно для придбання після досягнення <cE05CFF>РІВНЯ СИЛИ <LEVEL></c>"
"TID_HERO_INFO_ACCESSORIES_CAN_DROP","Гаджети тепер можна знайти в скриньках Brawl"
"TID_HERO_INFO_ACCESSORIES_BLOCKED","Доступно для придбання після досягнення <cE05CFF>РІВНЯ СИЛИ <LEVEL></c>"
"TID_HERO_INFO_OVERCHARGE_BLOCKED","Доступно для купівлі після досягнення <cE05CFF>РІВНЯ СИЛИ <LEVEL></c>"
"TID_HERO_INFO_STAR_POWER_LABEL","ЗОРЯНА СИЛА: «<NAME>»"
"TID_HERO_INFO_ACCESSORIES_LABEL","ГАДЖЕТ: «<NAME>»"
"TID_HERO_INFO_ABILITY_DESC","<c<COLOR>><CAPTION></c>\n<BODY>"
"TID_HERO_INFO_DYNAMIC_RARITY_INFO","Рідкісність ХРОМАТИЧНОГО бійця зменшується з кожним сезоном Brawl Pass. Спершу вона ЛЕГЕНДАРНА, потім знижується до МІФІЧНОЇ, а зрештою стає ЕПІЧНОЮ.\n\nЦього сезону рідкісність бійця <BRAWLER>: <RARITY>."
"TID_HERO_INFO_DYNAMIC_RARITY_INFO_TIER","Рідкісність ХРОМАТИЧНОГО бійця зменшується з кожним сезоном Brawl Pass. Спершу вона ЛЕГЕНДАРНА, потім знижується до МІФІЧНОЇ, а зрештою стає ЕПІЧНОЮ.\n\nЩоби боєць <BRAWLER> став доступним для купівлі за хромакредити, потрібно досягти рівня <TIER> сезону <SEASON>."
"TID_HERO_INFO_DYNAMIC_RARITY_INFO_TEASER","Рідкісність ХРОМАТИЧНОГО бійця зменшується з кожним сезоном Brawl Pass. Спершу вона ЛЕГЕНДАРНА, потім знижується до МІФІЧНОЇ, а зрештою стає ЕПІЧНОЮ.\n\nБоєць <BRAWLER> зʼявиться в сезоні <SEASON>."
"TID_HERO_INFO_BUY_ITEM","ПРИДБАТИ"
"TID_HERO_INFO_BUY_ITEM_FREE","БЕЗПЛАТНО"
"TID_HERO_INFO_BUY_MISSING1","БРАКУЄ МОНЕТ: <MISSINGCOINS>"
"TID_HERO_INFO_BUY_MISSING2","Отримати монети, яких бракує?"
"TID_HERO_INFO_BUY_MISSING_GEMS_ONLY","БРАКУЄ САМОЦВІТІВ: <MISSINGGEMS>"
"TID_CONFIRM_PURCHASE_POPOVER","ПІДТВЕРДИТИ КУПІВЛЮ"
"TID_HERO_INFO_SEE_OFFERS","ОТРИМАТИ САМОЦВІТИ"
"TID_HERO_INFO_UNLOCK_GADGETS","РОЗБЛОКУВАТИ ГАДЖЕТИ"
"TID_HERO_INFO_UNLOCK_STARPOWERS","РОЗБЛОКУВАТИ ЗОРЯНІ СИЛИ"
"TID_CONFIRM_GADGET_DIRECT_PURCHASE_TITLE","ПІДТВЕРДИТИ КУПІВЛЮ"
"TID_CONFIRM_STAR_POWER_DIRECT_PURCHASE_TITLE","ПІДТВЕРДИТИ КУПІВЛЮ"
"TID_CONFIRM_GEAR_DIRECT_PURCHASE_TITLE","ПІДТВЕРДИТИ КУПІВЛЮ"
"TID_DIRECT_PURCHASE_GEM_PACKS_TITLE","ОТРИМАТИ ЩЕ САМОЦВІТИ"
"TID_DIRECT_PURCHASE_GEM_PACKS_DESC","Отримай <cC5F724>самоцвіти (ще <REQUIREDGEMS>),</c> щоб придбати монети, яких бракує"
"TID_DIRECT_PURCHASE_GEM_PACKS_ALL_BUTTON","УСІ НАБОРИ САМОЦВІТІВ"
"TID_DIRECT_PURCHASE_GEM_PACKS_RECOMMENDED_TAG","РЕКОМЕНДОВАНО"
"TID_MATCHMAKE_FAILED_5","Не вдалося підібрати бійців: подія завершилась"
"TID_MATCHMAKE_FAILED_7","Не вдалося підібрати бійців: учасник команди відʼєднався"
"TID_MATCHMAKE_FAILED_9","Не вдалося підібрати бійців: починаються технічні роботи"
"TID_MATCHMAKE_FAILED_11","Не вдалося підібрати бійців: учасник команди вийшов із підбору"
"TID_MATCHMAKE_FAILED_12","Не вдалося підібрати бійців: останнього боса вже здолано"
"TID_MATCHMAKE_FAILED_14","У СИЛОВИХ ПЕРЕГОНАХ можна грати лише за бійців із зоряною силою"
"TID_MATCHMAKE_FAILED_15","На сьогодні бої СИЛОВИХ ПЕРЕГОНІВ закінчилися"
"TID_MATCHMAKE_FAILED_19","Вибраний боєць цього сезону недоступний у СИЛОВИХ ПЕРЕГОНАХ і випробуваннях"
"TID_SUDDEN_DEATH_TIMER","<n1>"
"TID_OWN_TEAM_WINNING","Синя команда переможе за:"
"TID_ENEMY_TEAM_WINNING","Червона команда переможе за:"
"TID_OWN_TEAM","СИНЯ КОМАНДА"
"TID_ENEMY_TEAM","ЧЕРВОНА КОМАНДА"
"TID_COUNTDOWN","ВІДЛІК"
"TID_HERO_LIST_UNLOCKED","<COUNT>/<TOTAL>"
"TID_HERO_LIST_LABEL","БІЙЦІ"
"TID_HERO_LIST_DO_GATCHA","Відчинити скриньку Brawl"
"TID_HERO_TIME_UNTIL_RELEASE","Зʼявиться за <TIME>"
"TID_HERO_LIST_COMING_UP","Подробиці можна буде переглянути після виходу бійця"
"TID_SKIN_INFO_TIME_UNTIL_RELEASE","Зʼявиться за <TIME>"
"TID_SKIN_INFO_","Нагородний скін Supercell ID"
"TID_SKIN_INFO_1","ПЕРШОПРОХОДЕЦЬ\nОБЛІКОВИЙ ЗАПИС СТВОРЕНО ДО 2019 РОКУ"
"TID_SKIN_INFO_2","SUPERCELL ID"
"TID_SKIN_INFO_3_TEASER","Незабаром..."
"TID_SKIN_INFO_3_AVAILABLE","\nМожна придбати впродовж обмеженого часу"
"TID_SKIN_INFO_3_NOT_AVAILABLE","\nНаразі недоступно для купівлі"
"TID_SKIN_INFO_3_HERO_NEEDED","\nСпершу розблокуй бійця, щоб придбати цей скін"
"TID_SKIN_INFO_CAMPAIGN_1_AVAILABLE","Святкуй Бравлосвята в цьому яскравому скіні!"
"TID_SKIN_INFO_CAMPAIGN_1_NOT_AVAILABLE","Скін Бравлосвят"
"TID_SKIN_INFO_CAMPAIGN_BRAWLIDAYS_2018","РІЧНИЦЯ 2018"
"TID_SKIN_INFO_CAMPAIGN_3_AVAILABLE","Святкуй Бравловін у цьому яскравому скіні!"
"TID_SKIN_INFO_CAMPAIGN_3_NOT_AVAILABLE","Скін Бравловіну"
"TID_SKIN_INFO_LEGENDARY","Зоряний скін"
"TID_SKIN_INFO_CLUB_LEAGUE","КЛУБНА СЕРІЯ"
"TID_LEGENDARY_TROPHIES","Зоряні очки"
"TID_SKIN_REWARD_TITLE_1","НАГОРОДНИЙ СКІН"
"TID_SKIN_REWARD_INFO_1","Новий скін розблоковано! Дякуємо за матчі в Brawl Stars у 2018 році"
"TID_SKIN_REWARD_TITLE_2","НАГОРОДНИЙ СКІН"
"TID_SKIN_REWARD_INFO_2","Новий скін розблоковано як нагороду за під’єднання облікового запису до Supercell ID"
"TID_SKIN_REWARD_OK","ЗАБРАТИ"
"TID_HERO_REWARD_TITLE_1","ПОВІДОМЛЕННЯ ВІД ПІДТРИМКИ"
"TID_HERO_REWARD_INFO_1","Підтримка Brawl Stars дарує тобі нового бійця."
"TID_SKIN_REWARD_TITLE_0","ПОВІДОМЛЕННЯ ВІД ПІДТРИМКИ"
"TID_SKIN_REWARD_INFO_0","Підтримка Brawl Stars дарує тобі новий скін."
"TID_SKIN_REWARD_TITLE_3","ПОВІДОМЛЕННЯ ВІД ПІДТРИМКИ"
"TID_SKIN_REWARD_INFO_3","Підтримка Brawl Stars дарує тобі новий скін."
"TID_REWARD_TITLE","ПОВІДОМЛЕННЯ ВІД ПІДТРИМКИ"
"TID_REWARD_INFO","У тебе є подарунок від підтримки Brawl Stars"
"TID_REWARD_INFO_RESOURCE_FIRSTWINS","Зоряні жетони забрано: <AMOUNT>"
"TID_REWARD_INFO_RESOURCE_GOLD","Жетони забрано: <AMOUNT>"
"TID_REWARD_INFO_RESOURCE_LEGENDARYTROPHIES","Зоряні очки забрано: <AMOUNT>"
"TID_REWARD_OK","ЗАБРАТИ"
"TID_HERO_REWARD_OK","ЗАБРАТИ"
"TID_RANK_POPUP_TITLE","ШЛЯХ ТРОФЕЇВ"
"TID_RANK_POPUP_NEXT_GOAL","НАСТУПНА ЦІЛЬ"
"TID_RANK_POPUP_COLLECT","ЗІБРАТИ"
"TID_RANK_POPUP_SEASON_END_REWARD","Нагорода Ліги трофеїв"
"TID_RANK_POPUP_SEASON_END_REWARD_OWN","<cffff00>ТВОЯ НАГОРОДА ЛІГИ ТРОФЕЇВ</c>"
"TID_RANK_POPUP_TOTAL_INFO","Здобувай трофеї, щоб відкривати нагороди й досягати нових ліг! Загальна кількість трофеїв складається з трофеїв усіх твоїх бійців."
"TID_RANK_POPUP_SEASON_END_TITLE","СКРИНЬКА ВІДКРИЄТЬСЯ ЗА"
"TID_RANK_POPUP_SEASON_END_INFO","Коли Ліга трофеїв завершиться, твої 10 бійців із кількістю трофеїв, що перевищує <DECAYSTART> шт., втратять частину трофеїв. Втрата компенсується блінгами, за які можна придбати косметичні предмети."
"TID_RANK_POPUP_HILITE_CAPTION_3","РОЗБЛОКУВАТИ ГЕРОЯ: <HERO>"
"TID_RANK_POPUP_HILITE_CAPTION_4","РОЗБЛОКУВАТИ СКІН: <SKIN>"
"TID_RANK_POPUP_HILITE_CAPTION_13","НОВА ПОДІЯ: «<NAME>»"
"TID_RANK_POPUP_HILITE_CAPTION_10","МЕГАСКРИНЬКА"
"TID_RANK_POPUP_HILITE_CAPTION_SLOT_4","КОМАНДНІ ПОДІЇ"
"TID_RANK_POPUP_HILITE_CAPTION_SLOT_3","ЩОДЕННІ ПОДІЇ"
"TID_RANK_POPUP_HILITE_CAPTION_SLOT_7","ОСОБЛИВІ ПОДІЇ"
"TID_RANK_INFO_POPUP_SEASON_REWARDS_1","Нагороди Ліги трофеїв у блінгах"
"TID_RANK_INFO_POPUP_SEASON_REWARDS_2","Нагороди за рангом"
"TID_RANK_INFO_POPUP_SEASON_REWARDS_3","Нагороди за очками"
"TID_RANK_INFO_POPUP_POINTS_LABEL_1","Трофеї"
"TID_RANK_INFO_POPUP_LABEL_STAR_POINTS","Нагорода в блінгах"
"TID_RANK_INFO_POPUP_LABEL_END_TROPHIES","Трофеї після завершення Ліги трофеїв"
"TID_RANK_INFO_POPUP_SEASON_REWARD_ENTRY","<START> - <END>"
"TID_DAILY_COINS_COLLECTED","Зібрано"
"TID_TEAM_BATTLE","СТВОРИТИ"
"TID_TEAM_UNREADY","не готовий"
"TID_TEAM_WAITING_WHILE_READY","Ти напоготові!\nОчікуємо інших."
"TID_GATCHA_SCREEN_NEW_HERO","<c<COLOR>><OWNEDCOUNT>/<SETSIZE> (бійці <NAME>)</c>"
"TID_GATCHA_SCREEN_NEW_ITEM","<c<COLOR>><OWNEDCOUNT>/<SETSIZE> (боєць <NAME>)</c>"
"TID_GATCHA_SCREEN_BOXES_REMAINING","<AMOUNT>"
"TID_GATCHA_SCREEN_OK","Круто!"
"TID_GATCHA_SCREEN_TAP","Тиць! Тиць!"
"TID_GATCHA_SCREEN_TICKET_DROP_HEADER","КВИТКИ ПОДІЇ"
"TID_GATCHA_SCREEN_TICKET_DROP_BONUS","БОНУС!"
"TID_GATCHA_SCREEN_TICKET_DROP_DESC_ONGOING","Діє ще <TIME>"
"TID_GATCHA_SCREEN_TICKET_DROP_DESC_FUTURE","Початок за <TIME>"
"TID_GATCHA_SCREEN_TICKET_DROP_NOTE","<EMPTY>"
"TID_GATCHA_SCREEN_COIN_DOUBLER_HEADER","ПОДВОЮВАЧІ ДОСВІДУ"
"TID_GATCHA_SCREEN_COIN_DOUBLER_VALUE","+ <AMOUNT>"
"TID_GATCHA_SCREEN_COIN_DOUBLER_DESC","Отримуй удвічі більше жетонів за бої!"
"TID_GATCHA_SCREEN_GOLD_DROP_TITLE","МОНЕТИ"
"TID_GATCHA_SCREEN_GOLD_DROP_DESC","Використовуй монети, щоб покращувати бійців"
"TID_GATCHA_SCREEN_GEM_DROP_TITLE","САМОЦВІТИ"
"TID_GATCHA_SCREEN_GEM_DROP_DESC","Купуй за самоцвіти скриньки, скіни та інші товари в магазині"
"TID_GATCHA_SCREEN_HERO_POWER_TITLE","ОЧКИ СИЛИ"
"TID_GATCHA_SCREEN_HERO_POWER_LEVEL_UP_UNLOCKED","Покращення розблоковано!"
"TID_GATCHA_SCREEN_HERO_POWER_LEVEL_UP_AVAILABLE","Доступне покращення!"
"TID_GATCHA_SCREEN_VANITY_ITEM_DROP_TITLE_52","ЗНАЧОК"
"TID_GATCHA_SCREEN_VANITY_ITEM_DROP_DESC_52","Виражай себе колекційними значками!"
"TID_GATCHA_SCREEN_VANITY_ITEM_DROP_TITLE_68","СПРЕЙ"
"TID_GATCHA_SCREEN_VANITY_ITEM_DROP_DESC_68","Виражай себе колекційними спреями!"
"TID_GATCHA_SCREEN_VANITY_ITEM_DROP_TITLE_76","НОВИЙ ТИТУЛ ГРАВЦЯ"
"TID_GATCHA_SCREEN_BOX_COUNTER_BONUS","БОНУС"
"TID_GATCHA_SCREEN_STAR_POINT_DROP_TITLE","ЗОРЯНІ ОЧКИ"
"TID_GATCHA_SCREEN_STAR_POINT_DROP_DESC","Купуй за зоряні очки особливі предмети в магазині"
"TID_GATCHA_SCREEN_RECRUIT_TOKEN_DROP_TITLE","КРЕДИТИ"
"TID_GATCHA_SCREEN_RECRUIT_TOKEN_DROP_DESC","Кредити розблоковують нових бійців!"
"TID_GATCHA_SCREEN_CHROMATIC_TOKEN_DROP_TITLE","ХРОМАКРЕДИТИ"
"TID_GATCHA_SCREEN_CHROMATIC_TOKEN_DROP_DESC","Купуй хроматичних бійців за хромакредити"
"TID_NAVI_BLOCKED_1","Не можна змінити сторінку, поки ти напоготові!"
"TID_LEG_TRO_MIG_INFO_SHORT","Отримано <cff00ff>зоряні очки</c>: <AMOUNT>!"
"TID_BUTTON_CLAIM","ЗАБРАТИ"
"TID_LEG_TRO_MIG_POPUP_TITLE","Представляємо: <cff00ff> зоряні очки</c>"
"TID_LEG_TRO_MIG_INFO","У Brawl Stars зʼявилися зоряні очки! Їх можна заробити, якщо здобути 500 і більше трофеїв для бійця. Наприкінці сезону надлишкову частину трофеїв, що понад 500, буде перетворено на зоряні очки.\n\nЗоряні очки також можна отримати за підвищення рангів бійців. Зоряні очки за раніше підвищені ранги бійців: <AMOUNT>!"
"TID_TEAM_MEMBER_INFO_READY","<NAME> чекає, поки інші будуть готові"
"TID_TEAM_MEMBER_INFO_NOT_READY","<NAME> ще готується до гри"
"TID_TEAM_MEMBER_INFO_SELF_READY","Не можна змінити бійця, поки ти напоготові!"
"TID_TEAM_CHANGE_EVENT_BLOCKED","Не можна змінити подію, поки ти напоготові!"
"TID_TEAM_TOGGLE_PRACTISE_BLOCKED","Не можна змінити це, поки ти напоготові!"
"TID_TEAM_GATCHA_BLOCKED","Не можна відчинити скриньку, поки ти напоготові!"
"TID_TEAM_NO_MEMBER_INFO","Запрошувати в команду може лише засновник"
"TID_TEAM_INFO_TEAM_CODE","Поділися цим кодом із друзями й запроси їх до своєї команди!\n\nНатисни ще раз, щоб скопіювати до буфера обміну."
"TID_FREEZER","Заморожувач"
"TID_GAME_OVER","Бій завершено"
"TID_LEVEL","рів. <LVL>"
"TID_PLAYERS_IN_MM","У підборі бійців уже є гравці!"
"TID_ONLINE_INFO","Гравці в мережі: <ONLINE>, у підборі: <MATCHMAKE>, у бою: <BATTLES>"
"TID_INPUT_NAME","Введи імʼя тут"
"TID_LEADERBOARD_YOUR_SCORE","Твій результат"
"TID_LEADERBOARD_YOUR_RANK","Твій ранг"
"TID_LEADERBOARD_HIGHEST_SCORE","Твій найкращий результат"
"TID_LEADERBOARD_LOCAL","ЛОКАЛЬНИЙ (<COUNTRY>)"
"TID_REGION_0","МІЖНАРОДНИЙ"
"TID_REGION_1","АЗІЯ"
"TID_SET_REGION_RESULT_0","Регіон успішно змінено на: <REGION>"
"TID_SET_REGION_RESULT_1","Не вдалося змінити регіон: не можна змінити регіон, поки ти в клубі"
"TID_SET_REGION_RESULT_2","Не вдалося змінити регіон: не можна змінити регіон, поки ти в команді"
"TID_VICTORY_CONDITION_COINRUSH_TITLE","Захоплення самоцвітів"
"TID_VICTORY_CONDITION_COINRUSH_TEXT","Захопи й утримуй 10 самоцвітів!"
"TID_BATTLE_END_MY_TEAM","Твоя команда"
"TID_BATTLE_END_ENEMY_TEAM","Команда противника"
"TID_BACK","НАЗАД"
"TID_NOT_ENOUGH_GOLD","Бракує монет! Збирай більше на Шляху трофеїв і в Brawl Pass"
"TID_UNLOCK_SKIN_ERROR_1","Бракує самоцвітів"
"TID_BOT_1","Бот 1"
"TID_BOT_2","Бот 2"
"TID_BOT_3","Бот 3"
"TID_BOT_4","Бот 4"
"TID_BOT_5","Бот 5"
"TID_BOT_6","Бот 6"
"TID_BOT_7","Бот 7"
"TID_BOT_8","Бот 8"
"TID_BOT_9","Бот 9"
"TID_BOT_10","Бот 10"
"TID_BOT_11","Бот 11"
"TID_CRAFT_HERO_TITLE","Придбати бійця"
"TID_CRAFT_HERO_BUTTON_LABEL","Придбати"
"TID_UNLOCK_SKIN_TITLE","Придбати скін"
"TID_SKIN_COMING_SOON","Скін ще недоступний"
"TID_UNLOCK_SKIN_BUTTON_LABEL","Придбати"
"TID_HERO_LIST_TOTAL_TROPHIES","Усього трофеїв"
"TID_TOP_TOOL_TIP_TOKENS","<c00ccff>Жетони</c> відкривають нагороди Brawl Pass.\n\nЗбирай жетони у квестах, нових подіях і боях."
"TID_TOP_TOOL_TIP_GEMS","<c0ed12d>Самоцвіти</c> потрібні для купівлі бійців, скінів та інших предметів у магазині.\n\nОтримуй самоцвіти в Brawl Pass і Pro Pass або купуй їх у магазині за реальні гроші."
