TID_SPEC_ABI_HEAL_FOREST,SỨC SỐNG THỰC VẬT
TID_SPEC_ABI_HEAL_FOREST_DESC,Rosa sẽ hồi <c00cc00><VALUE1></c> máu mỗi giây khi đang ở trong bụi cây.
TID_ROSA_WEAPON,BÀN TAY ĐÁ
TID_ROSA_ULTI,ÁO GIÁP DÂY LEO
TID_ROSA_WEAPON_DESC,Rosa tung ra liên hoàn đấm với sức mạnh vượt trội và kỹ thuật hoàn hảo!
TID_ROSA_ULTI_DESC,"Rosa sẽ mặc lên mình một lớp dây leo rắn chắc trong <time> giây, và giảm <num>% mọi sát thương nhận được."
TID_STAT_DAMAGE_PER_CLUSTER,Sát thương mỗi chùm
TID_STAT_DAMAGE_PER_SHURIKEN,Sát thương mỗi phi đao ở tầm gần
TID_STAT_INVISIBLE,Bom khói
TID_STAT_SHIELD,Khiên
TID_SELECT_HERO_INFO_RAID_BOSS,<c2288ff>Người chơi đấu Trùm</c>
TID_EVENT_POPUP_GMV_LABEL_RAID_BOSS,Ba người chơi đối đầu TRÙM RÔ BỐT
TID_GAME_MODE_10,CUỘC CHIẾN VỚI TRÙM
TID_RAID_BOSS_INTRO_TEXT,Tiêu diệt Trùm
TID_RAID_1,Đấu trường Rô Bốt Trùm
TID_GAME_MODE_10_DESC,"Bạn có đủ khả năng tiêu diệt tên Rô bốt Trùm hùng mạnh không? Hãy hợp lực cùng hai đồng đội và triệt hạ tên quái vật này. Bạn có thể quay lại trận chiến miễn là vẫn còn một đồng đội sống sót. Nếu tất cả đều ngã xuống thì trận chiến sẽ kết thúc!\n\nCuộc chiến với Trùm sẽ tăng mức Thử thách, từ Thường đến Điên cuồng, mỗi lần bạn tiêu diệt thành công Trùm."
TID_TEAM_MATE_GONE,<ccccc00>Đồng đội đã bị hạ gục!</c>
TID_ALL_TEAM_MATES_GONE,<cee0000>Cả hai đồng đội đã bị hạ gục!</c>
TID_RAID_BOSS_ENRAGE_1,<c99bb22bb>Trùm đã NỔI GIẬN!</c>
TID_RAID_BOSS_ENRAGE_2,<c99bb2222>Trùm đã NỔI ĐIÊN!</c>
TID_RAID_BOSS_ENRAGE_3,<c99bbbb22>Trùm đã NỔI CƠN CUỒNG NỘ!</c>
TID_RAID_BOSS_DIFFICULTY_0,Bình thường
TID_RAID_BOSS_DIFFICULTY_1,Khó
TID_RAID_BOSS_DIFFICULTY_2,Bậc thầy
TID_RAID_BOSS_DIFFICULTY_3,Cao thủ
TID_RAID_BOSS_DIFFICULTY_4,Điên cuồng
TID_RAID_BOSS_DIFFICULTY_5,Điên cuồng II
TID_RAID_BOSS_DIFFICULTY_6,Điên cuồng III
TID_RAID_BOSS_DIFFICULTY_7,Điên cuồng IV
TID_RAID_BOSS_DIFFICULTY_8,Điên cuồng V
TID_RAID_BOSS_DIFFICULTY_9,Điên cuồng VI
TID_RAID_BOSS_DIFFICULTY_10,Điên cuồng VII
TID_RAID_BOSS_DIFFICULTY_11,Điên cuồng VIII
TID_RAID_BOSS_DIFFICULTY_12,Điên cuồng IX
TID_RAID_BOSS_DIFFICULTY_13,Điên cuồng X
TID_RAID_BOSS_DIFFICULTY_14,Điên cuồng XI
TID_RAID_BOSS_DIFFICULTY_15,Điên cuồng XII
TID_RAID_BOSS_DIFFICULTY_16,Điên cuồng XIII
TID_RAID_BOSS_DIFFICULTY_17,Điên cuồng XIV
TID_RAID_BOSS_DIFFICULTY_18,Điên cuồng XV
TID_RAID_BOSS_DIFFICULTY_19,Điên cuồng XVI
TID_RAID_BOSS_DIFFICULTY_20,CÁC BẠN CHƠI QUÁ HAY!
TID_MODES_NEW_EVENT,SỰ KIỆN MỚI!
TID_MODES_NEW_EVENTS,SỰ KIỆN MỚI!
TID_TEAM_MEMBER_STATUS_NEW_0,<c999999>NGOẠI TUYẾN</c>
TID_TEAM_MEMBER_STATUS_NEW_1,ĐANG CHIẾN ĐẤU
TID_TEAM_MEMBER_STATUS_NEW_2,VẮNG MẶT
TID_TEAM_MEMBER_STATUS_NEW_3,<EMPTY>
TID_TEAM_MEMBER_STATUS_NEW_4,ĐANG GHÉP TRẬN
TID_TEAM_MEMBER_STATUS_NEW_5,CUỐI MÀN HÌNH
TID_TEAM_MEMBER_STATUS_NEW_6,<c999999>NGOẠI TUYẾN</c>
TID_TEAM_MEMBER_STATUS_NEW_7,ĐANG XEM
TID_TEAM_MEMBER_STATUS_NEW_8,ĐANG LUYỆN TẬP
TID_TEAM_MEMBER_STATUS_NEW_9,ĐANG VIẾT...
TID_TEAM_MEMBER_STATUS_NEW_10,ĐANG CHỌN CHIẾN BINH BRAWL
TID_TEAM_MEMBER_STATUS_NEW_11,TÌM KIẾM SỰ KIỆN
TID_TEAM_MEMBER_STATUS_NEW_12,ĐANG TÌM THÀNH VIÊN
TID_TEAM_MEMBER_STATUS_NEW_13,ĐANG XEM NHIỆM VỤ
TID_TEAM_MEMBER_STATUS_NEW_READY,SẴN SÀNG
TID_BUTTON_SPECTATE,XEM
TID_NEW_EVENT_IN,Sự kiện mới sau: <TIME>
TID_NEW_EVENT_NOW,CÓ SỰ KIỆN MỚI!
TID_NEW_EVENT_ICON_PREFIX,Tiếp theo:
TID_NEW_EVENT_ICON_SUFFIX,sau <TIME>
TID_SHOP_TITLE,CỬA HÀNG
TID_SELECT_EVENT_TITLE,CHỌN SỰ KIỆN
TID_HERO_LIST_LABEL_NEW,CHIẾN BINH BRAWL <c53C5F7><COUNT>/<TOTAL></c>
TID_KEY_COUNTER,<VALUE><c7984a8>/<MAX></c>
TID_ONLINE_TAB_1,NGƯỜI CHƠI ĐANG TRỰC TUYẾN
TID_ONLINE_TAB_2,TRÒ CHUYỆN ĐỘI
TID_ONLINE_TAB_3,TRÒ CHUYỆN CÂU LẠC BỘ
TID_ALLIANCE_CHAT_TAB_NOT_IN_ALLIANCE,Tham gia một Câu lạc bộ để truy cập Trò chuyện Câu lạc bộ
TID_TEAM_CHAT_TAB_NOT_IN_TEAM,Lập đội với những người chơi khác để truy cập Trò chuyện Đội
TID_NO_BAND_GO_TO_BANDS,Vào Câu lạc bộ
TID_SHARE_TEAM_CODE_NO_CODE,Chờ tạo mã trước khi chia sẻ!
TID_TEAM_TEAMCODE_YOURS,Mã đội của bạn
TID_BACK_BUTTON,RỜI ĐỘI
TID_BARLEY_WIZARD_SKIN,PHÁP SƯ BARLEY
TID_EVENT_LOCKED_TROPHIES,Đạt thêm cúp để mở khóa Sự kiện
TID_EVENT_LOCKED_PRO_LEAGUE,Bạn cần có tối thiểu một Chiến binh Brawl đã sở hữu Sức mạnh Sao để mở khóa sự kiện này
TID_SHOTGUN_STAR_SKIN,NGÔI SAO SHELLY
TID_PARTY_MODE_TITLE,TRẬN CHIẾN GIAO HỮU
TID_BUTTON_PARTY_MODE,TRẬN CHIẾN GIAO HỮU
TID_LEAVE_TEAM_TITLE,ĐỘI
TID_LEAVE_TEAM_TXT,RỜI ĐI
TID_PARTY_MODE_DESC,"Các trận chiến giao hữu sẽ không thưởng cúp, nhưng bạn có thể luyện tập bất kỳ sự kiện thường nào hoặc tạo một cuộc thi giao hữu!\n\nTất cả Chiến binh Brawl được nâng lên cấp tối đa trong trận chiến Giao hữu."
TID_HEROES_TO_BE_UNLOCKED,CHIẾN BINH BRAWL ĐỂ MỞ KHÓA
TID_NITA_REINDEER_SKIN,NITA MŨI ĐỎ
TID_PENNY_ELF_SKIN,TRỢ THỦ TÍ HON PENNY
TID_DYNAMIKE_SANTA_SKIN,MIKE ÔNG GIÀ NOEL
TID_DYNAMIKE_CHEF_SKIN,MIKE DÍ DỎM
TID_BROCK_BOOMBOX_SKIN,BROCK LOA KHỦNG
TID_EVENT_SLOT_NAME_1,VƠ VÉT NGỌC
TID_EVENT_SLOT_NAME_2,SINH TỒN
TID_EVENT_SLOT_NAME_3,SỰ KIỆN HẰNG NGÀY
TID_EVENT_SLOT_NAME_4,SỰ KIỆN NHÓM
TID_EVENT_SLOT_NAME_6,SỰ KIỆN NHÓM 2
TID_EVENT_SLOT_NAME_7,SỰ KIỆN ĐẶC BIỆT
TID_EVENT_SLOT_NAME_8,SỰ KIỆN ĐƠN
TID_EVENT_SLOT_NAME_9,SO TÀI SỨC MẠNH
TID_EVENT_SLOT_NAME_14,GIẢI ĐẤU SỨC MẠNH
TID_PENNY_ELF_SKIN_SHOP,TRỢ THỦ TÍ HON\nPENNY
TID_DYNAMIKE_SANTA_SKIN_SHOP,MIKE\nÔNG GIÀ NOEL
TID_DYNAMIKE_CHEF_SKIN_SHOP,MIKE\nĐẦU BẾP
TID_BROCK_BOOMBOX_SKIN_SHOP,BROCK\nLOA KHỦNG
TID_NITA_REINDEER_SKIN_SHOP,NITA\nMŨI ĐỎ
TID_EVENT_STARTS_IN,Sự kiện bắt đầu sau: <TIME>
TID_UNDERTAKER_HAT_SKIN,MORTIS MŨ CHÓP
TID_CREATE_ROOM_CODE,TẠO MÃ ĐỘI
TID_EVENT_LOCKED_TEAM,Sự kiện này không hỗ trợ chơi theo Đội!
TID_EVENT_PREVIEW_TITLE,THÔNG TIN SỰ KIỆN
TID_EVENT_POPUP_GAME_MODE_6_SOLO_DUO,Sống sót vượt qua Đấu trường
TID_GAME_MODE_6_SOLO_DUO_DESC,Đơn thương độc mã hoặc sát cánh cùng đồng đội trong Đấu trường Sinh tồn! Ai sống sót cuối cùng sẽ là người chiến thắng.\n\nThu thập Khối Sức mạnh để tăng Máu và sát thương Tấn công. Các đám mây độc sẽ từ từ xâm lấn đấu trường nên hãy liên tục di chuyển nhé!
TID_GAME_MODE_6_SOLO_DUO_DESC_PRC,Chiến đấu một mình hoặc phối hợp với một đồng đội trong Đấu trường Sinh tồn!\n\nThu thập các Khối Sức mạnh để tăng Máu và sát thương Tấn công.
TID_GAME_MODE_6_SOLO_ONLY_DESC_PRC,Hãy chuẩn bị sẵn sàng chiến đấu trong Đấu trường Sinh tồn!\n\nThu thập các Khối Sức mạnh để tăng Máu và sát thương Tấn công.
TID_GAME_MODE_20_DESC_PRC,Hạ gục đội đối thủ trong chế độ tranh tài Knockout - thắng 2 trên 3 hiệp! Hãy cẩn thận: những Chiến binh Brawl bị hạ gục sẽ không thể tiếp tục chiến đấu cho đến khi hiệp đấu kết thúc.\n\nĐội nào thắng 2 hiệp trước sẽ giành chiến thắng.
TID_INVITE_PENDING,MỜI
TID_JOIN_REQUEST_PENDING,GIA NHẬP
TID_GOAL_MATCH_OVER,<name> đã ghi điểm!\nTrận đấu kết thúc
TID_GOLDRUSH_XMAS_1,Pháo đài tuyết
TID_GOLDRUSH_XMAS_2,Giáng sinh lạnh lẽo
TID_GOLDRUSH_XMAS_3,Đấu cầu tuyết
TID_GOLDRUSH_XMAS_4,Tảng đá đóng băng
TID_GOLDRUSH_XMAS_5,Vây hãm tuyết phủ
TID_GOLDRUSH_XMAS_6,Gói quà
TID_GOLDRUSH_XMAS_7,Trang trí Giáng sinh
TID_GOLDRUSH_XMAS_8,Hồ băng
TID_GOLDRUSH_XMAS_9,Pha lê lạnh lẽo
TID_GOLDRUSH_XMAS_10,Săn kho báu
TID_RAID_BOSS_DIFFICULTY_CAP,"Cấp độ Khó của bạn đã được giảm xuống để vừa sức với các thành viên trong Đội. Khi độ khó giảm xuống, việc hoàn thành cấp độ sẽ không giúp bạn tiến gần hơn đến mốc hoàn thành Nhiệm vụ."
TID_RAID_BOSS_DIFFICULTY,Thử thách:
TID_BOSS_3,Xỉ vả Thậm tệ
TID_BOSS_4,Ngày của Đội
TID_BOSS_5,Lật Bàn
TID_BOSS_6,Lập đội Săn bắn
TID_COOP_3,Phòng thủ Hầm báu
TID_COOP_4,Vùng hoang vu
TID_COOP_5,Vận chuyển Thất bại
TID_COOP_6,Giữ An toàn
TID_RAID_2,Vùng Máy móc
TID_RAID_3,Sắt Vụn
TID_BUTTON_INVITE_PLAYER,MỜI
TID_BUTTON_JOIN_TEAM,YÊU CẦU GIA NHẬP
TID_BUTTON_TEAM_FULL,ĐẦY
TID_DECIMAL_MARK,","
TID_RARITY_HEADER_0,PHẦN THƯỞNG CỘT MỐC CÚP
TID_RARITY_HEADER_1,HIẾM
TID_RARITY_HEADER_2,SIÊU HIẾM
TID_RARITY_HEADER_3,QUÝ HIẾM
TID_RARITY_HEADER_4,THẦN THOẠI
TID_RARITY_HEADER_5,HUYỀN THOẠI
TID_RARITY_HEADER_6,SẮC MÀU
TID_SETTINGS_KAKAO,BẠN BÈ KAKAO
TID_HERO_INFO_LEVEL_WITH_NUMBER,SỨC MẠNH <NUMBER>
TID_HERO_INFO_LEVEL_WITH_NUMBER_LONG,CẤP SỨC MẠNH <NUMBER>
TID_IN_YOUR_TEAM,ĐỘI CỦA BẠN
TID_TEAM_REQEST_JOIN_FAIL_TEAM_FULL,Không thể gửi yêu cầu gia nhập. Đội của bạn đã đủ người
TID_EVENT_ENDS_IN,Sự kiện kết thúc sau: <TIME>
TID_EVENT_LOCKED_CAN_CLAIM_WARNING,Mở khóa sự kiện từ màn hình Cột mốc cúp
TID_EVENT_LOCKED_CAN_CLAIM,Chúc mừng! Bạn có thể mở khóa Sự kiện bây giờ từ màn hình Cột mốc cúp
TID_BATTLE_ROYALE_3D,Thung lũng Tử thần
TID_BATTLE_ROYALE_7D,Thung lũng Đá
TID_WANTED_4D,Hố tử thần
TID_GOLDRUSH_3D,Hang Nấm
TID_WEEKEND_OFFER,Ưu đãi cuối tuần
TID_EXCLUSIVE_OFFER,Ưu đãi độc quyền
TID_EPIC_OFFER,Đại ưu đãi
TID_MEGA_OFFER,Ưu đãi khủng
TID_FEATURED_OFFER,Ưu đãi nổi bật
TID_TAIPEI_OFFER,Ưu đãi Game Show Đài Bắc
TID_RAID_BOSS_ENRAGE_4,<c99ffffff>Trùm đã HÓA THẦN!</c>
TID_RAID_BOSS_ENRAGE_WARNING_1,Trùm trở nên <cffbb22bb>GIẬN DỮ</c> trong:
TID_RAID_BOSS_ENRAGE_WARNING_2,Trùm trở nên <cffbb2222>RẤT GIẬN DỮ</c> trong:
TID_RAID_BOSS_ENRAGE_WARNING_3,Trùm trở nên <cffbbbb22>CỰC GIẬN DỮ</c> trong:
TID_RAID_BOSS_ENRAGE_WARNING_4,Trùm sẽ <cffffffff>HÓA THẦN</c> trong:
TID_HERO_INFO_LOCKED_INFO_SHORT,Mở Hộp Brawl để mở khóa
TID_ROBO_WARS_1,Cuộc vây hãm Thụy Điển
TID_ROBO_WARS_INTRO_TEXT,Tiêu diệt căn cứ đối phương
TID_ROBO_WARS_SCRAP,Bu lông:
TID_ROBO_WARS_OWN_ROBO_SPAWNED_0,<c998888ff>Đội của bạn</c> đã lắp ráp xong một Rô bốt Vây hãm!
TID_ROBO_WARS_ENEMY_ROBO_SPAWNED_0,<c99dd3333>Đội đối phương</c> đã lắp ráp xong một Rô bốt Vây hãm!
TID_ROBO_WARS_OWN_ROBO_SPAWNED_1,<c998888ff>Đội của bạn</c> đã xây dựng một <c99bb22bb>Rô bốt GIẬN DỮ</c>!
TID_ROBO_WARS_ENEMY_ROBO_SPAWNED_1,<c99dd3333>Đội kẻ thù</c> đã xây dựng một <c99bb22bb>Rô bốt GIẬN DỮ</c>!
TID_ROBO_WARS_OWN_ROBO_SPAWNED_2,<c998888ff>Đội của bạn</c> đã xây dựng một <c99bb2222>Rô bốt RẤT GIẬN DỮ</c>!
TID_ROBO_WARS_ENEMY_ROBO_SPAWNED_2,<c99dd3333>Đội kẻ thù</c> đã xây dựng một <c99bb2222>Rô bốt RẤT GIẬN DỮ</c>!
TID_ROBO_WARS_OWN_ROBO_SPAWNED_3,<c998888ff>Đội của bạn</c> đã xây dựng một <c99bbbb22>Rô bốt CỰC GIẬN DỮ</c>!
TID_ROBO_WARS_ENEMY_ROBO_SPAWNED_3,<c99dd3333>Đội kẻ thù</c> đã xây dựng một <c99bbbb22>Rô bốt CỰC GIẬN DỮ</c>!
TID_ROBO_WARS_SCRAP_AMOUNT,<v1>/<v2>
TID_BRAWL_BOX_INFO,Chiến đấu và thu thập <c33a5d7><COUNT> Thẻ</c> để mở Hộp Brawl này
TID_STAR_BOX_INFO,Thu thập <cff8E1b><COUNT> Thẻ Sao</c> từ chiến thắng đầu tiên ở các sự kiện khác nhau để mở Hộp Lớn này.
TID_ALLIANCE_LOCATION,VỊ TRÍ CÂU LẠC BỘ
TID_LOCATION_TITLE,CHỌN VỊ TRÍ
TID_SETTINGS_LOCATION,VỊ TRÍ
TID_REGION_INT,Quốc tế
TID_POPUP_CHANGE_LOCATION_TITLE,Thay đổi vị trí?
TID_POPUP_CHANGE_LOCATION,Bạn có chắc muốn đổi vị trí không? Vị trí chỉ có thể được đổi mỗi ngày một lần
TID_CHANGE_LOCATION_RESULT_0,Đổi vị trí thành <COUNTRY>
TID_CHANGE_LOCATION_RESULT_1,Chưa thể đổi vị trí. Hãy thử lại sau <TIME>
TID_SKIN_INFO_CAMPAIGN_2_AVAILABLE,Chào mừng Tết Nguyên Đán với trang phục lễ hội này!
TID_SKIN_INFO_CAMPAIGN_2_NOT_AVAILABLE,Trang phục Tết Nguyên Đán
TID_SKIN_INFO_CAMPAIGN_5_AVAILABLE,Đón mừng Tết Nguyên Đán với trang phục lễ hội này!
TID_SKIN_INFO_CAMPAIGN_5_NOT_AVAILABLE,Trang phục Tết Nguyên Đán
TID_SKIN_INFO_CAMPAIGN_LUNAR_BRAWL_2019,Trang phục Tết Nguyên Đán 2019
TID_SKIN_INFO_CAMPAIGN_LUNAR_BRAWL_2020,Trang phục Tết Nguyên Đán 2020
TID_SKIN_INFO_CAMPAIGN_LUNAR_BRAWL_2021,Trang phục Tết Nguyên Đán 2021
TID_CACTUS_PINK_SKIN,SPIKE ANH ĐÀO
TID_CACTUS_PINK_SKIN_SHOP,SPIKE\nANH ĐÀO
TID_TRICKSHOT_DUDE,RICO
TID_TRICKSHOT_GOLD_SKIN,RICO GIÀU CÓ
TID_TRICKSHOT_GOLD_SKIN_SHOP,RICO\nGIÀU CÓ
TID_SKIN_POPCORN_RICO,RICO BỎNG NGÔ
TID_SKIN_POPCORN_RICO_SHOP,RICO\nBỎNG NGÔ
TID_SKIN_FOOTBULL,BULL GHI ĐIỂM
TID_SKIN_FOOTBULL_SHOP,BULL\nGHI ĐIỂM
TID_SKIN_DUMPLING_DARRYL,DARRYL HÁ CẢO
TID_SKIN_DUMPLING_DARRYL_SHOP,DARRYL\nHÁ CẢO
TID_SKIN_LUNAR_BROCK,BROCK MÚA LÂN
TID_SKIN_LUNAR_BROCK_SHOP,BROCK\nMÚA LÂN
TID_SKIN_LUNAR_COLT,CẤM VỆ QUÂN COLT
TID_SKIN_LUNAR_COLT_SHOP,CẤM VỆ QUÂN\nCOLT
TID_SKIN_VALENTINE_POCO,POCO DẠ KHÚC
TID_SKIN_VALENTINE_POCO_SHOP,POCO\nDẠ KHÚC
TID_BANKHEIST_9,Nhanh như chớp
TID_BANKHEIST_10,Đấu trường Lăn
TID_BANKHEIST_11,Xoay và Bắn
TID_BANKHEIST_12,Cây Cầu Rất Xa
TID_BANKHEIST_13,Góc Khuất
TID_WANTED_10,Tiệc hồ bơi
TID_WANTED_11,Chuồng Bò tót
TID_WANTED_12,Excel
TID_WANTED_13,Bánh đa tầng
TID_WANTED_14,Mùa khô
TID_NOT_ENOUGH_LEGENDARY_TROPHIES,Không đủ Điểm Sao!
TID_NOT_ENOUGH_CLUB_COINS,Không có đủ Xu Câu lạc bộ!
TID_NOT_ENOUGH_GOLD_TITLE,Không đủ Xu!
TID_NOT_ENOUGH_GOLD_TEXT,Mua <NUM> Xu còn thiếu?
TID_NOT_ENOUGH_GOLD_TEXT_ONE,Mua số Xu còn thiếu?
TID_TEAM_INVITATION_POPUP_MUTE_ALL,CHẶN MỌI LỜI MỜI TRONG 1 GIỜ TỚI
TID_TEAM_INVITATION_SETTING_MUTE,Chặn mọi lời mời gia nhập nhóm
TID_BUTTON_TEAM_DND,MIỄN LÀM PHIỀN
TID_SHOP_VALENTINE_OFFER,Ưu đãi Lễ Tình Nhân
TID_SHOP_BRAWLER_BUNDLE,Gói Chiến binh Brawl
TID_SHOP_SEASONAL_SKIN_OFFER,Ưu đãi Trang phục theo mùa
TID_SHOP_WELCOME_OFFER,Ưu đãi Chào mừng
TID_SHOP_BRAWLER_PACK,Gói Chiến binh Brawl
TID_SHOP_STAR_POWER_OFFER,Ưu đãi Sức mạnh Sao
TID_SHOP_UPGRADE_BUNDLE,Gói Nâng cấp
TID_SHOP_NEW_BRAWLER_OFFER,Ưu đãi Chiến binh Brawl Mới
TID_SHOP_NEW_SKIN_RELEASE,Phát hành Trang phục Mới
TID_SHOP_NEW_SKIN_OFFER,Ưu đãi Trang phục Mới
TID_HEROES_COMING_SOON,CHIẾN BINH BRAWL SẮP XUẤT HIỆN
TID_RARITY_NAME_0_UPPER,PHẦN THƯỞNG CỘT MỐC CÚP
TID_RARITY_NAME_1_UPPER,HIẾM
TID_RARITY_NAME_2_UPPER,SIÊU HIẾM
TID_RARITY_NAME_3_UPPER,QUÝ HIẾM
TID_RARITY_NAME_4_UPPER,THẦN THOẠI
TID_RARITY_NAME_5_UPPER,HUYỀN THOẠI
TID_RARITY_NAME_6_UPPER,SẮC MÀU
TID_STARTER_PACK_5,Gói cấp 50
TID_STARTER_PACK_6,Gói cấp 75
TID_STARTER_PACK_7,Gói cấp 100
TID_STARTER_PACK_8,Gói cấp 125
TID_WHIRLWIND,CARL
TID_WHIRLWIND_SHORT_DESC,KẺ GÂY SÁT THƯƠNG
TID_WHIRLWIND_DESC,Carl ném chiếc Cuốc chim như boomerang. Tuyệt chiêu của cậu ấy là quay xe đẩy điên cuồng và sát thương những ai ở gần.
TID_WHIRLWIND_WEAPON,CUỐC CHIM
TID_WHIRLWIND_ULTI,QUAY ĐUÔI
TID_WHIRLWIND_WEAPON_DESC,"Carl ném chiếc Cuốc chim như boomerang. Sau khi Cuốc chim quay trở lại, Carl sẽ được ném tiếp."
TID_WHIRLWIND_ULTI_DESC,Carl sẽ điên cuồng quay vòng trong vài giây và sát thương những đối thủ ở gần.
TID_STAT_DAMAGE_EACH_WAY,Sát thương khi trúng
TID_STAT_DAMAGE_PER_SWING,Sát thương mỗi lần quay
TID_HINT_43,"Khi Cuốc chim của Carl đánh trúng một vật cản, nó sẽ bật trở lại để Carl có thể nhanh tay ném tiếp."
TID_SPEC_ABI_PROJECTILE_SPEED,NÉM MẠNH
TID_SPEC_ABI_PROJECTILE_SPEED_DESC,"Carl ném Cuốc chim nhanh hơn <c00cc00><VALUE1>%</c>, như vậy chiếc cuốc sẽ bay đi và quay về nhanh hơn."
TID_SPEC_ABI_SUPERSPEED,QUAY
TID_SPEC_ABI_SUPERSPEED_DESC,Xe đẩy của Carl sẽ đi chuyển nhanh hơn khi anh ta dùng tuyệt chiêu!
TID_HERO_SORTING_TROPHIES,Số Cúp ít nhất
TID_HERO_SORTING_TROPHIES_DESC,Số Cúp nhiều nhất
TID_HERO_SORTING_RARITY,Theo Độ quý hiếm
TID_HERO_SORTING_RARITY_DESC,Theo Độ quý hiếm giảm dần
TID_HERO_SORTING_POWER_DESC,CẤP SỨC MẠNH
TID_HERO_SORTING_RANKUP,Gần nhất đến Hạng tiếp theo
TID_MUTE_INVITES_LABEL,Miễn làm phiền:
TID_GEM_BALANCE_TITLE,Số dư Ngọc
TID_JP_BUTTON,Số dư Ngọc
TID_GEM_BALANCE,Số dư Ngọc hiện tại: <total>\n\nNgọc Miễn phí:<free>\n\nNgọc đã mua: <paid>
TID_IAP_INFO_TEXT,"청약철회는 구매일로부터 7일 이내 가능(단, 사용시 철회불가) 법정대리인 동의 없는 미성년자명의 결제 시 취소가능"
TID_SETTINGS_LINE,LINE
TID_AVATAR_MESSAGE_TEXT_GEM_REVOKE,"Một giao dịch được thực hiện trên tài khoản này đã được hoàn tiền vào <DATE> hoặc giao dịch đó đã bị xác định là lừa đảo. Nếu đã yêu cầu hoàn tiền, việc hoàn tiền sẽ được thực hiện theo phương thức thanh toán được sử dụng để đặt hàng. Tổng cộng <X> ngọc đã bị trừ để khớp với giá trị của (các) giao dịch đang được đề cập. Việc này có thể làm số dư ngọc của bạn bị âm. Bạn có thể khôi phục số dư ngọc dương bằng cách đặt mua thêm hoặc thu thập tài nguyên trong trò chơi."
TID_HERO_DISABLED_CURRENTLY,Chiến binh Brawl hiện tại không khả dụng
TID_SKIN_FARMER_POCO,POCO NÔNG DÂN
TID_SKIN_FARMER_POCO_SHOP,POCO\nNÔNG DÂN
TID_UNDERTAKER_NIGHTWITCH_SKIN,PHÙ THỦY BÓNG ĐÊM MORTIS
TID_UNDERTAKER_NIGHTWITCH_SKIN_SHOP,PHÙ THỦY BÓNG ĐÊM\nMORTIS
TID_FRIEND_ADDED,<FRIEND> đã trở thành bạn bè!
TID_IAP_REFRESHER_BUNDLE,Gói làm mới
TID_IAP_REFRESHER_PACK,Gói làm mới
TID_IAP_WOMENS_DAY_1,Sức mạnh nữ giới
TID_IAP_WOMENS_DAY_2,Chúc mừng ngày Quốc tế Phụ nữ
TID_IAP_LIMITED_TIME_DISCOUNT,Giảm giá có thời gian giới hạn
TID_IAP_GOLDENWEEK_PACK,Gói Tuần lễ vàng
TID_IAP_GOLDENWEEK_PACK_DESC,Chào mừng Tuần lễ vàng
TID_LIMITED_AVAILABILITY,Mua nhanh kẻo hết
TID_ROBO_WARS_2,Máy móc xung đột
TID_ROBO_WARS_3,Nhà máy ào ạt
TID_ROBO_WARS_4,Tấn công lắp ráp
TID_ROBO_WARS_5,Đột kích căn cứ
TID_ROBO_WARS_6,Rô bốt chiến đấu
TID_ROBO_WARS_7,Đai ốc & Bu lông
TID_ROBO_WARS_8,Cần chút lắp ráp
TID_ROBO_WARS_9,Vây hãm nhà máy
TID_GOLDRUSH_12,Bụi kim cương
TID_GOLDRUSH_13,Tứ phương
TID_GOLDRUSH_14,Vị trí thuận lợi
TID_GOLDRUSH_15,Nhảy lò cò
TID_GOLDRUSH_16,Đếm lùi
TID_GOLDRUSH_17,Vận tốc thoát ly
TID_GOLDRUSH_18,Liên kết ngầm
TID_BATTLE_ROYALE_13,Địa điểm ma quái
TID_BATTLE_ROYALE_14,Khoảng sân trong nhà
TID_BATTLE_ROYALE_15,Đồng hồ mặt trời
TID_BATTLE_ROYALE_16,Siêu sao
TID_BATTLE_ROYALE_17,Con đường tăm tối
TID_BATTLE_ROYALE_18,Bộ máy đồng hồ
TID_BALL_8,Cú bắn bật tường
TID_BALL_9,Hộp đồ chơi
TID_BALL_10,Đá phạt đền
TID_BALL_11,Thay người
TID_BANKHEIST_14,Chiến trường Royale
TID_HERO_DISABLED_CURRENTLY_PRINT,Chiến binh Brawl hiện tại không khả dụng. Hãy thử lại sau!
TID_NEXT_ROBO_IN,Cuộc Vây hãm tiếp theo diễn ra sau:
TID_ROBO_WARS_OWN_ROBO_SPAWNED,<c998888ff>TẤN CÔNG</c> với <c998888ff>RÔ BỐT VÂY HÃM</c> cấp <num>!
TID_ROBO_WARS_ENEMY_ROBO_SPAWNED,<c99dd3333>PHÒNG THỦ</c> khỏi <c99dd3333>RÔ BỐT VÂY HÃM</c> cấp <num>!
TID_HERO_DISABLED_CURRENTLY_START_GAME,Chiến binh Brawl hiện tại không khả dụng. Hãy thử Chiến binh Brawl khác!
TID_HERO_COMING_SOON,Chiến binh Brawl sắp xuất hiện!
TID_NO_ROBOS_SPAWNED,Hòa! Không có VÂY HÃM
TID_LAST_ROBO_IN,Cuộc Vây hãm cuối cùng diễn ra sau:
TID_ROBO_LEVEL,RÔ BỐT VÂY HÃM CẤP <num>
TID_BATTLE_ROYALE_19,Tảng đá lang thang
TID_BATTLE_ROYALE_20,Sao Băng
TID_BATTLE_ROYALE_21,Mắt Bão
