"Name","Logic","ChainStatusEffect","ChainStatusEffect2","StatusToApplyOnEnd","UseColorMod","RedAdd","GreenAdd","BlueAdd","FullScreenAdd","FullScreenMul","FullScreenEffectFile","FullScreenEffectName","StartEffect","LoopedEffect","LoopedEffectRemoveType","TriggerEffect","EndEffect"
"MarksmanHitPoison_E","MarksmanHitPoison_E","","","","TRUE","0","100","0","","","","","","poisoned_001","end","",""
"MarksmanHitPoison_L","MarksmanHitPoison_L","","","","TRUE","0","150","0","","","","","","poisoned_001","end","",""
"BarleyHitPoisonNanoPower","BarleyHitPoisonNanoPower","","","","TRUE","0","100","0","","","","","","poisoned_001","end","",""
"EmzHitPoisonNanoPower","EmzHitPoisonNanoPower","","","","TRUE","0","100","0","","","","","","poisoned_001","end","",""
"MarksmanHitSlowdown","MarksmanHitSlowdown","","","","TRUE","115","115","115","","","","","","slowed","end","",""
"DaredevilWeaponSpeedup","DaredevilWeaponSpeedup","","","","","","","","","","","","","","","",""
"DaredevilSpUltiChargeRate","DaredevilSpUltiChargeRate","","","","","","","","","","","","","buff_extraulticharge","remove","",""
"RogueHitBurn_S","RogueHitBurn_S","","","","TRUE","80","12","0","","","","","","poisoned_002","end","",""
"RogueHitBurn_E","RogueHitBurn_E","","","","TRUE","90","18","0","","","","","","poisoned_002","end","",""
"RogueHitBurn_L","RogueHitBurn_L","","","","TRUE","110","22","0","","","","","","poisoned_002","end","",""
"DracoNanoHitBurn","DracoNanoHitBurn","","","","TRUE","110","22","0","","","","","","poisoned_002","end","",""
"RogueHitBurnHold_S","RogueHitBurnHold_S","","","","TRUE","90","18","0","","","","","","poisoned_002","end","",""
"RogueHitBurnHold_E","RogueHitBurnHold_E","","","","TRUE","90","18","0","","","","","","poisoned_002","end","",""
"RogueHitBurnHold_L","RogueHitBurnHold_L","","","","TRUE","110","22","0","","","","","","poisoned_002","end","",""
"PlaceholderParryStatusEffect","PlaceholderParryStatusEffect","","","","","0","0","0","","","","","","buff_shield","end","",""
"OneHPInvulnerability","OneHPInvulnerability","","","","","","","","","","","","","buff_shield_boss_invincible","remove","",""
"VecnaStunSmash","VecnaStunSmash","","","","","","","","","","","","","stunned","end","",""
"BrawlBallDeathStun","BrawlBallDeathStun","","","","","","","","","","","","","dodgeball_stun","remove","",""
"ColtOverchargedProjectileBuff","ColtOverchargedProjectileBuff","","","","TRUE","110","22","0","","","","","","","","",""
"EmzOverchargedPoison","EmzOverchargedPoison","","","","TRUE","0","100","0","","","","","","emz_def_oc_poison","end","",""
"MenderWeaponEnemyTether","MenderWeaponEnemyTether","","","","","","","","","","","","","","remove","",""
"MenderWeaponAllyTether","MenderWeaponAllyTether","","","","","","","","","","","","","","remove","",""
"MenderGadgetHeal","MenderGadgetHeal","","","","","","","","","","","","","heal_over_time_3","end","",""
"MenderStarPowerAllyDamageBuff","MenderStarPowerAllyDamageBuff","","","","","","","","","","","","","buff_damage_up","remove","",""
"MenderStarPowerEnemyDamageDebuff","MenderStarPowerEnemyDamageDebuff","","","","","","","","","","","","","buff_damage_down","remove","",""
"MenderUltiFear","MenderUltiFear","","","","","","","","","","","","","fear","end","",""
"MenderUltiSlow","MenderUltiSlow","","","","","","","","","","","","","slowed","end","",""
"MenderUltiOverchargedDamageReceiveBoost","MenderUltiOverchargedDamageReceiveBoost","","","","","","","","","","","","","gen_debuff_curse","end","",""
"ColtSpeedBuddySp","ColtSpeedBuddySp","","","","","","","","","","","","","buff_speedup","end","",""
"EmzBuddySp2","EmzBuddySp2","","","","","","","","","","","","","buff_shield","end","",""
"FrankBuddySp1","FrankBuddySp1","","","","","","","","","","","","","heal_over_time_3","end","",""
"EmzBuddySp1","EmzBuddySp1","","","","","","","","","","","","","buff_damage_down","end","",""
"MortisBuddySp2","MortisBuddySp2","","","","","0","0","0","","","","","","buff_shield","remove","",""
"CactusPoppingBuddy","CactusPoppingBuddy","CactusPoppingBuddyStatusEffect","","","","","","","","","","","","lumi_def_ulti_explosion_03_restriction","remove","",""
"CactusUltiExplosionSlow","CactusUltiExplosionSlow","","","","","","","","","","","","","slowed","end","",""
"ShotgunGirlClayPigeonsBuddyProjectileStatusEffect","ShotgunGirlClayPigeonsBuddyProjectileStatusEffect","","","","","","","","","","","","","slowed","end","",""
"GunslingerDoubleShotProjectileStatusEffect","GunslingerDoubleShotProjectileStatusEffect","","","","","","","","","","","","","slowed","end","",""
"HammerDudeGadgetSkillNoiseCancelStatusEffect","HammerDudeGadgetSkillNoiseCancelStatusEffect","","","","","0","0","0","","","","","","gadget_frank_headphones","remove","",""
"HammerDudeGadgetSkillAttractionStatusEffectBuddy","HammerDudeGadgetSkillAttractionStatusEffectBuddy","","","","","","","","","","","","","slowed","remove","",""
"ShotgunGirlGadgetSkillImmunityShieldBuddy","ShotgunGirlGadgetSkillImmunityShieldBuddy","","","","","0","0","0","","","","","","buff_shield","remove","",""
"ShelllyBuddySp2","ShelllyBuddySp2","","","","","0","0","0","","","","","","buff_speedup","remove","",""
"MegaBossGhostIncorporeal","MegaBossGhostIncorporeal","","","","TRUE","255","255","255","","","","","","","","",""
"BombHeistSafeDamageImmunity","BombHeistSafeDamageImmunity","","","","","","","","","","","","","buff_shield_bomb_heist","end","",""
"SwarmNoEffectWaitTime5Seconds","SwarmNoEffectWaitTime5Seconds","","","","","","","","","","","","","","","",""
"SwarmNoEffectWaitTime3Seconds","SwarmNoEffectWaitTime3Seconds","","","","","","","","","","","","","","","",""
"FrankBuddyShield","FrankBuddyShield","","","","","","","","","","","","","buff_shield","remove","",""
"MummyGadgetSkillAcidSprayStatusEffectBuddy","MummyGadgetSkillAcidSprayStatusEffectBuddy","","","","","","","","","","","","","slowed","remove","",""
"MummyUltiAreaSlow","MummyUltiAreaSlow","","","","","","","","","","","","","slowed","end","",""
"CactusPoppingBuddyStatusEffect","CactusPoppingBuddyStatusEffect","","","","","","","","","","","","","lumi_def_ulti_explosion_03_restriction","remove","",""
"MegaBossMosquitoPoison","MegaBossMosquitoPoison","","","","TRUE","0","100","0","","","","","","poisoned_001","end","",""
"MortisGadgetSkillBatsStatusEffect","MortisGadgetSkillBatsStatusEffect","","","","","0","0","0","","","","","","","","",""
"MortisGadgetSkillBatsStatusEffectBuddy","MortisGadgetSkillBatsStatusEffectBuddy","","","","","0","0","0","","","","","","","","",""
"MummyGadgetSkillAcidSprayStatusEffect","MummyGadgetSkillAcidSprayStatusEffect","","","","","","","","","","","","","","remove","",""
"SpeederSpeedBoost","SpeederSpeedBoost","","","","","","","","","","","","","mode_sd_car_trail","","",""
"ShadowdemonCloneBulletSlow","ShadowdemonCloneBulletSlow","","","","","","","","","","","","","slowed","end","",""
"ShadowdemonSPMinionSpeed","ShadowdemonSPMinionSpeed","","","","","","","","","","","","","buff_speedup","end","",""
"BoxSpeedBoost","BoxSpeedBoost","","","","","","","","","","","","mode_sd_buff_speed_up","buff_speedup","end","",""
"BoxShield","BoxShield","","","","","0","0","0","","","","","mode_sd_buff_shield_up","buff_shield","remove","",""
"ShamanSp2AmmoReloadBoost","ShamanSp2AmmoReloadBoost","","","","","0","0","0","","","","","","buff_speedup","remove","",""
"BaseballGadgetSkillHealStatusEffect","BaseballGadgetSkillHealStatusEffect","","","","","","","","","","","","","heal_over_time_3","end","",""
"BaseballDamageAreaSlowStatusEffect","BaseballDamageAreaSlowStatusEffect","","","","","","","","","","","","","slowed","end","",""
"BaseballDamageAreaBuddySlowStatusEffect","BaseballDamageAreaBuddySlowStatusEffect","","","","","","","","","","","","","slowed","end","",""
"CrowBuddySp1","CrowBuddySp1","","","","","","","","","","","","","buff_speedup","","",""
"BullGadget1","BullGadget1","","","","","","","","","","","","","bull_def_buddy_gadget1_mark","end","",""
"BoxDamageBuff","BoxDamageBuff","","","","","","","","","","","","mode_sd_buff_damage_up","","","",""
"BoxHealthBuff","BoxHealthBuff","","","","","","","","","","","","mode_sd_buff_health_up","","","",""
"LeonBuddyInvisibilityStatusEffect","LeonBuddyInvisibilityStatusEffect","","","","","","","","","","","","","buff_speedup","","",""
"BullDudeStompGadget","BullDudeStompGadget","","","","","","","","","","","","","slowed","end","",""
"RedirecterProjectilePoison","RedirecterProjectilePoison","","","","TRUE","0","100","0","","","","","","poisoned_001","end","",""
"RedirecterStarPowerCurrentHPPoison","RedirecterStarPowerCurrentHPPoison","","","","TRUE","0","100","0","","","","","","","","",""
"RedirecterUltiPoison","RedirecterUltiPoison","","","","TRUE","0","100","0","","","","","","poisoned_001","end","",""
"RedirecterPetUltiPoison","RedirecterPetUltiPoison","","","","TRUE","0","100","0","","","","","","poisoned_001","end","",""
"RedirecterStarPowerSpawnPetOnTargetDeath","RedirecterStarPowerSpawnPetOnTargetDeath","","","","","","","","","","","","","","","",""
"RedirecterPoisonTrailComponentStatus","RedirecterPoisonTrailComponentStatus","","","","","","","","","","","","najia_def_gadget1_mark","","","",""
"RedirecterPoisonTrailDamageStatus","RedirecterPoisonTrailDamageStatus","","","","TRUE","0","100","0","","","","","","poisoned_001","end","",""
"BullDudeGadget2","BullDudeGadget2","","","","","0","0","0","","","","","","buff_speedup","remove","",""
"BullGadget1Heal","BullGadget1Heal","","","","","","","","","","","","","gen_debuff_curse","remove","",""
"CrowPoisonGadget","CrowPoisonGadget","","","","TRUE","100","100","0","","","","","","slowed","end","",""
"MegaBossDragonCrowBurn","MegaBossDragonCrowBurn","","","","TRUE","150","150","0","","","","","","poisoned_002","end","",""
"MegaBossDragonCrowBurnStrong","MegaBossDragonCrowBurn","","","","TRUE","160","100","0","","","","","","poisoned_002","end","",""
"NinjaBuddySp1","NinjaBuddySp1","","","","","","","","","","","","","","end","",""
"BoulderStun","BoulderStun","","","","","","","","","","","","","stunned","end","",""
"SlowdownModifierSpeedReduceCharacter","SlowdownModifierSpeedReduceCharacter","","","","","","","","","","","","","","","",""
"SlowdownModifierSpeedReduceProjectile","SlowdownModifierSpeedReduceProjectile","","","","","","","","","","","","","modifier_slowdown","remove","",""
"SandstormModifierVision","SandstormModifierVision","","","","","","","","80;50;10","-150;-150;-150","sc/effects_brawler2.sc","sandstorm_screen_shadowed","","","","",""
"NanoSandstormVision","NanoSandstormVision","","","","","","","","","","","","","","","",""
"CrowInstadotActivateEffect","CrowInstadotActivateEffect","","","","","","","","","","","","","crow_def_buddy_gadget1","remove","",""
"CrowPoisonDaggerSlow","CrowPoisonDaggerSlow","","","","","","","","","","","","","slowed","end","",""
"ShadowSmashMinionSpeed","ShadowSmashMinionSpeed","","","","","","","","","","","","","","","",""
"GladiatorFire","GladiatorFire","","","","TRUE","0","100","0","","","","","","damian_def_atk3_enemy","end","",""
"DragonRiderUltiSpeed","DragonRiderUltiSpeed","","","","","","","","","","","","","","end","",""
"MagicalGirlUltiStatus","MagicalGirlUltiStatus","","","","","","","","","","","","","","end","",""
"MagicalGirlUltiStatusOvercharged","MagicalGirlUltiStatusOvercharged","","","","","","","","","","","","","","end","",""
"MagicalGirlUltiAttackBuff","MagicalGirlUltiAttackBuff","","","","","","","","","","","","","","","",""
"MagicalGirlLevitation","MagicalGirlLevitation","","","","","","","","","","","","","janet_height_pillar","remove","",""
"JetpackGirlLevitation","JetpackGirlLevitation","","","","","","","","","","","","","","remove","",""
"JetpackGirlLevitationOvercharged","JetpackGirlLevitationOvercharged","","","","","","","","","","","","","","remove","",""
"MagicalGirlShieldOvercharged","MagicalGirlShieldOvercharged","","","","","","","","","","","","","darryl_def_oc_ulti_shield","remove","",""
"GladiatorFireHitReadyVfx","GladiatorFireHitReadyVfx","","","","","","","","","","","","","damian_def_atk3_ready","remove","",""
"SwarmCooldownTimer","SwarmCooldownTimer","","","","","","","","","","","","","","","",""
"GladiatorSpeedBoost","GladiatorSpeedBoost","","","","","","","","","","","","","buff_speedup","remove","",""
"RockSpeedUpMovement","RockSpeedUpMovement","","","","","","","","","","","","","","","",""
"RockWeaponDamageBoost","RockWeaponDamageBoost","","","","","","","","","","","","","bolt_def_atk","remove","",""
"RockUltiDamageReduction","RockUltiDamageReduction","","","","","","","","","","","","","buff_shield","remove","",""
"RockUltiOverchargedWallPass","RockUltiOverchargedWallPass","","","","","","","","","","","","","","","",""
"RockUltiStarPowerImmunityCC","RockUltiStarPowerImmunityCC","","","","","","","","","","","","","cc_immunity_shield","","",""
"RockUltiTrailStatus","RockUltiTrailStatus","","","","TRUE","150","150","0","","","","","","poisoned_002","end","",""
"RockProjectileMagnetStatus","RockProjectileMagnetStatus","","","","","","","","","","","","","finx_def_ulti_prj_buff_fast","remove","",""
"EnragerGadgetBuddySpeedBoost","EnragerGadgetBuddySpeedBoost","","","","","","","","","","","","","buff_speedup","remove","",""
"EnragerGadgetBuddyCcImmunity","EnragerGadgetBuddyCcImmunity","","","","","","","","","","","","","cc_immunity_shield","remove","",""
"SwarmCardSelectionSlow","SwarmCardSelectionSlow","","","","","","","","","","","","","","","",""
"GladiatorGadgetHeal","GladiatorGadgetHeal","","","","","","","","","","","","","heal_over_time_3","end","",""
"FinxTowerUntargetable","FinxTowerUntargetable","","","","","","","","","","","","","","","",""
"MegaBossFinxTowerTimebendSpeedReduce","MegaBossFinxTowerTimebendSpeedReduce","","","","","","","","","","","","","","","",""
"SwarmPetrolFireL1","SwarmPetrolFireL1","","","","TRUE","150","150","0","","","","","","poisoned_002","end","",""
"SwarmPetrolFireL2","SwarmPetrolFireL2","","","","TRUE","150","150","0","","","","","","poisoned_002","end","",""
"SwarmPetrolFireL3","SwarmPetrolFireL3","","","","TRUE","150","150","0","","","","","","poisoned_002","end","",""
"PercenterGadgetCharm","PercenterGadgetCharm","","","","","","","","","","","","","taunt_effect","end","",""
"PercenterGadgetCharmNano","PercenterGadgetCharmNano","","","","","","","","","","","","","taunt_effect","end","",""
"MegaBossFinxTowerHeal","MegaBossFinxTowerHeal","","","","","","","","","","","","","","","",""
"KatanaKidHide","KatanaKidHide","","","","","0","0","0","","","","","","","","",""
"KatanaKidSpeedBoostAttackMaxCharge","KatanaKidSpeedBoostAttackMaxCharge","","","","","","","","","","","","","buff_speedup","end","",""
"KatanaKidGadgetSkillFishNetStatusEffect","KatanaKidGadgetSkillFishNetStatusEffect","","","","","","","","","","","","","lumi_def_ulti_explosion_03_restriction","remove","",""
"PercenterStarPowerChargeDamageReductionBase","PercenterStarPowerChargeDamageReductionBase","","","","","","","","","","","","","buff_shield","remove","",""
"PercenterStarPowerChargeDamageReductionHit","PercenterStarPowerChargeDamageReductionHit","","","","","","","","","","","","","buff_shield","remove","",""
"FutureGirlTurretAreaStatusEffect","FutureGirlTurretAreaStatusEffect","","","","","","","","","","","","","","remove","",""
"MegaBossFinxStunSmash","MegaBossFinxStunSmash","","","","","","","","","","","","","stunned","end","",""
"FutureGirlMainAttackNoop","FutureGirlMainAttackNoop","","","","","","","","","","","","","","end","",""
"MechaDudeUltiSpawnExplosionHyperChargedStatusEffect","BulletstormLastShotSlow","","","","","","","","","","","","","slowed","end","",""
"ArcadePluggedInSpeedBoostSelf","ArcadePluggedInSpeedBoostSelf","","","","","","","","","","","","","buff_speedup","remove","",""
"ArcadePluggedInSpeedBoostAllies","ArcadePluggedInSpeedBoostAllies","","","","","","","","","","","","","buff_speedup","remove","",""
"MechaDudeBuddyGadgetHealAuraStatus","MechaDudeBuddyGadgetHealAuraStatus","","","","","","","","","","","","","heal_over_time_3","end","",""
"MechaDudeHyperchargeSlow","MechaDudeHyperchargeSlow","","","","","","","","","","","","","slowed","end","",""
"FutureGirlSP1TurretSlowEffect","FutureGirlSP1TurretSlowEffect","","","","","","","","","","","","","slowed","end","",""
"TrickshotDudeProjectileBigBulletSplitBuddySlow","TrickshotDudeProjectileBigBulletSplitBuddySlow","","","","","","","","","","","","","slowed","end","",""
"TrickshotDudeProjectileBigBulletSplitBuddySlowSmall","TrickshotDudeProjectileBigBulletSplitBuddySlowSmall","","","","","","","","","","","","","slowed","end","",""
"TrickShotDudeStarpowerAndNormalSpeedBoostBuddyStatus","TrickShotDudeStarpowerAndNormalSpeedBoostBuddyStatus","","","","","","","","","","","","","buff_speedup","end","",""
"PowerLevelerExtraUltiCharge","PowerLevelerExtraUltiCharge","","","","","","","","","","","","","buff_extraulticharge","remove","",""
"PowerLevelerExtraUltiChargeBuddy","PowerLevelerExtraUltiChargeBuddy","","","","","","","","","","","","","buff_extraulticharge","remove","",""
"PowerLevelerGadgetShield","PowerLevelerGadgetShield","","","","","","","","","","","","","surge_def_gadget2_shield","remove","",""
"PowerLevelerGadgetShieldBuddy","PowerLevelerGadgetShieldBuddy","","","","","","","","","","","","","surge_def_buddy_gadget2_shield","remove","",""
"PowerLevelerSpeedBurstOnUltiAt2","PowerLevelerSpeedBurstOnUltiAt2","","","","","","","","","","","","","buff_speedup","remove","",""
"RocketGirlGadgetSkillLandingSpeedBoost","RocketGirlGadgetSkillLandingSpeedBoost","","","","","","","","","","","","","buff_speedup","remove","",""
"RocketGirlSp1UltiSpeedBoost","RocketGirlSp1UltiSpeedBoost","","","","","","","","","","","","","buff_speedup","remove","",""
"RocketGirlSP2AimVisual","RocketGirlSP2AimVisual","","","","","","","","","","","","","brock_def_buddy_sp2","remove","",""
"FutureGirlGadgetPreventHealEffect","FutureGirlGadgetPreventHealEffect","","","","","","","","","","","","","heal_suppress","end","",""
"FutureGirlGadgetProjectileSlow","FutureGirlGadgetProjectileSlow","","","","","","","","","","","","","slowed","end","",""
"MechaVanFriendlyMegBossPowerOff","MechaVanFriendlyMegBossPowerOff","","","","","","","","","","","","","","","",""
