"Name","TicketsInDancerBrawlerBox","TicketsInFuryBrawlerBox","TicketsInDaredevilBrawlerBox","TicketsInPierceBox","TicketsInGlowbertBox","TicketsInShadowdemonBox","TicketsInRedirecterBox","TicketsInGladiatorBox","TicketsInMagicalGirlBox","TicketsInRockBox","TicketsInKatanaKidBox","TicketsInFutureGirlBox","TypeName","SpecificBrawler","TypeValue","InPremiumDraw","TypePriceMin","TypePriceMax","AmountMin","AmountMax","FallbackTypeName","FallbackAmount","NoEventFallbackTypeName","NoEventFallbackAmount","TierForVisualization","SkinsInReward","TicketsInSkinDraw","SpraysInReward","TicketsInSprayDraw","ProfilePicsInReward","TicketsInProfilePicDraw","PinsInReward","TicketsInPinDraw"
,,,,,,,,,,,,,,,,,,,,,,,,,,"PainterGreekGod",1,,,,,,
"Gladiator Skin 199",,,,,,,,6,,,,,"ListedSkin",,,,150,199,,,"Bling",1000,,,,"ClusterBombDudeCerberus",1,,,,,,
"Gladiator Skin 299",,,,,,,,1,,,,,"ListedSkin",,,,200,299,,,"Bling",1000,,,,"DragonRiderOnceupon",1,,,,,,
"Gladiator Spray",,,,,,,,50,,,,,"ListedSpray",,,,,,,,"Bling",75,,,,,,"spray_box_damian",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_damian_1",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_damian_2",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_damian_3",1,,,,
"Gladiator Icon",,,,,,,,20,,,,,"ListedProfilePic",,,,,,,,"Bling",50,,,,,,,,"player_icon_damian_box",1,,
"Gladiator Pin",,,,,,,,50,,,,,"ListedPin",,,,,,,,"Bling",100,,,,,,,,,,"emoji_box_damian",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_damian",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_damian_sad",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_damian_angry",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_damian_gg",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_damian_thanks",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_damian_phew",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_damian_clap",1
"MagicalGirl Brawler",,,,,,,,,3,,,,"SpecificBrawler","MagicalGirl",,,,,,,"Credits",1000,,,,,,,,,,,
"MagicalGirl Skin 29",,,,,,,,,10,,,,"ListedSkin",,,,1,29,,,"Bling",500,,,,"AttacherRareChroma3",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"AttacherRareChroma4",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"AttacherRareChroma2",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"AttacherRareChroma5",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"AttacherRareChroma1",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"AttacherRareChroma6",1,,,,,,
"MagicalGirl Skin 79",,,,,,,,,8,,,,"ListedSkin",,,,30,79,,,"Bling",750,,,,"BeeSniperArchvillain",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"JetpackGirlPopstar",1,,,,,,
"MagicalGirl Skin 149",,,,,,,,,17,,,,"ListedSkin",,,,80,149,,,"Bling",1000,,,,"PercenteranimeChromaYellow",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"PercenteranimeChromaGreen",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Percenteranime",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"TrickshotDudeDevil",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"AxeJugglerGreek",1,,,,,,
"MagicalGirl Skin 199",,,,,,,,,6,,,,"ListedSkin",,,,150,199,,,"Bling",1000,,,,"JetpackGirlMoon",1,,,,,,
"MagicalGirl Skin 299",,,,,,,,,1,,,,"ListedSkin",,,,200,299,,,"Bling",1000,,,,"Cactuscartoon",1,,,,,,
"MagicalGirl Spray",,,,,,,,,50,,,,"ListedSpray",,,,,,,,"Bling",75,,,,,,"spray_box_stella",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_stella_1",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_stella_2",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_stella_3",1,,,,
"MagicalGirl Icon",,,,,,,,,20,,,,"ListedProfilePic",,,,,,,,"Bling",50,,,,,,,,"player_icon_stella_box",1,,
"MagicalGirl Pin",,,,,,,,,50,,,,"ListedPin",,,,,,,,"Bling",100,,,,,,,,,,"emoji_box_stella",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_stella",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_stella_sad",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_stella_angry",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_stella_gg",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_stella_thanks",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_stella_phew",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_stella_clap",1
"Rock Brawler",,,,,,,,,,3,,,"SpecificBrawler","Rock",,,,,,,"Credits",1000,,,,,,,,,,,
"Rock Skin 79",,,,,,,,,,8,,,"ListedSkin",,,,30,79,,,"Bling",750,,,,"ClusterBombMonster",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"BarrelBotFootball",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"CookerOnceupon",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"RollerPunk",1,,,,,,
"Rock Skin 149",,,,,,,,,,6,,,"ListedSkin",,,,80,149,,,"Bling",1000,,,,"ArcadePiano_black",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"WhirlwindSupercellMake",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"BarrelBotCrash",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"KnightPizza",1,,,,,,
"Rock Skin 199",,,,,,,,,,4,,,"ListedSkin",,,,150,199,,,"Bling",1000,,,,"FishTankWasteland",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"BaseballGamer_remake",1,,,,,,
"Rock Skin 299",,,,,,,,,,1,,,"ListedSkin",,,,200,299,,,"Bling",1000,,,,"BoMecha",1,,,,,,
"Rock Spray",,,,,,,,,,50,,,"ListedSpray",,,,,,,,"Bling",75,,,,,,"spray_box_bolt",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_bolt_1",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_bolt_2",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_bolt_3",1,,,,
"Rock Icon",,,,,,,,,,20,,,"ListedProfilePic",,,,,,,,"Bling",50,,,,,,,,"player_icon_bolt_box",1,,
"Rock Pin",,,,,,,,,,50,,,"ListedPin",,,,,,,,"Bling",100,,,,,,,,,,"emoji_box_bolt",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_bolt",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_bolt_sad",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_bolt_angry",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_bolt_gg",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_bolt_thanks",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_bolt_phew",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_bolt_clap",1
"KatanaKid Brawler",,,,,,,,,,,3,,"SpecificBrawler","KatanaKid",,,,,,,"Credits",1000,,,,,,,,,,,
"KatanaKid Skin 79",,,,,,,,,,,8,,"ListedSkin",,,,30,79,,,"Bling",750,,,,"BeeSniperArchvillain",1,,,,,,
"KatanaKid Skin 149",,,,,,,,,,,7,,"ListedSkin",,,,80,149,,,"Bling",1000,,,,"SilencerOni",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"DuplicatorKitsune",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"BlackHoleJapan",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"InsectManJapan",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"TntDudeTengu",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"KnightJapan",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"WallyJapan",1,,,,,,
"KatanaKid Skin 199",,,,,,,,,,,6,,"ListedSkin",,,,150,199,,,"Bling",1000,,,,"LuchadorSuperbowl",1,,,,,,
"KatanaKid Skin 299",,,,,,,,,,,1,,"ListedSkin",,,,200,299,,,"Bling",1000,,,,"SamuraiJapan",1,,,,,,
"KatanaKid Spray",,,,,,,,,,,50,,"ListedSpray",,,,,,,,"Bling",75,,,,,,"spray_box_nori",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_nori_1",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_nori_2",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_nori_3",1,,,,
"KatanaKid Icon",,,,,,,,,,,20,,"ListedProfilePic",,,,,,,,"Bling",50,,,,,,,,"player_icon_nori_box",1,,
"KatanaKid Pin",,,,,,,,,,,50,,"ListedPin",,,,,,,,"Bling",100,,,,,,,,,,"emoji_box_nori",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_nori",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_nori_sad",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_nori_angry",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_nori_gg",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_nori_thanks",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_nori_phew",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_nori_clap",1
"FutureGirl Brawler",,,,,,,,,,,,3,"SpecificBrawler","FutureGirl",,,,,,,"Credits",1000,,,,,,,,,,,
"FutureGirl Skin 79",,,,,,,,,,,,8,"ListedSkin",,,,30,79,,,"Bling",750,,,,"TrickshotDudeFirefly",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"WallyWeirdPlant",1,,,,,,
"FutureGirl Skin 149",,,,,,,,,,,,7,"ListedSkin",,,,80,149,,,"Bling",1000,,,,"FleaSpaceCactus",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"CookerDeepsea",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"CocoonerRosie",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"BowDudeWasp",1,,,,,,
"FutureGirl Skin 199",,,,,,,,,,,,6,"ListedSkin",,,,150,199,,,"Bling",1000,,,,"TntDudeToxic",1,,,,,,
"FutureGirl Skin 299",,,,,,,,,,,,1,"ListedSkin",,,,200,299,,,"Bling",1000,,,,"SandstormGreekGod",1,,,,,,
"FutureGirl Spray",,,,,,,,,,,,50,"ListedSpray",,,,,,,,"Bling",75,,,,,,"spray_box_wendy",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_wendy_1",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_wendy_2",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_wendy_3",1,,,,
"FutureGirl Icon",,,,,,,,,,,,20,"ListedProfilePic",,,,,,,,"Bling",50,,,,,,,,"player_icon_wendy_box",1,,
"FutureGirl Pin",,,,,,,,,,,,50,"ListedPin",,,,,,,,"Bling",100,,,,,,,,,,"emoji_box_wendy",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_wendy",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_wendy_sad",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_wendy_angry",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_wendy_gg",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_wendy_thanks",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_wendy_phew",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_wendy_clap",1
