"Name","BehaviorType","EquipType","OverchargedVersion","CanMoveAtSameTime","Targeted","AutoAttackTargetingType","AttackFacing","Cooldown","BonusSkillCooldown","ActiveTime","CastingTime","CastingRange","RangeVisual","RangeInputScale","MaxCastingRange","AllowAimOutsideMap","ForceValidTile","RechargeTime","MaxCharge","Damage","DamageForUlti","PercentDamage","MsBetweenAttacks","Spread","AttackPattern","NumBulletsInOneAttack","TwoGuns","ExecuteFirstAttackImmediately","MovementSpeed","ChargePushback","OverchargedChargePushback","ChargeSpeed","ChargeType","NumSpawns","MaxSpawns","BreakInvisibilityOnAttack","SeeInvisibilityDistance","AlwaysCastAtMaxRange","RestrictCastOnSkillActive","Projectiles","OverchargedProjectiles","OverchargedChainProjectile","SummonedCharacters","OverchargedSummonedCharacters","AreaEffectObject","DontTriggerAreaAtEndOfCharge","AreaEffectObject2","AreaEffect2AtEndOfCharge","OverchargedAreaEffectObject","OverchargedAreaEffectObject2","AreaEffectFollowType","MeleeAttackPiercesEnvironment","MeleeAttackOnHitActions","ConsumableShieldValue","ConsumableShieldTicks","SpawnedItem","OverchargedSpawnedItem","SpawnItemTriggerType","ButtonSWF","ButtonExportName","ButtonExportNameBlue","CastingEffect","AttackEffect","OverchargedAttackEffect","UseEffect","OverchargedUseEffect","EndEffect","OverchargedEndEffect","LoopEffect","LoopEffect2","OverchargedLoopEffect","OverchargedLoopEffect2","OverrideMusicWhenEquipped","ChargeMoveSound","MultiShot","SkillChangeType","SecondarySkill","SecondarySkill2","SecondarySkill3","SecondarySkill4","ShowTimerBar","ChargedShotCount","DamageModifier","HoldToShoot","UsableInShadowRealm","HealSelfOnActivationType","HealSelfOnActivationPower","LowHealthSpeedupPercent","ActivationSelfStatusEffects","ActivationSelfStatusEffectsOvercharged","OnChargeHitStatusEffect","OnChargeHitStatusEffectOvercharged","InterruptType","TID","Desc","BooleanAttributes","CustomString","CustomString2","CustomValue","CustomValue2","BotUsageHint","ForceWalkAnim","AttackAnimationSpeed","OnChargeHitSelfStatusEffect","ShowChainIndicator"
"BossRaceBossRockets","Attack","ulti","","","true","3","","50","","1050","750","60","","","","","","1250","3","700","-1","","200","750","","1","","true","","","","","","","","","","","","BossRaceBossRocketProjectile","","","","","","","","","","","","","","","","","","","","","","","minion_rocket_atk","","minion_warning_short","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PercenterWeapon","Attack","weapon","PercenterOverchargedWeapon","true","true","","","250","","150","","26","","","","","","1600","3","1100","-1","39","100","","","1","","true","","","","","","","","","","","","PercenterProjectile","","","","","","","","","","","","","","","","","","","","","","","brock_def_atk","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"PercenterUlti","Charge","ulti","","","true","","","50","","","","33","","","","","","","","2200","-1","22","","","","","","","","0","","4000","10","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","colette_def_ulti","colette_def_ulti_cover","colette_def_overcharge","colette_def_overcharge_cover","","Rhinostep","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FireDudeWeapon","Attack","weapon","","true","true","","","50","","100","","25","","","","","","220","40","210","-1","","100","30","","1","","true","","","","","","","","","","","","FireDudeProjectile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","true","","","","","","","","","","","","","","","","","","","",""
"FireDudeUlti","Attack","ulti","","true","true","","","250","","150","","22","","","","","","","","","-1","","100","0","","1","","true","","","","","","","","","","","","FireDudeUltiProjectile","FireDudeOverchargedUltiProjectile","","","","","","","","","","","","","","","","","","","","","","barkeep_attack","amber_hc_ulti_muzzle","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IceDudeWeapon","Attack","weapon","","true","true","","","250","","350","","28","","","","","","1100","3","440","-1","","100","0","","1","true","true","","","","","","","","","","","","IceDudeProjectile","","","","","","","","","","","","","","","","","","","","","","","colt_def_atk","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"IceDudeUlti","Attack","ulti","","true","true","","","250","","150","","23","","","","","","","","40","-1","","100","0","","1","","true","","","","","","","","","","","","IceDudeUltiProjectile","IceDudeOverchargedUltiProjectile","","","","","","","","","","","","","","","","","","","","","","cactus_attack_ulti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SnakeOilWeapon","Attack","weapon","","true","true","","","500","","150","","30","","","","","","1450","3","","-1","","100","","","1","","true","","","","","","","","","","","","SnakeOilProjectile","","","","","","","","","","","","","","","","","","","","","","","sniper_attack","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"SnakeOilUlti","Attack","ulti","","true","true","","","250","","150","","22","","","","","","","","1500","-1","","100","0","","1","","true","","","","","","","","","","","","SnakeOilUltiProjectile","SnakeOilHyperUltiProjectile","","","","","","","","","","","","","","","","","","","","","","tnt_attack_ulti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EnragerWeapon","Attack","weapon","EnragerOverchargedWeapon","true","true","","","50","","250","","6","","","","","","700","3","540","-1","","100","0","","1","true","true","","","","","","","","","","","","EnragerProjectile","","","","","","","","","","","","","","","","","","","","","","","luchador_attack","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"EnragerUlti","Charge","ulti","","","true","","","50","","","","20","","","","","","","","","-1","","","","","","","","","","","3500","11","","","","","","","","","","","","","","","","EnragerOverchargedUlti","","","","","","","","","","","","","","","","crow_ulti","","","edgar_overcharged_ultiend","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EnragerUltiSpeedBoost",""
"RuffsWeapon","Attack","weapon","","true","true","","","250","","150","","27","","","","","","1400","3","600","-1","","100","","7","2","","true","","","","","","","","","","","","RuffsProjectile","","","","","","","","","","","","","","","","","","","","","","","bull_def_atk","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"RuffsUlti","Attack","ulti","","true","true","","","200","","150","","23","","","","","","","","1000","-1","","100","0","","1","","true","","","","","","","","","","","","RuffsUltiProjectile","RuffsOverchargedUltiProjectile","","","","","","","","","","","","","","","","","","","","","","cactus_attack_ulti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RollerWeapon","Attack","weapon","","true","true","","","100","","250","","23","","","","","","1500","3","540","-1","","100","0","","1","true","true","","","","","","","","","","","","RollerProjectile","RollerOverchargedProjectile","","","","","","","","","","","","","","","","","","","","","","colt_def_atk","stu_def_oc_atk","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"RollerUlti","Charge","ulti","","","true","1","","0","","","","7","","","","","","","","","-1","","","","","","","","","100","","3000","12","","","","","true","","","","","","","RollerFire","","","","RollerOverchargedFire","","trail","","","","","","","","","","","","","","","","","","colette_def_ulti","stu_def_ulti_cover","stu_def_oc_ulti_cover","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ElectroSniperWeapon","Attack","weapon","","true","true","","","500","","150","","30","","","","","","1400","3","1040","-1","","100","","","1","","true","","","","","","","","","","","","ElectroSniperProjectile","","","","","","","","","","","","","","","","","","","","","","","sniper_attack","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"ElectroSniperUlti","Attack","ulti","","true","true","","","500","","150","","32","","","","","","","","550","-1","","100","","","1","","true","","","","","","","","","","","","ElectroSniperUltiProjectile","ElectroSniperOverchargedUltiProjectile","","","","","","","","","","","","","","","","","","","","","","sniper_attack","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"StickyBombWeapon","Attack","weapon","","true","true","","","250","","150","","23","","","","","99","2100","3","1160","-1","","100","0","","1","","true","","","","","","1","10","","","","","StickyBombProjectile","","","","","","","","","","","","","","","","StickyBomb","","","","","","","colt_def_atk","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"StickyBombUlti","Attack","ulti","","true","true","","","250","","150","","25","","","","","1","","","1000","-1","","100","0","","1","","true","","","","","","","","","","","","StickyBombUltiProjectile","StickyBombOverchargedUltiProjectile","","","","","","","","","","","","","","","","","","","","","","tnt_attack_ulti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CrossBomberWeapon","Attack","weapon","","true","true","","","75","","350","","23","","","","","10","2000","3","1040","-1","","300","0","","1","","true","","","","","","","","","","","","CrossBomberProjectile","","","","","","","","","","","","","","","","","","","","","","","tnt_attack_ulti","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"CrossBomberUlti","Attack","ulti","","true","true","","","250","","150","","25","","","","","10","","","1600","-1","","100","0","","1","","true","","","","","","","","","","","","CrossBomberUltiProjectile","OverchargedCrossBomberUltiProjectile","","","","","","","","","","","","","","","","","","","","","","tnt_attack_ulti","grom_def_oc_ulti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RopeDudeWeapon","Attack","weapon","","true","true","","","50","","750","","8","","","","","","1000","3","420","-1","","150","165","2","3","true","true","","","","","","","","","","","","RopeDudeProjectile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"RopeDudeUlti","Attack","ulti","","true","true","","","250","","150","","30","","","","","","","","","-1","","100","","","1","","true","","","","","","","","","","","","RopeDudeUltiProjectile","RopeDudeOverchargedUltiProjectile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AssaultShotgunWeapon","Attack","weapon","AssaultShotgunOverchargedWeapon","true","true","","","50","","600","","25","","","","","","1600","3","280","-1","","200","30","10","3","","true","","","","","","","","","","","","AssaultShotgunProjectile;AssaultShotgunProjectileSp1Buddy","","","","","","","","","","","","","","","","","","","","","","","shelly_def_atk","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"AssaultShotgunUlti","Attack","ulti","","true","true","","","500","","150","","27","","","","","","","","720","-1","","100","150","10","5","","true","","","","","","","","","","","","AssaultShotgunUltiProjectile","AssaultShotgunOverchargedUltiProjectile","","","","","","","","","","","","","","","","","","","","","","whirlwind_attack","griff_def_oc_ulti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DummySkillForBasketBrawl","Attack","utility","","true","true","3","","250","","150","","15","","200","","true","","","","","-1","","100","","","1","","true","","","","","","","","","","","","DummyProjectileForBasketBrawl","","","","","","","","","","","","","","","","","","","","","","","laser_ball_throw","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DummyUltiSkillForBasketBrawl","Attack","utility","","true","true","3","","250","","150","","20","","300","","true","","","","","-1","","100","","","1","","true","","","","","","","","","","","","DummyProjectileForBasketBrawl","","","","","","","","","","","","","","","","","","","","","","","laser_ball_throw_ulti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KnightWeapon","Attack","weapon","","true","true","","","250","","400","","14","","","","","","1400","3","800","-1","","300","","","1","","","","","","","","","","","","","","KnightProjectile1","","","","","","","","","","","","","","","","","","","","","","","hammer_dude_attack","","ash_def_atk_sfx","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"KnightUlti","Attack","ulti","","true","true","","","50","","250","","15","","","","","1","","","","-1","","200","","","1","","true","","","","","","5","5","","","","","KnightUltiProjectile","KnightOverchargedUltiProjectile","","KnightPet","","","","","","","","","","","","","","","","","","","","","","tick_def_ulti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MechaDudeWeapon","Attack","weapon","MechaDudeWeaponOverChargedBuddy","true","true","","","50","","250","","27","","","","","","1300","3","300","-1","","100","","6","1","","true","","","","","","","","","","","","MechaDudeProjectile","","","","","","","","","","","","","","","","","","","","","","","colt_def_atk","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"MechaDudeUlti","ChangeCharacter","ulti","","","","","","50","","1100","1000","","","","","","","","","","-1","","","","","","","","","","","","","","","","","","","","","","MechaDudeBig","","","","","","","","","","","","","","","","","","","","tick_def_atk","","dummy_effect","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MechaDudeBigWeapon","Attack","weapon","MechaDudeBigWeaponBuddy","true","true","","","50","","850","","22","","","","","","1100","3","150","-1","","100","20","","2","true","true","","","","","","","","","","","","MechaDudeBigProjectile","","","","","","","","","","","","","","","","","","","","","","","colt_def_atk","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"MechaDudeBigUlti","Attack","ulti","","true","true","","","50","","350","","13","","","","","","","","1700","-1","","200","300","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sc/ui.sc","button_ulti_meg","button_ulti_blue_meg","","bibi_def_atk","","mecha_swing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DuplicatorWeapon","Attack","weapon","","true","true","","","50","","650","","27","","","","","","1700","3","280","-1","","100","30","3","1","","true","","","","","","","","","","","","DuplicatorProjectile","","","","","","","","","","","","","","","","","","","","","","","pam_def_atk","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"DuplicatorUlti","Attack","ulti","","true","true","","","50","","250","","15","","","","","1","","","","-1","","200","","","1","","true","","","","","","1","1","","","","","DuplicatorUltiProjectile","OverchargedDuplicatorUltiProjectile","","DuplicatorPet","OverchargedDuplicatorPet","","","","","","","","","","","","","","","","","","","shaman_ulti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KickerDudeWeapon","Attack","weapon","","true","true","","2","250","","500","","8","","","","","","1000","3","1360","-1","","500","","","1","","true","","","","","","","","","","","","KickerDudeProjectile","","","","","","","","","","","","","","","","","","","","","","","fang_def_atk","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","TRUE"
"KickerDudeUlti","Charge","ulti","","","true","","2","250","","","","30","","","","","","","","1500","-1","","","","","","","","","0","","4000","8","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","fang_def_ulti","fang_def_ulti_cover","fang_def_ulti_overcharged","fang_def_ulti_cover_overcharged","","Rhinostep","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"af7471448dff60d0beceb4d09bcc464cf07eaa2f","Attack","weapon","ShotgunGirlOverchargedWeapon","true","true","","","250","","150","","23","","","","","","1500","3","300","-1","","100","60","","5","","true","","","","","","","","","","","","ShotgunGirlProjectile","","","","","","","","","","","","","","","","","","","","","","","shelly_def_atk","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"f833e7088ef3f64bdf1d3db5f2b6713bf93859f0","Attack","weapon","ShotgunGirlOverchargedWeapon","true","true","","","250","","150","","23","","","","","","1500","3","300","-1","","100","60","","5","","true","","","","","","","","","","","","ShotgunGirlProjectile","","","","","","","","","","","","","","","","","","","","","","","shelly_def_atk","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"FleaPetWeapon","Charge","weapon","","","true","","","500","","500","","8","","","","true","","100","3","300","-1","","","","","","","","","","","2700","14","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","mortis_def_atk","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"FleaPetUltiDummy","Attack","ulti","","","","3","","","","","","","","","","","","","","","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FleaWeapon","Attack","weapon","","true","true","","2","500","","500","","28","","","","","","1600","3","400","-1","","150","","11","1","","true","","","","","","","","","","","","FleaProjectile1;FleaProjectile2;FleaProjectile3","","","","","","","","","","","","","","","","","","","","","","","colt_def_atk","","","","","","","","","","","","","","","","","","","","30","","true","","","","","","","","","","","","","","","","","","","",""
"FleaUlti","Attack","ulti","","true","true","","2","251","","250","","15","","","","","1","","","","-1","","200","","","1","","true","","","","","","1","10","","","","","FleaUltiProjectile","FleaOverchargedSpawnProjectile","","FleaBigEgg","FleaOverchargedBigEgg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JetpackGirlWeapon","Attack","weapon","","true","true","","","200","","150","","12","","","","","","1500","3","1000","-1","","100","160","13","4","","true","","","","","","","","","","","","JetpackGirlProjectile","","","","","","","","","","","","","","","","","","","","","","","janet_def_atk_direct","","janet_def_atk_root","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"JetpackGirlUlti","Attack","ulti","","true","true","1","3","50","","6000","","7","","","","","","","","800","-1","","760","0","12","1","","","","","","1400","15","","","","","","","JetpackGirlUltiProjectile","JetpackGirlOverchargedUltiProjectile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","JetpackGirlLevitation","JetpackGirlLevitationOvercharged","","","","","","","","","","","","","","",""
"CannonGirlWeapon","Attack","weapon","","true","true","","2","50","","250","","27","","","","","","1000","1","1120","-1","","200","","","1","","true","","","","","","","","","","","","CannonGirlProjectile","","","","","","","","","","","","","","","","","","","","","","","brock_def_atk","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"CannonGirlUlti","Charge","ulti","","","true","","2","50","","150","","22","","","","","","","","1000","-1","","","","","","","","","","","2500","16","","","","","","","","","","CannonGirlSmall","","CannonGirlExplosion","","","","CannonGirlExplosionOvercharged","","","","","","","","","","","","","","","","","","cannongirl_ulti_ground_hit","dummy_effect","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CannonGirlSmallWeapon","Attack","weapon","","true","true","","","50","","350","","15","","","","","","2000","3","580","-1","","100","40","2","1","","true","","","","","","","","","","","","CannonGirlSmallProjectile","","","","","","","","","","","","","","","","","","","","","","","tnt_attack_ulti","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"CannonGirlSmallUlti","ChangeCharacter","ulti","","","","","","600","","600","500","","","","","","","","","620","-1","","","","","","","","","","","","","","","","","","","","","","CannonGirl","","CannonGirlExplosion","","","","","","","","","","","","","","sc/ui.sc","button_ulti_bonnie","button_ulti_blue_bonnie","","","","bonnie_def_ulti_return","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CannonGirlWeaponNanoPower","Attack","weapon","","true","true","","2","50","","500","","27","","","","","","1000","1","1120","-1","","200","","","1","","true","","","","","","","","","","","","CannonGirlProjectile","","","","","","","","","","","","","","","","","","","","","","","brock_def_atk","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"SilencerWeapon","Attack","weapon","","true","true","","","250","","400","","27","","","","","","1500","3","500","-1","","120","22","1","1","","true","","","","","","","","","","","","SilencerProjectile","","","","","","","","","","","","","","","","","","","","","","","rico_def_atk","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"SilencerUlti","Attack","ulti","","true","true","","","50","","100","","27","","","","","1","1000","","340","-1","","100","","","1","","true","","","","","","1","10","","","","","SilencerUltiProjectile","SilencerOverchargedUltiProjectile","","","","","","","","","","","","","","","SilencerHugger","","3","","","","","gene_def_atk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WeaponThrowerWeapon","Attack","weapon","","true","true","","","100","","600","","9","","","","","","1600","3","800","-1","","300","100","2","1","true","true","","","","","","","","","","","","WeaponThrowerProjectile","","","","","","","","","","","","","","","","","","","","","","","rosa_def_atk","","","","","","","","","","","","","1","WeaponThrowerWeapon2","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"WeaponThrowerWeapon2","Attack","weapon","","true","true","","","100","","300","","9","","","","","","900","3","500","-1","","150","50","2","1","true","true","","","","","","","","","","","","WeaponThrowerProjectile2","","","","","","","","","","","","","","","","","","","","","","","luchador_attack","","","","","","","","","","","","","1","WeaponThrowerWeapon","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"WeaponThrowerUlti","Attack","ulti","","true","true","","","50","","300","","26","","","","","","","","1400","-1","","250","","","1","","true","","","","","","1","1","","","","","WeaponThrowerUltiProjectile","WeaponThrowerOverchargedUltiProjectile","","","","","","","","","","","","","","","WeaponThrowerWeapon","WeaponThrowerOverchargedWeapon","","","","","","whirlwind_attack","","dummy_effect","","","","","","","","","","","5","WeaponThrowerUlti2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WeaponThrowerUlti2","RecallWeapon","ulti","","true","","","","50","","100","","26","","","","","","","","700","-1","","150","","","1","","","","","","","","","","","","","","WeaponThrowerUltiProjectile2","WeaponThrowerOverchargedUltiProjectile2","","","","","","","","","","","","","","","","","","sc/ui.sc","button_ulti_sam","button_ulti_blue_sam","","","","","","","","","","","","","","","1","WeaponThrowerUlti","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SoulCollectorWeapon","Attack","weapon","","true","true","","","500","","150","","28","","","","","","1500","3","1080","-1","","100","","","1","","true","","","","","","1","10","","","","","SoulCollectorProjectile","","","","","","","","","","","","","","","","SoulCollectorSoul","","3","","","","","sniper_attack","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"SoulCollectorUlti","Attack","ulti","","true","true","","","500","","150","","28","","","","","","","","","-1","","100","","","1","","true","","","","","","","","","","","","SoulCollectorUltiProjectile","GusOverchargedUltiProjectile","","","","","","","","","","","","","","","","","","","","","","whirlwind_attack","gus_def_oc_atk","dummy_effect","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AimAtTeammates","","","",""
"ShieldTankWeapon","Attack","weapon","","true","true","","","350","","250","","16","","","","","","1800","3","1380","-1","","200","90","","3","","true","","","","","","","","","","","","ShieldTankProjectile","","","","","","","","","","","","","","","","","","","","","","","sniper_attack","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"ShieldTankUlti","ProjectileShield","ulti","","true","true","","2","250","","3000","","9","","","","","","","","800","-1","","100","120","","","","","620","","","","","","","","","","","ShieldTankUltiProjectile","ShieldTankOverchargedUltiProjectile","","","","","","","","","","","","","","","","","","","","","","","","","","","","buster_shield","","buster_shield_overcharged","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","",""
"JesterWeapon","Attack","weapon","","true","true","","","250","","150","","25","","","","","","1900","3","670","-1","","100","30","14","4","","true","","","","","","","","","","","","JesterProjectile;JesterProjectileSP","","","","","","","","","","","","","","","","","","","","","","","tara_def_atk","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"JesterUltiExploding","Attack","ulti","","true","true","","","250","","150","","19","","","","","","","","1600","-1","","150","0","","1","","true","","","","","","","","","","","","JesterUltiProjectileExploding","","","","","","","","","","","","","","","","","","","sc/ui.sc","button_ulti_chester_indirect_explosion","button_ulti_blue_chester_indirect_explosion","","chester_def_atk","","","","","","","","","","","","","1","JesterUltiStunning","JesterUltiPoisoning","JesterUltiDamageArea","JesterUltiHeal","","","","","","","","","","","","","","","","","TID_JESTER_ULTI_EXPLOSION","","1","","","","","",""
"JesterUltiStunning","Attack","ulti","","true","true","","","250","","150","","26","","","","","","","","200","-1","","150","","","1","","true","","","","","","","","","","","","JesterUltiProjectileStunning","","","","","","","","","","","","","","","","","","","sc/ui.sc","button_ulti_chester_direct_stunt","button_ulti_blue_chester_direct_stunt","","chester_def_ulti_stun","","","","","","","","","","","","","1","JesterUltiExploding","JesterUltiPoisoning","JesterUltiDamageArea","JesterUltiHeal","","","","","","","","","","","","","","","","","TID_JESTER_ULTI_STUN","","2","","","","","",""
"JesterUltiPoisoning","Attack","ulti","","true","true","","","250","","150","","17","","","","","","","","290","-1","","150","100","5","5","","true","","","","","","","","","","","","JesterUltiProjectilePoisoning","","","","","","","","","","","","","","","","","","","sc/ui.sc","button_ulti_chester_cone_poison","button_ulti_blue_chester_cone_poison","","chester_def_ulti_poison_spray","","","","","","","","","","","","","1","JesterUltiExploding","JesterUltiStunning","JesterUltiDamageArea","JesterUltiHeal","","","","","","","","","","","","","","","","","TID_JESTER_ULTI_POISON","","3","","","","","",""
"JesterUltiDamageArea","Attack","ulti","","true","","","","250","","150","","","","","","","","","","160","-1","","150","","","1","","","","","","","","","","","","","","","","","","","JesterUltiDamageArea","","","","","","","","","","","","","","sc/ui.sc","button_ulti_chester_drop_damaging_area","button_ulti_blue_chester_drop_damaging_area","","barkeep_attack","","dummy_effect","","","","","","","","","","","1","JesterUltiExploding","JesterUltiStunning","JesterUltiPoisoning","JesterUltiHeal","","","","","","","","","","","","","","","","","TID_JESTER_ULTI_AREA","","4","","","","","",""
"JesterUltiHeal","Heal","ulti","","true","","","","250","","150","","","","","","","","","","2400","-1","","150","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sc/ui.sc","button_ulti_chester_direct_heal","button_ulti_blue_chester_direct_heal","","","","chester_def_ulti_heal","","","","","","","","","","","1","JesterUltiExploding","JesterUltiStunning","JesterUltiPoisoning","JesterUltiDamageArea","","","","","","","","","","","","","","","","","TID_JESTER_ULTI_HEAL","","5","","","","","",""
"DoorManWeapon","Attack","weapon","","true","true","","","500","","150","","27","","","","","","1400","3","1280","-1","","100","0","","1","","true","","","","","","","","","","","","DoorManProjectile","","","","","","","","","","","","","","","","","","","","","","","gray_def_atk","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"DoorManUlti","Portals","ulti","","true","true","","","50","","250","","20","","","","","1","","","","-1","","200","","","1","","true","","","","2000","","","","","","","","","","","","","","","","","","","","","","","","Portal","OverChargedPortal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DoorManWeaponNanoPower","Attack","weapon","","true","true","","","500","","150","","33","","","","","","1400","3","1160","-1","","100","0","","1","","true","","","","","","","","","","","","DoorManProjectile","","","","","","","","","","","","","","","","","","","","","","","gray_def_atk","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"BeamerWeapon","Attack","weapon","","true","true","","","500","","150","","27","","","","","","1500","3","1400","-1","","100","","","1","","true","","","","","","","","","","","","BeamerProjectile","","","","","","","","","","","","","","","","","","","","","","","sniper_attack","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"BeamerUlti","Attack","ulti","","","true","","2","150","","300","750","120","","","","true","","100","1","2500","-1","","300","","","1","","true","","","","","","","","","","true","","BeamerUltiProjectile","","","","","","","","","","","","","","","","","","","","","","","bibi_def_ulti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SplitterWeapon","Attack","weapon","","true","true","","","500","","150","","30","","","","","","1500","3","700","-1","","100","0","","1","","true","","","","","","","","","","","","SplitterProjectile","","","","","","","","","","","","","","","","","","","","","","","arcade_def_atk","","","","","","","","","","","","","1","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"SplitterUlti","Split","ulti","","true","","","","50","","250","","","","","","","","","","","-1","","200","","","1","","true","","","","","","1","1","","","","","","","","","","","","","","","","follow","","","","","","","","","","","","","","arcade_def_ulti_atk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
