Name,WingType,WingPivot_Std,WingOffset_Std,WingScalePercent_Std,WingPivot_Spc,WingOffset_Spc,WingScalePercent_Spc,HaloPivot,HaloOffset,HaloScalePercent,HaloRotateEuler,NothingHereAfterIsExtension,WidgetEffects,ClientShowToHeroSkin,ClientShowPivot,ClientShowOffset,ClientShowPercent,ClientShowRotateEuler,QualifierId,QualifierFrame
UndertakerGold,,chest_s,0;-0.3;-2,90,chest_s,0;0;-3.1,56,head_s,0;0;160,80,,,,,,,,,,
UndertakerSilver,,chest_s,0;-0.3;-2,90,chest_s,0;0;-3.1,56,head_s,0;0;160,80,,,,,,,,,,
UndertakerHatGold,,chest_s,0;-0.3;-2,90,chest_s,0;0;-3.1,56,head_s,0;0;200,80,,,,,,,,,,
UndertakerHatSilver,,chest_s,0;-0.3;-2,90,chest_s,0;0;-3.1,56,head_s,0;0;200,80,,,,,,,,,,
IceDudeDefault,,chest_s,0;-1;-3,75,chest_s,0;-1.4;-3.8,55,head_s,0;0;200,75,,,,,,,,,,
IceDudeKing,,chest_s,0;-1;-3.3,75,chest_s,0;-2;-3.8,62,head_s,0;0;200,75,,,,,,,,,,
SpeedyLine,,chest_s,0;-0.4;-3.8,80,chest_s,0;-0.8;-3.8,54,head_s,0;0;310,75,,,,,,,,,,
ControllerLine,,chest_s,0;-2;-3.4,100,chest_s,0;-2.5;-3.2,58,chest_s,0;0;220,90,0;0;-9,,,,,,,,,
SniperLine,,chest_s,0;-0.5;-2,80,chest_s,0;-1.2;-1.6,45,head_s,0;0;165,60,,,,,,,,,,
ControllerLineAddon,,,,,,,,,,,,,,,,,,,,
TntDudeSnowtel,,chest_s,0;-0.5;-1.7,80,back_item_01_s,0;-1.2;-5.6,50,head_s,0;0;200,75,,,,,,,,,,
SafeRed,,,,,,,,,,,,,,,,,,,,
SnakeOilDefault,,chest_s,0;-0.5;-3.5,85,chest_s,0;-1.5;-3.7,48,head_s,0;0;180,75,0;0;39,,,,,,,,,
EnragerDefault,,chest_s,0;0.2;-3,90,chest_s,0;-0.4;-2,55,head_s,0;0;165,80,,,,,,,,,,
EnragerVine,,chest_s,0;0.3;-4.4,90,chest_s,0;0.8;-3.3,58,head_s,0;0;165,80,,,,,,,,,,
BlowerNutcracker,,chest_s,0;0;-2.2,80,chest_s,0;0.6;-2.5,50,head_s,0;-30;255,75,,,,,,,,,,
RocketGirlOg,,hips_s,0;-3;-5,75,hips_s,0;-3.8;-5,60,head_s,0;20;180,75,0;0;-10,,,,,,,,,
ClusterBombDudeSnowman,,chest_s,0;-2;-3.8,90,chest_s,0;-2.6;-3,58,head_s,0;0;255,75,,,,,,,,,,
HammerDudeXmas,,chest_s,0;-2;-4.9,95,chest_s,0;-3.2;-3.6,78,head_s,0;0;185,90,0;0;-6,,,,,,,,,
BowDudeWarrior,,chest_s,0;-1;-5,100,chest_s,0;-1;-4.9,82,head_s,0;0;175,85,0;0;-55,,,,,,,,,
ClusterBombDudeGold,,chest_s,0;-2;-3.8,90,chest_s,0;-2.6;-3.2,60,head_s,0;0;170,75,,,,,,,,,,
ClusterBombDudeSilver,,chest_s,0;-2;-3.8,90,chest_s,0;-2.6;-3.2,60,head_s,0;0;170,75,,,,,,,,,,
CrowGold,,chest_s,0;-0.5;-1.8,80,chest_s,0;-0.5;-1.6,52,head_s,0;0;190,75,0;0;28,,,,,,,,,
CrowSilver,,chest_s,0;-0.5;-1.8,80,chest_s,0;-0.5;-1.6,52,head_s,0;0;175,75,0;0;28,,,,,,,,,
BarrelBotGold,,chest_s,0;0;-4,100,chest_s,0;-1;-4,70,head_s,0;0;250,85,0;0;-7,,,,,,,,,
BarrelBotSilver,,chest_s,0;0;-4,100,chest_s,0;-1;-4,70,head_s,0;0;250,85,0;0;-7,,,,,,,,,
ClusterBombPetSnowman,,,,,,,,,,,,,,,,,,,,
MechanicGold,,chest_s,0;0.2;-4,65,hips_s,0;-2;-4,55,head_s,0;0;192,75,0;0;27,,,,,,,,,
MechanicSilver,,chest_s,0;0.2;-4,65,hips_s,0;-2;-4,55,head_s,0;0;192,75,0;0;27,,,,,,,,,
BlackHoleGold,,chest_s,0;-0.7;-2,90,chest_s,0;-1.2;-1.6,50,head_s,0;0;160,75,,,,,,,,,,
BlackHoleSilver,,chest_s,0;-0.7;-2,90,chest_s,0;-1.2;-1.6,50,head_s,0;0;160,75,,,,,,,,,,
RuffsDefault,,chest_s,0;-1;-3.3,80,chest_s,0;-1;-2.8,48,head_s,0;0;240,75,0;0;-3,,,,,,,,,
BullDudeOx,,chest_s,0;-2;-4.1,110,chest_s,0;-2;-4.1,88,head_s,0;30;210,85,0;0;-5,,,,,,,,,
CactusLord,,chest_s,0;-0.5;-3.3,85,chest_s,0;-2.6;-4,66,head_s,0;0;200,80,,,,,,,,,,
BarrelBotLaser,,chest_s,0;0;-4,100,chest_s,0;-1;-3.7,70,head_s,0;0;250,85,0;0;-8,,,,,,,,,
RollerDefault,,chest_s,0;-1;-3,90,chest_s,0;-2.5;-3,60,head_s,0;0;175,75,0;0;7,,,,,,,,,
IceDudeCrooner,,chest_s,0;-1;-3,75,chest_s,0;-1.8;-3.8,58,head_s,0;0;200,75,,,,,,,,,,
WhirlwindDarkTide,,chest_s,0;-0.5;-3.1,65,chest_s,0;-0.9;-3.8,60,head_s,0;0;290,85,0;0;35,,,,,,,,,
RuffsRonin,,chest_s,0;1.5;-4,80,chest_s,0;0.4;-3.6,40,head_s,0;0;240,75,0;0;-20,,,,,,,,,
RuffsCoverDefault,,,,,,,,,,,,,,,,,,,,
PercenterCrew,,chest_s,0;0;-2,80,chest_s,0;0;-1.4,50,head_s,0;0;180,75,0;0;10,,,,,,,,,
ElectroSniperDefault,,chest_s,0;0;-2.3,85,chest_s,0;-1.2;-3.2,66,head_s,0;0;180,75,,,,,,,,,,
StickyBombDefault,,chest_s,0;-0.5;-3.5,92,chest_s,0;-1.3;-6.5,63,head_no_turn_s,0;0;185,80,0;0;5,,,,,,,,,
BaseballVigilante,,chest_s,0;0;-1.7,70,chest_s,0;0.5;-1.2,48,head_s,0;0;165,75,0;0;5,,,,,,,,,
ArtilleryDudeSmuggler,,chest_s,0;-0.5;-3.6,65,chest_s,0;-0.9;-3.4,52,head_s,0;0;200,85,0;0;45,,,,,,,,,
ArtilleryTurretSmuggler,,,,,,,,,,,,,,,,,,,,
TntDudePsg,,chest_s,0;-0.5;-1.3,80,back_item_01_s,0;-1.5;-6.2,48,head_s,0;0;200,75,,,,,,,,,,
RollerWhite,,chest_s,0;-1;-3,90,chest_s,0;-2.5;-3,60,head_s,0;0;175,75,0;0;7,,,,,,,,,
CrossBomberDefault,,chest_s,0;-1.5;-4.5,100,chest_s,0;-1.5;-6.8,76,head_s,0;0;175,85,0;0;10,,,,,,,,,
SpeedBoosterDefault,,,,,,,,,,,,,,,,,,,,
FireDudeMasked,,chest_s,0;-0.8;-3.2,75,chest_s,0;-1.2;-3,54,head_s,0;0;195,70,0;0;-8,,,,,,,,,
EnragerDuel,,chest_s,0;-1;-3,90,chest_s,0;0.2;-2,58,head_s,0;0;165,80,0;0;-7,,,,,,,,,
BlackHoleMisfortune,,chest_s,0;-0.7;-2,90,chest_s,0;-1;-1.2,53,head_s,0;0;160,75,0;0;-5,,,,,,,,,
ArcadePiano,,chest_s,0;-1;-3.7,85,chest_s,0;-1.3;-3.4,73,chest_s,0;0;250,95,0;0;22,,,,,,,,,
BeeSniperCat,,chest_s,0;0;-2,70,chest_s,0;0;-2.7,48,head_s,0;0;185,75,,,,,,,,,,
BeeSniperCatGold,,chest_s,0;0;-2,70,chest_s,0;0;-2.7,48,head_s,0;0;185,75,,,,,,,,,,
RuffsMarshall,,chest_s,0;-0.5;-3.3,80,chest_s,0;-1.2;-3.2,48,head_s,0;0;255,75,0;0;-5,,,,,,,,,
SandstormLantern,,chest_s,0;0.5;-2,75,spine_upper_s,0;0.5;-2,42,head_fixed_s,0;0;250,75,0;0;-30,,,,,,,,,
RopeDudeDefault,,chest_s,0;0;-3.5,95,chest_s,0;-1.4;-3.5,63,head_s,0;0;170,75,0;0;-5,,,,,,,,,
AssaultShotgunDefault,,chest_s,0;-0.2;-3.7,90,spine_upper_s,0;-4.2;-5.5,72,head_s,0;0;290,88,0;0;-15,,,,,,,,,
BeeSniperArchvillain,,chest_s,0;0;-2,70,chest_s,0;0;-2.2,48,head_s,0;0;180,75,0;0;15,,,,,,,,,
BeeSniperArchvillainAddonBee,,,,,,,,,,,,,,,,,,,,
PowerLevelerDIY,,chest_s,0;-4;-6.5,110,chest_s,0;-4;-6.2,100,head_s,0;0;220,100,0;0;10,,,,,,,,,
DamageBoosterPiano,,,,,,,,,,,,,,,,,,,,
ElectroSniperBoss,,chest_s,0;0;-2.3,85,chest_s,0;-1.2;-2.6,66,head_s,0;0;180,75,,,,,,,,,,
BeeSniperCatAddonBee,,,,,,,,,,,,,,,,,,,,
BeeSniperCatGoldAddonBee,,,,,,,,,,,,,,,,,,,,
ShamanGold,,chest_s,0;-0.4;-2.2,65,chest_s,0;-0.4;-3.8,46,head_s,0;15;170,80,,,,,,,,,,
ShamanSilver,,chest_s,0;-0.4;-2.2,65,chest_s,0;-0.4;-3.8,46,head_s,0;15;170,80,,,,,,,,,,
CactusGold,,chest_s,0;-0.5;-3.3,85,chest_s,0;-1.1;-3.2,56,head_s,0;0;190,80,,,,,,,,,,
CactusSilver,,chest_s,0;-0.5;-3.3,85,chest_s,0;-1.1;-3.2,56,head_s,0;0;190,80,,,,,,,,,,
GunslingerBadass,,chest_s,0;-0.5;-2.5,80,chest_s,0;0;-2,68,head_s,0;15;170,80,,,,,,,,,,
HookDudeGold,,spine_upper_s,0;-0.5;-2.5,90,spine_upper_s,0;-1.1;-4.1,46,head_s,0;0;184,90,,,,,,,,,,
HookDudeSilver,,spine_upper_s,0;-0.5;-2.5,90,spine_upper_s,0;-1.1;-4.1,46,head_s,0;0;184,90,,,,,,,,,,
IceDudeBurger,,chest_s,0;-1;-3.5,75,chest_s,0;-2;-3.8,58,head_s,0;0;200,75,,,,,,,,,,
DrillerJetski,,chest_s,0;-0.5;-2.6,65,chest_s,0;-0.5;-3.6,50,head_s,0;0;175,75,0;0;-10,,,,,,,,,
WhirlwindSurfer,,chest_s,0;0.5;-2,65,chest_s,0;-0.4;-4.2,60,head_s,0;0;220,85,0;0;20,,,,,,,,,
RosaCoco,,chest_s,0;-0.5;-2.8,90,spine_upper_s,0;1.1;-5.3,68,head_s,0;0;190,80,,,,,,,,,,
SpeedyHermes,,chest_s,0;-0.9;-2.4,80,spine_upper_s,0;-0.3;-2.2,52,head_s,0;0;245,75,0;0;6,,,,,,,,,
UndertakerBeach,,chest_s,0;-0.3;-2,90,chest_s,0;0;-3.1,56,head_s,0;0;160,80,,,,,,,,,,
NinjaDino,,chest_s,0;-0;-2,80,chest_s,0;-0.2;-2.6,48,head_s,0;0;175,75,0;0;-40,,,,,,,,,
LuchadorUniversitario,,chest_s,0;-1.7;-3.4,100,chest_s,0;-2;-2.8,80,head_s,0;15;170,90,0;0;10,,,,,,,,,
LuchadorClubNacional,,chest_s,0;-1.7;-3.4,100,chest_s,0;-2;-2.8,80,head_s,0;15;170,90,0;0;10,,,,,,,,,
LuchadorCorinthians,,chest_s,0;-1.7;-3.4,100,chest_s,0;-2;-2.8,80,head_s,0;15;170,90,0;0;10,,,,,,,,,
ShotgunGirlBocaJuniors,,chest_s,0;-1;-1.7,80,chest_s,0;-1;-1.3,58,head_s,0;30;190,70,0;0;-5,,,,,,,,,
ShotgunGirlAmerica,,chest_s,0;-1;-1.7,80,chest_s,0;-1;-1.3,58,head_s,0;30;190,70,0;0;-5,,,,,,,,,
ShotgunGirlUDeChile,,chest_s,0;-1;-1.7,80,chest_s,0;-1;-1.3,58,head_s,0;30;190,70,0;0;-5,,,,,,,,,
GunSlingerRiverPlate,,chest_s,0;-0.5;-2.5,80,chest_s,0;-1;-2,68,head_s,0;15;170,80,,,,,,,,,,
GunSlingerCerroPorteno,,chest_s,0;-0.5;-2.5,80,chest_s,0;-1;-2,68,head_s,0;15;170,80,,,,,,,,,,
GunSlingerAtlNacional,,chest_s,0;-0.5;-2.5,80,chest_s,0;-1;-2,68,head_s,0;15;170,80,,,,,,,,,,
TntDudeFlamengo,,chest_s,0;-0.5;-1.3,80,back_item_01_s,0;-1.5;-6.2,48,head_s,0;0;200,75,,,,,,,,,,
TntDudeLduQuito,,chest_s,0;-0.5;-1.3,80,back_item_01_s,0;-1.5;-6.2,48,head_s,0;0;200,75,,,,,,,,,,
TntDudeChivas,,chest_s,0;-0.5;-1.3,80,back_item_01_s,0;-1.5;-6.2,48,head_s,0;0;200,75,,,,,,,,,,
GunslingerClubAmerica,,chest_s,0;-0.5;-2.5,80,chest_s,0;-1;-2,68,head_s,0;15;170,80,,,,,,,,,,
GunslingerTrueGold,,chest_s,0;-0.5;-2.5,80,chest_s,0;-1;-2,68,head_s,0;15;170,80,,,,,,,,,,
GunslingerTrueSilver,,chest_s,0;-0.5;-2.5,80,chest_s,0;-1;-2,68,head_s,0;15;170,80,,,,,,,,,,
SpawnerDudeTrueGold,,chest_s,0;-0.5;-2.2,85,chest_s,0;-1;-2.6,46,head_s,0;0;180,75,0;0;-7,,,,,,,,,
SpawnerDudeTrueSilver,,chest_s,0;-0.5;-2.2,85,chest_s,0;-1;-2.6,46,head_s,0;0;180,75,0;0;-7,,,,,,,,,
SpawnerPetTrueGold,,,,,,,,,,,,,,,,,,,,
SpawnerDudeTurretTrueGold,,,,,,,,,,,,,,,,,,,,
SpawnerPetTrueSilver,,,,,,,,,,,,,,,,,,,,
SpawnerDudeTurretTrueSilver,,,,,,,,,,,,,,,,,,,,
Trophy,,,,,,,,,,,,,,,,,,,,
TrophyBlueRed,,,,,,,,,,,,,,,,,,,,
Volleyball,,,,,,,,,,,,,,,,,,,,
Basketball,,,,,,,,,,,,,,,,,,,,
DeadMariachiPunk,,chest_s,0;-1;-1.5,65,chest_s,0;-1.4;-2.2,40,head_s,0;0;220,75,0;0;38,,,,,,,,,
RopeDudePunk,,chest_s,0;0;-3.5,95,chest_s,0;-1.9;-3.5,61,head_s,0;0;180,75,0;0;-5,,,,,,,,,
BaseballWarrior,,chest_s,0;0;-1.7,70,chest_s,0;0.5;-1.2,48,head_s,0;0;165,75,0;0;5,,,,,,,,,
RollerPunk,,chest_s,0;-1;-3,90,chest_s,0;-2.2;-2.4,60,head_s,0;0;185,75,0;0;7,,,,,,,,,
ShamanSummer,,chest_s,0;-1;-2.2,65,chest_s,0;-1.8;-3.8,48,head_s,0;15;200,80,,,,,,,,,,
ShamanBearSummer,,,,,,,,,,,,,,,,,,,,
CactusCoverDefault,,,,,,,,,,,,,,,,,,,,
NinjaInvisibleAreaDefault,,,,,,,,,,,,,,,,,,,,
BarrelBotMegabox,,chest_s,0;0.5;-4.5,100,chest_s,0;-1.6;-5.6,80,head_s,0;0;300,85,0;0;16,,,,,,,,,
StuDrumsDefault,,,,,,,,,,,,,,,,,,,,
KnightDefault,,chest_s,0;-1;-3.5,95,chest_s,0;-1.4;-2.9,68,chest_s,0;0;270,80,0;0;13,,,,,,,,,
LuchadorDragon,,chest_s,0;-1.6;-5.5,100,chest_s,0;-2.2;-5.5,78,head_s,0;15;170,90,0;0;5,,,,,,,,,
MinigunDudeQueen,,ChestBone,1.3;6.3;0,100,ChestBone,3;7.3;0,92,HeadBone,0;0;224,85,0;0;15,,,,,,,,,
HealingstationQueen,,,,,,,,,,,,,,,,,,,,
BarkeepUnicorn,,chest_s,0;-0.5;-2,90,chest_s,0;-1;-2.8,70,head_s,0;0;170,75,,,,,,,,,,
SnakeOilWizard,,chest_s,0;-0.5;-3.5,85,chest_s,0;-1.5;-3.9,48,head_s,0;0;180,75,0;0;-6,,,,,,,,,
ShotgunGirlPrincess,,chest_s,0;-0.4;-1.7,80,chest_s,0;-1;-1.5,58,head_s,0;30;190,70,0;0;-5,,,,,,,,,
LuchadorDragonChroma,,chest_s,0;-1.6;-5.5,100,chest_s,0;-2.2;-5.5,78,head_s,0;15;170,90,0;0;5,,,,,,,,,
MechaDudeDefault,,chest_s,0;-0.3;-1.6,75,chest_s,0;-0.8;-1.1,46,head_s,0;20;195,70,0;0;5,,,,,,,,,
MechaDudeBigDefault,,,,,,,,,,,,,,,,,,,,
BowDudeGold,,chest_s,0;-1;-5,100,chest_s,0;-1;-4.9,82,head_s,0;0;175,85,0;0;-55,,,,,,,,,
BowDudeSilver,,chest_s,0;-1;-5,100,chest_s,0;-1;-4.9,82,head_s,0;0;175,85,0;0;-55,,,,,,,,,
BeeSniperGold,,chest_s,0;0;-2,70,chest_s,0;0;-2.2,48,head_s,0;0;180,75,0;0;15,,,,,,,,,
BeeSniperSilver,,chest_s,0;0;-2,70,chest_s,0;0;-2.2,48,head_s,0;0;180,75,0;0;15,,,,,,,,,
BlowerSilver,,chest_s,0;0;-2.2,80,chest_s,0;-0.4;-2.6,54,head_s,0;20;220,75,0;0;15,,,,,,,,,
BlowerGold,,chest_s,0;0;-2.2,80,chest_s,0;-0.4;-2.6,54,head_s,0;20;220,75,0;0;15,,,,,,,,,
ControllerGold,,chest_s,0;-2;-3.4,100,chest_s,0;-2.5;-3.4,58,chest_s,0;0;190,90,0;0;-9,,,,,,,,,
ControllerSilver,,chest_s,0;-2;-3.4,100,chest_s,0;-2.5;-3.4,58,chest_s,0;0;190,90,0;0;-9,,,,,,,,,
SandstormGold,,chest_s,0;0.5;-2,75,spine_upper_s,0;0.7;-2,45,head_fixed_s,0;0;180,75,0;0;-30,,,,,,,,,
SandstormSilver,,chest_s,0;0.5;-2,75,spine_upper_s,0;0.5;-2,45,head_fixed_s,0;0;180,75,0;0;-30,,,,,,,,,
ControllerGoldAddon,,,,,,,,,,,,,,,,,,,,
ControllerSilverAddon,,,,,,,,,,,,,,,,,,,,
BeeSniperGoldAddonBee,,,,,,,,,,,,,,,,,,,,
BeeSniperSilverAddonBee,,,,,,,,,,,,,,,,,,,,
GunslingerHeist,,chest_s,0;-0.5;-3,80,chest_s,0;-1.2;-3,68,head_s,0;15;170,80,0;0;12,,,,,,,,,
WallyPrince,,chest_s,0;-0.5;-3.1,85,chest_s,0;-0.9;-3.4,58,chest_s,0;55;220,80,0;0;20,,,,,,,,,
StickyBombVeteran,,chest_s,0;-0.5;-3.5,92,chest_s,0;-1.5;-6.5,58,head_s,0;0;185,80,,,,,,,,,,
KnightNinja,,chest_s,0;-1;-4.2,95,chest_s,0;-1.4;-3.9,66,chest_s,0;0;290,80,0;0;-8,,,,,,,,,
SniperMoon,,chest_s,0;-1;-2,80,chest_s,0;-1.2;-3.3,52,head_s,0;0;165,60,0;0;9,,,,,,,,,
WallyPrinceChroma,,chest_s,0;-0.5;-3.1,85,chest_s,0;-0.9;-3.4,58,chest_s,0;55;220,80,0;0;20,,,,,,,,,
KnightPetDefault,,,,,,,,,,,,,,,,,,,,
KnightPetNinja,,,,,,,,,,,,,,,,,,,,
RopeDudeDirector,,chest_s,0;0;-3.5,95,chest_s,0;-3;-4.2,61,head_s,0;0;200,75,0;0;13,,,,,,,,,
BlowerBusters,,chest_s,0;0.3;-2.2,80,chest_s,0;-0.4;-3.4,50,head_s,0;0;210,75,0;0;23,,,,,,,,,
HookDudeSwamp,,spine_upper_s,0;-0.5;-2.9,90,spine_upper_s,0;-0.7;-3.4,46,head_s,0;0;184,90,0;0;6,,,,,,,,,
CrowSuper,,chest_s,0;-0.5;-3.6,80,chest_s,0;-0.5;-2.6,52,head_s,0;0;175,75,0;0;-40,,,,,,,,,
PercenterGladiator,,chest_s,0;0;-3.3,80,chest_s,0;0;-3.1,50,head_s,0;0;255,75,0;0;10,,,,,,,,,
StickyBombPotato,,chest_s,0;-0.5;-3.5,92,chest_s,0;-1.3;-6.5,58,head_no_turn_s,0;0;215,80,,,,,,,,,,
BullDudeTerminator,,chest_s,0;-2;-3.5,110,chest_s,0;-2;-3,88,head_s,0;30;200,85,0;0;5,,,,,,,,,
MechanicThief,,chest_s,0;0.2;-4,65,hips_s,0;-0.5;-3.6,46,head_s,0;0;192,75,0;0;-5,,,,,,,,,
MechanicTurretThief,,,,,,,,,,,,,,,,,,,,
TrickshotDudeChicken,,chest_s,0;-3;-3.7,90,chest_s,0;-3.3;-1.9,75,head_s,0;0;220,75,,,,,,,,,,
TntDudeToxic,,chest_s,0;-0.5;-1.3,80,back_item_01_s,0;-1.2;-3.5,50,head_s,0;0;200,75,,,,,,,,,,
DuplicatorDefault,,chest_s,0;-1;-3,85,chest_s,0;-1;-3,58,head_s,0;0;230,75,0;0;25,,,,,,,,,
RocketGirlSilver,,hips_s,0;-3;-5,75,hips_s,0;-3.8;-5.3,60,head_s,0;20;155,75,0;0;-10,,,,,,,,,
RocketGirlGold,,hips_s,0;-3;-5,75,hips_s,0;-3.8;-5.3,60,head_s,0;20;155,75,0;0;-10,,,,,,,,,
ArcadeSilver,,chest_s,0;-1;-3.7,85,chest_s,0;-1;-3.4,79,chest_s,0;0;200,95,0;0;20,,,,,,,,,
ArcadeGold,,chest_s,0;-1;-3.7,85,chest_s,0;-1;-3.4,79,chest_s,0;0;200,95,0;0;20,,,,,,,,,
SpeedySilver,,chest_s,0;-0.9;-2.4,80,spine_upper_s,0;-0.4;-2,48,head_s,0;0;210,75,0;0;6,,,,,,,,,
SpeedyGold,,chest_s,0;-0.9;-2.4,80,spine_upper_s,0;-0.4;-2,48,head_s,0;0;210,75,0;0;6,,,,,,,,,
DeadMariachiGold,,chest_s,0;-1;-1.5,65,chest_s,0;-1.4;-3.7,45,head_s,0;0;210,75,0;0;20,,,,,,,,,
DeadMariachiSilver,,chest_s,0;-1;-1.5,65,chest_s,0;-1.4;-3.7,45,head_s,0;0;210,75,0;0;20,,,,,,,,,
MechaDudeBigDefaultAddon,,,,,,,,,,,,,,,,,,,,
ArcadeRetropolis,,chest_s,0;-1;-3.7,85,chest_s,0;-1;-3.4,79,chest_s,0;0;200,95,0;0;20,,,,,,,,,
DamageBoosterRetropolis,,,,,,,,,,,,,,,,,,,,
MinigunDudeGold,,ChestBone,1.3;6.3;0,100,ChestBone,4;5.5;0,88,HeadBone,0;0;224,85,0;0;6,,,,,,,,,
MinigunDudeSilver,,ChestBone,1.3;6.3;0,100,ChestBone,4;5.5;0,88,HeadBone,0;0;224,85,0;0;6,,,,,,,,,
DamageBoosterGold,,,,,,,,,,,,,,,,,,,,
DamageBoosterSilver,,,,,,,,,,,,,,,,,,,,
SpawnerDudeDracula,,chest_s,0;-0.5;-2.2,85,chest_s,0;-1;-2.6,46,head_s,0;0;180,75,0;0;6,,,,,,,,,
SpawnerDudeTurretDracula,,,,,,,,,,,,,,,,,,,,
SpawnerPetDracula,,,,,,,,,,,,,,,,,,,,
StickyBombGhost,,chest_s,0;-0.5;-3.5,92,chest_s,0;-1.3;-6.5,63,head_s,0;0;185,80,0;0;10,,,,,,,,,
PowerLevelerKong,,chest_s,0;-3.5;-4,110,chest_s,0;-3;-3.8,95,head_s,0;0;250,100,,,,,,,,,,
RollerHeadless,,chest_s,0;-1;-3,90,chest_s,0;-1;-3.1,64,head_s,0;0;175,75,0;0;7,,,,,,,,,
SpawnerDudePengula,,chest_s,0;-0.5;-2.2,85,chest_s,0;-1;-2.6,46,head_s,0;0;180,75,,,,,,,,,,
SpawnerPetPengula,,,,,,,,,,,,,,,,,,,,
KickerDudeDefault,,chest_s,0;-1.3;-2.4,80,chest_s,0;-0.7;-3,58,head_s,0;0;170,75,0;0;-8,,,,,,,,,
BaseballGold,,chest_s,0;0;-1.7,70,chest_s,0;0.5;-1.2,48,head_s,0;0;165,75,0;0;5,,,,,,,,,
BaseballSilver,,chest_s,0;0;-1.7,70,chest_s,0;0.5;-1.2,48,head_s,0;0;165,75,0;0;5,,,,,,,,,
WhirlwindGold,,chest_s,0;-0.5;-2,65,chest_s,0;-0.7;-2.5,56,head_s,0;0;215,85,,,,,,,,,,
WhirlwindSilver,,chest_s,0;-0.5;-2,65,chest_s,0;-0.7;-2.5,56,head_s,0;0;215,85,,,,,,,,,,
FireDudeGold,,chest_s,0;-0.8;-2.4,75,chest_s,0;-0.8;-2.2,50,head_s,0;0;195,70,0;0;13,,,,,,,,,
FireDudeSilver,,chest_s,0;-0.8;-2.4,75,chest_s,0;-0.8;-2.2,50,head_s,0;0;195,70,0;0;13,,,,,,,,,
PercenterGold,,chest_s,0;0;-2,80,chest_s,0;0;-1.4,50,head_s,0;0;180,75,0;0;10,,,,,,,,,
PercenterSilver,,chest_s,0;0;-2,80,chest_s,0;0;-1.4,50,head_s,0;0;180,75,0;0;10,,,,,,,,,
TntDudeGold,,chest_s,0;-0.5;-1.3,80,back_item_01_s,0;-1.5;-6.3,50,head_s,0;0;200,75,,,,,,,,,,
TntDudeSilver,,chest_s,0;-0.5;-1.3,80,back_item_01_s,0;-1.5;-6.3,50,head_s,0;0;200,75,,,,,,,,,,
SpawnerDudeDraculaBrawliwood,,,,,,,,,,,,,,,,,,,,
DuplicatorChola,,chest_s,0;-1;-3,85,chest_s,0;-1.8;-3,58,head_s,0;0;230,75,0;0;15,,,,,,,,,
ActionDudeDefault,,,,,,,,,,,,,,,,,,,,
ActionDudePetDefault,,,,,,,,,,,,,,,,,,,,
BarkeepDrunken,,chest_s,0;-0.5;-2,90,chest_s,0;-1.2;-2.8,64,head_s,0;0;170,75,,,,,,,,,,
EnragerSnake,,chest_s,0;-1;-4,90,chest_s,0;-0.4;-3,55,head_s,0;0;165,80,0;0;-25,,,,,,,,,
LuchadorTiger,,chest_s,0;-0.4;-4.5,100,chest_s,0;-1;-4,80,head_s,0;15;170,90,0;0;3,,,,,,,,,
HealstationGold,,,,,,,,,,,,,,,,,,,,
HealstationSilver,,,,,,,,,,,,,,,,,,,,
LuchadorCorazon,,chest_s,0;-1.7;-4,100,chest_s,0;-2;-3.6,80,head_s,0;15;170,90,0;0;10,,,,,,,,,
SniperDani,,chest_s,0;-1;-2,80,chest_s,0;-1.2;-3.2,48,head_s,0;0;145,60,0;0;23,,,,,,,,,
MechanicPaula,,chest_s,0;0;-4,65,hips_s,0;-0.5;-4,55,head_s,0;0;192,75,,,,,,,,,,
DrillerGift,,chest_s,0;-0.5;-2,65,chest_s,0;-0.5;-3.2,50,head_s,0;0;190,75,0;0;-15,,,,,,,,,
BowDudeSanta,,chest_s,0;-1;-5,100,chest_s,0;-1.2;-6,80,head_s,0;0;210,85,0;0;-20,,,,,,,,,
RosaBP,,chest_s,0;0;-2.6,90,spine_upper_s,0;1.2;-5.6,76,head_s,0;0;180,80,0;0;-8,,,,,,,,,
CactusLog,,chest_s,0;-0.5;-3.3,85,chest_s,0;-1.4;-3.6,58,head_s,0;0;230,80,,,,,,,,,,
DrillerGold,,chest_s,0;-0.5;-2,65,chest_s,0;-0.5;-2.6,50,head_s,0;0;175,75,0;0;-15,,,,,,,,,
DrillerSilver,,chest_s,0;-0.5;-2,65,chest_s,0;-0.5;-2.6,50,head_s,0;0;175,75,0;0;-15,,,,,,,,,
IceDudeGold,,chest_s,0;-1;-3,75,chest_s,0;-1.4;-3.8,55,head_s,0;0;200,75,,,,,,,,,,
IceDudeSilver,,chest_s,0;-1;-3,75,chest_s,0;-1.4;-3.8,55,head_s,0;0;200,75,,,,,,,,,,
ArtilleryDudeGold,,chest_s,0;-0.5;-3.6,65,chest_s,0;-0.9;-3.2,52,head_s,0;0;200,85,0;0;6,,,,,,,,,
ArtilleryDudeSilver,,chest_s,0;-0.5;-3.6,65,chest_s,0;-0.9;-3.2,52,head_s,0;0;200,85,0;0;6,,,,,,,,,
RosaGold,,chest_s,0;-0.5;-2.8,90,spine_upper_s,0;1.2;-5.3,72,head_s,0;0;200,80,0;0;-8,,,,,,,,,
