"TID","FI"
"TID_TEAM_MEMBER_LEFT_1","Sinut poistettiin joukkueesta."
"TID_TEAM_MEMBER_LEFT_2","Joukkue hajotettu, sillä tapahtuma on loppunut."
"TID_TEAM_MEMBER_LEFT_3","Joukkue hajotettu, sillä joukkueen perustaja poistui."
"TID_TEAM_GAME_STARTING","Peli alkamaisillaan"
"TID_TEAM_CODE_COPIED","Koodi on kopioitu leikepöydälle."
"TID_TEAM_MEMBER_INVITE_STATUS_1","<c00ff00>KUTSU ODOTTAA</c>"
"TID_TEAM_MEMBER_INVITE_STATUS_2","<ccc0000>HYLÄTTY</c>"
"TID_TEAM_MEMBER_INVITE_STATUS_3","<c0000cc>KOHDE EI PAIKALLA</c>"
"TID_TEAM_MEMBER_CANCEL_INVITE_INFO","Peruuta napauttamalla."
"TID_TEAM_ERROR_1","Joukkuepalvelinvirhe"
"TID_TEAM_ERROR_2","Liittyminen ei onnistu. Joukkue on täynnä."
"TID_TEAM_ERROR_3","Liittyminen ei onnistu. Joukkue on jo hajotettu."
"TID_TEAM_ERROR_5","Virheellinen joukkuekoodi. Tarkista koodi."
"TID_TEAM_ERROR_6","Koodilla ei löydy joukkuetta."
"TID_TEAM_ERROR_7","Et voi liittyä joukkueeseen, josta sinut on poistettu."
"TID_TEAM_ERROR_8","Tarkista puolen asetukset. Millään puolella ei voi olla enempää kuin 3 pelaajaa."
"TID_TEAM_ERROR_10","Joukkueen perustaminen ei onnistu. Olet jo joukkueessa."
"TID_TEAM_ERROR_11","Joukkueen perustaminen ei onnistu. Tapahtuma on päättynyt."
"TID_TEAM_ERROR_12","Hajotettuun joukkueeseen ei voi liittyä."
"TID_TEAM_ERROR_14","Joukkueen perustaminen ei onnistu. Joukkuepeli ei ole käytettävissä tässä tapahtumassa."
"TID_TEAM_ERROR_15","Joukkueeseen ei pääse. Tämä joukkue ei ole alueellasi."
"TID_TEAM_ERROR_17","Peliä ei voi aloittaa. Tupla-rämäpäitä ei sallita."
"TID_TEAM_ERROR_18","Peliä ei voi aloittaa. Peli joutuu pian huoltotauolle."
"TID_TEAM_ERROR_19","Joukkueen perustajaa ei voi poistaa, kun hän on paikalla."
"TID_TEAM_ERROR_20","Karttaa ei voida vaihtaa. Tällä kartalla on liikaa pelaajia."
"TID_TEAM_ERROR_21","Peliä ei voi aloittaa. Ei tarpeeksi lippuja."
"TID_TEAM_ERROR_22","Karttaa ei voida vaihtaa. Pelaajia on liikaa."
"TID_TEAM_ERROR_24","Kutsu epäonnistui. Ystävää ei löydetty."
"TID_TEAM_ERROR_25","Kutsu epäonnistui. Joukkue on täynnä."
"TID_TEAM_ERROR_26","Kutsu hylätty"
"TID_TEAM_ERROR_27","Kutsu epäonnistui. Pelaaja ei nyt ota vastaan joukkuekutsuja."
"TID_TEAM_ERROR_28","Kutsu epäonnistui. Pelaaja ei ole enää paikalla."
"TID_TEAM_ERROR_29","Kutsu epäonnistui. Pelaaja on jo joukkueessa."
"TID_TEAM_ERROR_30","Peliä ei voi aloittaa odottavan kutsun takia."
"TID_TEAM_ERROR_31","Tapahtumaa ei voi vaihtaa odottavan kutsun aikana."
"TID_TEAM_ERROR_32","Joukkueessa on liikaa jäseniä tähän pelitilaan."
"TID_TEAM_ERROR_33","Joukkuepeli ei ole käytettävissä tässä pelitilassa."
"TID_TEAM_ERROR_34","Olet jo kukistanut viimeisen pomon."
"TID_TEAM_ERROR_40","Liittymispyyntö joukkueeseen on jo odottamassa."
"TID_TEAM_ERROR_41","Liittymispyyntö joukkueeseen hylättiin."
"TID_TEAM_ERROR_42","Liittymispyyntö joukkueeseen epäonnistui. Joukkuetta ei löydy."
"TID_TEAM_ERROR_43","Liittymispyynnön vastaanottaja ei ole enää joukkueessa."
"TID_TEAM_ERROR_44","Liittymispyynnön vastaanottaja ei ole enää paikalla."
"TID_TEAM_ERROR_45","Liittymispyyntö epäonnistui. Joukkue on täynnä."
"TID_TEAM_ERROR_46","Liittymispyynnön vastaanottaja on mykistänyt sinut."
"TID_TEAM_ERROR_47","Pyyntö liittyä joukkueeseen epäonnistui. Vain ystävyysotteluhuoneen haltija voi hyväksyä liittymispyynnöt."
"TID_SELECT_LOCATION_TITLE","VALITSE KARTTA"
"TID_SELECT_LOCATION_LOCATIONS","YSTÄVYYSOTTELU"
"TID_SELECT_LOCATION_EVENTS","SIJOITUSOTTELU"
"TID_TEAM_SEARCH_INVALID_CODE","Virheellinen joukkuekoodi. Tarkista koodi."
"TID_TEAM_LEAVE","POISTU"
"TID_TEAM_JOIN","LIITY JOUKKUEESEEN"
"TID_TEAM_READY_BUTTON_LABEL","OLEN VALMIINA"
"TID_TEAM_CANCEL_READY","Peruuta"
"TID_TEAM_QUIT","POISTU"
"TID_TEAM_TEAMCODE","Joukkuekoodi"
"TID_TEAM_TEAMCODE_DESC","Kaverisi pääsevät joukkueeseen tällä koodilla."
"TID_TEAM_WAITING_FOR_PLAYER","Kutsu joukkuekoodilla"
"TID_TEAM_NO_MEMBER","ROBOTTI"
"TID_TEAM_NO_MEMBER_INVITE","KUTSU"
"TID_TEAMCREATE_EVENT","Kartta"
"TID_TEAM_KICK","Poista"
"TID_TEAM_PROFILE","Profiili"
"TID_TEAM_SWAP","Vaihda puolta"
"TID_TEAM_SWAP_HERE","Vaihda tänne"
"TID_TEAM_CREATOR_ONLY_FEATURE","Vain joukkueen perustajan käytettävissä"
"TID_TEAM_CREATOR_ONLY_FEATURE_MODES","Vain joukkueen perustaja voi vaihtaa tapahtumaa."
"TID_TEAM_PROFILE_BLOCKED","Ei nähtävillä valmiustilassa"
"TID_TEAM_FEATURE_BLOCKED_WHILE_READY","Ei saatavilla valmiustilassa"
"TID_TEAM_PRACTISE_BUTTON_LABEL","HARJOITUS"
"TID_TEAM_PRACTISE_BUTTON_SUBLABEL","robottien kanssa"
"TID_TEAM_LOOT_UNLOCKS","PALKINNOT"
"TID_BONUS_REWARD","Bonuspalkinto 3 voitosta:"
"TID_BONUS_REWARD_COLLECTED","Bonuspalkinto lunastettu"
"TID_INFO_SERVER_ERROR_TITLE","Palvelinvirhe"
"TID_INFO_SERVER_ERROR_BUTTON","Lataa peli uudelleen"
"TID_RARITY_NAME_0","Pokaalipolun palkinto"
"TID_RARITY_NAME_1","Harvinainen"
"TID_RARITY_NAME_2","Superharvinainen"
"TID_RARITY_NAME_3","Eeppinen"
"TID_RARITY_NAME_4","Myyttinen"
"TID_RARITY_NAME_5","Legendaarinen"
"TID_RARITY_COLOR_0","B9EAFF"
"TID_RARITY_COLOR_1","68FD58"
"TID_RARITY_COLOR_2","5AB3FF"
"TID_RARITY_COLOR_3","D850FF"
"TID_RARITY_COLOR_4","FE5E72"
"TID_RARITY_COLOR_5","FFF11E"
"TID_HERO_SCREEN_DIM_COLOR","164382"
"TID_RANK_UP_POPUP_TITLE","NOUSIT ARVOASTEIKOLLA!"
"TID_RANK_UP_POPUP_REWARD_BONUS","ARVOBONUS"
"TID_RANK_UP_POPUP_RANK","ARVO <RANK>"
"TID_NAME_FAILED_TOO_SHORT","Nimi on liian lyhyt!"
"TID_NAME_FAILED_PROFANITIES","Nimeä ei hyväksytä!"
"TID_NAME_FAILED","Nimeä ei hyväksytä!"
"TID_EVENT_STARTED","Tapahtuman <GAMEMODE> uusi kartta auki! Uusia palkintoja saatavilla!"
"TID_SELECT_HERO_INFO_1","<cFF8000>Pelaajat vs pelaajat</c>"
"TID_SELECT_HERO_INFO_2","<c2288ff>Moninpeli robotteja vastaan</c>"
"TID_SELECT_HERO_INFO_3","<c40E0D0>Yksinpeli robotteja vastaan</c>"
"TID_SELECT_HERO_INFO_1_6","<cFF8000>Pelaajat vs pelaajat</c>"
"TID_SELECT_HERO_INFO_3_6","<c40E0D0>Yksinpeli robotteja vastaan</c>"
"TID_SELECT_HERO_INFO_FRIENDLY","<c40E0D0>Ystävyysotteluissa rämäpäät ovat täysin päivitettyjä.</c>"
"TID_SELECT_HERO_INFO_RANK_REWARD","Kerää tehopisteet"
"TID_SELECT_HERO_POW_INFO_TITLE","TEHOPISTEPALKINTO"
"TID_SELECT_HERO_POW_INFO_PURCHASE_TITLE","TEHOPISTEIDEN OSTAMINEN"
"TID_SELECT_HERO_POW_INFO_BODY","VALITSE RÄMÄPÄÄ\nSAAMAAN TEHOPISTEITÄ"
"TID_SELECT_HERO_WILD_CARD_POWER_NOT_ASSIGNABLE","Tällä rämäpäällä on jo enimmäismäärä tehopisteitä."
"TID_NAVI_1","Kauppa"
"TID_NAVI_2","Uutiset"
"TID_NAVI_3","Ottelu"
"TID_NAVI_4","Rämäpäät"
"TID_NAVI_5","Jengi"
"TID_NAVI_6","Profiili"
"TID_NAVI_7","Kaverit"
"TID_LEADERBOARD_TITLE","PISTETAULUKOT"
"TID_LEADERBOARD_TAB_TOTAL","POKAALEJA\nYHTEENSÄ"
"TID_LEADERBOARD_TAB_HEROES","RÄMÄPÄÄT"
"TID_LEADERBOARD_TAB_CLANS","JENGIT"
"TID_LEADERBOARD_TAB_FRIENDS","KAVERIT"
"TID_LEADERBOARD_SUBTITLE_1","PARHAAT PELAAJAT"
"TID_LEADERBOARD_SUBTITLE_2","PARHAAT JENGIT"
"TID_LEADERBOARD_SUBTITLE_0","PARHAAT <HERO> -PELAAJAT"
"TID_BATTLE_MAIN_NEXT_REWARD","Uusi palkinto: <VALUE>/<MAX>"
"TID_BATTLE_MAIN_NEXT_PLANET","Uusi kartta <TIME> kuluttua"
"TID_BATTLE_MAIN_COLLECTED_COINS","<VALUE> lunastettu"
"TID_GATCHA_ERROR_NOT_ENOUGH_GOLD","Kerää 100 polettia ja saat rähinälippaan!"
"TID_GATCHA_INFO","<c0000ff>Rähinälippaat</c>\n\nAvaa rähinälippaita ja saat rämäpäitä, tehopisteitä, kolikoita ja poletintuplaajia."
"TID_HERO_INFO_ABILITY_COLOR_1","12b400"
"TID_HERO_INFO_ABILITY_COLOR_2","df1800"
"TID_HERO_INFO_ABILITY_COLOR_3","005bd6"
"TID_HERO_INFO_ARMOR","ELINVOIMA"
"TID_HERO_INFO_ABILITY","HYÖKKÄYS: <NAME>"
"TID_HERO_INFO_ULTI","SUPER: <NAME>"
"TID_HERO_INFO_BACK","TAKAISIN"
"TID_HERO_INFO_UPGRADE","PÄIVITÄ"
"TID_HERO_INFO_ABILITY_LEVEL","TASO <LEVEL>/<MAXLEVEL>"
"TID_HERO_INFO_CRAFT_HERO","Osta rämäpää"
"TID_HERO_INFO_RARITY","<c<COLOR>><NAME></c>"
"TID_HERO_INFO_ITEM_RARITY","<c<COLOR>><NAME></c>"
"TID_HERO_INFO_POWER_BAR_TOOL_TIP","Kerää tehopisteitä rähinälippaista ja kaupan tarjouksista avataksesi uuden päivityksen."
"TID_HERO_INFO_STAR_POWER_CAN_DROP","Tähtivoiman voi nyt löytää rähinälippaasta."
"TID_HERO_INFO_STAR_POWER_BLOCKED","Saatavilla rähinälippaista sitten, kun <HERONAME> on tehotasolla <LEVEL>."
"TID_HERO_INFO_STAR_POWER_LABEL","TÄHTIVOIMA: <NAME>"
"TID_HERO_INFO_ABILITY_DESC","<c<COLOR>><CAPTION></c>\n<BODY>"
"TID_MATCHMAKE_FAILED_5","Ottelunmuodostus epäonnistui: tapahtuma on päättynyt."
"TID_MATCHMAKE_FAILED_7","Ottelunmuodostus epäonnistui: joukkueen jäsen poistui paikalta."
"TID_MATCHMAKE_FAILED_9","Ottelunmuodostus epäonnistui: huoltokatko on alkamaisillaan."
"TID_MATCHMAKE_FAILED_11","Ottelunmuodostus epäonnistui: joukkueen jäsen poistui ottelunmuodostuksesta."
"TID_MATCHMAKE_FAILED_12","Ottelunmuodostus epäonnistui: olet jo kukistanut viimeisen pomon."
"TID_SUDDEN_DEATH_TIMER","<n1>"
"TID_OWN_TEAM_WINNING","Sinisten voittoon:"
"TID_ENEMY_TEAM_WINNING","Punaisten voittoon:"
"TID_OWN_TEAM","Siniset"
"TID_ENEMY_TEAM","Punaiset"
"TID_COUNTDOWN","LOPPULASKENTA"
"TID_HERO_LIST_UNLOCKED","<COUNT>/<TOTAL>"
"TID_HERO_LIST_LABEL","RÄMÄPÄÄT"
"TID_HERO_LIST_DO_GATCHA","Avaa rähinälipas"
"TID_HERO_TIME_UNTIL_RELEASE","Saapuu <TIME> kuluttua."
"TID_SKIN_INFO_TIME_UNTIL_RELEASE","Saapuu <TIME> kuluttua."
"TID_SKIN_INFO_","Supercell ID -palkintoasu"
"TID_SKIN_INFO_1","Brawl Stars -edelläkävijän asu!\n\nEnnen vuotta 2019 luoduille pelitileille."
"TID_SKIN_INFO_2","Hanki tämä asu yhdistämällä pelisi Supercell ID:hen asetusvalikossa!"
"TID_SKIN_INFO_3_not_available","Rämäpäiden 2018 juhlapyhäasu.\nEi nyt saatavilla"
"TID_SKIN_INFO_3_available","Osallistu juhlapyhien nujakoihin tässä juhla-asussa!\nSaatavilla rajoitetun ajan."
"TID_SKIN_INFO_4","Tulossa pian..."
"TID_SKIN_REWARD_TITLE_1","ASUPALKINTO"
"TID_SKIN_REWARD_INFO_1","Sait uuden asun! Kiitos, kun pelaat Brawl Starsia vuonna 2018."
"TID_SKIN_REWARD_TITLE_2","ASUPALKINTO"
"TID_SKIN_REWARD_INFO_2","Sait uuden asun palkinnoksi tilisi yhdistämisestä Supecell ID:hen."
"TID_SKIN_REWARD_OK","LUNASTA"
"TID_RANK_POPUP_TITLE","POKAALIPOLKU"
"TID_RANK_POPUP_NEXT_GOAL","SEURAAVAKSI"
"TID_RANK_POPUP_COLLECT","KERÄÄ"
"TID_RANK_POPUP_SEASON_END_REWARD","Kausipalkinto"
"TID_RANK_POPUP_SEASON_END_REWARD_OWN","<cffff00>KAUSIPALKINTOSI</c>"
"TID_RANK_POPUP_TOTAL_INFO","Kasvata pokaalimäärääsi, niin voit saada palkintoja ja päästä uusiin liigoihin!\nPokaalien kokonaismäärään otetaan huomioon kaikkien rämäpäidesi omat pokaalit."
"TID_RANK_POPUP_SEASON_END_TITLE","KAUDEN PÄÄTTYMISEEN"
"TID_RANK_POPUP_SEASON_END_INFO","Kun kausi loppuu, rämäpääsi, joilla on yli <DECAYSTART> pokaalia, menettävät <DECAYSTART> kappaleen ylimenevistä pokaaleista <DECAYPERCENTAGE> %."
"TID_RANK_POPUP_HILITE_CAPTION_3","AVAA: <HERO>"
"TID_RANK_POPUP_HILITE_CAPTION_13","UUSI TAPAHTUMA: <NAME>"
"TID_RANK_POPUP_HILITE_CAPTION_10","MEGALIPAS"
"TID_RANK_POPUP_HILITE_CAPTION_SLOT_4","ERIKOISTAPAHTUMAT"
"TID_RANK_POPUP_HILITE_CAPTION_SLOT_3","PÄIVITTÄISET TAPAHTUMAT"
"TID_RANK_POPUP_HILITE_CAPTION_SLOT_7","LIPPUTAPAHTUMAT"
"TID_DAILY_COINS_COLLECTED","Kerätyt"
"TID_TEAM_BATTLE","LUO"
"TID_TEAM_UNREADY","ei valmiina"
"TID_TEAM_WAITING_WHILE_READY","Olet valmiina!\nOdota muita."
"TID_GATCHA_SCREEN_NEW_HERO","<c<COLOR>><NAME>: <OWNEDCOUNT>/<SETSIZE> rämäpäätä</c>"
"TID_GATCHA_SCREEN_NEW_ITEM","<c<COLOR>><OWNEDCOUNT>/<SETSIZE> <NAME></c>"
"TID_GATCHA_SCREEN_BOXES_REMAINING","<AMOUNT>"
"TID_GATCHA_SCREEN_OK","Siistiä!"
"TID_GATCHA_SCREEN_TAP","Napu, napu!"
"TID_GATCHA_SCREEN_TICKET_DROP_HEADER","TAPAHTUMALIPUT"
"TID_GATCHA_SCREEN_TICKET_DROP_BONUS","BONUS!"
"TID_GATCHA_SCREEN_TICKET_DROP_DESC_ONGOING","Aktiivisena <TIME>"
"TID_GATCHA_SCREEN_TICKET_DROP_DESC_FUTURE","Alkamiseen <TIME>"
"TID_GATCHA_SCREEN_COIN_DOUBLER_HEADER","POLETINTUPLAAJA"
"TID_GATCHA_SCREEN_COIN_DOUBLER_VALUE","+<AMOUNT>"
"TID_GATCHA_SCREEN_COIN_DOUBLER_DESC","Tuplaa ottelusta ansaitsemasi poletit!"
"TID_GATCHA_SCREEN_GOLD_DROP_TITLE","KOLIKOT"
"TID_GATCHA_SCREEN_GOLD_DROP_DESC","Kolikoilla voit päivittää rämäpäitäsi."
"TID_GATCHA_SCREEN_GEM_DROP_TITLE","JALOKIVET"
"TID_GATCHA_SCREEN_GEM_DROP_DESC","Käytä jalokiviä kaupassa lippaiden, asujen ja muiden tuotteiden ostamiseen."
"TID_GATCHA_SCREEN_HERO_POWER_TITLE","TEHOPISTEET"
"TID_GATCHA_SCREEN_HERO_POWER_LEVEL_UP_UNLOCKED","Päivitys avattu!"
"TID_GATCHA_SCREEN_HERO_POWER_LEVEL_UP_AVAILABLE","Päivitys saatavilla!"
"TID_GATCHA_SCREEN_BOX_COUNTER_BONUS","BONUS"
"TID_NAVI_BLOCKED_1","Et voi vaihtaa sivua valmiustilassa!"
"TID_TEAM_MEMBER_INFO_READY","<NAME> odottaa, että muutkin ovat valmiina."
"TID_TEAM_MEMBER_INFO_NOT_READY","<NAME> ei ole vielä valmis otteluun."
"TID_TEAM_MEMBER_INFO_SELF_READY","Et voi vaihtaa rämäpäätä valmiustilassa!"
"TID_TEAM_CHANGE_EVENT_BLOCKED","Et voi vaihtaa tapahtumaa valmiustilassa!"
"TID_TEAM_TOGGLE_PRACTISE_BLOCKED","Et voi vaihtaa tätä valmiustilassa!"
"TID_TEAM_GATCHA_BLOCKED","Et voi avata lipasta valmiustilassa!"
"TID_TEAM_NO_MEMBER_INFO","Joukkuekutsu on vain joukkueen perustajan käytettävissä."
"TID_TEAM_INFO_TEAM_CODE","Jaa tämä koodi kavereillesi ja kutsu heidät joukkueeseesi.\n\nKopioi koodi leikepöydälle napauttamalla uudelleen."
"TID_FREEZER","Jäädyttäjä"
"TID_GAME_OVER","Ottelu päättyi"
"TID_LEVEL","taso <LVL>"
"TID_PLAYERS_IN_MM","Ottelunmuodostuksessa on pelaajia!"
"TID_ONLINE_INFO","Pelaajia paikalla: <ONLINE> ottelunmuodostuksessa: <MATCHMAKE> ottelussa: <BATTLES>"
"TID_INPUT_NAME","Kirjoita nimesi tähän"
"TID_LEADERBOARD_YOUR_SCORE","Pisteesi"
"TID_LEADERBOARD_YOUR_RANK","Sijoituksesi"
"TID_LEADERBOARD_HIGHEST_SCORE","Korkein pistemääräsi"
"TID_LEADERBOARD_LOCAL","PAIKALLINEN (<COUNTRY>)"
"TID_REGION_0","MAAILMAN-\nLAAJUINEN"
"TID_REGION_1","AASIA"
"TID_SET_REGION_RESULT_0","Alueen vaihto alueeseen <REGION> onnistui."
"TID_SET_REGION_RESULT_1","Alueen vaihto epäonnistui: et voi vaihtaa aluetta, kun olet jengissä."
"TID_SET_REGION_RESULT_2","Alueen vaihto epäonnistui: et voi vaihtaa aluetta, kun olet joukkueessa."
"TID_VICTORY_CONDITION_COINRUSH_TITLE","Kristallikaappaus"
"TID_VICTORY_CONDITION_COINRUSH_TEXT","Nappaa ja pidä hallussasi 10 jalokiveä!"
"TID_BATTLE_END_MY_TEAM","Joukkueesi"
"TID_BATTLE_END_ENEMY_TEAM","Vastustajajoukkue"
"TID_BACK","TAKAISIN"
"TID_NOT_ENOUGH_GOLD","Ei tarpeeksi kolikoita. Avaa rähinälippaita saadaksesi niitä lisää."
"TID_UNLOCK_SKIN_ERROR_1","Ei tarpeeksi jalokiviä"
"TID_EXPERIENCE_LEVEL","Kokemustaso"
"TID_BOT_1","Robotti 1"
"TID_BOT_2","Robotti 2"
"TID_BOT_3","Robotti 3"
"TID_BOT_4","Robotti 4"
"TID_BOT_5","Robotti 5"
"TID_BOT_6","Robotti 6"
"TID_BOT_7","Robotti 7"
"TID_BOT_8","Robotti 8"
"TID_BOT_9","Robotti 9"
"TID_CRAFT_HERO_TITLE","Osta rämäpää"
"TID_CRAFT_HERO_BUTTON_LABEL","Osta"
"TID_UNLOCK_SKIN_TITLE","Osta asu"
"TID_SKIN_COMING_SOON","Asu ei ole vielä saatavilla."
"TID_UNLOCK_SKIN_BUTTON_LABEL","Osta"
"TID_HERO_LIST_TOTAL_TROPHIES","Pokaaleja yhteensä"
"TID_TOP_TOOL_TIP_1","<c00ccff>Poleteilla</c> voit avata rähinälippaita.\n\nKerää poletteja uusista tapahtumista ja otteluista."
"TID_TOP_TOOL_TIP_3","<c0ed12d>Jalokivillä</c> voit ostaa lippaita, asuja ja muita kaupan tuotteita.\n\nHanki jalokiviä rähinälippaista tai osta niitä kaupasta oikealla rahalla."
"TID_TOP_TOOL_TIP_2","<cff8E1b>Kolikoilla</c> voit päivittää rämäpäitäsi.\n\nHanki kolikoita rähinälippaista."
"TID_TOP_TOOL_TIP_4","<cff0000>Tapahtumalipuilla</c> pääset lipputapahtumiin.\n\nHanki lippuja rähinälippaista."
"TID_GAME_MODE_0","JALOKIVIKAAPPAUS"
"TID_GAME_MODE_0_DESC","Kerää kartan keskellä olevasta jalokivikaivoksesta ilmestyviä jalokiviä. Toki voit myös vain napata niitä tyrmätyiltä rämäpäiltä. Kun joukkueesi pitää hallussaan kymmenen jalokiveä loppulaskennan ajan, voitatte pelin!"
"TID_GAME_MODE_2","RYÖSTÖ"
"TID_GAME_MODE_2_DESC","Suojelkaa joukkueenne kassakaappia ja yrittäkää samalla murtautua vastustajan kassakaappiin! Voittaja on se joukkue, joka ensimmäisenä pääsee käsiksi vastustajan kassakaapin sisältöön.\n\nJos aika loppuu, enemmän vastustajajoukkueen kaappia tuhonnut joukkue voittaa."
"TID_GAME_MODE_3","PALKKIOJAHTI"
"TID_GAME_MODE_3_DESC","Kerää joukkueellesi tähtiä tyrmäämällä vastustajia. Joka kerta, kun kukistat vastustajan, pääsi päällä näkyvään palkkioon tulee yksi tähti lisää. Voit kerätä jopa seitsemän tähteä, joten varo, ettet anna niitä vastustajalle!\n\nJoukkue, jolla on enemmän tähtiä ajan loppuessa, voittaa."
"TID_GAME_MODE_6","YKSINPELISELKKAUS"
"TID_GAME_MODE_6_COMBINED","SELKKAUS"
"TID_GAME_MODE_6_DESC","Kukista yhdeksän muuta ja ole kukkulan kuningas. Kaikki keinot ovat sallittuja, sillä sinulla on vain yksi elämä."
"TID_GAME_MODE_6_DESC_COMBINED","Kukista yhdeksän muuta ja ole kukkulan kuningas. Pelaa yksin tai kahden pelaajan joukkueessa."
"TID_GAME_MODE_5","RÄHINÄPALLO"
"TID_GAME_MODE_5_DESC","Saa pallo vastustajajoukkueen maaliin! Ottelu päättyy jommankumman joukkueen kahteen maaliin, tai kun aika päättyy."
"TID_BATTLE_END_GAIN_LABEL_FIRST_WIN","Tähtipoletti"
"TID_BATTLE_END_GAIN_LABEL_RANK_UP","Uusi arvo"
"TID_BATTLE_END_GAIN_LABEL_LEVEL_UP","Uusi taso"
"TID_BATTLE_END_GAIN_LABEL_VICTORY","Voitto"
"TID_BATTLE_END_GAIN_LABEL_DEFEAT","Tappio"
"TID_BATTLE_END_GAIN_LABEL_DRAW","Tasapeli"
"TID_BATTLE_END_GAIN_LABEL_MVP","Tähtipelaaja"
"TID_BATTLE_END_GAIN_LABEL_SURVIVAL","Sijoitustulos"
"TID_BATTLE_END_GAIN_LABEL_COOP_SURVIVAL","Aikapalkinto"
"TID_BATTLE_END_GAIN_LABEL_COIN_DOUBLER","Poletteja jäljellä:"
"TID_BATTLE_END_GAIN_LABEL_1VS5_BOSS","Aikapalkinto"
"TID_BATTLE_END_GAIN_LABEL_1VS5_TEAM","Aikapalkinto"
"TID_BATTLE_END_COIN_REWARDS","POLETTIPALKINNOT"
"TID_BATTLE_END_MVP","TÄHTIPELAAJA"
"TID_BATTLE_END_DEFEAT_INFO","Parempi onni ensi kerralla!"
"TID_TUTORIAL_1","Moi, olen Shelly! Kerätään kaikki <ce662f9>jalokivet</c>! <c0066ff>Vedä</c> <c0066ff>sinistä ohjainta</c> vasemmalla peukalollasi, niin saat minut liikkeelle."
"TID_TUTORIAL_2","Kerätään ne kaikki! Nämä <ce662f9>jalokivet</c> ovat minun!"
"TID_TUTORIAL_3","Robokohteita! Tähtää <ccc0033>vetämällä</c> <ccc0033>punaista ohjainta</c> oikealla peukalollasi, ja laukaise ase nostamalla peukalo. Tuhoa robotit!"
"TID_TUTORIAL_GOOD_JOB_1","Hienosti toimittu!"
"TID_TUTORIAL_5","Lisää kohteita! <ccc0033>Napauta</c> <ccc0033>punaista ohjainta</c>, kun haluat ampua lähintä vastustajaa. Tuhoa robotit!"
"TID_TUTORIAL_6","Käytä nyt supervoimaasi seinän takana olevan pomon ampumiseen! <cff9900>Vedä</c> <cff9900>keltaista ohjainta</c> tähdätäksesi supervoimasi, ja laukaise irrottamalla ote!"
"TID_TUTORIAL_555","Hyvin menee, anna palaa!"
"TID_TUTORIAL_7","Hyvää työtä! Saimme <ce662f9>jalokivet</c>, joten nyt ulos täältä!"
"TID_TUTORIAL_8","Vastustajaan osuminen lataa supervoimasi. Käytä <cff9900>keltaista ohjainta</c> hyökätäksesi supervoimallasi!"
"TID_TUTORIAL_9","Olet luontainen rämäpää!\n\nNyt mennään ja näytetään niille!"
"TID_TUTORIAL_10","Kohteisiin hyökkääminen lataa super-hyökkäysmittarisi. Minun superini on valmis nyt.\nNapauta supervoimapainiketta!"
"TID_TUTORIAL_11","<cff6633>Oranssi palkki</c> näyttää ammuksesi. Lataan niin nopeasti, kuin pystyn!"
"TID_FIGHT_TUTORIAL","PELAA"
"TID_HERO_SCORE_INFO","Kerää pokaaleja rämäpäälle voittamalla sijoitusotteluita muita pelaajia vastaan.\n\nHanki <PROGRESS> pokaalia ja nouset arvoasteikolla sekä ansaitset <COINS> polettia."
"TID_HERO_SCORE_INFO_MAXED","Olet saavuttanut ylimmän arvon."
"TID_XP_INFO_ME","Kokemustasosi:\n\nKartuta kokemusta ottelemalla. Kerää vielä <REMPROGRESS> kokemuspistettä, niin pääset tasolle <LEVEL> ja ansaitset <COINS> polettia."
"TID_XP_INFO_OTHER","Tämän pelaajan kokemustaso"
"TID_TUTORIAL_WIN_ONE_GAME_PROMPT","PELAA YKSI HARJOITUSOTTELU AVATAKSESI TÄYDEN PELIN"
"TID_SOCIAL_TAB_CLANS","JENGI"
"TID_SOCIAL_TAB_FRIENDS","KAVERIT"
"TID_FRIEND_STATUS_BATTLE","<cffffff>taistelussa</c> <TIME> ajan"
"TID_FRIEND_STATUS_BATTLE_END_SCREEN","<cffffff>ottelun päätösruutu</c>"
"TID_FRIEND_STATUS_SPECTATING","<cffffff>katselee</c>"
"TID_FRIEND_STATUS_PRACTICING","<cffffff>harjoittelee</c>"
"TID_FRIEND_STATUS_MATCHMAKE","<cffffff>ottelunmuodostuksessa</c>"
"TID_FRIEND_STATUS_HOME_AD_FULL","<cffffff>joukkueessa</c>"
"TID_FRIEND_STATUS_HOME_WITH_AD","<cffffff>joukkueessa</c>"
"TID_FRIEND_STATUS_HOME_IN_GAMEROOM","<cffffff>joukkueessa</c>"
"TID_FRIEND_STATUS_BATTLE_NO_TIME","<cffffff>ottelussa</c>"
"TID_FRIEND_STATUS_MENUS","valikossa"
"TID_ONLINE_FRIENDS_POPUP_TITLE_INVITE","LIITY JOUKKUEESEEN!"
"TID_ONLINE_FRIENDS_POPUP_TITLE","PAIKALLA OLEVAT PELAAJAT"
"TID_ONLINE_FRIENDS_POPUP_NO_ONLINE_FRIENDS","Ei kavereita tai jengin jäseniä paikalla"
"TID_ONLINE_FRIENDS_POPUP_NO_FRIENDS","Ei yhtään kaveria tai jengin jäsentä kutsuttavana. Oletko pelannut huipputyyppien kanssa? Lisää heidät kavereiksesi!"
"TID_CLAN_CREATE_BUTTON","PERUSTA"
"TID_CLAN_SAVE_BUTTON","TALLENNA"
