"Name","BehaviorType","CanMoveAtSameTime","Targeted","CanAutoShoot","MovementBasedAutoshoot","AttackFacing","Cooldown","ActiveTime","CastingTime","CastingRange","RangeVisual","RangeInputScale","MaxCastingRange","AllowAimOutsideMap","ForceValidTile","RechargeTime","MaxCharge","Damage","PercentDamage","MsBetweenAttacks","Spread","AttackPattern","NumBulletsInOneAttack","TwoGuns","ExecuteFirstAttackImmediately","MovementSpeed","ChargePushback","ChargeSpeed","ChargeType","NumSpawns","MaxSpawns","BreakInvisibilityOnAttack","SeeInvisibilityDistance","AlwaysCastAtMaxRange","Projectile","OverchargedProjectile","SummonedCharacter","AreaEffectObject","AreaEffectObject2","OverchargedAreaEffectObject","OverchargedAreaEffectObject2","AreaEffectFollow","SpawnedItem","SpawnItemTriggerType","ButtonSWF","ButtonExportName","ButtonExportNameBlue","AttackEffect","OverchargedAttackEffect","UseEffect","OverchargedUseEffect","EndEffect","OverchargedEndEffect","LoopEffect","LoopEffect2","OverchargedLoopEffect","OverchargedLoopEffect2","ChargeMoveSound","MultiShot","SkillChangeType","SecondarySkill","SecondarySkill2","SecondarySkill3","SecondarySkill4","ShowTimerBar","SecondaryProjectile","ThirdProjectile","ChargedShotCount","DamageModifier","HoldToShoot","UsableInShadowRealm","CustomString","CustomString2","CustomValue"
"BossRapidFire2","Attack","","true","","","","50","1850","1250","32","","","","","","1250","3","900","","300","90","3","1","","true","","","","","","","","","","BossProjectile","","","","","","","","","","","","","minion_rocket_atk","","minion_warning_long","","","","","","","","","","","","","","","","","","","","","","","",""
"BossRapidFire3","Attack","","true","","","","50","1850","1250","32","","","","","","1250","3","900","","300","90","3","1","","true","","","","","","","","","","BossProjectile","","","","","","","","","","","","","minion_rocket_atk","","minion_warning_long","","","","","","","","","","","","","","","","","","","","","","","",""
"BossRaceBossRapidFire","Attack","","true","","","","50","1850","750","60","","","","","","1250","3","1400","","200","150","2","1","","true","","","","","","","","","","BossRaceBossProjectile","","","","","","","","","","","","","minion_rocket_atk","","minion_warning_short","","","","","","","","","","1","","","","","","","","","","","","","",""
"BossRaceBossCharge","Charge","","true","","","","50","","750","50","","","","","","","","1400","","","","","","","","","130","2500","1","","","","","true","","","","","","","","","","","","","","","","","","","","minion_rush","","","","Rhinostep","","","","","","","","","","","","","","","",""
"BossRaceBossChainLightning","Attack","","true","","","","50","1050","750","60","","","","","","1250","3","1400","","200","150","2","1","","true","","","","","","","","","","BossRaceBossLightningProjectile1","","","","","","","","","","","","","minion_rocket_atk","","minion_warning_short","","","","","","","","","","1","","","","","","","","","","","","","",""
"BossRaceBossRockets","Attack","","true","","","","50","1050","750","60","","","","","","1250","3","700","","200","750","","1","","true","","","","","","","","","","BossRaceBossRocketProjectile","","","","","","","","","","","","","minion_rocket_atk","","minion_warning_short","","","","","","","","","","1","","","","","","","","","","","","","",""
"PercenterWeapon","Attack","true","true","true","","","250","150","","26","","","","","","1600","3","1000","37","100","","","1","","true","","","","","","","","","","PercenterProjectile","","","","","","","","","","","","","brock_def_atk","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"PercenterUlti","Charge","","true","true","","","50","","","33","","","","","","","","2000","20","","","","","","","","0","4000","10","","","","","true","","","","","","","","","","","","","","","","","","","","colette_def_ulti","colette_def_ulti_cover","colette_def_overcharge","colette_def_overcharge_cover","Rhinostep","","","","","","","","","","","","","","","",""
"FireDudeWeapon","Attack","true","true","true","","","50","100","","25","","","","","","220","40","220","","100","30","","1","","true","","","","","","","","","","FireDudeProjectile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","true","","",""
"FireDudeUlti","Attack","true","true","true","","","250","150","","22","","","","","","","","","","100","0","","1","","true","","","","","","","","","","FireDudeUltiProjectile","","","","","","","","","","","","","barkeep_attack","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IceDudeWeapon","Attack","true","true","true","","","250","350","","28","","","","","","1300","3","440","","100","0","","1","true","true","","","","","","","","","","IceDudeProjectile","","","","","","","","","","","","","colt_def_atk","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"IceDudeUlti","Attack","true","true","true","","","250","150","","23","","","","","","","","40","","100","0","","1","","true","","","","","","","","","","IceDudeUltiProjectile","IceDudeOverchargedUltiProjectile","","","","","","","","","","","","cactus_attack_ulti","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SnakeOilWeapon","Attack","true","true","true","","","500","150","","30","","","","","","1450","3","340","","100","","","1","","true","","","","","","","","","","SnakeOilProjectile","","","","","","","","","","","","","sniper_attack","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"SnakeOilUlti","Attack","true","true","true","","","250","150","","22","","","","","","","","1500","","100","0","","1","","true","","","","","","","","","","SnakeOilUltiProjectile","","","","","","","","","","","","","tnt_attack_ulti","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EnragerWeapon","Attack","true","true","true","","","50","250","","6","","","","","","700","3","540","","100","0","","1","true","true","","","","","","","","","","EnragerProjectile","","","","","","","","","","","","","luchador_attack","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"EnragerUlti","Charge","","true","true","","","50","","","20","","","","","","","","","","","","","","","","","","3500","11","","","","","","","","","EnragerUltiSpeed","","EnragerOverchargedUlti","EnragerUltiSpeed","true","","","","","","","","crow_ulti","","","edgar_overcharged_ultiEnd","","","","","","","","","","","","","","","","","","","","",""
"RuffsWeapon","Attack","true","true","true","","","250","150","","27","","","","","","1400","3","560","","100","","7","2","","true","","","","","","","","","","RuffsProjectile","","","","","","","","","","","","","bull_def_atk","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"RuffsUlti","Attack","true","true","true","","","200","150","","23","","","","","","","","1000","","100","0","","1","","true","","","","","","","","","","RuffsUltiProjectile","","","","","","","","","","","","","cactus_attack_ulti","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RollerWeapon","Attack","true","true","true","","","100","250","","23","","","","","","1500","3","540","","100","0","","1","true","true","","","","","","","","","","RollerProjectile","","","","","","","","","","","","","colt_def_atk","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"RollerUlti","Charge","","true","true","true","","0","","","7","","","","","","","","800","","","","","","","","","100","3000","12","","","","","true","","","","","","","","","","","","","","","","","","","","colette_def_ulti","stu_def_ulti_cover","","","","","","","","","","","","","","","","","","",""
"ElectroSniperWeapon","Attack","true","true","true","","","500","150","","30","","","","","","1400","3","1040","","100","","","1","","true","","","","","","","","","","ElectroSniperProjectile","","","","","","","","","","","","","sniper_attack","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"ElectroSniperUlti","Attack","true","true","true","","","500","150","","32","","","","","","","","500","","100","","","1","","true","","","","","","","","","","ElectroSniperUltiProjectile","","","","","","","","","","","","","sniper_attack","","","","","","","","","","","","","","","","","","","","","","","","","",""
"StickyBombWeapon","Attack","true","true","true","","","250","150","","23","","","","","99","2100","3","1080","","100","0","","1","","true","","","","","1","10","","","","StickyBombProjectile","","","","","","","","StickyBomb","","","","","colt_def_atk","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"StickyBombUlti","Attack","true","true","true","","","250","150","","25","","","","","1","","","1000","","100","0","","1","","true","","","","","","","","","","StickyBombUltiProjectile","","","","","","","","","","","","","tnt_attack_ulti","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CrossBomberWeapon","Attack","true","true","true","","","50","350","","23","","","","","8","2000","3","1060","","300","0","","1","","true","","","","","","","","","","CrossBomberProjectile","","","","","","","","","","","","","tnt_attack_ulti","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"CrossBomberUlti","Attack","true","true","true","","","250","150","","25","","","","","8","","","1600","","100","0","","1","","true","","","","","","","","","","CrossBomberUltiProjectile","","","","","","","","","","","","","tnt_attack_ulti","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RopeDudeWeapon","Attack","true","true","true","","","50","750","","8","","","","","","1000","3","420","","150","200","2","3","true","true","","","","","","","","","","RopeDudeProjectile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"RopeDudeUlti","Attack","true","true","true","","","250","150","","30","","","","","","","","","","100","","","1","","true","","","","","","","","","","RopeDudeUltiProjectile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AssaultShotgunWeapon","Attack","true","true","true","","","50","650","","25","","","","","","1700","3","260","","200","30","10","3","","true","","","","","","","","","","AssaultShotgunProjectile","","","","","","","","","","","","","shelly_def_atk","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"AssaultShotgunUlti","Attack","true","true","true","","","500","150","","27","","","","","","","","660","","100","150","10","5","","true","","","","","","","","","","AssaultShotgunUltiProjectile","","","","","","","","","","","","","whirlwind_attack","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DummySkillForBasketBrawl","Attack","true","true","","","","250","150","","15","","200","","true","","","","","","100","","","1","","true","","","","","","","","","","DummyProjectileForBasketBrawl","","","","","","","","","","","","","laser_ball_throw","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DummyUltiSkillForBasketBrawl","Attack","true","true","","","","250","150","","20","","300","","true","","","","","","100","","","1","","true","","","","","","","","","","DummyProjectileForBasketBrawl","","","","","","","","","","","","","laser_ball_throw_ulti","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KnightWeapon","Attack","true","true","true","","","250","400","","14","","","","","","1400","3","800","","300","","","1","","","","","","","","","","","","KnightProjectile1","","","","","","","","","","","","","hammer_dude_attack","","ash_def_atk_sfx","","","","","","","","","","","","","","","","","","","","","true","","",""
"KnightUlti","Attack","true","true","true","","","50","250","","15","","","","","1","","","","","200","","","1","","true","","","","","5","5","","","","KnightUltiProjectile","","KnightPet","","","","","","","","","","","tick_attack_ulti","","tick_def_ulti","","","","","","","","","","","","","","","","","","","","","","","",""
"MechaDudeWeapon","Attack","true","true","true","","","50","250","","27","","","","","","1300","3","300","","100","","6","1","","true","","","","","","","","","","MechaDudeProjectile","","","","","","","","","","","","","colt_def_atk","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"MechaDudeUlti","ChangeCharacter","","","true","","","50","1100","1000","","","","","","","","","","","","","","","","","","","","","","","","","","","","MechaDudeBig","","","","","","","","","","","tick_def_atk","","Dummy_effect","","","","","","","","","","","","","","","","","","","","","","","",""
"MechaDudeBigWeapon","Attack","true","true","true","","","50","850","","27","","","","","","1500","3","210","","100","","","1","true","true","","","","","","","","","","MechaDudeBigProjectile","","","","","","","","","","","","","colt_def_atk","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"MechaDudeBigUlti","Attack","true","true","true","","","50","350","","13","","","","","","","","1700","","200","300","","1","","","","","","","","","","","","","","","","","","","","","","sc/ui.sc","button_ulti_meg","button_ulti_blue_meg","bibi_def_atk","","mecha_swing","","","","","","","","","","","","","","","","","","","","","","","",""
"DuplicatorWeapon","Attack","true","true","true","","","50","650","","27","","","","","","1700","3","260","","100","30","3","1","","true","","","","","","","","","","DuplicatorProjectile","","","","","","","","","","","","","pam_def_atk","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"DuplicatorUlti","Attack","true","true","true","","","50","250","","15","","","","","","","","","","200","","","1","","true","","","","","1","1","","","","DuplicatorUltiProjectile","","DuplicatorPet","","","","","","","","","","","shaman_ulti","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KickerDudeWeapon","Attack","true","true","true","","2","250","500","","8","","","","","","1000","3","1360","","500","","","1","","true","","","","","","","","","","KickerDudeProjectile","","","","","","","","","","","","","fang_def_atk","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"KickerDudeUlti","Charge","","true","true","","2","250","","","30","","","","","","","","1200","","","","","","","","","0","4000","8","","","","","true","","","","","","","","","","","","","","","","","","","","fang_def_ulti","fang_def_ulti_cover","fang_def_ulti_overcharged","fang_def_ulti_cover_overcharged","Rhinostep","","","","","","","","","","","","","","","",""
"FleaPetWeapon","Charge","","true","true","","","500","500","","8","","","","true","","100","3","300","","","","","","","","","","2700","14","","","","","true","","","","","","","","","","","","","","","","mortis_def_atk","","","","","","","","","","","","","","","","","","","","","true","","",""
"FleaPetUltiDummy","Attack","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FleaWeapon","Attack","true","true","true","","2","500","500","","28","","","","","","1600","3","400","","150","","11","1","","true","","","","","","","","","","FleaProjectile1","","","","","","","","","","","","","colt_def_atk","","","","","","","","","","","","","","","","","","FleaProjectile2","FleaProjectile3","","30","","true","","",""
"FleaUlti","Attack","true","true","true","","2","251","250","","15","","","","","","","","","","200","","","1","","true","","","","","1","10","","","","FleaUltiProjectile","","FleaBigEgg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JetpackGirlWeapon","Attack","true","true","true","","","200","150","","12","","","","","","1500","3","980","","100","160","13","4","","true","","","","","","","","","","JetpackGirlProjectile","","","","","","","","","","","","","janet_def_atk_direct","","janet_def_atk_root","","","","","","","","","","","","","","","","","","","","","true","","",""
"JetpackGirlUlti","Attack","true","true","true","true","3","50","6000","","7","","","","","","","","600","","760","0","12","1","","","","","1400","15","","","","","","JetpackGirlUltiProjectile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CannonGirlWeapon","Attack","true","true","true","","2","50","250","","27","","","","","","1000","1","1000","","200","","","1","","true","","","","","","","","","","CannonGirlProjectile","","","","","","","","","","","","","brock_def_atk","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"CannonGirlUlti","Charge","","true","true","","2","50","150","","22","","","","","","","","1000","","","","","","","","","","2500","16","","","","","","","","CannonGirlSmall","","","","","","","","","","","","","","","cannongirl_ulti_ground_hit","","","","","","","","","","","","","","","","","","","","","",""
"CannonGirlSmallWeapon","Attack","true","true","true","","","50","350","","15","","","","","","2000","3","580","","100","40","2","1","","true","","","","","","","","","","CannonGirlSmallProjectile","","","","","","","","","","","","","tnt_attack_ulti","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"CannonGirlSmallUlti","ChangeCharacter","","","true","","","600","600","500","","","","","","","","","","","","","","","","","","","","","","","","","","","","CannonGirl","","","","","","","","sc/ui.sc","button_ulti_bonnie","button_ulti_blue_bonnie","","","bonnie_def_ulti_return","","","","","","","","","","","","","","","","","","","","","","","",""
"SilencerWeapon","Attack","true","true","true","","","250","400","","27","","","","","","1500","3","440","","120","22","1","1","","true","","","","","","","","","","SilencerProjectile","","","","","","","","","","","","","rico_def_atk","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"SilencerUlti","Attack","true","true","true","","","50","100","","27","","","","","","1000","","340","","100","","","1","","true","","","","","1","10","","","","SilencerUltiProjectile","","","","","","","","SilencerHugger","3","","","","gene_def_atk","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WeaponThrowerWeapon","Attack","true","true","true","","","100","600","","9","","","","","","1600","3","800","","300","100","2","1","true","true","","","","","","","","","","WeaponThrowerProjectile","","","","","","","","","","","","","rosa_def_atk","","","","","","","","","","","","1","WeaponThrowerWeapon2","","","","","","","","","","true","","",""
"WeaponThrowerWeapon2","Attack","true","true","true","","","100","300","","9","","","","","","900","3","400","","150","50","2","1","true","true","","","","","","","","","","WeaponThrowerProjectile2","","","","","","","","","","","","","luchador_attack","","","","","","","","","","","","1","WeaponThrowerWeapon","","","","","","","","","","true","","",""
"WeaponThrowerUlti","Attack","true","true","true","","","50","100","","26","","","","","","","","1200","","150","","","1","","true","","","","","1","1","","","","WeaponThrowerUltiProjectile","","","","","","","","WeaponThrowerWeapon","","","","","whirlwind_attack","","Dummy_effect","","","","","","","","","","2","WeaponThrowerUlti2","","","","","","","","","","","","",""
"WeaponThrowerUlti2","RecallWeapon","true","","true","","","50","100","","26","","","","","","","","700","","150","","","1","","true","","","","","","","","","","WeaponThrowerUltiProjectile2","","","","","","","","","","sc/ui.sc","button_ulti_sam","button_ulti_blue_sam","","","","","","","","","","","","","1","WeaponThrowerUlti","","","","","","","","","","","","",""
"SoulCollectorWeapon","Attack","true","true","true","","","500","150","","28","","","","","","1500","3","1000","","100","","","1","","true","","","","","1","10","","","","SoulCollectorProjectile","","","","","","","","SoulCollectorSoul","3","","","","sniper_attack","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"SoulCollectorUlti","Attack","true","true","true","","","500","150","","28","","","","","","","","","","100","","","1","","true","","","","","","","","","","SoulCollectorUltiProjectile","","","","","","","","","","","","","whirlwind_attack","","Dummy_effect","","","","","","","","","","","","","","","","","","","","","","","",""
"ShieldTankWeapon","Attack","true","true","true","","","350","250","","16","","","","","","1800","3","1400","","200","90","","3","","true","","","","","","","","","","ShieldTankProjectile","","","","","","","","","","","","","sniper_attack","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"ShieldTankUlti","ProjectileShield","true","true","true","","2","250","3000","","9","","","","","","","","800","","100","120","","","","","620","","","","","","","","","ShieldTankUltiProjectile","","","","","","","","","","","","","","","","","","","buster_shield","","","","","","","","","","","true","","","","","","","","",""
"JesterWeapon","Attack","true","true","true","","","250","150","","25","","","","","","1900","3","640","","100","30","14","3","","true","","","","","","","","","","JesterProjectile","","","","","","","","","","","","","tara_def_atk","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"JesterUltiExploding","Attack","true","true","true","","","250","150","","19","","","","","","","","1880","","150","0","","1","","true","","","","","","","","","","JesterUltiProjectileExploding","","","","","","","","","","sc/ui.sc","button_ulti_chester_indirect_explosion","button_ulti_blue_chester_indirect_explosion","chester_def_atk","","","","","","","","","","","","1","JesterUltiStunning","JesterUltiPoisoning","JesterUltiDamageArea","JesterUltiHeal","","","","","","","","TID_JESTER_ULTI_EXPLOSION","","1"
"JesterUltiStunning","Attack","true","true","true","","","250","150","","26","","","","","","","","200","","150","","","1","","true","","","","","","","","","","JesterUltiProjectileStunning","","","","","","","","","","sc/ui.sc","button_ulti_chester_direct_stunt","button_ulti_blue_chester_direct_stunt","chester_def_ulti_stun","","","","","","","","","","","","1","JesterUltiExploding","JesterUltiPoisoning","JesterUltiDamageArea","JesterUltiHeal","","","","","","","","TID_JESTER_ULTI_STUN","","2"
"JesterUltiPoisoning","Attack","true","true","true","","","250","150","","17","","","","","","","","290","","150","100","5","5","","true","","","","","","","","","","JesterUltiProjectilePoisoning","","","","","","","","","","sc/ui.sc","button_ulti_chester_cone_poison","button_ulti_blue_chester_cone_poison","chester_def_ulti_poison_spray","","","","","","","","","","","","1","JesterUltiExploding","JesterUltiStunning","JesterUltiDamageArea","JesterUltiHeal","","","","","","","","TID_JESTER_ULTI_POISON","","3"
"JesterUltiDamageArea","Attack","true","","true","","","250","150","","","","","","","","","","160","","150","","","1","","","","","","","","","","","","","","","JesterUltiDamageArea","","","","","","","sc/ui.sc","button_ulti_chester_drop_damaging_area","button_ulti_blue_chester_drop_damaging_area","barkeep_attack","","Dummy_effect","","","","","","","","","","1","JesterUltiExploding","JesterUltiStunning","JesterUltiPoisoning","JesterUltiHeal","","","","","","","","TID_JESTER_ULTI_AREA","","4"
"JesterUltiHeal","Heal","true","","true","","","250","150","","","","","","","","","","2400","","150","","","","","","","","","","","","","","","","","","","","","","","","","sc/ui.sc","button_ulti_chester_direct_heal","button_ulti_blue_chester_direct_heal","","","chester_def_ulti_heal","","","","","","","","","","1","JesterUltiExploding","JesterUltiStunning","JesterUltiPoisoning","JesterUltiDamageArea","","","","","","","","TID_JESTER_ULTI_HEAL","","5"
"DoorManWeapon","Attack","true","true","true","","","500","150","","27","","","","","","1400","3","1160","","100","0","","1","","true","","","","","","","","","","DoorManProjectile","","","","","","","","","","","","","gray_def_atk","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"DoorManUlti","Portals","true","true","true","","","50","250","","20","","","","","","","","","","200","","","1","","true","","","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BeamerWeapon","Attack","true","true","true","","","500","150","","27","","","","","","1500","3","1300","","100","","","1","","true","","","","","","","","","","BeamerProjectile","","","","","","","","","","","","","sniper_attack","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"BeamerUlti","Attack","","true","true","","2","150","300","750","120","","","","true","","100","1","2500","","300","","","1","","true","","","","","","","","","true","BeamerUltiProjectile","","","","","","","","","","","","","bibi_def_ulti","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SplitterWeapon","Attack","true","true","true","","","500","150","","30","","","","","","1500","3","700","","100","0","","1","","true","","","","","","","","","","SplitterProjectile","","","","","","","","","","","","","arcade_def_atk","","","","","","","","","","","","1","","","","","","","","","","","true","","",""
"SplitterUlti","Split","true","","true","","","50","250","","","","","","","","","","","","200","","","1","","true","","","","","1","1","","","","","","","","","","","","","","","","","","","arcade_def_ulti_atk","","","","","","","","","","","","","","","","","","","","","","","",""
"SplitterLegsWeapon","Attack","true","","true","","1","500","150","","10","","","","","","1800","3","","","1000","","","","","","","","","","","","","","","","","","SplitterLegsDamageArea","","","","true","","","","","","luchador_attack","","","","","","","","","","","","1","","","","","","","","","","","true","","",""
"PuppeteerWeapon","Attack","true","true","true","","","250","150","","22","","","","","","2000","3","1200","","100","0","","1","","true","","","","","","","","","","PuppeteerProjectile","","","","","","","","","","","","","barkeep_attack","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"PuppeteerUlti","Attack","true","true","true","","","500","150","","25","","","","","","1500","","","","150","","","1","","true","","","","","","","","","","PuppeteerUltiProjectile","","","","","","","","","","","","","shelly_def_ulti","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MaisieWeapon","Attack","true","true","true","","","250","150","","26","","","","","","1500","3","1280","","100","","","1","","true","","","","","","","","","","MaisieProjectile","","","","","","","","","","","","","maisie_def_atk","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"MaisieUlti","Attack","true","","true","","1","250","150","500","10","","","","","","1800","","","","1000","","","","","","","","","","","","","","","","","","MaisieUltiShockwave","","MaisieOverchargedUltiShockwave","MaisieOverchargedUltiBulletExplosion","true","","","","","","shelly_def_ulti","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FishTankWeapon","Attack","true","true","true","","2","250","150","","10","","","","true","","250","1","","","150","","15","","","","","","","","","","","","","","","","FishTankBlast","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"FishTankUlti","Attack","true","","true","","","250","150","","","","","","","","","","1320","","100","","","","","true","","","","","","","","","","","","","FishTankUltiArea","","","","true","","","","","","tenant_def_ulti","","Dummy_effect","","","","","","","","","","","","","","","","","","","","","","","",""
"DuelistWeapon","Attack","true","true","true","","","100","450","","16","","","","","","1200","3","730","","200","","","1","","true","","","","","","","","","","DuelistProjectile","","","","","","","","","","","","","cordelius_def_atk","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"DuelistUlti","Attack","true","true","true","","","250","150","","27","","","","true","","","","","","150","","","1","","true","","","","","","","","","","DuelistUltiProjectile","","","","","","","","","","","","","cordelius_ulti_atk","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ReviverWeapon","Attack","true","","true","","1","250","150","","10","","","","","","1500","3","1200","","1000","","","","","","","","","","","","","","","","","","ReviverDamageArea","","","","true","","","","","","luchador_attack","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"ReviverUlti","Attack","true","true","true","","","500","150","","28","","","","","","2000","","","","100","","","1","","true","","","","","","","","","","ReviverUltiProjectile","","","","","","","","","","","","","doug_def_ulti","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CookerWeapon","Attack","true","true","true","","","50","650","","27","","","","","","1500","3","260","","100","40","1","1","","true","","","","","","","","","","CookerProjectile","","","","","","","","","","","","","pam_def_atk","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"CookerUlti","Attack","true","","true","","1","250","150","300","","","","","","","","","","","1000","","","","","","","","","","","","","","","","","","CookerUltiExplosion","","CookerOverchargedUltiExplosion","CookerOverchargedUltiArea","","","","","","","shelly_def_ulti","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ConductorWeapon","Attack","true","true","true","","","350","500","","20","","","","","","2000","3","540","","150","","","1","","true","","","","","","","","","","ConductorProjectile","","","","","","","","","","","","","emz_def_atk","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"ConductorUltiSpawn","Attack","true","true","true","","","50","250","","30","","","","","","","","400","","200","","","1","","true","","","","","1","3","","","","ConductorUltiProjectile","","","","","","","","ConductorSign","","sc/ui.sc","button_ulti_chuck_1","button_ulti_blue_chuck_1","","","","","","","","","","","","","1","ConductorUltiCharge","","","","","","","","","","","","",""
"ConductorUltiCharge","Charge","","","true","","","50","","","20","","","","","","","","1750","","","","","","","","","0","3700","17","","","","","true","","","","","","","","","","","sc/ui.sc","button_ulti_chuck_2","button_ulti_blue_chuck_2","","","","","","","chuck_def_ulti_use","fang_def_ulti_cover","","","Rhinostep","","1","ConductorUltiSpawn","","","","","","","","","","","","",""
"CocoonerWeapon","Attack","true","true","true","","","500","150","","27","","","","","","2000","1","800","","100","0","","1","","true","","","","","","","","","","CocoonerProjectile","","","","","","","","","","","","","whirlwind_attack","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"CocoonerUlti","Attack","true","true","true","","2","251","250","","27","","","","","","","","","","200","","","1","","true","","","","","1","10","","","","CocoonerUltiProjectile","CocoonerOverchargedUltiProjectile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CocoonerPetWeapon","Charge","","true","true","","","750","750","","6","","","","true","","100","3","400","","","","","","","","","","2200","4","","","","","true","","","","","","","","","","","","","","","","mortis_def_sound","","","","","","","","","","","","","","","","","","","","","true","","",""
"CocoonerPetUltiDummy","Attack","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LeaperWeapon","Charge","","true","true","","","750","","","12","","","","","","2600","3","1090","","","","","","","","","","5200","18","","","","","","","","","LeaperWeaponArea","","","","","","","","","","","","mico_def_atk_jump","","","","","","","","","","","","","","","","","","","","","true","","",""
"LeaperUlti","FlyJump","","","true","","","1000","6000","1000","","","","","","","","","","","","","","","","","1025","","","","","","","","","","","","LeaperUltiArea","","LeaperOverchargedUltiArea","","","","","","","","","","mico_def_ulti_casting","mico_def_oc_casting","","","","","","","","","","","","","","","","","","","","","","",""
"AttacherWeapon","Attack","true","true","true","","","100","250","","11","","","","","","800","3","800","","100","150","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","AttacherWeaponAlternate","","","","","","","","","","true","TID_ATTACHER_WEAPON","",""
"AttacherUlti","Charge","true","true","true","","","50","","","20","","","","","","","","800","","","","","","","","","","6000","19","","","","","","","","","","","","","true","","","","","","","","crow_ulti","","","","","","","","","","1","AttacherUltiAlternate","","","","","","","","","","","","",""
"AttacherWeaponAlternate","Attack","true","true","true","","","250","150","","22","","","","","","2000","3","2000","","100","0","","1","","true","","","","","","","","","","AttacherProjectile","","","","","","","","","","","","","barkeep_attack","","","","","","","","","","","","1","AttacherWeapon","","","","","","","","","","true","TID_ATTACHER_WEAPON_ATTACHED","",""
"AttacherUltiAlternate","Charge","true","true","true","","","50","","","6","","","","","","","","0","","","","","","","","","","2000","5","","","","","","","","","","","","","","","","","","","","","crow_ulti","","","","","","","","","","1","AttacherUlti","","","","","","","","","","","","",""
"TwinsWeaponThrower","Attack","true","true","true","","","250","150","","24","","","","","","2200","3","840","","100","0","","1","","true","","","","","","","","","","TwinsThrowerProjectile","","","","","","","","","","","","","twin_def_atk","","","","","","","","","","","","1","TwinsWeaponShotgun","","","","","","","","","","true","","",""
