Name,Character,Model,ModelCNOverride,GadgetModel,PortraitCameraFile,IntroCameraFile,MirrorIntro,IdleAnim,WalkAnim,PrimarySkillAnim,SecondarySkillAnim,PrimarySkillRecoilAnim,PrimarySkillRecoilAnim2,SecondarySkillRecoilAnim,SecondarySkillRecoilAnim2,ReloadingAnim,PushbackAnim,HappyAnim,HappyLoopAnim,SadAnim,SadLoopAnim,LobbyAnim,LobbyLoopAnim,HeroScreenIdleAnim,HeroScreenAnim,HeroScreenLoopAnim,SignatureAnim,GachaOverrideAnim,HappyEnterAnim,SadEnterAnim,ProfileAnim,ShopGroupProfileAnim,BrawlPassPopupProfileAnim,IntroAnim,EnvAnim,BossAutoAttackAnim,BossAutoAttackRecoilAnim,BossAutoAttackRecoilAnim2,GadgetActiveAnim,GadgetRecoilAnim,IdleFace,WalkFace,HappyFace,HappyLoopFace,SadFace,SadLoopFace,LobbyFace,LobbyLoopFace,HeroScreenIdleFace,HeroScreenFace,HeroScreenLoopFace,SignatureFace,ProfileFace,IntroFace,LobbyEffect,HeroScreenEffect,SignatureEffect,HappyEffect,SadEffect,PetInSameSprite,AttackLocksAttackAngle,UltiLocksAttackAngle,MainAttackProjectile,SecondaryProjectile,UltiProjectile,MainAttackEffect,MainAttackEffect2,UltiAttackEffect,UltiAttackEffect2,UseBlueTextureInMenus,MainAttackUseEffect,UltiUseEffect,UltiEndEffect,MeleeHitEffect,SpawnEffect,ReloadEffect,UltiLoopEffect,UltiLoopEffect2,StarPower1Effect,StarPower2Effect,AreaEffect,AreaEffectStarPower,AreaEffectStarPower2,AreaEffectAttack,AreaEffectUlti,SpawnedItem,KillCelebrationSoundVO,InLeadCelebrationSoundVO,StartSoundVO,UseUltiSoundVO,TakeDamageSoundVO,DeathSoundVO,AttackSoundVO,UnlockVO,UnlockVOIndex,BoneEffect1,BoneEffect2,BoneEffect3,BoneEffect4,BoneEffectUse,AutoAttackProjectile,ProjectileForShockyStarPower,IncendiaryStarPowerAreaEffect,MoveEffect,MoveEffect2,ChargeMoveEffect,StillEffect,StillEffect2,LoopingEffect,ChargedShotEffect,DisableHeadRotation
MineCart,Train0,mine_cart.scw,,,portrait_cam.scw,emz_intro_pose.scw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShamanShiba,Shaman,nita_shiba_geo.scw,,,nita_base_cam.scw,emz_intro_pose.scw,,ShamanShibaIdle,ShamanShibaWalk,ShamanAttack,ShamanSecondary,ShamanRecoil,,ShamanRecoil,,ShamanReload,ShamanPushback,ShamanShibaWin,ShamanShibaWinloop,ShamanLose,ShamanLoseloop,ShamanShibaWin,ShamanShibaWinloop,ShamanIdle,ShamanShibaWin,ShamanShibaWinloop,ShamanShibaWin,,ShamanShibaIdle,ShamanShibaIdle,ShamanProfile,ShamanShibaIdle,,ShamanProfile,ShamanShibaIdle,,,,,,Nita002Still,Nita002Still,Nita002Win,Nita002WinLoop,Nita002Lose,Nita002LoseLoop,Nita002Win,Nita002WinLoop,Nita002WinLoop,Nita002Win,Nita002WinLoop,Nita002Win,Nita002Still,Nita002WinLoop,,,,,,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShamanBearShiba,ShamanPet,bear_shiba_geo.scw,,,portrait_cam.scw,emz_intro_pose.scw,,BearShibaIdle,BearWalk,BearAttack,BearShibaIdle,BearRecoil,,BearShibaIdle,,BearIdle,BearPushback,BearShibaIdle,BearShibaIdle,BearShibaIdle,BearShibaIdle,BearShibaIdle,BearShibaIdle,BearShibaIdle,BearShibaIdle,BearShibaIdle,BearShibaIdle,,BearShibaIdle,BearShibaIdle,BearShibaIdle,,,BearShibaIdle,BearShibaIdle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nita_003_ulti_spawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BaseballDefault,Baseball,bibi_geo.scw,,,bibi_base_cam.scw,emz_intro_pose.scw,,BibiIdle,BibiWalk,BibiPrimary,BibiSecondary,BibiRecoil,,BibiRecoil2,,,BibiPushback,BibiWin,BibiWinloop,BibiLose,BibiLoseloop,BibiWin,BibiWinloop,BibiIdle,BibiWin,BibiWinloop,BibiWin,,BibiIdle,BibiIdle,BibiProfile,,,BibiProfile,BibiIdle,,,,,,BibiStill,BibiStill,BibiWin,BibiWinLoop,BibiLose,BibiLoseLoop,BibiWin,BibiWinLoop,BibiWinLoop,BibiWin,BibiWinLoop,BibiWin,BibiStill,BibiStill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MineCartB,Train1,mine_cart_b.scw,,,portrait_cam.scw,emz_intro_pose.scw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MineCartC,Train2,mine_cart_c.scw,,,portrait_cam.scw,emz_intro_pose.scw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MineCartD,Train3,mine_cart_d.scw,,,portrait_cam.scw,emz_intro_pose.scw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MineCartE,Train4,mine_cart_e.scw,,,portrait_cam.scw,emz_intro_pose.scw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClusterBombDefault,ClusterBombDude,tick_geo.scw,,,tick_base_cam.scw,emz_intro_pose.scw,,TickIdle,TickWalk,TickPrimary,TickSecondary,TickRecoil,,TickUltRecoil,,TickIdle,TickIdle,TickWin,TickWinloop,TickLose,TickLoseloop,TickWin,TickWinloop,TickIdle,TickWin,TickWinloop,TickWin,,TickIdle,TickIdle,TickProfile,,,TickProfile,TickIdle,,,,,,TickStill,TickStill,TickWin,TickWinLoop,TickLose,TickLoseLoop,TickWin,TickWinLoop,TickWinLoop,TickWin,TickWinLoop,TickWin,TickStill,TickWinLoop,,,,,,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClusterBombPetDefault,ClusterBombPet,bombhead_geo.scw,,,portrait_cam.scw,emz_intro_pose.scw,,BombheadIdle,BombheadIdle,BombheadIdle,BombheadIdle,BombheadIdle,,BombheadIdle,,BombheadIdle,BombheadIdle,BombheadIdle,BombheadIdle,BombheadIdle,BombheadIdle,BombheadIdle,BombheadIdle,BombheadIdle,BombheadIdle,BombheadIdle,BombheadIdle,,BombheadIdle,BombheadIdle,BombheadIdle,,,BombheadIdle,BombheadIdle,,,,,,TickStill,TickStill,TickStill,TickStill,TickStill,TickStill,TickStill,TickStill,TickStill,TickStill,TickStill,TickStill,TickStill,TickStill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArtilleryGalBunny,ArtilleryDude,penny_bunny_geo.scw,,,penny_portrait.glb,emz_intro_pose.scw,,ArtilleryGalIdle,ArtilleryGalBunnyWalk,ArtilleryGalPrimary,ArtilleryGalUltiAttack,ArtilleryGalRecoil,,ArtilleryGalUltiRecoil,,ArtilleryGalReload,ArtilleryGalPushback,ArtilleryGalBunnyWin,ArtilleryGalBunnyWinloop,ArtilleryGalLose,ArtilleryGalBunnyLoseloop,ArtilleryGalBunnyWin,ArtilleryGalBunnyWinloop,ArtilleryGalIdle,ArtilleryGalBunnyWin,ArtilleryGalBunnyWinloop,ArtilleryGalBunnyWin,,ArtilleryGalIdle,ArtilleryGalIdle,ArtilleryGalProfile,,,ArtilleryGalProfile,ArtilleryGalIdle,,,,,,PennyFace,PennyFace,PennyFace,PennyFace,PennyFace,PennyFace,PennyFace,PennyFace,PennyFace,PennyFace,PennyFace,PennyFace,PennyFace,PennyFace,,,,,,,,,Penny003Projectile,,Penny003UltiProjectile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArtilleryTurretBunny,ArtilleryDudeTurret,bunny_turret_geo.scw,,,portrait_cam.scw,emz_intro_pose.scw,,ArtilleryBunnyIdle,ArtilleryBunnyIdle,ArtilleryBunnyIdle,ArtilleryBunnyIdle,ArtilleryBunnyAttack,,ArtilleryBunnyIdle,,ArtilleryBunnyIdle,ArtilleryBunnyIdle,ArtilleryBunnySpawn,ArtilleryBunnyIdle,,ArtilleryBunnyIdleMenu,ArtilleryBunnySpawn,ArtilleryBunnyIdle,ArtilleryBunnyIdleMenu,ArtilleryBunnyIdleMenu,ArtilleryBunnyIdleMenu,,,ArtilleryBunnyIdleMenu,ArtilleryBunnyIdleMenu,ArtilleryIdle,,,ArtilleryIdle,ArtilleryBunnyIdle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,penny_003_ulti_spawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BarkeepMs,Barkeep,barley_ms_geo.scw,,,barley_base_cam.scw,barley_bakesale_intro_pose.scw,,BarkeepMsIdle,BarkeepMsWalk,BarkeepMsPrimary,BarkeepMsSecondary,BarkeepMsPrimary,,BarkeepMsPrimary,,BarkeepMsReload,BarkeepPushback,BarkeepMsWin,BarkeepMsIdle,BarkeepMsLose,BarkeepMsLoseloop,BarkeepMsWin,BarkeepMsIdle,BarkeepMsIdle,BarkeepMsWin,BarkeepMsIdle,BarkeepMsWin,,BarkeepMsIdle,BarkeepMsIdle,BarkeepMsProfile,,,BarkeepMsIntro,BarkeepMsIdle,,,,BarkeepSecondary,BarkeepRecoil,BarleyMsFace,BarleyMsFace,BarleyMsFace,BarleyMsFace,BarleyMsLose,BarleyMsLoseloop,BarleyMsFace,BarleyMsFace,BarleyMsFace,BarleyMsFace,BarleyMsFace,BarleyMsFace,BarleyMsFace,BarleyMsFace,,,,,,,,,Barley005Projectile,,Barley005UltiProjectile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RocketGirlHotrod,RocketGirl,brock_hotrod_geo.scw,,,brock_base_cam.scw,emz_intro_pose.scw,,BrockHotrodIdle,BrockHotrodWalk,BrockHotrodPrimary,BrockHotrodSecondary,BrockHotrodRecoil,,BrockHotrodRecoil2,,BrockHotrodIdle,BrockHotrodPushback,BrockHotrodWin,BrockHotrodWinloop,BrockHotrodLose,BrockHotrodLoseloop,BrockHotrodWin,BrockHotrodWinloop,BrockHotrodIdle,BrockHotrodWin,BrockHotrodWinloop,BrockHotrodIdle,,BrockHotrodIdle,BrockHotrodIdle,BrockProfile,BrockHotrodGroupProfile,,BrockProfile,BrockHotrodIdle,,,,,,BrockStill,BrockStill,BrockWin,BrockWinLoop,BrockLose,BrockLoseLoop,BrockWin,BrockWinLoop,BrockWinLoop,BrockWin,BrockWinLoop,BrockWin,BrockStill,BrockWin,,,,,,,,,Brock003Projectile,,Brock003UltiProjectile,brock_003_atk,,brock_003_atk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WhirlwindHotrod,Whirlwind,carl_hotrod_geo.scw,,,carl_hotrod_cam.scw,emz_intro_pose.scw,,CarlHotrodIdle,CarlHotrodWalk,CarlHotrodAttack,CarlHotrodSecondary,CarlHotrodAttackRecoil,,CarlHotrodSecondaryRecoil,,CarlHotrodReload,CarlHotrodIdle,CarlHotrodWin,CarlHotrodWinloop,CarlHotrodLose,CarlHotrodLoseloop,CarlHotrodWin,CarlHotrodWinloop,CarlHotrodIdle,CarlHotrodWin,CarlHotrodWinloop,CarlHotrodWin,,CarlHotrodIdle,CarlHotrodIdle,CarlHotrodProfile,CarlHotrodGroupProfile,,CarlHotrodProfile,CarlHotrodIdle,,,,,,Carl003Still,Carl003Still,Carl003Win,Carl003WinLoop,Carl003Lose,Carl003LoseLoop,Carl003Win,Carl003WinLoop,Carl003WinLoop,Carl003Win,Carl003WinLoop,Carl003Win,Carl003Still,Carl003Win,,,,,,,,,Carl002Projectile,,,,,,,,,,,,,,carl_002_ulti_loop,carl_002_ulti_ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BarkeepLumberjack,Barkeep,barley_lumberjack_geo.scw,,,barley_base_cam.scw,emz_intro_pose.scw,,BarkeepLumberjackIdle,BarkeepLumberjackWalk,BarkeepLumberjackPrimary,BarkeepLumberjackSecondary,BarkeepLumberjackRecoil,,BarkeepLumberjackRecoil,,BarkeepLumberjackReload,BarkeepLumberjackPushback,BarkeepLumberjackWin,BarkeepLumberjackWinloop,BarkeepLumberjackLose,BarkeepLumberjackLoseloop,BarkeepLumberjackWin,BarkeepLumberjackWinloop,BarkeepLumberjackIdle,BarkeepLumberjackWin,BarkeepLumberjackIdle,BarkeepLumberjackWin,,BarkeepLumberjackIdle,BarkeepLumberjackIdle,BarkeepLumberjackProfile,,,BarkeepLumberjackProfile,BarkeepLumberjackIdle,,,,BarkeepSecondary,BarkeepRecoil,Barley003Still,Barley003Still,Barley003Win,Barley003WinLoop,Barley003Lose,Barley003LoseLoop,Barley003Win,Barley003WinLoop,Barley003WinLoop,Barley003Win,Barley003WinLoop,Barley003Win,Barley003Still,Barley003Still,,,,,,,,,Barley004Projectile,,Barley004UltiProjectile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BoMecha,BowDude,bo_mecha_geo.scw,,,bo_mecha_cam.scw,emz_intro_pose.scw,,BoMechaIdle,BoMechaWalk,BoMechaAttack,BoMechaSecondary,BoMechaRecoil,BoMechaRecoil,BoMechaRecoil2,BoMechaRecoil2,BoMechaIdle,BoMechaPushback,BoMechaWin,BoMechaWinloop,BoMechaLose,BoMechaLoseloop,BoMechaWin,BoMechaWinloop,BoMechaIdle,BoMechaWin,BoMechaWinloop,BoMechaWin,,BoMechaIdle,BoMechaIdle,BoMechaProfile,,,BoMechaProfile,BoMechaIdle,,,,,,Bo004Still,Bo004Still,Bo004Win,Bo004WinLoop,Bo004Lose,Bo004LoseLoop,Bo004Win,Bo004WinLoop,Bo004WinLoop,Bo004Win,Bo004WinLoop,Bo004Win,Bo004Still,Bo004WinLoop,,,,,,,,true,Bow002Projectile,,Bow002UltiProjectile,bo_002_atk,,bo_002_ulti,,,,,,,,,,,,,,,,,,MineMecha,Mech_Bo_kill,Mech_Bo_lead,Mech_Bo_start,Mech_Bo_ulti_vo,Mech_Bo_hurt,Mech_Bo_die,Mech_Bo_atk_vo,Mech_Bo_start,2,,,,,,,,,,,,,,,,
CrowMecha,Crow,crow_mecha_geo.scw,,,crow_mecha_cam.scw,emz_intro_pose.scw,,CrowMechaIdle,CrowMechaWalk,CrowMechaPrimary,CrowMechaSecondary,CrowMechaRecoil,,CrowMechaIdle,,CrowMechaReload,CrowMechaPushback,CrowMechaWin,CrowMechaWinloop,CrowMechaLose,CrowMechaLoseloop,CrowMechaWin,CrowMechaWinloop,CrowMechaIdle,CrowMechaWin,CrowMechaWinloop,CrowMechaWin,,CrowMechaIdle,CrowMechaIdle,CrowMechaProfile,CrowMechaWinloop,,CrowMechaProfile,CrowMechaIdle,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crow002Projectile,,Crow002UltiProjectile,crow_002_attack,,,,,,crow_002_ulti,,,,,,,,,,,,,,,RoboCrow_Kill,RoboCrow_Lead,RoboCrow_Start,RoboCrow_Ulti_vo,RoboCrow_Takedamage,RoboCrow_Die,,,,,,,,,,,,,,,,,,,
Cactusmecha,Cactus,spike_mecha_geo.scw,,,spike_base_cam.scw,emz_intro_pose.scw,,SpikeIdle,SpikeMechaWalk,SpikePrimary,SpikeSecondary,SpikeRecoil,,SpikeRecoil2,,SpikeReload,SpikeIdle,SpikeMechaWin,SpikeMechaWinloop,SpikeMechaLose,SpikeMechaLoseloop,SpikeMechaWin,SpikeMechaWinloop,SpikeIdle,SpikeMechaWin,SpikeMechaWinloop,SpikeMechaWin,,SpikeIdle,SpikeIdle,SpikeProfile,SpikeMechaWinloop,,SpikeProfile,SpikeIdle,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,Spike003Projectile,,Spike003UltiProjectile,cactus_003_attack,,cactus_003_attack_ulti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TntDudeMecha,TntDude,dynamike_mecha_geo.scw,,,dynamike_base_cam.scw,emz_intro_pose.scw,,TntDudeMechaIdle,TntDudeMechaWalk,TntDudeMechaPrimary,TntDudeMechaSecondary,TntDudeMechaRecoil,,TntDudeMechaSecondaryRecoil,,TntDudeMechaIdle,TntguyPushback,TntDudeMechaWin,TntDudeMechaWinloop,TntDudeMechaLose,TntDudeMechaLoseloop,TntDudeMechaWin,TntDudeMechaWinloop,TntDudeMechaIdle,TntDudeMechaWin,TntDudeMechaWinloop,TntDudeMechaWin,,TntDudeMechaIdle,TntDudeMechaIdle,TntDudeMechaProfile,,,TntDudeMechaProfile,TntDudeMechaIdle,,,,,,Dyna002Still,Dyna002Still,Dyna002Win,Dyna002WinLoop,Dyna002Lose,Dyna002LoseLoop,Dyna002Win,Dyna002WinLoop,Dyna002WinLoop,Dyna002Win,Dyna002WinLoop,Dyna002Win,Dyna002Still,Dyna002Win,,,,,,,true,true,Mike004Projectile,,Mike004UltiProjectile,mech_mike_atk,,,,,,dynamike_003_ulti_use,,,,,,,,,,,,,,,Mech_Mike_kill_vo,Mech_Mike_lead_vo,Mech_Mike_start_vo,Mech_Mike_ulti_vo,Mech_Mike_hurt_vo,Mech_Mike_die_vo,,Mech_Mike_start_vo,1,,,,,,,,,,,,,,,,
WhirlwindHogrider,Whirlwind,carl_hogrider_geo.scw,,,carl_hogrider_cam.scw,emz_intro_pose.scw,,CarlHogriderIdle,CarlHogriderWalk,CarlHogriderAttack,CarlHogriderSecondary,CarlHogriderAttackRecoil,,CarlHogriderSecondaryRecoil,,CarlHogriderReload,CarlHogriderIdle,CarlHogriderWin,CarlHogriderWinloop,CarlHogriderLose,CarlHogriderLoseloop,CarlHogriderWin,CarlHogriderWinloop,CarlHogriderIdle,CarlHogriderWin,CarlHogriderWinloop,CarlHogriderWin,,CarlHogriderIdle,CarlHogriderIdle,CarlHogriderProfile,,,CarlHogriderProfile,CarlHogriderIdle,,,,,,CarlStill,CarlStill,CarlWin,CarlWinLoop,CarlLose,CarlLoseLoop,CarlWin,CarlWinLoop,CarlWinLoop,CarlWin,CarlWinLoop,CarlWin,CarlStill,CarlWin,,,,,,,,,Carl003Projectile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BallBeach,,brawl_ball_beach.scw,,,portrait_cam.scw,emz_intro_pose.scw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArcadeDefault,Arcade,8bit_geo.scw,,,8bit_base_cam.scw,emz_intro_pose.scw,,8bitIdle,8BitWalk,8bitAttack,8bitIdle,8bitRecoil,,8bitIdle,,8bitReload,8bitPushback,8bitWin,8bitWinloop,8bitLose,8bitLoseloop,8bitWin,8bitWinloop,8bitWinloop,8bitWin,8bitWinloop,8bitWin,,8bitIdle,8bitIdle,8bitProfile,,,8bitProfile,8bitIdle,,,,,,ArcadeWinLoop,ArcadeWinLoop,ArcadeWin,ArcadeWinLoop,ArcadeLose,ArcadeLooseLoop,ArcadeIntro,ArcadeWinLoop,ArcadeWinLoop,ArcadeIntro,ArcadeWinLoop,ArcadeWin,ArcadeStill,ArcadeWinLoop,,,,,,,,,,,,,,,,true,,,,,,,,,,,DamageBoost,DamageBoost_larger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DamageBoosterDefault,DamageBooster,8bit_turret_geo.scw,,,portrait_cam.scw,emz_intro_pose.scw,,8bitTurretIdle,8bitTurretIdle,8bitTurretIdle,8bitTurretIdle,8bitTurretIdle,,8bitTurretIdle,,8bitTurretIdle,8bitTurretIdle,8bitTurretSpawn,8bitTurretIdle,,8bitTurretIdle,8bitTurretSpawn,8bitTurretIdle,8bitTurretIdle,,8bitTurretIdle,,,8bitTurretIdle,8bitTurretIdle,8bitTurretIdle,,,8bitTurretIdle,8bitTurretIdle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DamageBoosterVirus,DamageBooster,8bit_virus_turret_geo.scw,,,portrait_cam.scw,emz_intro_pose.scw,,8bitTurretIdle,8bitTurretIdle,8bitTurretIdle,8bitTurretIdle,8bitTurretIdle,,8bitTurretIdle,,8bitTurretIdle,8bitTurretIdle,8bitTurretSpawn,8bitTurretIdle,,8bitTurretIdle,8bitTurretSpawn,8bitTurretIdle,8bitTurretIdle,,8bitTurretIdle,,,8bitTurretIdle,8bitTurretIdle,8bitTurretIdle,,,8bitTurretIdle,8bitTurretIdle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SniperPink,Sniper,piper_geo.scw,,piper_gadget_pistol_geo.scw,piper_portrait.scw,emz_intro_pose.scw,,SniperIdle,SniperWalk,SniperAttack,SniperSecondary,SniperRecoil,,SniperRecoil,,SniperReload,SniperPushback,SniperWin,SniperWinloop,SniperLose,SniperLoseloop,SniperWin,SniperWinloop,SniperIdle,SniperWin,SniperWinloop,SniperWin,,SniperIdle,SniperIdle,SniperProfile,,,SniperProfile,SniperIdle,,,,SniperGadgetPistolAttack,SniperGadgetPistolRecoil,PiperStillOpen,PiperStillOpen,PiperWin,PiperWinLoop,PiperLose,PiperLoseLoop,PiperWin,PiperWinLoop,PiperWinLoop,PiperWin,PiperWinLoop,PiperWin,PiperStillClosed,PiperWinLoop,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArcadeClassic,Arcade,8bit_classic_geo.scw,,,8bit_base_cam.scw,emz_intro_pose.scw,,8bitIdle,8BitWalk,8bitAttack,8bitIdle,8bitRecoil,,8bitIdle,,8bitReload,8bitPushback,8bitWin,8bitWinloop,8bitLose,8bitLoseloop,8bitWin,8bitWinloop,8bitWinloop,8bitWin,8bitWinloop,8bitWin,,8bitIdle,8bitIdle,8bitProfile,,,8bitProfile,8bitIdle,,,,,,Arcade002WinLoop,Arcade002WinLoop,Arcade002Win,Arcade002WinLoop,Arcade002Lose,ArcadeLooseLoop,Arcade002Intro,Arcade002WinLoop,Arcade002WinLoop,Arcade002Intro,Arcade002WinLoop,Arcade002Win,Arcade002Still,Arcade002WinLoop,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NinjaShark,Ninja,shark_leon_geo.scw,,,leon_base_cam.scw,emz_intro_pose.scw,,LeonIdle,LeonWalk,LeonAttack,LeonSecondary,LeonRecoil,LeonRecoil2,LeonRecoil,,LeonReload,LeonPushback,LeonWin,LeonWinloop,LeonLose,LeonLoseloop,LeonWin,LeonWinloop,LeonIdle,LeonWin,LeonWinloop,LeonWin,,LeonIdle,LeonIdle,LeonProfile,,,LeonProfile,LeonIdle,,,,,,LeonStill,LeonStill,LeonWin,LeonWinLoop,LeonLose,LeonLoseLoop,LeonWin,LeonWinLoop,LeonWinLoop,LeonWin,LeonWinLoop,LeonWin,LeonStill,LeonWinLoop,,,,,,,,,Leon004Projectile,,,leon_002_atk,,,,,,leon_004_ulti_use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlackHoleBlue,BlackHole,tara_blue_geo.scw,,,tara_base_cam.scw,emz_intro_pose.scw,,TaraIdle,TaraWalk,TaraPrimary,TaraSecondary,TaraRecoil,,TaraSecondaryRecoil,,TaraReload,TaraIdle,TaraWin,TaraWinloop,TaraLose,TaraLoseloop,TaraWin,TaraWinloop,TaraIdle,TaraWin,TaraWinloop,TaraWin,,TaraIdle,TaraIdle,TaraProfile,,,TaraProfile,TaraIdle,,,,,,TaraStill,TaraStill,TaraWin,TaraWinLoop,TaraLose,TaraLoseLoop,TaraWin,TaraWinLoop,TaraWinLoop,TaraWin,TaraWinLoop,TaraWin,TaraStill,TaraWinLoop,,,,,,,true,true,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LootBoxMoonFestival,,crate_powerup_moon_festival.scw,,,portrait_cam.scw,emz_intro_pose.scw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SandstormDefault,Sandstorm,sandy_geo.scw,,,sandy_base_cam.scw,emz_intro_pose.scw,,SandyIdle,SandyWalk,SandyAttack,SandyAttack,SandyRecoil,,SandyRecoil,,SandyReload,SandyPushBack,SandyWin,SandyWinloop,SandyLose,SandyLose,SandyWin,SandyWinloop,SandyIdle,SandyWin,SandyWinloop,SandyWin,,SandyIdle,SandyIdle,SandyProfile,,,SandyProfile,SandyIdle,,,,,,SandyIdle,SandyWalk,SandyWin,SandyWinloop,SandyWinloop,SandyWinloop,SandyWin,SandyWinloop,SandyIdle,SandyWin,SandyWinloop,SandyIdle,SandyProfile,SandyIdle,,,,,,,,true,,,,,,,,,,,,,,,,,sandy_def_ulti_starP1,sandy_def_ulti_starP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BeeSniperDefault,BeeSniper,bea_geo.scw,,,bea_portrait.scw,bea_intro_pose.scw,true,BeaIdle,BeaWalk,BeaAttack,BeaAttack,BeaRecoil,,BeaRecoil,,BeaReload,BeaPushback,BeaWin,BeaWinloop,BeaLose,BeaLoseloop,BeaWin,BeaWinloop,BeaIdle,BeaWin,BeaWinloop,BeaWin,,BeaIdle,BeaIdle,BeaPortrait,,,BeaIntro,BeaIdle,,,,,,BeaStill,BeaStill,BeaWin,BeaWinLoop,BeaLose,BeaLoseLoop,BeaWin,BeaWinLoop,BeaWinLoop,BeaWin,BeaWinLoop,BeaWin,BeaStill,BeaWin,,,,,,,true,true,,,,,,bea_def_ulti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bea_def_atk_charged,
BossRaceBossDefault,,bossbot_geo.scw:body+head+hands,,,portrait_cam.scw,emz_intro_pose.scw,,BossBotIdle,BossBotWalk,BossBotIdle,BossBotIdle,BossBotIdle,,BossBotIdle,,,BossBotPushback,BossBotWin,BossBotWinloop,BossBotLose,BossBotLoseloop,BossBotWin,BossBotWinloop,BossBotIdle,BossBotWin,BossBotWinloop,BossBotWin,,BossBotIdle,BossBotIdle,BossBotIdle,,,BossBotIdle,BossBotIdle,BossBotIdle,BossBotRecoil,BossBotRecoil2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
