"Name","OfferType","AcceptToOffers","AcceptToChallengeRewards","AcceptToChallengeFallbackRewards","AcceptToQuestRewards","AcceptToQuestFallbackRewards","IconFrameNumber","MaxResourcePerFrame","ShopItemAsset","ShopItemAssetBig","PopupItemAsset","PopupItemAssetHighlight","MiniOfferAsset","SeparatedSectionOfferAsset","SeparatedSectionTeaseAsset","SeasonalEventOfferAsset","LegendaryOfferAsset","ClubShopItemAsset","OfferAssetSolo","OfferAssetHalf","OfferAssetQuarter","OfferAssetHeroLayout","OfferAssetSoloHighlight","OfferAssetHalfHighlight","OfferAssetQuarterHighlight","OfferAssetHeroLayoutHighlight","FullscreenPreview","SoloOfferBgFrames","BrawlPassAssetPaid","BrawlPassAssetFree","BrawlPassAssetPlus","TrophyRankRewardProfile","SameSizeForCollected","TrophyRewardMediumThreshold","TrophyRewardLargeThreshold","TrophyRankRewardTiny","TrophyRankRewardSmall","TrophyRankRewardMedium","TrophyRankRewardLarge","TrophyWorldReward","TrophyWorldIconFrameNumber","TrophyWorldMaxResourcePerFrame","ChainOfferMiniItemSmall","ChainOfferMiniItemMedium","ChainOfferMiniItemLarge","RankedRewardAsset","RankedGoalAsset","RankedGoalQuestAsset","ClubCollabAsset","RewardDescTID","ChallengeRewardFrame","ChallengeRewardAsset","RecordsPopupRewards","CustomGachaScreenOverride","GridViewAsset","ShowGridViewCount"
"BrawlPassTailRewardAutoCollectProxy",42,"FALSE","FALSE",,"FALSE",,0,,,,,,,,,,,,"sc/brawl_pass.sc#brawlpass_reward_premium_tail_rewards","sc/brawl_pass.sc#brawlpass_reward_premium_tail_rewards","sc/brawl_pass.sc#brawlpass_reward_premium_tail_rewards","sc/brawl_pass.sc#brawlpass_reward_premium_tail_rewards",,,,,,,"sc/brawl_pass.sc#brawlpass_reward_premium_random_reward","sc/brawl_pass.sc#brawlpass_reward_premium_random_reward","sc/brawl_pass.sc#brawlpass_reward_premium_tail_reward","reward_profilebutton_50",,,,,,,,,,,,,,,"sc/brawl_pass.sc#brawlpass_reward_premium_tail_rewards","sc/brawl_pass.sc#brawlpass_reward_premium_tail_rewards","sc/brawl_pass.sc#brawlpass_reward_premium_tail_rewards",,,,"sc/brawl_pass.sc#brawlpass_reward_premium_tail_rewards",,,
"PlayerTitle",43,"TRUE","FALSE",,"FALSE",,,,,,"sc/shop.sc#shop_popupitem_43",,,,,,,,"sc/shop.sc#offer_item_title_big","sc/shop.sc#offer_item_title_big","sc/shop.sc#offer_item_title_small","sc/shop.sc#offer_item_title_big",,,,,"sc/shop.sc#hero_item_player_title",,"sc/brawl_pass.sc#brawlpass_reward_premium_title","sc/brawl_pass.sc#brawlpass_reward_premium_title",,,,,,,,,,,,,,,,,,,,"TID_SHOP_OFFER_TITLE_43",,,"sc/shop.sc#offer_item_title_small",,"grid_item_player_title",
"DailyQuests",44,"FALSE","FALSE",,"FALSE",,,,,,,,,,,,,,,,,,,,,,,,,,,"reward_profilebutton_18",,,,"reward_popupitem_collected_41","reward_popupitem_small_41",,,"sc/trophy_world_common.sc#reward_item_daily_quests",,,,,,,,,,,,,,,,
"Bling",45,"TRUE","TRUE","TRUE","TRUE",,0,500,,,"sc/shop.sc#shop_popupitem_45",,"sc/shop.sc#shop_item_daily_freebie_cosmetic_coins",,,,,,"sc/shop.sc#offer_item_cosmetic_coins_big","sc/shop.sc#offer_item_cosmetic_coins_big","sc/shop.sc#offer_item_cosmetic_coins_small","offer_item_cosmetic_coins_big",,,,,"sc/shop.sc#hero_item_bling",,"sc/brawl_pass.sc#brawlpass_reward_premium_cosmetic_coins","sc/brawl_pass.sc#brawlpass_reward_free_cosmetic_coins",,"reward_profilebutton_45","TRUE",75,350,"reward_popupitem_collected_45","reward_popupitem_small_45","reward_popupitem_small_45","reward_popupitem_large_45","sc/trophy_world_common.sc#reward_item_bling",0,100,,,,"rank_reward_cosmetic_coins","offer_item_cosmetic_coins_small","offer_item_cosmetic_coins_small","offer_item_cosmetic_coins_small","TID_SHOP_OFFER_TITLE_45","resource","icon_resource_cosmetic_coins","sc/shop.sc#offer_item_cosmetic_coins_small",,"grid_item_bling","true"
,,,,,,,1,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,200,,,,,,,,,,,,,,
,,,,,,,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-1,,,,,,,,,,,,,,
"BrawlPassBundle",46,"TRUE","TRUE",,"TRUE",,0,200,,,"sc/shop.sc#shop_popupitem_45",,"sc/shop.sc#shop_item_daily_freebie_cosmetic_coins",,,,,,"sc/shop.sc#offer_item_cosmetic_coins_big","sc/shop.sc#offer_item_cosmetic_coins_big","offer_item_cosmetic_coins_small","offer_item_cosmetic_coins_big",,,,,,,"sc/brawl_pass.sc#brawlpass_reward_premium_cosmetic_coins","sc/brawl_pass.sc#brawlpass_reward_free_cosmetic_coins",,"reward_profilebutton_45","TRUE",75,1500,"reward_popupitem_collected_45","reward_popupitem_small_45","reward_popupitem_small_45","reward_popupitem_large_45",,0,200,,,,,"offer_item_cosmetic_coins_small","offer_item_cosmetic_coins_small","offer_item_cosmetic_coins_small","TID_SHOP_OFFER_TITLE_46","resource","icon_resource_cosmetic_coins","sc/shop.sc#offer_item_cosmetic_coins_small",,,
"OverchargeStarrDrop",47,"TRUE","TRUE","TRUE","TRUE",,0,200,,,"sc/shop.sc#shop_popupitem_47",,,,,,,,"sc/shop.sc#offer_item_overcharge_star_big","sc/shop.sc#offer_item_overcharge_star_big","offer_item_overcharge_star_small","offer_item_overcharge_star_big",,,,,"sc/shop.sc#hero_item_overcharge_star",,"sc/brawl_pass.sc#brawlpass_reward_premium_random_reward","sc/brawl_pass.sc#brawlpass_reward_free_random_reward",,"reward_profilebutton_50","TRUE",,,"reward_popupitem_collected_50","reward_popupitem_small_50","reward_popupitem_small_50","reward_popupitem_large_50","sc/trophy_world_common.sc#reward_item_starrdrop",0,200,,,,,"offer_item_overcharge_star_small","offer_item_overcharge_star_small","offer_item_overcharge_star_small","TID_SHOP_OFFER_TITLE_47","resource","icon_resource_random_reward_overcharge","sc/shop.sc#offer_item_overcharge_star_small",,"grid_item_overcharge_drop","true"
"BrawlerUpgradeFromLevelToLevel",48,"TRUE","FALSE",,"FALSE",,,,,,"sc/shop.sc#shop_popupitem_48",,,,,,,,"sc/shop.sc#offer_item_power_level_big","sc/shop.sc#offer_item_brawler_level_up_small","offer_item_brawler_level_up_small","offer_item_brawler_level_up_small",,,,,"sc/shop.sc#hero_item_power_level",,,,,,,,,,,,,,,,,,,,,,,"TID_SHOP_OFFER_TITLE_48",,,"sc/shop.sc#offer_item_brawler_level_up_small",,"grid_item_power_level",
"StarrDropContainer",49,"TRUE","TRUE",,"TRUE",,,,,,"sc/shop.sc#shop_popupitem_47",,,,,,,,"sc/shop.sc#offer_item_random_reward_big","sc/shop.sc#offer_item_random_reward_big","offer_item_random_reward_small","offer_item_random_reward_big",,,,,"sc/shop.sc#hero_item_starr",,"sc/brawl_pass.sc#brawlpass_reward_premium_random_reward","sc/brawl_pass.sc#brawlpass_reward_free_random_reward",,"reward_profilebutton_50",,,,"reward_popupitem_collected_50","reward_popupitem_small_50","reward_popupitem_small_50","reward_popupitem_large_50","sc/trophy_world_common.sc#reward_item_starrdrop",,,,,,,"offer_item_random_reward_small","offer_item_random_reward_small","collab_club_reward_milestone_random_reward","TID_SHOP_OFFER_TITLE_49","resource","icon_resource_random_reward","sc/shop.sc#offer_item_random_reward_small",,"grid_item_starr_drop","true"
"RandomStarrDrop",50,"TRUE","TRUE","TRUE","TRUE",,,,,,"sc/shop.sc#shop_popupitem_50",,,,,,,,"sc/shop.sc#offer_item_random_reward_big","sc/shop.sc#offer_item_random_reward_big","offer_item_random_reward_small","offer_item_random_reward_big",,,,,"sc/shop.sc#hero_item_starr",,"sc/brawl_pass.sc#brawlpass_reward_premium_random_reward","sc/brawl_pass.sc#brawlpass_reward_free_random_reward",,"reward_profilebutton_50","TRUE",75,350,"reward_popupitem_collected_50","reward_popupitem_small_50","reward_popupitem_small_50","reward_popupitem_large_50","sc/trophy_world_common.sc#reward_item_starrdrop",,,,,,,"offer_item_random_reward_small","offer_item_random_reward_small","collab_club_reward_milestone_random_reward","TID_SHOP_OFFER_TITLE_50","resource","icon_resource_random_reward","sc/shop.sc#offer_item_random_reward_small",,"grid_item_starr_drop","true"
"BrawlPassUnlockBrawler",51,"FALSE","FALSE",,"FALSE",,,,,,"sc/brawl_pass.sc#brawlpass_reward_premium_brawler_unlock_any",,,,,,,,"sc/brawl_pass.sc#brawlpass_reward_premium_brawler_unlock_any","sc/brawl_pass.sc#brawlpass_reward_premium_brawler_unlock_any","sc/brawl_pass.sc#brawlpass_reward_premium_brawler_unlock_any","sc/brawl_pass.sc#brawlpass_reward_premium_brawler_unlock_any",,,,,"sc/shop.sc#hero_item_skin_brawler",,"sc/brawl_pass.sc#brawlpass_reward_premium_brawler_unlock_any","sc/brawl_pass.sc#brawlpass_reward_premium_brawler_unlock_any",,"reward_profilebutton_42",,,,,,,,,,,,,,,,,,,,,"sc/brawl_pass.sc#brawlpass_reward_premium_brawler_unlock_any",,,
"BrawlPassPlusBundle",52,"TRUE","TRUE",,"TRUE",,0,200,,,"sc/shop.sc#shop_popupitem_45",,"sc/shop.sc#shop_item_daily_freebie_cosmetic_coins",,,,,,"sc/shop.sc#offer_item_cosmetic_coins_big","sc/shop.sc#offer_item_cosmetic_coins_big","sc/shop.sc#offer_item_cosmetic_coins_small","sc/shop.sc#offer_item_cosmetic_coins_big",,,,,,,"sc/brawl_pass.sc#brawlpass_reward_premium_cosmetic_coins","sc/brawl_pass.sc#brawlpass_reward_free_cosmetic_coins",,"reward_profilebutton_45","TRUE",75,1500,"reward_popupitem_collected_45","reward_popupitem_small_45","reward_popupitem_small_45","reward_popupitem_large_45",,0,200,,,,,"offer_item_cosmetic_coins_small","offer_item_cosmetic_coins_small","offer_item_cosmetic_coins_small","TID_SHOP_OFFER_TITLE_52","resource","icon_resource_cosmetic_coins","sc/shop.sc#offer_item_cosmetic_coins_small",,,
"RandomCollabDrop",53,"TRUE","FALSE",,"FALSE",,0,1,,,"sc/shop.sc#shop_popupitem_53",,,,,,,,"sc/shop.sc#offer_item_collab_gacha_big","sc/shop.sc#offer_item_collab_gacha_big","sc/shop.sc#offer_item_collab_gacha_big","sc/shop.sc#offer_item_collab_gacha_big",,,,,,,,,,,,,,,,,,,0,1,,,,,,,,"TID_SHOP_OFFER_TITLE_53","resource","icon_resource_random_reward","sc/shop.sc#offer_item_collab_gacha_big",,,"true"
,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,
,,,,,,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,,,,,,,,,,,,
,,,,,,,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,11,,,,,,,,,,,,,,
,,,,,,,4,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,23,,,,,,,,,,,,,,
,,,,,,,5,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,-1,,,,,,,,,,,,,,
"SpecialEventTokens",54,"FALSE","TRUE",,"TRUE",,,,"sc/shop.sc#shop_item_resourses_gems",,"sc/shop.sc#shop_popupitem_16",,,,,,"shop_item_resourses_gems","shop_item_resourses_gems","sc/shop.sc#offer_item_gems_big","sc/shop.sc#offer_item_gems_big","sc/shop.sc#offer_item_gems_small","sc/shop.sc#offer_item_gems_big",,,,,,"offer_gems","sc/brawl_pass.sc#brawlpass_reward_premium_gems","sc/brawl_pass.sc#brawlpass_reward_free_gems",,"reward_profilebutton_16",,,,,,,,,,,,,,,"offer_item_gems_small","offer_item_gems_small","offer_item_gems_small",,"first_win","icon_first_win","sc/shop.sc#offer_item_gems_small",,,
"MegaBox",55,"TRUE","TRUE",,"TRUE",,0,1,,,"sc/shop.sc#shop_popupitem_55",,,,,,,,"sc/shop.sc#offer_item_mega_box_big","sc/shop.sc#offer_item_mega_box_big","sc/shop.sc#offer_item_mega_box_small","sc/shop.sc#offer_item_mega_box_big",,,,,"sc/shop.sc#hero_item_mega_box",,"sc/brawl_pass.sc#brawlpass_reward_premium_mega_box","sc/brawl_pass.sc#brawlpass_reward_free_mega_box",,,,,,,,,,,0,1,,,,,,,,"TID_SHOP_OFFER_TITLE_55","resource","icon_resource_random_reward","sc/shop.sc#offer_item_mega_box_big",,"grid_item_mega_box","true"
"ArchetypeItem",56,"TRUE","FALSE",,"FALSE",,,,,,"sc/shop.sc#shop_popupitem_5",,,,,,,,"sc/shop.sc#offer_item_sb_big","sc/shop.sc#offer_item_sb_big","sc/shop.sc#offer_item_sb_small","sc/shop.sc#offer_item_sb_big",,,,,"sc/shop.sc#hero_item_coins",,,,,,,,,,,,,,,,,,,,"offer_item_sb_small","offer_item_sb_small","offer_item_sb_small",,"resource",,"sc/shop.sc#offer_item_sb_small",,,
"CollabPoints",57,"TRUE","TRUE",,"TRUE",,0,0,,,"sc/shop.sc#shop_popupitem_57",,,,,,,,"sc/shop.sc#offer_item_collab_points_big","sc/shop.sc#offer_item_collab_points_big","sc/shop.sc#offer_item_collab_points_small","sc/shop.sc#offer_item_collab_points_big",,,,,"sc/shop.sc#hero_item_coins",,,,,"reward_profilebutton_57","TRUE",75,350,"reward_popupitem_collected_57","reward_popupitem_small_57","reward_popupitem_small_57","reward_popupitem_large_57",,0,0,,,,,"offer_item_collab_points_small","offer_item_collab_points_small","offer_item_collab_points_small","TID_SHOP_OFFER_TITLE_57","resource","icon_resource_currency_collab","sc/shop.sc#offer_item_collab_points_small",,,"true"
,,,,,,,1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,24,,,,,,,,,,,,,,
,,,,,,,2,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,99,,,,,,,,,,,,,,
,,,,,,,3,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,299,,,,,,,,,,,,,,
,,,,,,,4,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,-1,,,,,,,,,,,,,,
"AngelicStar",58,"TRUE","TRUE",,"TRUE",,0,1,,,"sc/shop.sc#shop_popupitem_58",,,,,,,,"sc/shop.sc#offer_item_collab_gacha_angels","sc/shop.sc#offer_item_collab_gacha_angels","sc/shop.sc#offer_item_collab_gacha_angels_small","sc/shop.sc#offer_item_collab_gacha_angels",,,,,"sc/shop.sc#hero_item_angelic_drop",,,,,,,,,,,,,,0,1,,,,,,,,"TID_SHOP_OFFER_TITLE_58","resource","icon_resource_random_reward","sc/shop.sc#offer_item_collab_gacha_angels",,"grid_item_angelic_drop","true"
"DemonicStar",59,"TRUE","TRUE",,"TRUE",,0,1,,,"sc/shop.sc#shop_popupitem_59",,,,,,,,"sc/shop.sc#offer_item_collab_gacha_demons","sc/shop.sc#offer_item_collab_gacha_demons","sc/shop.sc#offer_item_collab_gacha_demons_small","sc/shop.sc#offer_item_collab_gacha_demons",,,,,"sc/shop.sc#hero_item_demonic_drop",,,,,,,,,,,,,,0,1,,,,,,,,"TID_SHOP_OFFER_TITLE_59","resource","icon_resource_random_reward","sc/shop.sc#offer_item_collab_gacha_demons",,"grid_item_demonic_drop","true"
"RandomPresentDrop",60,"TRUE","TRUE",,"TRUE",,0,1,,,"sc/shop.sc#shop_popupitem_60",,,,,,,,"sc/shop.sc#offer_item_gacha_present_drop_big","sc/shop.sc#offer_item_gacha_present_drop_big","sc/shop.sc#offer_item_gacha_present_drop_small","sc/shop.sc#offer_item_gacha_present_drop_big",,,,,"sc/shop.sc#hero_item_present_drop",,,,,,,,,,,,,,0,1,,,,,,,,"TID_SHOP_OFFER_TITLE_60","resource","icon_resource_random_reward","sc/shop.sc#offer_item_gacha_present_drop_small",,"grid_item_present_drop","true"
"CompetitivePassTailReward",61,"FALSE","FALSE",,"FALSE",,0,,"sc/shop.sc#shop_item_resourses_boxes",,"sc/shop.sc#shop_popupitem_10",,,,,,"shop_item_resourses_boxes","shop_item_resourses_boxes","sc/brawl_pass.sc#brawlpass_reward_premium_tail_rewards","sc/brawl_pass.sc#brawlpass_reward_premium_tail_rewards","sc/brawl_pass.sc#brawlpass_reward_premium_tail_rewards","sc/brawl_pass.sc#brawlpass_reward_premium_tail_rewards",,,,,"sc/shop.sc#hero_item_coins","offer_recruit_tokens","sc/brawl_pass.sc#brawlpass_reward_premium_tail_rewards","sc/brawl_pass.sc#brawlpass_reward_premium_tail_rewards","sc/brawl_pass.sc#brawlpass_reward_premium_random_reward","reward_profilebutton_50",,,,"reward_popupitem_collected_10",,,"reward_popupitem_large_10",,0,,,,,,"sc/brawl_pass.sc#brawlpass_reward_premium_random_reward","sc/brawl_pass.sc#brawlpass_reward_premium_random_reward","sc/brawl_pass.sc#brawlpass_reward_premium_random_reward",,"box","reward_profilebutton_42","sc/brawl_pass.sc#brawlpass_reward_premium_tail_rewards",,,
"ProgressionSkinLevelUp",62,"FALSE","FALSE",,"FALSE",,0,1,,,,,,,,,,,,,,,,,,,,,"competitive_pass_reward_premium_progression_skin","competitive_pass_reward_free_progression_skin",,,,,,,,,,,0,1,,,,,,,,,,,,,"grid_item_pro_skin_tag",
"CompetitivePassPoints",64,"TRUE","TRUE",,"TRUE",,0,1,"offer_item_competitive_pass_points_big",,"sc/shop.sc#reward_popupitem_large_64",,,,,,,,,,,,,,,,,,"offer_item_competitive_pass_points_big","reward_popupitem_small_64",,,,,,,,,,,0,1,,,,,,,,"TID_COMPETITIVE_PASS_PRO_PASS_XP","resource","icon_resource_competitive_pass",,,,"true"
"DailyStreak",65,"TRUE","FALSE",,"FALSE",,0,-1,,,"sc/shop.sc#shop_popupitem_45",,"sc/shop.sc#shop_item_daily_freebie_cosmetic_coins",,,,,,"sc/shop.sc#offer_item_cosmetic_coins_big","sc/shop.sc#offer_item_cosmetic_coins_big","sc/shop.sc#offer_item_cosmetic_coins_small","sc/shop.sc#offer_item_cosmetic_coins_big",,,,,"sc/shop.sc#hero_item_coins",,"sc/brawl_pass.sc#brawlpass_reward_premium_cosmetic_coins","sc/brawl_pass.sc#brawlpass_reward_free_cosmetic_coins",,"reward_profilebutton_45",,,,"reward_popupitem_collected_45","reward_popupitem_small_45","reward_popupitem_small_45","reward_popupitem_large_45",,0,-1,,,,"rank_reward_cosmetic_coins","offer_item_cosmetic_coins_small","offer_item_cosmetic_coins_small","offer_item_cosmetic_coins_small","TID_SHOP_OFFER_TITLE_65","resource","icon_resource_cosmetic_coins","sc/shop.sc#offer_item_cosmetic_coins_small",,,
"LevelUpgrade",34,"TRUE","FALSE",,"FALSE",,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-1,,,,,,,,"TID_SHOP_OFFER_TITLE_34",,,,,,
"RandomSushiDrop",66,"TRUE","TRUE",,"TRUE",,0,1,,,"sc/shop.sc#shop_popupitem_66",,,,,,,,"sc/shop.sc#offer_item_gacha_sushi_big","sc/shop.sc#offer_item_gacha_sushi_big","sc/shop.sc#offer_item_gacha_sushi_small","sc/shop.sc#offer_item_gacha_sushi_big",,,,,"sc/shop.sc#hero_item_sushi_drop",,,,,,,,,,,,,,0,1,,,,,,,,"TID_SHOP_OFFER_TITLE_66","resource","icon_resource_sushi","sc/shop.sc#offer_item_gacha_sushi_small",,"grid_item_sushi","true"
,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,
,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,
,,,,,,,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,,,,,,,,,,,,,,
,,,,,,,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,14,,,,,,,,,,,,,,
,,,,,,,5,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,25,,,,,,,,,,,,,,
,,,,,,,6,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,-1,,,,,,,,,,,,,,
"TrophySeasonBox",67,"TRUE","FALSE",,"FALSE",,,,,,"sc/shop.sc#shop_popupitem_61",,,,,,,,"sc/shop.sc#offer_item_trophy_box_big","sc/shop.sc#offer_item_trophy_box_big","sc/shop.sc#offer_item_trophy_box_small","offer_item_trophy_box_big",,,,,"sc/shop.sc#hero_item_trophy_box",,,,,,,,,,,,,,,,,,,,"offer_item_trophy_box_small","offer_item_trophy_box_small","offer_item_trophy_box_small","TID_SHOP_OFFER_TITLE_67","resource","icon_resource_random_reward","sc/shop.sc#offer_item_trophy_box_small",,"grid_item_trophy_box","true"
"ChooseSuperRareBrawler",69,"FALSE","FALSE",,"FALSE",,,,,,"sc/brawl_pass.sc#brawlpass_reward_premium_brawler_unlock_any",,,,,,,,"sc/brawl_pass.sc#brawlpass_reward_premium_brawler_unlock_any","sc/brawl_pass.sc#brawlpass_reward_premium_brawler_unlock_any","sc/brawl_pass.sc#brawlpass_reward_premium_brawler_unlock_any","sc/brawl_pass.sc#brawlpass_reward_premium_brawler_unlock_any",,,,,"sc/shop.sc#hero_item_coins",,"sc/brawl_pass.sc#brawlpass_reward_premium_brawler_unlock_any","sc/brawl_pass.sc#brawlpass_reward_premium_brawler_unlock_any",,"reward_profilebutton_42",,,,,,,,"sc/trophy_world_common.sc#reward_item_brawler_choose",,,,,,,,,,"TID_SHOP_OFFER_TITLE_69",,,"sc/brawl_pass.sc#brawlpass_reward_premium_brawler_unlock_any",,,
"RecordsFeature",70,"FALSE","FALSE",,"FALSE",,,,,,,,,,,,,,,,,,,,,,,,,,,"reward_profilebutton_70",,,,"reward_popupitem_collected_41","reward_popupitem_small_41",,,"sc/trophy_world_common.sc#reward_item_records",,,,,,,,,,,,,,,,
"BrawlerBox",71,"TRUE","TRUE",,"TRUE",,,,,,"sc/shop.sc#shop_popupitem_71",,,,,,,,"sc/shop.sc#offer_item_brawler_box_big","sc/shop.sc#offer_item_brawler_box_big","sc/shop.sc#offer_item_brawler_box_small","offer_item_brawler_box_big",,,,,"sc/shop.sc#hero_item_brawler_box",,,,,,,,,,,,,,,,,,,,,,,"TID_SHOP_OFFER_TITLE_71",,,,,"grid_item_brawler_box","true"
"CollabScore",72,"TRUE","TRUE",,"TRUE",,0,0,,,"sc/shop.sc#shop_popupitem_72",,,,,,,,"sc/shop.sc#offer_item_subway_surfers_points_big","sc/shop.sc#offer_item_subway_surfers_points_big","sc/shop.sc#offer_item_subway_surfers_points_small","offer_item_subway_surfers_points_big",,,,,"sc/shop.sc#hero_item_coins",,,,,"reward_profilebutton_72","TRUE",75,350,"reward_popupitem_collected_72","reward_popupitem_small_72","reward_popupitem_small_72","reward_popupitem_large_72",,0,0,,,,,"offer_item_subway_surfers_points_small","offer_item_subway_surfers_points_small","offer_item_subway_surfers_points_small","TID_SUBWAY_CONTEST_END_FLOW_REWARD","resource","icon_resource_currency_collab","sc/shop.sc#offer_item_subway_surfers_points_small",,"grid_item_angelic_drop","true"
"GraffitiBox",73,"TRUE","TRUE",,"FALSE",,0,1,,,"sc/shop.sc#shop_popupitem_73",,,,,,,,"sc/shop.sc#offer_item_graffiti_box_big","sc/shop.sc#offer_item_graffiti_box_big","sc/shop.sc#offer_item_graffiti_box_small","sc/shop.sc#offer_item_graffiti_box_big",,,,,"sc/shop.sc#hero_item_graffiti_box",,,,,,,,,"reward_popupitem_collected_73","reward_popupitem_small_73","reward_popupitem_small_73","reward_popupitem_large_73",,0,1,,,,,"offer_item_graffiti_box_small","offer_item_graffiti_box_small","offer_item_graffiti_box_small","TID_SHOP_OFFER_TITLE_73","resource","icon_resource_random_reward","sc/shop.sc#offer_item_graffiti_box_small",,"grid_item_graffiti_box","true"
"TrickBox",74,"TRUE","TRUE",,"TRUE",,0,1,,,"sc/shop.sc#shop_popupitem_74",,,,,,,,"sc/shop.sc#offer_item_trick_box_big","sc/shop.sc#offer_item_trick_box_big","sc/shop.sc#offer_item_trick_box_small","sc/shop.sc#offer_item_trick_box_big",,,,,"sc/shop.sc#hero_item_trick_box",,,,,,,,,"reward_popupitem_collected_74","reward_popupitem_small_74","reward_popupitem_small_74","reward_popupitem_large_74",,0,1,,,,,"offer_item_trick_box_small","offer_item_trick_box_small","offer_item_trick_box_small","TID_SHOP_OFFER_TITLE_74","resource","icon_resource_random_reward","sc/shop.sc#offer_item_trick_box_small",,"grid_item_trick_box","true"
"CollabFeature",75,"FALSE","FALSE",,"FALSE",,,,,,,,,,,,,,,,,,,,,,,,,,,"reward_profilebutton_75",,,,,,,,"sc/trophy_world_common.sc#reward_item_season_quests",,,,,,,,,,,,,,,,
"CollabEventCurrency",76,"TRUE","TRUE",,"TRUE",,0,0,,,"sc/shop.sc#shop_popupitem_76",,,,,,,,"sc/shop.sc#offer_item_currency_collab_big","sc/shop.sc#offer_item_currency_collab_big","sc/shop.sc#offer_item_currency_collab_small","sc/shop.sc#offer_item_currency_collab_big",,,,,"sc/shop.sc#hero_item_coins",,,,,"reward_profilebutton_76","TRUE",75,350,"reward_popupitem_collected_76","reward_popupitem_small_76","reward_popupitem_small_76","reward_popupitem_large_76",,0,0,,,,,"offer_item_currency_collab_small","offer_item_currency_collab_small","offer_item_currency_collab_small","TID_SHOP_OFFER_TITLE_76","resource","icon_resource_currency_collab","sc/shop.sc#offer_item_currency_collab_small","gatcha_screen_collab_event_currency_drop",,"true"
,,,,,,,1,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,24,,,,,,,,,,,,,,
,,,,,,,2,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,99,,,,,,,,,,,,,,
,,,,,,,3,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,299,,,,,,,,,,,,,,
,,,,,,,4,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,-1,,,,,,,,,,,,,,
"MechBox",77,"TRUE","TRUE",,"TRUE",,,,,,"sc/shop.sc#shop_popupitem_77",,,,,,,,"sc/shop.sc#offer_item_mech_box_big","sc/shop.sc#offer_item_mech_box_big","sc/shop.sc#offer_item_mech_box_small","sc/shop.sc#offer_item_mech_box_big",,,,,"sc/shop.sc#hero_item_mech_box",,,,,,,,,,,,,,,,,,,,"offer_item_mech_box_small","offer_item_mech_box_small","offer_item_mech_box_small",,,,"sc/shop.sc#offer_item_mech_box_small",,"grid_item_mecha_box","true"
"VaultResourceKeys",78,TRUE,,,,,0,,,,"sc/shop.sc#shop_popupitem_78",,,,,,,,"sc/shop.sc#offer_item_vault_key_currency_big","sc/shop.sc#offer_item_vault_key_currency_big","sc/shop.sc#offer_item_vault_key_currency_small","sc/shop.sc#offer_item_vault_key_currency_big",,,,,"sc/shop.sc#hero_item_vault_currency_key",,"sc/brawl_pass.sc#brawlpass_reward_premium_key","sc/brawl_pass.sc#brawlpass_reward_free_key",,"reward_profilebutton_76","TRUE",,,,,,,,,,,,,,,,,"TID_VAULT_RESOURCE_KEY",,,,,"grid_item_vault_currency_key",
"VaultBrawlerKeys",79,TRUE,,,,,1,,,,"sc/shop.sc#shop_popupitem_79",,,,,,,,"sc/shop.sc#offer_item_vault_key_brawler_big","sc/shop.sc#offer_item_vault_key_brawler_big","sc/shop.sc#offer_item_vault_key_brawler_small","sc/shop.sc#offer_item_vault_key_brawler_big",,,,,"sc/shop.sc#hero_item_vault_brawler_key",,"sc/brawl_pass.sc#brawlpass_reward_premium_key","sc/brawl_pass.sc#brawlpass_reward_free_key",,"reward_profilebutton_76","TRUE",,,,,,,,,,,,,,,,,"TID_VAULT_BRAWLER_KEY",,,,,"grid_item_vault_brawler_key",
