"Name","PowerLeagueSeasonId","SkinsInRankedStar","TicketsInSkinDraw","SpraysInRankedStar","TicketsInSprayDraw","ProfilePicsInRankedStar","TicketsInProfilePicDraw"
,,"BlowerDeepsea",1,"spray_ranked_deepsea",1,"player_icon_ranked_logo",1
,,"AxeJugglerGreek",1,"spray_ranked_olympic",1,"player_icon_ranked_olympic",1
,,"TwinsVirus",1,"spray_ranked_hackers",1,"player_icon_ranked_ragnarok",1
,,"JesterLoki",1,"spray_ranked_godzilla",1,"player_icon_ranked_sandsoftime",1
,,"TntDudeDynastic",1,"spray_ranked_ragnarok",1,"player_icon_ranked_sb",1
,,"TrickshotDudeDevil",1,"spray_ranked_sandsoftime",1,"player_icon_ranked_starrforce",1
,,"DuplicatorDarkcircus",1,"spray_cartoon_starr",1,"player_icon_ranked_toons2",1
,,"MaisieWasteland",1,"spray_lola_circus",1,"player_icon_pl_logo",1
,,"IceDudeStonetroll",1,"spray_maisie_wasteland",1,"player_icon_ranked_sandsoftime2",1
,,"MechaDudeJaguar",1,"spray_lou_enchanted",1,"player_icon_ranked_super",1
,,"SniperMariposa",1,"spray_meg_jungle",1,,
,,"SnakeOilWizard_white",1,"spray_ranked1_1",1,,
,,"DrillerJetski_purple",1,"spray_ranked1_2",1,,
,,"RopeDudeDirector_blue",1,,,,
,,"ArtilleryDudeSmuggler_orange",1,,,,
,,"ArcadePiano_black",1,,,,
,,"ShamanDragon_black",1,,,,
"BrawlCup8",38,"DeadMariachiGoodRandoms",1,"spray_ranked_goodrandoms",1,"player_icon_ranked_angelsdemons",1
,,"DiggerStarrForce",1,"spray_ranked_starrforce",1,"player_icon_ranked_darkonceupon",1
,,"RosaToon",1,"spray_ranked_toons2",1,"player_icon_ranked_deepsea",1
,,"AmbusherAngel",1,"spray_ranked_angelsdemons",1,"player_icon_ranked_godzilla",1
,,"BeamerOnceupon",1,"spray_ranked_darkonce",1,"player_icon_ranked_goodrandoms",1
,,"ElectroSniperSCmake",1,"spray_ranked_sb",1,"player_icon_ranked_hackers",1
,,"BlowerDeepsea",1,"spray_ranked_deepsea",1,"player_icon_ranked_logo",1
,,"AxeJugglerGreek",1,"spray_ranked_olympic",1,"player_icon_ranked_olympic",1
,,"TwinsVirus",1,"spray_ranked_hackers",1,"player_icon_ranked_ragnarok",1
,,"JesterLoki",1,"spray_ranked_godzilla",1,"player_icon_ranked_sandsoftime",1
,,"TntDudeDynastic",1,"spray_ranked_ragnarok",1,"player_icon_ranked_sb",1
,,"TrickshotDudeDevil",1,"spray_ranked_sandsoftime",1,"player_icon_ranked_starrforce",1
,,"DuplicatorDarkcircus",1,"spray_cartoon_starr",1,"player_icon_ranked_toons2",1
,,"MaisieWasteland",1,"spray_lola_circus",1,"player_icon_pl_logo",1
,,"IceDudeStonetroll",1,"spray_maisie_wasteland",1,"player_icon_ranked_sandsoftime2",1
,,"MechaDudeJaguar",1,"spray_lou_enchanted",1,"player_icon_ranked_super",1
,,"SniperMariposa",1,"spray_meg_jungle",1,,
,,"SnakeOilWizard_white",1,"spray_ranked1_1",1,,
,,"DrillerJetski_purple",1,"spray_ranked1_2",1,,
,,"RopeDudeDirector_blue",1,,,,
,,"ArtilleryDudeSmuggler_orange",1,,,,
,,"ArcadePiano_black",1,,,,
,,"ShamanDragon_black",1,,,,
"BrawlCup9",39,"DeadMariachiGoodRandoms",1,"spray_ranked_goodrandoms",1,"player_icon_ranked_angelsdemons",1
,,"DiggerStarrForce",1,"spray_ranked_starrforce",1,"player_icon_ranked_darkonceupon",1
,,"RosaToon",1,"spray_ranked_toons2",1,"player_icon_ranked_deepsea",1
,,"AmbusherAngel",1,"spray_ranked_angelsdemons",1,"player_icon_ranked_godzilla",1
,,"BeamerOnceupon",1,"spray_ranked_darkonce",1,"player_icon_ranked_goodrandoms",1
,,"ElectroSniperSCmake",1,"spray_ranked_sb",1,"player_icon_ranked_hackers",1
,,"BlowerDeepsea",1,"spray_ranked_deepsea",1,"player_icon_ranked_logo",1
,,"AxeJugglerGreek",1,"spray_ranked_olympic",1,"player_icon_ranked_olympic",1
,,"TwinsVirus",1,"spray_ranked_hackers",1,"player_icon_ranked_ragnarok",1
,,"JesterLoki",1,"spray_ranked_godzilla",1,"player_icon_ranked_sandsoftime",1
,,"TntDudeDynastic",1,"spray_ranked_ragnarok",1,"player_icon_ranked_sb",1
,,"TrickshotDudeDevil",1,"spray_ranked_sandsoftime",1,"player_icon_ranked_starrforce",1
,,"DuplicatorDarkcircus",1,"spray_cartoon_starr",1,"player_icon_ranked_toons2",1
,,"MaisieWasteland",1,"spray_lola_circus",1,"player_icon_pl_logo",1
,,"IceDudeStonetroll",1,"spray_maisie_wasteland",1,"player_icon_ranked_sandsoftime2",1
,,"MechaDudeJaguar",1,"spray_lou_enchanted",1,"player_icon_ranked_super",1
,,"SniperMariposa",1,"spray_meg_jungle",1,,
,,"SnakeOilWizard_white",1,"spray_ranked1_1",1,,
,,"DrillerJetski_purple",1,"spray_ranked1_2",1,,
,,"RopeDudeDirector_blue",1,,,,
,,"ArtilleryDudeSmuggler_orange",1,,,,
,,"ArcadePiano_black",1,,,,
,,"ShamanDragon_black",1,,,,
"BrawlCup10",40,"DeadMariachiGoodRandoms",1,"spray_ranked_goodrandoms",1,"player_icon_ranked_angelsdemons",1
,,"DiggerStarrForce",1,"spray_ranked_starrforce",1,"player_icon_ranked_darkonceupon",1
,,"RosaToon",1,"spray_ranked_toons2",1,"player_icon_ranked_deepsea",1
,,"AmbusherAngel",1,"spray_ranked_angelsdemons",1,"player_icon_ranked_godzilla",1
,,"BeamerOnceupon",1,"spray_ranked_darkonce",1,"player_icon_ranked_goodrandoms",1
,,"ElectroSniperSCmake",1,"spray_ranked_sb",1,"player_icon_ranked_hackers",1
,,"BlowerDeepsea",1,"spray_ranked_deepsea",1,"player_icon_ranked_logo",1
,,"AxeJugglerGreek",1,"spray_ranked_olympic",1,"player_icon_ranked_olympic",1
,,"TwinsVirus",1,"spray_ranked_hackers",1,"player_icon_ranked_ragnarok",1
,,"JesterLoki",1,"spray_ranked_godzilla",1,"player_icon_ranked_sandsoftime",1
,,"TntDudeDynastic",1,"spray_ranked_ragnarok",1,"player_icon_ranked_sb",1
,,"TrickshotDudeDevil",1,"spray_ranked_sandsoftime",1,"player_icon_ranked_starrforce",1
,,"DuplicatorDarkcircus",1,"spray_cartoon_starr",1,"player_icon_ranked_toons2",1
,,"MaisieWasteland",1,"spray_lola_circus",1,"player_icon_pl_logo",1
,,"IceDudeStonetroll",1,"spray_maisie_wasteland",1,"player_icon_ranked_sandsoftime2",1
,,"MechaDudeJaguar",1,"spray_lou_enchanted",1,"player_icon_ranked_super",1
,,"SniperMariposa",1,"spray_meg_jungle",1,,
,,"SnakeOilWizard_white",1,"spray_ranked1_1",1,,
,,"DrillerJetski_purple",1,"spray_ranked1_2",1,,
,,"RopeDudeDirector_blue",1,,,,
,,"ArtilleryDudeSmuggler_orange",1,,,,
,,"ArcadePiano_black",1,,,,
,,"ShamanDragon_black",1,,,,
"BrawlCup11",41,"DeadMariachiGoodRandoms",1,"spray_ranked_goodrandoms",1,"player_icon_ranked_angelsdemons",1
,,"DiggerStarrForce",1,"spray_ranked_starrforce",1,"player_icon_ranked_darkonceupon",1
,,"RosaToon",1,"spray_ranked_toons2",1,"player_icon_ranked_deepsea",1
,,"AmbusherAngel",1,"spray_ranked_angelsdemons",1,"player_icon_ranked_godzilla",1
,,"BeamerOnceupon",1,"spray_ranked_darkonce",1,"player_icon_ranked_goodrandoms",1
,,"ElectroSniperSCmake",1,"spray_ranked_sb",1,"player_icon_ranked_hackers",1
,,"BlowerDeepsea",1,"spray_ranked_deepsea",1,"player_icon_ranked_logo",1
,,"AxeJugglerGreek",1,"spray_ranked_olympic",1,"player_icon_ranked_olympic",1
,,"TwinsVirus",1,"spray_ranked_hackers",1,"player_icon_ranked_ragnarok",1
,,"JesterLoki",1,"spray_ranked_godzilla",1,"player_icon_ranked_sandsoftime",1
,,"TntDudeDynastic",1,"spray_ranked_ragnarok",1,"player_icon_ranked_sb",1
,,"TrickshotDudeDevil",1,"spray_ranked_sandsoftime",1,"player_icon_ranked_starrforce",1
,,"DuplicatorDarkcircus",1,"spray_cartoon_starr",1,"player_icon_ranked_toons2",1
,,"MaisieWasteland",1,"spray_lola_circus",1,"player_icon_pl_logo",1
,,"IceDudeStonetroll",1,"spray_maisie_wasteland",1,"player_icon_ranked_sandsoftime2",1
,,"MechaDudeJaguar",1,"spray_lou_enchanted",1,"player_icon_ranked_super",1
,,"SniperMariposa",1,"spray_meg_jungle",1,,
,,"SnakeOilWizard_white",1,"spray_ranked1_1",1,,
,,"DrillerJetski_purple",1,"spray_ranked1_2",1,,
,,"RopeDudeDirector_blue",1,,,,
,,"ArtilleryDudeSmuggler_orange",1,,,,
,,"ArcadePiano_black",1,,,,
,,"ShamanDragon_black",1,,,,
"BrawlCup12",42,"DeadMariachiGoodRandoms",1,"spray_ranked_goodrandoms",1,"player_icon_ranked_angelsdemons",1
,,"DiggerStarrForce",1,"spray_ranked_starrforce",1,"player_icon_ranked_darkonceupon",1
,,"RosaToon",1,"spray_ranked_toons2",1,"player_icon_ranked_deepsea",1
,,"AmbusherAngel",1,"spray_ranked_angelsdemons",1,"player_icon_ranked_godzilla",1
,,"BeamerOnceupon",1,"spray_ranked_darkonce",1,"player_icon_ranked_goodrandoms",1
,,"ElectroSniperSCmake",1,"spray_ranked_sb",1,"player_icon_ranked_hackers",1
,,"BlowerDeepsea",1,"spray_ranked_deepsea",1,"player_icon_ranked_logo",1
,,"AxeJugglerGreek",1,"spray_ranked_olympic",1,"player_icon_ranked_olympic",1
,,"TwinsVirus",1,"spray_ranked_hackers",1,"player_icon_ranked_ragnarok",1
,,"JesterLoki",1,"spray_ranked_godzilla",1,"player_icon_ranked_sandsoftime",1
,,"TntDudeDynastic",1,"spray_ranked_ragnarok",1,"player_icon_ranked_sb",1
,,"TrickshotDudeDevil",1,"spray_ranked_sandsoftime",1,"player_icon_ranked_starrforce",1
,,"DuplicatorDarkcircus",1,"spray_cartoon_starr",1,"player_icon_ranked_toons2",1
,,"MaisieWasteland",1,"spray_lola_circus",1,"player_icon_pl_logo",1
,,"IceDudeStonetroll",1,"spray_maisie_wasteland",1,"player_icon_ranked_sandsoftime2",1
,,"MechaDudeJaguar",1,"spray_lou_enchanted",1,"player_icon_ranked_super",1
,,"SniperMariposa",1,"spray_meg_jungle",1,,
,,"SnakeOilWizard_white",1,"spray_ranked1_1",1,,
,,"DrillerJetski_purple",1,"spray_ranked1_2",1,,
,,"RopeDudeDirector_blue",1,,,,
,,"ArtilleryDudeSmuggler_orange",1,,,,
,,"ArcadePiano_black",1,,,,
,,"ShamanDragon_black",1,,,,
