"TID","FI"
"TID_IAP_TRANSACTION_PENDING","Ole hyvä ja odota. Rahansiirto on käynnissä."
"TID_RATE_APP_TITLE","Arvostele Brawl Stars"
"TID_RATE_APP_MESSAGE","Arvostele Brawl Stars App Storessa ja anna meille arvokasta palautetta!"
"TID_BUTTON_RATE_APP_LATER","Myöhemmin"
"TID_BUTTON_RATE_APP_REVIEW","Arvostele"
"TID_BUTTON_RATE_APP_NEVER","Ei koskaan"
"TID_ERROR_POP_UP_UNLOCK_UNAVAILABLE_TITLE","Tiliä ei voi avata."
"TID_ERROR_POP_UP_UNLOCK_UNAVAILABLE","Tiliä ei voi tällä hetkellä avata. Yritä myöhemmin uudelleen."
"TID_ERROR_POP_UP_UNLOCK_UNAVAILABLE_BUTTON","Yritä uudelleen"
"TID_ACCOUNT_LOCKED_INVALID_CODE","Virheellinen avauskoodi!"
"TID_ACCOUNT_LOCKED_TITLE","Tili lukittu"
"TID_ACCONT_LOCKED_TEXT","Tilisi on lukittu turvallisuussyistä. Palauta tilisi ottamalla yhteyttä tukeen."
"TID_ACCOUNT_LOCKED_TEXT2","Kirjoita avauskoodi tähän"
"TID_HERO_LIST_CONFIRM_GEM_GATCHA","Vahvista napauttamalla"
"TID_NOT_ENOUGH_GEMS_TITLE","Ei tarpeeksi jalokiviä"
"TID_NOT_ENOUGH_GEMS_INFO","\n\nJalokivesi ovat lopussa. Voit ostaa niitä lisää kaupasta!"
"TID_NOT_ENOUGH_GEMS_GO_TO_SHOP","Siirry kauppaan"
"TID_COIN_DOUBLER_TITLE","Osta poletintuplaaja"
"TID_COIN_DOUBLER_TITLE_WITH_COINS","Lisää poletteja poletintuplaajaan"
"TID_COIN_DOUBLER_INFO","Tuplaa seuraavat <c2edd1b><AMOUNT></c> polettia, jotka ansaitset otteluista."
"TID_COIN_DOUBLER_INFO_WITH_COINS","Lisää <c2edd1b><AMOUNT></c> polettia poletintuplaajaasi.\n\nPoletintuplaaja kaksinkertaistaa otteluista voittamiesi polettien määrän."
"TID_GEM_PRICE_OK","<COST>"
"TID_GEM_PRICE_WARN","<COST>"
"TID_STAT_PER_DYNAMITE","Tuhovoima pommia kohti"
"TID_STARS_1","Ole varuillasi! Sinulla on <ce662f9>jalokivi</c>!"
"TID_STARS_2","Ole varuillasi! Sinulla on <ce662f9>jalokiviä</c>!"
"TID_STARS_3","Ole varuillasi! Sinulla on paljon <ce662f9>jalokiviä</c>!"
"TID_STARS_4","Ole varuillasi! Sinulla on valtavasti <ce662f9>jalokiviä</c>!"
"TID_GATCHA_BUTTON_TITLE","RÄHINÄLIPAS"
"TID_1ST_WIN_CHEST_BUTTON_TITLE","ISO LIPAS"
"TID_EVENT_LOCKED","Lukittu"
"TID_SPECIAL_EVENT_TITLE_TOP","ERIKOISTAPAHTUMA:"
"TID_SPECIAL_EVENT_STATUS_ACTIVE","aktiivisena"
"TID_SPECIAL_EVENT_STATUS_FUTURE","alkamiseen"
"TID_EVENT_COMING_UP_INFO","Tapahtuma avautuu <TIME> kuluttua."
"TID_ROCKET_BEACH_SKIN","BIITSI-BROCK"
"TID_CACTUS_PINK_SKIN_OLD","PINKKI SPIKE"
"TID_SHAMAN_PANDA_SKIN","PANDA-NITA"
"TID_CROW_WHITE_SKIN","VALKEA CROW"
"TID_BULL_HAIR_SKIN","VIIKINKI-BULL"
"TID_TRICKSHOT_GOLD_SKIN_OLD","KULTAPOIKA-RICOCHET"
"TID_BARKEEP_GOLD_SKIN","KULTAINEN BARLEY"
"TID_GUNSLINGER_ROCKSTAR_SKIN","ROKKARI-COLT"
"TID_STAT_HEAL","Parannus"
"TID_LUCHADOR_RUDO_SKIN","RUJO-PRIMO"
"TID_HERO_INFO_PURCHASE_SKIN_LABEL","Osta"
"TID_EVENTS_NEW_EVENT","Uusi tapahtuma!"
"TID_SETTINGS_BRAWLHINTS","Otteluvinkit"
"TID_COLLECTED_COINS_INFO","Olet kerännyt <CURRENT> polettia <MAX>/<PLANET> enimmäismäärästä."
"TID_COLLECTED_COINS_INFO_CAPPED","Olet kerännyt kaikki kartan <PLANET> saatavilla olevat poletit."
"TID_TICKET_COUNTER_INFO","Käytä tapahtumalippuja täällä ottelemiseen!"
"TID_NOT_ENOUGH_TICKETS","Ei tarpeeksi lippuja"
"TID_EVENT_LIST_GAME_ROOMS","UUSI JOUKKUE"
"TID_EVENT_LIST_WELCOME","Tervetuloa Brawl Starsiin!"
"TID_COOP","Yhteispeli"
"TID_COOP_NOT_SUPPORTED","Yhteispeli ei ole käytettävissä tässä tapahtumassa."
"TID_PRACTISE_NOT_SUPPORTED","Harjoittelu ei ole käytettävissä tässä tapahtumassa."
"TID_BIND_TO_NEW_FACEBOOK_ACCOUNT_TITLE","Uusi Facebook-kirjautuminen"
"TID_BIND_TO_NEW_FACEBOOK_ACCOUNT","Haluatko yhdistää nykyisen pelisi tähän Facebook-tiliin?"
"TID_BUTTON_OKAY","OK"
"TID_SELECT_PLAYER_THUMBNAIL_FAIL_4","Kuvakkeeseen tarvitaan <HERO>."
"TID_HERO_PORTRAIT_CRAFT_COST","<cffffff><COST></c>"
"TID_HERO_PORTRAIT_CRAFT_COST_NEG","<c999999><COST></c>"
"TID_EVENT_POPUP_CREATE_TEAM_INFO","Kutsu kavereita\npelaamaan yhdessä."
"TID_EVENT_POPUP_HIGHSTAKES_INFO","Voit käyttää useita lippuja ottelua kohti, jolloin voit saada parempia palkintoja."
"TID_EVENT_POPUP_GMV_LABEL_TEAM","3 vs 3"
"TID_EVENT_POPUP_GMV_LABEL_BATTLE_ROYALE","Kukkulan kuningas"
"TID_EVENT_POPUP_GMV_LABEL_BOSS_FIGHT","5 vs 1"
"TID_EVENT_POPUP_GMV_LABEL_COOP_SURVIVAL","Kolme pelaajaa vs roistorobotit"
"TID_HIGHSTAKES_REWARDS","Palkinnot x <COUNT>"
"TID_HIGHSTAKES_COST","Liput: <COUNT>"
"TID_POPUP_ANDROID_EXIT_TITLE","Poistutaanko Brawl Starsista?"
"TID_POPUP_ANDROID_EXIT","Haluatko varmasti poistua Brawl Starsista?"
"TID_ROOM_NOT_SUPPORTED","Joukkueet eivät ole käytettävissä tässä tapahtumassa."
"TID_ERROR_POP_UP_PURCHASE_FAILED_TITLE","Osto epäonnistui."
"TID_ERROR_POP_UP_PURCHASE_FAILED","Laskutuspalvelin ei vastaa. Yritä myöhemmin uudelleen."
"TID_ERROR_POP_UP_PURCHASE_FAILED_BUTTON","OK"
"TID_IAP_NOT_AVAILABLE","Salli pelinsisäiset ostot laiterajoitusten asetuksissa."
"TID_NEWS_TITLE","UUTISET"
"TID_STAT_DAMAGE_PER_ARROW","Tuhovoima nuolta kohti"
"TID_STAT_DAMAGE_PER_MINE","Tuhovoima ansaa kohti"
"TID_STAT_DAMAGE_PER_SPIKE","Tuhovoima piikkiä kohti"
"TID_STAT_DAMAGE_PER_DAGGER","Tuhovoima tikaria kohti"
"TID_FRIENDS_FACEBOOK_CONNECTED","Yhdistetty Facebookiin"
"TID_FRIENDS_FACEBOOK_NOT_CONNECTED","Yhdistä peli Facebookiin, niin näet Facebook-kaverisi täällä!"
"TID_FRIENDS_CONNECT_INFO","Yhdistä peli yhteisöpalveluihin, niin näet kaverisi täällä!"
"TID_FRIENDS_NO_FRIENDS","Ei kavereita"
"TID_FRIENDS_SUGGESTIONS_SEND_REQUEST","LÄHETÄ KAVERIPYYNTÖ"
"TID_FRIENDS_TITLE_1_NO_COUNT","KAVERIT"
"TID_FRIENDS_TITLE_1","KAVERIT (<COUNT>)"
"TID_FRIENDS_TITLE_2","EHDOTETUT KAVERIT"
"TID_FRIENDS_TITLE_3","KAVERIPYYNNÖT"
"TID_FRIEND_SUGGESTIONS_GAMES_PLAYED_MULT","<COUNT> YHTEISTÄ OTTELUA VIIME AIKOINA"
"TID_FRIEND_SUGGESTIONS_GAMES_PLAYED_ONE","YKSI YHTEINEN OTTELU VIIME AIKOINA"
"TID_FRIENDS_NO_ENTRIES_TAB_2","EI KAVERIEHDOTUKSIA"
"TID_FRIENDS_NO_ENTRIES_TAB_3","EI KAVERIPYYNTÖJÄ"
"TID_FRIENDS_CANNOT_REMOVE_FRIEND","Et voi poistaa kavereita some-kanavilta."
"TID_FRIEND_REQUEST_ACCEPT","HYVÄKSY"
"TID_FRIEND_REQUEST_REJECT","HYLKÄÄ"
"TID_FRIEND_REQUEST_REASON_0","<EMPTY>"
"TID_FRIEND_REQUEST_REASON_1","JENGISTÄ"
"TID_FRIEND_REQUEST_REASON_2","JOUKKUEESTA"
"TID_FRIEND_REQUEST_REASON_3","<AMOUNT> YHTEISTÄ OTTELUA VIIME AIKOINA"
"TID_FRIEND_REQUEST_REASON_4","<AMOUNT> YHTEISTÄ OTTELUA VIIME AIKOINA"
"TID_FRIEND_POPOVER_PROFILE","PROFIILI"
"TID_FRIEND_POPOVER_REMOVE","POISTA"
"TID_FRIEND_POPOVER_SPECTATE","KATSELE"
"TID_FRIEND_POPOVER_YOU","Tämä olet sinä."
"TID_REMOVE_FRIEND_POPUP_REMOVE","POISTA"
"TID_REMOVE_FRIEND_POPUP_CANCEL","PERUUTA"
"TID_REMOVE_FRIEND_POPUP_TITLE","VAHVISTA POISTO"
"TID_REMOVE_FRIEND_POPUP_BODY","Oletko varma, että haluat poistaa pelaajan <NAME> kaverilistaltasi?"
"TID_UNLOCK_SKIN_CONTENT","\n\nOSTA ASU: <NAME>"
"TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE_TITLE","Yhteys katkesi"
"TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE","Toinen laite muodostaa yhteyttä tähän peliin."
"TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE_BUTTON","Lataa uudelleen"
"TID_BAD_CONNECTION","Heikko verkkoyhteys"
"TID_FACEBOOK_BOUND_TO_OTHER_ACCOUNT_TITLE","Facebook-ilmoitus"
"TID_FACEBOOK_BOUND_TO_OTHER_ACCOUNT","Tämä Facebook-tili on jo yhdistetty toiseen Brawl Stars -peliin. Haluatko mieluummin yhdistää tilin nykyiseen peliin?"
"TID_KAKAO_BOUND_TO_OTHER_ACCOUNT_TITLE","Kakao-ilmoitus"
"TID_KAKAO_BOUND_TO_OTHER_ACCOUNT","Tämä Kakao-tili on jo yhdistetty toiseen Brawl Stars -peliin. Haluatko mieluummin yhdistää tilin nykyiseen peliin?"
"TID_LINE_BOUND_TO_OTHER_ACCOUNT_TITLE","LINE-ilmoitus"
"TID_LINE_BOUND_TO_OTHER_ACCOUNT","Tämä LINE-tili on jo yhdistetty toiseen Brawl Stars -peliin. Haluatko mieluummin yhdistää tilin nykyiseen peliin?"
"TID_TEAM_FREE_EVENT_REWARD_CLAIMED","Ilmainen tapahtumapalkinto lunastettu"
"TID_GEM_BUY_CONFIRMATION","<AMOUNT> jalokiveä vastaanotettu!"
"TID_BLOCKED_TEAM_READY","Et voi nähdä tätä valmiustilassa"
"TID_TEAM_CANNOT_INVITE_WHILE_READY","Ei voi kutsua valmiustilassa"
"TID_SHOTGUN_BANDITA_SKIN","RYÖVÄRI-SHELLY"
"TID_SHUTDOWN_STARTED","Peli suljetaan pienen huoltotauon ajaksi 5 minuutin kuluttua."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_LONG","Palvelimet ovat valitettavasti huollettavana. Yritä uudelleen muutaman tunnin kuluttua."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_TWO_HOURS","Palvelimet ovat valitettavasti huollettavana. Yritä uudelleen parin tunnin kuluttua."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_HOUR_AND_HALF","Palvelimet ovat valitettavasti huollettavana. Yritä uudelleen noin puolentoista tunnin kuluttua."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_HOUR","Palvelimet ovat valitettavasti huollettavana. Yritä uudelleen noin tunnin kuluttua."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_MINUTES","Palvelimet ovat valitettavasti huollettavana. Yritä uudelleen noin <value> minuutin kuluttua."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_SOON","Palvelimet ovat valitettavasti huollettavana. Yritä uudelleen muutaman minuutin kuluttua."
"TID_SHUTDOWN_BATTLE_DISABLED","Peli sulkeutuu huoltotauon ajaksi muutaman minuutin kuluttua. Uusien otteluiden aloittaminen ei ole mahdollista, ennen kuin huolto on ohi."
"TID_TEAM_SEARCH_NO_TEAM_CODE","Syötä joukkuekoodi."
"TID_NO_RIGHTS_TO_ACCEPT_TO_JOIN_REQ","Sinulla ei ole pääsyä pyyntöjen hyväksymiseen ja hylkäämiseen."
"TID_CLAN_RESPONSE_71","Kunniajäsenillä on harkinta-aika potkujen välillä."
"TID_STAT_MAX_DAMAGE","Tuhovoima enimmäisetäisyydeltä"
"TID_STAT_DAMAGE_PER_BOMB","Tuhovoima kranaattia kohti"
"TID_ELDER_KICK_FAIL_COOLDOWN","Olet hetki sitten poistanut jäsenen jengistä. Yritä uudelleen <time> kuluttua."
"TID_LUCHADOR_KING_SKIN","PRINSSI-PRIMO"
"TID_PLAYER_DEFEATED_BR","Rämäpää tyrmätty"
"TID_BALL_1","Takapihan nujakka"
"TID_HINT_VOLLEYBALL_PUSH_BALL","Koske <cdaa520>palloon</c>!"
"TID_HINT_VOLLEYBALL_RETURN_BALL","Ole siellä, mihin <cdaa520>pallo</c> laskeutuu, jotta voit palauttaa sen!"
"TID_HINT_VOLLEYBALL_PREVENT_RETURN","Pidä vastustajat poissa <cdaa520>pallon</c> luota, jotta saat sen maahan ja ansaitset pisteen."
"TID_HINT_HOLD_THE_BALL_TAKE_BALL","Ota <cdaa520>pokaali</c> haltuusi!"
"TID_HINT_HOLD_THE_BALL_PROTECT","Suojele <cdaa520>pokaalin</c> kuljettajaa!"
"TID_HINT_HOLD_THE_BALL_HOLD_ON","Pidä <cdaa520>pokaali</c> turvassa!"
"TID_HINT_GET_BALL","Nappaa <cdaa520>pallo</c>!"
"TID_LASER_BALL_INTRO_TEXT","Tehkää kaksi maalia, niin voitatte!"
"TID_AFK_WARNING","Pysähtymisvaroitus! Pysy liikkeellä!"
"TID_AFK_DISCONNECTED_MSG","Yhteytesi otteluun katkaistiin, koska olit toimettomana tai koska verkkoyhteytesi oli huono."
"TID_AFK_BANNED_MSG","Sinut estettiin tämänhetkisessä ottelussa, koska olit toimettomana tai koska verkkoyhteytesi oli huono. Pääset takaisin peliin, kun ottelu on päättynyt."
"TID_AFK_DISCONNECTED_TITLE","Yhteys katkennut pysähtymisen takia"
"TID_AFK_BANNED_TITLE","Estetty ottelusta"
"TID_AFK_RELOAD","Lataa uudelleen"
"TID_GAME_MODE_7","MAHTIPELI"
"TID_GAME_MODE_7_DESC","Viisi pelaajaa yrittää nujertaa mahtirämäpään.\n\nJos olet mahtirämäpää, sinulla on etulyöntiasema, sillä sinulla on valtavasti elinvoimaa. Pane kampoihin ja pysy pelissä niin kauan kuin mahdollista!\n\nJos olet yksi viidestä takaa-ajajasta, tee yhteistyötä joukkueesi kanssa. Kukistakaa mahtirämäpää ennen ajan loppumista!"
"TID_BOSS_INTRO_TEXT_ATTACK","Tyrmää mahtirämäpää!"
"TID_BOSS_INTRO_TEXT_DEFEND","Sinä olet mahtirämäpää!"
"TID_BOSS_1","Katastrofikanjoni"
"TID_SEASON_END_POPUP_TITLE","POKAALILIIGA ON PÄÄTTYNYT"
"TID_SEASON_END_POPUP_REWARD","POKAALILIIGAPALKINTO"
"TID_SEASON_END_POPUP_GOLD_VALUE","<VALUE>"
"TID_COIN_META_MIGRATION_TITLE","Tärkeitä muutoksia!"
"TID_COIN_META_MIGRATION_OK","PELAA OPASTUS"
"TID_COIN_META_MIGRATION_TXT_1","Brawl Starsissa on uusi päivitysjärjestelmä, jossa rämäpäät voivat siirtyä seuraavalle tasolle saatuaan tarpeeksi tehopisteitä. Tähänastinen etenemisesi on muutettu rämäpäiden tasoiksi."
"TID_COIN_META_MIGRATION_TXT_2","Saat rähinälippaita käyttämättömistä päivityspoleteistasi, ja lisäksi ylimääräisiä, jottet menetä etenemistäsi."
"TID_COIN_META_MIGRATION_TXT_3","Peliä pelataan nyt vaakatasossa ja ohjataan kahdella ohjainsauvalla."
"TID_COIN_META_MIGRATION_TXT_4","Kolikkotehostinta ei enää ole, vaan se on muutettu jalokiviksi."
"TID_BOLTS_MIGRATION_TITLE","Tärkeitä muutoksia!"
"TID_BOLTS_MIGRATION_OK","OK"
"TID_BOLTS_MIGRATION_INFO","Uudessa rämäpäiden päivitysjärjestelmässä ei enää käytetä eliksiiriä. Olet saanut <BOLTS> päivityspolettia eliksiiristäsi ja aiemmista rämäpäidesi päivityksistä. Käytä päivityspoletteja ja päivitä rämäpääsi!\n\nKopioidut rämäpäät ja pelimerkit on myös poistettu pelistä. Olet saanut <GEMS> jalokiveä pelimerkeistäsi. Pidä hauskaa!"
"TID_BOLTS_MIGRATION_ELIXER_TOKEN","ELIKSIIRISI ON MUUTTUNUT PÄIVITYSPOLETEIKSI."
"TID_BOLTS_MIGRATION_CHIP_GEM","PELIMERKKISI OVAT MUUTTUNEET JALOKIVIKSI."
"TID_STAT_HEALING_PER_SEC","Parannus sekunnissa"
"TID_STAT_DAMAGE_PER_CARD","Tuhovoima korttia kohti"
"TID_OVERTIME","Jatkoaika!"
"TID_STARTER_PACK_XP_REQ","Erikoistarjous kokemustasolle <XPLEVEL> pääsyn kunniaksi"
"TID_VALUE","arvo"
"TID_SHOP_ONE_TIME_PURCHASE","Tämän tarjouksen voi käyttää vain KERRAN!"
"TID_HINT_MAKE_GOAL_1","Tähtää palloa vetämällä <ccc0033>punaista ohjainta</c>!"
"TID_BALL_2","Kolmoiskosketus"
"TID_BALL_3","Kierrepotku"
"TID_STARTER_PACK_1","Tason 5 paketti"
"TID_STARTER_PACK_2","Tason 15 paketti"
"TID_STARTER_PACK_3","Tason 25 paketti"
"TID_IAP_XMAS2018_PACK","Lomapaketti"
"TID_IAP_XMAS2018_PACK_DESC","Hoh-hoh-hoo!"
"TID_STARTER_PACK_0","Tervetuliaispaketti"
"TID_STARTER_PACK_0_DESC","Juhlapaketti Brawl Stars\n-seikkailusi alkamisen kunniaksi!"
"TID_IAP_LNY2019_PACK","Kiinalaisen uudenvuoden tarjous"
"TID_IAP_LNY2019_PACK_DESC","Hyvää kiinalaista uuttavuotta!"
"TID_IAP_MARCH2019_PACK","Maalistarjous"
"TID_IAP_MARCH2019_PACK_DESC","Tämä tarjous ei toistu!"
"TID_IAP_REFRESHER_PACK_DESC","Tämä tarjous ei toistu!"
"TID_BLACKHOLE_DEFAULT_SKIN","Oletus"
"TID_GOLD_CAP_HIT","Polettiraja on saavutettu."
"TID_GATCHA_BUTTON_BOX_STACK_FULL","Lipaspino on täynnä!"
"TID_COOP_1","Pachinko-puisto"
"TID_GAME_MODE_8","ROBORYMINÄ"
"TID_GAME_MODE_8_DESC","Suojele kassakaappia ahneilta roistoroboteilta!\n\nRobotit hyökkäävät kassakaappia kohti joka suunnasta, ja niitä on aina vain enemmän. Tee parhaasi ja puolusta kaappia, kunnes aika loppuu!\n\nAina kun onnistut kassakaapin puolustamisessa, etenet seuraavalle tasolle. Roboryminän tasot vaikeutuvat tavallisesta aina järjettömän vaikeaan."
"TID_COOP_INTRO_TEXT","Puolusta kassakaappia!"
"TID_SELECT_EVENT_POPUP_TITLE","Valitse tapahtuma"
"TID_BARREL_BOT","DARRYL"
"TID_BARREL_BOT_DESC","Darryl hyökkää tehokkaasti kahdella haulikolla. Hänen superinsa on raju rullaus pomppivassa tynnyrissä."
"TID_BARREL_BOT_WEAPON","TUPLAPIIPPU"
"TID_BARREL_BOT_WEAPON_DESC","Darrylin kaksipiippuiset haulikot ampuvat kaksi annosta raskasta lyhyen kantaman tuhoa."
"TID_BARREL_BOT_ULTI","TYNNYRIJYRÄYS"
"TID_BARREL_BOT_ULTI_DESC","Darryl etenee rullaamalla tynnyrissään. Matkalla hän kolkkaa vastustajia ja pomppii seinistä. Hänen superinsa latautuu uudelleen ajan mittaan!"
"TID_ARTILLERY_DUDE","PENNY"
"TID_ARTILLERY_DUDE_DESC","Penny ampuu kolikkopusseja, jotka vahingoittavat sekä vastustajaa että sen takana olevia kohteita. Hänen superinsa on mörssärimäinen tykkitorni."
"TID_ARTILLERY_DUDE_WEAPON","LANTTILÄIMÄYS"
"TID_ARTILLERY_DUDE_WEAPON_DESC","Ammuksena on pussi katinkultaa. Jos pussi osuu vastustajaan, se hajoaa, ja kolikot vahingoittavat ensimmäisen vastustajan takana olevia kohteita."
"TID_ARTILLERY_DUDE_ULTI","VANHA KUULALINKO"
"TID_ARTILLERY_DUDE_ULTI_DESC","Penny virittää tykkinsä! Se ampuu vastustajia pitkällä kantamalla, vaikka he olisivat suojan takana."
"TID_ITEM_NAME_SPECIAL","TÄHTIVOIMA"
"TID_HERO_INFO_ITEM_LOCKED","Voit löytää tämän tason <LEVEL> jälkeen."
"TID_HERO_INFO_LOCKED_INFO","Avaa rämäpää rähinälippaasta."
"TID_HERO_INFO_LOCKED_INFO_RANK_TRACK","Avaa keräämällä yhteensä <SCORE> pokaalia."
"TID_SPEC_ABI_FREEZE","SOKKIPAMAUS"
"TID_SPEC_ABI_BERSERKER","RAIVOPÄÄ"
"TID_SPEC_SELF_DESTRUCT","KOSTO"
"TID_SPEC_ABI_CACTUS_HEAL","LANNOITUS"
"TID_SPEC_ABI_HEAL_SELF_MAIN_ATTACK","LÄÄKEHUIKKA"
"TID_SPEC_ABI_REPAIR_TURRET","SÄHKÖISTYS"
"TID_SPEC_ABI_PET_LIFESTEAL","KARHUN KOSTO"
"TID_SPEC_ABI_STEAL_SOULS","SIELUJEN SIEPPAUS"
"TID_SPEC_ABI_SPOT","VAANIVA HAUKKA"
"TID_SPEC_ABI_AMBUSH","VÄIJYTYS"
"TID_SPEC_ABI_BLACK_HOLE_MONSTER","PIMEÄ PORTTI"
"TID_SPEC_ABI_SPEED","SUKKELAT SAAPPAAT"
"TID_SPEC_ABI_HEAL_OTHERS_MAIN_ATTACK","LÄMMIN SYLEILY"
"TID_SPEC_BOUNCED_BULLETS_STRONGER","SUPERPALLOT"
"TID_SPEC_ABI_FIRE_DOT_ULTI","EL FUEGO"
"TID_SPEC_LAST_STAND","JOUTSENLAULU"
"TID_SPEC_BURN","TULENARKA"
"TID_SPEC_CRIPPLE","ERITTÄIN MYRKYLLINEN"
"TID_SPEC_ABI_BARREL_DEFENSE","TERÄSTYNNYRI"
"TID_SPEC_HEAL_MAIN_ATTACK","MUSIIKKITERAPIA"
"TID_SPEC_ABI_FREEZE_DESC","Shellyn superpanokset hidastavat vastustajia <c00cc00><VALUE1></c> sekunnin ajan."
"TID_SPEC_ABI_PREY_ON_THE_WEAK_DESC","Crow'n perus- ja superhyökkäys tekevät <c00cc00><VALUE2></c> pisteen verran enemmän tuhoa kohteille, joilla on <VALUE1> % tai vähemmän elinvoimaa."
"TID_SPEC_ABI_BERSERKER_DESC","Kun Bullin elinvoima laskee alle <c00cc00><VALUE1></c> %:iin, hänen latausnopeutensa tuplaantuu!"
"TID_SPEC_SELF_DESTRUCT_DESC","Kun Dynamike tyrmätään, hän heittää kuusi dynamiittipötköä, joista jokainen aiheuttaa <c00cc00><VALUE1></c> tuhoa."
"TID_SPEC_ABI_CACTUS_HEAL_DESC","Supervoimaansa käytettyään Spike paranee <c00cc00><VALUE1></c> elinvoimapistettä sekunnissa jäämällä superin vaikutusalueelle."
"TID_SPEC_ABI_HEAL_SELF_MAIN_ATTACK_DESC","Barley saa jokaisesta hyökkäyksestään takaisin <c00cc00><VALUE1></c> elinvoimapistettä."
"TID_SPEC_ABI_REPAIR_TURRET_DESC","Jessie palauttaa tykkitornilleen <c00cc00><VALUE1></c> pistettä elinvoimaa osumalla siihen hyökkäyksellään."
"TID_SPEC_ABI_PET_LIFESTEAL_DESC","Nita saa takaisin <c00cc00><VALUE1></c> elinvoimapistettä, kun hänen karhunsa lyö vastustajarämäpäätä. Kun Nita aiheuttaa tuhoa vastustajalle, karhulle palautuu <c00cc00><VALUE2></c> elinvoimapistettä."
"TID_SPEC_ABI_STEAL_SOULS_DESC","Mortis saa takaisin <c00cc00><VALUE1></c> elinvoimapistettä keräämällä elinvoimaa tyrmäämiltään rämäpäiltä."
"TID_SPEC_SPOT_FROM_AIR_DESC","Käyttäessään supervoimaansa Piper näkee puskissa piileksivät vastustajat ilmasta käsin."
"TID_SPEC_HEAL_MAIN_ATTACK_DESC","Kun Pocon hyökkäys osuu oman joukkueen rämäpäihin, heille palautuu <c00cc00><VALUE1></c> elinvoimapistettä."
"TID_SPEC_ABI_SPOT_DESC","Bo näkee puskiin piiloutuneet vastustajat haukankatseellaan <c00cc00><VALUE1> %</c> tavallista kauempaa."
"TID_SPEC_ABI_AMBUSH_DESC","Piperin hyökkäys tekee <c00cc00><VALUE1></c> pistettä enemmän tuhoa maksimikantomatkalla, kun hän on piilossa pensaassa."
"TID_SPEC_ABI_BLACK_HOLE_MONSTER_DESC","Taran supervoima synnyttää mustan aukon, ja Taran hämärä kaksoisolento ilmestyy avustamaan hyökkäyksessä."
"TID_SPEC_ABI_TODO_DESC","Määrittämätön erikoistaito"
"TID_SPEC_ABI_SPEED_DESC","Coltin liikkumisnopeus kasvaa <c00cc00><VALUE1> %</c>."
"TID_SPEC_ABI_PUSHBACK_SELF_DESC","Dynamike voi ratsastaa räjähteidensä paineaallolla esteiden yli."
"TID_SPEC_ABI_HEAL_OTHERS_MAIN_ATTACK_DESC","Kun Pam osuu vastustajarämäpäähän romumyrskyllään, hän parantaa itseään ja lähellään olevia oman joukkueen rämäpäitä <c00cc00><VALUE1></c> elinvoimapisteen verran."
"TID_SPEC_BOUNCED_BULLETS_STRONGER_DESC","Ricon hyökkäyksen ja superin luodit saavat lisäpuhtia ensimmäisestä pompustaan. Kimmonneet luodit tekevät <c00cc00><VALUE1></c> pisteen verran enemmän tuhoa!"
"TID_SPEC_ABI_FIRE_DOT_ULTI_DESC","Vastustajat, jotka kohtaavat El Primon superin, saavat palovahinkoa <c00cc00><VALUE1></c> pisteen verran 4 sekunnin aikana."
"TID_SPEC_LAST_STAND_DESC","Poco soittaa joutsenlaulunsa tyrmäyksen hetkellä. Lähellä olevat oman joukkueen rämäpäät paranevat <c00cc00><VALUE1></c> elinvoimapistettä!"
"TID_SPEC_BURN_DESC","Brockin hyökkäys sytyttää maan tuleen. Vaikutusalueella olevat vastustajat kärsivät <c00cc00><VALUE1></c> pisteen verran vahinkoa sekunnissa! Vaikutus kestää 2 sekuntia."
"TID_SPEC_ABI_BARREL_DEFENSE_DESC","Darrylin supervoima vahvistaa hänen tynnyriään, ja hän kärsii <c00cc00><VALUE2> %</c> vähemmän vahinkoa <c00cc00><VALUE1></c> sekunnin ajan."
"TID_SPEC_CRIPPLE_DESC","Crow'n myrkky heikentää vastustajia, jotka aiheuttavat <c00cc00><VALUE1> %</c> vähemmän tuhoa myrkytettyinä."
"TID_BATTLE_ROYALE_7","Kaksin kamalampi"
"TID_GAME_MODE_9","KAKSINPELISELKKAUS"
"TID_GAME_MODE_9_COMBINED","SELKKAUS"
"TID_GAME_MODE_9_DESC","Kukista neljä muuta joukkuetta. Jos sinut tyrmätään, saat uuden mahdollisuuden hetken kuluttua, jos joukkuekaverisi on vielä hengissä."
"TID_WAVE_APPROACHING","<number>. aalto"
"TID_TEAMS_LEFT","Joukkueita jäljellä: <num>"
"TID_TEAM_MATE_RESPAWNING","Joukkuekaveri takaisin: <num>"
"TID_BOSS_APPROACHING","<number>. aalto: <ccc0000>iso robotti tulossa!</c>"
"TID_COOP_2","Teräsristeys"
