"TID","PL"
"TID_READY","Gotowy"
"TID_BATTLE_END_TITLE_VICTORY","ZWYCIĘSTWO!"
"TID_BATTLE_END_TITLE_DEFEAT","PORAŻKA"
"TID_BATTLE_END_TITLE_DRAW","Remis"
"TID_BATTLE_END_TITLE_COOP_SURVIVAL","Udało ci się przeżyć przez <TIME>"
"TID_BATTLE_END_DEATHMATCH_VICTORY","Jesteś numerem 1!"
"TID_BATTLE_END_DEATHMATCH_DEFEAT","Ranga: <RANK>"
"TID_BATTLE_END_TVST_DRAW_DESC","Gra zakończyła się remisem, ponieważ obie drużyny zebrały tyle samo klejnotów."
"TID_BATTLE_END_TITLE_1VS5_YOU_WIN_IN_TEAM","Wielki Zadymiarz pokonany w <TIME>"
"TID_BATTLE_END_TITLE_1VS5_YOU_WIN_AS_BOSS","Udało ci się przeżyć przez <TIME>"
"TID_BATTLE_END_TITLE_RAID_BOSS_VICTORY","WYZWANIE: POZ. <LEVEL> ZALICZONY!"
"TID_BATTLE_END_TITLE_RAID_BOSS_DEFEAT","PORAŻKA"
"TID_BATTLE_END_RETURN_HOME","WYJŚCIE"
"TID_BATTLE_END_NEXT","Dalej"
"TID_BATTLE_END_TAP","stuknij aby kontynuować"
"TID_BATTLE_END_NO_PRACTISE_TROPHIES","BRAK PUCHARÓW ZA ĆWICZENIA"
"TID_BATTLE_END_XP_CAPPED","Osiągnięto dzienny limit zdobytego doświadczenia"
"TID_BATTLE_END_PLAY_AGAIN","ZAGRAJ PONOWNIE"
"TID_BATTLE_END_PLAY_AGAIN_CANCEL","ANULUJ"
"TID_BATTLE_END_PLAY_AGAIN_READY_PLAYERS","<WAITING>/<TOTAL>"
"TID_BATTLE_END_PLAY_AGAIN_PLAYERS","<caaaaaa><TOTAL></c>"
"TID_BATTLE_END_PLAY_AGAIN_TIMER","<TIME>"
"TID_BATTLE_END_NEW_MEMBER_TO_GAMEROOM","<NAME> jest teraz w Twojej drużynie"
"TID_RESPAWNING","Powrót za:\n<n1>"
"TID_TEAMS_POPUP_TITLE","DRUŻYNY"
"TID_TEAMS_POPUP_SUBTITLE_IN_CLAN","Drużyny znajomych i klubu"
"TID_TEAMS_POPUP_SUBTITLE_NOT_IN_CLAN","DOŁĄCZ DO KLUBU, ABY ZOBACZYĆ AKTYWNE GRY"
"TID_TEAMS_POPUP_SEARCH","DOŁĄCZ, UŻYWAJĄC KODU"
"TID_TEAMS_POPUP_CREATE","UTWÓRZ DRUŻYNĘ"
"TID_TEAM_SEARCH_POPUP_TITLE","DOŁĄCZ, UŻYWAJĄC KODU"
"TID_TEAM_SEARCH_POPUP_SEARCH","DOŁĄCZ"
"TID_TEAM_JOIN_ROOM_CODE","Tutaj wpisz kod drużyny..."
"TID_TEAM_CHANGE_MAP","ZMIEŃ"
"TID_TEAM_TYPE_INFO_0","W rankingu"
"TID_TEAM_TYPE_INFO_1","Dla znajomych"
"TID_TEAM_TYPE_INFO_2","Biletowana"
"TID_TEAM_MEMBER_LEFT_0","Opuszczasz drużynę."
"TID_TEAM_MEMBER_LEFT_1","Wyrzucono cię z drużyny."
"TID_TEAM_MEMBER_LEFT_2","Drużyna została rozwiązana, ponieważ wydarzenie wygasło."
"TID_TEAM_MEMBER_LEFT_3","Drużyna została rozwiązana, ponieważ jej twórca ją opuścił."
"TID_TEAM_GAME_STARTING","Rozpoczynanie gry"
"TID_TEAM_CODE_COPIED","Kod skopiowany do schowka"
"TID_TEAM_MEMBER_INVITE_STATUS_1","<c00ff00>OCZEKUJĄCE ZAPROSZENIE</c>"
"TID_TEAM_MEMBER_INVITE_STATUS_2","<ccc0000>ODRZUCONO</c>"
"TID_TEAM_MEMBER_INVITE_STATUS_3","<c0000cc>CEL JEST W TRYBIE OFFLINE</c>"
"TID_TEAM_MEMBER_CANCEL_INVITE_INFO","stuknij, aby anulować"
"TID_TEAM_ERROR_1","Błąd serwera drużyny"
"TID_TEAM_ERROR_2","Nie można dołączyć, drużyna jest pełna."
"TID_TEAM_ERROR_3","Nie można dołączyć. Drużyna została rozwiązana."
"TID_TEAM_ERROR_5","Niepoprawny kod drużyny. Sprawdź, czy kod jest poprawny."
"TID_TEAM_ERROR_6","Nie można znaleźć drużyny za pomocą podanego kodu."
"TID_TEAM_ERROR_7","Po wyrzuceniu z drużyny nie można do niej ponownie dołączyć."
"TID_TEAM_ERROR_8","Sprawdź ustawienia obu stron. Żadna nie może mieć więcej niż 3 graczy."
"TID_TEAM_ERROR_10","Nie można utworzyć drużyny. Jesteś już w drużynie."
"TID_TEAM_ERROR_11","Nie można utworzyć drużyny. Wydarzenie jest już nieaktywne."
"TID_TEAM_ERROR_12","Nie można dołączyć do drużyny, która jest nieaktywna."
"TID_TEAM_ERROR_14","Nie można utworzyć drużyny. Drużyny nie mogą brać udziału w tym wydarzeniu."
"TID_TEAM_ERROR_15","Nie można dołączyć do drużyny. Ta drużyna nie znajduje się w Twoim regionie."
"TID_TEAM_ERROR_17","Nie można rozpocząć gry. Identyczni Zadymiarze nie mogą ze sobą walczyć."
"TID_TEAM_ERROR_18","Nie można rozpocząć gry. Gra będzie niedostępna z powodu prac konserwacyjnych."
"TID_TEAM_ERROR_19","Nie można wyrzucić twórcy drużyny, gdy jest on w trybie online."
"TID_TEAM_ERROR_20","Nie można zmienić mapy. Na tej mapie jest zbyt wielu graczy"
"TID_TEAM_ERROR_21","Nie można rozpocząć gry. Za mało biletów"
"TID_TEAM_ERROR_22","Nie można zmienić mapy. Zbyt wielu graczy"
"TID_TEAM_ERROR_24","Zaproszenie nie powiodło się. Nie znaleziono znajomego"
"TID_TEAM_ERROR_25","Zaproszenie nie powiodło się. Drużyna jest pełna"
"TID_TEAM_ERROR_26","Zaproszenie odrzucone"
"TID_TEAM_ERROR_27","Zaproszenie nieudane. Gracz obecnie nie przyjmuje zaproszeń do drużyn"
"TID_TEAM_ERROR_28","Zaproszenie nieudane. Gracz jest w trybie offline"
"TID_TEAM_ERROR_29","Zaproszenie nieudane. Gracz jest już w drużynie"
"TID_TEAM_ERROR_30","Nie można rozpocząć gry z powodu oczekującego zaproszenia"
"TID_TEAM_ERROR_31","Nie można zmienić wydarzenia, jeśli istnieje oczekujące zaproszenie"
"TID_TEAM_ERROR_32","Drużyna ma zbyt wielu członków w tym trybie gry"
"TID_TEAM_ERROR_33","W tym trybie nie ma możliwości gry drużynowej"
"TID_TEAM_ERROR_34","Pokonałeś już ostatniego Bossa"
"TID_TEAM_ERROR_40","Prośba o dołączenie do drużyny już oczekuje"
"TID_TEAM_ERROR_41","Prośba o dołączenie do drużyny została odrzucona"
"TID_TEAM_ERROR_42","Nie udało się dołączyć do drużyny. Nie można znaleźć tej drużyny"
"TID_TEAM_ERROR_43","Odbiorca prośby o dołączenie do drużyny nie jest już w drużynie"
"TID_TEAM_ERROR_44","Odbiorca prośby o dołączenie do drużyny przeszedł w tryb offline"
"TID_TEAM_ERROR_45","Nie udało się dołączyć do drużyny. Drużyna jest pełna"
"TID_TEAM_ERROR_46","Odbiorca prośby o dołączenie do drużyny wyciszył cię"
"TID_TEAM_ERROR_47","Nie udało się dołączyć do drużyny. Prośbę może zaakceptować wyłącznie właściciel pokoju gry dla znajomych."
"TID_TEAM_ERROR_48","Odbiorca prośby o dołączenie do drużyny wyciszył wszystkie zaproszenia"
"TID_TEAM_ERROR_102","Nie można utworzyć drużyny. Masz oczekującą prośbę o dołączenie."
"TID_SELECT_LOCATION_TITLE","WYBIERZ MAPĘ"
"TID_SELECT_LOCATION_LOCATIONS","DLA ZNAJOMYCH"
"TID_SELECT_LOCATION_EVENTS","RANKINGOWY"
"TID_TEAM_SEARCH_INVALID_CODE","Niepoprawny kod drużyny. Sprawdź, czy kod jest poprawny."
"TID_TEAM_LEAVE","OPUŚĆ"
"TID_TEAM_JOIN","DOŁĄCZ DO DRUŻYNY"
"TID_TEAM_READY_BUTTON_LABEL","ZACZYNAJMY"
"TID_TEAM_CANCEL_READY","Anuluj"
"TID_TEAM_QUIT","WYJŚCIE"
"TID_TEAM_TEAMCODE","Kod drużyny"
"TID_TEAM_TEAMCODE_DESC","Twoi znajomi mogą uzyskać dostęp do drużyny za pomocą tego kodu"
"TID_TEAM_WAITING_FOR_PLAYER","Zaproś z kodem drużyny"
"TID_TEAM_NO_MEMBER","BOT"
"TID_TEAM_NO_MEMBER_INVITE","ZAPROŚ"
"TID_TEAMCREATE_EVENT","Mapa"
"TID_TEAM_KICK","Wyrzuć"
"TID_TEAM_PROFILE","Profil"
"TID_TEAM_SWAP","Zmień stronę"
"TID_TEAM_SWAP_HERE","Zmień tutaj"
"TID_TEAM_CREATOR_ONLY_FEATURE","Dostępne tylko dla twórcy drużyny"
"TID_TEAM_CREATOR_ONLY_FEATURE_MODES","Tylko twórca drużyny może zmieniać wydarzenia"
"TID_TEAM_PROFILE_BLOCKED","Nie można wyświetlić w trybie gotowości"
"TID_TEAM_FEATURE_BLOCKED_WHILE_READY","Niedostępne w trybie gotowości"
"TID_TEAM_PRACTISE_BUTTON_LABEL","ĆWICZENIA"
"TID_TEAM_PRACTISE_BUTTON_SUBLABEL","z botami"
"TID_TEAM_LOOT_UNLOCKS","NAGRODY"
"TID_BONUS_REWARD","Nagroda dodatkowa za 3 zwycięstwa:"
"TID_BONUS_REWARD_COLLECTED","Odebrano nagrodę dodatkową"
"TID_INFO_SERVER_ERROR_TITLE","Błąd serwera"
"TID_INFO_SERVER_ERROR_BUTTON","Wczytaj grę ponownie"
"TID_RARITY_NAME_0","Aleja Pucharów"
"TID_RARITY_NAME_1","Rzadki"
"TID_RARITY_NAME_2","Bardzo rzadki"
"TID_RARITY_NAME_3","Epicki"
"TID_RARITY_NAME_4","Mityczny"
"TID_RARITY_NAME_5","Legendarny"
"TID_RARITY_COLOR_0","B9EAFF"
"TID_RARITY_COLOR_1","68FD58"
"TID_RARITY_COLOR_2","5AB3FF"
"TID_RARITY_COLOR_3","D850FF"
"TID_RARITY_COLOR_4","FE5E72"
"TID_RARITY_COLOR_5","FFF11E"
"TID_HERO_SCREEN_DIM_COLOR","164382"
"TID_RANK_UP_POPUP_TITLE","RANGA W GÓRĘ!"
"TID_RANK_UP_POPUP_REWARD_BONUS","BONUS ZA PODWYŻSZENIE RANGI"
"TID_RANK_UP_POPUP_RANK","RANGA <RANK>"
"TID_NAME_FAILED_TOO_SHORT","Nazwa jest za krótka!"
"TID_NAME_FAILED_PROFANITIES","Nazwa niedozwolona!"
"TID_NAME_FAILED","Nazwa niedozwolona!"
"TID_EVENT_STARTED","Otwarto nową mapę <GAMEMODE>. Do zdobycia są nowe nagrody!"
"TID_SELECT_HERO_INFO_1","<cFF8000>Gracze kontra gracze</c>"
"TID_SELECT_HERO_INFO_2","<c2288ff>Gracze kontra boty</c>"
"TID_SELECT_HERO_INFO_3","<c40E0D0>Gra solo z botami</c>"
"TID_SELECT_HERO_INFO_1_6","<cFF8000>Gracze kontra gracze</c>"
"TID_SELECT_HERO_INFO_3_6","<c40E0D0>Gra solo z botami</c>"
"TID_SELECT_HERO_INFO_FRIENDLY","<c40E0D0>W grach dla znajomych wszyscy Zadymiarze są w pełni rozwinięci</c>"
"TID_SELECT_HERO_INFO_RANK_REWARD","Aby otrzymać punkty mocy"
"TID_SELECT_HERO_POW_INFO_TITLE","NAGRODA: PUNKTY MOCY"
"TID_SELECT_HERO_POW_INFO_PURCHASE_TITLE","ZAKUP PUNKTÓW MOCY"
"TID_SELECT_HERO_POW_INFO_BODY","WYBIERZ ZADYMIARZA,\nKTÓRY MA OTRZYMAĆ PUNKTY MOCY"
"TID_SELECT_HERO_WILD_CARD_POWER_NOT_ASSIGNABLE","Ten Zadymiarz ma już maksymalną liczbę punktów mocy"
"TID_WILDCARD_POWER_PURCHASE_CONFIRM_TITLE","POTWIERDŹ ZAKUP"
"TID_WILDCARD_POWER_PURCHASE_CONFIRM_INFO","Moc otrzyma <HERO>"
"TID_WILDCARD_POWER_RANKUP_REWARD_CONFIRM_TITLE","POTWIERDŹ NAGRODĘ"
"TID_WILDCARD_POWER_RANKUP_REWARD_CONFIRM_INFO","Moc otrzyma <HERO>"
"TID_NAVI_1","Sklep"
"TID_NAVI_2","Aktualności"
"TID_NAVI_3","Bitwa"
"TID_NAVI_4","Zadymiarze"
"TID_NAVI_5","Klub"
"TID_NAVI_6","Profil"
"TID_NAVI_7","Znajomi"
"TID_LEADERBOARD_TITLE","TABELE WYNIKÓW"
"TID_LEADERBOARD_TAB_TOTAL","RANKING\nPUCHAROWY"
"TID_LEADERBOARD_TAB_HEROES","ZADYMIARZE"
"TID_LEADERBOARD_TAB_CLANS","KLUBY"
"TID_LEADERBOARD_TAB_FRIENDS","ZNAJOMI"
"TID_LEADERBOARD_SUBTITLE_1","NAJLEPSI GRACZE"
"TID_LEADERBOARD_SUBTITLE_2","NAJLEPSZE KLUBY"
"TID_LEADERBOARD_SUBTITLE_0","NAJLEPSI GRACZE: <HERO>"
"TID_BATTLE_MAIN_NEXT_REWARD","Następna nagroda: <VALUE>/<MAX>"
"TID_BATTLE_MAIN_NEXT_PLANET","Nowa mapa za: <TIME>"
"TID_BATTLE_MAIN_COLLECTED_COINS","Zebrano <VALUE>"
"TID_GATCHA_ERROR_NOT_ENOUGH_GOLD","Zbierz 100 żetonów, aby otrzymać skrzynkę Zadymiarza!"
"TID_GATCHA_INFO","<c0000ff>Skrzynki Zadymiarza</c>\n\nOtwieraj skrzynki Zadymiarza, aby zdobywać Zadymiarzy, punkty mocy, monety lub podwajacze żetonów."
"TID_HERO_INFO_ABILITY_COLOR_1","12b400"
"TID_HERO_INFO_ABILITY_COLOR_2","df1800"
"TID_HERO_INFO_ABILITY_COLOR_3","005bd6"
"TID_HERO_INFO_ARMOR","PUNKTY ŻYCIA"
"TID_HERO_INFO_ABILITY","ATAK: <NAME>"
"TID_HERO_INFO_ULTI","SUPERATAK: <NAME>"
"TID_HERO_INFO_BACK","POWRÓT"
"TID_HERO_INFO_UPGRADE","ULEPSZ"
"TID_HERO_INFO_ABILITY_LEVEL","POZ. <LEVEL>/<MAXLEVEL>"
"TID_HERO_INFO_CRAFT_HERO","Kup Zadymiarza"
"TID_HERO_INFO_RARITY","<c<COLOR>><NAME></c>"
"TID_HERO_INFO_ITEM_RARITY","<c<COLOR>><NAME></c>"
"TID_HERO_INFO_POWER_BAR_TOOL_TIP","Zbieraj punkty mocy ze skrzynek Zadymiarza i ofert sklepowych, aby odblokować następne ulepszenie"
"TID_HERO_INFO_STAR_POWER_CAN_DROP","Gwiezdną moc można teraz znaleźć w skrzynkach Zadymiarza"
"TID_HERO_INFO_STAR_POWER_BLOCKED","Wzmocnij Zadymiarza <HERONAME> za pomocą wybieranej ilości gwiezdnej mocy! Dostępna w skrzynkach Zadymiarza po osiągnięciu poziomu MOCY <LEVEL>."
"TID_HERO_INFO_STAR_POWER_LABEL","GWIEZDNA MOC: <NAME>"
"TID_HERO_INFO_ABILITY_DESC","<c<COLOR>><CAPTION></c>\n<BODY>"
"TID_MATCHMAKE_FAILED_5","Łączenie graczy nie powiodło się: wydarzenie wygasło"
"TID_MATCHMAKE_FAILED_7","Wybór przeciwników nie powiódł się: członek drużyny został rozłączony"
"TID_MATCHMAKE_FAILED_9","Łączenie graczy nie powiodło się: rozpoczęcie prac konserwacyjnych"
"TID_MATCHMAKE_FAILED_11","Łączenie graczy nie powiodło się: członek drużyny opuścił tryb łączenia graczy"
"TID_MATCHMAKE_FAILED_12","Łączenie graczy nie powiodło się: ostatni Boss został już pokonany"
"TID_SUDDEN_DEATH_TIMER","<n1>"
"TID_OWN_TEAM_WINNING","Niebieska drużyna wygra za:"
"TID_ENEMY_TEAM_WINNING","Czerwona drużyna wygra za:"
"TID_OWN_TEAM","Niebieska drużyna"
"TID_ENEMY_TEAM","Czerwona drużyna"
"TID_COUNTDOWN","ODLICZANIE"
"TID_HERO_LIST_UNLOCKED","<COUNT>/<TOTAL>"
"TID_HERO_LIST_LABEL","ZADYMIARZE"
"TID_HERO_LIST_DO_GATCHA","Otwórz skrzynkę Zadymiarza"
"TID_HERO_TIME_UNTIL_RELEASE","Pojawi się za <TIME>"
"TID_HERO_LIST_COMING_UP","Sprawdź szczegóły po udostępnieniu Zadymiarza"
"TID_SKIN_INFO_TIME_UNTIL_RELEASE","Pojawi się za <TIME>"
"TID_SKIN_INFO_","Przebranie - nagroda za identyfikator Supercell"
"TID_SKIN_INFO_1","Przebranie dla pionierów Brawl Stars!\n\nDla kont utworzonych przed 2019 rokiem"
"TID_SKIN_INFO_2","Zdobądź to przebranie, łącząc konto z identyfikatorem Supercell na ekranie ustawień."
"TID_SKIN_INFO_3_TEASER","Już wkrótce..."
"TID_SKIN_INFO_3_AVAILABLE","\nMożliwość zakupu ograniczona czasowo"
"TID_SKIN_INFO_3_NOT_AVAILABLE","\nZakup obecnie niedostępny"
"TID_SKIN_INFO_3_HERO_NEEDED","\nŻeby kupić to przebranie, musisz najpierw odblokować Zadymiarza"
"TID_SKIN_INFO_CAMPAIGN_1_AVAILABLE","Załóż specjalne przebranie na Święta z Brawl Stars!"
"TID_SKIN_INFO_CAMPAIGN_1_NOT_AVAILABLE","Przebranie na Święta z Brawl Stars."
"TID_SKIN_INFO_LEGENDARY","Gwiezdne przebranie."
"TID_LEGENDARY_TROPHIES","Gwiezdne punkty"
"TID_SKIN_REWARD_TITLE_1","PRZEBRANIE W NAGRODĘ"
"TID_SKIN_REWARD_INFO_1","Odblokowano nowe przebranie! Dziękujemy za grę w Brawl Stars w 2018 roku"
"TID_SKIN_REWARD_TITLE_2","PRZEBRANIE W NAGRODĘ"
"TID_SKIN_REWARD_INFO_2","Dzięki połączeniu Twojego konta z identyfikatorem Supercell zostało odblokowane nowe przebranie"
"TID_SKIN_REWARD_OK","ODBIERZ"
"TID_HERO_REWARD_TITLE_1","WIADOMOŚĆ Z DZIAŁU WSPARCIA"
"TID_HERO_REWARD_INFO_1","Otrzymujesz nowego Zadymiarza od działu wsparcia Brawl Stars."
"TID_SKIN_REWARD_TITLE_0","WIADOMOŚĆ Z DZIAŁU WSPARCIA"
"TID_SKIN_REWARD_INFO_0","Otrzymujesz nowe przebranie od działu wsparcia."
"TID_SKIN_REWARD_TITLE_3","WIADOMOŚĆ Z DZIAŁU WSPARCIA"
"TID_SKIN_REWARD_INFO_3","Otrzymujesz nowe przebranie od działu wsparcia."
"TID_REWARD_TITLE","WIADOMOŚĆ Z DZIAŁU WSPARCIA"
"TID_REWARD_INFO","Masz oczekujący podarunek od działu wsparcia"
"TID_REWARD_INFO_RESOURCE_FIRSTWINS","Liczba zdobytych gwiezdnych żetonów: <AMOUNT>"
"TID_REWARD_INFO_RESOURCE_GOLD","Liczba zdobytych żetonów: <AMOUNT>"
"TID_REWARD_INFO_RESOURCE_LEGENDARYTROPHIES","Odebrano gwiezdne punkty: <AMOUNT>"
"TID_REWARD_OK","ODBIERZ"
"TID_HERO_REWARD_OK","ODBIERZ"
"TID_RANK_POPUP_TITLE","ALEJA PUCHARÓW"
"TID_RANK_POPUP_NEXT_GOAL","NASTĘPNY CEL"
"TID_RANK_POPUP_COLLECT","ZBIERZ"
"TID_RANK_POPUP_SEASON_END_REWARD","Nagroda sezonowa"
"TID_RANK_POPUP_SEASON_END_REWARD_OWN","<cffff00>NAGRODA SEZONOWA</c>"
"TID_RANK_POPUP_TOTAL_INFO","Bądź jak najwyżej w rankingu pucharowym, aby odblokować nagrody i przejść do nowych Lig!\nRanking pucharowy obejmuje wszystkie puchary zdobyte przez każdego z twoich Zadymiarzy."
"TID_RANK_POPUP_SEASON_END_TITLE","KONIEC SEZONU ZA"
"TID_RANK_POPUP_SEASON_END_INFO","Kiedy sezon dobiegnie końca, twoi Zadymiarze mający przynajmniej <DECAYSTART> pucharów stracą część z nich. Stratę wynagrodzą gwiezdne punkty, których można używać w sklepie."
"TID_RANK_POPUP_HILITE_CAPTION_3","ODBLOKUJ: <HERO>"
"TID_RANK_POPUP_HILITE_CAPTION_13","NOWE WYDARZENIE: <NAME>"
"TID_RANK_POPUP_HILITE_CAPTION_10","MEGASKRZYNKA"
"TID_RANK_POPUP_HILITE_CAPTION_SLOT_4","WYDARZENIA SPECJALNE"
"TID_RANK_POPUP_HILITE_CAPTION_SLOT_3","CODZIENNE WYDARZENIA"
"TID_RANK_POPUP_HILITE_CAPTION_SLOT_7","WYDARZENIA BILETOWANE"
"TID_RANK_INFO_POPUP_TITLE","Informacje o pucharze"
"TID_RANK_INFO_POPUP_SEASON_REWARDS","Gwiezdne punkty w nagrodę na koniec sezonu"
"TID_RANK_INFO_POPUP_LABEL_TROPHIES","Puchary"
"TID_RANK_INFO_POPUP_LABEL_STAR_POINTS","Gwiezdne punkty w nagrodę"
"TID_RANK_INFO_POPUP_LABEL_END_TROPHIES","Puchary po zakończeniu sezonu"
"TID_DAILY_COINS_COLLECTED","Zebrano"
"TID_TEAM_BATTLE","UTWÓRZ"
"TID_TEAM_UNREADY","brak gotowości"
"TID_TEAM_WAITING_WHILE_READY","Możesz zaczynać!\nCzekamy jeszcze na pozostałych."
"TID_GATCHA_SCREEN_NEW_HERO","Zadymiarze <c<COLOR>><OWNEDCOUNT>/<SETSIZE> <NAME> </c>"
"TID_GATCHA_SCREEN_NEW_ITEM","<c<COLOR>><OWNEDCOUNT>/<SETSIZE> <NAME></c>"
"TID_GATCHA_SCREEN_BOXES_REMAINING","<AMOUNT>"
"TID_GATCHA_SCREEN_OK","Super!"
"TID_GATCHA_SCREEN_TAP","Stuknij! Stuknij!"
"TID_GATCHA_SCREEN_TICKET_DROP_HEADER","BILETY NA WYDARZENIE"
"TID_GATCHA_SCREEN_TICKET_DROP_BONUS","BONUS!"
"TID_GATCHA_SCREEN_TICKET_DROP_DESC_ONGOING","Aktywne przez <TIME>"
"TID_GATCHA_SCREEN_TICKET_DROP_DESC_FUTURE","Rozpoczęcie za <TIME>"
"TID_GATCHA_SCREEN_TICKET_DROP_NOTE","<EMPTY>"
"TID_GATCHA_SCREEN_COIN_DOUBLER_HEADER","PODWAJACZ ŻETONÓW"
"TID_GATCHA_SCREEN_COIN_DOUBLER_VALUE","+ <AMOUNT>"
"TID_GATCHA_SCREEN_COIN_DOUBLER_DESC","Zdobywaj podwójną liczbę żetonów podczas bitew!"
"TID_GATCHA_SCREEN_GOLD_DROP_TITLE","MONETY"
"TID_GATCHA_SCREEN_GOLD_DROP_DESC","Korzystaj z monet, aby ulepszać swoich Zadymiarzy"
"TID_GATCHA_SCREEN_GEM_DROP_TITLE","KLEJNOTY"
"TID_GATCHA_SCREEN_GEM_DROP_DESC","Korzystaj z klejnotów, aby kupować w sklepie skrzynki, przebrania i inne przydatne rzeczy"
"TID_GATCHA_SCREEN_HERO_POWER_TITLE","PUNKTY MOCY"
"TID_GATCHA_SCREEN_HERO_POWER_LEVEL_UP_UNLOCKED","Ulepszenie odblokowane!"
"TID_GATCHA_SCREEN_HERO_POWER_LEVEL_UP_AVAILABLE","Ulepszenie dostępne!"
"TID_GATCHA_SCREEN_BOX_COUNTER_BONUS","BONUS"
"TID_NAVI_BLOCKED_1","Nie możesz zmieniać strony w trybie gotowości."
"LEG_TRO_MIG_INFO_SHORT","Zdobyto <AMOUNT> <cff00ff>gwiezdnych punktów</c>!"
"TID_LEG_TRO_MIG_POPUP_OK","OK"
"TID_LEG_TRO_MIG_POPUP_CLAIM","ODBIERZ"
"TID_LEG_TRO_MIG_POPUP_TITLE","Przedstawiamy <cff00ff>gwiezdne punkty</c>"
"TID_LEG_TRO_MIG_INFO","Nowość w Brawl Stars: gwiezdne punkty! Możesz zdobywać gwiezdne punkty, gdy Zadymiarz zdobędzie przynajmniej 500 pucharów. Na koniec sezonu nadwyżka powyżej 500 pucharów zostanie zamieniona na gwiezdne punkty.\n\nMożna je także zdobywać poprzez awansowanie Zadymiarzy na wyższy poziom. Masz już <AMOUNT> gwiezdnych punktów za awanse poprzednich Zadymiarzy!"
"TID_TEAM_MEMBER_INFO_READY","<NAME> czeka na gotowość pozostałych graczy."
"TID_TEAM_MEMBER_INFO_NOT_READY","Gracz <NAME> nie jest jeszcze gotowy do gry"
"TID_TEAM_MEMBER_INFO_SELF_READY","Nie można zmienić Zadymiarza w trybie gotowości!"
"TID_TEAM_CHANGE_EVENT_BLOCKED","Nie można zmienić wydarzenia w trybie gotowości!"
"TID_TEAM_TOGGLE_PRACTISE_BLOCKED","Nie można tego zmienić w trybie gotowości!"
"TID_TEAM_GATCHA_BLOCKED","Nie można otworzyć skrzynki w trybie gotowości!"
"TID_TEAM_NO_MEMBER_INFO","Zaproszenie do drużyny dostępne tylko dla twórcy"
"TID_TEAM_INFO_TEAM_CODE","Udostępnij ten kod znajomym i zaproś ich do dołączenia do twojej drużyny.\n\nStuknij ponownie, aby skopiować go do schowka."
"TID_FREEZER","Zamrażarka"
"TID_GAME_OVER","Koniec rozgrywki"
"TID_LEVEL","poz. <LVL>"
"TID_PLAYERS_IN_MM","W trybie łączenia znajdują się gracze!"
"TID_ONLINE_INFO","Gracze online: <ONLINE> w trybie łączenia: <MATCHMAKE> w rozgrywce: <BATTLES>"
"TID_INPUT_NAME","W tym miejscu wpisz swoje imię"
"TID_LEADERBOARD_YOUR_SCORE","Twój wynik"
"TID_LEADERBOARD_YOUR_RANK","Twoja ranga"
"TID_LEADERBOARD_HIGHEST_SCORE","Twój najwyższy wynik"
"TID_LEADERBOARD_LOCAL","LOKALNIE (<COUNTRY>)"
"TID_REGION_0","GLOBALNIE"
"TID_REGION_1","AZJA"
"TID_SET_REGION_RESULT_0","Region pomyślnie przełączono na: <REGION>"
"TID_SET_REGION_RESULT_1","Zmiana regionu nie powiodła się: nie można zmienić regionu, będąc w klubie"
"TID_SET_REGION_RESULT_2","Zmiana regionu nie powiodła się: nie można zmienić regionu, będąc w drużynie"
"TID_VICTORY_CONDITION_COINRUSH_TITLE","ZBIORY KRYSZTAŁÓW"
"TID_VICTORY_CONDITION_COINRUSH_TEXT","Zbierz i zachowaj 10 klejnotów!"
"TID_BATTLE_END_MY_TEAM","Twoja drużyna"
"TID_BATTLE_END_ENEMY_TEAM","Drużyna wroga"
"TID_BACK","POWRÓT"
"TID_NOT_ENOUGH_GOLD","Masz za mało monet. Otwieraj skrzynki Zadymiarza, aby je zdobyć"
"TID_UNLOCK_SKIN_ERROR_1","Masz za mało klejnotów"
"TID_EXPERIENCE_LEVEL","Poziom doświadczenia"
"TID_BOT_1","Bot 1"
"TID_BOT_2","Bot 2"
"TID_BOT_3","Bot 3"
"TID_BOT_4","Bot 4"
"TID_BOT_5","Bot 5"
"TID_BOT_6","Bot 6"
"TID_BOT_7","Bot 7"
"TID_BOT_8","Bot 8"
"TID_BOT_9","Bot 9"
"TID_CRAFT_HERO_TITLE","Kup Zadymiarza"
"TID_CRAFT_HERO_BUTTON_LABEL","Kup"
"TID_UNLOCK_SKIN_TITLE","Kup przebranie"
"TID_SKIN_COMING_SOON","Przebranie nie jest jeszcze dostępne"
"TID_UNLOCK_SKIN_BUTTON_LABEL","Kup"
"TID_HERO_LIST_TOTAL_TROPHIES","Ranking pucharowy"
"TID_TOP_TOOL_TIP_1","<c00ccff>Żetony</c> służą do otwierania skrzynek Zadymiarza.\n\nZbieraj żetony w nowych wydarzeniach i bitwach."
"TID_TOP_TOOL_TIP_3","<c0ed12d>Klejnoty</c> służą do kupowania skrzynek, przebrań i innych przydatnych rzeczy w sklepie.\n\nZdobywaj klejnoty ze skrzynek Zadymiarza lub kupuj je w sklepie za prawdziwe pieniądze."
"TID_TOP_TOOL_TIP_2","<cff8E1b>Monety</c> służą do rozwijania Zadymiarzy.\n\nZnajdziesz je w skrzynkach Zadymiarzy."
