Name,BehaviorType,CanMoveAtSameTime,Targeted,CanAutoShoot,MovementBasedAutoshoot,AttackFacing,Cooldown,ActiveTime,CastingTime,CastingRange,RangeVisual,RangeInputScale,MaxCastingRange,AllowAimOutsideMap,ForceValidTile,RechargeTime,MaxCharge,Damage,PercentDamage,MsBetweenAttacks,Spread,AttackPattern,NumBulletsInOneAttack,TwoGuns,ExecuteFirstAttackImmediately,MovementSpeed,ChargePushback,OverchargedChargePushback,ChargeSpeed,ChargeType,NumSpawns,MaxSpawns,BreakInvisibilityOnAttack,SeeInvisibilityDistance,AlwaysCastAtMaxRange,Projectile,OverchargedProjectile,SummonedCharacter,AreaEffectObject,AreaEffectObject2,OverchargedAreaEffectObject,OverchargedAreaEffectObject2,AreaEffectFollow,SpawnedItem,SpawnItemTriggerType,ButtonSWF,ButtonExportName,ButtonExportNameBlue,AttackEffect,OverchargedAttackEffect,UseEffect,OverchargedUseEffect,EndEffect,OverchargedEndEffect,LoopEffect,LoopEffect2,OverchargedLoopEffect,OverchargedLoopEffect2,ChargeMoveSound,MultiShot,SkillChangeType,SecondarySkill,SecondarySkill2,SecondarySkill3,SecondarySkill4,ShowTimerBar,SecondaryProjectile,ThirdProjectile,ChargedShotCount,DamageModifier,HoldToShoot,UsableInShadowRealm,"HealSelfOnActivationType","HealSelfOnActivationPower",CustomString,CustomString2,CustomValue
WallyUlti,Attack,TRUE,TRUE,TRUE,,,250,150,,23,,,,,1,,,,,100,0,,1,,TRUE,,,,,,,,,,,WallyUltiProjectile,WallyOverchargedUltiProjectile,,,,,,,,,,,,sprout_def_ulti,sprout_def_oc_muzzle,,,,,,,,,,,,,,,,,,,,,,,,,,,
PowerLevelerWeapon,Attack,TRUE,TRUE,TRUE,,,250,150,,20,,,,,,2000,3,1180,,100,0,,1,,TRUE,,,,,,,,,,,PowerLevelerProjectile,,,,,,,,,,,,,surge_def_atk,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
PowerLevelerUlti,Charge,,TRUE,TRUE,,,50,,,10,,,,,,,,1000,,,,,,,,,100,,4000,9,,,,,,,,,,,,,,,,,,,,,surge_def_ulti_use,,surge_def_ulti_ground,,,,,,,,,,,,,,,,,,,,,,,,
BossTownCrushCharge,Charge,,TRUE,,,,50,,1500,33,,,,,,,,1000,,,,,,,,,130,,1800,3,,,,,,,,,,,,,,,,,,,mode_tc_boss_atk_jump,,mode_tc_boss_atk_jump,,luchador_ulti_ground_hit,,minion_rush,,,,Rhinostep,,,,,,,,,,,,,,,,,,
BossTownCrushAoE,Attack,,,TRUE,,1,250,1500,2000,10,,,,,,1800,3,,,800,,,,,,,,,,,,,,,,,,,BossTownCrushAoEArea,,,,TRUE,,,,,,luchador_attack,,minion_warning_long,,,,,,,,,,,,,,,,,,,,,,,,,,
RaidBossRapidFire,Attack,,TRUE,,,,50,1850,1250,60,,,,,,1250,3,1200,,300,100,2,1,,TRUE,,,,,,,,,,,RaidBossProjectileRed,,,,,,,,,,,,,minion_rocket_atk,,minion_warning_long,,,,,,,,,,1,,,,,,,,,,,,,,,,
RaidBossRapidFire2,Attack,,TRUE,,,,50,1850,1000,60,,,,,,1250,3,1400,,200,150,2,1,,TRUE,,,,,,,,,,,RaidBossProjectileRed,,,,,,,,,,,,,minion_rocket_atk,,minion_warning_medium,,,,,,,,,,1,,,,,,,,,,,,,,,,
RaidBossRapidFire3,Attack,,TRUE,,,,50,1850,750,60,,,,,,1250,3,1700,,100,250,2,1,,TRUE,,,,,,,,,,,RaidBossProjectileRedDestroyEnv,,,,,,,,,,,,,minion_rocket_atk,,minion_warning_short,,,,,,,,,,1,,,,,,,,,,,,,,,,
RaidBossRapidFire4,Attack,,TRUE,,,,50,1850,750,60,,,,,,1250,3,2000,,100,250,2,1,,TRUE,,,,,,,,,,,RaidBossProjectileGold,,,,,,,,,,,,,minion_rocket_atk,,minion_warning_short,,,,,,,,,,1,,,,,,,,,,,,,,,,
RaidBossCharge,Charge,,TRUE,,,,50,,1250,40,,,,,,,,1200,,,,,,,,,130,,2000,1,,,,,TRUE,,,,,,,,,,,,,,,,,,,,minion_rush,,,,Rhinostep,,1,,,,,,,,,,,,,,,,
RaidBossCharge2,Charge,,TRUE,,,,50,,1000,50,,,,,,,,1400,,,,,,,,,130,,2500,1,,,,,TRUE,,,,,,,,,,,,,,,,,,,,minion_rush,,,,Rhinostep,,1,,,,,,,,,,,,,,,,
RaidBossCharge3,Charge,,TRUE,,,,50,,750,60,,,,,,,,1700,,,,,,,,,130,,3000,1,,,,,TRUE,,,,,,,,,,,,,,,,,,,,minion_rush,,,,Rhinostep,,1,,,,,,,,,,,,,,,,
RaidBossCharge4,Charge,,TRUE,,,,50,,750,60,,,,,,,,2000,,,,,,,,,130,,3000,1,,,,,TRUE,,,,,,,,,,,,,,,,,,,,minion_rush,,,,Rhinostep,,1,,,,,,,,,,,,,,,,
BossRapidFire2,Attack,,TRUE,,,,50,1850,1250,32,,,,,,1250,3,900,,300,90,3,1,,TRUE,,,,,,,,,,,BossProjectile,,,,,,,,,,,,,minion_rocket_atk,,minion_warning_long,,,,,,,,,,,,,,,,,,,,,,,,,,
BossRapidFire3,Attack,,TRUE,,,,50,1850,1250,32,,,,,,1250,3,900,,300,90,3,1,,TRUE,,,,,,,,,,,BossProjectile,,,,,,,,,,,,,minion_rocket_atk,,minion_warning_long,,,,,,,,,,,,,,,,,,,,,,,,,,
BossRaceBossRapidFire,Attack,,TRUE,,,,50,1850,750,60,,,,,,1250,3,1400,,200,150,2,1,,TRUE,,,,,,,,,,,BossRaceBossProjectile,,,,,,,,,,,,,minion_rocket_atk,,minion_warning_short,,,,,,,,,,1,,,,,,,,,,,,,,,,
BossRaceBossCharge,Charge,,TRUE,,,,50,,750,50,,,,,,,,1400,,,,,,,,,130,,2500,1,,,,,TRUE,,,,,,,,,,,,,,,,,,,,minion_rush,,,,Rhinostep,,,,,,,,,,,,,,,,,,
BossRaceBossChainLightning,Attack,,TRUE,,,,50,1050,750,60,,,,,,1250,3,1400,,200,150,2,1,,TRUE,,,,,,,,,,,BossRaceBossLightningProjectile1,,,,,,,,,,,,,minion_rocket_atk,,minion_warning_short,,,,,,,,,,1,,,,,,,,,,,,,,,,
BossRaceBossRockets,Attack,,TRUE,,,,50,1050,750,60,,,,,,1250,3,700,,200,750,,1,,TRUE,,,,,,,,,,,BossRaceBossRocketProjectile,,,,,,,,,,,,,minion_rocket_atk,,minion_warning_short,,,,,,,,,,1,,,,,,,,,,,,,,,,
PercenterWeapon,Attack,TRUE,TRUE,TRUE,,,250,150,,26,,,,,,1600,3,1000,37,100,,,1,,TRUE,,,,,,,,,,,PercenterProjectile,,,,,,,,,,,,,brock_def_atk,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
PercenterUlti,Charge,,TRUE,TRUE,,,50,,,33,,,,,,,,2000,20,,,,,,,,0,,4000,10,,,,,TRUE,,,,,,,,,,,,,,,,,,,,colette_def_ulti,colette_def_ulti_cover,colette_def_overcharge,colette_def_overcharge_cover,Rhinostep,,,,,,,,,,,,,,,,,,
FireDudeWeapon,Attack,TRUE,TRUE,TRUE,,,50,100,,25,,,,,,220,40,210,,100,30,,1,,TRUE,,,,,,,,,,,FireDudeProjectile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,
FireDudeUlti,Attack,TRUE,TRUE,TRUE,,,250,150,,22,,,,,,,,,,100,0,,1,,TRUE,,,,,,,,,,,FireDudeUltiProjectile,,,,,,,,,,,,,barkeep_attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IceDudeWeapon,Attack,TRUE,TRUE,TRUE,,,250,350,,28,,,,,,1300,3,440,,100,0,,1,TRUE,TRUE,,,,,,,,,,,IceDudeProjectile,,,,,,,,,,,,,colt_def_atk,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
IceDudeUlti,Attack,TRUE,TRUE,TRUE,,,250,150,,23,,,,,,,,40,,100,0,,1,,TRUE,,,,,,,,,,,IceDudeUltiProjectile,IceDudeOverchargedUltiProjectile,,,,,,,,,,,,cactus_attack_ulti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SnakeOilWeapon,Attack,TRUE,TRUE,TRUE,,,500,150,,30,,,,,,1450,3,380,,100,,,1,,TRUE,,,,,,,,,,,SnakeOilProjectile,,,,,,,,,,,,,sniper_attack,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
SnakeOilUlti,Attack,TRUE,TRUE,TRUE,,,250,150,,22,,,,,,,,1500,,100,0,,1,,TRUE,,,,,,,,,,,SnakeOilUltiProjectile,,,,,,,,,,,,,tnt_attack_ulti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EnragerWeapon,Attack,TRUE,TRUE,TRUE,,,50,250,,6,,,,,,700,3,540,,100,0,,1,TRUE,TRUE,,,,,,,,,,,EnragerProjectile,,,,,,,,,,,,,luchador_attack,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
EnragerUlti,Charge,,TRUE,TRUE,,,50,,,20,,,,,,,,,,,,,,,,,,,3500,11,,,,,,,,,EnragerUltiSpeed,,EnragerOverchargedUlti,EnragerUltiSpeed,TRUE,,,,,,,,crow_ulti,,,edgar_overcharged_ultiEnd,,,,,,,,,,,,,,,,,,,,,,,
RuffsWeapon,Attack,TRUE,TRUE,TRUE,,,250,150,,27,,,,,,1400,3,600,,100,,7,2,,TRUE,,,,,,,,,,,RuffsProjectile,,,,,,,,,,,,,bull_def_atk,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
RuffsUlti,Attack,TRUE,TRUE,TRUE,,,200,150,,23,,,,,,,,1000,,100,0,,1,,TRUE,,,,,,,,,,,RuffsUltiProjectile,,,,,,,,,,,,,cactus_attack_ulti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RollerWeapon,Attack,TRUE,TRUE,TRUE,,,100,250,,23,,,,,,1500,3,540,,100,0,,1,TRUE,TRUE,,,,,,,,,,,RollerProjectile,,,,,,,,,,,,,colt_def_atk,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
RollerUlti,Charge,,TRUE,TRUE,TRUE,,0,,,7,,,,,,,,800,,,,,,,,,100,,3000,12,,,,,TRUE,,,,,,,,,,,,,,,,,,,,colette_def_ulti,stu_def_ulti_cover,,,,,,,,,,,,,,,,,,,,,
ElectroSniperWeapon,Attack,TRUE,TRUE,TRUE,,,500,150,,30,,,,,,1400,3,1040,,100,,,1,,TRUE,,,,,,,,,,,ElectroSniperProjectile,,,,,,,,,,,,,sniper_attack,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
ElectroSniperUlti,Attack,TRUE,TRUE,TRUE,,,500,150,,32,,,,,,,,500,,100,,,1,,TRUE,,,,,,,,,,,ElectroSniperUltiProjectile,ElectroSniperOverchargedUltiProjectile,,,,,,,,,,,,sniper_attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StickyBombWeapon,Attack,TRUE,TRUE,TRUE,,,250,150,,23,,,,,99,2100,3,1080,,100,0,,1,,TRUE,,,,,,1,10,,,,StickyBombProjectile,,,,,,,,StickyBomb,,,,,colt_def_atk,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
StickyBombUlti,Attack,TRUE,TRUE,TRUE,,,250,150,,25,,,,,1,,,1000,,100,0,,1,,TRUE,,,,,,,,,,,StickyBombUltiProjectile,,,,,,,,,,,,,tnt_attack_ulti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CrossBomberWeapon,Attack,TRUE,TRUE,TRUE,,,50,350,,23,,,,,8,2000,3,1060,,300,0,,1,,TRUE,,,,,,,,,,,CrossBomberProjectile,,,,,,,,,,,,,tnt_attack_ulti,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
CrossBomberUlti,Attack,TRUE,TRUE,TRUE,,,250,150,,25,,,,,8,,,1600,,100,0,,1,,TRUE,,,,,,,,,,,CrossBomberUltiProjectile,,,,,,,,,,,,,tnt_attack_ulti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RopeDudeWeapon,Attack,TRUE,TRUE,TRUE,,,50,750,,8,,,,,,1000,3,420,,150,200,2,3,TRUE,TRUE,,,,,,,,,,,RopeDudeProjectile,"RopeDudeProjectile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
RopeDudeUlti,Attack,TRUE,TRUE,TRUE,,,250,150,,30,,,,,,,,,,100,,,1,,TRUE,,,,,,,,,,,RopeDudeUltiProjectile,RopeDudeOverchargedUltiProjectile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AssaultShotgunWeapon,Attack,TRUE,TRUE,TRUE,,,50,650,,25,,,,,,1700,3,280,,200,30,10,3,,TRUE,,,,,,,,,,,AssaultShotgunProjectile,,,,,,,,,,,,,shelly_def_atk,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
AssaultShotgunUlti,Attack,TRUE,TRUE,TRUE,,,500,150,,27,,,,,,,,660,,100,150,10,5,,TRUE,,,,,,,,,,,AssaultShotgunUltiProjectile,,,,,,,,,,,,,whirlwind_attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DummySkillForBasketBrawl,Attack,TRUE,TRUE,,,,250,150,,15,,200,,TRUE,,,,,,100,,,1,,TRUE,,,,,,,,,,,DummyProjectileForBasketBrawl,,,,,,,,,,,,,laser_ball_throw,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DummyUltiSkillForBasketBrawl,Attack,TRUE,TRUE,,,,250,150,,20,,300,,TRUE,,,,,,100,,,1,,TRUE,,,,,,,,,,,DummyProjectileForBasketBrawl,,,,,,,,,,,,,laser_ball_throw_ulti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KnightWeapon,Attack,TRUE,TRUE,TRUE,,,250,400,,14,,,,,,1400,3,800,,300,,,1,,,,,,,,,,,,,KnightProjectile1,,,,,,,,,,,,,hammer_dude_attack,,ash_def_atk_sfx,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
KnightUlti,Attack,TRUE,TRUE,TRUE,,,50,250,,15,,,,,1,,,,,200,,,1,,TRUE,,,,,,5,5,,,,KnightUltiProjectile,,KnightPet,,,,,,,,,,,tick_attack_ulti,,tick_def_ulti,,,,,,,,,,,,,,,,,,,,,,,,,,
MechaDudeWeapon,Attack,TRUE,TRUE,TRUE,,,50,250,,27,,,,,,1300,3,300,,100,,6,1,,TRUE,,,,,,,,,,,MechaDudeProjectile,,,,,,,,,,,,,colt_def_atk,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
MechaDudeUlti,ChangeCharacter,,,TRUE,,,50,1100,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MechaDudeBig,,,,,,,,,,,tick_def_atk,,Dummy_effect,,,,,,,,,,,,,,,,,,,,,,,,,,
MechaDudeBigWeapon,Attack,TRUE,TRUE,TRUE,,,50,850,,27,,,,,,1500,3,210,,100,,,1,TRUE,TRUE,,,,,,,,,,,MechaDudeBigProjectile,,,,,,,,,,,,,colt_def_atk,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
MechaDudeBigUlti,Attack,TRUE,TRUE,TRUE,,,50,350,,13,,,,,,,,1700,,200,300,,1,,,,,,,,,,,,,,,,,,,,,,,sc/ui.sc,button_ulti_meg,button_ulti_blue_meg,bibi_def_atk,,mecha_swing,,,,,,,,,,,,,,,,,,,,,,,,,,
DuplicatorWeapon,Attack,TRUE,TRUE,TRUE,,,50,650,,27,,,,,,1700,3,260,,100,30,3,1,,TRUE,,,,,,,,,,,DuplicatorProjectile,,,,,,,,,,,,,pam_def_atk,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
DuplicatorUlti,Attack,TRUE,TRUE,TRUE,,,50,250,,15,,,,,,,,,,200,,,1,,TRUE,,,,,,1,1,,,,DuplicatorUltiProjectile,,DuplicatorPet,,,,,,,,,,,shaman_ulti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KickerDudeWeapon,Attack,TRUE,TRUE,TRUE,,2,250,500,,8,,,,,,1000,3,1360,,500,,,1,,TRUE,,,,,,,,,,,KickerDudeProjectile,,,,,,,,,,,,,fang_def_atk,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
KickerDudeUlti,Charge,,TRUE,TRUE,,2,250,,,30,,,,,,,,1200,,,,,,,,,0,,4000,8,,,,,TRUE,,,,,,,,,,,,,,,,,,,,fang_def_ulti,fang_def_ulti_cover,fang_def_ulti_overcharged,fang_def_ulti_cover_overcharged,Rhinostep,,,,,,,,,,,,,,,,,,
ActionDudeWeapon,Attack,TRUE,TRUE,TRUE,,,250,500,,27,,,,,,1800,3,500,,150,30,2,1,,TRUE,,,,,,,,,,,ActionDudeProjectile,,,,,,,,,,,,,brock_def_atk,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
ActionDudeUlti,Attack,TRUE,TRUE,TRUE,,,50,250,,15,,,,,,,,,,200,,,1,,TRUE,,,,,,1,1,,,,ActionDudeUltiProjectile,,ActionDudePet,,,,,,,,,,,shaman_ulti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FleaPetWeapon,Charge,,TRUE,TRUE,,,500,500,,8,,,,TRUE,,100,3,300,,,,,,,,,,,2700,14,,,,,TRUE,,,,,,,,,,,,,,,,mortis_def_atk,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
FleaPetUltiDummy,Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FleaWeapon,Attack,TRUE,TRUE,TRUE,,2,500,500,,28,,,,,,1600,3,400,,150,,11,1,,TRUE,,,,,,,,,,,FleaProjectile1,,,,,,,,,,,,,colt_def_atk,,,,,,,,,,,,,,,,,,FleaProjectile2,FleaProjectile3,,30,,TRUE,,,,,
FleaUlti,Attack,TRUE,TRUE,TRUE,,2,251,250,,15,,,,,,,,,,200,,,1,,TRUE,,,,,,1,10,,,,FleaUltiProjectile,,FleaBigEgg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JetpackGirlWeapon,Attack,TRUE,TRUE,TRUE,,,200,150,,12,,,,,,1500,3,980,,100,160,13,4,,TRUE,,,,,,,,,,,JetpackGirlProjectile,,,,,,,,,,,,,janet_def_atk_direct,,janet_def_atk_root,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
JetpackGirlUlti,Attack,TRUE,TRUE,TRUE,TRUE,3,50,6000,,7,,,,,,,,800,,760,0,12,1,,,,,,1400,15,,,,,,JetpackGirlUltiProjectile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CannonGirlWeapon,Attack,TRUE,TRUE,TRUE,,2,50,250,,27,,,,,,1000,1,1120,,200,,,1,,TRUE,,,,,,,,,,,CannonGirlProjectile,,,,,,,,,,,,,brock_def_atk,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
CannonGirlUlti,Charge,,TRUE,TRUE,,2,50,150,,22,,,,,,,,1000,,,,,,,,,,,2500,16,,,,,,,,CannonGirlSmall,,,,,,,,,,,,,,,cannongirl_ulti_ground_hit,,,,,,,,,,,,,,,,,,,,,,,,
CannonGirlSmallWeapon,Attack,TRUE,TRUE,TRUE,,,50,350,,15,,,,,,2000,3,580,,100,40,2,1,,TRUE,,,,,,,,,,,CannonGirlSmallProjectile,,,,,,,,,,,,,tnt_attack_ulti,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
CannonGirlSmallUlti,ChangeCharacter,,,TRUE,,,600,600,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CannonGirl,,,,,,,,sc/ui.sc,button_ulti_bonnie,button_ulti_blue_bonnie,,,bonnie_def_ulti_return,,,,,,,,,,,,,,,,,,,,,,,,,,
SilencerWeapon,Attack,TRUE,TRUE,TRUE,,,250,400,,27,,,,,,1500,3,460,,120,22,1,1,,TRUE,,,,,,,,,,,SilencerProjectile,,,,,,,,,,,,,rico_def_atk,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
SilencerUlti,Attack,TRUE,TRUE,TRUE,,,50,100,,27,,,,,,1000,,340,,100,,,1,,TRUE,,,,,,1,10,,,,SilencerUltiProjectile,,,,,,,,SilencerHugger,3,,,,gene_def_atk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeaponThrowerWeapon,Attack,TRUE,TRUE,TRUE,,,100,600,,9,,,,,,1600,3,800,,300,100,2,1,TRUE,TRUE,,,,,,,,,,,WeaponThrowerProjectile,,,,,,,,,,,,,rosa_def_atk,,,,,,,,,,,,1,WeaponThrowerWeapon2,,,,,,,,,,TRUE,,,,,
WeaponThrowerWeapon2,Attack,TRUE,TRUE,TRUE,,,100,300,,9,,,,,,900,3,400,,150,50,2,1,TRUE,TRUE,,,,,,,,,,,WeaponThrowerProjectile2,,,,,,,,,,,,,luchador_attack,,,,,,,,,,,,1,WeaponThrowerWeapon,,,,,,,,,,TRUE,,,,,
WeaponThrowerUlti,Attack,TRUE,TRUE,TRUE,,,50,100,,26,,,,,,,,1400,,150,,,1,,TRUE,,,,,,1,1,,,,WeaponThrowerUltiProjectile,,,,,,,,WeaponThrowerWeapon,,,,,whirlwind_attack,,Dummy_effect,,,,,,,,,,2,WeaponThrowerUlti2,,,,,,,,,,,,,,,
WeaponThrowerUlti2,RecallWeapon,TRUE,,TRUE,,,50,100,,26,,,,,,,,700,,150,,,1,,TRUE,,,,,,,,,,,WeaponThrowerUltiProjectile2,,,,,,,,,,sc/ui.sc,button_ulti_sam,button_ulti_blue_sam,,,,,,,,,,,,,1,WeaponThrowerUlti,,,,,,,,,,,,,,,
SoulCollectorWeapon,Attack,TRUE,TRUE,TRUE,,,500,150,,28,,,,,,1500,3,1000,,100,,,1,,TRUE,,,,,,1,10,,,,SoulCollectorProjectile,,,,,,,,SoulCollectorSoul,3,,,,sniper_attack,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
SoulCollectorUlti,Attack,TRUE,TRUE,TRUE,,,500,150,,28,,,,,,,,,,100,,,1,,TRUE,,,,,,,,,,,SoulCollectorUltiProjectile,,,,,,,,,,,,,whirlwind_attack,,Dummy_effect,,,,,,,,,,,,,,,,,,,,,,,,,,
ShieldTankWeapon,Attack,TRUE,TRUE,TRUE,,,350,250,,16,,,,,,1800,3,1380,,200,90,,3,,TRUE,,,,,,,,,,,ShieldTankProjectile,,,,,,,,,,,,,sniper_attack,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
ShieldTankUlti,ProjectileShield,TRUE,TRUE,TRUE,,2,250,3000,,9,,,,,,,,800,,100,120,,,,,620,,,,,,,,,,ShieldTankUltiProjectile,,,,,,,,,,,,,,,,,,,buster_shield,,,,,,,,,,,TRUE,,,,,,,,,,,
JesterWeapon,Attack,TRUE,TRUE,TRUE,,,250,150,,25,,,,,,1900,3,640,,100,30,14,3,,TRUE,,,,,,,,,,,JesterProjectile,,,,,,,,,,,,,tara_def_atk,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
JesterUltiExploding,Attack,TRUE,TRUE,TRUE,,,250,150,,19,,,,,,,,1880,,150,0,,1,,TRUE,,,,,,,,,,,JesterUltiProjectileExploding,,,,,,,,,,sc/ui.sc,button_ulti_chester_indirect_explosion,button_ulti_blue_chester_indirect_explosion,chester_def_atk,,,,,,,,,,,,1,JesterUltiStunning,JesterUltiPoisoning,JesterUltiDamageArea,JesterUltiHeal,,,,,,,,,,TID_JESTER_ULTI_EXPLOSION,,1
JesterUltiStunning,Attack,TRUE,TRUE,TRUE,,,250,150,,26,,,,,,,,200,,150,,,1,,TRUE,,,,,,,,,,,JesterUltiProjectileStunning,,,,,,,,,,sc/ui.sc,button_ulti_chester_direct_stunt,button_ulti_blue_chester_direct_stunt,chester_def_ulti_stun,,,,,,,,,,,,1,JesterUltiExploding,JesterUltiPoisoning,JesterUltiDamageArea,JesterUltiHeal,,,,,,,,,,TID_JESTER_ULTI_STUN,,2
JesterUltiPoisoning,Attack,TRUE,TRUE,TRUE,,,250,150,,17,,,,,,,,290,,150,100,5,5,,TRUE,,,,,,,,,,,JesterUltiProjectilePoisoning,,,,,,,,,,sc/ui.sc,button_ulti_chester_cone_poison,button_ulti_blue_chester_cone_poison,chester_def_ulti_poison_spray,,,,,,,,,,,,1,JesterUltiExploding,JesterUltiStunning,JesterUltiDamageArea,JesterUltiHeal,,,,,,,,,,TID_JESTER_ULTI_POISON,,3
JesterUltiDamageArea,Attack,TRUE,,TRUE,,,250,150,,,,,,,,,,160,,150,,,1,,,,,,,,,,,,,,,,JesterUltiDamageArea,,,,,,,sc/ui.sc,button_ulti_chester_drop_damaging_area,button_ulti_blue_chester_drop_damaging_area,barkeep_attack,,Dummy_effect,,,,,,,,,,1,JesterUltiExploding,JesterUltiStunning,JesterUltiPoisoning,JesterUltiHeal,,,,,,,,,,TID_JESTER_ULTI_AREA,,4
JesterUltiHeal,Heal,TRUE,,TRUE,,,250,150,,,,,,,,,,2400,,150,,,,,,,,,,,,,,,,,,,,,,,,,,sc/ui.sc,button_ulti_chester_direct_heal,button_ulti_blue_chester_direct_heal,,,chester_def_ulti_heal,,,,,,,,,,1,JesterUltiExploding,JesterUltiStunning,JesterUltiPoisoning,JesterUltiDamageArea,,,,,,,,,,TID_JESTER_ULTI_HEAL,,5
DoorManWeapon,Attack,TRUE,TRUE,TRUE,,,500,150,,27,,,,,,1400,3,1160,,100,0,,1,,TRUE,,,,,,,,,,,DoorManProjectile,,,,,,,,,,,,,gray_def_atk,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
DoorManUlti,Portals,TRUE,TRUE,TRUE,,,50,250,,20,,,,,,,,,,200,,,1,,TRUE,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BeamerWeapon,Attack,TRUE,TRUE,TRUE,,,500,150,,27,,,,,,1500,3,1300,,100,,,1,,TRUE,,,,,,,,,,,BeamerProjectile,,,,,,,,,,,,,sniper_attack,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
BeamerUlti,Attack,,TRUE,TRUE,,2,150,300,750,120,,,,TRUE,,100,1,2500,,300,,,1,,TRUE,,,,,,,,,,TRUE,BeamerUltiProjectile,,,,,,,,,,,,,bibi_def_ulti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SplitterWeapon,Attack,TRUE,TRUE,TRUE,,,500,150,,30,,,,,,1500,3,700,,100,0,,1,,TRUE,,,,,,,,,,,SplitterProjectile,,,,,,,,,,,,,arcade_def_atk,,,,,,,,,,,,1,,,,,,,,,,,TRUE,,,,,
SplitterUlti,Split,TRUE,,TRUE,,,50,250,,,,,,,,,,,,200,,,1,,TRUE,,,,,,1,1,,,,,,,,,,,,,,,,,,,arcade_def_ulti_atk,,,,,,,,,,,,,,,,,,,,,,,,,,
SplitterLegsWeapon,Attack,TRUE,,TRUE,,1,500,150,,10,,,,,,1800,3,,,1000,,,,,,,,,,,,,,,,,,,SplitterLegsDamageArea,,,,TRUE,,,,,,luchador_attack,,,,,,,,,,,,1,,,,,,,,,,,TRUE,,,,,
PuppeteerWeapon,Attack,TRUE,TRUE,TRUE,,,250,150,,22,,,,,,2000,3,1200,,100,0,,1,,TRUE,,,,,,,,,,,PuppeteerProjectile,,,,,,,,,,,,,barkeep_attack,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
PuppeteerUlti,Attack,TRUE,TRUE,TRUE,,,500,150,,25,,,,,,1500,,,,150,,,1,,TRUE,,,,,,,,,,,PuppeteerUltiProjectile,,,,,,,,,,,,,shelly_def_ulti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
