"Name","OfferType","AcceptToOffers","AcceptToChallengeRewards","AcceptToChallengeFallbackRewards","AcceptToQuestRewards","AcceptToQuestFallbackRewards","IconFrameNumber","MaxResourcePerFrame","ShopItemAsset","ShopItemAssetBig","PopupItemAsset","PopupItemAssetHighlight","MiniOfferAsset","SeparatedSectionOfferAsset","SeparatedSectionTeaseAsset","SeasonalEventOfferAsset","LegendaryOfferAsset","ClubShopItemAsset","OfferAssetSolo","OfferAssetHalf","OfferAssetQuarter","OfferAssetHeroLayout","OfferAssetSoloHighlight","OfferAssetHalfHighlight","OfferAssetQuarterHighlight","OfferAssetHeroLayoutHighlight","SoloOfferBgFrames","BrawlPassAssetPaid","BrawlPassAssetFree","BrawlPassAssetPlus","MasteryTrackAsset","MasterySmallRewardAsset","TrophyRankRewardProfile","SameSizeForCollected","TrophyRewardMediumThreshold","TrophyRewardLargeThreshold","TrophyRankRewardTiny","TrophyRankRewardSmall","TrophyRankRewardMedium","TrophyRankRewardLarge","TrophyWorldReward","TrophyWorldIconFrameNumber","TrophyWorldMaxResourcePerFrame","ChainOfferMiniItemSmall","ChainOfferMiniItemMedium","ChainOfferMiniItemLarge","RankedRewardAsset","RankedGoalAsset","RankedGoalQuestAsset","ClubCollabAsset","RewardDescTID","ChallengeRewardFrame","ChallengeRewardAsset","RecordsPopupRewards"
"StarrDropContainer",49,"TRUE","TRUE",,"TRUE",,,,,,"shop_popupitem_47",,,,,,,,"offer_item_random_reward_big","offer_item_random_reward_big","offer_item_random_reward_small","offer_item_random_reward_big",,,,,,"brawlpass_reward_premium_random_reward","brawlpass_reward_free_random_reward",,,,"reward_profilebutton_50",,,,"reward_popupitem_collected_50","reward_popupitem_small_50","reward_popupitem_small_50","reward_popupitem_large_50","sc/trophy_world_common.sc#reward_item_starrdrop",,,,,,,"offer_item_random_reward_small","offer_item_random_reward_small","collab_club_reward_milestone_random_reward","TID_SHOP_OFFER_TITLE_49","resource","icon_resource_random_reward","offer_item_random_reward_small"
"RandomStarrDrop",50,"TRUE","TRUE","TRUE","TRUE",,,,,,"shop_popupitem_50",,,,,,,,"offer_item_random_reward_big","offer_item_random_reward_big","offer_item_random_reward_small","offer_item_random_reward_big",,,,,,"brawlpass_reward_premium_random_reward","brawlpass_reward_free_random_reward",,,,"reward_profilebutton_50","TRUE",75,350,"reward_popupitem_collected_50","reward_popupitem_small_50","reward_popupitem_small_50","reward_popupitem_large_50","sc/trophy_world_common.sc#reward_item_starrdrop",,,,,,,"offer_item_random_reward_small","offer_item_random_reward_small","collab_club_reward_milestone_random_reward","TID_SHOP_OFFER_TITLE_50","resource","icon_resource_random_reward","offer_item_random_reward_small"
"BrawlPassUnlockBrawler",51,"FALSE","FALSE",,"FALSE",,,,,,"brawlpass_reward_premium_brawler_unlock_any",,,,,,,,"brawlpass_reward_premium_brawler_unlock_any","brawlpass_reward_premium_brawler_unlock_any","brawlpass_reward_premium_brawler_unlock_any","brawlpass_reward_premium_brawler_unlock_any",,,,,,"brawlpass_reward_premium_brawler_unlock_any","brawlpass_reward_premium_brawler_unlock_any",,,,"reward_profilebutton_42",,,,,,,,,,,,,,,,,,,,,"brawlpass_reward_premium_brawler_unlock_any"
"BrawlPassPlusBundle",52,"TRUE","TRUE",,"TRUE",,0,200,,,"shop_popupitem_45",,"shop_item_daily_freebie_cosmetic_coins",,,,,,"offer_item_cosmetic_coins_big","offer_item_cosmetic_coins_big","offer_item_cosmetic_coins_small","offer_item_cosmetic_coins_big",,,,,,"brawlpass_reward_premium_cosmetic_coins","brawlpass_reward_free_cosmetic_coins",,"mastery_reward_cosmetic_coins","mastery_reward_small_cosmetic_coins","reward_profilebutton_45","TRUE",75,1500,"reward_popupitem_collected_45","reward_popupitem_small_45","reward_popupitem_small_45","reward_popupitem_large_45",,0,200,,,,,"offer_item_cosmetic_coins_small","offer_item_cosmetic_coins_small","offer_item_cosmetic_coins_small","TID_SHOP_OFFER_TITLE_52","resource","icon_resource_cosmetic_coins","offer_item_cosmetic_coins_small"
"RandomCollabDrop",53,"TRUE","FALSE",,"FALSE",,0,1,,,"shop_popupitem_53",,,,,,,,"offer_item_collab_gacha_big","offer_item_collab_gacha_big","offer_item_collab_gacha_big","offer_item_collab_gacha_big",,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,"TID_SHOP_OFFER_TITLE_53","resource","icon_resource_random_reward","offer_item_collab_gacha_big"
,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,
,,,,,,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,,,,,,,,,
,,,,,,,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,11,,,,,,,,,,,
,,,,,,,4,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,23,,,,,,,,,,,
,,,,,,,5,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,-1,,,,,,,,,,,
"SpecialEventTokens",54,"FALSE","TRUE",,"TRUE",,,,"shop_item_resourses_gems",,"shop_popupitem_16",,,,,,"shop_item_resourses_gems","shop_item_resourses_gems","offer_item_gems_big","offer_item_gems_big","offer_item_gems_small","offer_item_gems_big",,,,,"offer_gems","brawlpass_reward_premium_gems","brawlpass_reward_free_gems",,,,"reward_profilebutton_16",,,,,,,,,,,,,,,"offer_item_gems_small","offer_item_gems_small","offer_item_gems_small",,"first_win","icon_first_win","offer_item_gems_small"
"MegaBox",55,"TRUE","TRUE",,"FALSE",,0,1,,,"shop_popupitem_55",,,,,,,,"offer_item_classic_mega_box_big","offer_item_classic_mega_box_big","offer_item_classic_mega_box_big","offer_item_classic_mega_box_big",,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,"TID_SHOP_OFFER_TITLE_55","resource","icon_resource_random_reward","offer_item_classic_mega_box_big"
"ArchetypeItem",56,"TRUE","FALSE",,"FALSE",,,,,,"shop_popupitem_5",,,,,,,,"offer_item_sb_big","offer_item_sb_big","offer_item_sb_small","offer_item_sb_big",,,,,,,,,,,,,,,,,,,,,,,,,,"offer_item_sb_small","offer_item_sb_small","offer_item_sb_small",,"resource",,"offer_item_sb_small"
"CollabPoints",57,"TRUE","TRUE",,"TRUE",,0,0,,,"shop_popupitem_57",,,,,,,,"offer_item_currency_collab_big","offer_item_currency_collab_big","offer_item_currency_collab_small","offer_item_currency_collab_big",,,,,,,,,,,"reward_profilebutton_57","TRUE",75,350,"reward_popupitem_collected_57","reward_popupitem_small_57","reward_popupitem_small_57","reward_popupitem_large_57",,0,0,,,,,"offer_item_currency_collab_small","offer_item_currency_collab_small","offer_item_currency_collab_small","TID_SHOP_OFFER_TITLE_57","resource","icon_resource_currency_collab","offer_item_currency_collab_small"
,,,,,,,1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,24,,,,,,,,,,,
,,,,,,,2,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,99,,,,,,,,,,,
,,,,,,,3,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,299,,,,,,,,,,,
,,,,,,,4,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,-1,,,,,,,,,,,
"AngelicStar",58,"TRUE","TRUE",,"TRUE",,0,1,,,"shop_popupitem_58",,,,,,,,"offer_item_collab_gacha_angels","offer_item_collab_gacha_angels","offer_item_collab_gacha_angels","offer_item_collab_gacha_angels",,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,"TID_SHOP_OFFER_TITLE_58","resource","icon_resource_random_reward","offer_item_collab_gacha_angels"
"DemonicStar",59,"TRUE","TRUE",,"TRUE",,0,1,,,"shop_popupitem_59",,,,,,,,"offer_item_collab_gacha_demons","offer_item_collab_gacha_demons","offer_item_collab_gacha_demons","offer_item_collab_gacha_demons",,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,"TID_SHOP_OFFER_TITLE_59","resource","icon_resource_random_reward","offer_item_collab_gacha_demons"
"RandomPresentDrop",60,"TRUE","FALSE",,"FALSE",,0,1,,,"shop_popupitem_60",,,,,,,,"offer_item_gacha_present_drop_big","offer_item_gacha_present_drop_big","offer_item_gacha_present_drop_small","offer_item_gacha_present_drop_big",,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,"TID_SHOP_OFFER_TITLE_60","resource","icon_resource_random_reward","offer_item_gacha_present_drop_small"
"CompetitivePassTailReward",61,"FALSE","FALSE",,"FALSE",,0,,"shop_item_resourses_boxes",,"shop_popupitem_10",,,,,,"shop_item_resourses_boxes","shop_item_resourses_boxes","brawlpass_reward_premium_tail_rewards","brawlpass_reward_premium_tail_rewards","brawlpass_reward_premium_tail_rewards","brawlpass_reward_premium_tail_rewards",,,,,"offer_recruit_tokens","brawlpass_reward_premium_tail_rewards","brawlpass_reward_premium_tail_rewards","brawlpass_reward_premium_random_reward",,,"reward_profilebutton_50",,,,"reward_popupitem_collected_10",,,"reward_popupitem_large_10",,0,,,,,,"brawlpass_reward_premium_random_reward","brawlpass_reward_premium_random_reward","brawlpass_reward_premium_random_reward",,"box","reward_profilebutton_42","brawlpass_reward_premium_tail_rewards"
"ProgressionSkinLevelUp",62,"FALSE","FALSE",,"FALSE",,0,1,,,,,,,,,,,,,,,,,,,,"competitive_pass_reward_premium_progression_skin","competitive_pass_reward_free_progression_skin",,,,,,,,,,,,,0,1,,,,,,,,,,,
"CompetitivePassPoints",64,"TRUE","TRUE",,"TRUE",,0,1,"offer_item_competitive_pass_points_big",,"reward_popupitem_large_64",,,,,,,,,,,,,,,,,"offer_item_competitive_pass_points_big","reward_popupitem_small_64",,,,,,,,,,,,,0,1,,,,,,,,"TID_COMPETITIVE_PASS_PRO_PASS_XP","resource","icon_resource_competitive_pass",
"DailyStreak",65,"TRUE","FALSE",,"FALSE",,0,-1,,,"shop_popupitem_45",,"shop_item_daily_freebie_cosmetic_coins",,,,,,"offer_item_cosmetic_coins_big","offer_item_cosmetic_coins_big","offer_item_cosmetic_coins_small","offer_item_cosmetic_coins_big",,,,,,"brawlpass_reward_premium_cosmetic_coins","brawlpass_reward_free_cosmetic_coins",,,,"reward_profilebutton_45",,,,"reward_popupitem_collected_45","reward_popupitem_small_45","reward_popupitem_small_45","reward_popupitem_large_45",,0,-1,,,,"rank_reward_cosmetic_coins","offer_item_cosmetic_coins_small","offer_item_cosmetic_coins_small","offer_item_cosmetic_coins_small","TID_SHOP_OFFER_TITLE_65","resource","icon_resource_cosmetic_coins","offer_item_cosmetic_coins_small"
"LevelUpgrade",34,"TRUE","FALSE",,"FALSE",,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-1,,,,,,,,"TID_SHOP_OFFER_TITLE_34",,,
"RandomSushiDrop",66,"TRUE","FALSE",,"TRUE",,0,1,,,"shop_popupitem_66",,,,,,,,"offer_item_gacha_sushi_big","offer_item_gacha_sushi_big","offer_item_gacha_sushi_small","offer_item_gacha_sushi_big",,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,"TID_SHOP_OFFER_TITLE_66","resource","icon_resource_sushi","offer_item_gacha_sushi_small"
,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,
,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,
,,,,,,,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,,,,,,,,,,,
,,,,,,,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,14,,,,,,,,,,,
,,,,,,,5,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,25,,,,,,,,,,,
,,,,,,,6,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,-1,,,,,,,,,,,
"TrophySeasonBox",67,"TRUE","FALSE",,"FALSE",,,,,,"shop_popupitem_61",,,,,,,,"offer_item_trophy_box_big","offer_item_trophy_box_big","offer_item_trophy_box_small","offer_item_trophy_box_big",,,,,,,,,,,,,,,,,,,,,,,,,,"offer_item_trophy_box_small","offer_item_trophy_box_small","offer_item_trophy_box_small","TID_SHOP_OFFER_TITLE_67","resource","icon_resource_random_reward","offer_item_trophy_box_small"
"ChooseSuperRareBrawler",69,"FALSE","FALSE",,"FALSE",,,,,,"brawlpass_reward_premium_brawler_unlock_any",,,,,,,,"brawlpass_reward_premium_brawler_unlock_any","brawlpass_reward_premium_brawler_unlock_any","brawlpass_reward_premium_brawler_unlock_any","brawlpass_reward_premium_brawler_unlock_any",,,,,,"brawlpass_reward_premium_brawler_unlock_any","brawlpass_reward_premium_brawler_unlock_any",,,,"reward_profilebutton_42",,,,,,,,"sc/trophy_world_common.sc#reward_item_brawler_choose",,,,,,,,,,"TID_SHOP_OFFER_TITLE_69",,,"brawlpass_reward_premium_brawler_unlock_any"
"RecordsFeature",70,"FALSE","FALSE",,"FALSE",,,,,,,,,,,,,,,,,,,,,,,,,,,,"reward_profilebutton_70",,,,"reward_popupitem_collected_41","reward_popupitem_small_41",,,"sc/trophy_world_common.sc#reward_item_records",,,,,,,,,,,,,
"BrawlerBox",71,"TRUE","TRUE",,,,,,,,"shop_popupitem_71",,,,,,,,"offer_item_brawler_box_big","offer_item_brawler_box_big","offer_item_brawler_box_big","offer_item_brawler_box_big",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TID_SHOP_OFFER_TITLE_71",,,
"CollabScore",72,"TRUE","TRUE",,"TRUE",,0,0,,,"shop_popupitem_72",,,,,,,,"offer_item_subway_surfers_points_big","offer_item_subway_surfers_points_big","offer_item_subway_surfers_points_small","offer_item_subway_surfers_points_big",,,,,,,,,,,"reward_profilebutton_72","TRUE",75,350,"reward_popupitem_collected_72","reward_popupitem_small_72","reward_popupitem_small_72","reward_popupitem_large_72",,0,0,,,,,"offer_item_subway_surfers_points_small","offer_item_subway_surfers_points_small","offer_item_subway_surfers_points_small","TID_SUBWAY_CONTEST_END_FLOW_REWARD","resource","icon_resource_currency_collab","offer_item_subway_surfers_points_small"
"GraffitiBox",73,"TRUE","TRUE",,"FALSE",,0,1,,,"shop_popupitem_73",,,,,,,,"offer_item_graffiti_box_big","offer_item_graffiti_box_big","offer_item_graffiti_box_small","offer_item_graffiti_box_big",,,,,,,,,,,,,,,"reward_popupitem_collected_73","reward_popupitem_small_73","reward_popupitem_small_73","reward_popupitem_large_73",,0,1,,,,,"offer_item_graffiti_box_small","offer_item_graffiti_box_small","offer_item_graffiti_box_small","TID_SHOP_OFFER_TITLE_73","resource","icon_resource_random_reward","offer_item_graffiti_box_small"
"TrickBox",74,"TRUE","TRUE",,"FALSE",,0,1,,,"shop_popupitem_74",,,,,,,,"offer_item_trick_box_big","offer_item_trick_box_big","offer_item_trick_box_small","offer_item_trick_box_big",,,,,,,,,,,,,,,"reward_popupitem_collected_74","reward_popupitem_small_74","reward_popupitem_small_74","reward_popupitem_large_74",,0,1,,,,,"offer_item_trick_box_small","offer_item_trick_box_small","offer_item_trick_box_small","TID_SHOP_OFFER_TITLE_74","resource","icon_resource_random_reward","offer_item_trick_box_small"
"CollabFeature",75,"FALSE","FALSE",,"FALSE",,,,,,,,,,,,,,,,,,,,,,,,,,,,"reward_profilebutton_75",,,,,,,,"sc/trophy_world_common.sc#reward_item_season_quests",,,,,,,,,,,,,
"CollabEventCurrency",76,"TRUE","TRUE",,"TRUE",,0,0,,,"shop_popupitem_76",,,,,,,,"offer_item_candy_points_big","offer_item_candy_points_big","offer_item_candy_points_small","offer_item_candy_points_big",,,,,,,,,,,"reward_profilebutton_76","TRUE",75,350,"reward_popupitem_collected_76","reward_popupitem_small_76","reward_popupitem_small_76","reward_popupitem_large_76",,0,0,,,,,"offer_item_candy_points_small","offer_item_candy_points_small","offer_item_candy_points_small","TID_COLLAB_POINTS","resource","icon_resource_currency_collab","offer_item_candy_points_small"
,,,,,,,1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,24,,,,,,,,,,,
,,,,,,,2,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,99,,,,,,,,,,,
,,,,,,,3,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,299,,,,,,,,,,,
,,,,,,,4,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,-1,,,,,,,,,,,
