"TID","EN"
"TID_WANTED_5","Star Gulch"
"TID_GOLDRUSH_5","Temple Catacombs"
"TID_WANTED_6","Snake Prairie"
"TID_GOLDRUSH_6","Smash6"
"TID_WANTED_7","Shooting Star"
"TID_GOLDRUSH_7","Deep Hollows"
"TID_BATTLE_ROYALE_4","Feast or Famine"
"TID_CLAN_MEMBERS_ONLINE","<c00ff00>Online: <COUNT>/<TOTAL></c>"
"TID_CLAN_TOTAL_TROPHIES","Band trophies"
"TID_CLAN_SEARCH_OK","Search"
"TID_CLAN_INFO_NAME","Band Name"
"TID_CLAN_INFO_BADGE","Badge"
"TID_CLAN_INFO_DESC","Description"
"TID_CLAN_INFO_TOTAL_TROPHIES","Band trophies"
"TID_CLAN_INFO_TYPE","Type"
"TID_CLAN_INFO_TAG","Band Tag"
"TID_CLAN_INFO_MIN_TROPHIES","Required trophies"
"TID_CLAN_INFO_LEAVE","Leave"
"TID_CLAN_INFO_SETTINGS","Settings"
"TID_CLAN_INFO_JOIN","Join"
"TID_CLAN_INFO_MESSAGE","Message"
"TID_CLAN_INFO_REQUEST_JOIN","Request join"
"TID_CLAN_SEARCH_NO_RESULTS","No Bands found"
"TID_CLAN_INFO_MEMBERS","Members"
"TID_CLAN_INFO_SELECT_BADGE","Browse"
"TID_SELECT_BADGE","Select badge"
"TID_ALLIANCE_CREATE_OK","Band created successfully"
"TID_CLAN_CHANGE_SETTINGS_TITLE","Band settings"
"TID_TITLE_ALLIANCE","Band info"
"TID_ALLIANCE_LEFT","You have left the Band"
"TID_CLAN_MEMBER_DEMOTE","Demote"
"TID_CLAN_MEMBER_PROMOTE","Promote"
"TID_CLAN_MEMBER_KICK","Kick"
"TID_CLAN_MEMBER_VIEW_ALLIANCE","View Band"
"TID_BUTTON_INVITE","Invite"
"TID_PLAYER_INFO_GOTO_CLAN","View Band"
"TID_PLAYER_INFO_HEROES","Brawlers (<FOUND>/<TOTAL>)"
"TID_SELECT_PLAYER_THUMBNAIL","Select your icon"
"TID_SELECT_PLAYER_THUMBNAIL_FAIL_2","This icon requires experience level <LEVEL>"
"TID_SELECT_PLAYER_THUMBNAIL_FAIL_3","This icon requires <TROPHIES> total trophies"
"TID_PLAYER_STAT_1","Victories"
"TID_PLAYER_STAT_4","Highest trophies"
"TID_PLAYER_STAT_5","Brawlers found"
"TID_PLAYER_STAT_8","Showdown victories"
"TID_NO_CLAN","Not in a Band"
"TID_ULTIMATE_NOT_READY","Hit enemies to charge up your Super!"
"TID_CANT_ACTIVATE_ULTI","Cannot activate Super when defeated!"
"TID_NAME_TOO_SHORT","Your name is too short"
"TID_ALLIANCE_JOINED","Band joined"
"TID_COIN_RUSH_INTRO_TEXT","Collect crystals to win"
"TID_BOUNTY_HUNTER_INTRO_TEXT","Defeat Brawlers for stars"
"TID_ATTACK_DEFEND_INTRO_TEXT_ATTACK","Shoot open the safe"
"TID_ATTACK_DEFEND_INTRO_TEXT_DEFEND","Defend the safe"
"TID_GO","Brawl!"
"TID_ALLIANCE_LEAVE_CONFIRMATION_TITLE","Confirm Leave"
"TID_ALLIANCE_LEAVE_CONFIRMATION","Are you sure you want to leave?"
"TID_ALLIANCE_LEAVE_CONFIRMATION_LEAVE","Leave"
"TID_ALLIANCE_PROMOTE_TITLE","Confirm Promote"
"TID_ALLIANCE_PROMOTE_CONFIRMATION","Are you sure you want to promote <NAME> to role <ROLE>?"
"TID_ALLIANCE_PROMOTE_BUTTON","Promote"
"TID_ALLIANCE_KICK_TITLE","Confirm Kick"
"TID_ALLIANCE_KICK_CONFIRMATION","Are you sure you want to kick <NAME> from the Band?"
"TID_ALLIANCE_KICK_BUTTON","Kick"
"TID_ALLIANCE_DEMOTE_TITLE","Confirm Demote"
"TID_ALLIANCE_DEMOTE_CONFIRMATION","Are you sure you want to demote <NAME> to role <ROLE>?"
"TID_ALLIANCE_DEMOTE_BUTTON","Demote"
"TID_CLAN_RESPONSE_10","Settings saved"
"TID_CLAN_RESPONSE_20","Band created"
"TID_CLAN_RESPONSE_22","Name not accepted"
"TID_CLAN_RESPONSE_40","Band joined"
"TID_CLAN_RESPONSE_42","Join failed: Band is full"
"TID_CLAN_RESPONSE_43","Join failed: Band is not open"
"TID_CLAN_RESPONSE_45","Join failed: you don't have enough trophies to join this Band"
"TID_CLAN_RESPONSE_46","Join failed: you're banned from this Band because of an earlier kick/rejected join request"
"TID_CLAN_RESPONSE_47","Join failed: too many Band joins today. Joining a Band has been blocked for you today."
"TID_CLAN_RESPONSE_48","Join failed: cannot join a Band in another region."
"TID_CLAN_RESPONSE_50","Join request sent successfully"
"TID_CLAN_RESPONSE_51","Join request sending failed: Band is no longer open for membership requests"
"TID_CLAN_RESPONSE_52","Join request sending failed: you already have a pending request to this Band"
"TID_CLAN_RESPONSE_53","Join request sending failed: you don't have enough trophies to join this Band"
"TID_CLAN_RESPONSE_54","Join request failed: you're banned from this Band because of an earlier kick/rejected join request"
"TID_CLAN_RESPONSE_55","Join request failed: cannot join a Band in another region."
"TID_CLAN_RESPONSE_70","Kick success"
"TID_CLAN_RESPONSE_80","You left the Band"
"TID_CLAN_RESPONSE_81","Promote success"
"TID_CLAN_RESPONSE_82","Demote success"
"TID_CLAN_RESPONSE_90","Accept success"
"TID_CLAN_RESPONSE_91","Reject success"
"TID_CLAN_RESPONSE_92","Accept failed: target is already in a Band"
"TID_CLAN_RESPONSE_93","Handle failed: cannot find request"
"TID_CLAN_RESPONSE_94","Handle failed: request already handled"
"TID_CLAN_RESPONSE_95","Handle failed: no rights"
"TID_CLAN_RESPONSE_96","Accept failed: target has been banned from this Band"
"TID_CLAN_RESPONSE_100","You have been kicked from a Band"
"TID_CLAN_RESPONSE_101","You have been promoted"
"TID_CLAN_RESPONSE_102","You have been demoted"
"TID_ALLIANCE_NAME_TOO_SHORT","Band name too short"
"TID_CLAN_JOIN_REQUEST_TITLE","Request Band membership"
"TID_CLAN_JOIN_REQUEST_SEND","Send"
"TID_CLAN_JOIN_REQUEST_DEFAULT_MESSAGE","I would like to join your Band..."
"TID_CLAN_JOIN_REQUEST_ENTRY_TITLE","Accept this player to the Band?"
"TID_CLAN_JOIN_REQUEST_ENTRY_ACCEPT","Accept"
"TID_CLAN_JOIN_REQUEST_ENTRY_REJECT","Reject"
"TID_CLAN_JOIN_REQUEST_ENTRY_ACCEPTED_BY","Accepted by <name>"
"TID_CLAN_JOIN_REQUEST_ENTRY_REJECTED_BY","Rejected by <name>"
"TID_HINT_DRAG_TO_AIM","Drag to aim"
"TID_HINT_RELEASE_TO_SHOOT","Release to shoot"
"TID_HINT_ACTIVATE_ULTI","Push the SUPER button!"
"TID_HINT_DRAG_TO_ULTI","Drag to aim SUPER, release to fire!"
"TID_HINT_COLLECT_GOLD","Collect crystals to win"
"TID_HINT_HOLD_GOLD","Hold on to your crystals!"
"TID_HINT_GO_AFTER_ENEMY","Go after the enemy!"
"TID_HINT_ATTACK_BASE","Break open the safe!"
"TID_HINT_DEFEND_BASE","Defend the safe!"
"TID_HINT_SHOOT_ENEMIES","Defeat enemies for stars!"
"TID_HINT_YOU_ARE_WINNING","Your team is winning! Play defense!"
"TID_HINT_YOU_ARE_LOSING","Your team is losing! Play offense!"
"TID_HINT_TAP_TO_MOVE","Tap to move\nMove with your team"
"TID_BOUNTY_1","Watch out: you are worth a small bounty!"
"TID_BOUNTY_2","Watch out: you are worth a big bounty!"
"TID_BOUNTY_3","Watch out: you are worth a huge bounty!"
"TID_BOUNTY_4","Wanted dead or alive!"
"TID_NO_CLAN_TITLE","Find a Band of Brawlers"
"TID_NO_CLAN_BODY","Join a Band to chat and play with cool people!"
"TID_NO_CLAN_SUGGESTIONS","Recommended Bands for you"
"TID_NO_CLAN_RESULTS","Search results"
"TID_NO_CLAN_EMPTY","No recommended Bands :-("
"TID_NO_CLAN_WAITING_FOR_DATA","Waiting for data..."
"TID_CONNECTING_TO_SERVER","Connecting to server..."
"TID_TEAM_AD_BUTTON_LABEL","Advertise in your Band"
"TID_TEAM_AD_INFO_0","Looking for players for a team game"
"TID_TEAM_AD_JOIN","Join Team"
"TID_TEAM_AD_JOIN_FAIL_ALREADY_IN_A_TEAM","Cannot join. You're already in a team"
"TID_TEAM_MEMBER_STATUS_0","<c3333ff>offline</c>"
"TID_TEAM_MEMBER_STATUS_1","<c00ffff>in battle</c>"
"TID_TEAM_MEMBER_STATUS_2","<cff00ff>other screen</c>"
"TID_TEAM_MEMBER_STATUS_3","<c00ff00>present</c>"
"TID_TEAM_MEMBER_STATUS_4","<c77bbff>in matchmake</c>"
"TID_TEAM_AD_POST_FAIL_NOT_IN_ALLIANCE","You must join a Band to use this feature"
"TID_TEAM_AD_POST_FAIL_TEAM_FULL","Cannot advertise. Room is already full"
"TID_TEAM_LOC_INFO","<MODE> at <LOC>"
"TID_STREAM_EVENT_1","<target> has been kicked out of the Band by <sender>"
"TID_STREAM_EVENT_2","<target> was accepted to the Band by <sender>"
"TID_STREAM_EVENT_3","<sender> joined the Band!"
"TID_STREAM_EVENT_4","<sender> has left the Band!"
"TID_STREAM_EVENT_5","<target> was promoted by <sender>"
"TID_STREAM_EVENT_6","<target> was demoted by <sender>"
"TID_STREAM_EVENT_101","room created by <sender>"
"TID_STREAM_EVENT_102","<sender> joined"
"TID_STREAM_EVENT_103","<sender> left"
"TID_STREAM_EVENT_104","<sender> kicked <target>"
"TID_STREAM_EVENT_105","matchmake started"
"TID_STREAM_EVENT_106","matchmake cancelled"
"TID_STREAM_EVENT_107","game started"
"TID_STREAM_EVENT_108","game won"
"TID_STREAM_EVENT_109","game lost"
"TID_STREAM_EVENT_110","practice started"
"TID_STREAM_EVENT_111","practice ended"
"TID_STREAM_EVENT_112","game draw"
"TID_CHAT_BOTTOM_BUTTON","Scroll down"
"TID_CHAT_BOTTOM_NEW_MESSAGES","<count> new messages!"
"TID_CHAT_BOTTOM_NEW_MESSAGE","New message!"
"TID_HERO_INFO_UPGRADE_TITLE","<NAME> lvl <LVL>"
"TID_HERO_INFO_UPGRADE_INFO","Upgrade to lvl <LVL>"
"TID_HERO_INFO_UPGRADES","Upgrades"
"TID_HERO_INFO_SKINS","Skins"
"TID_HERO_INFO_LEADERBOARD","Leaderboard"
"TID_HERO_INFO_LEADERBOARD_LABEL","Best <HERO> players"
"TID_CLAN_SEARCH_GO","Search"
"TID_CANT_DEACTIVATE_ULTI_DURING_TUTORIAL","Drag to aim the Super!"
"TID_HINT_SHOOT","Drag to aim, release to fire"
"TID_HERO_SCORE_SUM_LEADERBOARD","Best players"
"TID_ALLIANCE_LEADERBOARD","Best Bands"
"TID_HINT_MAKE_GOAL","Drag to aim, release to throw the barrel"
"TID_BATTLE_ROYALE_INTRO_TEXT","Be the sole survivor!"
"TID_HINT_COLLECT_BUFFS","Collect Elixir from barrels and\nenemies to grow stronger!"
"TID_PLAYERS_LEFT","Brawlers left: <num>"
"TID_AVOID_POISON","Stay clear of the advancing poison clouds!"
"TID_CLAN_CREATE_COOLDOWN","Cannot create a Band yet. Try again in <TIME>"
"TID_PLAYER_DATA_MISSING","Player data missing"
"TID_ALLIANCE_DATA_MISSING","Band data missing"
"TID_BATTLE_END_PLAYER_NAME_YOU","<c00ff00><NAME></c>"
"TID_BATTLE_END_PLAYER_NAME_OTHER","<NAME>"
"TID_RECHARGE_HINT","Wait for ammo to recharge!"
"TID_EVENT_EXPIRED","Event expired"
"TID_EVENT_SLOT_LOCKED","Collect <HEROCOUNT> Brawlers to play this event"
"TID_DOUBLE_COINS_INFO","Brawling here gives you double Coins"
"TID_DOUBLE_XP_INFO","Brawling here gives you double experience"
"TID_SETTINGS_TITLE","Settings"
"TID_SETTINGS_CONTROL_MODE_TITLE","Control mode"
"TID_SETTINGS_CONTROL_MODE_VALUE_0","Tap to move"
"TID_SETTINGS_CONTROL_MODE_INFO_0","Tap the screen to make your Brawler move there. Drag to aim and release to shoot."
"TID_SETTINGS_CONTROL_MODE_VALUE_1","Joystick Move"
"TID_SETTINGS_CONTROL_MODE_INFO_1","Move your Brawler with a virtual joystick by dragging anywhere on the screen. Tap at a target to shoot."
"TID_EVENTS_TIME","<c00cc00><TIME></c>"
"TID_EVENTS_TEASER_TIME","<TIME>"
"TID_EVENTS_TIME_ENDING","<cFFFF00><TIME></c>"
"TID_EVENTS_TIME_ENDING_SOON","<cff0000><TIME></c>"
"TID_EVENTS_NEXT_EVENT_STARTING_AT","Next event in"
"TID_EVENTS_TIME_LEFT","Time left"
"TID_EVENTS_NEW","NEW!"
"TID_EVENTS_FREE_REWARD_WITH_BOOST","<AMOUNT> <c00ff00>+<BOOST></c>"
"TID_EVENTS_FREE_REWARD","<AMOUNT>"
"TID_EVENTS_XP_CAP_REACHED","All experience collected"
"TID_GAME_STARTING","A game is starting at <LOCATION>. Please join!"
"TID_WEEKEND_EVENT","Double experience event"
"TID_PLAYER_KILLED_SOMEONE","<name> defeated"
"TID_SHOP_SPECIAL_OFFER","Special offer"
"TID_SHOP_COIN_BOOSTERS","Boosters"
"TID_SHOP_GEM_PACKS","Gem Packs"
"TID_SHOP_COIN_BOOST_TITLE","Coin Boost\n 7 days"
"TID_SHOP_COIN_BOOST_TITLE_PURCHASED","Coin Boost Active\n<c00FF00><TIME></c>"
"TID_SHOP_COIN_BOOST_BOOST","+<VALUE>%"
"TID_SHOP_PURCHASED","Purchased"
"TID_SHOP_COIN_BOOST_PURCHASE_ERROR_2","Not enough Gems"
"TID_SHOP_DOUBLE_COINS_TITLE","Coin Doubler"
"TID_SHOP_DOUBLE_COINS_INFO","Doubles the next <AMOUNT> Coins you earn from Brawls"
"TID_SHOP_DOUBLE_COINS_COINS_REMAINING","Coins remaining:"
"TID_SHOP_DOUBLE_COINS_PURCHASE_ERROR_2","Not enough Gems"
"TID_SHOP_GEM_PACK_1_TITLE","Fistful of Gems"
"TID_SHOP_GEM_PACK_2_TITLE","Pouch of Gems"
"TID_SHOP_GEM_PACK_3_TITLE","Bucket of Gems"
"TID_SHOP_GEM_PACK_4_TITLE","Wagon of Gems"
"TID_SHOP_GEM_PACK_5_TITLE","Mountain of Gems"
"TID_SHOP_GEM_PACK_6_TITLE","Gem Bonanza"
"TID_TERMS_OF_SERVICE_BUTTON","Terms of Service"
"TID_IMMUNE","Immune"
"TID_SETTINGS_CONTROL_MODE_VALUE_4","Reverse Default"
"TID_SETTINGS_CONTROL_MODE_INFO_4","Drag to a location to make your Brawler move there. Tap to shoot."
"TID_BATTLE_END_PROCEED","Proceed"
"TID_TUTORIAL_1_1","Hi, I'm Shelly! Let's get a move on.\n\nPush the blue stick to get me to that yellow circle."
"TID_TUTORIAL_5_1","Tap on targets to attack. Shoot that target!"
"TID_HINT_TAP_TO_MOVE_1","Use the virtual stick to move\nMove with your team"
"TID_CANT_DEACTIVATE_ULTI_DURING_TUTORIAL_1","Tap on the enemies to shoot your Super!"
"TID_HINT_SHOOT_1","Tap to shoot"
"TID_HINT_DRAG_TO_ULTI_1","Tap to shoot your SUPER!"
"TID_BIND_TO_NEW_GAMECENTER_ACCOUNT_TITLE","New Game Center login"
"TID_BIND_TO_NEW_GAMECENTER_ACCOUNT","Do you want to save your current game on this Game Center account?"
"TID_GOOGLE_SERVICE_BOUND_TO_OTHER_ACCOUNT_TITLE","Google Account Alert"
"TID_GOOGLE_SERVICE_BOUND_TO_OTHER_ACCOUNT","Do you want to load <name>'s game with xp level <number>? Warning: progress in the current game will be lost."
"TID_BOUND_TO_OTHER_ACCOUNT_LOAD_VILLAGE_TITLE","Load game?"
"TID_BUTTON_VILLAGE_LOAD","Load"
"TID_GAMECENTER_BOUND_TO_OTHER_ACCOUNT_TITLE","Game Center Alert"
"TID_GAMECENTER_BOUND_TO_OTHER_ACCOUNT","Do you want to load <name>'s game with experience level <number>? Warning: Progress in the current game will be lost."
"TID_BUTTON_AVATAR_LOAD","Load"
"TID_SETTINGS_SCREEN_TITLE","Settings"
"TID_SETTINGS_MUSIC","Music"
"TID_SETTINGS_SFX","Sound Effects"
"TID_SETTINGS_OFF","Off"
"TID_SETTINGS_ON","On"
"TID_SETTINGS_LANGUAGE","Language"
"TID_ACCOUNT","Devices"
"TID_LINK_DEVICE_BUTTON","Link a device"
"TID_SETTINGS_FACEBOOK","Facebook"
"TID_CHANGE_NAME_BUTTON","Change Name"
"TID_CREDITS_BUTTON","Credits"
"TID_PRIVACY_POLICY_BUTTON","Privacy Policy"
"TID_PARENTS_GUIDE_BUTTON","Parent's Guide"
"TID_MULTIDEVICE_INFO","Sign in using your Game Center account to safeguard your progress and play with multiple iOS devices."
"TID_SETTINGS_GOOGLE","Google Play Sign-In"
"TID_SETTINGS_BUTTON_FACEBOOK_CONNECTED","Connected"
"TID_SETTINGS_BUTTON_FACEBOOK_DISCONNECTED","Disconnected"
"TID_FAQ_BUTTON","Help and support"
"TID_ABOUT","Credits\n\n<names>\n\nBrawl Stars ™ <version>\nCopyright 2016-2017 Supercell Ltd. All Rights Reserved.\nUS Patent Pending\nAll use of this software is subject to Terms and Conditions and Privacy Policy at www.supercell.com."
"TID_IAP_TRANSACTION_PENDING","Please wait. Transaction is pending."
"TID_RATE_APP_TITLE","Rate Brawl Stars"
"TID_RATE_APP_MESSAGE","Please rate or review Brawl Stars on App Store to give us valuable feedback!"
"TID_BUTTON_RATE_APP_LATER","Later"
"TID_BUTTON_RATE_APP_REVIEW","Review"
"TID_BUTTON_RATE_APP_NEVER","Never"
"TID_ERROR_POP_UP_UNLOCK_UNAVAILABLE_TITLE","Account unlock unavailable"
"TID_ERROR_POP_UP_UNLOCK_UNAVAILABLE","Account unlock is unavailable at the moment. Please try again later!"
"TID_ERROR_POP_UP_UNLOCK_UNAVAILABLE_BUTTON","Try again"
"TID_ACCOUNT_LOCKED_INVALID_CODE","Invalid unlock code!"
"TID_ACCOUNT_LOCKED_TITLE","Account Locked"
"TID_ACCONT_LOCKED_TEXT","Your account has been locked for security reasons. Enter the unlock code to recover your account."
"TID_ACCOUNT_LOCKED_TEXT2","Enter unlock code here:"
"TID_HERO_LIST_CONFIRM_GEM_GATCHA","Tap to confirm"
"TID_NOT_ENOUGH_GEMS_TITLE","Not enough Gems"
"TID_NOT_ENOUGH_GEMS_INFO","You're out of Gems. Visit the Shop to get some more!"
"TID_NOT_ENOUGH_GEMS_GO_TO_SHOP","Go to Shop"
"TID_COIN_DOUBLER_TITLE","Purchase Coin Doubler"
"TID_COIN_DOUBLER_INFO","Doubles the next <AMOUNT> Coins you earn from Brawls.\n\nExtra Coins are not affected by the Event Coin cap."
"TID_COIN_BOOST_TITLE","Purchase Coin Boost"
"TID_COIN_BOOST_INFO","Earn <c009900><BOOST> %</c> more Coins from all sources for the next <c0000ff><DAYS></c> days.\n\nExtra Coins are not affected by the Event Coin cap."
"TID_GEM_PRICE_OK","<COST>"
"TID_GEM_PRICE_WARN","<COST>"
"TID_STAT_PER_DYNAMITE","Damage per dynamite"
"TID_STARS_1","Watch out: you have a crystal!"
"TID_STARS_2","Watch out: you have crystals!"
"TID_STARS_3","Watch out: you have a lot of crystals!"
"TID_STARS_4","Watch out: you have a ton of crystals!"
"TID_EVENT_LOCKED","Locked"
"TID_EVENT_COMING_UP","Coming up"
"TID_EVENT_COMING_UP_INFO","This event will open in <TIME>"
"TID_SHOTGUN_DEFAULT_SKIN","Default"
"TID_GUNSLINGER_DEFAULT_SKIN","Default"
"TID_BULL_DEFAULT_SKIN","Default"
"TID_ROCKET_DEFAULT_SKIN","Default"
"TID_ROCKET_BEACH_SKIN","Beach"
"TID_TNT_DEFAULT_SKIN","Default"
"TID_LUCHADOR_DEFAULT_SKIN","Default"
"TID_TRICKSHOT_DEFAULT_SKIN","Default"
"TID_CACTUS_DEFAULT_SKIN","Default"
"TID_CACTUS_PINK_SKIN","Pinky"
"TID_BARKEEP_DEFAULT_SKIN","Default"
"TID_MECHANIC_DEFAULT_SKIN","Default"
"TID_SHAMAN_DEFAULT_SKIN","Default"
"TID_SHAMAN_PANDA_SKIN","Panda"
"TID_UNDERTAKER_DEFAULT_SKIN","Default"
"TID_CROW_DEFAULT_SKIN","Default"
"TID_CROW_WHITE_SKIN","White Crow"
"TID_DEADMARIACHI_DEFAULT_SKIN","Default"
"TID_BOW_DEFAULT_SKIN","Default"
"TID_SNIPER_DEFAULT_SKIN","Default"
"TID_MINIGUN_DEFAULT_SKIN","Default"
"TID_BULL_HAIR_SKIN","Viking"
"TID_TRICKSHOT_GOLD_SKIN","Golden"
"TID_BARKEEP_GOLD_SKIN","Golden"
"TID_GUNSLINGER_ROCKSTAR_SKIN","Rockstar"
"TID_STAT_HEAL","Heal"
"TID_LUCHADOR_RUDO_SKIN","El Rudo"
"TID_HERO_INFO_PURCHASE_SKIN_LABEL","Buy skin"
"TID_EVENTS_NEW_EVENT","New Event!"
"TID_SETTINGS_BRAWLHINTS","Battle Hints"
"TID_COLLECTED_COINS_INFO","You have collected <CURRENT> Coins out of the maximum of <MAX> from <PLANET>"
"TID_COLLECTED_COINS_INFO_CAPPED","You have collected all the Coins available on <PLANET>"
"TID_FIRST_WIN_ON_PLANET_INFO","First win against other players on <PLANET> is worth <AMOUNT> extra Coins"
"TID_EVENT_LIST_TITLE","Choose Event"
"TID_EVENT_LIST_INFO","Choose an Event to play"
"TID_EVENT_LIST_JOIN_TEAM","Join Game Room"
"TID_COOP","Co-op Brawl"
"TID_COOP_NOT_SUPPORTED_IN_SURVIVAL","Co-op Brawl not supported in Showdown"
"TID_BIND_TO_NEW_FACEBOOK_ACCOUNT_TITLE","New Facebook login"
"TID_BIND_TO_NEW_FACEBOOK_ACCOUNT","Do you want to link your current game to this Facebook account?"
"TID_BUTTON_OKAY","Okay"
"TID_SELECT_PLAYER_THUMBNAIL_FAIL_4","This icon requires <HERO>"
"TID_HERO_PORTRAIT_CRAFT_COST","<cffffff><COST></c>"
"TID_HERO_PORTRAIT_CRAFT_COST_NEG","<c999999><COST></c>"
"TID_EVENT_POPUP_CREATE_TEAM_INFO","Invite friends and \nplay together"
"TID_EVENT_POPUP_GMV_LABEL_TEAM","3 vs 3"
"TID_EVENT_POPUP_GMV_LABEL_NO_TEAM","Sole Survivor"
"TID_POPUP_ANDROID_EXIT_TITLE","Exit Brawl Stars?"
"TID_POPUP_ANDROID_EXIT","Are you sure you want to exit Brawl Stars?"
"TID_ROOM_NOT_SUPPORTED","Game rooms not supported in Showdown"
"TID_ERROR_POP_UP_PURCHASE_FAILED_TITLE","Purchase failed"
"TID_ERROR_POP_UP_PURCHASE_FAILED","Billing server not responding. Please try again later."
"TID_ERROR_POP_UP_PURCHASE_FAILED_BUTTON","Ok"
"TID_IAP_NOT_AVAILABLE","Please enable In-App Purchases in your device restrictions settings."
"TID_NEWS_TITLE","The Daily Brawler"
"TID_STAT_DAMAGE_PER_ARROW","Damage per arrow"
"TID_STAT_DAMAGE_PER_MINE","Damage per trap"
"TID_STAT_DAMAGE_PER_SPIKE","Damage per spike"
"TID_STAT_DAMAGE_PER_DAGGER","Damage per dagger"
"TID_FRIENDS_FACEBOOK_CONNECTED","Facebook connected"
"TID_FRIENDS_FACEBOOK_NOT_CONNECTED","Connect to Facebook to see your Facebook friends here!"
"TID_FRIENDS_NO_FRIENDS","No friends"
"TID_UNLOCK_SKIN_CONTENT","Buy <NAME> skin"
"TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE_TITLE","Connection lost"
"TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE","Another device is connecting to this game."
"TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE_BUTTON","Reload"
"TID_BAD_CONNECTION","Bad network connection"
"TID_FACEBOOK_BOUND_TO_OTHER_ACCOUNT_TITLE","Facebook Alert"
"TID_FACEBOOK_BOUND_TO_OTHER_ACCOUNT","This Facebook account is already linked to another Brawl Stars game. Link it to your current game instead?"
"TID_TEAM_FREE_EVENT_REWARD_CLAIMED","Free event reward claimed"
"TID_GEM_BUY_CONFIRMATION","<AMOUNT> gems received!"
"TID_BLOCKED_TEAM_READY","Cannot display this while ready"
"TID_SHOTGUN_BANDITA_SKIN","Bandita"
"TID_SHUTDOWN_STARTED","Game is closing for a short maintenance break in 5 minutes."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_LONG","Sorry, the servers are under maintenance. Please try again in a few hours."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_TWO_HOURS","Sorry, the servers are under maintenance. Please try again in a couple hours."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_HOUR_AND_HALF","Sorry, the servers are under maintenance. Please try again in about an hour and a half."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_HOUR","Sorry, the servers are under maintenance. Please try again in about an hour."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_MINUTES","Sorry, the servers are under maintenance. Please try again in about <value> minutes."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_SOON","Sorry, the servers are under maintenance. Please try again in a few minutes."
"TID_SHUTDOWN_BATTLE_DISABLED","Game is closing for a maintenance in a few minutes. Starting new games is disabled until maintenance is over."
"TID_TEAM_SEARCH_NO_TEAM_CODE","Enter room code."
"TID_NO_RIGHTS_TO_ACCEPT_TO_JOIN_REQ","You don't have access to accept or reject join requests."
"TID_CLAN_RESPONSE_71","Elders have a cooldown between kicks"
"TID_STAT_MAX_DAMAGE","Damage at max range"
"TID_STAT_DAMAGE_PER_BOMB","Damage per grenade"
"TID_ELDER_KICK_FAIL_COOLDOWN","You have recently kicked a clan member. Try again in <time>."
"TID_LUCHADOR_KING_SKIN","El Rey"
"TID_PLAYER_DEFEATED_BR","Brawler defeated"
