"rmsep","Loop","FollowParent","FollowParentAngle","FollowBone","OwnScreenShake","OthersScreenShake","OwnHapticLevel","OthersHapticLevel","Time","Sound","Type","FileName","ExportName","ParticleEmitterName","Effect","Layer","GroundBasis","FlashColor","Scale","FlashDuration","TextInstanceName","TextParentInstanceName","EnemyVersion","ChinaReplacement","FlashWidth","EffectZ"
,,,,,,,,,,,"ParticleEmitter",,,"arcade_004_atk_trail_fire",,"Above",,,100,,,,,,,
"arcade_004_atk_trail_red",,,,,,,,,,,"ParticleEmitter",,,"arcade_004_atk_trail_smoke_2_red",,"Above",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"arcade_004_atk_trail_smoke_1_red",,"Above",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"arcade_004_atk_trail_dots_red",,"Above",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"arcade_004_atk_trail_amber_red",,"Above",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"arcade_004_atk_trail_fire_red",,"Above",,,100,,,,,,,
"arcade_004_atk_reached",,,,,,,,,,,"ParticleEmitter",,,"bibi_003_ulti_hitEnv_cloud",,"Object",,,90,,,,"arcade_004_atk_reached_red",,,
,,,,,,,,,,,"ParticleEmitter",,,"amber_def_atkEnd_residual",,"GroundHigh",,,60,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"amber_def_atkEnd_soot",,"GroundLow","true",,60,,,,,,,
"arcade_004_atk_reached_red",,,,,,,,,,,"ParticleEmitter",,,"bibi_003_ulti_hitEnv_cloud_red",,"Object",,,90,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"amber_def_atkEnd_residual_red",,"GroundHigh",,,60,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"amber_def_atkEnd_soot",,"GroundLow","true",,60,,,,,,,
"arcade_004_hit_char","true","true",,,,,,,,,"ParticleEmitter",,,"arcade_004_atk_hit_liquid_1",,"Above",,,100,,,,"arcade_004_hit_char_red",,,
,,,,,,,,,,,"ParticleEmitter",,,"arcade_004_atk_hit_liquid_2",,"Above",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"bibi_003_ulti_hitEnv_cloud",,"Above",,,110,,,,,,,
"arcade_004_hit_char_red","true","true",,,,,,,,,"ParticleEmitter",,,"arcade_004_atk_hit_liquid_1_red",,"Above",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"arcade_004_atk_hit_liquid_2_red",,"Above",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"bibi_003_ulti_hitEnv_cloud_red",,"Above",,,110,,,,,,,
"arcade_004_ulti_trail",,,,,,,,,,,"ParticleEmitter",,,"arcade_004_ulti_trail",,"Object",,,100,,,,"arcade_004_ulti_trail_red",,,
"arcade_004_ulti_trail_red",,,,,,,,,,,"ParticleEmitter",,,"arcade_004_ulti_trail_red",,"Object",,,100,,,,,,,
"arcade_004_ulti_area_loop",,"true",,,,,,,,,"SWF","sc/effects_brawler.sc","arcade_004_ulti_area",,,"GroundLow","true",,100,,,,"arcade_004_ulti_area_loop_red",,,
,,,,,,,,,,,"ParticleEmitter",,,"arcade_004_ulti_cloud",,"Above",,,,,,,,,,
,,,,,,,,,,,"SWF","sc/effects_brawler.sc","arcade_004_ulti_symbol",,,"Above",,,,,,,,,,
"arcade_004_ulti_area_loop_red",,"true",,,,,,,,,"SWF","sc/effects_brawler.sc","arcade_004_ulti_area_red",,,"GroundLow","true",,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"arcade_004_ulti_cloud_red",,"Above",,,,,,,,,,
,,,,,,,,,,,"SWF","sc/effects_brawler.sc","arcade_004_ulti_symbol_red",,,"Above",,,,,,,,,,
"arcade_004_ulti_areaBig_loop",,"true",,,,,,,,,"SWF","sc/effects_brawler.sc","arcade_004_ulti_areaBig",,,"GroundLow","true",,100,,,,"arcade_004_ulti_areaBig_loop_red",,,
,,,,,,,,,,,"ParticleEmitter",,,"arcade_004_ulti_cloud",,"Above",,,,,,,,,,
,,,,,,,,,,,"SWF","sc/effects_brawler.sc","arcade_004_ulti_symbol",,,"Above",,,,,,,,,,
"arcade_004_ulti_areaBig_loop_red",,"true",,,,,,,,,"SWF","sc/effects_brawler.sc","arcade_004_ulti_areaBig_red",,,"GroundLow","true",,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"arcade_004_ulti_cloud_red",,"Above",,,,,,,,,,
,,,,,,,,,,,"SWF","sc/effects_brawler.sc","arcade_004_ulti_symbol_red",,,"Above",,,,,,,,,,
"barley_def_atk",,,,,150,50,,,,"Barkeep_bottle_hit","SWF","sc/effects_brawler.sc","barley_def_atk_ground",,,"GroundHigh","true",,100,,,,"barley_def_atk_red",,,
,,,,,,,,,,,"SWF","sc/effects_brawler.sc","barley_def_atk_cloud",,,"GroundHigh",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_def_shards_blue",,"Above",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_def_atk_impact",,"Above",,,100,,,,,,,
"barley_def_atk_red",,,,,150,50,,,,"Barkeep_bottle_hit","ParticleEmitter",,,"barley_def_atk_ground_impact_red",,"GroundHigh","true",,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_def_atk_ground_red",,"GroundLow","true",,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_def_shards_red",,"Above",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_def_atk_impact_red",,"Above",,,100,,,,,,,
,,,,,,,,,,,"SWF","sc/effects_brawler.sc","barley_def_atk_cloud_red",,,"GroundHigh",,,100,,,,,,,
"barley_def_atk_trail",,"true",,,,,,,,,"ParticleEmitter",,,"barley_def_atk_trail",,"Above",,,100,,,,"barley_def_atk_trail_red",,,
,,"true",,,,,,,,,"ParticleEmitter",,,"barley_def_atk_trailGround",,"GroundHigh","true",,100,,,,,,,
"barley_def_atk_trail_red",,"true",,,,,,,,,"ParticleEmitter",,,"barley_def_atk_trail_red",,"Above",,,100,,,,,,,
,,"true",,,,,,,,,"ParticleEmitter",,,"barley_def_atk_trailGround_red",,"GroundHigh","true",,100,,,,,,,
"barley_def_ulti",,,,,150,50,,,,"Barkeep_ulti_hit","SWF","sc/effects_brawler.sc","barley_def_ulti_ground",,,"GroundHigh","true",,100,,,,"barley_def_ulti_red",,,
,,,,,,,,,,,"SWF","sc/effects_brawler.sc","barley_def_ulti_cloud",,,"GroundHigh",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_def_shards_blue",,"Above",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_def_ulti_impact",,"Above",,,100,,,,,,,
"barley_def_ulti_trail",,,,,,,,,,,"ParticleEmitter",,,"barley_def_ulti_trail",,"Above",,,100,,,,"barley_def_ulti_trail_red",,,
"barley_def_ulti_trail_red",,"true",,,,,,,,,"ParticleEmitter",,,"barley_def_ulti_trail_red",,"Above",,,100,,,,,,,
"barley_def_ulti_red",,,,,150,50,,,,"Barkeep_ulti_hit","SWF","sc/effects_brawler.sc","barley_def_ulti_ground_red",,,"GroundHigh","true",,100,,,,,,,
,,,,,,,,,,,"SWF","sc/effects_brawler.sc","barley_def_ulti_cloud_red",,,"GroundHigh",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_def_shards_red",,"Above",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_def_ulti_impact_red",,"Above",,,100,,,,,,,
"barley_002_atk",,,,,150,50,,,,"Wiz_barley_fireball_hit","SWF","sc/effects_brawler.sc","fireball_explosion_blue",,,"Above","true",,180,,,,"barley_002_atk_red",,,
,,,,,,,,,,,"ParticleEmitter",,,"fire_spark_blue",,"Above",,,,,,,,,,
"barley_002_atk_red",,,,,150,50,,,,"Wiz_barley_fireball_hit","SWF","sc/effects_brawler.sc","fireball_explosion_red",,,"Above","true",,180,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"fire_spark_red",,"Above",,,,,,,,,,
"barley_002_trail",,"true",,,,,,,,,"ParticleEmitter",,,"fireball_trail_blue",,"GroundHigh",,,,,,,"barley_002_trail_red",,,
,,"true",,,,,,,,,"ParticleEmitter",,,"barley_def_ulti_trail",,"Above",,,,,,,,,,
"barley_002_trail_red",,"true",,,,,,,,,"ParticleEmitter",,,"fireball_trail_red",,"GroundHigh",,,,,,,,,,
,,"true",,,,,,,,,"ParticleEmitter",,,"barley_def_ulti_trail_red",,"Above",,,,,,,,,,
"barley_002_ulti",,,,,150,50,,,,"Wiz_barley_fireball_hit","SWF","sc/effects_brawler.sc","fireball_explosion_ulti_blue",,,"Above","true",,190,,,,"barley_002_ulti_red",,,
,,,,,,,,,,,"ParticleEmitter",,,"fire_ulti_spark_blue",,"Above",,,,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"cloudExplode_ground_red",,"GroundHigh",,,,,,,,,,
"barley_002_ulti_red",,,,,150,50,,,,"Wiz_barley_fireball_hit","SWF","sc/effects_brawler.sc","fireball_explosion_ulti_red",,,"Above","true",,190,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"fire_ulti_spark_red",,"Above",,,,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"cloudExplode_ground_red",,"GroundHigh",,,,,,,,,,
"barley_004_atk",,,,,150,50,,,,"Barkeep_bottle_hit","SWF","sc/effects_brawler.sc","barley_004_atk_ground",,,"GroundHigh","true",,100,,,,"barley_004_atk_red",,,
,,,,,,,,,,,"SWF","sc/effects_brawler.sc","barley_004_atk_cloud",,,"GroundHigh",,,,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_004_shards_gold",,"Above",,,,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_def_atk_impact",,"Above",,,,,,,,,,
"barley_004_atk_red",,,,,150,50,,,,"Barkeep_bottle_hit","SWF","sc/effects_brawler.sc","barley_004_atk_ground_red",,,"GroundHigh","true",,100,,,,,,,
,,,,,,,,,,,"SWF","sc/effects_brawler.sc","barley_004_atk_cloud_red",,,"GroundHigh",,,,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_def_shards_red",,"Above",,,,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_def_atk_impact_red",,"Above",,,,,,,,,,
"barley_004_atk_trail",,"true",,,,,,,,,"ParticleEmitter",,,"barley_004_atk_trailLeaf",,"GroundHigh",,,,,,,"barley_004_atk_trail_red",,,
"barley_004_atk_trail_red",,"true",,,,,,,,,"ParticleEmitter",,,"barley_004_atk_trailLeaf_red",,"GroundHigh",,,,,,,,,,
"barley_004_ulti",,,,,150,50,,,,"Barkeep_bottle_hit","SWF","sc/effects_brawler.sc","barley_004_ulti_ground",,,"GroundHigh","true",,100,,,,"barley_004_ulti_red",,,
,,,,,,,,,,,"SWF","sc/effects_brawler.sc","barley_004_ulti_cloud",,,"GroundHigh",,,,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_004_shards_gold",,"Above",,,,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_def_atk_impact",,"Above",,,,,,,,,,
"barley_004_ulti_red",,,,,150,50,,,,"Barkeep_bottle_hit","SWF","sc/effects_brawler.sc","barley_004_ulti_ground_red",,,"GroundHigh","true",,100,,,,,,,
,,,,,,,,,,,"SWF","sc/effects_brawler.sc","barley_004_ulti_cloud_red",,,"GroundHigh",,,,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_def_shards_red",,"Above",,,,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_def_atk_impact_red",,"Above",,,,,,,,,,
"barley_005_atk",,,,,150,50,,,,"Barkeep_bottle_hit","SWF","sc/effects_brawler.sc","barley_005_atk_ground",,,"GroundLow","true",,100,,,,"barley_005_atk_red",,,
,,,,,,,,,,,"SWF","sc/effects_brawler.sc","barley_005_atk_fragments",,,"GroundHigh","true",,,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_005_atk_remain",,"GroundHigh",,,,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_005_atk_debris",,"Above",,,,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_def_atk_impact",,"Above",,,,,,,,,,
"barley_005_atk_red",,,,,150,50,,,,"Barkeep_bottle_hit","SWF","sc/effects_brawler.sc","barley_005_atk_ground_red",,,"GroundLow","true",,100,,,,,,,
,,,,,,,,,,,"SWF","sc/effects_brawler.sc","barley_005_atk_fragments_red",,,"GroundHigh","true",,,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_005_atk_remain_red",,"GroundHigh",,,,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_005_atk_debris_red",,"Above",,,,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_def_atk_impact_red",,"Above",,,,,,,,,,
"barley_005_atk_trail",,"true",,,,,,,,,"ParticleEmitter",,,"barley_005_atk_trail",,"Above",,,,,,,"barley_005_atk_trail_red",,,
"barley_005_atk_trail_red",,"true",,,,,,,,,"ParticleEmitter",,,"barley_005_atk_trail_red",,"Above",,,,,,,,,,
"barley_005_ulti",,,,,150,50,,,,"Barkeep_ulti_hit","SWF","sc/effects_brawler.sc","barley_005_ulti_ground",,,"GroundLow","true",,100,,,,"barley_005_ulti_red",,,
,,,,,,,,,,,"SWF","sc/effects_brawler.sc","barley_005_ulti_fragments",,,"GroundHigh",,,,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_005_ulti_remains",,"GroundHigh",,,,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_005_atk_debris",,"Above",,,,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_def_ulti_impact",,"Above",,,,,,,,,,
"barley_005_ulti_red",,,,,150,50,,,,"Barkeep_ulti_hit","SWF","sc/effects_brawler.sc","barley_005_ulti_ground_red",,,"GroundLow","true",,100,,,,,,,
,,,,,,,,,,,"SWF","sc/effects_brawler.sc","barley_005_ulti_fragments_red",,,"GroundHigh",,,,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_005_ulti_remains_red",,"GroundHigh",,,,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_005_atk_debris_red",,"Above",,,,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_def_ulti_impact_red",,"Above",,,,,,,,,,
"barley_005_ulti_trail",,"true",,,,,,,,,"ParticleEmitter",,,"barley_005_atk_trail",,"Above",,,,,,,"barley_005_ulti_trail_red",,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_005_atk_trail_add",,"Above",,,,,,,,,,
"barley_005_ulti_trail_red",,"true",,,,,,,,,"ParticleEmitter",,,"barley_005_atk_trail_red",,"Above",,,,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_005_atk_trail_red_add",,"Above",,,,,,,,,,
"barley_006_atk",,,,,150,50,,,,"Barkeep_bottle_hit","SWF","sc/effects_brawler.sc","barley_def_atk_ground",,,"GroundLow","true",,100,,,,"barley_006_atk_red",,,
,,,,,,,,,,,"SWF","sc/effects_brawler.sc","barley_006_atk_star",,,"GroundHigh",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_006_area_glow_1",,"GroundLow","true",,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_006_area_sideGlow_1",,"GroundHigh","true",,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_006_atk_dust",,"GroundHigh","true",,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_006_shards_blue",,"Above",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_def_atk_impact",,"Above",,,100,,,,,,,
"barley_006_atk_red",,,,,150,50,,,,"Barkeep_bottle_hit","ParticleEmitter",,,"barley_006_atk_ground_impact_red",,"GroundLow","true",,100,,,,,,,
,,,,,,,,,,,"SWF","sc/effects_brawler.sc","barley_006_atk_star_red",,,"GroundHigh",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_006_atk_ground_red",,"GroundLow","true",,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_006_area_glow_1_red",,"GroundLow","true",,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_006_area_sideGlow_1_red",,"GroundHigh","true",,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_006_atk_dust_red",,"GroundHigh","true",,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_006_shards_red",,"Above",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_def_atk_impact_red",,"Above",,,100,,,,,,,
"barley_006_atk_trail",,"true",,,,,,,,,"ParticleEmitter",,,"barley_006_atk_trail_gas_green",,"Object",,,100,,,,"barley_006_atk_trail_red",,,
,,"true",,,,,,,,,"ParticleEmitter",,,"barley_006_atk_trail_gas_yellow",,"Object",,,100,,,,,,,
,,"true",,,,,,,,,"ParticleEmitter",,,"barley_006_atk_trail_gas_blue",,"Object",,,100,,,,,,,
,,"true",,,,,,,,,"ParticleEmitter",,,"barley_006_atk_trail_dust",,"Above",,,100,,,,,,,
"barley_006_atk_trail_red",,"true",,,,,,,,,"ParticleEmitter",,,"barley_006_atk_trail_gas_purple",,"Object",,,100,,,,,,,
,,"true",,,,,,,,,"ParticleEmitter",,,"barley_006_atk_trail_gas_bluePurple",,"Object",,,100,,,,,,,
,,"true",,,,,,,,,"ParticleEmitter",,,"barley_006_atk_trail_dust_red",,"Above",,,100,,,,,,,
"barley_006_ulti_trail",,"true",,,,,,,,,"ParticleEmitter",,,"barley_006_atk_trail_gas_purple",,"Object",,,100,,,,"barley_006_ulti_trail_red",,,
,,"true",,,,,,,,,"ParticleEmitter",,,"barley_006_atk_trail_gas_yellow",,"Object",,,100,,,,,,,
,,"true",,,,,,,,,"ParticleEmitter",,,"barley_006_atk_trail_gas_blue",,"Object",,,100,,,,,,,
,,"true",,,,,,,,,"ParticleEmitter",,,"barley_006_atk_trail_dust",,"Above",,,100,,,,,,,
"barley_006_ulti_trail_red",,"true",,,,,,,,,"ParticleEmitter",,,"barley_006_atk_trail_gas_purple",,"Object",,,100,,,,,,,
,,"true",,,,,,,,,"ParticleEmitter",,,"barley_006_atk_trail_gas_bluePurple",,"Object",,,100,,,,,,,
,,"true",,,,,,,,,"ParticleEmitter",,,"barley_006_atk_trail_dust_red",,"Above",,,100,,,,,,,
"barley_006_ulti",,,,,150,50,,,,"Barkeep_ulti_hit","SWF","sc/effects_brawler.sc","barley_def_ulti_ground",,,"GroundLow","true",,100,,,,"barley_006_ulti_red",,,
,,,,,,,,,,,"SWF","sc/effects_brawler.sc","barley_006_ulti_star",,,"GroundHigh",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_006_area_glow_3",,"GroundLow","true",,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_006_area_sideGlow_2",,"GroundHigh","true",,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_006_ulti_dust",,"GroundHigh","true",,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_006_shards_blue",,"Above",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_def_atk_impact",,"Above",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_006_ulti_area_dust",,"GroundHigh","true",,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_006_ulti_area_star",,"GroundHigh","true",,100,,,,,,,
"barley_006_ulti_red",,,,,150,50,,,,"Barkeep_ulti_hit","SWF","sc/effects_brawler.sc","barley_006_ulti_ground_red",,,"GroundLow","true",,100,,,,,,,
,,,,,,,,,,,"SWF","sc/effects_brawler.sc","barley_006_ulti_star_red",,,"GroundHigh",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_006_area_glow_4",,"GroundLow","true",,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_006_area_sideGlow_2_red",,"GroundHigh","true",,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_006_ulti_dust_red",,"GroundHigh","true",,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_006_shards_red",,"Above",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_def_atk_impact_red",,"Above",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_006_ulti_area_dust",,"GroundHigh","true",,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_006_ulti_area_star_red",,"GroundHigh","true",,100,,,,,,,
"barley_007_atk",,,,,150,50,,,,"Barkeep_bottle_hit","SWF","sc/effects_brawler.sc","barley_007_atk_ground",,,"GroundLow","true",,100,,,,"barley_007_atk_red",,,
,,,,,,,,,,,"SWF","sc/effects_brawler.sc","barley_007_atk_bubble",,,"GroundTop",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_007_shards_blue",,"Above",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_def_atk_impact",,"Above",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_007_atk_gas_base",,"GroundHigh",,,100,,,,,,,
"barley_007_atk_red",,,,,150,50,,,,"Barkeep_bottle_hit","SWF","sc/effects_brawler.sc","barley_007_atk_ground_red",,,"GroundHigh","true",,100,,,,,,,
,,,,,,,,,,,"SWF","sc/effects_brawler.sc","barley_007_atk_bubble_red",,,"GroundTop",,,100,,,,,,,
,,,,,150,50,,,,"Barkeep_bottle_hit","ParticleEmitter",,,"barley_006_atk_ground_impact_red",,"GroundLow","true",,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_006_atk_ground_red",,"GroundLow","true",,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_007_shards_red",,"Above",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_def_atk_impact_red",,"Above",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_007_atk_gas_base_red",,"GroundHigh",,,100,,,,,,,
"barley_007_atk_trail",,"true",,,,,,,,,"ParticleEmitter",,,"barley_007_atk_trail_1",,"Object",,,100,,,,"barley_007_atk_trail_red",,,
,,"true",,,,,,,,,"ParticleEmitter",,,"barley_007_atk_trail_2",,"Object",,,100,,,,,,,
"barley_007_atk_trail_red",,"true",,,,,,,,,"ParticleEmitter",,,"barley_007_atk_trail_1_red",,"Object",,,100,,,,,,,
,,"true",,,,,,,,,"ParticleEmitter",,,"barley_007_atk_trail_2_red",,"Object",,,100,,,,,,,
"barley_007_ulti_trail",,"true",,,,,,,,,"ParticleEmitter",,,"barley_007_atk_trail_1",,"Object",,,100,,,,"barley_007_ulti_trail_red",,,
,,"true",,,,,,,,,"ParticleEmitter",,,"barley_007_atk_trail_2",,"Object",,,100,,,,,,,
,,"true",,,,,,,,,"ParticleEmitter",,,"barley_006_atk_trail_gas_blue",,"Object",,,100,,,,,,,
,,"true",,,,,,,,,"ParticleEmitter",,,"arcade_def_atk_trail",,"Above",,,100,,,,,,,
"barley_007_ulti_trail_red",,"true",,,,,,,,,"ParticleEmitter",,,"barley_007_atk_trail_1_red",,"Object",,,100,,,,,,,
,,"true",,,,,,,,,"ParticleEmitter",,,"barley_007_atk_trail_2_red",,"Object",,,100,,,,,,,
,,"true",,,,,,,,,"ParticleEmitter",,,"barley_006_atk_trail_gas_purple",,"Above",,,100,,,,,,,
,,"true",,,,,,,,,"ParticleEmitter",,,"arcade_def_atk_trail_red",,"Above",,,100,,,,,,,
"barley_007_ulti",,,,,150,50,,,,"Barkeep_ulti_hit","SWF","sc/effects_brawler.sc","barley_007_ulti_ground","amber_def_atkEnd_residual",,"GroundLow","true",,100,,,,"barley_007_ulti_red",,,
,,,,,,,,,,,"SWF","sc/effects_brawler.sc","barley_007_ulti_bubble",,,"GroundHigh",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_007_ulti_gas_base",,"Above",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_007_shards_blue",,"Above",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_def_atk_impact",,"Above",,,100,,,,,,,
"barley_007_ulti_red",,,,,150,50,,,,"Barkeep_ulti_hit","SWF","sc/effects_brawler.sc","barley_007_ulti_ground_red","amber_def_atkEnd_residual",,"GroundLow","true",,100,,,,,,,
,,,,,,,,,,,"SWF","sc/effects_brawler.sc","barley_007_ulti_bubble_red",,,"GroundHigh",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_007_ulti_gas_base_red",,"Above",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_007_shards_red",,"Above",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"barley_def_atk_impact_red",,"Above",,,100,,,,,,,
"bea_def_atk",,"true",,,100,,,,,"Bea_Atk","SWF","sc/effects_brawler.sc","bea_def_shoot",,,"Above",,,100,,,,"bea_def_atk_red",,,400
,,,,,,,,,,,"ParticleEmitter",,,"bea_def_atk_pixel",,"GroundHigh",,,,,,,,,,
"bea_def_atk_red",,"true",,,100,,,,,"Bea_Atk","SWF","sc/effects_brawler.sc","bea_def_shoot_red",,,"Above",,,100,,,,,,,400
,,,,,,,,,,,"ParticleEmitter",,,"bea_def_atk_pixel_red",,"GroundHigh",,,,,,,,,,
"bea_def_atk_charged",,"true",,"bee_s",,,,,,,"SWF","sc/effects_brawler.sc","bea_def_atk_charged",,,"Above",,,120,,,,"bea_def_atk_charged_red",,,
,,"true",,,,,,,,,"ParticleEmitter",,,"bea_def_bee_charged",,"Above",,,100,,,,,,,
"bea_def_atk_charged_red",,"true",,"bee_s",,,,,,,"SWF","sc/effects_brawler.sc","bea_def_atk_charged_red",,,"Above",,,120,,,,,,,
,,"true",,,,,,,,,"ParticleEmitter",,,"bea_def_bee_charged_red",,"Above",,,100,,,,,,,
"bea_def_atk_trail",,,,,,,,,,,"ParticleEmitter",,,"bea_def_ulti_trail_twinkles",,"GroundHigh",,,100,,,,"bea_def_atk_trail_red",,,
"bea_def_atk_trail_red",,,,,,,,,,,"ParticleEmitter",,,"bea_def_ulti_trail_twinkles_red",,"GroundHigh",,,100,,,,,,,
"bea_def_atk_hit",,,,,,,,,,"Bea_Atk_Hit","ParticleEmitter",,,"bea_def_atk_hit",,"Above",,,90,,,,"bea_def_atk_hit_red",,,
,,,,,,,,,,,"ParticleEmitter",,,"bea_def_atk_hitEnv_spark",,"Above",,,120,,,,,,,
"bea_def_atk_hit_red",,,,,,,,,,"Bea_Atk_Hit","ParticleEmitter",,,"bea_def_atk_hit_red",,"Above",,,90,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"bea_def_atk_hitEnv_spark_red",,"Above",,,120,,,,,,,
"bea_def_atk2_hit",,,,,,,,,,,"ParticleEmitter",,,"bea_def_atk_hit",,"Above",,,135,,,,"bea_def_atk2_hit_red",,,
,,,,,,,,,,,"ParticleEmitter",,,"bea_def_atk_hitEnv_spark",,"GroundHigh",,,130,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"bea_def_atk_hitEnv_cloud",,"Above",,,160,,,,,,,
"bea_def_atk2_hit_red",,,,,,,,,,,"ParticleEmitter",,,"bea_def_atk_hit_red",,"Above",,,135,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"bea_def_atk_hitEnv_spark_red",,"GroundHigh",,,130,,,,,,,
