"Name","LockedForChronos","Disabled","ItemName","WeaponSkill","UltimateSkill","Pet","Speed","Hitpoints","HealthPromilleLostPerSecond","HealPercentChange","LifeTimeTicks","MeleeAutoAttackSplashDamage","AutoAttackSpeedMs","AutoAttackDamage","AutoAttackBulletsPerShot","AutoAttackMode","AutoAttackProjectileSpread","AutoAttackProjectile","AutoAttackOverchagedProjectile","AutoAttackRange","RegeneratePerSecond","LowPriorityTarget","UltiChargeInitial","UltiChargeMul","UltiChargeUltiMul","OverchargeChargeMul","OverchargeChargeActiveMul","OverchargeDamagePercent","OverchargeSpeedPercent","OverchargeShieldPercent","Type","CarryableType","DamagerPercentFromAliens","DefaultSkin","Mastery","ManualRotations","FileName","BlueExportName","RedExportName","ShadowExportName","AreaEffect","DeathAreaEffect","TakeDamageEffect","KillEffect","DeathEffect","AllowDeathEffectOverride","MoveEffect","ReloadEffect","OutOfAmmoEffect","DryFireEffect","SpawnEffect","MeleeHitEffect","AutoAttackStartEffect","BoneEffect1","BoneEffectUse1","BoneEffect2","BoneEffectUse2","BoneEffect3","BoneEffectUse3","BoneEffect4","BoneEffectUse4","BoneEffect5","BoneEffectUse5","BoneEffect6","BoneEffectUse6","LoopedEffect","LoopedEffect2","KillCelebrationSoundVO","InLeadCelebrationSoundVO","StartSoundVO","UseUltiSoundVO","TakeDamageSoundVO","DeathSoundVO","AttackSoundVO","UnlockVO","UnlockVOIndex","AttackStartEffectOffset","TwoWeaponAttackEffectOffset","ShadowScaleX","ShadowScaleY","ShadowX","ShadowY","ShadowSkew","Scale","HeroScreenScale","FitToBoxScale","EndScreenScale","GatchaScreenScale","HomeScreenScale","BattleIntroScale","ShowPetInHeroScreen","HeroScreenXOffset","HeroScreenZOffset","BattleIntroXOffset","BattleIntroZOffset","HeroScreenEmoteX","HeroScreenEmoteY","CollisionRadius","HealthBar","HealthBarOffsetY","FlyingHeight","ProjectileStartZ","StopMovementAfterMS","WaitMS","TID","ForceAttackAnimationToEnd","IconSWF","IconExportName","RecoilAmount","FootstepClip","DifferentFootstepOffset","FootstepIntervalMS","AttackingWeaponScale","UseThrowingLeftWeaponBoneScaling","UseThrowingRightWeaponBoneScaling","CommonSetUpgradeBonus","RareSetUpgradeBonus","SuperRareSetUpgradeBonus","CanWalkOverWater","UseColorMod","RedAdd","GreenAdd","BlueAdd","RedMul","GreenMul","BlueMul","ChargeUltiAutomatically","ChargeUltiFromDamage","VideoLink","ShouldEncodePetStatus","SecondaryPet","ExtraMinions","PetAutoSpawnDelay","PetSpawnCount","HasPowerLevels","OffenseRating","DefenseRating","UtilityRating","ShowHealInBattleEnd","UniqueProperty","UniquePropertyValue1","UniquePropertyValue2"
"BeeSniper","","","bea","BeeSniperWeapon","BeeSniperUlti","BeeSniperSlowPot","720","2400","","","","","","","","","","","","12","","","","130","100","","","","","","Hero","","","BeeSniperDefault","MasteryBeeSniper","","","","","","","","takedamage_gen","","death_sniper","true","Gen_move_fx","reload_bea","No_ammo_bea","Minig_dryfire","","","","","","","","","","","","","","","","","","Bea_Kill_VO","Bea_Lead_VO","Bea_Start_VO","Bea_Ulti_VO","Bea_Hurt_VO","Bea_Die_VO","Bea_Atk_VO","Bea_Start_VO","0","45","","80","80","","","35","116","200","320","90","190","270","270","","","","-50","50","","80","120","Medium","-46","","450","","","TID_BEE_SNIPER","","sc/ui.sc","hero_icon_bea","100","footstep","35","350","160","","","2","3","1","","","","","","","","","","","","","","","","","","5","2","2","","","",""
"Mummy","","","emz","MummyWeapon","MummyUlti","","720","3600","","","","","","","","","","","","12","","","","86","76","","","","","","Hero","","","MummyDefault","MasteryMummy","","","","","","","","takedamage_gen","","death_shotgun_girl","true","Gen_move_fx","Emz_reload","No_ammo_shotgungirl","Emz_dryfire","","","","","","","","","","","","","","","","","","Emz_kill_vo","Emz_lead_vo","Emz_start_vo","Emz_ulti_vo","Emz_hurt_vo","Emz_die_vo","Emz_atk_vo","Emz_start_vo","3","30","","80","80","","","35","116","210","270","90","175","240","250","","","","","-200","-20","","120","Medium","-48","","450","","","TID_MUMMY","","sc/ui.sc","hero_icon_emz","0","footstep","25","250","200","","","1","3","2","","","","","","","","","","","ShellyTutorial","","","","","","","4","2","3","","","",""
"SpawnerDude","","","mr.p","SpawnerDudeWeapon","SpawnerDudeUlti","","720","3400","","","","","","","","","","","","12","","","","93","86","","","","","","Hero","","","SpawnerDudeDefault","MasterySpawnerDude","","","","","","","","takedamage_gen","","death_artillery_dude","true","Gen_move_fx","Mrp_Reload","No_ammo_shotgungirl","Mrp_Dryfire","","","","","","","","","","","","","","","","","","Mrp_Kill_VO","Mrp_Lead_VO","Mrp_Lead_VO","Mrp_Ulti_VO","Mrp_Hurt_VO","Mrp_Die_VO","Mrp_Atk_VO","Mrp_Lead_VO","0","35","75","80","80","","","35","110","240","330","90","175","300","300","true","-500","600","50","200","-50","80","120","Medium","-45","","400","","","TID_SPAWNER_DUDE","","sc/ui.sc","hero_icon_mrp","500","footstep","30","320","160","","","3","2","1","","","","","","","","","","","PennyTutorial","","","","","","","3","2","4","","","",""
"Speedy","","","max","SpeedyWeapon","SpeedyUlti","","820","3000","","","","","","","","","","","","12","","","","92","100","","","","","","Hero","","","SpeedyDefault","MasterySpeedy","","","","","","","","takedamage_gen","","death_gunslinger","true","Gen_move_fx","reload_max","No_ammo_shotgungirl","dry_fire_max","","","","","","","","","","","","","","","","","","Max_Kill_VO","Max_Lead_VO","Max_Start_VO","Max_Ulti_VO","Max_Hurt_VO","Max_Die_VO","","Max_Start_VO","2","35","","80","80","","","35","116","210","284","90","185","270","270","","","","-50","-200","-20","40","120","Medium","-52","","400","","","TID_SPEEDY","","sc/ui.sc","hero_icon_max","300","footstep","25","300","160","","","2","3","1","","","","","","","","","","","ColtTutorial","","","","","","","2","2","5","","","",""
"07220d24fa2e06c356cad4e7c6037d70b265010e","","true","shelly","ShotgunGirlWeapon","ShotgunGirlUlti","","770","3700","","","","","","","","","","","","12","","","","134","60","40","20","25","25","15","Hero","","","BanditGirlDefault","MasteryShotgunGirl","","","","","","","","takedamage_gen","","death_shotgun_girl","true","Gen_move_fx","reload_shotgun_girl","No_ammo_shotgungirl","Dry_fire_shotgungirl","","","","","","","","","","","","","","","","","","Shelly_Kill","Shelly_Lead","Shelly_Start","Utilshotgun_Vo","ShellyTakedamge_Vo","Shelly_Die","","Shelly_Start","2","30","","80","80","","","35","116","210","284","90","175","260","290","","","","","-400","-25","40","120","Medium","-48","","450","","","TID_SHOTGUN_GIRL","","sc/ui.sc","hero_icon_shelly","1000","footstep","25","250","200","","","1","3","2","","","","","","","","","","","ShellyTutorial","","","","","","","4","3","2","","","",""
"Driller","","","jacky","DrillerWeapon","DrillerUlti","","770","5000","","","","","","","","","","","","12","","","","82","100","40","20","25","25","15","Hero","","","DrillerDefault","MasteryDriller","","","","","","","","takedamage_gen","","death_shotgun_girl","true","Gen_move_fx","reload_jackie","No_ammo_shotgungirl","Jackie_dryfire","","","","","","","","","","","","","","","","","","Jackie_Kill_VO","Jackie_Lead_VO","Jackie_Start_VO","Jackie_Ulti_VO","Jackie_Hurt_VO","Jackie_Die_VO","","Jackie_Start_VO","1","50","","80","80","","","35","130","210","350","90","175","310","310","","","","-100","","","","145","Medium","-59","","450","","","TID_DRILLER","","sc/ui.sc","hero_icon_jacky","400","footstep","25","300","130","","","1","2","3","","","","","","","","","","240","TaraTutorial","","","","","","","2","5","2","","","",""
"Blower","","","gale","BlowerWeapon","BlowerUlti","","720","3800","","","","","","","","","","","","12","","","","90","100","","","","","","Hero","","","BlowerDefault","MasteryBlower","","","","","","","","takedamage_gen","","death_shotgun_girl","true","Gen_move_fx","reload_gale","No_ammo_shotgungirl","gale_dryfire","","","","","","","","","","","","","","","","","","Gale_Kill_VO","Gale_Lead_VO","Gale_Start_VO","Gale_Ulti_VO","Gale_Hurt_VO","Gale_Die_VO","","Gale_Start_VO","0","50","","80","80","","","35","120","210","300","90","175","270","270","","","","-100","200","","50","120","Medium","-59","","450","","","TID_BLOWER","","sc/ui.sc","hero_icon_gale","400","footstep","25","300","130","","","1","2","3","","","","","","","","","","","TaraTutorial","","","","","","","2","2","5","","","",""
"Controller","","","nani","ControllerWeapon","ControllerUlti","","720","2600","","","","","","","","","","","","12","","","","105","50","","","","","","Hero","","","ControllerDefault","MasteryController","","","","","","","","takedamage_gen","","death_shotgun_girl","true","Gen_move_fx","Nani_Reload","No_ammo_shotgungirl","Nani_Dryfire","","","","","","","","","","","","","","","","","","Nani_Kill_VO","Nani_Lead_VO","Nani_Start_VO","Nani_Ulti","Nani_Hurt_VO","Nani_Die_VO","","Nani_Start_VO","0","50","","80","80","","","35","100","210","300","90","175","270","270","","","","","550","-260","100","120","Medium","-59","","250","","","TID_CONTROLLER","","sc/ui.sc","hero_icon_nani","400","footstep","25","300","130","","","1","2","3","","","","","","","","","","","TaraTutorial","","","","","","","5","1","3","","","",""
"Wally","","","sprout","WallyWeapon","WallyUlti","","720","3000","","","","","","","","","","","","12","","","","94","100","","","","","","Hero","","","WallyDefault","MasteryWally","","","","","","","","takedamage_gen","","death_shotgun_girl","true","Gen_move_fx","reload_sprout","No_ammo_shotgungirl","sprout_dryfire","","","","","","","","","","","","","","","","","","Sprout_Kill_VO","Sprout_Lead_VO","Sprout_Start_VO","Sprout_Ulti_VO","Sprout_Hurt_VO","Sprout_Die_VO","","Sprout_Start_VO","1","50","","80","80","","","35","120","210","300","90","175","270","270","","","","","350","","140","120","Medium","-59","","450","","","TID_WALLY","","sc/ui.sc","hero_icon_sprout","400","footstep","25","300","130","","","1","2","3","","","","","","","","","","","TaraTutorial","","","","","","","3","2","4","","","",""
"PowerLeveler","","","surge","PowerLevelerWeapon","PowerLevelerUlti","","650","2800","","","","","","","","","","","","12","","","","120","70","","","","","","Hero","","","PowerLevelerDefault","MasteryPowerLeveler","","","","","","","","takedamage_gen","","death_artillery_dude","true","Gen_move_fx","Surge_Reload","No_ammo_shotgungirl","Surge_Dryfire","","","","","","","","","","","","","","","","","","Surge_Kill_VO","Surge_Lead_VO","Surge_Start_VO","Surge_Ulti_VO","Surge_Hurt_VO","Surge_Die_VO","Surge_Atk_VO","Surge_Start_VO","4","35","","80","80","","","35","90","190","200","80","150","200","200","","","600","-150","","","","120","Medium","-45","","400","","","TID_POWER_LEVELER","","sc/ui.sc","hero_icon_surge","500","footstep","20","200","160","","","3","2","1","","","","","","","","","","","PennyTutorial","","","","","","true","5","3","1","","","",""
"Percenter","","","colette","PercenterWeapon","PercenterUlti","PercenterPet","720","3400","","","","","","","","","","","","12","","","","100","100","40","20","25","30","15","Hero","","","PercenterDefault","MasteryPercenter","","","","","","","","takedamage_gen","","death_mechanic","true","Gen_move_fx","reload_mechanic","No_ammo_shotgungirl","dry_fire_mechanic","","","","","","","","","","","","","","","","","","Colette_Kill_VO","Colette_Lead_VO","Colette_Start_VO","Colette_Ulti_VO","Colette_Hurt_VO","Colette_Die_VO","","Colette_Start_VO","5","35","","80","80","","","35","116","210","284","90","175","260","270","","","","-150","-100","-25","40","120","Medium","-48","","400","","","TID_PERCENTER","","sc/ui.sc","hero_icon_colette","500","footstep","40","300","160","","","3","2","1","","","","","","","","","","","PennyTutorial","","","","","","","4","2","3","","","",""
"FireDude","","","amber","FireDudeWeapon","FireDudeUlti","","720","3200","","","","","","","","","","","","12","","","","91","53","","","","","","Hero","","","FireDudeDefault","MasteryFireDude","","","","","","","","takedamage_gen","","death_arcade","true","Gen_move_fx","Amber_Reload","No_ammo_shotgungirl","Amber_Dryfire","","","","","","","","","","","","","","","","","","Amber_Kill_VO","Amber_Lead_VO","Amber_Start_VO","Amber_Ulti_VO","Amber_Hurt_VO","Amber_Die_VO","Amber_Atk_VO","Amber_Start_VO","1","40","","80","80","","","35","116","210","284","90","175","260","260","true","","","-200","-175","-80","","120","Medium","-59","","450","","","TID_FIRE_DUDE","","sc/ui.sc","hero_icon_amber","400","footstep","30","400","130","","","1","3","2","","","","","","","","","","","PamTutorial","","","","","","","5","2","2","","","",""
"IceDude","","","lou","IceDudeWeapon","IceDudeUlti","","720","3200","","","","","","","","","","","","12","","","","143","100","40","20","25","30","15","Hero","","","IceDudeDefault","MasteryIceDude","","","","","","","","takedamage_gen","","death_cactus","true","Gen_move_fx","Lou_Reload","No_ammo_shotgungirl","Lou_Dryfire","","","","","","","","","","","","","","","","","","Lou_Kill_VO","Lou_Lead_VO","Lou_Start_VO","Lou_Ulti_VO","Lou_Hurt_VO","Lou_Die_VO","Lou_Atk_VO","Lou_Start_VO","2","35","50","80","80","","","35","116","240","324","80","210","290","290","","","","","","","50","120","Medium","-32","","450","","","TID_ICE_DUDE","","sc/ui.sc","hero_icon_lou","0","footstep","40","300","100","true","true","2","1","3","","","","","","","","","","","SpikeTutorial","","","","","","","3","1","5","","","",""
"SnakeOil","","","byron","SnakeOilWeapon","SnakeOilUlti","","720","2400","","","","","","","","","","","","12","","","","185","64","","","","","","Hero","","","SnakeOilDefault","MasterySnakeOil","","","","","","","","takedamage_gen","","death_sniper","true","Gen_move_fx","Byron_Reload","No_ammo_shotgungirl","Byron_Dryfire","","","","","","","","","","","","","","","","","","Snakeoil_Kill_VO","Snakeoil_Lead_VO","Snakeoil_Start_VO","Snakeoil_Ulti_VO","Snakeoil_Hurt_VO","Snakeoil_Die_VO","","Snakeoil_Start_VO","0","45","","80","80","","","35","140","230","320","100","190","290","290","","","","-100","-500","","","120","Medium","-46","","450","","","TID_SNAKE_OIL","","sc/ui.sc","hero_icon_byron","100","footstep","25","400","160","","","2","3","1","","","","","","","","","","","PiperTutorial","","","","","","","3","2","4","","","",""
"Enrager","","","edgar","EnragerWeapon","EnragerUlti","","820","3300","","","","","","","","","","","","12","","","","62","100","","","","","","Hero","","","EnragerDefault","MasteryEnrager","","","","","","","","takedamage_gen","","death_undertaker","true","Gen_move_fx","Edgar_Reload","No_ammo_shotgungirl","dry_fire_barkeep","","","","","","","","","","","","","","","","","","Edgar_Kill_VO","Edgar_Lead_VO","Edgar_Start_VO","Edgar_Ulti_VO","Edgar_Hurt_VO","Edgar_Die_VO","","Edgar_Start_VO","5","50","","80","80","","","35","116","200","285","95","170","260","260","","","","-100","-100","","20","120","Medium","-59","","350","","","TID_ENRAGER","","sc/ui.sc","hero_icon_edgar","0","footstep","25","350","165","","","1","2","3","","","","","","","","","132","","MortisTutorial","","","","","","","5","3","1","","","",""
"Ruffs","","","ruffs","RuffsWeapon","RuffsUlti","","720","2800","","","","","","","","","","","","12","","","","105","134","","","","","","Hero","","","RuffsDefault","MasteryRuffs","","","","","","","","takedamage_gen","","death_sniper","true","Gen_move_fx","Ruff_Reload","No_ammo_shotgungirl","Ruff_Dryfire","","","","","","","","","","","","","","","","","","Ruff_Kill_VO","Ruff_Lead_VO","Ruff_Start_VO","Ruff_Ulti_VO","Ruff_Hurt_VO","Ruff_Die_VO","","Ruff_Start_VO","1","45","","80","80","","","35","116","200","320","90","190","260","260","","","","","","","","120","Medium","-46","","450","","","TID_RUFFS","","sc/ui.sc","hero_icon_ruffs","100","footstep","25","400","160","","","2","3","1","","","","","","","","","","","PiperTutorial","","","","","","","2","2","5","","","",""
"Roller","","","stu","RollerWeapon","RollerUlti","","720","2900","","","","","","","","","","","","12","","","","1000","100","","","","","","Hero","","","RollerDefault","MasteryRoller","","","","","","","","takedamage_gen","","death_shotgun_girl","true","Gen_move_fx","Stu_Reload","No_ammo_shotgungirl","Stu_Dryfire","","","","","","","","","","","","","","","","","","Stu_Kill_VO","Stu_Lead_VO","Stu_Start_VO","Stu_Ulti_VO","Stu_Hurt_VO","Stu_Die_VO","","Stu_Start_VO","7","30","50","80","80","","","35","130","210","284","90","175","290","290","","","","","-150","-25","40","120","Medium","-48","","450","","","TID_ROLLER","","sc/ui.sc","hero_icon_stu","1000","footstep","25","250","200","","","1","3","2","","","","","","","","","","","ShellyTutorial","","","","","","","4","3","2","","","",""
"ElectroSniper","","","belle","ElectroSniperWeapon","ElectroSniperUlti","","720","2600","","","","","","","","","","","","12","","","","84","200","","","","","","Hero","","","ElectroSniperDefault","MasteryElectroSniper","","","","","","","","takedamage_gen","","death_shaman","true","Gen_move_fx","Belle_Reload","No_ammo_shotgungirl","Belle_Dryfire","","","","","","","","","","","","","","","","","","Belle_Kill_VO","Belle_Lead_VO","Belle_Start_VO","Belle_Ulti_VO","Belle_Hurt_VO","Belle_Die_VO","","Belle_Start_VO","2","35","","80","80","","","35","116","190","300","80","150","270","270","","","","-100","-400","","","120","Medium","-46","","100","","","TID_ELECTRO_SNIPER","","sc/ui.sc","hero_icon_belle","1000","footstep","25","250","100","","","3","1","2","","","","","","","","","","","NitaTutorial","","","","","","","5","1","3","","","",""
"StickyBomb","","","squeak","StickyBombWeapon","StickyBombUlti","","720","3600","","","","","","","","","","","","12","","","","93","50","","","","","","Hero","","","StickyBombDefault","MasteryStickyBomb","","","","","","","","takedamage_gen","","death_crow","true","Gen_move_fx","reload_crow","No_ammo_shotgungirl","crow_dryfire","","","","","","","","","","","","","","","","","","Squeak_Kill_VO","Squeak_Lead_VO","Squeak_Start_VO","","Squeak_Hurt_VO","Squeak_Die_VO","","Squeak_Start_VO","3","45","","80","80","","","35","116","230","350","90","210","290","290","","","","-150","100","-10","20","120","Medium","-41","","400","","","TID_STICKY_BOMB","","sc/ui.sc","hero_icon_squeak","0","footstep","20","200","100","true","true","2","1","3","","","","","","","","","","","CrowTutorial","","","","","","","4","2","3","","","",""
"CrossBomber","","","grom","CrossBomberWeapon","CrossBomberUlti","","720","2800","","","","","","","","","","","","12","","","","65","55","","","","","","Hero","","","CrossBomberDefault","MasteryCrossBomber","","","","","","","","takedamage_gen","","death_crow","true","Gen_move_fx","Grom_Reload","No_ammo_shotgungirl","Grom_Dryfire","","","","","","","","","","","","","","","","","","Grom_Kill_VO","Grom_Lead_VO","Grom_Start_VO","Grom_Ulti_VO","Grom_Hurt_VO","Grom_Die_VO","","Grom_Start_VO","","45","","80","80","","","35","116","170","245","90","150","235","235","","","","","-420","-10","20","120","Medium","-41","","400","","","TID_CROSS_BOMBER","","sc/ui.sc","hero_icon_grom","0","footstep","20","200","100","true","true","2","1","3","","","","","","","","","","","CrowTutorial","","","","","","","4","2","3","","","",""
"RopeDude","","","buzz","RopeDudeWeapon","RopeDudeUlti","","770","4400","","","","","","","","","","","","12","","","","96","100","","","","","","Hero","","","RopeDudeDefault","MasteryRopeDude","","","","","","RopeDudeSuperChargeArea","","takedamage_gen","","death_rosa","true","Gen_move_fx","reload_rosa","No_ammo_shotgungirl","dry_fire_barkeep","","","","","","","","","","","","","","","","","","Buzz_Kill_VO","Buzz_Lead_VO","Buzz_Start_VO","Buzz_Ulti_VO","Buzz_Hurt_VO","Buzz_Die_VO","","Buzz_Start_VO","2","50","","80","80","","","35","116","210","330","90","210","300","280","","","","100","150","","50","120","Medium","-55","","400","","","TID_ROPE_DUDE","","sc/ui.sc","hero_icon_buzz","0","footstep","30","400","130","","","3","2","1","","","","","","","","","","","","","","","","","","3","2","4","","","",""
"AssaultShotgun","","","griff","AssaultShotgunWeapon","AssaultShotgunUlti","","720","3400","","","","","","","","","","","","12","","","","100","92","","","","","","Hero","","","AssaultShotgunDefault","MasteryAssaultShotgun","","","","","","","","takedamage_gen","","death_shotgun_girl","true","Gen_move_fx","Griff_Reload","No_ammo_shotgungirl","Dry_fire_shotgungirl","","","","","","","","","","","","","","","","","","Griff_Kill_VO","Griff_Lead_VO","Griff_Start_VO","Griff_Ulti_VO","Griff_Hurt_VO","Griff_Die_VO","","Griff_Start_VO","2","30","","80","80","","","35","100","180","240","80","150","200","200","","","","-100","350","-25","40","120","Medium","-48","","450","","","TID_ASSAULT_SHOTGUN","","sc/ui.sc","hero_icon_griff","1000","footstep","25","250","200","","","1","3","2","","","","","","","","","","","ShellyTutorial","","","","","","","5","3","1","","","",""
"Knight","","","ash","KnightWeapon","KnightUlti","","720","5200","","","","","","","","","","","","12","","","","84","50","","","","","","Hero","","","KnightDefault","MasteryKnight","","","","","","","","takedamage_gen","","death_baseball","true","Gen_move_fx","reload_baseball","No_ammo_shotgungirl","dry_fire_barkeep","","bibi_def_atk_hit","","","","","","","","","","","","","","","","Ash_Kill_VO","Ash_Lead_VO","Ash_Start_VO","Ash_Ulti_VO","Ash_Hurt_VO","Ash_Die_VO","","Ash_Start_VO","0","75","","80","80","","","35","110","200","250","90","190","250","250","","","","","","-250","75","145","Medium","-48","","0","","","TID_KNIGHT","","sc/ui.sc","hero_icon_ash","0","footstep","25","400","100","","","1","3","2","","","","","","","","","","","","","","","","","","5","3","1","","1","",""
"MechaDude","","","meg","MechaDudeWeapon","MechaDudeUlti","MechaDudeBig","770","2300","","","","","","","","","","","","12","","","","180","50","","","","","","Hero","","","MechaDudeDefault","MasteryMechaDude","","","","","","","","takedamage_gen","","death_sniper","true","Gen_move_fx","Meg_Reload","No_ammo_shotgungirl","Meg_Dryfire","","","","","","","","","","","","","","","","","","Meg_kill_vo","Meg_lead_vo","Meg_start_vo","Meg_ulti_vo","Meg_hurt_vo","Meg_die_vo","","Meg_start_vo","0","45","50","80","80","","","35","116","190","250","80","150","270","280","true","700","1000","-120","","25","0","120","Medium","-46","","450","","","TID_MECHA_DUDE","","sc/ui.sc","hero_icon_meg","100","footstep","35","350","160","","","2","3","1","","","","","","","","","","","","","","","","","","4","3","2","","","",""
"Duplicator","","","lolla","DuplicatorWeapon","DuplicatorUlti","","720","3800","","","","","","","","","","","","12","","","","104","50","","","","","","Hero","","","DuplicatorDefault","MasteryDuplicator","","","","","","","","takedamage_gen","","death_shaman","true","Gen_move_fx","diva_reload","No_ammo_shotgungirl","dry_fire_barkeep","","","","","","","","","","","","","","","","","","Lolla_Kill_VO","Lolla_Lead_VO","Lolla_Start_VO","Lolla_Ulti_VO","Lolla_Hurt_VO","Lolla_Die_VO","","Lolla_Start_VO","0","35","","80","80","","","35","116","190","250","80","150","270","270","","0","0","-100","-550","-250","60","120","Medium","-46","","100","","","TID_DUPLICATOR","","sc/ui.sc","hero_icon_lolla","1000","footstep","25","250","160","","","3","1","2","","","","","","","","","","","NitaTutorial","","","","","","","4","2","3","","","",""
"KickerDude","","","fang","KickerDudeWeapon","KickerDudeUlti","","770","4300","","","","","","","","","","","","12","","","","75","84","","","","","","Hero","","","KickerDudeDefault","MasteryKickerDude","","","","","","","","takedamage_gen","","death_luchador","true","Gen_move_fx","Fang_Reload","No_ammo_shotgungirl","Fang_Dryfire","","fang_hit_melee","","","","","","","","","","","","","","","","Fang_Kill_VO","Fang_Lead_VO","Fang_Start_VO","Fang_Ulti_VO","Fang_Hurt_VO","Fang_Die_VO","Fang_Atk_VO","Fang_Start_VO","2","50","","80","80","","","35","116","200","285","95","170","260","270","","","","-100","-400","-20","-20","145","Medium","-56","","400","","","TID_KICKER_DUDE","","sc/ui.sc","hero_icon_fang","0","footstep","40","250","130","","","1","3","2","","","","","","","","","","","PrimpTutorial","","","","","","","5","3","1","","","",""
"4f7b8a8fb970bd4cb356d59fd76bb5fb64e5797a","","true","shelly","ShotgunGirlWeapon","ShotgunGirlUlti","","770","3700","","","","","","","","","","","","12","","","","134","60","40","20","25","25","15","Hero","","","BanditGirlDefault","MasteryShotgunGirl","","","","","","","","takedamage_gen","","death_shotgun_girl","true","Gen_move_fx","reload_shotgun_girl","No_ammo_shotgungirl","Dry_fire_shotgungirl","","","","","","","","","","","","","","","","","","Shelly_Kill","Shelly_Lead","Shelly_Start","Utilshotgun_Vo","ShellyTakedamge_Vo","Shelly_Die","","Shelly_Start","2","30","","80","80","","","35","116","210","284","90","175","260","290","","","","","-400","-25","40","120","Medium","-48","","450","","","TID_SHOTGUN_GIRL","","sc/ui.sc","hero_icon_shelly","1000","footstep","25","250","200","","","1","3","2","","","","","","","","","","","ShellyTutorial","","","","","","","4","3","2","","","",""
"Flea","","","eve","FleaWeapon","FleaUlti","","720","2900","","","","","","","","","","","","12","","","","120","50","","","","","","Hero","","","FleaDefault","MasteryFlea","","","","","","","","takedamage_gen","","death_artillery_dude","true","Gen_move_fx","Flea_Reload_Sfx","No_ammo_shotgungirl","Flea_Dryfire_Sfx","","","","","","","","","","","","","","","","","","Flea_Kill_VO","Flea_Lead_VO","Flea_Start_VO","Flea_Ulti_VO","Flea_Hurt_VO","Flea_Die_VO","","Flea_Lead_VO","0","35","75","80","80","","","35","60","150","150","45","120","130","150","","0","0","-100","200","-50","80","120","Medium","-56","","400","","","TID_FLEA","","sc/ui.sc","hero_icon_eve","500","footstep","30","320","160","","","3","2","1","true","","","","","","","","","","PennyTutorial","","","9","","","","2","2","5","","","",""
"JetpackGirl","","","janet","JetpackGirlWeapon","JetpackGirlUlti","","720","3200","","","","","","","","","","","","12","","","","68","84","","","","","","Hero","","","JetpackGirlDefault","MasteryJetpackGirl","","","","","","","","takedamage_gen","","death_crow","true","Gen_move_fx","Janet_Reload_Sfx","No_ammo_shotgungirl","Janet_Dryfire_Sfx","","","","","","","","","","","","","","","","","","Janet_Kill_VO","Janet_Lead_VO","Janet_Start_VO","Janet_Ulti_VO","Janet_Hurt_VO","Janet_Die_VO","","Janet_Lead_VO","0","45","","80","80","","","35","100","180","240","75","145","245","250","","","","-200","-400","-10","20","120","Medium","-41","","100","","","TID_JETPACK_GIRL","","sc/ui.sc","hero_icon_janet","0","footstep","20","200","100","","","2","1","3","","","","","","","","","","","CrowTutorial","","","","","","","3","3","3","","","",""
"CannonGirl","","","bonnie","CannonGirlWeapon","CannonGirlUlti","CannonGirlSmall","620","4800","","","","","","","","","","","","12","","","","100","100","","","","","","Hero","","","CannonGirlDefault","MasteryCannonGirl","","","","","","","","takedamage_gen","","death_artillery_dude","true","Gen_move_fx","Otis_Reload_Sfx","","Otis_Dryfire_Sfx","","","","","","","","","","","","","","","","","","Bonnie_Kill_VO","Bonnie_Lead_VO","Bonnie_Start_VO","Bonnie_Ulti_VO","Bonnie_Hurt_VO","Bonnie_Die_VO","","Bonnie_Lead_VO","3","35","","80","80","","","35","116","200","270","90","180","260","260","","","","-800","200","-50","","120","Medium","-52","","500","","","TID_CANNON_GIRL","","sc/ui.sc","hero_icon_bonnie","300","footstep","25","500","100","","","2","3","1","","","","","","","","","","","CrowTutorial","","","","","","","5","2","2","","","",""
"Silencer","","","otis","SilencerWeapon","SilencerUlti","","720","3200","","","","","","","","","","","","12","","","","73","100","","","","","","Hero","","","SilencerDefault","MasterySilencer","","","","","","","","takedamage_gen","","death_shotgun_girl","true","Gen_move_fx","reload_sprout","No_ammo_shotgungirl","sprout_dryfire","","","","","","","","","","","","","","","","","","Otis_Kill_VO","Otis_Lead_VO","Otis_Start_VO","","Otis_Hurt_VO","Otis_Die_VO","","Otis_Start_VO","1","35","","80","80","","","35","240","460","460","75","145","460","600","","","","","","-10","20","120","Medium","-41","","500","","","TID_SILENCER","","sc/ui.sc","hero_icon_otis","0","footstep","20","200","100","","","2","1","3","","","","","","","","","","","CrowTutorial","","","","","","","3","2","4","","","",""
