"Name","InstanceID","LockedForChronos","Disabled","ItemName","WeaponSkill","UltimateSkill","OverchargedUltimateSkill","Pet","AltPet","MovementType","Speed","Hitpoints","Traits","Components","HealthPromilleLostPerSecond","HealPercentChange","LifeTimeTicks","SkipDeploy","MeleeAutoAttackSplashDamage","DelayTicksFirstAttack","AutoAttackSpeedMs","AutoAttackDamage","AutoAttackBulletsPerShot","AutoAttackMode","AutoAttackTicksBetweenBurstShots","AutoAttackProjectileSpread","AutoAttackProjectile","OverchargedAutoAttackProjectile","AutoAttackRange","RegeneratePerSecond","LowPriorityTarget","UltiUses","UltiChargeInitial","UltiChargeMul","UltiChargeUltiMul","OverchargeChargeMul","OverchargePassiveChargeMul","OverchargeChargeActiveMul","OverchargeDamagePercent","OverchargeSpeedPercent","OverchargeShieldPercent","Type","IsNeutral","IsBossPet","CarryableType","DefaultSkin","Mastery","BrawlerTrophyRewards","ManualRotations","FileName","BlueExportName","RedExportName","ShadowExportName","OverchargedEffect","OverchargedUseDefaultSkin","StatusEffect","AreaEffect","DeathAreaEffect","DeathOverchargedAreaEffect","TakeDamageEffect","KillEffect","DeathEffect","DeathEffectOvercharged","AllowDeathEffectOverride","MoveEffect","ReloadEffect","OutOfAmmoEffect","DryFireEffect","SpawnEffect","OverchargedSpawnEffect","MeleeHitEffect","AutoAttackStartEffect","BoneEffect1","BoneEffectUse1","BoneEffect2","BoneEffectUse2","BoneEffect3","BoneEffectUse3","BoneEffect4","BoneEffectUse4","BoneEffect5","BoneEffectUse5","BoneEffect6","BoneEffectUse6","LoopedEffect","LoopedEffect2","KillCelebrationSoundVO","InLeadCelebrationSoundVO","StartSoundVO","UseUltiSoundVO","TakeDamageSoundVO","DeathSoundVO","AttackSoundVO","UnlockVO","UnlockVOIndex","AttackStartEffectOffset","TwoWeaponAttackEffectOffset","ShadowScaleX","ShadowScaleY","ShadowX","ShadowY","ShadowSkew","Scale","HeroScreenScale","FitToBoxScale","EndScreenScale","GatchaScreenScale","HomeScreenScale","BattleIntroScale","ShowPetInHeroScreen","AlwaysShowWithPet","HeroScreenXOffset","HeroScreenZOffset","BattleIntroXOffset","BattleIntroZOffset","HeroScreenEmoteX","HeroScreenEmoteY","CollisionRadius","HealthBar","HealthBarOffsetY","FloorIndicatorScale","HealthBarScale","FlyingHeight","ProjectileStartZ","StopMovementAfterMS","WaitMS","TID","ClassArchetype","ForceAttackAnimationToEnd","IconSWF","IconExportName","EmblemExportName","RecoilAmount","FootstepClip","DifferentFootstepOffset","FootstepIntervalMS","AttackingWeaponScale","UseThrowingLeftWeaponBoneScaling","UseThrowingRightWeaponBoneScaling","CommonSetUpgradeBonus","RareSetUpgradeBonus","SuperRareSetUpgradeBonus","CanWalkOverWater","WaterFootstepEffect","UseColorMod","RedAdd","GreenAdd","BlueAdd","RedMul","GreenMul","BlueMul","ChargeUltiAutomatically","ChargeUltiFromDamage","ChargeUltiFromHealing","VideoLink","ShouldEncodePetStatus","SecondaryPet","IsExternalPet","ExtraMinions","PetAutoSpawnDelay","PetSpawnCount","PowerLevelsType","PowerLevelsSpeedBuff","OffenseRating","DefenseRating","UtilityRating","ShowHealInBattleEnd","OrbitingRadius","OrbitingAngularSpeed","UniqueProperty","UniquePropertyValue1","UniquePropertyValue2","ArenaOverrideMaxHpBuff","ArenaOverrideDmgBuff","ArenaOverrideSpeedBuff","ArenaOverrideReloadBuff","PetRotatable","HyperMoveEffect","HumanoidSpecies","BuddyCharacter","BossModeUltiRate","SpecialEventType","SpecialEventType2"
"SoulCollector","61","","","gus","SoulCollectorWeapon","SoulCollectorUlti","","","","","750","3300","","","","","","","","","","","","","","","","","12","","","","","94","100","35","","","5","20","5","Hero","","","","SoulCollectorDefault","MasterySoulCollector","TrophyRewardsSoulCollector","","","","","","","","","","","","takedamage_gen","","death_sniper","","true","gen_move_fx","gus_reload","no_ammo_shotgungirl","gus_dryfire","","","","","","","","","","","","","","","","","","","Gus_Kill_VO","Gus_Lead_VO","Gus_Start_VO","Gus_Ulti_VO","Gus_Hurt_VO","Gus_Die_VO","Gus_Atk_VO","Gus_Start_VO","","45","","80","80","","","35","140","230","320","100","190","290","290","","","","","-200","-200","","","120","Medium","-55","","","","450","","","TID_SOUL_COLLECTOR","support","","sc/hero_portraits.sc","hero_icon_gus","mastery_brawler_icon_gus","100","footstep","25","400","160","","","2","1","3","","","","","","","","","","","","","CrowTutorial","","","","","","","","","3","2","4","","","","IS_SOUL_COLLECTOR","3","","700","5","","","","","","SoulCollectorBuddy","","","ignoreHand;balloon_B_04_s;balloon_04_s"
"ShieldTank","62","","","buster","ShieldTankWeapon","ShieldTankUlti","","","","","800","5000","","","","","","","","","","","","","","","","","12","","","","","100","100","40","","","5","20","5","Hero","","","","ShieldTankDefault","MasteryShieldTank","TrophyRewardsShieldTank","","","","","","","","","ShieldTankSuperChargeArea","","","takedamage_gen","","death_rocket_girl","","true","gen_move_fx","buster_reload","no_ammo_shotgungirl","buster_dryfire","","","","","","","","","","","","","","","","","","","Buster_Kill_VO","Buster_Lead_VO","Buster_Start_VO","Buster_Ulti_VO","Buster_Hurt_VO","Buster_Die_VO","","Buster_Start_VO","3","35","","80","80","","","35","116","200","285","90","180","260","270","","","","","-100","-150","-50","","120","Medium","-52","","","","500","","","TID_SHIELD_TANK","tank","","sc/hero_portraits.sc","hero_icon_buster","mastery_brawler_icon_buster","300","footstep","25","500","100","","","2","1","3","","","","","","","","","","","","","CrowTutorial","","","","","","","","","3","5","1","","","","","","","","","","","","","","","170","",""
"Jester","63","","","chester","JesterWeapon","JesterUltiExploding","JesterOverchargedUlti","","","","800","3800","","","","","","","","","","","","","","","","","12","","","","","90","80","28","","","5","20","5","Hero","","","","JesterDefault","MasteryJester","TrophyRewardsJester","","","","","","","","","","","","takedamage_gen","","death_ninja","","true","gen_move_fx","chester_reload","no_ammo_shotgungirl","chester_dryfire","","","","","","","","","","","","","","","","","","","Chester_Kill_VO","Chester_Lead_VO","Chester_Start_VO","Chester_Ulti_VO","Chester_Hurt_VO","Chester_Die_VO","","Chester_Start_VO","2","50","","80","80","","","35","116","190","270","80","150","270","300","","","","","100","-750","","","120","Medium","-55","","","","450","","","TID_JESTER","damage_dealer","","sc/hero_portraits.sc","hero_icon_chester","mastery_brawler_icon_chester","","footstep","25","250","130","","","3","2","1","","","","","","","","","","","","","LeonTutorial","","","","","","","","","4","2","3","","","","IS_JESTER","","","","5","","","","","","","","","rattler_L_s;rattler_R_s;dragon_1_07_s;dragon_2_07_s"
"DoorMan","64","","","gray","DoorManWeapon","DoorManUlti","","","","","750","3400","","","","","","","","","","","","","","","","","12","","","","","100","87","40","","","5","20","5","Hero","","","","DoorManDefault","MasteryDoorMan","TrophyRewardsDoorMan","","","","","","","","","","","","takedamage_gen","","death_gunslinger","","true","gen_move_fx","gray_reload","no_ammo_shotgungirl","gray_dryfire","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","50","80","80","","","35","116","210","284","90","185","270","280","","","","","","-350","-30","40","120","Medium","-48","","","","400","","","TID_DOORMAN","support","","sc/hero_portraits.sc","hero_icon_gray","mastery_brawler_icon_gray","300","footstep","25","300","160","","","2","3","1","","","","","","","","","","","","","ColtTutorial","","","","","","","","","3","2","4","","","","","","","","6","","","","","","","200","","magehand_wrist_s"
"Beamer","65","","","mandy","BeamerWeapon","BeamerUlti","BeamerOverchargedUlti","","","","750","3000","","","","","","","","","","","","","","","","","12","","","","","83","80","35","","","5","20","5","Hero","","","","BeamerDefault","MasteryBeamer","TrophyRewardsBeamer","","","","","","","","","","","","takedamage_gen","","death_sniper","","true","gen_move_fx","reload_sniper","no_ammo_shotgungirl","minig_dryfire","","","","","","","","","","","","","","","","","","","Mandy_Kill_VO","Mandy_Lead_VO","Mandy_Start_VO","Mandy_Ulti_VO","Mandy_Hurt_VO","Mandy_Die_VO","","Mandy_Start_VO","","45","","80","80","","","35","116","200","290","90","190","260","270","","","","","100","-100","","","120","Medium","-46","","","","450","","","TID_BEAMER","marksman","","sc/hero_portraits.sc","hero_icon_mandy","mastery_brawler_icon_mandy","100","footstep","25","400","160","","","2","3","1","","","","","","","","","","","","","PiperTutorial","","","","","","","","","5","1","3","","","","IS_BEAMER","450","9","","7","","","","","","","125","",""
"Splitter","66","","","artie","SplitterWeapon","SplitterUlti","","SplitterLegs","","","750","4100","","Brawler_Splitter","","","","","","","","","","","","","","","12","","","","","145","100","25","","","5","20","5","Hero","","","","SplitterDefault","MasterySplitter","TrophyRewardsSplitter","","","","","","","","","","","","takedamage_gen","","death_arcade","","true","gen_move_fx","rt_reload","no_ammo_shotgungirl","rt_dryfire","","","","","","","","","","","","","","","","","","","RT_Kill_VO","RT_Lead_VO","RT_Start_VO","RT_Ulti_VO","RT_Hurt_VO","RT_Die_VO","","RT_Start_VO","2","57","","80","80","","","35","85","50","220","80","220","200","170","","","","","","600","","80","145","Medium","-43","","","","450","","","TID_SPLITTER","damage_dealer","","sc/hero_portraits.sc","hero_icon_artie","mastery_brawler_icon_rt","","footstep","30","400","100","","","1","3","2","","","","","","","","","","","","","","","","","","","","","","5","1","3","","","","IS_SPLITTER","1","","","3","","","","","","","","head_s","head_s"
"Puppeteer","67","","","willow","PuppeteerWeapon","PuppeteerUlti","","","","","750","3300","","","","","","","","","","","","","","","","","12","","","","","85","134","40","","","5","20","5","Hero","","","","PuppeteerDefault","MasteryPuppeteer","TrophyRewardsPuppeteer","","","","","","","","","","","","takedamage_gen","","death_shotgun_girl","","true","gen_move_fx","willow_reload","no_ammo_shotgungirl","willow_dryfire","","","","","","","","","","","","","","","","","","","Willow_Kill_VO","Willow_Lead_VO","Willow_Start_VO","Willow_Ulti_VO","Willow_Hurt_VO","Willow_Die_VO","","Willow_Start_VO","2","30","","80","80","","","35","116","210","284","90","175","260","280","","","","","-200","-400","-25","40","120","Medium","-48","","","","450","","","TID_PUPPETEER","controller","","sc/hero_portraits.sc","hero_icon_willow","mastery_brawler_icon_willow","1000","footstep","25","250","200","","","1","3","2","","","","","","","","","","","","","ShellyTutorial","","","","","","","","","4","3","2","","","","","","","","3","","","","","","","","","scrop_tail_4_s;scrop_tail_1_s"
"Maisie","68","","","maisie","MaisieWeapon","MaisieUlti","","","","","750","4000","","","","","","","","","","","","","","","","","12","","","","","70","125","40","","","5","20","5","Hero","","","","MaisieDefault","MasteryMaisie","TrophyRewardsMaisie","","","","","","","","","","","","takedamage_gen","","death_shotgun_girl","","true","gen_move_fx","maisie_reload","no_ammo_shotgungirl","maisie_dryfire","","","","","","","","","","","","","","","","","","","Maisie_Kill_VO","Maisie_Lead_VO","Maisie_Start_VO","Maisie_Ulti_VO","Maisie_Hurt_VO","Maisie_Die_VO","","Maisie_Start_VO","2","30","","80","80","","","35","145","220","320","90","310","330","290","","","","","30","70","-25","40","120","Medium","-48","","","","450","","","TID_MAISIE","marksman","","sc/hero_portraits.sc","hero_icon_maisie","mastery_brawler_icon_maisie","1000","footstep","25","250","200","","","1","3","2","","","","","","","","","","","","","ShellyTutorial","","","","","","","","","4","3","2","","","","","","","500","4","","","","","","","","","R_gun_s"
"FishTank","69","","","fishtank","FishTankWeapon","FishTankUlti","","","","","750","5500","","","","","","","","","","","","","","","","","12","","","","","50","87","40","","","5","20","5","Hero","","","","FishTankDefault","MasteryFishTank","TrophyRewardsFishTank","","","","","","","","","","","","takedamage_gen","","death_gunslinger","","true","gen_move_fx","","no_ammo_shotgungirl","hank_dryfire","","","","","","","","","","","","","","","","","","","Hank_Kill_VO","Hank_Lead_VO","Hank_Start_VO","Hank_Ulti_VO","Hank_Hurt_VO","Hank_Die_VO","","Hank_Start_VO","1","35","","80","80","","","35","85","175","175","90","185","175","175","","","","","160","-400","-30","40","145","Medium","-52","","","","400","","","TID_FISHTANK","tank","","sc/hero_portraits.sc","hero_icon_fishtank","mastery_brawler_icon_lilt","300","","","100","160","","","2","3","1","","","","","","","","","","","240","","ColtTutorial","","","","","","","","","3","4","2","","","","IS_FISHTANK","25","100","","","","","","","","","","","R_Fishtank_Wing_s;L_Fishtank_Wing_s;Fishtank_tail_s;Fishtank_cannon_s;Bulltank_Horns_s"
"Duelist","70","","","cordelius","DuelistWeapon","DuelistUlti","","","","","855","3500","","","","","","","","","","","","","","","","","12","","","","","90","100","25","","","5","20","5","Hero","","","","DuelistDefault","MasteryDuelist","TrophyRewardsDuelist","","","","","","","","DuelistShadowRealmSelfBuff","DuelistSuperChargeArea","","","takedamage_gen","","death_ninja","","true","gen_move_fx","cordelius_reload","no_ammo_shotgungirl","cordelius_dryfire","","","","","","","","","","","","","","","","","","","Cordelius_Kill_VO","Cordelius_Lead_VO","Cordelius_Start_VO","Cordelius_Ulti_VO","Cordelius_Hurt_VO","Cordelius_Die_VO","","Cordelius_Start_VO","2","50","","80","80","","","35","116","190","330","80","150","270","290","","","","","150","300","","","120","Medium","-55","","","","450","","","TID_DUELIST","assassin","","sc/hero_portraits.sc","hero_icon_cordelius","mastery_brawler_icon_cornelius","","footstep","25","250","130","","","3","2","1","","","","","","","","","","","","","LeonTutorial","","","","","","","","","5","1","2","","","","IS_DUELIST","10","20","400","3","","","","","","","","",""
"Reviver","71","","","doug","ReviverWeapon","ReviverUlti","","","","","800","5200","","","","","","","","","","","","","","","","","12","","","","","70","100","50","","","5","20","5","Hero","","","","ReviverDefault","MasteryReviver","TrophyRewardsReviver","","","","","","","","","","","","takedamage_gen","","death_shotgun_girl","","true","gen_move_fx","doug_reload","no_ammo_shotgungirl","doug_dryfire","","","","","","","","","","","","","","","","","","","Doug_Kill_VO","Doug_Lead_VO","Doug_Start_VO","Doug_Ulti_VO","Doug_Hurt_VO","Doug_Die_VO","","Doug_Start_VO","1","50","","80","80","","","35","110","230","252","90","230","230","230","","","","","-200","","","","145","Medium","-59","","","","450","","","TID_REVIVER","support","","sc/hero_portraits.sc","hero_icon_doug","mastery_brawler_icon_doug","400","footstep","25","300","130","","","1","2","3","","","","","","","","","","","","120","TaraTutorial","","","","","","","","","2","2","5","","","","IS_REVIVER","","","550","2","","200","","","","","","",""
"Cooker","72","","","pearl","CookerWeapon","CookerUlti","","","","","750","4300","","","","","","","","","","","","","","","","","12","","","","","93","100","40","","","5","20","5","Hero","","","","CookerDefault","MasteryCooker","TrophyRewardsCooker","","","","","","","","","","","","takedamage_gen","","death_arcade","","true","gen_move_fx","pearl_reload","no_ammo_shotgungirl","pearl_dryfire","","","","","cooker_def_smoke","CHARGE_UP_READY","","","","","","","","","","","","","Pearl_Kill_VO","Pearl_Lead_VO","Pearl_Start_VO","","Pearl_Hurt_VO","Pearl_Die_VO","Pearl_Atk_VO","Pearl_Start_VO","2","50","","80","80","","","35","90","220","230","70","200","200","200","","","-80","","200","100","","80","145","Medium","-50","","","","450","","","TID_COOKER","damage_dealer","","sc/hero_portraits.sc","hero_icon_pearl","mastery_brawler_icon_pearl","","footstep","30","400","130","","","1","3","2","","","","","","","","","","","","","","","","","","","","","","4","3","2","","","","IS_COOKER","9000","75","","","","","","","","","","head_s",""
"Conductor","73","","","chuck","ConductorWeapon","ConductorUltiSpawn","","","","","800","4400","ConductorStartWithFullUlti","Brawler_Conductor","","","","","","","","","","","","","","","12","","","4","","180","100","30","","","5","20","5","Hero","","","","ConductorDefault","MasteryConductor","TrophyRewardsConductor","","","","","","","","","","","","takedamage_gen","","death_luchador","","true","gen_move_fx","fang_reload","no_ammo_shotgungirl","fang_dryfire","","","fang_hit_melee","","","","","","","","","","","","","","","","Chuck_Kill_VO","Chuck_Lead_VO","Chuck_Start_VO","Chuck_Ulti_VO","Chuck_Hurt_VO","Chuck_Die_VO","","Chuck_Start_VO","2","50","","80","80","","","35","116","200","285","95","170","260","270","","","","","-100","-400","-20","-20","145","Medium","-56","","","","400","","","TID_CONDUCTOR","controller","","sc/hero_portraits.sc","hero_icon_chuck","mastery_brawler_icon_chuck","","","40","250","130","","","1","3","2","","","","","","","","","","","","","","","","","","","","","","4","3","2","","","","IS_CONDUCTOR","","","550","3","","","","","","ConductorBuddy","300","","WHEELCHAIR_main_s;stinger_02_s;stinger_04_s;R_claw_01_s;L_claw_01_s"
"Cocooner","74","","","charlie","CocoonerWeapon","CocoonerUlti","","CocoonerPet","","","750","3700","","","","","","","","","","","","","","","","","12","","","","","84","100","60","","","5","20","5","Hero","","","","CocoonerDefault","MasteryCocooner","TrophyRewardsCocooner","","","","","","","","","","","","takedamage_gen","","death_shotgun_girl","","true","gen_move_fx","charlie_reload","no_ammo_shotgungirl","charlie_dryfire","","","","","","","","","","","","","","","","","","","Charlotte_Kill_VO","Charlotte_Lead_VO","Charlotte_Start_VO","Charlotte_Ulti_VO","Charlotte_Hurt_VO","Charlotte_Die_VO","","Charlotte_Start_VO","2","30","","80","80","","","35","100","230","240","90","230","230","230","","","","","50","-150","-25","40","120","Medium","-48","","","","450","","","TID_COCOONER","controller","","sc/hero_portraits.sc","hero_icon_charlie","mastery_brawler_icon_charlotte","1000","footstep","25","250","200","","","1","3","2","","","","","","","","","","","","","ShellyTutorial","","","","","","","","","4","2","3","","","","IS_COCOONER","","","550","6","","","","","","","","","hair_10_s;R_UP_leg_02_s;L_UP_leg_02_s;L_DOWN_leg_02_s;R_DOWN_leg_02_s"
"Leaper","75","","","mico","LeaperWeapon","LeaperUlti","","","","","855","3500","","","","","","","","","","","","","","","","","12","","","","","76","50","50","","","5","20","5","Hero","","","","LeaperDefault","MasteryLeaper","TrophyRewardsLeaper","","","","","","","","","","","","takedamage_gen","","death_undertaker","","true","gen_move_fx","mico_reload","no_ammo_shotgungirl","mico_dryfire","","","mico_def_atk_hit","","","","","","","","","","","","","","","","Mico_Kill_VO","Mico_Lead_VO","Mico_Start_VO","Mico_Ulti_VO","Mico_Hurt_VO","Mico_Die_VO","","Mico_Start_VO","1","50","","80","80","","","35","130","200","285","95","170","260","260","","","","","-25","100","","20","120","Medium","-59","","","","350","","","TID_LEAPER","assassin","","sc/hero_portraits.sc","hero_icon_mico","mastery_brawler_icon_miko","","footstep","25","350","165","","","1","2","3","","","","","","","","","","","","","MortisTutorial","","","","","","","","","2","3","4","","","","IS_LEAPER","1000","","600","5","","250","","","","","150","",""
"Attacher","76","","","kit","AttacherWeapon","AttacherUlti","","","","","855","3100","","","","","","","","","","","","","","","","","12","","","","","80","100","30","","","5","20","5","Hero","","","","AttacherDefault","MasteryAttacher","TrophyRewardsAttacher","","","","","","","","AttacherUltiDot","","","","takedamage_gen","","death_shaman","","true","gen_move_fx","","no_ammo_shotgungirl","dry_fire_barkeep","","","kit_def_atk_hit","","","","","","","","","","","","","","","","Kit_Kill_VO","Kit_Lead_VO","Kit_Start_VO","Kit_Ulti_VO","Kit_Hurt_VO","Kit_Die_VO","Kit_Atk_VO","Kit_Start_VO","","35","","80","80","","","35","116","190","270","80","150","265","272","","","","","280","100","","","120","Medium","-46","","","","100","","","TID_ATTACHER","support","","sc/hero_portraits.sc","hero_icon_kit","mastery_brawler_icon_kit","1000","footstep","25","250","160","","","3","1","2","","","","","","","","","","200","","","NitaTutorial","","","","","","","","","3","4","2","","","","IS_ATTACHER","","","","","","","","","","","","",""
"Twins","77","","","twins","TwinsWeaponThrower","TwinsUlti","TwinsHyperUlti","TwinsPet","","","800","3000","","","","","","","","","","","","","","","","","20","","","","","72","100","39","","","5","20","5","Hero","","","","TwinsDefault","MasteryTwins","TrophyRewardsTwins","","","","","","","","","","","","takedamage_gen","","death_undertaker","","true","gen_move_fx","robotwin_reload","no_ammo_shotgungirl","robotwin_dryfire","","","","","","","","","","","","","","","","","","","Robotwin_Kill_VO","Robotwin_Lead_VO","Robotwin_Start_VO","Robotwin_Ulti_VO","Robotwin_Hurt_VO","Robotwin_Die_VO","","Robotwin_Start_VO","1","50","","80","80","","","35","116","200","285","95","170","260","260","true","true","500","","","","","20","120","Medium","-59","","","","350","","","TID_TWINS","artillery","","sc/hero_portraits.sc","hero_icon_twins","mastery_brawler_icon_twins","","footstep","25","350","165","","","1","2","3","","","","","","","","","","","","","MortisTutorial","","","","","","","","","2","3","4","","","","IS_TWIN","","","450","","","","","","","","140","",""
"AxeJuggler","78","","","melody","AxeJugglerWeapon","AxeJugglerUlti","","","","","750","4000","","","","","","","","","","","","","","","","","12","","","3","","180","100","25","","","5","20","5","Hero","","","","AxeJugglerDefault","MasteryAxeJuggler","TrophyRewardsAxeJuggler","","","","","","","","","","","","takedamage_gen","","death_shotgun_girl","","true","gen_move_fx","melodie_reload","no_ammo_shotgungirl","melodie_dryfire","","","","","","","","","","","","","","","","","","","Melodie_Kill_VO","Melodie_Lead_VO","Melodie_Start_VO","Melodie_Ulti_VO","Melodie_Hurt_VO","Melodie_Die_VO","","Melodie_Start_VO","7","30","","80","80","","","35","107","200","270","90","175","245","230","","","","","-120","-200","-25","40","120","Medium","-44","","","","450","","","TID_AXE_JUGGLER","assassin","","sc/hero_portraits.sc","hero_icon_melody","mastery_brawler_icon_melodie","1000","footstep","25","250","200","","","1","3","2","","","","","","","","","","","","","ShellyTutorial","","","","","","","","","5","2","2","","","","","","","","5","","","","","","","150","","head_s"
"InsectMan","79","","","angelo","InsectManWeapon","InsectManUlti","","","","","855","3100","","","","","","","","","","","","","","","","","12","","","","","70","100","35","","","5","20","5","Hero","","","","InsectManDefault","MasteryInsectMan","TrophyRewardsInsectMan","","","","","","","","","","","","takedamage_gen","","death_sniper","","true","gen_move_fx","angelo_reload","no_ammo_shotgungirl","angelo_dryfire","","","","","","","","","","","","","","","","","","","Angelo_Kill_VO","Angelo_Lead_VO","Angelo_Start_VO","Angelo_Ulti_VO","Angelo_Hurt_VO","Angelo_Die_VO","","Angelo_Start_VO","","45","","80","80","","","35","116","200","285","90","190","260","270","","","","","-100","-180","","","120","Medium","-46","","","","450","","","TID_INSECTMAN","marksman","","sc/hero_portraits.sc","hero_icon_angelo","mastery_brawler_icon_angelo","100","","25","400","160","","","2","3","1","true","","","","","","","","","","","","PiperTutorial","","","","","","","","","4","2","2","","","","IS_INSECTMAN","10","100","","","","","","","","","","",""
"DragonRider","80","","","draco","DragonRiderWeapon","DragonRiderUlti","","","","","750","5600","","DragonRider_MountUp","","","","","","","","","","","","","","","12","","","","","100","80","25","","","5","20","5","Hero","","","","DragonRiderDefault","MasteryDragonRider","TrophyRewardsDragonRider","","","","","","","","","","","","takedamage_gen","","death_artillery_dude","","true","gen_move_fx","draco_reload","no_ammo_shotgungirl","draco_dryfire","","","","","","","","","","","","","","","","","","","Draco_Kill_VO","Draco_Lead_VO","Draco_Start_VO","Draco_Ulti_VO","Draco_Hurt_VO","Draco_Die_VO","Draco_Atk_VO","Draco_Start_VO","4","35","","80","80","","","35","120","200","260","95","170","250","250","","","","600","-150","","","","120","Medium","-45","","","","400","","","TID_DRAGON_RIDER","tank","","sc/hero_portraits.sc","hero_icon_draco","mastery_brawler_icon_draco","500","footstep","20","200","160","","","3","2","1","","","","","","","","","","","240","","PennyTutorial","","","","","","","","","5","3","1","","","","DRAGON_RIDER","","","850","","","","","","","","125","","head_s_transform"
"Ambusher","81","","","lily","AmbusherWeapon","AmbusherUlti","","","","","855","4200","","","","","","","","","","","","","","","","","12","","","","","100","100","35","","","5","20","5","Hero","","","","AmbusherDefault","MasteryAmbusher","TrophyRewardsAmbusher","","","","","","","","","AmbusherSuperChargeArea","","","takedamage_gen","","death_rosa","","true","gen_move_fx","reload_rosa","no_ammo_shotgungirl","dry_fire_barkeep","","","","","","","","","","","","","","","","","","","","","","","","","","","2","50","","80","80","","","35","105","200","280","90","210","260","280","","","","","100","150","","50","120","Medium","-55","","","","400","","","TID_AMBUSHER","assassin","","sc/hero_portraits.sc","hero_icon_lily","mastery_brawler_icon_lili","","","","400","130","","","3","2","1","","","","","","","","","","","","","","","","","","","","","","3","2","4","","","","","","","400","3","","","","","","","","","flower_04_s"
"Painter","82","","","berry","PainterWeapon","PainterUlti","","","","","750","2600","","","","","","","","","","","","","","","","","12","","","","","75","60","40","","","5","20","5","Hero","","","","PainterDefault","MasteryPainter","TrophyRewardsPainter","","","","","","","","","","","","takedamage_gen","","death_barkeep","","true","gen_move_fx","berry_reload","no_ammo_shotgungirl","berry_dryfire","","","carl_def_ulti_hit","","","","","","","","","","","","","","","","Berry_Kill_VO","Berry_Lead_VO","Berry_Start_VO","Berry_Ulti_VO","Berry_Hurt_VO","Berry_Die_VO","","Berry_Start_VO","","","","80","80","","","35","100","175","220","80","150","205","220","","","","","","-200","-30","","120","Medium","-45","","","","350","","","TID_PAINTER","support","","sc/hero_portraits.sc","hero_icon_berry","mastery_brawler_icon_berry","","footstep","25","300","100","true","true","2","3","1","","","","","","","","","","","","100","","","","","","","","","","2","3","3","","","","PAINTER","","","450","2","","","","","","","","",""
"Crab","83","","","clancy","CrabWeapon1","CrabUlti1","","","","","750","3800","","","","","","","","","","","","","","","","","12","","","","","64","65","30","","","5","20","5","Hero","","","","CrabDefault","MasteryCrab","TrophyRewardsCrab","","","","","","","","","","","","takedamage_gen","","death_artillery_dude","","true","gen_move_fx","surge_reload","no_ammo_shotgungirl","surge_dryfire","","","","","","","","","","","","","","","","","","","Clancy_Kill_VO","Clancy_Lead_VO","Clancy_Start_VO","Clancy_Ulti_VO","Clancy_Hurt_VO","Clancy_Die_VO","Clancy_Atk_VO","Clancy_Start_VO","4","35","","80","80","","","35","58","128","125","60","115","140","120","","","","600","","500","","","120","Medium","-45","","","","400","","","TID_CRAB","damage_dealer","","sc/hero_portraits.sc","hero_icon_clancy","mastery_brawler_icon_clancy","500","footstep","20","200","160","","","3","2","1","","","","","","","","","","","","","","","","","","","","2","13","4","2","2","","","","","5","24","","1","","","","","","","65","",""
"Digger","84","","","digger","DiggerWeapon","DiggerUlti","","DiggerDrill","","","800","3600","","","","","","","","","","","","","","","","","12","","","","","80","100","30","","","5","20","5","Hero","","","","DiggerDefault","MasteryDigger","TrophyRewardsDigger","","","","","","","","","","","","takedamage_gen","","death_ninja","","true","gen_move_fx","reload_leon","no_ammo_shotgungirl","dry_fire_leon","","","","","","","","","","","","","","","","","","","Moe_Kill_VO","Moe_Lead_VO","Moe_Start_VO","Moe_Ulti_VO","Moe_Hurt_VO","Moe_Die_VO","Moe_Atk_VO","Moe_Kill_VO","3","35","","80","80","","","35","80","200","200","90","180","200","200","","","","","700","50","-50","","120","Medium","-52","","","","","","","TID_DIGGER","damage_dealer","","sc/hero_portraits.sc","hero_icon_digger","mastery_brawler_icon_digger","300","footstep","25","500","100","","","2","3","1","","","","","","","","","","","","","CrowTutorial","","","","","","","","","5","2","2","","","","","","","550","","","","","","","","","","drill_s"
"Samurai","85","","","samurai","SamuraiWeaponDash","SamuraiUlti","","","","","855","4000","SamuraiLifeSteal","","","","","","","","","","","","","","","","12","","","","","115","65","25","","","5","20","5","Hero","","","","SamuraiDefault","MasterySamurai","TrophyRewardsSamurai","","","","","","","","","","","","takedamage_gen","","death_undertaker","","true","gen_move_fx","kenji_reload","no_ammo_shotgungirl","kenji_dryfire","","","dummy_effect","","","","","","","","","","","","","","","","Kenji_Kill_VO","Kenji_Lead_VO","Kenji_Start_VO","Kenji_Ulti_VO","Kenji_Hurt_VO","Kenji_Die_VO","Kenji_Atk_VO","Kenji_Start_VO","1","50","","80","80","","","35","130","200","285","95","170","260","260","","","","","-100","-100","","20","120","Medium","-59","","","","350","","","TID_SAMURAI","assassin","","sc/hero_portraits.sc","hero_icon_samurai","mastery_brawler_icon_samurai","","footstep","25","350","165","","","1","2","3","","","","","","","","","","","","","","","","","","","","","","5","1","2","","","","SAMURAI","","","","","","","","","","","140","","robot_head_s"
