"Name","SpawnCondition","SpawnConditionData","BossTraits","SetupHpThresholds","VulnerableStateStartTicks","VulnerableStateDurationTicks","VulnerableStatusEffect","AwakeDistance","MovableTileUpDownLeftRight","EscapeDistance","NumSkills","AttackSkills","AttackMaxCount","AttackMaxCountIsExact","DamageIncrease","ProjectileSpeedIncrease","AttackPreDelayTicks","AttackCooldownTicks","AttackIndicatorStyles","AttackIndicatorAreaEffects","AttackIndicatorDistances","AttackIndicatorAddWidth","MoveStyle","SkipForWin","SpawnBossOnDeath","AutoDeathAfterAttackCycle","PlayLoseAnimOnDeath","CountToKill","PhaseNumber","DropPowerCubeCount","SpawnTeamMateTime","SkillTPCameraType","BattleIntroFrameLabel","BattleIntroTomlConfigId","BossModeNameTID","ChatSuggestionItemName","GameModeIconName","GameModeRoomIconName","ChargeRadiusMod","SpawnedPetRandomSkin","HideInMapPreview","EnrageEnabled","IgnoreBotTargeting","NextStageAnnouncementTID"
"MegaBossTrickshotBrawlentines2",,,"MB_Rico_BulletExplode_2",,250,100,"MegaBossVulnerableGen",10,"50;50;50;50",-1,6,"MegaBossTrickshot2PushAway;MegaBossTrickshot2Weapon;MegaBossTrickshot2DudeUlti;MegaBossTrickshot2WeaponSecond;MegaBossTrickshot2Dash;MegaBossTrickshot2UltraSuper","1;0;0;1;0;0","0;0;0;0;0;0",0,-15,"20;25;30;35;40;40","20;30;30;35;40;40","0;0;0;0;1;0","'-;-;-;-;MegaBossIndicatorLarge;-","0;-1;-1;-1;0;-1","0;120;180;250;0;400","1;1;1;1;1;1",,"MegaBossTrickshotBrawlentines3","FALSE",,"TRUE",,,-1,"0;0;0;0;0;0","boss_valentines_rico",,"TID_MEGA_BOSS_TITLE_GENERAL","chat_letsplay_boss_brawlentines_rico","event_icon_boss_brawlentines_rico","event_gameroom_boss_rico_brawlentines",,,,"TRUE",,"TID_MEGABOSS_INGAME_NEXT_STAGE"
,,,,,350,60,,,,,,,"1;0;0;1;0;0",,0,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,400,30,,,,,,,"1;0;0;1;0;0",,50,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;0;0;1;0;0",,75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;0;0;1;0;0",,100,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;0;0;1;0;0",,200,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MegaBossTrickshotBrawlentines3",,,"MB_Rico_BulletExplode_3",,250,100,"MegaBossVulnerableGen",10,"50;50;50;50",-1,6,"MegaBossTrickshot2PushAway;MegaBossTrickshot2Weapon;MegaBossTrickshot2DudeUlti;MegaBossTrickshot2WeaponSecond;MegaBossTrickshot2Dash;MegaBossTrickshot2UltraSuper","1;0;1;0;2;2","0;0;0;0;0;0",0,-15,"20;25;35;35;45;45","20;25;35;35;45;45","0;0;0;0;3;0","'-;-;-;-;-;-","0;-1;-1;-1;-1;-1","0;120;180;250;400;400","1;1;1;1;1;1",,,"FALSE","TRUE","TRUE",,,-1,"0;0;0;0;0;0","boss_valentines_rico",,"TID_MEGA_BOSS_TITLE_GENERAL","chat_letsplay_boss_brawlentines_rico","event_icon_boss_brawlentines_rico","event_gameroom_boss_rico_brawlentines",,,,"TRUE",,"TID_MEGABOSS_INGAME_NEXT_STAGE"
,,,,,350,60,,,,,,,"1;0;1;0;2;2",,0,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,400,30,,,,,,,"1;0;1;0;2;2",,50,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;0;1;0;2;2",,75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;0;1;0;2;3",,100,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;0;1;0;3;4",,200,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MegaBossMaisie",,,,,250,100,"MegaBossVulnerableGen",7,"50;50;50;50",-1,6,"MegaBossMaisiePushAway;MegaBossMaisieWeapon;MegaBossMaisieBigProjectile;MegaBossMaisieChargeBlast;MegaBossMaisieUlt;MegaBossMaisieCreateTurrets","0;2;1;1;0;0","0;0;0;0;0;0",0,-15,"20;18;22;38;20;25","20;15;20;30;25;25","0;0;0;3;0;0","-;-;-;-;-;-","-1;-1;-1;-1;0;-1","0;0;380;550;0;0","1;1;1;1;1;1",,,"FALSE","TRUE","TRUE",,,10,"0;0;0;0;0;0","boss_dragons_maisie","boss_dragons_maisie","TID_MEGA_BOSS_TITLE_DRAGON","chat_letsplay_boss_dragons_maisie","event_icon_boss_dragons_maisie","event_gameroom_boss_maisie_dragons",2,,,"TRUE",,
,,,,,350,60,,,,,,,"0;1;1;1;1;0",,50,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,400,30,,,,,,,"0;2;2;1;2;1",,75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;2;2;1;3;1",,100,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;3;2;1;4;2",,150,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;3;3;2;4;2",,200,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MegaBossNitaWithBearCustom",,,"MB_Nita_ProjectilSize",,250,100,"MegaBossVulnerableGen",20,"50;50;50;50",-1,4,"MegaBossNitaMelee;MegaBossNitaSummonBruceWithNitaCustom;MegaBossNitaWeapon;MegaBossNitaDefence","0;1;4;0","0;0;0;0",0,-15,"0;40;40;40","0;40;40;40","0;0;3;0","-;-;-;-","0;-1;-1;-1","0;0;500;0","1;1;1;1",,,"FALSE","TRUE","TRUE",,,-1,"0;0;0;0","boss_april_fools_nita","boss_april_fools_nita","TID_MEGA_BOSS_TITLE_APRIL_FOOLS","chat_letsplay_boss_april_fools_nita","event_icon_boss_april_fools_nita","event_gameroom_boss_nita_april_fools",,,,"TRUE",,
,,,,,350,60,,,,,,,"0;1;4;1",,50,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,400,30,,,,,,,"0;1;4;1",,75,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;2;4;2",,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;2;3;2",,150,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;3;3;2",,200,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MegaBossGrom",,,"MB_Grom_AreaEffectSize;MB_Grom_BulletSize",,250,100,"MegaBossVulnerableGen",7,"50;50;50;50",7,7,"MegaBossCrossBomberMelee;MegaBossCrossBomberWeapon;MegaBossCrossBomberWeaponSecond;MegaBossCrossBomberUlti;MegaBossCrossBombPet;MegaBossCrossBombWeapon360;MegaBossCrossBombUlti360","0;2;1;1;1;0;0","0;0;0;0;0;0;0",0,-15,"20;22;22;22;28;28;30","20;22;22;22;28;28;30","0;0;0;0;0;0;0","'-;-;-;-;-;-","-1;-1;-1;-1;-1;-1;-1","0;0;0;0;0;0;0","1;1;1;1;1;1;1",,,"FALSE","TRUE","TRUE",,,10,"0;0;0;0;0;0;0","boss_dragons_grom","boss_dragons_grom","TID_MEGA_BOSS_TITLE_DRAGON","chat_letsplay_boss_dragons_grom","event_icon_boss_dragons_grom","event_gameroom_boss_grom_dragons",,,,"TRUE",,
,,,,,350,60,,,,,,,"0;2;2;1;1;1;0",,50,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,400,30,,,,,,,"0;2;2;1;1;1;1",,75,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;2;2;2;2;2;1",,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;3;2;2;2;2;2",,150,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;3;3;3;3;2;3",,200,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MegaBossGriff",,,"MB_Griff_ProjectilSize",,250,100,"MegaBossVulnerableGen",7,"9;14;8;9",-1,8,"MegaBossAssaultShotgunMeleeBomb;MegaBossAssaultShotgunWeapon;MegaBossAssaultShotgunWeaponSecond;MegaBossAssaultShotgunWeaponThird;MegaBossAssaultShotgunWeaponForth;MegaBossAssaultShotgunUlti;MegaBossAssaultShotgunHCUlti;MegaBossAssaultShotgunBomb","1;1;1;1;1;1;0;0","0;0;0;0;0;0;0;0",0,-15,"15;5;5;5;20;30;40;20","15;5;5;5;25;25;25;55","0;0;0;0;0;0;0;0","''-;-;-;-;-;-;-;-","-1;-1;-1;-1;-1;-1;-1;-1","0;0;0;0;0;0;0;0","1;1;1;1;1;1;1;1",,,"FALSE","TRUE","TRUE",,,10,"0;0;0;0;0;0;0;0","boss_dragons_griff","boss_dragons_griff","TID_MEGA_BOSS_TITLE_DRAGON","chat_letsplay_boss_dragons_griff","event_icon_boss_dragons_griff","event_gameroom_boss_griff_dragons",,,,"TRUE",,
,,,,,350,60,,,,,,,"1;1;1;1;1;1;1;0",,50,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,400,30,,,,,,,"1;1;1;1;1;1;1;1",,75,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;1;1;1;2;2;1;1",,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;1;1;1;2;2;2;2",,150,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;1;1;1;3;3;3;2",,200,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MegaBossCrowDragonL1",,,"MB_DragonCrowL1_ProjectilSize",,250,100,"MegaBossVulnerableGen",3,"3;5;6;6",-1,3,"MegaBossDragonCrowMeleeL1;MegaBossDragonCrowWeaponL1;MegaBossDragonCrowWeaponSecondL1","0;1;1;0","0;0;0",0,-15,"20;20;25","20;20;25","0;0;0","'-;-;-","-1;-1;-1","0;0;0","1;1;1","TRUE",,"FALSE",,"TRUE",1,1,-1,"0;0;0","boss_dragons_crow3","boss_dragons_crow","TID_MEGA_BOSS_TITLE_DRAGON","chat_letsplay_boss_dragons_crow","event_icon_boss_dragons_crow","event_gameroom_boss_crow_dragons",,,,"TRUE",,
,,,,,350,60,,,,,,,"0;1;1;1",,50,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,400,30,,,,,,,"0;1;1;1",,75,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;1;1;1",,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;1;1;1",,150,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;1;1;1",,200,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MegaBossCrowDragonL2","OnDefeatBoss","MegaBossCrowDragonL1","MB_DragonCrowL2_ProjectilSize",,250,100,"MegaBossVulnerableGen",5,"3;6;7;7",-1,5,"MegaBossDragonCrowMeleeL2;MegaBossDragonCrowWeaponL2;MegaBossDragonCrowWeaponSecondL2;MegaBossDragonCrowDefenceL2;MegaBossDragonCrowDefenceL2","0;1;1;1;0","0;0;0;0;0",0,-15,"20;20;25;22;22","20;20;25;22;22","0;0;0;0;0","'-;-;-;-;-","-1;-1;-1;-1;-1","0;0;0;0;0","1;1;1;1;1","TRUE",,"FALSE",,"TRUE",2,2,-1,"0;0;0;0;0","boss_dragons_crow3","boss_dragons_crow","TID_MEGA_BOSS_TITLE_DRAGON","chat_letsplay_boss_dragons_crow","event_icon_boss_dragons_crow","event_gameroom_boss_crow_dragons",,,,"TRUE",,
,,,,,350,60,,,,,,,"0;1;1;1;1",,50,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,400,30,,,,,,,"0;1;1;1;1",,75,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;1;1;1;1",,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;2;2;1;1",,150,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;3;3;2;1",,200,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MegaBossCrowDragonL3","OnDefeatBoss","MegaBossCrowDragonL2","MB_DragonCrowL3_ProjectilSize;MB_Crow_FireBallAround;MB_Crow_ProjectileSpeed",,250,100,"MegaBossVulnerableGen",6,"3;14;12;12",-1,6,"MegaBossDragonCrowMeleeL3;MegaBossDragonCrowWeaponL3;MegaBossDragonCrowWeaponSecondL3;MegaBossDragonCrowFire360L3;MegaBossDragonCrowUltiL3;MegaBossDragonCrowSummon","0;1;1;1;0;0","0;0;0;0;0;0",0,-15,"20;16;18;20;25;35","20;16;18;20;25;35","0;0;3;0;1;0","''-;-;-;-;MegaBossCrowMidSizeIndicator;-","-1;-1;-1;-1;-1;-1","0;0;400;0;0;0","1;1;1;1;1;1",,,"FALSE","TRUE","TRUE",3,,-1,"0;0;0;0;0;0","boss_dragons_crow3","boss_dragons_crow","TID_MEGA_BOSS_TITLE_DRAGON","chat_letsplay_boss_dragons_crow","event_icon_boss_dragons_crow","event_gameroom_boss_crow_dragons",,,,"TRUE",,
,,,,,350,60,,,,,,,"0;2;2;2;1;0",,50,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,400,30,,,,,,,"0;2;2;2;2;1",,75,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;2;2;2;2;1",,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;2;2;3;3;1",,150,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;2;3;3;3;1",,200,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MegaBossBearWithNitaCustom",,,,,250,100,"MegaBossVulnerableGen",100,"50;50;50;50",-1,4,"MegaBossNitaMelee;MegaBossNitaSummonSmallBear;MegaBossNitaSummonSmallBear;MegaBossNitaSummonSmallBear","1;1;4;0","0;0;0;0",0,-15,"0;20;20;20","0;20;20;20","0;0;0;0","-;-;-;-","0;-1;-1;-1","0;0;0;0","1;1;1;1","TRUE",,"FALSE",,,,1,-1,"0;0;0;0","boss_april_fools_nita","boss_april_fools_nita","TID_MEGA_BOSS_TITLE_APRIL_FOOLS","chat_letsplay_boss_april_fools_nita","event_icon_boss_april_fools_nita","event_gameroom_boss_nita_april_fools",,,,"TRUE",,
,,,,,350,60,,,,,,,"1;1;4;1",,50,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,400,30,,,,,,,"1;2;4;1",,75,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;2;5;2",,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;2;5;2",,150,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;2;5;3",,200,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MegaBossCrowDragonL3Ghost1",,,"MB_DragonCrowL3_ProjectilSize",,250,100,"MegaBossVulnerableGen",50,"3;14;12;12",-1,6,"MegaBossDragonCrowMeleeL3;MegaBossDragonCrowWeaponL3;MegaBossDragonCrowWeaponSecondL3;MegaBossDragonCrowFire360L3;MegaBossDragonCrowUltiL3;MegaBossDragonCrowSummon","0;1;1;1;0;0","0;0;0;0;0;0",0,-15,"20;16;18;20;25;35","20;16;18;20;25;35","0;0;3;0;1;0","''-;-;-;-;MegaBossCrowMidSizeIndicator;-","-1;-1;-1;-1;-1;-1","0;0;400;0;0;0","1;1;1;1;1;1","TRUE",,"FALSE",,,,,-1,"0;0;0;0;0;0","boss_dragons_crow3","boss_dragons_crow","TID_MEGA_BOSS_TITLE_DRAGON","chat_letsplay_boss_dragons_crow","event_icon_boss_dragons_crow","event_gameroom_boss_crow_dragons",,,,"TRUE",,
,,,,,350,60,,,,,,,"0;2;2;2;1;0",,50,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,400,30,,,,,,,"0;2;2;2;2;0",,75,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;2;2;2;2;0",,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;2;2;3;3;0",,150,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;2;2;3;3;0",,200,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MegaBossChronomancerL1",,,"MB_FinxL1_ProjectilSize",,250,100,"MegaBossVulnerableGen",30,"50;50;50;50",-1,6,"MegaBossFinxPushAway;MegaBossFinxWeaponSkill;MegaBossFinxSpawnKittens;MegaBossFinxWeaponSkill;MegaBossFinxTimeStopShots;MegaBossFinxWeaponSkill","0;1;1;1;0;0","0;0;0;0;0;0",0,-15,"20;25;26;25;26;25","20;20;25;25;25;25","0;3;0;3;1;3","-;-;-;-;MegaBossWarning360;-","-1;-1;-1;-1;0;-1","0;400;0;400;0;400","1;1;1;1;1;1",,"MegaBossChronomancerL2","FALSE",,"TRUE",,,10,"0;0;0;0;0;0","boss_dragons_maisie","boss_starr_nova_finx","TID_MEGA_BOSS_TITLE_STARR_NOVA_BOSSES","chat_letsplay_boss_starr_nova_finx","event_icon_boss_starr_nova_finx","event_gameroom_boss_starr_nova_finx",,,,"TRUE",,
,,,,,350,60,,,,,,,"0;1;1;1;1;0",,50,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,400,30,,,,,,,"0;1;1;1;2;1",,75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;1;1;1;2;1",,100,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;1;1;1;2;1",,150,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;1;1;1;2;1",,200,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MegaBossChronomancerL2",,,"MB_FinxL2_ProjectilSize;MB_FinxL2_AreaSize",,250,100,"MegaBossVulnerableGen",30,"50;50;50;50",-1,7,"MegaBossFinxPushAway;MegaBossFinxReturnedWeaponSkill;MegaBossFinxTimebendSelf;MegaBossFinxCharge;MegaBossFinxReturnedWeaponSkill;MegaBossFinxTimeRift;MegaBossFinxReturnedSpawnKittens","0;1;1;1;1;0;0","0;0;0;0;0;0;0",0,-15,"20;25;15;25;25;20;22","18;18;22;18;23;23;22","0;3;0;3;3;1;0","-;-;-;-;-;MegaBossWarning360;-","-1;-1;-1;-1;-1;0;-1","0;400;0;0;400;0;0","1;1;1;1;1;1;1",,,"FALSE","TRUE","TRUE",,,10,"0;0;0;0;0;0;0","boss_dragons_maisie","boss_starr_nova_finx","TID_MEGA_BOSS_TITLE_STARR_NOVA_BOSSES","chat_letsplay_boss_starr_nova_finx","event_icon_boss_starr_nova_finx","event_gameroom_boss_starr_nova_finx",,"AttacherRareChroma1;AttacherRareChroma2;AttacherRareChroma3;AttacherRareChroma4;AttacherRareChroma5;AttacherRareChroma6",,"TRUE",,"TID_MEGABOSS_INGAME_NEXT_STAGE"
,,,,,350,60,,,,,,,"0;1;1;1;1;1;0",,50,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,400,30,,,,,,,"0;1;1;2;1;1;1",,75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;1;1;2;1;1;1",,100,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;1;2;2;2;2;1",,150,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;1;2;2;2;2;2",,200,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MegaBossPercenter",,,"MB_Colette_ProjectilSize",,250,100,"MegaBossVulnerableGen",15,"15;15;15;15",-1,6,"MegaBossCrossBomberMelee;MegaBossPercenterWeapon;MegaBossPercenterWeapon360;MegaBossPercenterWeaponLarge;MegaBossPercenterSpawnTurrent;MegaBossPercenterUlti","0;1;1;1;1;0","0;0;0;0;0;0",0,-15,"20;20;15;25;38;35","20;20;15;25;38;35","0;0;0;3;0;3","'-;-;-;-;-","-1;-1;-1;-1;-1;-1","0;0;0;0;100;400","1;1;1;1;1;1",,,"FALSE","TRUE","TRUE",,,10,"0;0;0;0;0;0","boss_dragons_grom","boss_starr_nova_colette","TID_MEGA_BOSS_TITLE_STARR_NOVA_BOSSES","chat_letsplay_boss_starr_nova_colette","event_icon_boss_starr_nova_colette","event_gameroom_boss_starr_nova_colette",,,,"TRUE",,
,,,,,350,60,,,,,,,"0;1;2;1;1;1",,50,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,400,30,,,,,,,"0;1;2;1;1;1",,75,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;1;2;2;2;2",,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;2;2;2;2;2",,150,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;2;3;3;3;2",,200,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MegaBossPercenterTurret",,,,,250,100,"MegaBossVulnerableGen",100,"15;15;15;15",-1,3,"MegaBossSplitterAtkPushAway;MegaBossPercenterTurrentSpawnPet;MegaBossPercenterTurrentSpawnPet","0;1;1","0;0;0",0,-15,"20;50;65","20;50;65","0;0;0","'-;-;-","-1;-1;-1","0;0;0","0;0;0","TRUE",,"FALSE",,,,2,-1,"0;0;0","boss_dragons_grom","boss_starr_nova_colette","TID_MEGA_BOSS_TITLE_STARR_NOVA_BOSSES","chat_letsplay_boss_starr_nova_colette","event_icon_boss_starr_nova_colette","event_gameroom_boss_starr_nova_colette",,,"TRUE","TRUE",,
,,,,,350,60,,,,,,,"0;1;1",,50,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,400,30,,,,,,,"0;1;1",,75,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;1;1",,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;1;1",,150,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;1;1",,200,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MegaBossFixStasisTower",,,"MB_FinxTowerUntargetable;MB_FinxTowerAreaSize",,250,100,"MegaBossVulnerableGen",7,"50;50;50;50",-1,3,"MegaBossFinxTowerPushAway;MegaBossFinxTowerStasis;MegaBossFinxTowerIdle","0;1;1","0;0;0",0,-15,"20;50;40","20;50;40","0;0;0","-;-;-","-1;0;0","0;0;0","1;1;1","TRUE",,"FALSE",,,,,10,"0;0;0","boss_dragons_maisie","boss_starr_nova_colette","TID_MEGA_BOSS_TITLE_STARR_NOVA_BOSSES","chat_letsplay_boss_starr_nova_colette","event_icon_boss_starr_nova_colette","event_gameroom_boss_starr_nova_colette",,,"TRUE","TRUE",,
,,,,,350,60,,,,,,,"0;1;1",,50,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,400,30,,,,,,,"0;1;1",,75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;1;1",,100,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;1;1",,150,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;1;1",,200,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MegaBossFixStasisTowerSecond",,,"MB_FinxTowerUntargetable;MB_FinxTowerAreaSize",,250,100,"MegaBossVulnerableGen",7,"50;50;50;50",-1,3,"MegaBossFinxTowerPushAway;MegaBossFinxTowerIdle;MegaBossFinxTowerStasis","0;1;1","0;0;0",0,-15,"20;40;50","20;40;50","0;0;0","-;-;-","-1;0;0","0;0;0","1;1;1","TRUE",,"FALSE",,,,,10,"0;0;0","boss_dragons_maisie","boss_starr_nova_colette","TID_MEGA_BOSS_TITLE_STARR_NOVA_BOSSES","chat_letsplay_boss_starr_nova_colette","event_icon_boss_starr_nova_colette","event_gameroom_boss_starr_nova_colette",,,"TRUE","TRUE",,
,,,,,350,60,,,,,,,"0;1;1",,50,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,400,30,,,,,,,"0;1;1",,75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;1;1",,100,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;1;1",,150,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;1;1",,200,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MegaBossBlackhole",,,"MB_Colette_ProjectilSize",,250,100,"MegaBossVulnerableGen",15,"15;15;15;15",-1,7,"MegaBossBlackHolePushAway;MegaBossBlackHoleWeapon;MegaBossBlackHoleSpreadAttack;MegaBossBlackHoleUltiShield;MegaBossBlackHoleGravityWells;MegaBossBlackHoleUltiExplodingPet;MegaBossBlackHoleBoomerangWells","1;2;1;0;0;0;1","0;0;0;0;0;0;0",0,-15,"20;20;25;15;20;25;15","20;20;25;35;20;25;35","0;3;4;1;0;1;0","-;-;-;MegaBossWarning360;MegaBossWarning360;MegaBossWarning360;-","-1;-1;-1;0;0;0;5000","0;400;0;0;0;0;0","1;1;1;1;1;1;1",,,"FALSE","TRUE","TRUE",,,10,"0;0;0;0;0;0;0","boss_dragons_grom","boss_nano_tara","TID_MEGA_BOSS_TITLE_NANO_BOSSES","chat_letsplay_boss_nano_tara","event_icon_boss_nano_tara","event_gameroom_boss_nano_tara",,,,"TRUE",,
,,,,,350,60,,,,,,,"1;2;1;1;0;0;1",,50,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,400,30,,,,,,,"1;2;2;1;0;1;1",,75,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;2;2;1;0;1;1",,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;2;2;1;0;1;1",,150,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;2;2;1;0;1;1",,200,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
