"Name","Type","SubType","Cooldown","UseEffect","PetUseEffect","LoopingEffect","LoopingEffectPet","ActivationDelay","ActiveTicks","ShowCountdown","StopMovement","StopPetForDelay","AnimationIndex","SetAttackAngle","AimGuideType","ConsumesAmmo","StatusEffectAlly","StatusEffectEnemy","AreaEffect","PetAreaEffect","InterruptsAction","AllowStunActivation","Interruptable","RequirePetDistance","DestroyPet","Range","RequireEnemyInRange","TargetFriends","TargetIndirect","ShieldPercent","ShieldTicks","SpeedBoost","SpeedBoostTicks","SkipTypeCondition","UsableDuringCharge","UsableInShadowRealm","CustomObject","CustomObject2","CustomValue1","CustomValue2","CustomValue3","CustomValue4","CustomValue5","CustomValue6","MissingTargetText","TargetTooFarText","TargetAlreadyActiveText","RequiresSpecificActionText","CustomBlockText"
"SoulCollector_SelfDamage","take_damage","3","200","gadget_activate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","100","","","","","TID_ACCESSORY_BLOCKED_REQUIRES_HEALTH","TID_ACCESSORY_BLOCKED_SPIRIT_ALREADY_FULL","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"ShieldTank_Heal","heal","6","320","gadget_activate","","","","","","","","","","","","","","","ShieldTankHeal","","","","","","","","","","","","","","","","","","","","","","","","","","TID_ACCESSORY_BLOCKED_SUPER_REQUIRED","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"ShieldTank_Pull","next_attack_change","7","340","gadget_activate","","gadget_on_loop","","","100000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","150","","250","","","","","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"Jester_ReRollUlti","random_ulti","","240","gadget_activate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TID_ACCESSORY_BLOCKED_SUPER_REQUIRED","","","",""
"Jester_RandomBuff","random_buff","","300","gadget_activate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","25","420","200","150","","","","","",""
"DoorMan_Puller","next_attack_change","17","400","gadget_activate","","gadget_on_loop","","","100000","","","","","","","","","","","","","","","","","14","","","","","","","","","","","DoorManCaneGadgetProjectile","","","","","","","","","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"DoorMan_DamageDrop","next_attack_change","8","280","gadget_activate","","gadget_on_loop","","","100000","","","","","","","","","","DoorManDamageDropWarning","","","","","","","","","","","","","","","","","","","","","1","","","","","","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"Beamer_Slow","next_attack_change","7","260","gadget_activate","","gadget_on_loop","","","100000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","350","50","1","","","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"Beamer_Pierce","next_attack_change","16","320","gadget_activate","","gadget_on_loop","","","100000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"Splitter_ChargeUlti","charge_ulti","","400","gadget_activate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","","","","","",""
"Splitter_TriggerTags","trigger_tags","","300","gadget_activate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SplitterTagExplosion","","","","","","","","","","","",""
"Puppeteer_MoreDamage","next_attack_change","18","260","gadget_activate","","gadget_on_loop","","","100000","","","","","","","","","","PuppeteerPoisonAlternative","","","","","","","","","","","","","","","","","","","","25","","","","","","","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"Puppeteer_Dive","dive","","320","gadget_activate","","","","","40","","true","","","","","","","","PuppeteerDive","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Maisie_Dash","dash","","320","gadget_activate","","gadget_max_dash","","","8","","","","","","1","","","","MaisieDashArea","","","","","","","","","","","","","","","","","","","","800","3000","","","","","","","","",""
"Maisie_ReloadAndDamage","next_attack_change","19","200","gadget_activate","","gadget_on_loop","","","100000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","30","","","","","","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"FishTank_Slow","next_attack_change","20","220","gadget_activate","","gadget_on_loop","","","100000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60","350","","","","","","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"FishTank_Shield","","","300","gadget_activate","","","","","","","","","","","","","","","","","","","","","","","","","","40","60","","","","","","","","","","","","","","","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"Duelist_Jump","jump","","360","gadget_activate","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","150","50","","","","","","","","",""
"Duelist_Silence","next_attack_change","2","360","gadget_activate","","gadget_on_loop","","","100000","","","","","","","","","","","","","","","","","","","","","","","","","","","","DuelistSilenceProjectile","","","200","","","","","","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"Reviver_OnlyDoubleHeal","next_attack_change","21","300","gadget_activate","","gadget_on_loop","","","100000","","","","","","","","","","","","","","","","","","","","","","","","","","","","ReviverDamageAreaDoubleHeal","","","","","","","","","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"Reviver_OnlyDoubleDamage","next_attack_change","21","300","gadget_activate","","gadget_on_loop","","","100000","","","","","","","","","","","","","","","","","","","","","","","","","","","","ReviverDamageAreaDoubleDamage","","","","","","","","","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"Cooker_Poison","next_attack_change","23","300","gadget_activate","","gadget_on_loop","","","100000","","","","","","","","","CookerGadgetDot","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"Cooker_Healing","next_attack_change","24","220","gadget_activate","","gadget_on_loop","","","100000","","","","","","","","CookerGadgetHot","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"Conductor_RemoveSign","remove_item_and_ulti","1","200","gadget_activate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","","TID_ACCESSORY_BLOCKED_MISSING_SIGN","","TID_ACCESSORY_BLOCKED_ULTI_ALREADY_CHARGED","",""
"Conductor_PassWalls","ulti_change","7","340","gadget_activate","","","","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TID_ACCESSORY_BLOCKED_SUPER_REQUIRED","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"Cocooner_SpawnPets","spawn","5","360","gadget_activate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CocoonerPet","","3","350","","","","","","","","",""
"Cocooner_CocoonSelf","cocoon_self","","300","gadget_activate","","","","","40","","true","","","","","","","","","","true","","","","","","","","","","","","","","","","CocoonerCocoon","","50","100","","","","","","","TID_ACCESSORY_BLOCKED_ALREADY_COCOONED","",""
"Leaper_Shotgun","repeat_shot","5","300","gadget_activate","","","","","5","","","","1","true","4","","","","","","","","","","","9","true","","","","","","","","","","LeaperShotgunProjectile","","5","25","3","40","","","","","","",""
"Leaper_LongerJump","next_attack_change","25","280","gadget_activate","","","","","100000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34","","","","","","","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"Attacher_Cardboardbox","invisible","1","400","kit_def_gadget","","kit_def_gadget_loop","","","60","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","","","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"Attacher_Cheeseburger","heal_attached_and_self","","300","gadget_activate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","","","","","","TID_ACCESSORY_BLOCKED_NOT_ATTACHED","","","",""
"Twins_SwapSkill","swap_skill_with_pet","","240","gadget_activate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TID_ACCESSORY_BLOCKED_MISSING_TWIN","","","",""
"Twins_Dash","dash","2","340","gadget_activate","","gadget_max_dash","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","800","3000","25","","","","TID_ACCESSORY_BLOCKED_MISSING_TWIN","","","",""
"AxeJuggler_ProjectileSpeed","chained_proj_speed","","280","gadget_activate","","gadget_on_loop","","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","60","","","","","TID_AXE_JUGGLER_ACCESSORY_BLOCKED_MISSING_NOTES","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"AxeJuggler_Shield","consumable_shield","1","380","gadget_activate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","140","","","","","TID_AXE_JUGGLER_ACCESSORY_BLOCKED_MISSING_NOTES","","TID_ACCESSORY_BLOCKED_SHIELD_ALREADY_ACTIVE","",""
"InsectMan_Fly","activate_skill","","360","gadget_activate","","gadget_on_loop","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","InsectManChargeGadget","","","","","","","","","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"InsectMan_Pierce","next_attack_change","16","280","gadget_activate","","gadget_on_loop","","","100000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"DragonRider_KnockUp","next_attack_change","27","220","gadget_activate","","gadget_on_loop","","","100000","","","","","","","","","","","","","","","","","7","","","","","","","","","","","","","20","50","","","","","","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"DragonRider_LastStand","give_buff_to_self","","440","gadget_activate","","","","","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","","","","","","","","","",""
"Ambusher_ShadowRealm","shadowrealm_transfer_self","","440","gadget_activate","","","","","5","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","60","","","","","","","","","",""
"Ambusher_TeleportGrenade","ulti_change","8","200","gadget_activate","","","","","100000","","","","","","","","","","","","","","","","","","","","","","","","","","","","AmbusherUlti2","","","","","","","","TID_ACCESSORY_BLOCKED_SUPER_REQUIRED","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"Painter_Push","spin_shoot","","340","gadget_activate","","","","","8","","","","1","","1","","","","PainterAccessoryArea","","true","","","","","","","","","","","","","","","","","","100","","","","","","","","","",""
"Painter_AreaDuration","next_attack_change","28","240","gadget_activate","","gadget_on_loop","","","100000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","","","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"Crab_DoubleTokens","give_buff_to_self","","300","gadget_activate","","","","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","2","","","","","","","TID_ACCESSORY_BLOCKED_ALREADY_MAX_LEVEL","",""
"Crab_Dash","dash","3","320","gadget_activate","","gadget_max_dash","","","8","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","1000","3000","100","","","","","","","",""
"Digger_Treasure","give_buff_to_self","","260","digger_dig_treasure","","","","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","50","","","","","TID_ACCESSORY_BLOCKED_CANT_BE_DRILL","","","",""
"Digger_Dash","dash","4","320","gadget_activate","","gadget_max_dash","","","8","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","1000","2000","100","","","","TID_ACCESSORY_BLOCKED_MUST_BE_DRILL","","","",""
"Samurai_OneAttackOnly","give_buff_to_self","","300","gadget_activate","","","","","60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","","","","","","","","","",""
"Samurai_HealDamageTaken","heal_damage_taken","","340","samurai_def_gadget2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60","50","","","","","","","TID_ACCESSORY_BLOCKED_NO_DAMAGE_TAKEN","",""
"Ghost_IncreasedRange","next_attack_change","25","300","gadget_activate","","gadget_on_loop","","","100000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","","","","","","","","","",""
"Ghost_Spooky","","","180","gadget_activate","","","","","","","","","","","","","","","GhostSpookyArea","","","","","","","","","","","","","","","","","","","","60","75","","","","","","","","",""
"Voodoo_AllBuffsAttack","swap_weapon_skill","","280","gadget_activate","","gadget_on_loop","","","100000","","","","","","","","","","","","","","","","","","","","","","","","","","","","VoodooWeaponAll","","","","","","","1","","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"Voodoo_SelfBuff","voodoo_self_buff","","340","gadget_activate","","","","","60","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60","","","","","","","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"Lightyear_Accessory","dash","","200","gadget_activate","","gadget_max_dash","","","8","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","1300","3000","","","","","","","","",""
"Skater_Jump","dash","5","400","ollie_def_ulti_trail","","","","","","","","","","","","","","SkaterGadgetJumpTaunt","","","","","","","","","","","","","","","","","","","SkaterGadgetTaunt","","1100","3500","","","","","","","","",""
"Skater_ProjectileTaunt","next_attack_change","2","300","gadget_activate","","gadget_on_loop","","","100000","","","","","","","","","SkaterGadgetProjectileTaunt","","","","","","","","","","","","","","","","","","","SkaterProjectileTaunt","","","","","","","","","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"Meeple_WallAttack","swap_weapon_skill","","440","gadget_activate","","gadget_on_loop","","","100000","","","","","","","","","","","","","","","","","","","","","","","","","","","","MeepleWallWeapon","","","","","","","1","","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"Meeple_RageQuit","","","360","gadget_activate","","","","","","","","","","","","","","","MeepleRageQuitArea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Morningstar_Fire","spawn","7","280","gadget_activate","","","","","","","","","","","","","","","MorningstarFireGadgetArea","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","",""
"Morningstar_Ice","spawn","7","360","gadget_activate","","","","","","","","","","","","","","","MorningstarIceGadgetArea","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","",""
"Chronomancer_Time","rewind","2","360","gadget_activate","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","FinxTeleport","ChronomancerTimeRewindLocation","60","","","","","","","","","",""
"Chronomancer_ProjectileStasis","next_attack_change","2","340","gadget_activate","","gadget_on_loop","","","100000","","","","","","","","","ChronomancerGadgetProjectileStasis","","","","","","","","","","","","","","","","","","","ChronomancerProjectileStasis","","","","","","","","","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"Alternator_DamageMode","swap_weapon_skill","1","300","gadget_activate","","gadget_on_loop","","","100","","","","","","","","","","AlternatorDamageAura","","","","","","","","","","","","","","","","","","AlternatorWeaponDamage","","","","","","","","","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"Alternator_SlowMode","swap_weapon_skill","1","300","gadget_activate","","gadget_on_loop","","","100","","","","","","","","","","AlternatorSlowAura","","","","","","","","","","","","","","","","","","AlternatorWeaponSlow","","","","","","","","","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"Geisha_Gadget_0","change_character","0","120","gadget_activate","","","","","","","","","","","","","","","GeishaTransformEffect","","true","","","","","","","","","","","","","","","","Geisha","GeishaTransformed","","","","","","","","","","",""
"Geisha_Gadget_1","change_character","1","120","gadget_activate","","","","","","","","","","","","","GeishaTransformSpeedBoost","","GeishaTransformEffect","","true","","","","","","","","","","","","","","","","Geisha","GeishaTransformed","30","","","","","","","","","",""
"Geisha_Gadget_2","change_character","2","120","gadget_activate","","","","","","","","","","","","","GeishaTransformInvisibility","","GeishaTransformEffect","","true","","","","","","","","","","","","","","","","Geisha","GeishaTransformed","1000","3000","100","","","","","","","",""
