Name,TypeName,Type,GemPrice,BlingPrice,TicketPrice,RecruitTokenPrice,Reward,Weight1,Weight2,Weight3,Weight4,Weight5,Weight6,Group,Category,GuaranteedDrop,DrawTimes,CanDropWhenUnreleased
,,,,,,,Brawler Mythic UnpaidBox,23534,23534,23534,23534,23534,23534,3,,0,,
,,,,,,,Brawler Legendary UnpaidBox,10409,10609,10809,11009,11209,11409,3,,0,,
,,,,,,,Gadget,40000,40000,40000,40000,40000,40000,3,,0,,
,,,,,,,Star Power,20000,20000,20000,20000,20000,20000,3,,0,,
,,,,,,,Overcharge,2000,2000,2000,2000,2000,2000,3,,0,,
,,,,,,,Brawler Rare Perfect,250,250,250,250,250,250,3,,0,,
,,,,,,,Brawler Super Rare Perfect,225,225,225,225,225,225,3,,0,,
,,,,,,,Brawler Epic Perfect UnpaidBox,200,200,200,200,200,200,3,,0,,
,,,,,,,Brawler Mythic Perfect UnpaidBox,175,175,175,175,175,175,3,,0,,
,,,,,,,Brawler Legendary Perfect UnpaidBox,150,150,150,150,150,150,3,,0,,
,,,,,,,Coins S,4178122,4178022,4178022,4177922,4177922,4177822,4,,0,,
,,,,,,,Coins M,464292,464292,464192,464192,464092,464092,4,,0,,
,,,,,,,Power Points S,4178122,4178022,4178022,4177922,4177922,4177822,4,,0,,
,,,,,,,Power Points M,464292,464292,464192,464192,464092,464092,4,,0,,
,,,,,,,Brawler Rare,452584,452584,452584,452584,452584,452584,4,,0,,
,,,,,,,Brawler Super Rare,114051,114051,114051,114051,114051,114051,4,,0,,
,,,,,,,Brawler Epic UnpaidBox,51594,51594,51594,51594,51594,51594,4,,0,,
,,,,,,,Brawler Mythic UnpaidBox,23534,23534,23534,23534,23534,23534,4,,0,,
,,,,,,,Brawler Legendary UnpaidBox,10409,10609,10809,11009,11209,11409,4,,0,,
,,,,,,,Gadget,40000,40000,40000,40000,40000,40000,4,,0,,
,,,,,,,Star Power,20000,20000,20000,20000,20000,20000,4,,0,,
,,,,,,,Overcharge,2000,2000,2000,2000,2000,2000,4,,0,,
,,,,,,,Brawler Rare Perfect,250,250,250,250,250,250,4,,0,,
,,,,,,,Brawler Super Rare Perfect,225,225,225,225,225,225,4,,0,,
,,,,,,,Brawler Epic Perfect UnpaidBox,200,200,200,200,200,200,4,,0,,
,,,,,,,Brawler Mythic Perfect UnpaidBox,175,175,175,175,175,175,4,,0,,
,,,,,,,Brawler Legendary Perfect UnpaidBox,150,150,150,150,150,150,4,,0,,
,,,,,,,Coins S,4178122,4178022,4178022,4177922,4177922,4177822,5,,0,,
,,,,,,,Coins M,464292,464292,464192,464192,464092,464092,5,,0,,
,,,,,,,Power Points S,4178122,4178022,4178022,4177922,4177922,4177822,5,,0,,
,,,,,,,Power Points M,464292,464292,464192,464192,464092,464092,5,,0,,
,,,,,,,Brawler Rare,452584,452584,452584,452584,452584,452584,5,,0,,
,,,,,,,Brawler Super Rare,114051,114051,114051,114051,114051,114051,5,,0,,
,,,,,,,Brawler Epic UnpaidBox,51594,51594,51594,51594,51594,51594,5,,0,,
,,,,,,,Brawler Mythic UnpaidBox,23534,23534,23534,23534,23534,23534,5,,0,,
,,,,,,,Brawler Legendary UnpaidBox,10409,10609,10809,11009,11209,11409,5,,0,,
,,,,,,,Gadget,40000,40000,40000,40000,40000,40000,5,,0,,
,,,,,,,Star Power,20000,20000,20000,20000,20000,20000,5,,0,,
,,,,,,,Overcharge,2000,2000,2000,2000,2000,2000,5,,0,,
,,,,,,,Brawler Rare Perfect,250,250,250,250,250,250,5,,0,,
,,,,,,,Brawler Super Rare Perfect,225,225,225,225,225,225,5,,0,,
,,,,,,,Brawler Epic Perfect UnpaidBox,200,200,200,200,200,200,5,,0,,
,,,,,,,Brawler Mythic Perfect UnpaidBox,175,175,175,175,175,175,5,,0,,
,,,,,,,Brawler Legendary Perfect UnpaidBox,150,150,150,150,150,150,5,,0,,
,,,,,,,Coins S,4178122,4178022,4178022,4177922,4177922,4177822,6,,0,,
,,,,,,,Coins M,464292,464292,464192,464192,464092,464092,6,,0,,
,,,,,,,Power Points S,4178122,4178022,4178022,4177922,4177922,4177822,6,,0,,
,,,,,,,Power Points M,464292,464292,464192,464192,464092,464092,6,,0,,
,,,,,,,Brawler Rare,452584,452584,452584,452584,452584,452584,6,,0,,
,,,,,,,Brawler Super Rare,114051,114051,114051,114051,114051,114051,6,,0,,
,,,,,,,Brawler Epic UnpaidBox,51594,51594,51594,51594,51594,51594,6,,0,,
,,,,,,,Brawler Mythic UnpaidBox,23534,23534,23534,23534,23534,23534,6,,0,,
,,,,,,,Brawler Legendary UnpaidBox,10409,10609,10809,11009,11209,11409,6,,0,,
,,,,,,,Gadget,40000,40000,40000,40000,40000,40000,6,,0,,
,,,,,,,Star Power,20000,20000,20000,20000,20000,20000,6,,0,,
,,,,,,,Overcharge,2000,2000,2000,2000,2000,2000,6,,0,,
,,,,,,,Brawler Rare Perfect,250,250,250,250,250,250,6,,0,,
,,,,,,,Brawler Super Rare Perfect,225,225,225,225,225,225,6,,0,,
,,,,,,,Brawler Epic Perfect UnpaidBox,200,200,200,200,200,200,6,,0,,
,,,,,,,Brawler Mythic Perfect UnpaidBox,175,175,175,175,175,175,6,,0,,
,,,,,,,Brawler Legendary Perfect UnpaidBox,150,150,150,150,150,150,6,,0,,
,,,,,,,Coins S,4178122,4178022,4178022,4177922,4177922,4177822,7,,0,,
,,,,,,,Coins M,464292,464292,464192,464192,464092,464092,7,,0,,
,,,,,,,Power Points S,4178122,4178022,4178022,4177922,4177922,4177822,7,,0,,
,,,,,,,Power Points M,464292,464292,464192,464192,464092,464092,7,,0,,
,,,,,,,Brawler Rare,452584,452584,452584,452584,452584,452584,7,,0,,
,,,,,,,Brawler Super Rare,114051,114051,114051,114051,114051,114051,7,,0,,
,,,,,,,Brawler Epic UnpaidBox,51594,51594,51594,51594,51594,51594,7,,0,,
,,,,,,,Brawler Mythic UnpaidBox,23534,23534,23534,23534,23534,23534,7,,0,,
,,,,,,,Brawler Legendary UnpaidBox,10409,10609,10809,11009,11209,11409,7,,0,,
,,,,,,,Gadget,40000,40000,40000,40000,40000,40000,7,,0,,
,,,,,,,Star Power,20000,20000,20000,20000,20000,20000,7,,0,,
,,,,,,,Overcharge,2000,2000,2000,2000,2000,2000,7,,0,,
,,,,,,,Brawler Rare Perfect,250,250,250,250,250,250,7,,0,,
,,,,,,,Brawler Super Rare Perfect,225,225,225,225,225,225,7,,0,,
,,,,,,,Brawler Epic Perfect UnpaidBox,200,200,200,200,200,200,7,,0,,
,,,,,,,Brawler Mythic Perfect UnpaidBox,175,175,175,175,175,175,7,,0,,
,,,,,,,Brawler Legendary Perfect UnpaidBox,150,150,150,150,150,150,7,,0,,
,,,,,,,Coins S,4178122,4178022,4178022,4177922,4177922,4177822,8,,0,,
,,,,,,,Coins M,464292,464292,464192,464192,464092,464092,8,,0,,
,,,,,,,Power Points S,4178122,4178022,4178022,4177922,4177922,4177822,8,,0,,
,,,,,,,Power Points M,464292,464292,464192,464192,464092,464092,8,,0,,
,,,,,,,Brawler Rare,452584,452584,452584,452584,452584,452584,8,,0,,
,,,,,,,Brawler Super Rare,114051,114051,114051,114051,114051,114051,8,,0,,
,,,,,,,Brawler Epic UnpaidBox,51594,51594,51594,51594,51594,51594,8,,0,,
,,,,,,,Brawler Mythic UnpaidBox,23534,23534,23534,23534,23534,23534,8,,0,,
,,,,,,,Brawler Legendary UnpaidBox,10409,10609,10809,11009,11209,11409,8,,0,,
,,,,,,,Gadget,40000,40000,40000,40000,40000,40000,8,,0,,
,,,,,,,Star Power,20000,20000,20000,20000,20000,20000,8,,0,,
,,,,,,,Overcharge,2000,2000,2000,2000,2000,2000,8,,0,,
,,,,,,,Brawler Rare Perfect,250,250,250,250,250,250,8,,0,,
,,,,,,,Brawler Super Rare Perfect,225,225,225,225,225,225,8,,0,,
,,,,,,,Brawler Epic Perfect UnpaidBox,200,200,200,200,200,200,8,,0,,
,,,,,,,Brawler Mythic Perfect UnpaidBox,175,175,175,175,175,175,8,,0,,
,,,,,,,Brawler Legendary Perfect UnpaidBox,150,150,150,150,150,150,8,,0,,
,,,,,,,Coins S,4178122,4178022,4178022,4177922,4177922,4177822,9,,0,,
,,,,,,,Coins M,464292,464292,464192,464192,464092,464092,9,,0,,
,,,,,,,Power Points S,4178122,4178022,4178022,4177922,4177922,4177822,9,,0,,
,,,,,,,Power Points M,464292,464292,464192,464192,464092,464092,9,,0,,
,,,,,,,Brawler Rare,452584,452584,452584,452584,452584,452584,9,,0,,
,,,,,,,Brawler Super Rare,114051,114051,114051,114051,114051,114051,9,,0,,
,,,,,,,Brawler Epic UnpaidBox,51594,51594,51594,51594,51594,51594,9,,0,,
,,,,,,,Brawler Mythic UnpaidBox,23534,23534,23534,23534,23534,23534,9,,0,,
,,,,,,,Brawler Legendary UnpaidBox,10409,10609,10809,11009,11209,11409,9,,0,,
,,,,,,,Gadget,40000,40000,40000,40000,40000,40000,9,,0,,
,,,,,,,Star Power,20000,20000,20000,20000,20000,20000,9,,0,,
,,,,,,,Overcharge,2000,2000,2000,2000,2000,2000,9,,0,,
,,,,,,,Brawler Rare Perfect,250,250,250,250,250,250,9,,0,,
,,,,,,,Brawler Super Rare Perfect,225,225,225,225,225,225,9,,0,,
,,,,,,,Brawler Epic Perfect UnpaidBox,200,200,200,200,200,200,9,,0,,
,,,,,,,Brawler Mythic Perfect UnpaidBox,175,175,175,175,175,175,9,,0,,
,,,,,,,Brawler Legendary Perfect UnpaidBox,150,150,150,150,150,150,9,,0,,
,,,,,,,Coins S,4178122,4178022,4178022,4177922,4177922,4177822,10,,0,,
,,,,,,,Coins M,464292,464292,464192,464192,464092,464092,10,,0,,
,,,,,,,Power Points S,4178122,4178022,4178022,4177922,4177922,4177822,10,,0,,
,,,,,,,Power Points M,464292,464292,464192,464192,464092,464092,10,,0,,
,,,,,,,Brawler Rare,452584,452584,452584,452584,452584,452584,10,,0,,
,,,,,,,Brawler Super Rare,114051,114051,114051,114051,114051,114051,10,,0,,
,,,,,,,Brawler Epic UnpaidBox,51594,51594,51594,51594,51594,51594,10,,0,,
,,,,,,,Brawler Mythic UnpaidBox,23534,23534,23534,23534,23534,23534,10,,0,,
,,,,,,,Brawler Legendary UnpaidBox,10409,10609,10809,11009,11209,11409,10,,0,,
,,,,,,,Gadget,40000,40000,40000,40000,40000,40000,10,,0,,
,,,,,,,Star Power,20000,20000,20000,20000,20000,20000,10,,0,,
,,,,,,,Overcharge,2000,2000,2000,2000,2000,2000,10,,0,,
,,,,,,,Brawler Rare Perfect,250,250,250,250,250,250,10,,0,,
,,,,,,,Brawler Super Rare Perfect,225,225,225,225,225,225,10,,0,,
,,,,,,,Brawler Epic Perfect UnpaidBox,200,200,200,200,200,200,10,,0,,
,,,,,,,Brawler Mythic Perfect UnpaidBox,175,175,175,175,175,175,10,,0,,
,,,,,,,Brawler Legendary Perfect UnpaidBox,150,150,150,150,150,150,10,,0,,
