"Name","Conf","Disabled","Campaigns","IconOverrideSWF","IconOverrideExportName","SkinGroupId","ObtainType","ObtainTypeCN","LastChance","MasterSkin","PetSkin","PetSkin2","PriceClubCoins","PriceStarPoints","PriceBling","CanDropWithoutBlingPrice","PriceGems","DiscountPriceGems","PriceCoins","Rarity","TID","ShopTID","Features","CommunityCredit","MaterialsFile","DiffuseTexture","SpecularTexture","OutlineShader","PackOfferAnimOverride","BattleIntroXOffset","BattleIntroZOffset","BattleIntroVFX","DisableCatalogRelease","CatalogPreRequirementSkin","CatalogNewDaysAdjustment","NotInCatalogTID"
"ShamanBearSilver","ShamanBearDefault","","","","","","","","","","","","","","","","","","","","","","","","silver_materials.scw","nita_bear_silver_tex.sctx","nita_bear_silver_tex.sctx","","","","","","","","",""
"CactusGold","CactusGold","","GOLD","","","","","","","","","","","","","","","","25000","","TID_TRUE_GOLD_SPIKE","TID_TRUE_GOLD_SPIKE_SHOP","MODEL,TEXTURE","","gold_materials.scw","spike_gold_tex.sctx","spike_gold_tex.sctx","","","","","","","","",""
"CactusSilver","CactusSilver","","SILVER","","","","","","","","","","","","","","","","10000","","TID_TRUE_SILVER_SPIKE","TID_TRUE_SILVER_SPIKE_SHOP","MODEL,TEXTURE","","silver_materials.scw","spike_silver_tex.sctx","spike_silver_tex.sctx","","","","","","","","",""
"GunslingerBadass","GunslingerBadass","","BRAWLPASS","","","","7","7","","","","","","","2750","","79","","","SUPER_RARE","TID_GUNSLINGER_COLT_SKIN","TID_GUNSLINGER_COLT_SKIN_SHOP","MODEL,TEXTURE","","","colt_badass_tex.sctx","colt_badass_tex.sctx","","","","","","","","",""
"","","","OUTLAWS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HookDudeGold","HookDudeGold","","GOLD","","","","","","","","","","","","","","","","25000","","TID_TRUE_GOLD_GENE","TID_TRUE_GOLD_GENE_SHOP","MODEL,TEXTURE","","gold_materials.scw","gene_gold_tex.sctx","gene_gold_tex.sctx","","","","","","","","",""
"HookDudeSilver","HookDudeSilver","","SILVER","","","","","","","","","","","","","","","","10000","","TID_TRUE_SILVER_GENE","TID_TRUE_SILVER_GENE_SHOP","MODEL,TEXTURE","","silver_materials.scw","gene_silver_tex.sctx","gene_silver_tex.sctx","","","","","","","","",""
"IceDudeBurger","IceDudeBurger","","MEAL","","","","","","","","","","","","2750","","79","69","","SUPER_RARE","TID_BURGER_LOU_SKIN","TID_BURGER_LOU_SKIN_SHOP","MODEL,TEXTURE,VFX","","","lou_burger_tex.sctx","lou_burger_tex.sctx","","","","","","","","",""
"DrillerJetski","DrillerJetski","","RANKED","","","","","","","","","","","","5000","","149","","","EPIC","TID_JETSKI_JACKY_SKIN","TID_JETSKI_JACKY_SKIN_SHOP","MODEL,TEXTURE,ANIM,VFX,SFX","","","","","","","","","","","","",""
"","","","SUMMER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WhirlwindSurfer","WhirlwindSurfer","","BRAWLPASS","","","","7","7","","","","","","","5000","","149","","","EPIC","TID_SURFER_CARL_SKIN","TID_SURFER_CARL_SKIN_SHOP","MODEL,TEXTURE,ANIM,VFX","","","carl_surfer_tex.sctx","carl_surfer_tex.sctx","","","","200","","","","",""
"","","","SUMMER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RosaCoco","RosaCoco","","SUMMER","","","","","","","","","","","","5000","","149","129","","EPIC","TID_COCO_ROSA_SKIN","TID_COCO_ROSA_SKIN_SHOP","MODEL,TEXTURE,ANIM,VFX","","","","","","","","","","","","",""
"SpeedyHermes","SpeedyHermes","","OLYMPUS","sc/emoji.sc","emoji_max_olympus","","","","","","","","","","2750","","79","69","","SUPER_RARE","TID_HERMES_MAX_SKIN","TID_HERMES_MAX_SKIN_SHOP","MODEL,TEXTURE,VFX","","","","","","","","-100","","","","",""
"UndertakerBeach","UndertakerBeach","","SUMMER","","","","","","","","","","","","2750","","79","69","","SUPER_RARE","TID_BEACHTIME_MORTIS_SKIN","TID_BEACHTIME_MORTIS_SKIN_SHOP","MODEL,TEXTURE","","","","","","","","","","","","",""
"NinjaDino","NinjaDino","","SUMMER","","","","","","","","","","","","2750","","79","69","","SUPER_RARE","TID_DINO_LEON_SKIN","TID_DINO_LEON_SKIN_SHOP","MODEL,TEXTURE,ANIM,VFX","","","leon_dino_tex.sctx","leon_dino_tex.sctx","","","","","","","","",""
"UseMe1","BallDefault","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TntDudeFlamengo","TntDudeFlamengo","","LAML","sc/ui.sc","icon_laml_flamengo","4","4","4","true","","","","","","1000","","29","","","RARE","TID_FLAMENGO_MIKE_SKIN","TID_FLAMENGO_MIKE_SKIN_SHOP","MODEL,TEXTURE,ANIM,VFX","","","dynamike_footbrawl_flamengo_tex.sctx","dynamike_footbrawl_flamengo_tex.sctx","","","","","","","","",""
"TntDudeLduQuito","TntDudeLduQuito","","LAML","sc/ui.sc","icon_laml_quito","4","4","4","true","","","","","","1000","","29","","","RARE","TID_LDU_QUITO_MIKE_SKIN","TID_LDU_QUITO_MIKE_SKIN_SHOP","MODEL,TEXTURE,ANIM,VFX","","","dynamike_footbrawl_quito_tex.sctx","dynamike_footbrawl_quito_tex.sctx","","","","","","","","",""
"TntDudeChivas","TntDudeChivas","","LAML","sc/ui.sc","icon_laml_chivas","4","4","4","true","","","","","","1000","","29","","","RARE","TID_CHIVAS_MIKE_SKIN","TID_CHIVAS_MIKE_SKIN_SHOP","MODEL,TEXTURE,ANIM,VFX","","","dynamike_footbrawl_chivas_tex.sctx","dynamike_footbrawl_chivas_tex.sctx","","","","","","","","",""
"LuchadorUniversitario","LuchadorUniversitario","","LAML","sc/ui.sc","icon_laml_universitario","5","4","4","true","","","","","","1000","","29","","","RARE","TID_UNIVERSITARIO_PRIMO_SKIN","TID_UNIVERSITARIO_PRIMO_SKIN_SHOP","MODEL,TEXTURE","","","primo_footbrawl_peru_tex.sctx","primo_footbrawl_peru_tex.sctx","","","","","","","","",""
"LuchadorClubNacional","LuchadorClubNacional","","LAML","sc/ui.sc","icon_laml_clubnacional","5","4","4","true","","","","","","1000","","29","","","RARE","TID_NACIONAL_PRIMO_SKIN","TID_NACIONAL_PRIMO_SKIN_SHOP","MODEL,TEXTURE","","","primo_footbrawl_uruguay_tex.sctx","primo_footbrawl_uruguay_tex.sctx","","","","","","","","",""
"LuchadorCorinthians","LuchadorCorinthians","","LAML","sc/ui.sc","icon_laml_corinthians","5","4","4","true","","","","","","1000","","29","","","RARE","TID_CORINTHIANS_PRIMO_SKIN","TID_CORINTHIANS_PRIMO_SKIN_SHOP","MODEL,TEXTURE","","","primo_footbrawl_brazil_tex.sctx","primo_footbrawl_brazil_tex.sctx","","","","","","","","",""
"ShotgunGirlBocaJuniors","ShotgunGirlBocaJuniors","","LAML","sc/ui.sc","icon_laml_bocajuniors","6","4","4","true","","","","","","1000","","29","","","RARE","TID_BOCA_SHELLY_SKIN","TID_BOCA_SHELLY_SKIN_SHOP","MODEL,TEXTURE","","","shelly_footbrawl_argentina_tex.sctx","shelly_footbrawl_argentina_tex.sctx","","","","","","","","",""
"ShotgunGirlAmerica","ShotgunGirlAmerica","","LAML","sc/ui.sc","icon_laml_america","6","4","4","true","","","","","","1000","","29","","","RARE","TID_AMERICA_SHELLY_SKIN","TID_AMERICA_SHELLY_SKIN_SHOP","MODEL,TEXTURE","","","shelly_footbrawl_colombia_tex.sctx","shelly_footbrawl_colombia_tex.sctx","","","","","","","","",""
"ShotgunGirlUDeChile","ShotgunGirlUDeChile","","LAML","sc/ui.sc","icon_laml_udechile","6","4","4","true","","","","","","1000","","29","","","RARE","TID_UDC_SHELLY_SKIN","TID_UDC_SHELLY_SKIN_SHOP","MODEL,TEXTURE","","","shelly_footbrawl_chile_tex.sctx","shelly_footbrawl_chile_tex.sctx","","","","","","","","",""
"GunSlingerRiverPlate","GunSlingerRiverPlate","","LAML","sc/ui.sc","icon_laml_riverplate","7","4","4","true","","","","","","1000","","29","","","RARE","TID_RIVER_PLATE_COLT_SKIN","TID_RIVER_PLATE_COLT_SKIN_SHOP","MODEL,TEXTURE","","","colt_footbrawl_buenosaires_tex.sctx","colt_footbrawl_buenosaires_tex.sctx","","","","","","","","",""
"GunSlingerCerroPorteno","GunSlingerCerroPorteno","","LAML","sc/ui.sc","icon_laml_cerroport","7","4","4","true","","","","","","1000","","29","","","RARE","TID_CERRO_PORTENO_COLT_SKIN","TID_CERRO_PORTENO_COLT_SKIN_SHOP","MODEL,TEXTURE","","","colt_footbrawl_paraguay_tex.sctx","colt_footbrawl_paraguay_tex.sctx","","","","","","","","",""
"GunSlingerAtlNacional","GunSlingerAtlNacional","","LAML","sc/ui.sc","icon_laml_atlnacional","7","4","4","true","","","","","","1000","","29","","","RARE","TID_ATL_NACIONAL_COLT_SKIN","TID_ATL_NACIONAL_COLT_SKIN_SHOP","MODEL,TEXTURE","","","colt_footbrawl_medellin_tex.sctx","colt_footbrawl_medellin_tex.sctx","","","","","","","","",""
"GunslingerClubAmerica","GunslingerClubAmerica","","LAML","sc/ui.sc","icon_laml_clubamerica","7","4","4","true","","","","","","1000","","29","","","RARE","TID_CLUB_AMERICA_COLT_SKIN","TID_CLUB_AMERICA_COLT_SKIN_SHOP","MODEL,TEXTURE","","","colt_footbrawl_america_tex.sctx","colt_footbrawl_america_tex.sctx","","","","","","","","",""
"HealstationGold","HealstationDefault","","","","","","","","","","","","","","","","","","","","","","","","gold_materials.scw","pam_gun_gold_tex.sctx","pam_gun_gold_tex.sctx","","","","","","","","",""
"HealstationSilver","HealstationDefault","","","","","","","","","","","","","","","","","","","","","","","","silver_materials.scw","pam_gun_silver_tex.sctx","pam_gun_silver_tex.sctx","","","","","","","","",""
"UseMe4","BallDefault","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GunslingerTrueGold","GunslingerTrueGold","","GOLD","","","","","","","","","","","","","","","","25000","COLLECTORS","TID_TRUE_GOLD_COLT_SKIN","TID_TRUE_GOLD_COLT_SKIN_SHOP","MODEL,TEXTURE","","gold_materials.scw","colt_gold_tex.sctx","colt_gold_tex.sctx","","","","","","","","",""
"GunslingerTrueSilver","GunslingerTrueSilver","","SILVER","","","","","","","","","","","","","","","","10000","COLLECTORS","TID_TRUE_SILVER_COLT_SKIN","TID_TRUE_SILVER_COLT_SKIN_SHOP","MODEL,TEXTURE","","silver_materials.scw","colt_silver_tex.sctx","colt_silver_tex.sctx","","","","","","","","",""
"SpawnerDudeTrueGold","SpawnerDudeTrueGold","","GOLD","","","","","","","","SpawnerDudeTurretTrueGold","SpawnerPetTrueGold","","","","","","","25000","COLLECTORS","TID_TRUE_GOLD_MRP_SKIN","TID_TRUE_GOLD_MRP_SKIN_SHOP","MODEL,TEXTURE","","gold_materials_clip.scw","mrp_gold_tex.sctx","mrp_gold_tex.sctx","","","","","","","","",""
"SpawnerDudeTrueSilver","SpawnerDudeTrueSilver","","SILVER","","","","","","","","SpawnerDudeTurretTrueSilver","SpawnerPetTrueSilver","","","","","","","10000","COLLECTORS","TID_TRUE_SILVER_MRP_SKIN","TID_TRUE_SILVER_MRP_SKIN_SHOP","MODEL,TEXTURE","","silver_materials_clip.scw","mrp_silver_tex.sctx","mrp_silver_tex.sctx","","","","","","","","",""
"SpawnerPetTrueGold","SpawnerPetTrueGold","","","","","","","","","","","","","","","","","","","","","","","","gold_materials_clip.scw","mrp_spawner_gold_tex.sctx","mrp_spawner_gold_tex.sctx","","","","","","","","",""
"SpawnerDudeTurretTrueGold","SpawnerDudeTurretTrueGold","","","","","","","","","","","","","","","","","","","","","","","","gold_materials_clip.scw","mrp_spawner_gold_tex.sctx","mrp_spawner_gold_tex.sctx","","","","","","","","",""
"SpawnerPetTrueSilver","SpawnerPetTrueSilver","","","","","","","","","","","","","","","","","","","","","","","","silver_materials_clip.scw","mrp_spawner_silver_tex.sctx","mrp_spawner_silver_tex.sctx","","","","","","","","",""
"SpawnerDudeTurretTrueSilver","SpawnerDudeTurretTrueSilver","","","","","","","","","","","","","","","","","","","","","","","","silver_materials_clip.scw","mrp_spawner_silver_tex.sctx","mrp_spawner_silver_tex.sctx","","","","","","","","",""
"Trophy","Trophy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TrophyBlueRed","TrophyBlueRed","","","","","","","","","","","","","","","","","","","","","","","","","item_trophy_red.sctx","item_trophy_red.sctx","","","","","","","","",""
"Volleyball","Volleyball","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Basketball","Basketball","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DeadMariachiPunk","DeadMariachiPunk","","PUNK","","","","","","","","","","","","5000","","149","129","","EPIC","TID_PUNK_POCO_SKIN","TID_PUNK_POCO_SKIN_SHOP","MODEL,TEXTURE,ANIM,VFX,SFX","","","","","","","","300","","","","",""
"RopeDudePunk","RopeDudePunk","","BRAWLPASS","","","","7","7","","","","","","","5000","","149","","","EPIC","TID_PUNK_BUZZ_SKIN","TID_PUNK_BUZZ_SKIN_SHOP","MODEL,TEXTURE,ANIM,VFX,SFX","","","buzz_punk_tex.sctx","buzz_punk_tex.sctx","","","100","250","","","","",""
"","","","PUNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BaseballWarrior","BaseballWarrior","","PUNK","","","","","","","","","","","","2750","","79","69","","SUPER_RARE","TID_PUNK_BIBI_SKIN","TID_PUNK_BIBI_SKIN_SHOP","MODEL,TEXTURE","","","bibi_warrior_tex.sctx","bibi_warrior_tex.sctx","","","","","","","","",""
"RollerPunk","RollerPunk","","PUNK","","","","","","","","","","","","2750","","79","69","","SUPER_RARE","TID_PUNK_STU_SKIN","TID_PUNK_STU_SKIN_SHOP","MODEL,TEXTURE","","","stu_punk_tex.sctx","stu_punk_tex.sctx","","","","","","","","",""
"ShamanSummer","ShamanSummer","","SC_MAKE","","","","","","","","ShamanBearSummer","","","","2750","","79","69","","SUPER_RARE","TID_WHALEWATCH_NITA_SKIN","TID_WHALEWATCH_NITA_SKIN_SHOP","MODEL,TEXTURE,ANIM,VFX,SFX","Beats, Francy, Inkastle and Fontys","","","","","","","","","","","",""
"","","","SUMMER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ShamanBearSummer","ShamanBearSummer","","","","","","","","","","","","","","","","","","","","","","","","","nita_bear_make_tex.sctx","nita_bear_make_tex.sctx","","","","","","","","",""
"CactusCoverDefault","CactusCoverDefault","","","","","","","","","","","","","","","","","","","","","","","","","spike_cactus_gadget_tex.sctx","spike_cactus_gadget_tex.sctx","","","","","","","","",""
"NinjaInvisibleAreaDefault","NinjaInvisibleAreaDefault","","","","","","","","","","","","","","","","","","","","","","","","","leon_lollipop_gadget_tex.sctx","leon_lollipop_gadget_tex.sctx","","","","","","","","",""
"BarrelBotMegabox","BarrelBotMegabox","","C1A","","","","4","4","","","","","","","5000","","149","","","EPIC","TID_MB_DARRYL_SKIN","TID_MB_DARRYL_SKIN_SHOP","MODEL,TEXTURE,ANIM,VFX","","","darryl_megabox_tex.sctx","darryl_megabox_tex.sctx","","","","","","","","",""
"StuDrums","StuDrumsDefault","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KnightDefault","KnightDefault","","","","","","","","","","KnightPetDefault","","","","","","","","","","","","","","","ash_tex.sctx","ash_tex.sctx","","","","","","","","",""
"LuchadorDragon","LuchadorDragon","","ONCEUPON","","","10","","","","","","","","","5000","","149","129","","EPIC","TID_EL_DRAGON_VERDE_SKIN","TID_EL_DRAGON_VERDE_SKIN_SHOP","MODEL,TEXTURE,ANIM,VFX","","","","","","","","","","","","",""
"MinigunDudeQueen","MinigunDudeQueen","","ONCEUPON","","","","","","","","HealingstationQueen","","","","","true","299","269","","LEGENDARY","TID_EVIL_QUEEN_PAM_SKIN","TID_EVIL_QUEEN_PAM_SKIN_SHOP","MODEL,TEXTURE,ANIM,VFX,VOICE","","","","","","","","","","","","",""
"HealingstationQueen","HealingstationQueen","","","","","","","","","","","","","","","","","","","","","","","","","pam_queen_gun_tex.sctx","pam_queen_gun_tex.sctx","","","","","","","","",""
"BarkeepUnicorn","BarkeepUnicorn","","ONCEUPON","","","","","","","","","","","","2750","","79","69","","SUPER_RARE","TID_UNICORN_KNIGHT_BARLEY_SKIN","TID_UNICORN_KNIGHT_BARLEY_SKIN_SHOP","MODEL,TEXTURE,ANIM,VFX","","","barley_unicornknight_tex.sctx","barley_unicornknight_tex.sctx","","","","","","","","",""
"SnakeOilWizard","SnakeOilWizard","","RANKED","","","","","","","","","","","","5000","","149","","","EPIC","TID_WIZARD_BYRON_SKIN","TID_WIZARD_BYRON_SKIN_SHOP","MODEL,TEXTURE,ANIM,VFX","","","byron_wizard_tex.sctx","byron_wizard_tex.sctx","","","","","","","","",""
"","","","ONCEUPON","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ShotgunGirlPrincess","ShotgunGirlPrincess","","BRAWLPASS","","","","7","7","","","","","","","2750","","79","","","SUPER_RARE","TID_PRINCESS_SHELLY_SKIN","TID_PRINCESS_SHELLY_SKIN_SHOP","MODEL,TEXTURE,ANIM,VFX","","","shelly_princess_tex.sctx","shelly_princess_tex.sctx","","","","","","","","",""
"","","","ONCEUPON","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LuchadorDragonChroma","LuchadorDragonChroma","","ONCEUPON","","","10","","","","","","","","","5000","","149","129","","EPIC","TID_EL_DRAGON_ROSADO_SKIN","TID_EL_DRAGON_ROSADO_SKIN_SHOP","MODEL,TEXTURE,ANIM,VFX","","","primo_dragon_chroma_01_tex.sctx","primo_dragon_chroma_01_tex.sctx","","","","","","","","",""
"MechaDudeDefault","MechaDudeDefault","","","","","","","","","","MechaDudeBigDefault","MechaDudeReloadTowerDefault","","","","","","","","","","","","","","meg_tex.sctx","meg_tex.sctx","","","","","","","","",""
"MechaDudeBigDefault","MechaDudeBigDefault","","","","","","","","","","","","","","","","","","","","","","","","","meg_mecha_tex.sctx","meg_mecha_tex.sctx","","","","","","","","",""
"BowDudeGold","BowDudeGold","","GOLD","","","","","","","","BowDudeTotemDefault","","","","","","","","25000","COLLECTORS","TID_TRUE_GOLD_BO_SKIN","TID_TRUE_GOLD_BO_SKIN_SHOP","MODEL,TEXTURE","","gold_materials.scw","bo_gold_tex.sctx","bo_gold_tex.sctx","","","","","","","","",""
"BowDudeSilver","BowDudeSilver","","SILVER","","","","","","","","BowDudeTotemDefault","","","","","","","","10000","COLLECTORS","TID_TRUE_SILVER_BO_SKIN","TID_TRUE_SILVER_BO_SKIN_SHOP","MODEL,TEXTURE","","silver_materials.scw","bo_siler_tex.sctx","bo_siler_tex.sctx","","","","","","","","",""
"BeeSniperGold","BeeSniperGold","","GOLD","","","","","","","","BeeSniperSlowPotDefault","","","","","","","","25000","COLLECTORS","TID_TRUE_GOLD_BEA_SKIN","TID_TRUE_GOLD_BEA_SKIN_SHOP","MODEL,TEXTURE","","gold_materials.scw","bea_gold_tex.sctx","bea_gold_tex.sctx","","","","","","","","",""
"BeeSniperSilver","BeeSniperSilver","","SILVER","","","","","","","","BeeSniperSlowPotDefault","","","","","","","","10000","COLLECTORS","TID_TRUE_SILVER_BEA_SKIN","TID_TRUE_SILVER_BEA_SKIN_SHOP","MODEL,TEXTURE","","silver_materials.scw","bea_silver_tex.sctx","bea_silver_tex.sctx","","","","","","","","",""
"BlowerSilver","BlowerSilver","","SILVER","","","","","","","","","","","","","","","","10000","COLLECTORS","TID_TRUE_SILVER_GALE_SKIN","TID_TRUE_SILVER_GALE_SKIN_SHOP","MODEL,TEXTURE","","silver_materials.scw","gale_silver_tex.sctx","gale_silver_tex.sctx","","","","","","","","",""
"BlowerGold","BlowerGold","","GOLD","","","","","","","","","","","","","","","","25000","COLLECTORS","TID_TRUE_GOLD_GALE_SKIN","TID_TRUE_GOLD_GALE_SKIN_SHOP","MODEL,TEXTURE","","gold_materials.scw","gale_gold_tex.sctx","gale_gold_tex.sctx","","","","","","","","",""
"ControllerGold","ControllerGold","","GOLD","","","","","","","","","","","","","","","","25000","COLLECTORS","TID_TRUE_GOLD_NANI_SKIN","TID_TRUE_GOLD_NANI_SKIN_SHOP","MODEL,TEXTURE","","gold_materials.scw","nani_gold_tex.sctx","nani_gold_tex.sctx","","","","","","","","",""
"ControllerSilver","ControllerSilver","","SILVER","","","","","","","","","","","","","","","","10000","COLLECTORS","TID_TRUE_SILVER_NANI_SKIN","TID_TRUE_SILVER_NANI_SKIN_SHOP","MODEL,TEXTURE","","silver_materials.scw","nani_silver_tex.sctx","nani_silver_tex.sctx","","","","","","","","",""
"SandstormGold","SandstormGold","","GOLD","","","","","","","","","","","","","","","","25000","COLLECTORS","TID_TRUE_GOLD_SANDY_SKIN","TID_TRUE_GOLD_SANDY_SKIN_SHOP","MODEL,TEXTURE","","gold_materials.scw","sandy_gold_tex.sctx","sandy_gold_tex.sctx","","","","","","","","",""
"SandstormSilver","SandstormSilver","","SILVER","","","","","","","","","","","","","","","","10000","COLLECTORS","TID_TRUE_SILVER_SANDY_SKIN","TID_TRUE_SILVER_SANDY_SKIN_SHOP","MODEL,TEXTURE","","silver_materials.scw","sandy_silver_tex.sctx","sandy_silver_tex.sctx","","","","","","","","",""
"BeeSniperGoldAddonBee","BeeSniperGoldAddonBee","","","","","","","","","","","","","","","","","","","","","","","","gold_materials.scw","bea_gold_tex.sctx","bea_gold_tex.sctx","","","","","","","","",""
"BeeSniperSilverAddonBee","BeeSniperSilverAddonBee","","","","","","","","","","","","","","","","","","","","","","","","silver_materials.scw","bea_silver_tex.sctx","bea_silver_tex.sctx","","","","","","","","",""
"ControllerGoldAddon","ControllerGoldAddon","","","","","","","","","","","","","","","","","","","","","","","","gold_materials.scw","nani_gold_tex.sctx","nani_gold_tex.sctx","","","","","","","","",""
"ControllerSilverAddon","ControllerSilverAddon","","","","","","","","","","","","","","","","","","","","","","","","silver_materials.scw","nani_silver_tex.sctx","nani_silver_tex.sctx","","","","","","","","",""
"GunslingerHeist","GunslingerHeist","","CITY","","","","","","","","","","","","2750","","79","69","","SUPER_RARE","TID_HANDSOME_COLT_SKIN","TID_HANDSOME_COLT_SKIN_SHOP","MODEL,TEXTURE,ANIM","","","colt_heist_tex.sctx","colt_heist_tex.sctx","","","","","","","","",""
"UseMe5","BallDefault","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WallyPrince","WallyPrince","","ONCEUPON","","","11","","","","","","","","","2750","","79","69","","SUPER_RARE","TID_EMERALD_PRINCE_SPROUT_SKIN","TID_EMERALD_PRINCE_SPROUT_SKIN_SHOP","MODEL,TEXTURE,VFX","","","sprout_prince_tex.sctx","sprout_prince_tex.sctx","","","","","","","","",""
"StickyBombVeteran","StickyBombVeteran","","MAXFORCE","","","","","","","","","","","","2750","","79","69","","SUPER_RARE","TID_VETERAN_SQUEAK_SKIN","TID_VETERAN_SQUEAK_SKIN_SHOP","MODEL,TEXTURE,ANIM,VFX","","","squeak_veteran_tex.sctx","squeak_veteran_tex.sctx","","","","","","","","",""
"KnightNinja","KnightNinja","","BRAWLPASS","","","","7","7","","","KnightPetNinja","","","","5000","","149","","","EPIC","TID_NINJA_ASH_SKIN","TID_NINJA_ASH_SKIN_SHOP","MODEL,TEXTURE,ANIM,VFX","","","","","","","","","","","","",""
"","","","MASKS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SniperMoon","SniperMoon","","LUNAREVENT","","","","","","","","","","","","5000","","149","129","","EPIC","TID_LUNAR_PIPER_SKIN","TID_LUNAR_PIPER_SKIN_SHOP","MODEL,TEXTURE,ANIM,VFX","","","piper_lunar_tex.sctx","piper_lunar_tex.sctx","","","","","","","","",""
"WallyPrinceChroma","WallyPrinceChroma","","ONCEUPON","","","11","","","","","","","","","2750","","79","69","","SUPER_RARE","TID_RUBY_PRINCE_SPROUT_SKIN","TID_RUBY_PRINCE_SPROUT_SKIN_SHOP","MODEL,TEXTURE,VFX","","","sprout_prince_chroma_01_tex.sctx","sprout_prince_chroma_01_tex.sctx","","","","","","","","",""
"KnightPetDefault","KnightPetDefault","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KnightPetNinja","KnightPetNinja","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RopeDudeDirector","RopeDudeDirector","","RANKED","","","","","","","","","","","","5000","","149","","","EPIC","TID_DIRECTOR_BUZZ_SKIN","TID_DIRECTOR_BUZZ_SKIN_SHOP","MODEL,TEXTURE,ANIM,VFX","","","buzz_director_tex.sctx","buzz_director_tex.sctx","","","","200","","","","",""
"","","","BRAWLYWOOD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BlowerBusters","BlowerBusters","","BRAWLYWOOD","","","","","","","","","","","","5000","","149","129","","EPIC","TID_SQUEAKBUSTER_GALE_SKIN","TID_SQUEAKBUSTER_GALE_SKIN_SHOP","MODEL,TEXTURE,ANIM,VFX","","","","","","","","","","","","",""
"HookDudeSwamp","HookDudeSwamp","","BRAWLOWEEN","sc/emoji.sc","emoji_gene_brawloween","","3","3","","","","","","","2750","","79","","","SUPER_RARE","TID_SWAMP_GENE_SKIN","TID_SWAMP_GENE_SKIN_SHOP","MODEL,TEXTURE,ANIM,VFX","","","gene_swamp_tex.sctx","gene_swamp_tex.sctx","","","","150","","","","",""
"CrowSuper","CrowSuper","","BRAWLYWOOD","","","","","","","","","","","","2750","","79","69","","SUPER_RARE","TID_CAPTAIN_CROW_SKIN","TID_CAPTAIN_CROW_SKIN_SHOP","MODEL,TEXTURE,ANIM,VFX","","","crow_superhero_tex.sctx","crow_superhero_tex.sctx","","","500","600","","","","",""
"PercenterGladiator","PercenterGladiator","","SC_MAKE","","","","","","","","MechanicTurretTanuki","","","","5000","","149","129","","EPIC","TID_GLADIATOR_COLETTE_SKIN","TID_GLADIATOR_COLETTE_SKIN_SHOP","MODEL,TEXTURE,ANIM,VFX","Francy and Beats","","colette_gladiator_tex.sctx","colette_gladiator_tex.sctx","","","","","","","","",""
"","","","OLYMPUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"StickyBombPotato","StickyBombPotato","","TOYS","","","","","","","","","","","","2750","","79","","","SUPER_RARE","TID_POTATO_SQUEAK_SKIN","TID_POTATO_SQUEAK_SKIN_SHOP","MODEL,TEXTURE,ANIM,VFX","","","squeak_potato_tex.sctx","squeak_potato_tex.sctx","","","","","","","","",""
"BullDudeTerminator","BullDudeTerminator","","BRAWLPASS","","","","7","7","","","","","","","2750","","79","","","SUPER_RARE","TID_B800_BULL_SKIN","TID_B800_BULL_SKIN_SHOP","MODEL,TEXTURE,ANIM,VFX","","","bull_terminator_tex.sctx","bull_terminator_tex.sctx","","","","-350","","","","",""
"","","","BRAWLYWOOD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MechanicThief","MechanicThief","","WF_2021","","","","3","3","","","MechanicTurretThief","","","","5000","","149","","","EPIC","TID_CAT_BURGLAR_JESSIE_SKIN","TID_CAT_BURGLAR_JESSIE_SKIN_SHOP","MODEL,TEXTURE,ANIM,VFX","","","","","","","-700","","","","","",""
"MechanicTurretThief","MechanicTurretThief","","","","","","","","","","","","","","","","","","","","","","","","","jessie_thief_turret_tex.sctx","jessie_thief_turret_tex.sctx","","","","","","","","",""
