"TID","NL"
"TID_IAP_SC10_2","VERJAARDAGSAANBIEDING"
"TID_IAP_0620","HET IS JUNI!"
"TID_IAP_0720","HET IS JULI!"
"TID_IAP_0520C","VEEL VOORDEEL"
"TID_IAP_0620C","BRAWL STARS LANCEERT IN CHINA"
"TID_IAP_0620D","LANCERING IN CHINA"
"TID_IAP_MS20_1","FIJNE MIDZOMER!"
"TID_IAP_MS20_2","FIJNE MIDZOMER!"
"TID_IAP_MS20_3","FIJNE MIDZOMER!"
"TID_IAP_COINS_0620","MEGAVOORDELIG PAKKET"
"TID_HOMEPAGE_GUIDE_START_BATTLE_1","Tijd voor een nieuw gevecht!"
"TID_HOMEPAGE_GUIDE_MORE_BATTLES","Tijd voor een nieuw gevecht!"
"TID_HOMEPAGE_GUIDE_COLLECT_TR_1","Nieuwe trofeeënpadbeloning!"
"TID_HOMEPAGE_GUIDE_UPGRADE_SHELLY_1","Laten we Shelly upgraden!"
"TID_HOMEPAGE_GUIDE_COLLECT_TR_2","Je hebt een nieuwe knokker ontgrendeld!"
"TID_HOMEPAGE_GUIDE_START_SELECT_NITA","Selecteer je nieuwe knokker!"
"TID_HOMEPAGE_GUIDE_START_BRAWL_PASS","Je hebt een beloningsdrempel van de Brawl Pass ontgrendeld! Tik hier om je beloningen te verzamelen!"
"TID_HOMEPAGE_GUIDE_START_BATTLE_2","Laten we die upgrade eens proberen!"
"TID_HOMEPAGE_GUIDE_SHOP_FREE","Er is een GRATIS item beschikbaar in de winkel.\nTik hier om het nu te verzamelen!"
"TID_HOMEPAGE_GUIDE_ESPORTS_NEW","Er is een nieuw toernooi ontgrendeld.\nTik hier voor info over het evenement!"
"TID_SKIN_INFO_CAMPAIGN_8_NOT_AVAILABLE","Deze skin wordt binnenkort naar het archief verplaatst!"
"TID_SKIN_INFO_CAMPAIGN_9_NOT_AVAILABLE","Gearchiveerde skin (maakt geen deel uit van de skins die afwisselend in de winkel verschijnen)"
"TID_SKIN_INFO_CAMPAIGN_10_NOT_AVAILABLE","10 JAAR SUPERCELL"
"TID_SKIN_INFO_CAMPAIGN_11_NOT_AVAILABLE","BRAWL PASS"
"TID_SKIN_INFO_CAMPAIGN_12_NOT_AVAILABLE","DE RODEN"
"TID_HOMEPAGE_GUIDE_NEW_EVENT","Nieuw evenement ontgrendeld!"
"TID_HOMEPAGE_GUIDE_NEW_BRAWLER","Nieuwe knokker ontgrendeld!"
"TID_HOMEPAGE_GUIDE_QUESTS_UNLOCKED","Opdrachten ontgrendeld!"
"TID_HOMEPAGE_GUIDE_CLUB_FEATURE_UNLOCKABLE","Clubs ontgrendeld!"
"TID_HOMEPAGE_GUIDE_CLUB_FEATURE_UNLOCKED","Zoek hier naar een club!"
"TID_HOMEPAGE_GUIDE_FIRST_MASTERY_REWARD","Je hebt een nieuwe meesterschapsrang ontgrendeld voor <HERO>. Haal nu je beloning op!"
"TID_HOMEPAGE_GUIDE_RECORDS_UNLOCKED","Records ontgrendeld!"
"TID_HOMEPAGE_GUIDE_FIRST_RECORD","Claim je eerste record!"
"TID_BRAWL_PASS_SEASON_0","TARA'S BAZAAR"
"TID_BRAWL_PASS_TAB_REWARDS","BELONINGEN"
"TID_BRAWL_PASS_TAB_QUESTS","OPDRACHTEN"
"TID_BRAWL_PASS_TAB_PAST_REWARDS","VORIGE SEIZOEN"
"TID_BRAWL_PASS_PREMIUM","BRAWL PASS"
"TID_BRAWL_PASS_FREE","GRATIS"
"TID_BRAWL_PASS_BUY","KOPEN"
"TID_BRAWL_PASS_UNLOCK_ITEM_AT_TIER","ONTGRENDEL HET VOLGENDE OP DREMPEL <NUM>: <ITEM>"
"TID_BRAWL_PASS_SEASON_HEADER","BRAWL PASS-SEIZOEN"
"TID_QUEST_NEW_BATCH_IN","Nieuwe opdrachten worden ontgrendeld over:"
"TID_QUEST_NEW_DAILY_IN","Dagelijkse opdrachten worden vernieuwd over:"
"TID_BRAWL_PASS_OLD_BOXES_BUTTON","OUDE DOZEN OPENEN"
"TID_BRAWL_PASS_TIER_INFO","Verdien Brawl Pass-XP om deze drempel te ontgrendelen. Je kunt elke dag XP verdienen door te vechten of opdrachten te voltooien."
"TID_BRAWL_PASS_TIER_SHORTCUT","DREMPEL <NUM>: <REWARD>"
"TID_BRAWL_PASS_TAIL_TITLE","Bonusbeloningen!"
"TID_BRAWL_PASS_TAIL_INFO","Nadat je de Brawl Pass voltooit, krijg je een grote doos voor elke <NUM> tokens die je verdient!"
"TID_BRAWL_PASS_TAIL_INFO_NEW","Verdien bonusbeloningen voor elke <NUM> Brawl Pass-XP die je verdient!"
"TID_BRAWL_PASS_PURCHASE_OR","OF"
"TID_EMOTES_POPUP_TITLE","REACTIES"
"TID_EMOTES_POPUP_TEXT","Kies de reacties die je tijdens gevechten wilt gebruiken."
"TID_SPRAYS_POPUP_TITLE","SPRAYS"
"TID_SPRAYS_POPUP_TEXT","Kies de sprays die je tijdens gevechten wilt gebruiken."
"TID_BRAWL_PASS_INFO_TITLE_0","INBEGREPEN BIJ DE BRAWL PASS"
"TID_EVIL_GENE_SKIN","KWAADAARDIGE GENE"
"TID_EVIL_GENE_SKIN_SHOP","KWAADAARDIGE\nGENE"
"TID_ROGUE_MORTIS_SKIN","MISDADIGE MORTIS"
"TID_ROGUE_MORTIS_SKIN_SHOP","MISDADIGE\nMORTIS"
"TID_GUARD_RICO_SKIN","WACHTER-RICO"
"TID_GUARD_RICO_SKIN_SHOP","WACHTER-\nRICO"
"TID_MERCHANT_GALE_SKIN","KOOPMAN-GALE"
"TID_MERCHANT_GALE_SKIN_SHOP","KOOPMAN-\nGALE"
"TID_RED_DRAGON_JESSIE_SKIN","RODE DRAAK-JESSIE"
"TID_RED_DRAGON_JESSIE_SKIN_SHOP","RODE DRAAK-\nJESSIE"
"TID_BARBARIAN_KING_BULL_SKIN","BARBARENKONING-BULL"
"TID_BARBARIAN_KING_BULL_SKIN_SHOP","BARBARENKONING-\nBULL"
"TID_HOLIDAY_PAM_SKIN","VAKANTIE-PAM"
"TID_HOLIDAY_PAM_SKIN_SHOP","VAKANTIE-\nPAM"
"TID_TROPICAL_SPROUT_SKIN","TROPISCHE SPROUT"
"TID_TROPICAL_SPROUT_SKIN_SHOP","TROPISCHE\nSPROUT"
"TID_CONSTRUCTOR_JACKY_SKIN","BOUWVAKKER-JACKY"
"TID_CONSTRUCTOR_JACKY_SKIN_SHOP","BOUWVAKKER-\nJACKY"
"TID_NOTIFICATION_BP_SEASON_STARTED","Een nieuw Brawl Pass-seizoen is begonnen!"
"TID_NOTIFICATION_BP_SEASON_ENDING","Het Brawl Pass-seizoen loopt binnenkort af. Haast je om meer beloningen te ontgrendelen!"
"TID_NOTIFICATION_QUEST_REFRESH","Er zijn nieuwe opdrachten beschikbaar!"
"TID_EMOTE_DROP_CHANCE_INFO","Dit reactiepakket bevat <NUM> gewone reacties en 1 speciale reactie. De speciale reactie kan zeldzaam of episch zijn, afhankelijk van deze waarschijnlijkheden:\n\nZeldzame reactie: <Rare>%\nEpische reactie: <Epic>%"
"TID_EMOTE_DROP_CHANCE_INFO_2","Dit reactiepakket bevat <NUM> gewone reacties en 1 speciale reactie. De speciale reactie kan zeldzaam, episch of legendarisch zijn, afhankelijk van deze waarschijnlijkheden:\n\nZeldzame reactie: <Rare>%\nEpische reactie: <Epic>%\nLegendarische reactie: <LEGENDARY>%"
"TID_ROBO_WARS_15","Inpakfabriek"
"TID_ROBO_WARS_16","Ingesloten"
"TID_ROBO_WARS_17","Olijftak"
"TID_WANTED_27","Hittegolf"
"TID_WANTED_28","Spinnenweb"
"TID_BANKHEIST_27","Filerijden"
"TID_BANKHEIST_28","Kruispunt"
"TID_EMOTE_RARITY_NAME_0","Gewoon"
"TID_EMOTE_RARITY_NAME_1","Zeldzaam"
"TID_EMOTE_RARITY_NAME_2","Episch"
"TID_EMOTE_RARITY_NAME_3","Legendarisch"
"TID_EMOTE_RARITY_NAME_4","Luxueus"
"TID_SPRAY_RARITY_NAME_0","Gewoon"
"TID_SPRAY_RARITY_NAME_1","Zeldzaam"
"TID_SPRAY_RARITY_NAME_2","Episch"
"TID_SPRAY_RARITY_NAME_3","Legendarisch"
"TID_SPRAY_RARITY_NAME_4","Luxueus"
"TID_ZONE_CAPTURED_OPPONENT","De vijand heeft een zone veroverd!"
"TID_ZONE_CAPTURED_OPPONENT_GAME_OVER","De vijand heeft een zone veroverd!\nGevecht afgelopen"
"TID_ZONE_CAPTURED","Je team heeft een zone veroverd!"
"TID_ZONE_CAPTURED_GAME_OVER","Je team heeft een zone veroverd!\nGevecht afgelopen"
"TID_BRAWL_PASS_NEW_SEASON","NIEUW SEIZOEN!"
"TID_BRAWL_PASS_UNLOCK_PASS","Activeer de BRAWL PASS om premium beloningen te ontgrendelen!"
"TID_BRAWL_PASS_GET_MORE_POINTS","Verzamel meer Brawl Pass-XP om deze beloning te ontgrendelen!"
"TID_RANK_GET_MORE_TROPHIES","Verzamel meer trofeeën voor deze beloning!"
"TID_RANK_COLLECT_PREVIOUS_REWARD","Haal eerst je vorige beloningen op!"
"TID_BRAWL_PASS_GET_MORE_POINTS_TAIL","Verzamel meer Brawl Pass-XP om deze beloning te ontgrendelen!"
"TID_TROPHY_WORLD_GET_MORE_TROPHIES","Verzamel meer trofeeën voor deze beloning!"
"TID_TROPHY_WORLD_COLLECT_PREVIOUS_REWARD","Haal eerst je vorige beloningen op!"
"TID_BRAWL_PASS_SEASON","BRAWL PASS-SEIZOEN:"
"TID_IAP_0520G","MEER EDELSTENEN A.U.B."
"TID_EMOTE_BUNDLE_1","REACTIESET VOOR KOOPMAN-GALE"
"TID_GOLDRUSH_47","Mysterieuze edelstenen"
"TID_GOLDRUSH_48","Oosterse ornamenten"
"TID_GOLDRUSH_49","Ruwe diamanten"
"TID_GOLDRUSH_50","Dievenparadijs"
"TID_GOLDRUSH_51","Oog van smaragd"
"TID_GOLDRUSH_52","Tapijten en robijnen"
"TID_GOLDRUSH_53","Bizarre bazaar"
"TID_QUESTS_NEXT_BATCH_IN","Nieuwe opdrachten over <time>"
"TID_QUESTS_THIS_BATCH_IN","Begint over <time>"
"TID_QUESTS_BATCH_EXPIRES_IN","EINDIGT OVER <time>"
"TID_QUESTS_DAILY_REFRESH_IN","WORDEN VERNIEUWD OVER <time>"
"TID_BRAWL_PASS_SEASON_END_TITLE","SEIZOEN EINDIGT OVER"
"TID_QUESTS_DAILY","DAGELIJKSE OPDRACHTEN"
"TID_QUESTS_SEASON","SEIZOENSOPDRACHTEN"
"TID_QUESTS_SPECIAL","SPECIALE EVENEMENTEN"
"TID_QUESTS_CHRONOS","SPECIALE OPDRACHTEN"
"TID_QUESTS_LVL","LEVEL: <NUM>"
"TID_CONTEXT_MENU_INVITE_ONLINE","UITNODIGEN VOOR ONLINE SPEL"
"TID_CONTEXT_MENU_INVITE_TO_TEAM","UITNODIGEN VOOR TEAM"
"TID_TENCENT_INVITE_TO_TEAM_TITLE","UITNODIGEN VOOR TEAM"
"TID_TENCENT_INVITE_TO_TEAM","Wil je <c<COLOR>><NAME></c> uitnodigen om te spelen in je team?"
"TID_TENCENT_INVITE_FRIENDS","VRIENDEN UITNODIGEN"
"TID_TENCENT_INVITE_WECHAT_FRIENDS","WECHAT-VRIENDEN UITNODIGEN"
"TID_TENCENT_INVITE_QQ_FRIENDS","QQ-VRIENDEN UITNODIGEN"
"TID_REGION_CHINA","China"
"TID_QUALIFIED_TITLE_CHINA","线上资格赛已解锁！"
"TID_QUALIFIED_INFO_CHINA","您已成功完成全球锦标赛挑战，真棒！\n您可以前往<cFFE400><URL></c>，通过引导完成赛事报名，继续荒野乱斗全球锦标赛之旅！"
"TID_CHINA_REAL_NAME_REGULATION","Geregistreerd met echte naam"
"TID_CHINA_LOGIN_DESC","本公司积极履行《网络游戏行业防沉迷自律公约》抵制不良游戏，拒绝盗版游戏。注意自我保护，谨防受骗上当。适度游戏益脑，沉迷游戏伤身。合理安排时间，享受健康生活。根据国家新闻出版署《关于防止未成年人沉迷网络游戏的通知》、《关于进一步严格管理切实防止未成年人沉迷网络游戏的通知》，所有网络游戏用户均需使用有效身份信息完成账号实名注册后方可进入游戏，认证为未成年的玩家将受到防沉迷功能限制。沪网文【2018】8544-517号、新出网证（沪）字33号 著作权人：SUPERCELL OY 出版单位：上海游族信息技术有限公司 运营单位：上海游族信息技术有限公司 国新出审【2020】552号 出版物号：ISBN 978-7-498-07472-0"
"TID_POWER_LEVELER","SURGE"
"TID_POWER_LEVELER_SHORT_DESC","BESCHADIGER"
"TID_POWER_LEVELER_DESC","Surge is een opgevoerde frisdrankautomaat die altijd zin heeft in een feestje! Hij heeft het ritme, de danspassen en een eindeloze voorraad energiedrankjes."
"TID_POWER_LEVELER_WEAPON","STRAFFEND SAP"
"TID_POWER_LEVELER_WEAPON_DESC","Surge schiet een straal sap af die in tweeën splitst wanneer een vijand wordt geraakt."
"TID_POWER_LEVELER_ULTI","FEESTTRUCJES"
"TID_POWER_LEVELER_ULTI_DESC","Surge krijgt een upgrade telkens als hij zijn super activeert (maximaal 3 keer). De upgrades gaan verloren als hij wordt verslagen.\nFASE 1: gebooste bewegingssnelheid\nFASE 2: vergroot wapenbereik\nFASE 3: hoofdaanval splitst zich op in 6 stralen (in plaats van 2)"
"TID_SPEC_ABI_POWER_LEVELER_1","MAXIMAAL EFFECTIEF"
"TID_SPEC_ABI_POWER_LEVELER_1_DESC","De hoofdaanval van Surge splitst zich nu ook op wanneer deze een muur raakt."
"TID_SPEC_ABI_POWER_LEVELER_2","IJSKOUD SERVEREN"
"TID_SPEC_ABI_POWER_LEVELER_2_DESC","Surge behoudt fase 1 van zijn superupgrades voor de rest van het gevecht."
"TID_ACCESSORY_POWER_LEVELER_BLINK","STROOMSTORING"
"TID_ACCESSORY_POWER_LEVELER_BLINK_DESC","Surge maakt kortsluiting en teleporteert een paar stappen naar voren."
"TID_FRIEND_INVITE_POST_SHARE_TITLE","Laten we samen spelen!"
"TID_YOOZOO_TERMS_CHECK_REQUIRED","Om je persoonlijke privacy en veiligheid te garanderen,\nvragen we je eerst de gebruikersovereenkomst en het privacybeleid te lezen en ermee akkoord te gaan."
"TID_POPUP_BRAWLTV_TEXT_CN","Kijk hoe topspelers Brawl Stars spelen!"
"TID_PRO_LEAGUE_INFO_POPUP_RANK_INFO_CN","跻身排行榜前列\n可获得的额外奖励"
"TID_PRO_LEAGUE_POPUP_INFO_CN","在星徽竞技场中证明自己的实力！每天可参加3场星徽竞技场对战，在赛季排行榜上冲击更高排名。赛季结束后，您将根据自己的积分和在排行榜上的排名获得星光点数奖励。"
"TID_QUALIFIED_INFO_CN","您已成功完成全球锦标赛挑战，真棒！\n您可以前往<cFFE400><URL></c>，通过引导完成赛事报名，继续荒野乱斗全球锦标赛之旅！"
"TID_GAME_MODE_18","STAMPIJ IN SUPERSTAD"
"TID_GAME_MODE_18_DESC","Kun jij het megamonster verslaan en de stad redden? Werk samen met twee teamgenoten om het megamonster uit te schakelen. Zolang een van je teamgenoten nog overeind staat, kun je weer terugkomen en meedoen met het gevecht. Als iedereen is verslagen OF alle gebouwen zijn vernietigd, is het gevecht voorbij.\n\nElke keer als je het megamonster verslaat, wordt het volgende gevecht moeilijker, van normaal tot waanzinnig."
"TID_TENCENT_TEAM_INVITED_FAILED_901203","Uitnodigen mislukt. Je hebt je uitnodigingslimiet bereikt."
"TID_TENCENT_TEAM_INVITED_FAILED_901204","Uitnodigen mislukt. Uitnodigingslimiet van ontvanger is bereikt."
"TID_TENCENT_TEAM_INVITED_FAILED_901205","Uitnodigen mislukt. Je kunt elke dag maar één bericht naar elke vriend versturen."
"TID_EVENT_POPUP_GMV_LABEL_RAID_BOSS_TOWN_CRUSHER","Drie spelers tegen het MEGAMONSTER"
"TID_BUILDINGS_LEFT","Resterende gebouwen: <num>"
"TID_ONLINE_FRIENDS_POPUP_CODE_TITLE","VORM EEN TEAM!"
"TID_TEAM_INVITE_BUTTON_LABEL_SHORT","TEAMUITNODIGING"
"TID_CLAN_INTRO_INVITE_SHORT","UITNODIGEN"
"TID_ALLIANCE_INVITE_TITLE","KOM BIJ MIJN CLUB"
"TID_RAID_TOWN_CRUSH_1","SUPERSTAD"
"TID_GUEST_LOGIN_IAP_BLOCKED_TITLE","WAARSCHUWING"
"TID_GUEST_LOGIN_IAP_BLOCKED","In overeenstemming met de anti-verslavingsregels, kun je geen in-app aankopen doen wanneer je bent aangemeld met een gastaccount. Om de allerbeste spelervaring te garanderen, raden we je sterk aan om je aan te melden met QQ of WeChat en de verificatie van je echte naam te voltooien. Als je al bent aangemeld met een gastaccount, kunt je je account koppelen aan QQ of WeChat via de spelinstellingen."
"TID_TENCENT_GUEST_LOGIN_WARNING_TITLE","Aanmelden als gast?"
"TID_TENCENT_GUEST_LOGIN_WARNING","In overeenstemming met de anti-verslavingsregels, kun je de verificatie van je echte naam niet voltooien als je bent aangemeld met een gastaccount. Daarnaast wordt je speeltijd beperkt tot 1 uur per 15 dagen. Om de allerbeste spelervaring te garanderen, raden we je sterk aan om je aan te melden met QQ of WeChat en de verificatie van je echte naam te voltooien."
"TID_ACCESSORY_CROW_POISON_TRIGGER","VERTRAGEND VERGIF"
"TID_ACCESSORY_CROW_POISON_TRIGGER_DESC","Alle vergiftigde vijanden worden <c00cc00><VALUE1></c> seconden lang vertraagd."
"TID_ACCESSORY_ARTILLERY_BARRAGE","KOMPAS VAN DE KAPITEIN"
"TID_ACCESSORY_ARTILLERY_BARRAGE_DESC","Penny laat haar kanon een artillerieaanval uitvoeren op haar huidige locatie."
"TID_ACCESSORY_SHELLY_FOCUS","KLEIDUIVEN"
"TID_ACCESSORY_SHELLY_FOCUS_DESC","Shelly's hoofdaanvallen zijn gedurende de volgende <c00cc00><VALUE1></c> seconden minder gespreid en hebben een groter bereik."
"TID_ACCESSORY_BO_MINE_TRIGGER","STRUIKELDRAAD"
"TID_ACCESSORY_BO_MINE_TRIGGER_DESC","Bo laat al zijn mijnen na <c00cc00><VALUE1></c> seconden ontploffen. Vijanden kunnen de mijnen niet zien totdat ze afgaan."
"TID_ACCESSORY_UNDERTAKER_RELOAD","SNELLE SCHEP"
"TID_ACCESSORY_UNDERTAKER_RELOAD_DESC","Mortis herlaadt sneller gedurende <c00cc00><VALUE1></c> seconden."
"TID_ACCESSORY_SNIPER_SEEKER","HITTEZOEKENDE KOGEL"
"TID_ACCESSORY_SNIPER_SEEKER_DESC","Pipers volgende schot buigt af zodat ze meer kans heeft om haar doelwit te raken."
"TID_ACCESSORY_LUCHADOR_METEOR","ASTEROÏDENGORDEL"
"TID_ACCESSORY_LUCHADOR_METEOR_DESC","El Primo laat een kleine meteoor inslaan op de locatie van de dichtstbijzijnde vijand. De meteoor richt <c00cc00><VALUE1></c> schade aan en vernietigt muren."
"TID_ACCESSORY_BARKEEP_HEAL_POTION","KRUIDENDRANKJE"
"TID_ACCESSORY_BARKEEP_HEAL_POTION_DESC","Barley werpt een genezend drankje naar bondgenoten in de buurt. Spelers die in het effectgebied blijven, herstellen <c00cc00><VALUE1></c> gezondheid per seconde."
"TID_ACCESSORY_TNT_STUN","SCHOKGRANAAT"
"TID_ACCESSORY_TNT_STUN_DESC","Dynamikes volgende hoofdaanval verdooft vijanden voor <c00cc00><VALUE1></c> seconden."
"TID_ACCESSORY_MECHANIC_TURRET_BUFF","STARTKABEL"
"TID_ACCESSORY_MECHANIC_TURRET_BUFF_DESC","De aanvalssnelheid van Schrootje wordt <c00cc00><VALUE1></c> seconden lang verdubbeld."
"TID_ACCESSORY_BLOCKED_MISSING_MINES","Kan niet worden geactiveerd zonder mijnen!"
"TID_BRAWLPASS_POPUP_UNLOCKED","BRAWL PASS ONTGRENDELD!"
"TID_BRAWL_PASS_SEASON_1","MONSTERZOMER"
"TID_EMOTE_EQUIP_NOT_OWNED","Vind deze reactie in reactiepakketten!"
"TID_RAID_BOSS_TOWN_CRUSHER_INTRO_TEXT","Versla het megamonster!"
"TID_EMOTE_CATEGORY_1","VAK 1"
"TID_EMOTE_CATEGORY_2","VAK 2"
"TID_EMOTE_CATEGORY_3","VAK 3"
"TID_EMOTE_CATEGORY_4","VAK 1"
"TID_EMOTE_CATEGORY_5","VAK 2"
"TID_EMOTE_CATEGORY_BRAWLER_PINS","REACTIES VAN <BRAWLER>"
"TID_EMOTE_CATEGORY_PLAYER_PINS","SPELERREACTIES"
"TID_SPRAY_CATEGORY_BRAWLER","SPRAY VAN <BRAWLER>"
"TID_SPRAY_CATEGORY_SHARED","GEDEELDE SPRAYS"
"TID_SPRAY_CATEGORY_1","VAK 1"
"TID_SPRAY_CATEGORY_2","VAK 1"
"TID_SPRAY_CATEGORY_3","VAK 2"
"TID_SPRAY_CATEGORY_4","VAK 3"
"TID_SPRAY_CATEGORY_5","VAK 4"
"TID_SPRAY_EQUIP_NOT_OWNED","Je hebt deze spray nog niet ontgrendeld!"
"TID_SPRAY_BRAWLER_EQUIP_NOT_OWNED","Je vindt deze spray in de winkel!"
"TID_SPRAY_SLOT_LOCKED","Dit sprayvak wordt ontgrendeld bij <NUM> trofeeën!"
"TID_EDIT_MUTE_EMOTES","Schakel reacties uit tijdens gevechten"
"TID_ACCESSORY_BLOCKED_INVISIBILITY_ALREADY_ACTIVE","Je bent al onzichtbaar!"
"TID_ACCESSORY_BLOCKED_SHIELD_ALREADY_ACTIVE","Schild is al actief!"
"TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","Gadget is al actief!"
"TID_ACCESSORY_BLOCKED_ALREADY_MAX_LEVEL","Maximumlevel al bereikt!"
"TID_SETTINGS_PLAYER_ID","Speler-ID: <ID>"
"TID_NAME_COLOR_REQUIRES_BRAWL_PASS","Koop de BRAWL PASS om het hele seizoen een chromatische naam te krijgen!"
"TID_RANK_COLLECT_PREVIOUS_REWARD_SPECIFIC","Haal eerst de vorige beloning op!"
"TID_MEGA_BEETLE_BEA_SKIN","MEGAKEVER-BEA"
"TID_MEGA_BEETLE_BEA_SKIN_SHOP","MEGAKEVER-\nBEA"
"TID_STREETWEAR_MAX_SKIN","STREETWEAR-MAX"
"TID_STREETWEAR_MAX_SKIN_SHOP","STREETWEAR-\nMAX"
"TID_KING_CRAB_TICK_SKIN","KONINGSKRAB-TICK"
"TID_KING_CRAB_TICK_SKIN_SHOP","KONINGSKRAB-\nTICK"
"TID_ULTRA_DRILLER_JACKY_SKIN","ULTRA-JACKY"
"TID_ULTRA_DRILLER_JACKY_SKIN_SHOP","ULTRA-\nJACKY"
"TID_RETRO_NANI_SKIN","RETRO-NANI"
"TID_RETRO_NANI_SKIN_SHOP","RETRO-\nNANI"
"TID_MECHA_PALADIN_SURGE_SKIN","MECHAPALADIJN-SURGE"
"TID_MECHA_PALADIN_SURGE_SKIN_SHOP","MECHAPALADIJN-\nSURGE"
"TID_TRUE_SILVER_EMZ_SKIN","MASSIEF ZILVEREN EMZ"
"TID_TRUE_SILVER_EMZ_SKIN_SHOP","MASSIEF ZILVEREN\nEMZ"
"TID_TRUE_SILVER_EL_PRIMO_SKIN","MASSIEF ZILVEREN EL PRIMO"
"TID_TRUE_SILVER_EL_PRIMO_SKIN_SHOP","MASSIEF ZILVEREN\nEL PRIMO"
"TID_TRUE_SILVER_SHELLY_SKIN","MASSIEF ZILVEREN SHELLY"
"TID_TRUE_SILVER_SHELLY_SKIN_SHOP","MASSIEF ZILVEREN\nSHELLY"
"TID_TRUE_SILVER_PIPER_SKIN","MASSIEF ZILVEREN PIPER"
"TID_TRUE_SILVER_PIPER_SKIN_SHOP","MASSIEF ZILVEREN\nPIPER"
"TID_TRUE_SILVER_LEON_SKIN","MASSIEF ZILVEREN LEON"
"TID_TRUE_SILVER_LEON_SKIN_SHOP","MASSIEF ZILVEREN\nLEON"
"TID_TRUE_GOLD_EMZ_SKIN","MASSIEF GOUDEN EMZ"
"TID_TRUE_GOLD_EMZ_SKIN_SHOP","MASSIEF GOUDEN\nEMZ"
"TID_TRUE_GOLD_EL_PRIMO_SKIN","MASSIEF GOUDEN EL PRIMO"
"TID_TRUE_GOLD_EL_PRIMO_SKIN_SHOP","MASSIEF GOUDEN\nEL PRIMO"
"TID_TRUE_GOLD_SHELLY_SKIN","MASSIEF GOUDEN SHELLY"
"TID_TRUE_GOLD_SHELLY_SKIN_SHOP","MASSIEF GOUDEN\nSHELLY"
"TID_TRUE_GOLD_PIPER_SKIN","MASSIEF GOUDEN PIPER"
"TID_TRUE_GOLD_PIPER_SKIN_SHOP","MASSIEF GOUDEN\nPIPER"
"TID_TRUE_GOLD_LEON_SKIN","MASSIEF GOUDEN LEON"
"TID_TRUE_GOLD_LEON_SKIN_SHOP","MASSIEF GOUDEN\nLEON"
"TID_SUPER_RANGER_BROCK_SKIN","SUPERRANGER-BROCK"
"TID_SUPER_RANGER_BROCK_SKIN_SHOP","SUPERRANGER-\nBROCK"
"TID_SKIN_INFO_CAMPAIGN_13_NOT_AVAILABLE","MASSIEF ZILVER"
"TID_SKIN_INFO_CAMPAIGN_14_NOT_AVAILABLE","MASSIEF GOUD"
"TID_BATTLE_ROYALE_45","torgreorpO"
"TID_BATTLE_ROYALE_46","Colosseumconflict"
"TID_BATTLE_ROYALE_47","Oeverophef"
"TID_BATTLE_ROYALE_48","Vier klavertjes"
"TID_BATTLE_ROYALE_49","Schaduwschimmen"
"TID_BATTLE_ROYALE_50","Op eieren lopen"
"TID_BATTLE_ROYALE_51","Dwalende lichtjes"
"TID_BATTLE_ROYALE_52","Victorievallei"
"TID_BATTLE_ROYALE_53","Grasrijke afgrond"
"TID_GOLDRUSH_54","Klein stadje"
"TID_GOLDRUSH_55","Massale aanval"
"TID_GOLDRUSH_56","Escapade"
"TID_WANTED_29","Rustig vaarwater"
"TID_WANTED_30","Verstoppertje"
"TID_BANKHEIST_29","Vol zicht"
"TID_BANKHEIST_30","Muurklimmen"
"TID_KING_OF_HILL_16","Afgezette achterdeur"
"TID_KING_OF_HILL_17","Wespennest"
"TID_KING_OF_HILL_18","Beveiligd terrein"
"TID_KING_OF_HILL_19","Het meer"
"TID_KING_OF_HILL_20","Scheiding"
"TID_KING_OF_HILL_21","Kaskraker"
"TID_KING_OF_HILL_22","Open bedrijf"
"TID_KING_OF_HILL_23","Parallel spel"
"TID_KING_OF_HILL_24","Kruisende paden"
"TID_KING_OF_HILL_25","Drievoudige zone"
"TID_KING_OF_HILL_26","Roulette"
"TID_KING_OF_HILL_27","Verticale doorsnede"
"TID_KING_OF_HILL_28","Meesterlijke controle"
"TID_EMOTE_EQUIP_NOT_OWNED_SPECIAL","Luxueuze reactie! Deze reactie is niet standaard verkrijgbaar!"
"TID_EMOTE_EQUIP_NOT_OWNED_MASTERY","Meesterschapsreactie! Ontgrendel deze reactie via het meesterschapstraject van de knokker!"
"TID_LOGIN_WITH_FACEBOOK","Aanmelden met Facebook"
"TID_TERMS_OF_SERVICE_BUTTON_TENCENT","Licentie- en serviceovereenkomst van Tencent Games"
"TID_PRIVACY_POLICY_BUTTON_TENCENT","荒野乱斗隐私保护指引"
"TID_PARENTS_GUIDE_BUTTON_TENCENT","Richtlijnen betreffende de privacybescherming van kinderen van Tencent Games"
"TID_TENCENT_LOGIN_AGREEMENTS","Ik heb de <TOS>, het <PP>, de <CHILDREN> en de <THIRDPARTY> zorgvuldig gelezen en ga ermee akkoord."
"TID_THIRD_PARTY_SHARING_BUTTON_TENCENT","Lijst van gedeelde info met derden"
"TID_TENCENT_THIRDPARTY_INFO","Lijst van gedeelde info met derden"
"TID_TENCENT_LOGIN_TOS","Licentie- en serviceovereenkomst van Tencent Games"
"TID_TENCENT_LOGIN_PP","荒野乱斗隐私保护指引"
