TID,IT
TID_RANK_INFO_POPUP_LABEL_END_TROPHIES,Trofei al termine della lega trofei
TID_RANK_INFO_POPUP_SEASON_REWARD_ENTRY,<START> - <END>
TID_DAILY_COINS_COLLECTED,Ottenute
TID_TEAM_BATTLE,CREA
TID_TEAM_UNREADY,non pronto
TID_TEAM_WAITING_WHILE_READY,Tutto pronto!\nIn attesa degli altri.
TID_GATCHA_SCREEN_NEW_HERO,<c<COLOR>>Brawler <NAME> (<OWNEDCOUNT>/<SETSIZE>)</c>
TID_GATCHA_SCREEN_NEW_ITEM,<c<COLOR>> <NAME>: <OWNEDCOUNT>/<SETSIZE> </c>
TID_GATCHA_SCREEN_BOXES_REMAINING,<AMOUNT>
TID_GATCHA_SCREEN_OK,Wow!
TID_GATCHA_SCREEN_TAP,Aprimi!
TID_GATCHA_SCREEN_TICKET_DROP_HEADER,BIGLIETTI DEGLI EVENTI
TID_GATCHA_SCREEN_TICKET_DROP_BONUS,BONUS!
TID_GATCHA_SCREEN_TICKET_DROP_DESC_ONGOING,Attivo per <TIME>
TID_GATCHA_SCREEN_TICKET_DROP_DESC_FUTURE,Inizia tra: <TIME>
TID_GATCHA_SCREEN_TICKET_DROP_NOTE,<EMPTY>
TID_GATCHA_SCREEN_COIN_DOUBLER_HEADER,RADDOPPIAGETTONI
TID_GATCHA_SCREEN_COIN_DOUBLER_VALUE,+<AMOUNT>
TID_GATCHA_SCREEN_COIN_DOUBLER_DESC,Raddoppia i gettoni ricevuti dalle battaglie!
TID_GATCHA_SCREEN_GOLD_DROP_TITLE,MONETE
TID_GATCHA_SCREEN_GOLD_DROP_DESC,Usa le monete per migliorare i brawler.
TID_GATCHA_SCREEN_GEM_DROP_TITLE,GEMME
TID_GATCHA_SCREEN_GEM_DROP_DESC,"Usa le gemme per comprare casse, skin e altri articoli dal negozio."
TID_GATCHA_SCREEN_HERO_POWER_TITLE,PUNTI ENERGIA
TID_GATCHA_SCREEN_HERO_POWER_LEVEL_UP_UNLOCKED,Miglioramento sbloccato!
TID_GATCHA_SCREEN_HERO_POWER_LEVEL_UP_AVAILABLE,Miglioramento disponibile!
TID_GATCHA_SCREEN_VANITY_ITEM_DROP_TITLE_52,REAZIONE
TID_GATCHA_SCREEN_VANITY_ITEM_DROP_DESC_52,Colleziona le reazioni per esprimerti al meglio!
TID_GATCHA_SCREEN_VANITY_ITEM_DROP_TITLE_68,GRAFFITI
TID_GATCHA_SCREEN_VANITY_ITEM_DROP_DESC_68,Colleziona i graffiti per esprimerti al meglio!
TID_GATCHA_SCREEN_VANITY_ITEM_DROP_TITLE_76,NUOVO TITOLO DEL GIOCATORE
TID_GATCHA_SCREEN_BOX_COUNTER_BONUS,BONUS!
TID_GATCHA_SCREEN_STAR_POINT_DROP_TITLE,PUNTI STELLARI
TID_GATCHA_SCREEN_STAR_POINT_DROP_DESC,Usa i punti stellari per acquistare articoli speciali dal negozio.
TID_GATCHA_SCREEN_RECRUIT_TOKEN_DROP_TITLE,CREDITI
TID_GATCHA_SCREEN_RECRUIT_TOKEN_DROP_DESC,I crediti sbloccano altri brawler!
TID_GATCHA_SCREEN_CHROMATIC_TOKEN_DROP_TITLE,CREDITI CROMATICI
TID_GATCHA_SCREEN_CHROMATIC_TOKEN_DROP_DESC,Usa i crediti cromatici per acquistare i brawler cromatici.
TID_NAVI_BLOCKED_1,Impossibile cambiare la pagina quando si è pronti.
TID_LEG_TRO_MIG_INFO_SHORT,Hai guadagnato <AMOUNT><cff00ff> punto/i stellari</c>!
TID_BUTTON_CLAIM,RITIRA
TID_LEG_TRO_MIG_POPUP_TITLE,Sono arrivati i <cff00ff>punti stellari</c>!
TID_LEG_TRO_MIG_INFO,"Scopri la nuova risorsa di Brawl Stars, che comincerai a guadagnare non appena uno dei tuoi brawler ha ottenuto 500 trofei. A fine stagione, alcuni dei trofei oltre questa quota saranno convertiti in punti stellari.\n\nMa non è tutto! Ne vincerai un po' anche ogni volta che un brawler raggiunge un nuovo grado, e per evitare che i gradi già ottenuti coi tuoi brawler non vadano sprecati, riceverai subito <AMOUNT> punti stellari!"
TID_TEAM_MEMBER_INFO_READY,<NAME> è in attesa che gli altri siano pronti.
TID_TEAM_MEMBER_INFO_NOT_READY,<NAME> si sta ancora preparando.
TID_TEAM_MEMBER_INFO_SELF_READY,Impossibile cambiare il brawler quando si è pronti.
TID_TEAM_CHANGE_EVENT_BLOCKED,Impossibile cambiare l'evento quando si è pronti.
TID_TEAM_TOGGLE_PRACTISE_BLOCKED,Questa modifica è impossibile quando si è pronti.
TID_TEAM_GATCHA_BLOCKED,Impossibile aprire la cassa quando si è pronti.
TID_TEAM_NO_MEMBER_INFO,Solo il fondatore della squadra può mandare inviti.
TID_TEAM_INFO_TEAM_CODE,Condividi questo codice con gli amici e invitali nella squadra.\n\nTocca ancora per memorizzarlo.
TID_FREEZER,Congelatore
TID_GAME_OVER,Partita conclusa
TID_LEVEL,liv. <LVL>
TID_PLAYERS_IN_MM,Ci sono dei giocatori nel matchmaking.
TID_ONLINE_INFO,Giocatori online: <ONLINE>; nel matchmaking: <MATCHMAKE>; in una partita: <BATTLES>.
TID_INPUT_NAME,Inserisci qui il nome
TID_LEADERBOARD_YOUR_SCORE,Punteggio
TID_LEADERBOARD_YOUR_RANK,Grado
TID_LEADERBOARD_HIGHEST_SCORE,Miglior punteggio
TID_LEADERBOARD_LOCAL,LOCALE (<COUNTRY>)
TID_REGION_0,MONDIALE
TID_REGION_1,ASIA
TID_SET_REGION_RESULT_0,Nuova regione impostata: <REGION>
TID_SET_REGION_RESULT_1,Impossibile cambiare regione quando sei in un club.
TID_SET_REGION_RESULT_2,Impossibile cambiare regione quando sei in una squadra.
TID_VICTORY_CONDITION_COINRUSH_TITLE,Arraffacristalli
TID_VICTORY_CONDITION_COINRUSH_TEXT,Raccogli 10 gemme e proteggile!
TID_BATTLE_END_MY_TEAM,La tua squadra
TID_BATTLE_END_ENEMY_TEAM,La squadra nemica
TID_BACK,INDIETRO
TID_NOT_ENOUGH_GOLD,Monete insufficienti! Ottienine altre dal Cammino dei trofei e dalle soglie del Brawl Pass.
TID_UNLOCK_SKIN_ERROR_1,Gemme insufficienti
TID_BOT_1,Bot 1
TID_BOT_2,Bot 2
TID_BOT_3,Bot 3
TID_BOT_4,Bot 4
TID_BOT_5,Bot 5
TID_BOT_6,Bot 6
TID_BOT_7,Bot 7
TID_BOT_8,Bot 8
TID_BOT_9,Bot 9
TID_CRAFT_HERO_TITLE,Acquista brawler
TID_CRAFT_HERO_BUTTON_LABEL,Acquista
TID_UNLOCK_SKIN_TITLE,Acquista skin
TID_SKIN_COMING_SOON,Skin non ancora disponibile
TID_UNLOCK_SKIN_BUTTON_LABEL,Acquista
TID_HERO_LIST_TOTAL_TROPHIES,Trofei totali
TID_TOP_TOOL_TIP_TOKENS,"I <c00ccff>gettoni</c> servono a sbloccare le ricompense del Brawl Pass.\n\nOttienili dalle missioni, dai nuovi eventi o dalle battaglie."
TID_TOP_TOOL_TIP_GEMS,"Le <c0ed12d>gemme</c> servono a comprare brawler, skin e altri articoli dal negozio.\n\nOttienile dalle ricompense del Brawl Pass o acquistale nel negozio con valuta reale."
TID_TOP_TOOL_TIP_COINS,"Le <cff8E1b>monete</c> servono a migliorare i brawler.\n\nOttienile dal Cammino dei trofei, dalle soglie del Brawl Pass o come premio per aver completato le missioni e le sfide."
TID_TOP_TOOL_TIP_STAR_POINTS,"I <cff00ff>punti stellari</c> servono ad acquistare articoli esclusivi nel negozio.\n\nOttienili dalla lega dei trofei e ogni volta che un brawler raggiunge un grado multiplo di 5, a partire dal grado 10!"
TID_TOP_TOOL_TIP_CLUB_TICKETS,I <cff0000>biglietti</c> servono a partecipare agli eventi della Lega dei club.
TID_TOP_TOOL_TIP_CLUB_COINS,Le <cff0000>monete del club</c> servono ad acquistare gli articoli esclusivi dal negozio del club.\n\nGuadagnale partecipando ai Giochi del club!
TID_TOP_TOOL_TIP_CHROMATIC_COINS,I <cF88F25>crediti cromatici</c> servono a sbloccare i brawler cromatici.\n\nOttienili dalle soglie del Brawl Pass.\n\nQuantità massima: <cFF0000><MAX></c><EXTRAINFO>
TID_TOP_TOOL_TIP_CHROMATIC_COINS_EXTRAINFO_MAX_REACHED,\n\n<cFF0000>Hai raggiunto il limite massimo. Spendi i crediti cromatici prima di ottenerne altri.</c>
TID_GAME_MODE_0,ARRAFFAGEMME
TID_GAME_MODE_0_DESC,Raccogli le gemme che sbucano dalla miniera collocata nel centro della mappa o rubale agli avversari sconfitti. Proteggine almeno dieci durante il conto alla rovescia per vincere lo scontro!
TID_GAME_MODE_2,RAPINA
TID_GAME_MODE_2_DESC,"Difendi la cassaforte della squadra e cerca di aprire quella degli avversari! La squadra che raggiunge l'obiettivo per prima vince.\n\nSe nessuno riesce nell'intento prima dello scadere del tempo, uscirà vittoriosa la squadra che ha inflitto più danni alla cassaforte nemica."
TID_GAME_MODE_3,RICERCATI
TID_GAME_MODE_3_DESC,"Raccogli le stelle per la tua squadra eliminando gli avversari. Guadagnerai una stella per ogni nemico sconfitto, per un massimo di sette stelle. Tienitele strette!\n\nVince la squadra che possiede il maggior numero di stelle allo scadere del tempo. Nel caso di un pareggio, vince la squadra che ha conquistato la stella blu."
TID_GAME_MODE_6,SOPRAVVIVENZA (SOLO)
TID_GAME_MODE_6_COMBINED,SOPRAVVIVENZA
TID_GAME_MODE_6_DESC,"Sopravvivi eliminando gli altri nove giocatori con ogni mezzo disponibile. Impegnati, perché hai solo una vita."
TID_GAME_MODE_6_DESC_COMBINED,Sopravvivi allo scontro sbarazzandoti di tutti gli avversari. Gioca in singolo o in coppia.
TID_GAME_MODE_5,FOOTBRAWL
TID_GAME_MODE_5_DESC,Fai gol agli avversari per ricevere un punto. La partita finisce quando una squadra arriva a due o allo scadere del tempo.
TID_GAME_MODE_3_OG,ANNIENTAMENTO
TID_GAME_MODE_3_OG_DESC,Raccogli le stelle per la tua squadra eliminando gli avversari. Guadagnerai una stella per ogni nemico sconfitto per un massimo di sette stelle. Tienitele strette!\n\nVince la squadra che possiede il maggior numero di stelle allo scadere del tempo.
TID_GAME_MODE_11,ASSEDIO
TID_GAME_MODE_11_DESC,"Assalta e distruggi l'assemblatore meccanico IKE degli avversari. Anche la tua squadra ne possiede uno e se lo rifornisci di bulloni, creerà un robot d'assedio che combatterà al tuo fianco. Raccogli i bulloni che appaiono vicino al centro della mappa e trattienili per qualche secondo per inviarli all'assemblatore.\n\nIn ogni scontro ci sono fino a tre assedi e la squadra che ha più bulloni all'inizio di ognuno costruirà un robot, la cui forza dipende dal numero di bulloni raccolti.\nGli assemblatori sono ben difesi, quindi attacca la base nemica con un robot se non vuoi fare una brutta fine."
TID_BATTLE_END_GAIN_LABEL_FIRST_WIN,Gettone stella
TID_BATTLE_END_GAIN_LABEL_RANK_UP,Nuovo grado
TID_BATTLE_END_GAIN_LABEL_LEVEL_UP,Nuovo livello
TID_BATTLE_END_GAIN_LABEL_VICTORY,Vittoria
TID_BATTLE_END_GAIN_LABEL_DEFEAT,Sconfitta
TID_BATTLE_END_GAIN_LABEL_DRAW,Pareggio
TID_BATTLE_END_GAIN_LABEL_MVP,Migliore
TID_BATTLE_END_GAIN_LABEL_SURVIVAL,Esito posiz.
TID_BATTLE_END_GAIN_LABEL_COIN_DOUBLER,Gettoni rimasti:
TID_BATTLE_END_COIN_REWARDS,GETTONI RICEVUTI
TID_BATTLE_END_MVP,MIGLIORE
TID_BATTLE_END_DEFEAT_INFO,Andrà meglio alla prossima!
TID_TUTORIAL_1,"Ciao, sono Shelly! Presto, andiamo a raccogliere quei <c50d050>CUBI DI ENERGIA</c>! <c0066ff>TRASCINA</c> la <c0066ff>LEVETTA BLU</c> per farmi muovere."
TID_TUTORIAL_2,Questi <c50d050>CUBI DI ENERGIA</c> sono tutti miei! Non devo farmene scappare nessuno!
TID_TUTORIAL_3,Dei robot! <ccc0033>TRASCINA</c> la <ccc0033>LEVETTA ROSSA</c> per prendere la mira e rilasciala per sparare. Smantelliamo quelle lattine!
TID_TUTORIAL_GOOD_JOB_1,Bel lavoro!
TID_TUTORIAL_5,Un'altra seccatura! <ccc0033>TOCCA</c> la <ccc0033>LEVETTA ROSSA</c> per sparare al nemico più vicino. Sistemiamoli!
TID_TUTORIAL_6,Usiamo la super per colpire il BOSS dietro al muro! <cff9900>TRASCINA</c> la <cff9900>LEVETTA GIALLA</c> per mirare e rilasciala per far fuoco!
TID_TUTORIAL_555,Così si fa! Finiamolo!
TID_TUTORIAL_7,"Ci sai fare! Abbiamo i <c50d050>CUBI DI ENERGIA</c>, quindi possiamo anche andarcene!"
TID_TUTORIAL_8,Colpisci i nemici per caricare la super e scatenala contro gli avversari usando la <cff9900>levetta gialla</c>!
TID_TUTORIAL_9,Impari in fretta!\n\nOra mostragli quello che sai fare!
TID_TUTORIAL_10,Attaccare i bersagli carica l'indicatore della super e la mia è pronta!\nTocca il pulsante della super!
TID_TUTORIAL_11,"Gli <cff6633>indicatori arancioni</c> mostrano le munizioni. Sarò un lampo a ricaricare, non temere!"
TID_FIGHT_TUTORIAL,GIOCA
TID_HERO_SCORE_INFO,Ottieni trofei per questo brawler vincendo le partite contro gli altri giocatori.\n\nAccumula <PROGRESS> trofei per salire al grado successivo e ricevere <COINS> gettoni.
TID_HERO_SCORE_INFO_LEG_TROS,"Ottieni trofei per questo brawler vincendo le partite contro gli altri giocatori.\n\nAccumula <PROGRESS> trofei per salire al grado successivo, ricevere <COINS> gettoni e <cff00ff><LEGTROS> punti stellari</c>."
TID_HERO_SCORE_INFO_MAXED,Hai raggiunto il massimo grado.\n\n
TID_TUTORIAL_WIN_ONE_GAME_PROMPT,GIOCA A UNA BATTAGLIA DI ALLENAMENTO PER SBLOCCARE IL GIOCO INTERO.
TID_SOCIAL_TAB_CLANS,CLUB
TID_SOCIAL_TAB_FRIENDS,AMICI
TID_FRIEND_STATUS_YOU,<EMPTY>
TID_FRIEND_STATUS_OFFLINE,<EMPTY>
TID_FRIEND_STATUS_BATTLE,<cffffff>in battaglia</c> da <TIME>
TID_FRIEND_STATUS_BATTLE_END_SCREEN,<cffffff>fine scontro</c>
TID_FRIEND_STATUS_SPECTATING,<cffffff>vede scontri</c>
TID_FRIEND_STATUS_PRACTICING,<cffffff>allenamento</c>
TID_FRIEND_STATUS_MATCHMAKE,<cffffff>cerca avversari</c>
TID_FRIEND_STATUS_HOME_AD_FULL,<cffffff>in squadra</c>
TID_FRIEND_STATUS_HOME_WITH_AD,<cffffff>in squadra</c>
TID_FRIEND_STATUS_HOME_IN_GAMEROOM,<cffffff>in squadra</c>
TID_FRIEND_STATUS_BATTLE_NO_TIME,<cffffff>in battaglia</c>
TID_FRIEND_STATUS_MENUS,nei menu
TID_FRIEND_STATUS_HOME_NO_GAMEROOM,<EMPTY>
TID_ONLINE_FRIENDS_POPUP_TITLE_INVITE,ALLEATI!
TID_ONLINE_FRIENDS_POPUP_TITLE,GIOCATORI ONLINE
TID_ONLINE_FRIENDS_POPUP_NO_ONLINE_FRIENDS,Nessun amico o socio del club online
TID_ONLINE_FRIENDS_POPUP_NO_FRIENDS,Nessun amico o socio del club online. Hai giocato con qualcuno davvero forte di recente? Aggiungilo agli amici!
TID_CLAN_CREATE_BUTTON,CREA
TID_CLAN_SAVE_BUTTON,SALVA
TID_CLAN_CREATE_TITLE,CREA UN NUOVO CLUB
TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_LESS_THAN_HOUR,Online: <cf7f7f7><less_than_h_ago></c>
TID_LESS_THAN_H_AGO,meno di 1 h fa
TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_HOURS,Online: <cf7f7f7><HOURS> h fa</c>
TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_DAYS,Online: <cf7f7f7><DAYS> g fa</c>
TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_LONG,Online: <cf7f7f7>più di un mese fa</c>
TID_CLAN_MEMBER_ONLINE_STATUS_1,<cff1e00>IN BATTAGLIA</c>
TID_CLAN_MEMBER_ONLINE_STATUS_2,<cffffff>NEI MENU</c>
TID_CLAN_MEMBER_ONLINE_STATUS_3,<cffffff>NEI MENU</c>
TID_CLAN_MEMBER_ONLINE_STATUS_4,<cff1e00>CERCA AVVERSARI</c>
TID_CLAN_MEMBER_ONLINE_STATUS_5,<cffffff>NEI MENU</c>
TID_CLAN_MEMBER_ONLINE_STATUS_7,<cff1e00>VEDE SCONTRI</c>
TID_CLAN_MEMBER_ONLINE_STATUS_8,<cff1e00>ALLENAMENTO</c>
TID_CLAN_MEMBER_ONLINE_STATUS_9,<cffffff>NEI MENU</c>
TID_CLAN_MEMBER_ONLINE_STATUS_10,<cffffff>NEI MENU</c>
TID_CLAN_MEMBER_ONLINE_STATUS_11,<cffffff>NEI MENU</c>
TID_CLAN_ENTRY_ONLINE_MEMBERS,<COUNT> membri online
TID_CLAN_ENTRY_ONLINE_MEMBER,<COUNT> membro online
TID_ALLIANCE_TYPE_OPEN,Aperto
TID_ALLIANCE_TYPE_INVITE_ONLY,Su invito
TID_ALLIANCE_TYPE_CLOSED,Privato
TID_CLAN_SEARCH_TITLE,CERCA CLUB
TID_CLAN_INTRO_AD_TITLE,CERCHI UN CLUB?
TID_CLAN_INTRO_AD_DESC,Unisciti a un club per giocare insieme agli altri membri!
TID_CLAN_INTRO_AD_TITLE_IN_CLAN,CERCA ALTRI CLUB
TID_CLAN_INTRO_AD_DESC_IN_CLAN,Dai un'occhiata agli altri club del gioco!
TID_CLAN_INTRO_CREATE_GO,CREA CLUB
TID_CLAN_INTRO_SEARCH_GO,CERCA CLUB
TID_CLAN_INTRO_REFRESH,AGGIORNA
TID_CLAN_NOT_ENOUGH_SCORE_TO_JOIN,Sono necessari <REQ> trofei per entrare nel club e tu ne hai solo <SCORE>.
TID_CLAN_CANNOT_JOIN_CLOSED_CLAN,Questo club è privato
TID_STREAM_ENTRY_AGE,<time> fa
TID_ALLIANCE_ROLE_LEADER,Presidente
TID_ALLIANCE_ROLE_CO_LEADER,Vicepresidente
TID_ALLIANCE_ROLE_MEMBER,Socio
TID_ALLIANCE_ROLE_ELDER,Socio anziano
TID_STREAM_SENDER_YOU,Tu
TID_GOLDRUSH_1,Miniera Rocciadura
TID_BANKHEIST_1,Rifugio dei banditi
TID_WANTED_1,Rovine del tempio
TID_BATTLE_ROYALE_1,Torrente del teschio
TID_GOLDRUSH_2,Sala giochi di cristallo
TID_BANKHEIST_2,Canyon Bum Bum
TID_WANTED_2,Covo dei fuorilegge
TID_BATTLE_ROYALE_2,Lande aride
TID_GOLDRUSH_3,Grotta velenosa
TID_BANKHEIST_3,Santuario
TID_WANTED_3,Colle di pietra
TID_BATTLE_ROYALE_3,Valle rocciosa
TID_WANTED_4,Antro velenoso
TID_GOLDRUSH_4,Fortino di souvenir
TID_WANTED_5,Valle limpida
TID_GOLDRUSH_5,Miniera minacciosa
TID_WANTED_6,Prateria dei serpenti
TID_WANTED_7,Piana delle stelle
TID_GOLDRUSH_6,Trattoria sotterranea
TID_GOLDRUSH_7,Area relax
TID_BATTLE_ROYALE_4,Piana della fame
TID_WANTED_8,Nascondiglio
TID_BANKHEIST_4,Obitorio G.G.
TID_CLAN_MEMBERS_ONLINE,Soci online: <COUNT>/<TOTAL>
TID_CLAN_TOTAL_TROPHIES,Trofei del club
TID_CLAN_SEARCH_OK,CERCA
TID_CLAN_INFO_NAME,NOME DEL CLUB
TID_CLAN_INFO_BADGE,EMBLEMA
TID_CLAN_INFO_DESC,DESCRIZIONE
TID_CLAN_INFO_TOTAL_TROPHIES,TROFEI DEL CLUB
TID_CLAN_INFO_TYPE,TIPO
TID_CLAN_INFO_TAG,TAG DEL CLUB
TID_CLAN_INFO_MIN_TROPHIES,TROFEI NECESSARI
TID_CLAN_INFO_LEAVE,ESCI
TID_CLAN_INFO_SETTINGS,IMPOSTAZIONI
TID_CLAN_INFO_JOIN,ENTRA
TID_CLAN_INFO_MESSAGE,Messaggio
TID_CLAN_INFO_REQUEST_JOIN,Richiedi accesso
TID_CLAN_SEARCH_NO_RESULTS,Nessun club trovato
TID_CLAN_SEARCH_INITIAL,Non hai ancora cercato nulla.
TID_CLAN_INFO_MEMBERS,SOCI:
TID_CLAN_INFO_SELECT_BADGE,SFOGLIA
TID_SELECT_BADGE,SCEGLI EMBLEMA
TID_ALLIANCE_CREATE_OK,Club creato
TID_CLAN_CHANGE_SETTINGS_TITLE,IMPOSTAZIONI DEL CLUB
TID_TITLE_ALLIANCE,Info sul club
TID_ALLIANCE_LEFT,Hai abbandonato il club
TID_CLAN_MEMBER_DEMOTE,Retrocedi
TID_CLAN_MEMBER_PROMOTE,Promuovi
TID_CLAN_MEMBER_KICK,Espelli
TID_CLAN_MEMBER_VIEW_ALLIANCE,Vedi club
TID_BUTTON_INVITE,INVITA
TID_PLAYER_INFO_GOTO_CLAN,Vedi club
TID_SELECT_PLAYER_THUMBNAIL,SELEZIONA
TID_SELECT_PLAYER_THUMBNAIL_FAIL_3,Questa icona si sblocca ottenendo un totale di <TROPHIES> trofei.
TID_PLAYER_INFO_WINS_AMOUNT,Vittorie: <AMOUNT>
TID_PLAYER_INFO_TAB_1,STATISTICHE
TID_PLAYER_INFO_TAB_2,BRAWLER (<FOUND>/<TOTAL>)
TID_PLAYER_STAT_1,VITTORIE 3 VS 3
TID_PLAYER_STAT_4,RECORD DI TROFEI
TID_PLAYER_STAT_8,VITTORIE IN SINGOLO
TID_PLAYER_STAT_9,DIFF. PIÙ ALTA DI ROBOASSALTO
TID_PLAYER_STAT_11,VITTORIE IN DUE
TID_PLAYER_STAT_12,DIFF. PIÙ ALTA DI RAID
TID_PLAYER_STAT_13,RECORD PUNTI IN SETE DI POTERE
TID_PLAYER_STAT_14,RECORD POSIZ. IN SETE DI POTERE
TID_PLAYER_STAT_15,MAX VITTORIE SFIDA DEL TORNEO
TID_PLAYER_STAT_16,DIFF. PIÙ ALTA IN ASS. A SUPER CITY
TID_PLAYER_STAT_17,DIVIS. PIÙ ALTA (SQUADRE)
TID_PLAYER_STAT_18,DIVIS. PIÙ ALTA (SINGOLO)
TID_PLAYER_STAT_19,DIVIS. PIÙ ALTA (LEGA DEI CLUB)
TID_NO_CLAN,In nessun club
TID_ULTIMATE_NOT_READY,Colpisci i nemici per caricare la super!
TID_CANT_ACTIVATE_ULTI,La super non funziona se sei fuori combattimento!
TID_NAME_TOO_SHORT,Il nome è troppo corto.
TID_ALLIANCE_JOINED,Sei parte del club
TID_COIN_RUSH_INTRO_TEXT,Raccogli 10 gemme per vincere!
TID_BOUNTY_HUNTER_INTRO_TEXT,Sconfiggi i brawler per ottenere le stelle!
TID_ATTACK_DEFEND_INTRO_TEXT_ATTACK,Colpisci la cassaforte nemica per aprirla!
TID_ATTACK_DEFEND_INTRO_TEXT_DEFEND,Colpisci la cassaforte nemica per aprirla!
TID_GO,COMBATTETE!
TID_ALLIANCE_LEAVE_CONFIRMATION_TITLE,CONFERMA USCITA
TID_ALLIANCE_LEAVE_CONFIRMATION,\n\nVuoi davvero uscire dal club?
TID_ALLIANCE_LEAVE_CONFIRMATION_LEAVE,ESCI
TID_ALLIANCE_PROMOTE_TITLE,Conferma promozione
TID_ALLIANCE_PROMOTE_CONFIRMATION,Vuoi davvero promuovere <NAME> al ruolo di <ROLE>?
TID_ALLIANCE_PROMOTE_BUTTON,Promuovi
TID_ALLIANCE_KICK_TITLE,Conferma espulsione
TID_ALLIANCE_KICK_CONFIRMATION,Vuoi davvero espellere <NAME> dal club?
TID_ALLIANCE_KICK_BUTTON,Espelli
TID_ALLIANCE_DEMOTE_TITLE,Conferma retrocessione
TID_ALLIANCE_DEMOTE_CONFIRMATION,Vuoi davvero retrocedere <NAME> al ruolo di <ROLE>?
TID_ALLIANCE_DEMOTE_BUTTON,Retrocedi
TID_CLAN_RESPONSE_10,Impostazioni salvate
TID_CLAN_RESPONSE_20,Club creato
TID_CLAN_RESPONSE_21,Errore nella creazione del club. Riprova più tardi.
TID_CLAN_RESPONSE_22,Nome non valido
TID_CLAN_RESPONSE_23,Descrizione non valida
TID_CLAN_RESPONSE_24,Nome troppo corto
TID_CLAN_RESPONSE_40,Sei parte del club
TID_CLAN_RESPONSE_42,Impossibile entrare. Il club è pieno.
TID_CLAN_RESPONSE_43,Impossibile entrare. Il club è riservato.
TID_CLAN_RESPONSE_45,Impossibile entrare. Non hai abbastanza trofei.
TID_CLAN_RESPONSE_46,Impossibile entrare. Il club ti ha già espulso in passato o non ha accettato una tua richiesta precedente.
TID_CLAN_RESPONSE_47,"Impossibile entrare, perché oggi hai fatto parte di troppi club. Per oggi non puoi più entrare in un club."
TID_CLAN_RESPONSE_48,Impossibile entrare. Il club fa parte di un'altra regione.
TID_CLAN_RESPONSE_50,Richiesta inviata.
TID_CLAN_RESPONSE_51,Impossibile inviare la richiesta. Il club non ne accetta più.
TID_CLAN_RESPONSE_52,Impossibile inviare la richiesta. Ne esiste già una in sospeso con questo club.
TID_CLAN_RESPONSE_53,Impossibile inviare la richiesta. Non hai abbastanza trofei.
TID_CLAN_RESPONSE_54,"Impossibile inviare la richiesta, a causa di una precedente espulsione o richiesta non accettata."
TID_CLAN_RESPONSE_55,Impossibile inviare la richiesta. Il club fa parte di un'altra regione.
TID_CLAN_RESPONSE_56,Impossibile entrare. Il club non è tra quelli adatti a ogni età.
TID_CLAN_RESPONSE_70,Espulsione confermata
TID_CLAN_RESPONSE_80,Hai abbandonato il club
TID_CLAN_RESPONSE_81,Promozione confermata
TID_CLAN_RESPONSE_82,Retrocessione confermata
TID_CLAN_RESPONSE_90,Accesso confermato
TID_CLAN_RESPONSE_91,Rifiuto confermato
TID_CLAN_RESPONSE_92,Impossibile confermare l'accesso. La persona è già nel club.
TID_CLAN_RESPONSE_93,Impossibile eseguire. La richiesta non esiste.
TID_CLAN_RESPONSE_94,Impossibile eseguire. La richiesta è stata già gestita.
TID_CLAN_RESPONSE_95,Impossibile eseguire. Non hai i privilegi necessari.
TID_CLAN_RESPONSE_96,Impossibile confermare l'accesso. Il giocatore è stato sospeso dal club.
TID_CLAN_RESPONSE_100,Ti hanno espulso dal club.
TID_CLAN_RESPONSE_101,Hai ricevuto una promozione!
TID_CLAN_RESPONSE_102,Hai subito una retrocessione.
TID_CLAN_RESPONSE_112,Attendi <TIME> prima di inviare\nun altro messaggio al club.
TID_CLAN_RESPONSE_113,Il messaggio è stato inviato al club.
TID_CLAN_NO_RIGHTS,Non hai i privilegi necessari per questa azione.
TID_ALLIANCE_NAME_TOO_SHORT,Nome del club troppo corto
TID_CLAN_JOIN_REQUEST_TITLE,Richiesta adesione al club
TID_CLAN_JOIN_REQUEST_SEND,Invia
TID_CLAN_JOIN_REQUEST_DEFAULT_MESSAGE,"Ehilà, mi piacerebbe entrare in questo club."
TID_CLAN_JOIN_REQUEST_ENTRY_TITLE,Vuoi far entrare questo giocatore nel club?
TID_CLAN_JOIN_REQUEST_ENTRY_ACCEPT,Accetta
TID_CLAN_JOIN_REQUEST_ENTRY_REJECT,Rifiuta
TID_CLAN_JOIN_REQUEST_ENTRY_ACCEPTED_BY,Richiesta accettata da <name>
TID_CLAN_JOIN_REQUEST_ENTRY_REJECTED_BY,Richiesta rifiutata da <name>
TID_HINT_DRAG_TO_AIM,Trascina per mirare
TID_HINT_RELEASE_TO_SHOOT,Rilascia per colpire
TID_HINT_ACTIVATE_ULTI,Trascina la <cff9900>LEVETTA GIALLA</c> per mirare la super.
TID_HINT_DRAG_TO_ULTI,Trascina per mirare la SUPER e rilascia per usarla!
TID_HINT_COLLECT_GOLD,I brawler fanno cadere le loro <ce662f9>GEMME</c> quando sono eliminati.
