TID,PT
TID_GATCHA_BOX_INFO_3,\n\n<AMOUNT> vezes o tamanho de uma Caixa Brawl.
TID_SHOP_OFFER_INFO_0,É grátis. Aproveite!
TID_SHOP_OFFER_INFO_1,Contém <AMOUNT> moedas. Use-as para melhorar seu Brawler!
TID_SHOP_OFFER_INFO_2,Desbloqueie um Brawler <RARITY> aleatório!
TID_SHOP_OFFER_INFO_3,Desbloqueie um novo Brawler!
TID_SHOP_OFFER_INFO_6,"As Caixas Brawl podem conter Brawlers, pontos de poder, moedas e mais!"
TID_SHOP_OFFER_INFO_7,Contém <AMOUNT> ingressos de evento. Use-os para participar de eventos com ingressos!
TID_SHOP_OFFER_INFO_8,Contém <AMOUNT> pontos de poder. Use-os para desbloquear melhorias dos Brawlers!
TID_SHOP_OFFER_INFO_9,Duplica as próximas <AMOUNT> fichas obtidas nas batalhas!
TID_SHOP_OFFER_INFO_10,Megacaixas têm dez vezes mais itens do que as Caixas Brawl normais!
TID_SHOP_OFFER_INFO_12,Você pode escolher o Brawler que receberá os pontos de poder.
TID_SHOP_OFFER_INFO_13,Desbloqueie um novo espaço de evento
TID_SHOP_OFFER_INFO_14,Caixas Grandes têm três vezes mais itens do que as Caixas Brawl normais!
TID_SHOP_OFFER_INFO_16,Contém <AMOUNT> gemas.
TID_SHOP_OFFER_INFO_18,Libere MISSÕES SAZONAIS e receba mais fichas do Brawl Pass!
TID_SHOP_OFFER_INFO_19,Uma reação nova para <BRAWLER>!
TID_SHOP_OFFER_INFO_20,Contém <AMOUNT> reações. Use-as para conversar com os outros jogadores!
TID_SHOP_OFFER_INFO_21,"O pacote contém 2 reações comuns e 1 reação rara ou épica para qualquer Brawler desbloqueado, de acordo com as seguintes probabilidades:\nReação rara: <Rare>%\nReação épica: <Epic>%"
TID_SHOP_OFFER_INFO_22,"O pacote contém 2 reações comuns e 1 reação rara ou épica para <BRAWLER>, de acordo com as seguintes probabilidades:\n\nReação rara: <Rare>%\nReação épica: <Epic>%"
TID_SHOP_OFFER_INFO_23,Contém 1 reação nova de raridade <RARITY>. Use reações para se comunicar com os outros jogadores!
TID_SHOP_OFFER_INFO_27,Contém 3 reações novas de raridade <RARITY>. Use reações para se comunicar com os outros jogadores!
TID_SHOP_OFFER_INFO_30,Libere um novo Brawler melhorado para o nível <LVL>!
TID_SHOP_OFFER_INFO_31,Libere um Brawler <RARITY> aleatório melhorado para o nível <LVL>!
TID_SHOP_OFFER_INFO_32,Use fichas para melhorar suas engrenagens!
TID_SHOP_OFFER_INFO_33,Use sucata para criar e melhorar engrenagens!
TID_SHOP_OFFER_INFO_35,Use sprays para personalizar os níveis!
TID_SHOP_OFFER_INFO_37,Um espaço extra para sprays!
TID_SHOP_OFFER_INFO_38,Use vales para desbloquear novos Brawlers!
TID_SHOP_OFFER_INFO_39,Use vales cromáticos para liberar Brawlers cromáticos.
TID_SHOP_OFFER_HOR_NEW,NOVO
TID_SHOP_OFFER_HOR_RARITY,<c<COLOR>><NAME></c>
TID_SHOP_OFFER_HOR_BRAWLER,BRAWLER
TID_SHOP_OFFER_HOR_POPUP_RARITY,NOVO <c<COLOR>><NAME></c>
TID_SHOP_OFFER_HOR_POPUP_BRAWLER,BRAWLER
TID_SHOP_SKIN_OFFER,OFERTA DE VISUAL
TID_SHOP_OFFER_EXPIRED,Oferta expirada
TID_SKINS_AD_TITLE,NOVOS VISUAIS DISPONÍVEIS
TID_SKINS_AD_OK,OK
TID_SKINS_AD_INFO,Confira os novos visuais na tela de Brawlers!
TID_TERMS_OF_SERVICE_BUTTON,Termos de Uso
TID_IMMUNE,Imune
TID_BATTLE_END_PROCEED,AVANÇAR
TID_HINT_TAP_TO_MOVE_1,Junte as <ce662f9>GEMAS</c> no centro do mapa.
TID_CANT_DEACTIVATE_ULTI_DURING_TUTORIAL_1,Mire o Super na direção do inimigo!
TID_HINT_SHOOT_1,<ce662f9>GEMAS</c> surgem do buraco no meio!
TID_HINT_DRAG_TO_ULTI_1,Agora dispare o seu SUPER com o controle vermelho!
TID_BIND_TO_NEW_GAMECENTER_ACCOUNT_TITLE,Novo login no Game Center
TID_BIND_TO_NEW_GAMECENTER_ACCOUNT,Quer salvar o seu jogo atual nesta conta do Game Center?
TID_GOOGLE_SERVICE_BOUND_TO_OTHER_ACCOUNT_TITLE,Alerta de conta do Google
TID_GOOGLE_SERVICE_BOUND_TO_OTHER_ACCOUNT,Carregar o jogo de <name> (<trophies> troféus)? Aviso: o progresso do jogo atual será perdido.
TID_BOUND_TO_OTHER_ACCOUNT_LOAD_VILLAGE_TITLE,Carregar o jogo?
TID_BUTTON_VILLAGE_LOAD,Carregar
TID_GAMECENTER_BOUND_TO_OTHER_ACCOUNT_TITLE,Alerta do Game Center
TID_GAMECENTER_BOUND_TO_OTHER_ACCOUNT,Carregar o jogo de <name> (<trophies> troféus)? Aviso: o progresso do jogo atual será perdido.
TID_BUTTON_AVATAR_LOAD,Carregar
TID_SETTINGS_SCREEN_TITLE,Configurações
TID_SETTINGS_MUSIC,MÚSICA
TID_SETTINGS_SFX,EFEITOS SONOROS
TID_SETTINGS_OFF,NÃO
TID_SETTINGS_ON,SIM
TID_SETTINGS_LANGUAGE,IDIOMA
TID_ACCOUNT,Dispositivos
TID_LINK_DEVICE_BUTTON,Vincular um dispositivo
TID_SETTINGS_FACEBOOK,AMIGOS
TID_CHANGE_NAME_BUTTON,Alterar nome
TID_CREDITS_BUTTON,Créditos
TID_PRIVACY_POLICY_BUTTON,Política de Privacidade
TID_PARENTS_GUIDE_BUTTON,Guia para Pais
TID_MULTIDEVICE_INFO,Faça login em sua conta do Game Center para salvar seu progresso e jogar em vários dispositivos iOS.
TID_SETTINGS_GOOGLE,LOGIN NO GOOGLE PLAY
TID_SETTINGS_BUTTON_FACEBOOK_CONNECTED,Conectado
TID_SETTINGS_BUTTON_FACEBOOK_DISCONNECTED,Conectar
TID_SETTINGS_BUTTON_FACEBOOK_CONNECTED_UP,CONECTADO
TID_SETTINGS_BUTTON_FACEBOOK_DISCONNECTED_UP,CONECTAR
TID_FAQ_BUTTON,Ajuda e Suporte
TID_ABOUT_TERMS,O uso deste software está sujeito aos Termos de Uso e à Política de Privacidade disponíveis no site www.supercell.com.
TID_ABOUT,Créditos\n\n<names>\n\nBrawl Stars ™ <version>\nCopyright 2016-2023 Supercell Ltd. Todos os direitos reservados.\n<extracopyright>\n<terms>
TID_IAP_TRANSACTION_PENDING,Aguarde. Transação pendente.
TID_RATE_APP_TITLE,Avalie Brawl Stars
TID_RATE_APP_MESSAGE,Avalie ou comente sobre o Brawl Stars na App Store. Seu feedback é valioso para nós!
TID_BUTTON_RATE_APP_LATER,Mais tarde
TID_BUTTON_RATE_APP_REVIEW,Avaliar
TID_BUTTON_RATE_APP_NEVER,Nunca
TID_ERROR_POP_UP_UNLOCK_UNAVAILABLE_TITLE,Desbloqueio da conta indisponível
TID_ERROR_POP_UP_UNLOCK_UNAVAILABLE,O desbloqueio da conta não está disponível no momento. Tente novamente mais tarde!
TID_ERROR_POP_UP_UNLOCK_UNAVAILABLE_BUTTON,Tentar novamente
TID_ACCOUNT_LOCKED_INVALID_CODE,Código de desbloqueio inválido!
TID_ACCOUNT_LOCKED_TITLE,Conta bloqueada
TID_ACCONT_LOCKED_TEXT,Sua conta foi bloqueada por motivos de segurança. Entre em contato com o serviço de suporte para recuperá-la.
TID_ACCOUNT_LOCKED_TEXT2,Insira o código de desbloqueio aqui:
TID_HERO_LIST_CONFIRM_GEM_GATCHA,Toque para confirmar
TID_NOT_ENOUGH_GEMS_TITLE,Gemas insuficientes.
TID_NOT_ENOUGH_GEMS_INFO,\n\nVocê precisa de mais gemas. Compre-as na loja.
TID_NOT_ENOUGH_GEMS_GO_TO_SHOP,Ir para a loja
TID_NOT_ENOUGH_CHROMATIC_COINS,Vales cromáticos insuficientes
TID_COIN_DOUBLER_TITLE,Comprar duplicador de fichas
TID_COIN_DOUBLER_TITLE_WITH_COINS,Adicionar fichas ao duplicador de fichas
TID_COIN_DOUBLER_INFO,Duplica as próximas <c2edd1b><AMOUNT></c> fichas obtidas nas batalhas.
TID_COIN_DOUBLER_INFO_WITH_COINS,Adicione <c2edd1b><AMOUNT></c> fichas ao duplicador de fichas.\n\nAs fichas ganhas nas batalhas são duplicadas com o duplicador de fichas.
TID_GEM_PRICE_OK,<COST>
TID_GEM_PRICE_WARN,<COST>
TID_STAT_PER_DYNAMITE,Dano por dinamite
TID_STARS_1,Cuidado! Você tem uma <ce662f9>GEMA</c>!
TID_STARS_2,Cuidado! Você tem algumas <ce662f9>GEMAS</c>!
TID_STARS_3,Cuidado! Você tem muitas <ce662f9>GEMAS</c>!
TID_STARS_4,Cuidado! Você tem um montão de <ce662f9>GEMAS</c>!
TID_GATCHA_BUTTON_TITLE,CAIXA BRAWL
TID_1ST_WIN_CHEST_BUTTON_TITLE,CAIXA GRANDE
TID_EVENT_LOCKED,Bloqueado
TID_SPECIAL_EVENT_TITLE_TOP,EVENTO ESPECIAL:
TID_SPECIAL_EVENT_STATUS_ACTIVE,ativo por
TID_SPECIAL_EVENT_STATUS_FUTURE,começando em
TID_EVENT_COMING_UP_INFO,Este evento começará em <TIME>
TID_ROCKET_BEACH_SKIN,BROCK PRAIANO
TID_CACTUS_PINK_SKIN_OLD,SPIKE ROSA
TID_SHAMAN_PANDA_SKIN,NITA PANDA
TID_CROW_WHITE_SKIN,CORVO BRANCO
TID_BULL_HAIR_SKIN,BULL VIKING
TID_TRICKSHOT_GOLD_SKIN_OLD,RICOCHET MEDALHISTA DE OURO
TID_BARKEEP_GOLD_SKIN,BARLEY DE OURO
TID_GUNSLINGER_ROCKSTAR_SKIN,COLT ROQUEIRO
TID_STAT_HEAL,Cura
TID_LUCHADOR_RUDO_SKIN,PRIMO EL RUDO
TID_HERO_INFO_PURCHASE_SKIN_LABEL,Comprar
TID_EVENTS_NEW_EVENT,Novo evento!
TID_SETTINGS_BRAWLHINTS,Dicas de batalha
TID_COLLECTED_COINS_INFO,Você coletou <CURRENT> fichas de <MAX> em <PLANET>.
TID_COLLECTED_COINS_INFO_CAPPED,Você coletou todas as fichas disponíveis em <PLANET>.
TID_TICKET_COUNTER_INFO,Use seus ingressos para lutar aqui!
TID_NOT_ENOUGH_TICKETS,Ingressos insuficientes
TID_EVENT_LIST_GAME_ROOMS,NOVA EQUIPE
TID_EVENT_LIST_WELCOME,Bem-vindo ao Brawl Stars!
TID_COOP,Modo cooperativo
TID_COOP_NOT_SUPPORTED,O modo cooperativo não é disponível neste evento.
TID_PRACTISE_NOT_SUPPORTED,O treino não é disponível neste evento.
TID_BIND_TO_NEW_FACEBOOK_ACCOUNT_TITLE,Novo login no Facebook
TID_BIND_TO_NEW_FACEBOOK_ACCOUNT,Quer vincular o seu jogo atual a esta conta do Facebook?
TID_BUTTON_OKAY,OK
TID_SELECT_PLAYER_THUMBNAIL_FAIL_4,Pré-requisito do ícone: <HERO>
TID_HERO_PORTRAIT_CRAFT_COST,<cffffff><COST></c>
TID_HERO_PORTRAIT_CRAFT_COST_NEG,<c999999><COST></c>
TID_EVENT_POPUP_CREATE_TEAM_INFO,Convide seus amigos\npara jogar!
TID_EVENT_POPUP_HIGHSTAKES_INFO,Você pode usar vários ingressos por partida para ganhar melhores recompensas.
TID_EVENT_POPUP_GMV_LABEL_TEAM,3 x 3
TID_EVENT_POPUP_GMV_LABEL_BATTLE_ROYALE,Único sobrevivente
TID_EVENT_POPUP_GMV_LABEL_BOSS_FIGHT,5 x 1
TID_EVENT_POPUP_GMV_LABEL_COOP_SURVIVAL,Três jogadores contra robôs
TID_HIGHSTAKES_REWARDS,Recompensas: <COUNT>
TID_HIGHSTAKES_COST,Ingressos: <COUNT>
TID_POPUP_ANDROID_EXIT_TITLE,Sair do Brawl Stars?
TID_POPUP_ANDROID_EXIT,Quer mesmo sair do Brawl Stars?
TID_ROOM_NOT_SUPPORTED,Equipes não estão disponíveis neste evento.
TID_ERROR_POP_UP_PURCHASE_FAILED_TITLE,Falha na compra
TID_ERROR_POP_UP_PURCHASE_FAILED,O servidor de cobrança não responde. Tente novamente mais tarde.
TID_ERROR_POP_UP_PURCHASE_FAILED_BUTTON,Ok
TID_IAP_NOT_AVAILABLE,Habilite as compras no aplicativo nas configurações de restrições do dispositivo.
TID_NEWS_TITLE,NOTÍCIAS
TID_STAT_DAMAGE_PER_ARROW,Dano por flecha
TID_STAT_DAMAGE_PER_MINE,Dano por armadilha
TID_STAT_DAMAGE_PER_SPIKE,Dano por espinho
TID_STAT_DAMAGE_PER_DAGGER,Dano por facada
TID_FRIENDS_FACEBOOK_CONNECTED,Facebook conectado
TID_FRIENDS_FACEBOOK_NOT_CONNECTED,Conecte-se ao Facebook para ver seus amigos aqui!
TID_FRIENDS_CONNECT_INFO,Conecte-se a redes sociais para ver seus amigos aqui!
TID_FRIENDS_NO_FRIENDS,Sem amigos
TID_FRIENDS_SUGGESTIONS_SEND_REQUEST,SOLICITAR AMIZADE
TID_FRIENDS_TITLE_1_NO_COUNT,AMIGOS
TID_FRIENDS_TITLE_1,AMIGOS (<COUNT>)
TID_FRIENDS_TITLE_2,SUGESTÕES DE AMIGOS
TID_FRIENDS_TITLE_3,CONVITES DE AMIZADE
TID_FRIEND_SUGGESTIONS_GAMES_PLAYED_MULT,<COUNT> BATALHAS RECENTES EM EQUIPE
TID_FRIEND_SUGGESTIONS_GAMES_PLAYED_ONE,UMA BATALHA RECENTE EM EQUIPE
TID_FRIENDS_NO_ENTRIES_TAB_2,SEM SUGESTÕES DE AMIZADE
TID_FRIENDS_NO_ENTRIES_TAB_3,CONVITES DE AMIZADE
TID_FRIENDS_CANNOT_REMOVE_FRIEND,Não é possível remover amigos de redes sociais.
TID_FRIEND_REQUEST_ACCEPT,ACEITAR
TID_FRIEND_REQUEST_REJECT,RECUSAR
TID_FRIEND_REQUEST_REASON_0,<EMPTY>
TID_FRIEND_REQUEST_REASON_1,DE UM CLUBE
TID_FRIEND_REQUEST_REASON_2,DE UMA EQUIPE
TID_FRIEND_REQUEST_REASON_3,BATALHAS RECENTES EM EQUIPE: <AMOUNT>
TID_FRIEND_REQUEST_REASON_4,BATALHAS RECENTES EM EQUIPE: <AMOUNT>
TID_FRIEND_POPOVER_PROFILE,PERFIL
TID_FRIEND_POPOVER_REMOVE,REMOVER
TID_FRIEND_POPOVER_SPECTATE,ASSISTIR
TID_FRIEND_POPOVER_YOU,Olha você aqui!
TID_REMOVE_FRIEND_POPUP_REMOVE,REMOVER
TID_REMOVE_FRIEND_POPUP_CANCEL,CANCELAR
TID_REMOVE_FRIEND_POPUP_TITLE,REMOVER AMIGO
TID_REMOVE_FRIEND_POPUP_BODY,Quer mesmo remover <NAME> da sua lista de amigos?
TID_UNLOCK_SKIN_CONTENT,\n\nCOMPRAR O VISUAL <NAME>
TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE_TITLE,Conexão perdida
TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE,Outro dispositivo está conectado a esse jogo.
TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE_BUTTON,Recarregar
TID_BAD_CONNECTION,Conexão de rede fraca
TID_FACEBOOK_BOUND_TO_OTHER_ACCOUNT_TITLE,Alerta do Facebook
TID_FACEBOOK_BOUND_TO_OTHER_ACCOUNT,Esta conta do Facebook já está vinculada a outro jogo do Brawl Stars. Deseja vinculá-la ao jogo atual?
TID_KAKAO_BOUND_TO_OTHER_ACCOUNT_TITLE,Alerta Kakao
TID_KAKAO_BOUND_TO_OTHER_ACCOUNT,Esta conta do Kakao já está vinculada a outro jogo do Brawl Stars. Deseja vinculá-la ao jogo atual?
TID_LINE_BOUND_TO_OTHER_ACCOUNT_TITLE,Alerta LINE
TID_LINE_BOUND_TO_OTHER_ACCOUNT,Esta conta do LINE já está vinculada a outro jogo do Brawl Stars. Deseja vinculá-la ao jogo atual?
TID_TEAM_FREE_EVENT_REWARD_CLAIMED,A recompensa do evento grátis foi resgatada.
TID_GEM_BUY_CONFIRMATION,<AMOUNT> gemas recebidas!
TID_BLOCKED_TEAM_READY,Exibição indisponível após selecionar \qPronto\q!
TID_TEAM_CANNOT_INVITE_WHILE_READY,Convite indisponível após selecionar \qPronto\q!
TID_SHOTGUN_BANDITA_SKIN,SHELLY BANDIDA
TID_SHUTDOWN_STARTED,O jogo estará indisponível dentro de 5 minutos para um curto intervalo de manutenção.
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_LONG,"Desculpe, os servidores estão em manutenção. Tente novamente dentro de algumas horas."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_TWO_HOURS,"Desculpe, os servidores estão em manutenção. Tente novamente dentro de duas horas."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_HOUR_AND_HALF,"Desculpe, os servidores estão em manutenção. Tente novamente dentro de uma hora e meia."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_HOUR,"Desculpe, os servidores estão em manutenção. Tente novamente dentro de uma hora."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_MINUTES,"Desculpe, os servidores estão em manutenção. Tente novamente dentro de <value> minutos."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_SOON,"Desculpe, os servidores estão em manutenção. Tente novamente dentro de alguns minutos."
TID_SHUTDOWN_BATTLE_DISABLED,O jogo estará indisponível dentro de alguns minutos por motivos de manutenção. Não será possível iniciar novas batalhas até que a manutenção termine.
TID_TEAM_SEARCH_NO_TEAM_CODE,Inserir código de equipe
TID_NO_RIGHTS_TO_ACCEPT_TO_JOIN_REQ,Você não tem permissão para aceitar ou recusar os pedidos.
TID_CLAN_RESPONSE_71,Há um período de espera entre cada expulsão realizada pelos peritos.
TID_STAT_MAX_DAMAGE,Dano no alcance máximo
TID_STAT_DAMAGE_PER_BOMB,Dano por granada
TID_ELDER_KICK_FAIL_COOLDOWN,Você expulsou um integrante do clube recentemente. Tente novamente em <time>.
TID_LUCHADOR_KING_SKIN,EL REY PRIMO
TID_PLAYER_DEFEATED_BR,Brawler derrotado
TID_BALL_1,Bocha
TID_HINT_VOLLEYBALL_PUSH_BALL,Toque na <cdaa520>bola</c>!
TID_HINT_VOLLEYBALL_RETURN_BALL,Esteja onde a <cdaa520>bola</c> atingirá o chão para mandá-la de volta!
TID_HINT_VOLLEYBALL_PREVENT_RETURN,"Mantenha os adversários longe da <cdaa520>bola</c> para que ela caia,\ne você pontue!"
TID_HINT_HOLD_THE_BALL_TAKE_BALL,Pegue o <cdaa520>troféu</c>!
TID_HINT_HOLD_THE_BALL_PROTECT,Proteja o Brawler com o <cdaa520>troféu</c>!
TID_HINT_HOLD_THE_BALL_HOLD_ON,Segure o <cdaa520>troféu</c>!
TID_HINT_GET_BALL,Pegue a <cdaa520>bola</c>!
TID_LASER_BALL_INTRO_TEXT,Faça dois gols para vencer!
TID_AFK_WARNING,"Inatividade detectada! Por favor, mexa-se!"
TID_AFK_DISCONNECTED_MSG,Você foi desconectado por inatividade ou conexão de rede fraca.
TID_AFK_BANNED_MSG,Você foi banido da batalha atual por inatividade ou conexão de rede fraca. Você poderá voltar à partida assim que a batalha terminar.
TID_AFK_DISCONNECTED_TITLE,Desconexão por inatividade
TID_AFK_BANNED_TITLE,Banido da batalha
TID_AFK_RELOAD,Recarregar
TID_GAME_MODE_7,TODOS CONTRA UM
TID_GAME_MODE_7_DESC,"Cinco jogadores tentam derrotar um BRAWLER CHEFÃO.\n\nComo BRAWLER CHEFÃO, você vai ter uma enorme vantagem de poder e muitos pontos de vida. Desafie os caçadores e continue no jogo o máximo que puder!\n\nComo um dos caçadores, você precisa trabalhar em equipe para derrubar o BRAWLER CHEFÃO antes que o tempo acabe!"
TID_BOSS_INTRO_TEXT_ATTACK,Derrote o BRAWLER CHEFÃO!
TID_BOSS_INTRO_TEXT_DEFEND,Você é o BRAWLER CHEFÃO!
TID_BOSS_1,Colina da calamidade
TID_SEASON_END_POPUP_TITLE,A LIGA DE TROFÉUS TERMINOU
TID_SEASON_END_POPUP_REWARD,PRÊMIO DA LIGA DE TROFÉUS
TID_SEASON_END_POPUP_GOLD_VALUE,<VALUE>
TID_COIN_META_MIGRATION_TITLE,Mudanças importantes!
TID_COIN_META_MIGRATION_OK,TUTORIAL
TID_COIN_META_MIGRATION_TXT_1,"Brawl Stars conta com um jeito novo de melhorias de personagem, no qual os Brawlers mudam de nível à medida que ganham pontos de poder suficientes. Seu atual progresso foi convertido em \qNível do Brawler\q."
TID_COIN_META_MIGRATION_TXT_2,Você receberá Caixas Brawl para Tokens de melhoria não usados e algumas caixas extras para garantir que você não perca seu progresso.
TID_COIN_META_MIGRATION_TXT_3,O jogo agora é na horizontal e é comandado com dois controles.
TID_COIN_META_MIGRATION_TXT_4,O acelerador de moedas foi retirado e convertido em gemas.
TID_BOLTS_MIGRATION_TITLE,Mudanças importantes!
TID_BOLTS_MIGRATION_OK,Ok
TID_BOLTS_MIGRATION_INFO,O novo sistema de melhoria Brawler não usa mais elixir. Seu elixir e melhorias anteriores foram substituídas por <BOLTS> Tokens de melhoria. Use-os para melhorar seus Brawlers!\n\nBrawlers duplicados e fichas também foram removidos do jogo. Suas fichas foram substituídas por <GEMS> gemas. Aproveite!
TID_BOLTS_MIGRATION_ELIXER_TOKEN,SEU ELIXIR VIROU TOKENS DE MELHORIA
TID_BOLTS_MIGRATION_CHIP_GEM,SUAS FICHAS FORAM CONVERTIDAS EM GEMAS
TID_STAT_HEALING_PER_SEC,Cura por segundo
TID_STAT_DAMAGE_PER_CARD,Dano por carta
TID_OVERTIME,Prorrogação!
TID_VALUE,reduzido
TID_SHOP_ONE_TIME_PURCHASE,Esta oferta é limitada a UMA compra!
TID_HINT_MAKE_GOAL_1,ARRASTE o <ccc0033>CONTROLE VERMELHO</c> para mirar!
TID_BALL_2,Drible triplo
TID_BALL_3,Tiro de meta
TID_STARTER_PACK_1,PACOTE DE NÍVEL 5
TID_STARTER_PACK_2,PACOTE DE NÍVEL 15
TID_STARTER_PACK_3,PACOTE DE NÍVEL 25
TID_IAP_XMAS2018_PACK,FIM DE ANO
TID_IAP_XMAS2018_PACK_DESC,"Ho, ho, ho!"
TID_STARTER_PACK_0,PACOTE INICIAL
TID_STARTER_PACK_0_DESC,Comemorando o início da sua jornada em Brawl Stars!
TID_IAP_LNY2019_PACK,OFERTA DE BRAWL LUNAR
TID_IAP_LNY2019_PACK_DESC,Feliz ano novo lunar!
TID_IAP_MARCH2019_PACK,OFERTA DE MARÇO
TID_IAP_MARCH2019_PACK_DESC,Esta é uma oferta única!
TID_IAP_REFRESHER_PACK_DESC,Esta é uma oferta única!
TID_BLACKHOLE_DEFAULT_SKIN,Padrão
TID_GOLD_CAP_HIT,Limite de fichas atingido.
TID_GATCHA_BUTTON_BOX_STACK_FULL,Pilha de caixa cheia!
TID_COOP_1,Pachinko
TID_GAME_MODE_8,CAOS CIBERNÉTICO
TID_GAME_MODE_8_DESC,"Defenda o cofre dos robôs gananciosos!\n\nOs robôs vão atacar o cofre vindo de todos os lados em números cada vez maiores. Faça de tudo para se defender até o tempo acabar!\n\nA dificuldade de Caos cibernético aumenta, do nível normal até o insano, toda vez que você consegue defender o cofre."
TID_COOP_INTRO_TEXT,Defenda o cofre!
TID_SELECT_EVENT_POPUP_TITLE,Selecionar evento
TID_BARREL_BOT,DARRYL
TID_BARREL_BOT_DESC,"Darryl tem um ataque forte de escopeta dupla. No Super, ele é imprudente e sai rolando dentro de seu barril quicante!"
TID_BARREL_BOT_WEAPON,DOSE DUPLA
TID_BARREL_BOT_WEAPON_DESC,As espingardas de cano duplo do Darryl disparam duas rajadas de curta distância que causam dano pesado.
TID_BARREL_BOT_ULTI,RODA PIÃO
TID_BARREL_BOT_ULTI_DESC,"Darryl vai adiante rolando dentro de seu barril, empurrando os inimigos, reduzindo o dano recebido e quicando nas paredes. Seu Super recarrega com o tempo!"
TID_ARTILLERY_DUDE,PENNY
TID_ARTILLERY_DUDE_DESC,"Rebelde sem causa, Penny é travessa e reina nos sete mares. Ela é uma verdadeira ameaça em busca de aventura e saques."
TID_ARTILLERY_DUDE_WEAPON,OURO DE TOLO
TID_ARTILLERY_DUDE_WEAPON_DESC,"Uma metralhada de ouro de tolo. Ao atingir o inimigo, o saco explode e as moedas saem à caça do inimigo mais próximo!"
TID_ARTILLERY_DUDE_ULTI,ATIRADOR EXPERIENTE
TID_ARTILLERY_DUDE_ULTI_DESC,"Penny dispara com seu canhão de longo alcance, atingindo inimigos escondidos e incendiando o chão."
TID_ITEM_NAME_SPECIAL,PODER DE ESTRELA
TID_HERO_INFO_ITEM_LOCKED,Você encontra este item após o nível <LEVEL>.
TID_HERO_INFO_LOCKED_INFO,Desbloqueie o Brawler nas Caixas Brawl.
TID_HERO_INFO_LOCKED_INFO_RANK_TRACK,Obtenha <SCORE> troféus para desbloquear.
TID_SPEC_ABI_FREEZE,XEQUE-MATE
TID_SPEC_ABI_BERSERKER,FURIOSO
TID_SPEC_SELF_DESTRUCT,VINGANÇA
TID_SPEC_ABI_CACTUS_HEAL,SOLO FÉRTIL
TID_SPEC_ABI_HEAL_SELF_MAIN_ATTACK,USO MEDICINAL
TID_SPEC_ABI_REPAIR_TURRET,ENERGIZADOR
TID_SPEC_ABI_PET_LIFESTEAL,AMIGO-URSO
TID_SPEC_ABI_STEAL_SOULS,COLETA SINISTRA
TID_SPEC_ABI_SPOT,OLHOS DE ÁGUIA
TID_SPEC_ABI_AMBUSH,EMBOSCADA
TID_SPEC_ABI_BLACK_HOLE_MONSTER,PORTAL SOMBRIO
TID_SPEC_ABI_SPEED,BOTAS ESTILOSAS
TID_SPEC_ABI_HEAL_OTHERS_MAIN_ATTACK,ABRAÇO DE MAMÃE
TID_SPEC_BOUNCED_BULLETS_STRONGER,PULA-PULA
TID_SPEC_ABI_FIRE_DOT_ULTI,EL FUEGO
TID_SPEC_LAST_STAND,CANTO DO CISNE
TID_SPEC_BURN,MAIS FOGUETES!
TID_SPEC_CRIPPLE,AURA VENENOSA
TID_SPEC_ABI_BARREL_DEFENSE,TAMBOR DE FERRO
TID_SPEC_HEAL_MAIN_ATTACK,MUSICOTERAPIA
TID_SPEC_ABI_FREEZE_DESC,A Superbala da Shelly diminui a velocidade do inimigo por <c00cc00><VALUE1></c> segundos!
TID_SPEC_ABI_PREY_ON_THE_WEAK_DESC,"Corvo inflige <c00cc00><VALUE2></c> pontos de dano a mais, tanto com o ataque regular quanto com o Super, a alvos com <VALUE1>% ou menos de saúde."
TID_SPEC_ABI_BERSERKER_DESC,"Quando a saúde do Bull fica abaixo de <c00cc00><VALUE1>%</c>, sua velocidade de recarregamento duplica!"
TID_SPEC_SELF_DESTRUCT_DESC,Dynamike sai de cena com estilo! Ele deixa de presente seis dinamites que causam dano de <c00cc00><VALUE1></c> cada.
TID_SPEC_ABI_CACTUS_HEAL_DESC,"Ao usar seu Super, Spike readquire <c00cc00><VALUE1></c> pontos de saúde a cada segundo que fica na área de alcance do ataque."
TID_SPEC_ABI_HEAL_SELF_MAIN_ATTACK_DESC,Barley recupera <c00cc00><VALUE1></c> pontos de saúde a cada ataque.
TID_SPEC_ABI_REPAIR_TURRET_DESC,Jessie restaura <c00cc00><VALUE1></c> pontos de saúde da sua torreta cada vez que a acerta com seus disparos de choque.
TID_SPEC_ABI_PET_LIFESTEAL_DESC,"Nita recupera <c00cc00><VALUE1></c> pontos de saúde cada vez que seu urso acerta um Brawler inimigo. Quando ela inflige dano a Brawlers inimigos, o urso recupera <c00cc00><VALUE2></c> pontos de saúde."
